訓練日期,20170818 - 20171117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11075197.219999998807907
真實報酬,1075197.219999998807907

夏普值報酬,0.098819722000000
夏普值風險,0.030298264720345
夏普值,3.261563753307692

預期報酬,16706.350685101155250
風險,35529.966534992759989
趨勢值,0.470204515071732
找到最佳解世代,2962
找到最佳解實驗#,6
找到最佳解次數,10

stock[index](rank)
投資組合檔數,11
BA[2](4),CAT[3](1),CSCO[4](2),CVX[5](14),DIS[6](26),HD[9](5),MSFT[18](9),PG[21](27),UNH[23](15),V[25](3),WMT[28](19),
20170929,980925.960000000079162,1002054.949999999953434,984943.330000000074506,1008469.559999999939464,883892.729999999981374,993443.970000000088476,935332.039999999920838,898328.430000000051223,923948.550000000046566,930623.160000000032596,891296.639999999897555,10433269.320000000298023
20171002,987793.200000000069849,1002135.299999999930151,988457.770000000018626,1007868.819999999948777,895460.160000000032596,996237.550000000162981,936838.760000000009313,906128.099999999976717,931448.580000000074506,938275.440000000060536,894832.500000000000000,10485486.179999997839332
20171003,985748.460000000079162,1008482.950000000069849,991386.470000000088476,1011215.799999999930151,903799.470000000088476,1003221.500000000000000,932444.160000000032596,909583.650000000023283,937061.810000000055879,939610.140000000130385,903615.119999999878928,10526179.530000001192093
20171004,986905.859999999986030,1018365.999999999883585,979378.799999999930151,1009156.119999999878928,901647.390000000013970,1003950.260000000009313,937843.239999999990687,912545.550000000046566,945788.260000000009313,937118.700000000069849,902132.339999999967404,10534842.519999997690320
20171005,998981.400000000023283,1015634.099999999976717,983771.850000000093132,1017738.119999999878928,897701.910000000032596,1008990.850000000093132,953914.919999999925494,908695.080000000074506,933618.400000000139698,945393.839999999967404,905782.259999999892898,10570232.730000000447035
20171006,997785.419999999925494,1019892.650000000023283,988457.770000000018626,1004436.019999999902211,897343.229999999981374,1007351.140000000013970,954291.599999999976717,911656.979999999981374,934373.120000000111759,949753.860000000102445,901105.799999999930151,10566457.589999999850988
20171009,997052.400000000023283,1019490.899999999906868,988750.640000000013970,1010271.779999999911524,892859.729999999981374,1006500.920000000158325,957932.840000000083819,909583.650000000023283,926071.200000000186265,952245.300000000162981,918556.979999999981374,10579326.339999999850988
20171010,1006851.720000000088476,1030016.750000000000000,982600.369999999878928,1019626.159999999916181,892949.400000000023283,1003160.770000000018626,957932.840000000083819,904647.150000000023283,918429.660000000149012,954914.700000000069849,959618.579999999841675,10630758.099999999627471
20171011,1008819.300000000046566,1033311.099999999976717,983771.850000000093132,1024174.619999999878928,883713.390000000013970,1003707.340000000083819,959565.119999999995343,903067.469999999972060,921165.520000000018626,964969.440000000060536,977868.179999999934807,10664143.329999998211861
20171012,1010632.560000000172295,1044479.750000000000000,974107.140000000013970,1022544.039999999920838,869186.850000000093132,999699.160000000149012,968354.320000000065193,909879.840000000083819,910127.739999999990687,962033.100000000093132,982088.399999999906868,10653142.900000000372529
20171013,1006118.700000000069849,1050264.950000000186265,980257.410000000032596,1022715.679999999934807,873222.000000000000000,998970.400000000023283,973000.039999999920838,918666.810000000055879,908240.940000000176951,966927.000000000000000,988019.520000000018626,10686413.449999999254942
20171016,1002299.280000000027940,1056371.549999999813735,982307.500000000000000,1031040.219999999855645,879947.250000000000000,997452.150000000023283,975009.000000000000000,919654.109999999986030,911448.500000000000000,963723.720000000088476,977982.239999999874271,10697245.520000001415610
20171017,997939.739999999990687,1048899.000000000000000,984064.720000000088476,1031812.599999999976717,882009.660000000032596,992168.640000000013970,974255.640000000013970,916297.290000000037253,961873.229999999981374,956961.240000000107102,980719.679999999934807,10727011.439999999478459
20171018,1003418.100000000093132,1054925.250000000000000,982600.369999999878928,1014047.859999999986030,881023.290000000037253,992775.940000000060536,974506.760000000009313,916001.099999999976717,968194.010000000009313,959274.720000000088476,983457.119999999878928,10730234.519999999552965
20171019,999560.100000000093132,1057014.350000000093132,988457.770000000018626,1014476.959999999962747,887838.210000000079162,991500.610000000102445,978273.559999999939464,904350.960000000079162,958854.350000000093132,952334.280000000027940,985510.199999999953434,10718181.349999999627471
20171020,1021589.280000000027940,1055487.700000000186265,1003101.270000000018626,1018253.039999999920838,891335.340000000083819,992654.480000000097789,989573.959999999962747,871375.140000000013970,978854.430000000167638,957050.220000000088476,997372.439999999944121,10776657.300000000745058
20171023,1012214.339999999967404,1058058.899999999906868,1006029.970000000088476,1020741.819999999948777,885058.440000000060536,1000610.110000000102445,989825.079999999958090,861995.790000000037253,976590.270000000018626,956872.260000000125729,1011173.699999999953434,10779180.679999999701977
20171024,1026411.780000000027940,1110768.500000000000000,1012765.979999999981374,1023316.419999999925494,881381.970000000088476,1008444.280000000144355,990201.760000000009313,858836.430000000051223,981967.650000000139698,964702.500000000000000,1003531.679999999934807,10862338.949999999254942
20171025,997168.140000000130385,1099519.500000000000000,1004565.619999999878928,1016536.639999999897555,876988.140000000013970,1008687.200000000069849,987313.879999999888241,857651.670000000041910,979184.620000000111759,974312.339999999967404,1009234.679999999934807,10811172.429999999701977
20171026,1000447.439999999944121,1100323.000000000000000,1003687.010000000125729,1016536.639999999897555,883803.060000000055879,1018282.540000000153668,988946.160000000032596,863970.390000000013970,986684.650000000139698,977070.720000000088476,1010831.520000000018626,10850593.130000000819564
20171027,989606.459999999962747,1107313.450000000186265,1008372.930000000051223,974484.839999999967404,881561.310000000055879,1016399.910000000149012,1052353.959999999962747,859428.810000000055879,1002958.300000000046566,976269.900000000023283,1005698.819999999948777,10874458.690000001341105
20171030,1000370.280000000027940,1096707.250000000000000,996951.000000000000000,981779.539999999920838,879140.220000000088476,1004071.720000000088476,1053358.439999999944121,851826.599999999976717,987816.729999999981374,979206.240000000107102,991783.500000000000000,10823021.519999999552965
20171031,995470.620000000111759,1091163.100000000093132,1000172.569999999948777,994652.539999999920838,877077.810000000055879,1006926.030000000144355,1044443.680000000051223,852517.710000000079162,991731.840000000083819,978672.360000000102445,995889.659999999916181,10828727.919999999925494
20171101,997476.780000000027940,1095100.250000000000000,1013937.459999999962747,994738.359999999986030,888017.550000000046566,1004496.830000000074506,1044443.680000000051223,857947.859999999986030,988477.110000000102445,988371.180000000051223,1003075.439999999944121,10876092.500000000000000
20171102,1013410.320000000065193,1096546.549999999813735,1001929.790000000037253,989846.619999999878928,881919.989999999990687,988281.920000000158325,1055367.399999999906868,854196.120000000111759,995882.800000000046566,987570.360000000102445,1012884.599999999860302,10877846.469999998807907
20171103,1010015.280000000027940,1097832.149999999906868,1009544.410000000032596,986928.739999999874271,884520.420000000041910,998484.560000000055879,1056497.439999999944121,854887.229999999981374,1004231.890000000130385,990951.600000000093132,1022921.880000000004657,10916825.600000001490116
20171106,1018965.839999999967404,1106509.950000000186265,1007787.189999999944121,1004521.839999999967404,902454.420000000041910,997452.150000000023283,1060640.919999999925494,849654.540000000037253,1000694.140000000130385,995934.480000000097789,1011744.000000000000000,10956369.470000000670552
20171107,1026913.320000000065193,1115348.450000000186265,1007494.319999999948777,1006238.239999999874271,911152.410000000032596,994051.270000000018626,1058129.719999999739230,858836.430000000051223,1003430.000000000000000,997447.140000000130385,1014595.500000000000000,10993646.800000000745058
20171108,1024752.839999999967404,1103135.250000000000000,1010423.020000000018626,1001346.500000000000000,907296.600000000093132,996419.740000000107102,1061770.959999999962747,864760.229999999981374,994326.190000000176951,1000828.380000000004657,1029537.359999999986030,10994607.070000000298023
20171109,1013680.380000000004657,1087467.000000000000000,997243.869999999878928,1006238.239999999874271,920747.100000000093132,991682.800000000162981,1055869.640000000130385,866734.830000000074506,998052.620000000111759,997892.040000000037253,1029993.599999999860302,10965612.119999999180436
20171110,1006543.080000000074506,1096626.899999999906868,995486.650000000023283,1005723.319999999948777,939577.800000000046566,996784.120000000111759,1053107.319999999832362,870486.569999999948777,995741.290000000037253,995578.560000000055879,1037065.319999999948777,10992730.930000001564622
20171113,1012600.140000000130385,1097028.649999999906868,994315.170000000158325,1006152.419999999925494,939219.119999999995343,1004314.640000000013970,1053860.680000000167638,878779.890000000013970,1003241.320000000065193,991307.520000000135042,1037863.739999999874271,11018693.289999999105930
20171114,1010053.859999999986030,1105144.000000000000000,996951.000000000000000,1003492.000000000000000,925140.930000000051223,1020772.470000000088476,1055367.399999999906868,877496.400000000023283,998760.170000000158325,996468.360000000102445,1039004.339999999967404,11028660.929999999701977
20171115,1014297.660000000032596,1077503.600000000093132,999001.089999999967404,999458.459999999962747,929803.770000000018626,1005043.400000000023283,1041932.479999999981374,871177.680000000051223,990033.720000000204891,981074.820000000065193,1024632.779999999911524,10933969.460000000894070
20171116,1017538.380000000004657,1095662.700000000186265,1050839.080000000074506,983324.299999999930151,928996.739999999990687,1017371.590000000083819,1044694.800000000046566,881248.140000000013970,996024.310000000055879,987926.280000000027940,1136297.520000000018626,11139933.839999997988343
20171117,1011982.859999999986030,1093814.649999999906868,1051424.820000000065193,984525.779999999911524,927562.020000000018626,1018829.110000000102445,1034650.000000000000000,873152.280000000027940,990222.400000000139698,977248.680000000051223,1111774.620000000111759,11075197.219999998807907
