訓練日期,20140707 - 20141006
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10909684.450000001117587
真實報酬,909684.450000001117587

夏普值報酬,0.082268445000000
夏普值風險,0.028219785295961
夏普值,2.915275369291203

預期報酬,15021.030227940011173
風險,108115.891988218994811
趨勢值,0.138934526198765
找到最佳解世代,1960
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),GS[8](2),INTC[11](5),MSFT[18](1),NKE[19](9),PG[21](4),
20140815,1736675.800000000046566,1690663.399999999906868,1828834.630000000121072,1785883.280000000027940,1638626.560000000288710,1704174.400000000139698,10384862.070000000298023
20140818,1757590.119999999878928,1716726.149999999906868,1841679.669999999925494,1798642.320000000065193,1668790.200000000186265,1717927.479999999981374,10501359.940000001341105
20140819,1781872.000000000000000,1710923.500000000000000,1837933.200000000186265,1807414.160000000149012,1667940.520000000018626,1723136.979999999981374,10529224.360000001266599
20140820,1782580.959999999962747,1711611.949999999953434,1846496.560000000055879,1792262.800000000279397,1676437.320000000298023,1725637.540000000037253,10535031.130000002682209
20140821,1782758.199999999953434,1722627.149999999906868,1881285.209999999962747,1803028.239999999990687,1676862.160000000149012,1735431.400000000139698,10601996.360000001266599
20140822,1795873.959999999962747,1725774.349999999860302,1870045.800000000046566,1800237.200000000186265,1684509.280000000027940,1737723.580000000074506,10614168.169999999925494
20140825,1799773.240000000223517,1749378.349999999860302,1863088.070000000065193,1801034.640000000130385,1699803.520000000018626,1740849.280000000027940,10653931.099999999627471
20140826,1788252.640000000130385,1749673.399999999906868,1862552.859999999869615,1794655.120000000111759,1688332.840000000316650,1737515.199999999953434,10620986.060000000521541
20140827,1810230.399999999906868,1748788.250000000000000,1862017.649999999906868,1789073.040000000037253,1693430.920000000158325,1736056.540000000037253,10639600.800000000745058
20140828,1812357.280000000027940,1747214.649999999906868,1854524.709999999962747,1789471.760000000242144,1674313.120000000111759,1730221.900000000139698,10608107.419999999925494
20140829,1816788.280000000027940,1761573.750000000000000,1868975.380000000121072,1811401.360000000102445,1668790.200000000186265,1731888.939999999944121,10659421.910000000149012
20140902,1830967.479999999981374,1768064.850000000093132,1850243.030000000027940,1797844.880000000353903,1684084.440000000176951,1729180.000000000000000,10660388.679999999701977
20140903,1753690.840000000083819,1766392.899999999906868,1850243.030000000027940,1792661.520000000251457,1674313.120000000111759,1727512.960000000195578,10564818.370000001043081
20140904,1739157.160000000149012,1771113.699999999953434,1868440.169999999925494,1804623.120000000111759,1697679.320000000298023,1744183.360000000102445,10625200.830000000074506
20140905,1754222.560000000055879,1767868.149999999906868,1873257.060000000055879,1830539.919999999925494,1742712.360000000335276,1745642.020000000018626,10714246.070000000298023
20140908,1743410.919999999925494,1771408.750000000000000,1890918.989999999990687,1852868.239999999990687,1750359.480000000214204,1736264.919999999925494,10745235.300000000745058
20140909,1736853.040000000037253,1744755.899999999906868,1868440.169999999925494,1864431.120000000111759,1738463.960000000195578,1729388.379999999888241,10682336.570000000298023
20140910,1790202.280000000027940,1769048.349999999860302,1874327.480000000214204,1867620.880000000353903,1752058.840000000316650,1742933.080000000074506,10796194.910000000149012
20140911,1797823.600000000093132,1780161.899999999906868,1874327.480000000214204,1874000.400000000139698,1738039.120000000111759,1739807.379999999888241,10804163.879999998956919
20140912,1801900.119999999878928,1801503.849999999860302,1852919.079999999841675,1862038.800000000279397,1738463.960000000195578,1735014.640000000130385,10791844.450000001117587
20140915,1801368.399999999906868,1809470.199999999720603,1848637.399999999906868,1843697.680000000167638,1733790.720000000204891,1747725.820000000065193,10784694.220000000670552
20140916,1787720.919999999925494,1810060.299999999813735,1869510.590000000083819,1864431.120000000111759,1724869.080000000307336,1752101.800000000046566,10808697.810000000521541
20140917,1800482.199999999953434,1817731.599999999860302,1872186.639999999897555,1854861.840000000316650,1731666.520000000018626,1753768.839999999850988,10830701.639999998733401
20140918,1804204.240000000223517,1847925.049999999813735,1882355.630000000121072,1861241.360000000102445,1741437.840000000316650,1754393.979999999981374,10891562.100000001490116
20140919,1789493.319999999832362,1831303.899999999906868,1863623.280000000027940,1894733.840000000316650,1738039.120000000111759,1760228.619999999878928,10877426.080000000074506
20140922,1791265.719999999972060,1822354.049999999813735,1857735.970000000204891,1876392.720000000204891,1714248.080000000307336,1767313.540000000037253,10829314.080000001937151
20140923,1819269.640000000130385,1820387.050000000046566,1842214.880000000121072,1856456.720000000204891,1701927.720000000204891,1759603.479999999981374,10799863.490000002086163
20140924,1803495.280000000027940,1847138.250000000000000,1859876.810000000055879,1877190.160000000149012,1717221.960000000195578,1776273.879999999888241,10881200.339999999850988
20140925,1734726.160000000149012,1810552.050000000046566,1827229.000000000000000,1835723.280000000027940,1694280.600000000325963,1757311.300000000046566,10659826.390000000596046
20140926,1785771.280000000027940,1820682.099999999860302,1833651.520000000018626,1850475.919999999925494,1901177.680000000167638,1762520.800000000046566,10954283.300000000745058
20140929,1774427.919999999925494,1807994.949999999953434,1867904.959999999962747,1851672.080000000074506,1893105.720000000204891,1759603.479999999981374,10954713.110000001266599
20140930,1785771.280000000027940,1805437.849999999860302,1863623.280000000027940,1848482.320000000065193,1894805.080000000307336,1745016.879999999888241,10943140.690000001341105
20141001,1757944.600000000093132,1777211.399999999906868,1819200.850000000093132,1830141.200000000186265,1862942.080000000307336,1732514.080000000074506,10779958.210000000894070
20141002,1770705.880000000121072,1798651.699999999953434,1794045.980000000214204,1824559.120000000111759,1896929.280000000027940,1730638.659999999916181,10815534.620000001043081
20141003,1765743.160000000149012,1849695.349999999860302,1821341.690000000176951,1837716.880000000353903,1918171.280000000027940,1746058.780000000027940,10938731.139999998733401
20141006,1765743.160000000149012,1843892.699999999720603,1825623.370000000111759,1837716.880000000353903,1895229.920000000158325,1741474.419999999925494,10909684.450000001117587
