訓練日期,20170317 - 20170619
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10692096.449999999254942
真實報酬,692096.449999999254942

夏普值報酬,0.060509645000000
夏普值風險,0.023430924434455
夏普值,2.582469384392728

預期報酬,11691.232841296112383
風險,56593.825339788469137
趨勢值,0.206581420695670
找到最佳解世代,1623
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](22),KO[14](3),MCD[15](1),MMM[16](7),WMT[28](2),XOM[29](15),
20170330,1688596.930000000167638,1680472.449999999953434,1684115.479999999748543,1675160.290000000037253,1693875.000000000232831,1699766.410000000381842,10121990.560000000521541
20170331,1691729.919999999925494,1674160.929999999934807,1687891.860000000102445,1675598.140000000130385,1705468.400000000139698,1665447.580000000307336,10100300.830000000074506
20170403,1688895.310000000055879,1672977.519999999785796,1687891.860000000102445,1670256.370000000111759,1699553.400000000139698,1666666.000000000000000,10086244.460000000894070
20170404,1686508.270000000018626,1683628.209999999962747,1683724.819999999832362,1665615.160000000149012,1703812.200000000186265,1672758.100000000325963,10096050.759999999776483
20170405,1685911.510000000009313,1679289.040000000037253,1698309.459999999962747,1666053.010000000242144,1695294.600000000325963,1676007.220000000204891,10100868.839999999850988
20170406,1686657.459999999962747,1683233.739999999990687,1694923.739999999990687,1662988.060000000055879,1690089.400000000139698,1685754.580000000307336,10103650.980000000447035
20170407,1679645.530000000027940,1680866.919999999925494,1692449.560000000055879,1663863.760000000242144,1724869.600000000325963,1680677.830000000307336,10122377.199999999254942
20170410,1677407.680000000167638,1684022.679999999934807,1692709.999999999767169,1661411.800000000046566,1728655.200000000186265,1688191.420000000158325,10132402.779999999329448
20170411,1686955.839999999850988,1682839.269999999785796,1708596.839999999850988,1664564.320000000065193,1737409.400000000139698,1682302.390000000363216,10162672.060000000521541
20170412,1686508.270000000018626,1693884.429999999934807,1709378.159999999916181,1661324.229999999981374,1737646.000000000000000,1684942.300000000279397,10173687.390000000596046
20170413,1688895.310000000055879,1687967.379999999888241,1702867.159999999916181,1652129.380000000121072,1730784.600000000325963,1658949.340000000083819,10121597.169999999925494
20170417,1697548.330000000074506,1699012.540000000037253,1710550.139999999897555,1667103.850000000093132,1738829.000000000000000,1656715.570000000298023,10169763.429999999701977
20170418,1703665.119999999878928,1715185.809999999823049,1722921.040000000037253,1665877.870000000111759,1748293.000000000000000,1645952.860000000102445,10201899.699999999254942
20170419,1696802.380000000121072,1705324.059999999823049,1727348.519999999785796,1662462.640000000130385,1752551.800000000046566,1634580.940000000176951,10179074.339999999850988
20170420,1712616.520000000018626,1699801.480000000214204,1735552.380000000121072,1674109.449999999953434,1769823.600000000093132,1645140.580000000307336,10237048.009999999776483
20170421,1707394.869999999878928,1699012.540000000037253,1737375.459999999962747,1677086.830000000074506,1773136.000000000000000,1638642.340000000083819,10232652.039999999105930
20170424,1696354.810000000055879,1707296.410000000149012,1748053.499999999767169,1700993.439999999944121,1769350.400000000139698,1647171.280000000260770,10269223.839999999850988
20170425,1718434.930000000167638,1700590.419999999925494,1845327.839999999850988,1708874.739999999990687,1775738.600000000093132,1659761.620000000344589,10408732.150000000372529
20170426,1724402.530000000027940,1705718.530000000027940,1834128.919999999925494,1707736.330000000074506,1784729.400000000139698,1653060.310000000288710,10409780.020000001415610
20170427,1728281.469999999972060,1696645.719999999972060,1834519.580000000074506,1717456.600000000093132,1784966.000000000000000,1650217.330000000307336,10412090.699999999254942
20170428,1724700.909999999916181,1702168.300000000046566,1822278.900000000139698,1715004.640000000130385,1778814.400000000139698,1658137.060000000288710,10401108.210000000894070
20170501,1711721.380000000121072,1704929.589999999850988,1838165.739999999990687,1706072.500000000000000,1779997.400000000139698,1666462.930000000400469,10407353.539999999105930
20170502,1706350.540000000037253,1711635.580000000074506,1839207.499999999767169,1721134.540000000037253,1786858.800000000046566,1666259.860000000102445,10431450.820000000298023
20170503,1665323.290000000037253,1708874.290000000037253,1857308.080000000074506,1730767.239999999990687,1792537.200000000186265,1679459.410000000381842,10434273.510000001639128
20170504,1658609.739999999990687,1722286.269999999785796,1868116.339999999850988,1747230.399999999906868,1806260.000000000232831,1657933.990000000223517,10460440.740000000223517
20170505,1670843.319999999832362,1723469.679999999934807,1874757.560000000055879,1746267.130000000121072,1810045.600000000093132,1665650.650000000139698,10491037.940000001341105
20170508,1662339.489999999990687,1731359.080000000074506,1878403.719999999972060,1739699.380000000121072,1801054.800000000279397,1683317.740000000223517,10496178.210000000894070
20170509,1672036.839999999850988,1716369.219999999972060,1879966.360000000102445,1733657.050000000046566,1815250.800000000046566,1671539.680000000400469,10488823.949999999254942
20170510,1636082.050000000046566,1718736.040000000037253,1882049.880000000121072,1722097.810000000055879,1814777.600000000093132,1663416.880000000121072,10437164.259999999776483
20170511,1634888.530000000027940,1722680.739999999990687,1878013.060000000055879,1723061.080000000074506,1801291.399999999906868,1677631.780000000260770,10437570.589999999850988
20170512,1636529.619999999878928,1719524.980000000214204,1892988.360000000102445,1721484.820000000065193,1791354.199999999953434,1676413.360000000102445,10438299.339999999850988
20170515,1628174.979999999981374,1725047.559999999823049,1904968.599999999860302,1730767.239999999990687,1805077.000000000232831,1681490.110000000102445,10475529.490000000223517
20170516,1611018.130000000121072,1729781.199999999953434,1918120.819999999832362,1733219.199999999953434,1777158.200000000186265,1676413.360000000102445,10445714.910000000149012
20170517,1586103.400000000139698,1732936.959999999962747,1906661.459999999962747,1706335.210000000195578,1777394.800000000279397,1665041.440000000176951,10374477.269999999552965
20170518,1591623.430000000167638,1727808.849999999860302,1914474.659999999916181,1709838.010000000242144,1834652.000000000232831,1660167.760000000242144,10438568.710000000894070
20170519,1604155.389999999897555,1731753.550000000046566,1929319.739999999990687,1714741.930000000167638,1863753.800000000046566,1663823.020000000484288,10507551.429999999701977
20170522,1605796.479999999981374,1742798.709999999962747,1929840.619999999878928,1738473.399999999906868,1858548.600000000093132,1671133.540000000270084,10546595.349999999627471
20170523,1596695.889999999897555,1751082.580000000074506,1925022.479999999748543,1731642.939999999944121,1857129.000000000000000,1677022.570000000298023,10538599.459999999031425
20170524,1606990.000000000000000,1776328.660000000149012,1946899.439999999944121,1729541.260000000242144,1849084.600000000325963,1671133.540000000270084,10579981.500000000000000
20170525,1600425.639999999897555,1791318.519999999785796,1950545.599999999860302,1747493.110000000102445,1852870.200000000186265,1660167.760000000242144,10602824.830000000074506
20170526,1617433.300000000046566,1790529.580000000074506,1951587.360000000102445,1757388.520000000018626,1848611.399999999906868,1656106.360000000102445,10621660.519999999552965
20170530,1616388.969999999972060,1792107.459999999962747,1952498.900000000139698,1772888.410000000149012,1849084.600000000325963,1646968.210000000195578,10629940.550000000745058
20170531,1610421.369999999878928,1793685.339999999850988,1965000.019999999785796,1790665.120000000111759,1859731.599999999860302,1634784.010000000242144,10654291.459999999031425
20170601,1614449.500000000000000,1806308.379999999888241,1984533.019999999785796,1789614.280000000027940,1888360.200000000186265,1638845.410000000381842,10722114.789999999105930
20170602,1599082.930000000167638,1810253.080000000074506,2002112.719999999972060,1810193.229999999981374,1883864.800000000279397,1614477.010000000242144,10719987.770000001415610
20170605,1589236.389999999897555,1814197.780000000027940,1989741.819999999832362,1805989.870000000111759,1899007.200000000186265,1627067.350000000325963,10725244.410000000149012
20170606,1574019.010000000009313,1813803.309999999823049,1969427.499999999767169,1798896.699999999953434,1867539.400000000139698,1649201.980000000214204,10672891.900000000372529
20170607,1580284.989999999990687,1795263.219999999972060,1978673.119999999878928,1795393.899999999906868,1872744.600000000325963,1643109.880000000121072,10665473.710000000894070
20170608,1556414.589999999850988,1780273.360000000102445,1972031.900000000139698,1803537.910000000149012,1867539.400000000139698,1637220.850000000325963,10617022.009999999776483
20170609,1575809.290000000037253,1787768.290000000037253,1972682.999999999767169,1812207.340000000083819,1879132.800000000046566,1667884.420000000158325,10695489.140000000596046
20170612,1596994.270000000018626,1788162.760000000009313,1933486.780000000027940,1816235.560000000055879,1874874.000000000000000,1684130.020000000484288,10693887.390000000596046
20170613,1589833.150000000139698,1776328.660000000149012,1951066.479999999748543,1831297.600000000093132,1881498.800000000046566,1684739.230000000214204,10714767.920000001788139
20170614,1583567.169999999925494,1786979.349999999860302,1962265.400000000139698,1839178.899999999906868,1890489.600000000325963,1666666.000000000000000,10729150.419999999925494
20170615,1581180.130000000121072,1785007.000000000000000,1968646.179999999701977,1850387.860000000102445,1867066.199999999953434,1670524.330000000307336,10722815.699999999254942
20170616,1574168.200000000186265,1787373.820000000065193,1979324.219999999972060,1867464.010000000242144,1780234.000000000000000,1695501.940000000176951,10684070.189999999478459
20170619,1572079.540000000037253,1790135.110000000102445,1994299.519999999785796,1868514.850000000093132,1786385.600000000093132,1680677.830000000307336,10692096.449999999254942
