訓練日期,20160715 - 20161014
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10677872.889999998733401
真實報酬,677872.889999998733401

夏普值報酬,0.059087289000000
夏普值風險,0.022209640505673
夏普值,2.660434282351767

預期報酬,12338.444528799436739
風險,66083.694754735392053
趨勢值,0.186709362643730
找到最佳解世代,1662
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CSCO[4](5),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
20160802,1762656.300000000046566,1714828.580000000074506,1636363.280000000027940,1654449.760000000009313,1683940.010000000009313,1669652.060000000055879,10121893.990000000223517
20160803,1784756.000000000000000,1720428.879999999888241,1621685.399999999906868,1680701.679999999934807,1668606.899999999906868,1678823.529999999795109,10155006.389999998733401
20160804,1786105.600000000093132,1724909.120000000111759,1637310.239999999757856,1678102.479999999981374,1670159.619999999878928,1695246.860000000102445,10191837.919999998062849
20160805,1813266.300000000046566,1738349.839999999850988,1656249.439999999711290,1723328.559999999823049,1664919.189999999944121,1709324.000000000000000,10305441.329999998211861
20160808,1828280.600000000093132,1736669.750000000000000,1659090.319999999832362,1718130.159999999916181,1664531.010000000009313,1705271.489999999990687,10311977.330000000074506
20160809,1835703.399999999906868,1732749.540000000037253,1653408.560000000055879,1712152.000000000000000,1668995.079999999841675,1707617.679999999934807,10310630.259999999776483
20160810,1822038.699999999953434,1727709.270000000018626,1634942.839999999850988,1696816.719999999972060,1675205.959999999962747,1699512.660000000149012,10256230.149999998509884
20160811,1820857.800000000046566,1733309.569999999832362,1642045.039999999804422,1701495.279999999795109,1683357.739999999990687,1708897.419999999925494,10289966.849999999627471
20160812,1825075.300000000046566,1728829.330000000074506,1636836.760000000009313,1697856.399999999674037,1689374.530000000027940,1706764.519999999785796,10284740.839999997988343
20160815,1847006.300000000046566,1746750.290000000037253,1652935.079999999841675,1708253.199999999953434,1688986.349999999860302,1725747.329999999841675,10369682.550000000745058
20160816,1845319.299999999813735,1742830.080000000074506,1667139.479999999981374,1707993.279999999795109,1680446.389999999897555,1723614.429999999934807,10367346.959999999031425
20160817,1842620.099999999860302,1720428.879999999888241,1658143.360000000102445,1712671.840000000083819,1687821.809999999823049,1724254.300000000046566,10345944.290000000968575
20160818,1840258.299999999813735,1706988.159999999916181,1655775.959999999962747,1714231.360000000102445,1697138.129999999888241,1712096.769999999785796,10326492.679999999701977
20160819,1844981.899999999906868,1709228.280000000027940,1668559.919999999925494,1711892.079999999841675,1694614.959999999962747,1716362.569999999832362,10345643.710000000894070
20160822,1830642.400000000139698,1715388.609999999869615,1674241.679999999934807,1710332.559999999823049,1685686.819999999832362,1728946.679999999934807,10345242.749999998137355
20160823,1836378.199999999953434,1734989.659999999916181,1676135.599999999860302,1709552.799999999813735,1696361.770000000018626,1723401.139999999897555,10376823.169999999925494
20160824,1822544.800000000046566,1739469.899999999906868,1664298.599999999860302,1714231.360000000102445,1694614.959999999962747,1712523.350000000093132,10347686.970000000670552
20160825,1814784.599999999860302,1752350.589999999850988,1661457.719999999972060,1717350.399999999674037,1706066.270000000018626,1713163.219999999739230,10365176.799999997019768
20160826,1804156.500000000000000,1755710.770000000018626,1669506.879999999888241,1721249.199999999953434,1699855.389999999897555,1718495.469999999739230,10368978.210000000894070
20160829,1802132.099999999860302,1768591.459999999962747,1683237.799999999813735,1740223.360000000102445,1713829.869999999878928,1724894.169999999925494,10432912.759999999776483
20160830,1788298.699999999953434,1766351.339999999850988,1690340.000000000000000,1754518.959999999962747,1699079.030000000027940,1731292.869999999878928,10429884.899999998509884
20160831,1789985.699999999953434,1760751.040000000037253,1699336.119999999878928,1754518.959999999962747,1694614.959999999962747,1725534.040000000037253,10424744.820000000298023
20160901,1800613.800000000046566,1768591.459999999962747,1705491.360000000102445,1746981.279999999795109,1714023.959999999962747,1734065.639999999897555,10469771.500000000000000
20160902,1817483.800000000046566,1782592.209999999962747,1708332.239999999757856,1754259.039999999804422,1711888.969999999972060,1748995.939999999944121,10523556.199999999254942
20160906,1816977.699999999953434,1784832.330000000074506,1731532.760000000009313,1752959.439999999944121,1720428.929999999934807,1760300.310000000055879,10567035.470000000670552
20160907,1828111.899999999906868,1780352.089999999850988,1726324.479999999981374,1745681.679999999934807,1707036.719999999972060,1775443.899999999906868,10562954.769999999552965
20160908,1780201.099999999860302,1762431.129999999888241,1725377.519999999785796,1748020.959999999962747,1703737.189999999944121,1769685.069999999832362,10489456.969999998807907
20160909,1739881.799999999813735,1727709.270000000018626,1678029.519999999785796,1732425.760000000009313,1673847.329999999841675,1734705.510000000009313,10286603.189999999478459
20160912,1778851.500000000000000,1760751.040000000037253,1708332.239999999757856,1743082.479999999981374,1712859.419999999925494,1769685.069999999832362,10473565.750000000000000
20160913,1821195.199999999953434,1739469.899999999906868,1686078.679999999934807,1729306.719999999972060,1689568.619999999878928,1746649.750000000000000,10412272.869999999180436
20160914,1885638.599999999860302,1736109.719999999972060,1686552.159999999683350,1725927.760000000009313,1688792.260000000009313,1738118.149999999906868,10461142.650000000372529
20160915,1949744.599999999860302,1753470.649999999906868,1731059.280000000027940,1732165.840000000083819,1709171.709999999962747,1749209.229999999981374,10624825.310000000521541
20160916,1938779.100000000093132,1727149.239999999990687,1783615.560000000055879,1710852.399999999674037,1708977.619999999878928,1750488.969999999739230,10619866.890000000596046
20160919,1916173.299999999813735,1737229.780000000027940,1759468.079999999841675,1720469.439999999944121,1715188.500000000000000,1759873.729999999981374,10608406.830000000074506
20160920,1916004.599999999860302,1741710.020000000018626,1758521.119999999878928,1727487.279999999795109,1719264.389999999897555,1759233.860000000102445,10622225.269999999552965
20160921,1915667.199999999953434,1756270.800000000046566,1773199.000000000000000,1737364.239999999990687,1704125.369999999878928,1775017.319999999832362,10661647.929999999701977
20160922,1933718.100000000093132,1773071.699999999953434,1777933.799999999813735,1751659.840000000083819,1727222.079999999841675,1778003.379999999888241,10741612.899999998509884
20160923,1901496.399999999906868,1755150.739999999990687,1760888.519999999785796,1748020.959999999962747,1703349.010000000009313,1760513.600000000093132,10629423.229999998584390
20160926,1904364.299999999813735,1740029.929999999934807,1735320.599999999860302,1709812.719999999972060,1705095.819999999832362,1744943.429999999934807,10539570.799999998882413
20160927,1907907.000000000000000,1762991.159999999916181,1760415.039999999804422,1724888.079999999841675,1714994.409999999916181,1752408.579999999841675,10623608.269999999552965
20160928,1922415.199999999953434,1764111.219999999972060,1772725.519999999785796,1733985.279999999795109,1736344.309999999823049,1769685.069999999832362,10699270.599999999627471
20160929,1892555.300000000046566,1757950.889999999897555,1767043.760000000009313,1706433.760000000009313,1712471.239999999990687,1747289.619999999878928,10583748.569999998435378
20160930,1907232.199999999953434,1776431.879999999888241,1787403.399999999906868,1730866.239999999990687,1741972.919999999925494,1763926.239999999990687,10707836.880000000819564
20161003,1898291.099999999860302,1764111.219999999972060,1783142.079999999841675,1728786.880000000121072,1720817.109999999869615,1767338.879999999888241,10662491.269999999552965
20161004,1906388.699999999953434,1755710.770000000018626,1777460.319999999832362,1731126.159999999916181,1714800.319999999832362,1764566.110000000102445,10650056.379999998956919
20161005,1907232.199999999953434,1769151.489999999990687,1798766.919999999925494,1759457.439999999944121,1724504.819999999832362,1777790.089999999850988,10736906.959999999031425
20161006,1921403.000000000000000,1762991.159999999916181,1802554.760000000009313,1764136.000000000000000,1731686.149999999906868,1778003.379999999888241,10760778.449999999254942
20161007,1924270.899999999906868,1762431.129999999888241,1803975.199999999953434,1770374.079999999841675,1746825.169999999925494,1767765.459999999962747,10775645.940000001341105
20161010,1957842.199999999953434,1762431.129999999888241,1800187.360000000102445,1784149.840000000083819,1728580.709999999962747,1772884.419999999925494,10806079.660000000149012
20161011,1962059.699999999953434,1738349.839999999850988,1764676.360000000102445,1775572.479999999981374,1718488.030000000027940,1749849.100000000093132,10708999.509999999776483
20161012,1979604.500000000000000,1699147.739999999990687,1758047.640000000130385,1770893.919999999925494,1719070.299999999813735,1754328.189999999944121,10681096.290000000968575
20161013,1973531.300000000046566,1689627.229999999981374,1750471.959999999962747,1760757.039999999804422,1712665.329999999841675,1746223.169999999925494,10633280.029999999329448
20161014,1984496.799999999813735,1690187.260000000009313,1773199.000000000000000,1755038.799999999813735,1716353.040000000037253,1758593.989999999990687,10677872.889999998733401
