訓練日期,20160128 - 20160429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11332573.140000000596046
真實報酬,1332573.140000000596046

夏普值報酬,0.124557314000000
夏普值風險,0.040246872305392
夏普值,3.094832141361498

預期報酬,23036.091166390848230
風險,65540.835446927303565
趨勢值,0.351476922887940
找到最佳解世代,2363
找到最佳解實驗#,2
找到最佳解次數,28

stock[index](rank)
投資組合檔數,8
AXP[1](12),DD[7](8),KO[14](13),MCD[15](27),MMM[16](5),MRK[17](14),PFE[20](28),XOM[29](9),
20160223,1263526.929999999934807,1418092.209999999962747,1297516.799999999813735,1208946.229999999981374,1341204.559999999823049,1254218.719999999972060,1227064.640000000130385,1348615.879999999888241,10359185.969999998807907
20160224,1252751.239999999990687,1424451.310000000055879,1304050.359999999869615,1210600.789999999804422,1350221.959999999962747,1254715.040000000037253,1229522.000000000000000,1353430.459999999962747,10379743.160000000149012
20160225,1269946.489999999990687,1452007.409999999916181,1311474.859999999869615,1224147.500000000000000,1365422.719999999972060,1265634.080000000074506,1252866.920000000158325,1361565.439999999944121,10503065.419999999925494
20160226,1269717.219999999972060,1471296.679999999934807,1281182.899999999906868,1210600.789999999804422,1359239.359999999869615,1256700.320000000065193,1238122.760000000242144,1357248.919999999925494,10444108.949999999254942
20160229,1274302.619999999878928,1467481.219999999972060,1280885.919999999925494,1211945.119999999878928,1347216.159999999916181,1246029.440000000176951,1215187.400000000139698,1330685.719999999972060,10373733.600000001490116
20160301,1302273.559999999823049,1511359.009999999776483,1297516.799999999813735,1229111.179999999701977,1370575.519999999785796,1284246.080000000074506,1230341.120000000111759,1349445.979999999981374,10574869.250000000000000
20160302,1309610.199999999953434,1497792.929999999934807,1299892.640000000130385,1225285.009999999776483,1369029.679999999934807,1297150.400000000139698,1227883.760000000242144,1373020.820000000065193,10599665.439999999478459
20160303,1331849.390000000130385,1497157.019999999785796,1305535.260000000009313,1206774.619999999878928,1368772.039999999804422,1292931.680000000167638,1224197.720000000204891,1368040.219999999972060,10595257.950000001117587
20160304,1336434.790000000037253,1518142.050000000046566,1309989.959999999962747,1211841.709999999962747,1374697.759999999776483,1292435.360000000102445,1216825.640000000130385,1366214.000000000000000,10626581.269999999552965
20160307,1352712.959999999962747,1502032.329999999841675,1307020.159999999916181,1211531.479999999981374,1378991.759999999776483,1306332.320000000065193,1220102.120000000111759,1402240.339999999850988,10680963.469999998807907
20160308,1362571.570000000065193,1474052.290000000037253,1316226.540000000037253,1224664.549999999813735,1375814.199999999720603,1301617.280000000260770,1202491.040000000037253,1371858.679999999934807,10629296.150000000372529
20160309,1353859.309999999823049,1481047.300000000046566,1330778.560000000055879,1237280.569999999832362,1374869.519999999785796,1299383.840000000083819,1218054.320000000065193,1368040.219999999972060,10663313.640000000596046
20160310,1346981.209999999962747,1483167.000000000000000,1343251.719999999739230,1240796.509999999776483,1373151.919999999692664,1316258.719999999972060,1211910.920000000158325,1364387.780000000027940,10679905.779999999329448
20160311,1363259.379999999888241,1528104.639999999897555,1342360.780000000027940,1257031.879999999888241,1390242.039999999804422,1320229.280000000260770,1249180.880000000121072,1364553.799999999813735,10814962.679999999701977
20160314,1365781.349999999860302,1517718.109999999869615,1345033.599999999860302,1270992.229999999981374,1389640.879999999888241,1317251.360000000102445,1232798.480000000214204,1368206.239999999757856,10807422.250000000000000
20160315,1357986.169999999925494,1515174.469999999972060,1343548.699999999953434,1276472.959999999962747,1394793.679999999934807,1300872.800000000046566,1209863.120000000111759,1375013.059999999823049,10773724.959999999031425
20160316,1368761.860000000102445,1529164.489999999990687,1337906.079999999841675,1277403.649999999906868,1398915.919999999692664,1288961.120000000111759,1189385.120000000111759,1375843.159999999916181,10766341.400000000372529
20160317,1377474.119999999878928,1551633.310000000055879,1359288.640000000130385,1273680.889999999897555,1406301.599999999860302,1278786.560000000055879,1201671.920000000158325,1396263.619999999878928,10845100.659999998286366
20160318,1403610.899999999906868,1559476.199999999720603,1354239.979999999981374,1283194.609999999869615,1419870.639999999897555,1296654.080000000074506,1206177.080000000074506,1397923.820000000065193,10921147.309999998658895
20160321,1403381.629999999888241,1555872.709999999962747,1356318.840000000083819,1280402.539999999804422,1415662.519999999785796,1310302.879999999888241,1231569.800000000046566,1388294.659999999916181,10941805.580000000074506
20160322,1389625.429999999934807,1546969.969999999972060,1351270.179999999934807,1280505.949999999720603,1416263.679999999934807,1316010.560000000055879,1244266.160000000149012,1396595.659999999916181,10941507.589999999850988
20160323,1390083.969999999972060,1545062.239999999990687,1350082.260000000009313,1284332.119999999878928,1410767.359999999869615,1317251.360000000102445,1236484.520000000251457,1390452.919999999925494,10924516.750000000000000
20160324,1386415.649999999906868,1549089.669999999925494,1353646.019999999785796,1275025.219999999972060,1412399.079999999841675,1317003.200000000186265,1231979.360000000102445,1394271.379999999888241,10919829.579999998211861
20160328,1382059.520000000018626,1556508.620000000111759,1360179.579999999841675,1273784.299999999813735,1428029.239999999757856,1311047.360000000102445,1219692.560000000055879,1398255.859999999869615,10929557.039999999105930
20160329,1389396.159999999916181,1543154.509999999776483,1380374.219999999739230,1282057.099999999860302,1411797.919999999692664,1323207.200000000186265,1230750.680000000167638,1403402.479999999981374,10964140.269999999552965
20160330,1382288.790000000037253,1553964.979999999981374,1383344.019999999785796,1301291.359999999869615,1432065.599999999860302,1320725.600000000093132,1231569.800000000046566,1403236.459999999962747,11008486.609999999403954
20160331,1407737.760000000009313,1535311.620000000111759,1377701.399999999906868,1299740.209999999962747,1431035.039999999804422,1313032.639999999897555,1213958.720000000204891,1387796.600000000093132,10966313.989999998360872
20160401,1400859.659999999916181,1543790.419999999925494,1390768.519999999785796,1313597.149999999906868,1438764.239999999757856,1332637.280000000260770,1230341.120000000111759,1377337.339999999850988,11028095.730000000447035
20160404,1389854.699999999953434,1541670.719999999972060,1392550.399999999906868,1319284.699999999720603,1429059.799999999813735,1350008.479999999981374,1258191.200000000186265,1380657.739999999757856,11061277.740000000223517
20160405,1379996.089999999850988,1531708.130000000121072,1381859.119999999878928,1317319.909999999683350,1423992.879999999888241,1346037.920000000158325,1284403.040000000037253,1364885.839999999850988,11030202.929999999701977
20160406,1372888.719999999972060,1537431.319999999832362,1387204.760000000009313,1318767.649999999906868,1432580.879999999888241,1380532.160000000149012,1348703.960000000195578,1383148.040000000037253,11161257.489999998360872
20160407,1349503.179999999934807,1522593.419999999925494,1376810.459999999962747,1325179.069999999599531,1435586.679999999934807,1375320.800000000046566,1341741.439999999944121,1367542.159999999916181,11094277.209999999031425
20160408,1364176.459999999962747,1532556.009999999776483,1391956.439999999944121,1323317.689999999711290,1431035.039999999804422,1373831.840000000083819,1331092.880000000121072,1381487.839999999850988,11129454.200000001117587
20160411,1371054.559999999823049,1532344.040000000037253,1379186.299999999813735,1319181.289999999804422,1430691.519999999785796,1366138.879999999888241,1306109.720000000204891,1383314.059999999823049,11088020.370000001043081
20160412,1391230.320000000065193,1558204.380000000121072,1385422.879999999888241,1319698.339999999850988,1443058.239999999757856,1373335.520000000251457,1308976.640000000130385,1400414.119999999878928,11180340.439999999478459
20160413,1425162.279999999795109,1576009.859999999869615,1367307.099999999860302,1312252.819999999832362,1447867.519999999785796,1388721.440000000176951,1332731.120000000111759,1408383.079999999841675,11258435.219999996945262
20160414,1433186.729999999981374,1580673.199999999720603,1361070.519999999785796,1318664.239999999990687,1444174.679999999934807,1400881.280000000260770,1337236.280000000027940,1418344.280000000027940,11294231.209999997168779
20160415,1424703.739999999990687,1580885.169999999925494,1369088.979999999981374,1321456.309999999823049,1449499.239999999757856,1393188.320000000065193,1331092.880000000121072,1410707.359999999869615,11280622.000000000000000
20160418,1435020.890000000130385,1585972.449999999720603,1372652.739999999990687,1332521.179999999701977,1456112.000000000000000,1402370.239999999990687,1335598.040000000037253,1424154.979999999981374,11344402.519999999552965
20160419,1457489.349999999860302,1601446.259999999776483,1383937.979999999981374,1332624.590000000083819,1456970.799999999813735,1411055.840000000083819,1347065.720000000204891,1431293.839999999850988,11421884.380000000819564
20160420,1490733.499999999767169,1567955.000000000000000,1317711.439999999944121,1329418.879999999888241,1450873.319999999832362,1404107.360000000102445,1360990.760000000009313,1441089.019999999785796,11362879.279999997466803
20160421,1504260.429999999934807,1569014.849999999860302,1296625.859999999869615,1300877.719999999972060,1448468.679999999934807,1404603.680000000167638,1361400.320000000298023,1440923.000000000000000,11326174.539999999105930
20160422,1511597.070000000065193,1588092.149999999906868,1322760.099999999860302,1297878.829999999841675,1448468.679999999934807,1408077.920000000158325,1362629.000000000232831,1453208.479999999981374,11392712.230000000447035
20160425,1506323.860000000102445,1585972.449999999720603,1327808.760000000009313,1318147.189999999711290,1446064.039999999804422,1395173.600000000093132,1360171.640000000130385,1449888.079999999841675,11389549.619999999180436
20160426,1517787.360000000102445,1620099.620000000111759,1322463.119999999878928,1320732.439999999711290,1427170.439999999944121,1390706.719999999972060,1353618.679999999934807,1454868.679999999934807,11407447.060000000521541
20160427,1518475.170000000158325,1617979.919999999925494,1326917.819999999832362,1326833.629999999888241,1440739.479999999748543,1397407.040000000037253,1351570.880000000121072,1468648.339999999850988,11448572.279999999329448
20160428,1509533.640000000130385,1612468.699999999720603,1325432.919999999925494,1322904.049999999813735,1434212.599999999860302,1383261.920000000158325,1347884.840000000083819,1461509.479999999981374,11397208.150000000372529
20160429,1500133.570000000065193,1588092.149999999906868,1330481.579999999841675,1308116.419999999692664,1437476.039999999804422,1360927.520000000251457,1339693.640000000130385,1467652.219999999972060,11332573.140000000596046
