訓練日期,20150908 - 20151208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12102865.019999999552965
真實報酬,2102865.019999999552965

夏普值報酬,0.201586502000000
夏普值風險,0.060963770050607
夏普值,3.306660690975294

預期報酬,35942.491945870919153
風險,194758.188938271428924
趨勢值,0.184549323146884
找到最佳解世代,1781
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
HD[9](7),MCD[15](1),MSFT[18](2),NKE[19](14),V[25](4),
20150923,2030588.250000000000000,2053345.050000000046566,2059140.619999999878928,2104648.809999999590218,2051763.220000000204891,10299485.949999999254942
20150924,2033559.680000000167638,2051447.400000000372529,2061018.099999999860302,2092980.649999999906868,2031231.439999999944121,10270237.269999999552965
20150925,2040551.280000000027940,2057772.900000000372529,2062426.209999999729916,2278941.950000000186265,2044244.540000000037253,10483936.879999998956919
20150928,1994406.719999999972060,2023404.350000000093132,2031917.159999999916181,2226799.860000000335276,1943320.720000000204891,10219848.810000000521541
20150929,1973606.709999999962747,2055453.550000000279397,2038957.709999999729916,2181950.370000000111759,1981781.660000000149012,10231750.000000000000000
20150930,2018702.530000000027940,2077592.800000000279397,2077446.049999999813735,2242114.320000000298023,2014459.000000000000000,10430314.699999999254942
20151001,2045620.190000000176951,2082864.050000000279397,2093874.000000000000000,2257793.410000000149012,2024001.939999999944121,10504153.589999999850988
20151002,2059253.810000000055879,2104159.900000000372529,2138933.519999999552965,2282952.879999999888241,2043666.180000000167638,10628966.289999999105930
20151005,2083549.620000000111759,2133257.200000000186265,2188686.740000000223517,2265815.269999999552965,2088778.260000000242144,10760087.089999999850988
20151006,2074460.540000000270084,2148649.250000000000000,2194319.179999999701977,2246125.250000000000000,2084440.560000000055879,10747994.779999999329448
20151007,2091415.170000000158325,2145908.200000000186265,2196666.030000000260770,2226070.599999999627471,2117407.080000000074506,10777467.080000000074506
20151008,2116060.560000000521541,2170788.500000000000000,2227175.080000000074506,2277483.429999999701977,2137071.320000000298023,10928578.890000000596046
20151009,2120779.889999999664724,2166782.350000000558794,2211216.500000000000000,2277848.059999999590218,2139384.760000000242144,10916011.560000000521541
20151012,2130742.919999999925494,2176903.150000000372529,2206053.429999999701977,2305195.309999999590218,2168591.939999999944121,10987486.749999998137355
20151013,2125674.009999999776483,2179855.049999999813735,2200890.360000000335276,2293891.780000000260770,2168881.120000000111759,10969192.320000000298023
20151014,2102252.150000000372529,2168047.450000000186265,2191033.589999999850988,2294256.410000000149012,2145746.720000000204891,10901336.320000002160668
20151015,2129169.810000000521541,2185758.850000000558794,2206522.799999999813735,2348221.650000000372529,2178713.240000000223517,11048386.350000001490116
20151016,2145425.280000000260770,2210217.450000000186265,2229991.299999999813735,2378850.569999999366701,2197799.120000000111759,11162283.719999998807907
20151019,2151717.719999999739230,2203259.400000000372529,2235154.370000000111759,2428804.879999999888241,2226427.939999999944121,11245364.310000000521541
20151020,2147347.969999999739230,2189554.150000000372529,2242194.919999999925494,2413490.419999999925494,2205896.160000000149012,11198483.620000001043081
20151021,2155213.519999999552965,2162143.650000000372529,2215440.830000000074506,2415313.569999999366701,2182183.399999999906868,11130294.970000000670552
20151022,2173741.259999999776483,2337781.700000000186265,2254398.540000000037253,2414219.679999999701977,2209944.680000000167638,11390085.859999999403954
20151023,2178111.009999999776483,2374047.900000000372529,2481573.620000000111759,2379944.459999999962747,2228741.379999999888241,11642418.370000001043081
20151026,2185102.610000000335276,2365403.050000000745058,2546346.679999999701977,2395258.919999999925494,2260840.360000000335276,11752951.620000001043081
20151027,2175663.950000000186265,2354017.150000000372529,2520061.959999999962747,2385049.280000000260770,2241754.479999999981374,11676546.820000000298023
20151028,2164302.599999999627471,2381427.650000000372529,2533673.689999999478459,2393800.400000000372529,2280793.780000000260770,11753998.120000001043081
20151029,2160981.589999999850988,2374680.450000000186265,2504572.750000000000000,2390518.730000000447035,2270383.300000000279397,11701136.820000000298023
20151030,2161156.379999999888241,2366879.000000000000000,2470778.110000000335276,2389060.209999999962747,2243489.560000000055879,11631363.259999999776483
20151102,2174615.209999999962747,2363927.100000000558794,2498940.309999999590218,2391977.250000000000000,2175243.080000000074506,11604702.950000001117587
20151103,2196463.959999999962747,2363294.549999999813735,2541652.979999999515712,2395623.549999999813735,2252743.320000000298023,11749778.359999999403954
20151104,2191569.839999999850988,2370041.750000000000000,2553387.229999999515712,2376662.790000000037253,2265756.419999999925494,11757418.029999999329448
20151105,2197512.700000000186265,2379530.000000000000000,2552448.490000000223517,2404010.040000000037253,2292071.800000000279397,11825573.030000001192093
20151106,2202057.240000000223517,2389229.100000000558794,2577794.469999999739230,2402551.519999999552965,2277323.620000000111759,11848955.949999999254942
20151109,2176188.320000000298023,2381216.800000000745058,2542122.349999999627471,2378850.569999999366701,2256791.840000000316650,11735169.879999998956919
20151110,2189472.360000000335276,2387331.450000000186265,2511613.299999999813735,2370099.450000000186265,2298433.760000000242144,11756950.320000000298023
20151111,2179858.910000000149012,2400615.000000000000000,2518184.479999999515712,2323062.179999999701977,2289758.360000000335276,11711478.929999999701977
20151112,2164127.810000000521541,2363927.100000000558794,2502695.269999999552965,2296808.820000000298023,2264599.700000000186265,11592158.699999999254942
20151113,2097532.820000000298023,2318805.200000000186265,2480165.509999999776483,2221695.040000000037253,2258816.100000000093132,11377014.669999999925494
20151116,2112215.179999999701977,2341787.850000000558794,2523816.919999999925494,2250865.439999999478459,2281661.320000000298023,11510346.710000000894070
20151117,2205553.040000000037253,2339257.650000000372529,2486267.320000000298023,2234821.719999999739230,2279637.060000000055879,11545536.790000000968575
20151118,2211845.480000000447035,2372782.799999999813735,2527571.879999999888241,2293162.519999999552965,2326773.399999999906868,11732136.080000000074506
20151119,2217438.759999999776483,2389018.250000000000000,2531796.209999999962747,2293162.519999999552965,2317808.820000000298023,11749224.559999998658895
20151120,2275993.410000000149012,2401880.100000000558794,2543530.459999999962747,2418595.240000000223517,2318965.540000000037253,11958964.750000000000000
20151123,2316020.320000000298023,2413687.700000000186265,2543530.459999999962747,2414948.940000000409782,2316652.100000000093132,12004839.520000001415610
20151124,2335247.219999999739230,2409681.549999999813735,2546346.679999999701977,2416042.830000000074506,2307398.340000000316650,12014716.619999999180436
20151125,2353600.169999999925494,2412211.750000000000000,2520061.959999999962747,2445577.859999999403954,2300747.200000000186265,12032198.939999997615814
20151127,2355173.280000000260770,2408627.300000000745058,2531326.839999999850988,2449224.160000000149012,2308844.240000000223517,12053195.820000002160668
20151130,2340141.339999999850988,2407151.350000000558794,2551040.379999999888241,2411667.269999999552965,2284842.300000000279397,11994842.640000000596046
20151201,2349754.790000000037253,2413266.000000000000000,2591875.570000000298023,2430628.030000000260770,2310868.500000000000000,12096392.890000000596046
20151202,2338917.810000000521541,2397873.950000000186265,2591406.200000000186265,2418595.240000000223517,2285709.840000000316650,12032503.040000000968575
20151203,2288578.290000000037253,2390915.900000000372529,2543999.830000000074506,2354055.730000000447035,2264021.340000000316650,11841571.089999999850988
20151204,2351502.690000000409782,2450164.750000000000000,2624262.099999999627471,2412761.160000000149012,2325038.320000000298023,12163729.019999999552965
20151207,2341015.290000000037253,2454803.450000000186265,2619568.400000000372529,2399269.849999999627471,2300458.020000000018626,12115115.009999999776483
20151208,2339442.179999999701977,2457122.799999999813735,2618629.660000000149012,2401093.000000000000000,2286577.379999999888241,12102865.019999999552965
