訓練日期,20110916 - 20111216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10986334.760000001639128
真實報酬,986334.760000001639128

夏普值報酬,0.089933476000000
夏普值風險,0.035937445578775
夏普值,2.502500513089212

預期報酬,18701.134757273262949
風險,164420.578623189474456
趨勢值,0.113739623798135
找到最佳解世代,2364
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](3),MCD[15](2),WMT[28](1),
20111006,3560658.200000000186265,3296998.919999999925494,3348567.959999999962747,10206226.080000000074506
20111007,3574376.099999999627471,3300405.240000000223517,3408873.010000000242144,10283655.349999999627471
20111010,3657271.410000000149012,3349986.120000000111759,3479334.700000000186265,10486593.230000000447035
20111011,3625524.270000000018626,3381399.960000000428408,3473621.589999999850988,10480546.820000000298023
20111012,3647472.910000000149012,3344308.919999999925494,3504091.510000000242144,10495874.339999999850988
20111013,3661190.810000000055879,3380264.520000000018626,3492665.290000000037253,10534121.620000001043081
20111014,3733895.680000000167638,3404108.760000000242144,3520596.049999999813735,10658601.490000000223517
20111017,3656683.500000000000000,3355663.319999999832362,3477430.330000000074506,10489778.150000000372529
20111018,3505982.570000000298023,3392754.360000000335276,3547892.020000000018626,10446629.950000001117587
20111019,3476391.099999999627471,3391997.400000000372529,3570744.459999999962747,10439133.960000000894070
20111020,3473647.520000000018626,3368910.120000000111759,3578361.939999999944121,10420920.580000000074506
20111021,3559482.379999999888241,3494187.000000000000000,3613275.390000000130385,10666945.769999999552965
20111024,3571632.520000000018626,3482454.120000000111759,3604388.330000000074506,10658475.970000000670552
20111025,3534594.190000000409782,3473370.600000000093132,3599944.799999999813735,10607910.589999999850988
20111026,3566145.359999999869615,3473749.080000000074506,3641840.939999999944121,10681736.379999998956919
20111027,3651784.250000000000000,3539226.120000000111759,3669771.700000000186265,10860783.070000000298023
20111028,3673536.919999999925494,3530899.560000000521541,3627875.560000000055879,10832313.040000000968575
20111031,3618273.379999999888241,3514246.439999999944121,3600579.589999999850988,10733100.410000000149012
20111101,3553995.219999999739230,3478669.319999999832362,3569474.879999999888241,10602140.419999998062849
20111102,3604359.509999999776483,3502135.080000000074506,3609466.649999999906868,10715962.240000000223517
20111103,3670597.370000000111759,3519923.640000000130385,3645014.890000000130385,10835536.900000000372529
20111104,3652568.129999999888241,3550580.520000000018626,3650093.209999999962747,10853242.859999999403954
20111107,3670989.310000000055879,3581237.400000000372529,3678023.969999999739230,10930251.679999999701977
20111108,3669617.520000000018626,3580480.439999999944121,3765624.989999999757856,11015723.949999999254942
20111109,3571436.550000000279397,3506676.840000000316650,3685006.659999999683350,10763121.050000000745058
20111110,3593189.219999999739230,3529764.120000000111759,3690084.979999999981374,10813039.320000000298023
20111111,3672165.129999999888241,3586536.120000000111759,3758007.510000000242144,11016709.759999999776483
20111114,3671577.219999999739230,3560042.520000000018626,3738329.020000000018626,10969949.759999999776483
20111115,3699013.020000000018626,3575560.200000000186265,3647554.049999999813735,10922128.269999999552965
20111116,3657271.410000000149012,3525600.840000000316650,3598040.430000000167638,10780913.679999999701977
20111117,3639830.079999999608845,3493051.560000000521541,3601214.379999999888241,10734097.019999999552965
20111118,3630227.550000000279397,3510083.160000000149012,3632953.879999999888241,10773265.589999999850988
20111121,3556542.829999999608845,3492673.080000000074506,3596770.849999999627471,10645987.759999999776483
20111122,3553211.339999999850988,3506676.840000000316650,3608831.859999999869615,10668721.039999999105930
20111123,3487365.419999999925494,3477155.400000000372529,3595501.270000000018626,10560023.089999999850988
20111125,3469924.089999999850988,3485860.439999999944121,3611371.020000000018626,10567156.549999998882413
20111128,3570848.640000000130385,3548688.120000000111759,3634223.459999999962747,10753761.219999998807907
20111129,3545960.450000000186265,3537333.719999999739230,3692624.140000000130385,10775919.310000000521541
20111130,3684315.270000000018626,3615300.600000000093132,3738963.810000000055879,11038580.679999999701977
20111201,3712730.919999999925494,3614543.640000000130385,3720554.899999999906868,11047830.460000000894070
20111202,3716846.290000000037253,3622113.240000000223517,3687545.820000000298023,11026506.350000001490116
20111205,3739970.750000000000000,3608866.439999999944121,3703415.570000000298023,11052253.759999999776483
20111206,3781124.450000000186265,3633846.120000000111759,3731346.330000000074506,11146317.900000000372529
20111207,3802877.120000000111759,3650499.240000000223517,3714207.000000000000000,11167584.359999999403954
20111208,3754472.530000000260770,3668287.800000000279397,3680563.129999999888241,11103324.460000000894070
20111209,3812871.589999999850988,3710299.080000000074506,3702145.989999999757856,11225317.660000000149012
20111212,3766230.729999999981374,3727330.680000000167638,3687545.820000000298023,11181108.230000000447035
20111213,3746045.820000000298023,3709163.640000000130385,3656441.109999999869615,11111651.570000000298023
20111214,3698425.109999999869615,3694402.919999999925494,3659615.060000000055879,11052444.089999999850988
20111215,3674124.829999999608845,3714462.360000000335276,3678658.760000000242144,11067246.949999999254942
20111216,3597500.560000000055879,3689861.160000000149012,3698972.040000000037253,10986334.760000001639128
