訓練日期,20141230 - 20150402
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10958373.380000000819564
真實報酬,958373.380000000819564

夏普值報酬,0.087137338000000
夏普值風險,0.034501889831049
夏普值,2.525581596448736

預期報酬,18759.256219505688932
風險,128268.044653239368927
趨勢值,0.146250426364724
找到最佳解世代,1871
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),MRK[17](13),PFE[20](2),UNH[23](1),WBA[27](7),
20150306,2314907.940000000409782,1969166.840000000316650,2164382.120000000111759,2206189.199999999720603,2144810.200000000186265,10799456.300000000745058
20150309,2339550.280000000260770,1983717.320000000065193,2168204.959999999962747,2245668.080000000074506,2174761.950000000186265,10911902.589999999850988
20150310,2304325.339999999850988,1960159.400000000139698,2152276.459999999962747,2197980.719999999739230,2154446.849999999627471,10769188.769999999552965
20150311,2285427.839999999850988,1942144.520000000251457,2142719.360000000335276,2203062.160000000149012,2148977.400000000372529,10722331.280000001192093
20150312,2298580.500000000000000,1945955.360000000102445,2166293.540000000037253,2245277.199999999720603,2194295.700000000186265,10850402.300000000745058
20150313,2291475.040000000037253,1946994.680000000167638,2166293.540000000037253,2252508.479999999981374,2180491.849999999627471,10837763.589999999850988
20150316,2323222.839999999850988,1978867.159999999916181,2194327.699999999720603,2316417.359999999869615,2259929.099999999627471,11072764.159999998286366
20150317,2335921.959999999962747,1956348.560000000055879,2177124.919999999925494,2298436.879999999888241,2246646.150000000372529,11014478.470000000670552
20150318,2354365.919999999925494,1997228.479999999981374,2190504.860000000335276,2344560.719999999739230,2270607.549999999813735,11157267.530000001192093
20150319,2329874.759999999776483,2016629.120000000111759,2175850.640000000130385,2360195.919999999925494,2275295.650000000372529,11157846.089999999850988
20150320,2335770.780000000260770,2029447.400000000139698,2182222.040000000037253,2328534.640000000130385,2297954.799999999813735,11173929.660000000149012
20150323,2310221.360000000335276,2034644.000000000000000,2233193.239999999757856,2326580.240000000223517,2289880.849999999627471,11194519.689999999478459
20150324,2292684.480000000447035,2031179.600000000325963,2199424.820000000298023,2308599.760000000242144,2291964.450000000186265,11123853.110000003129244
20150325,2240980.919999999925494,2018361.320000000065193,2185407.739999999757856,2277720.240000000223517,2236749.049999999813735,10959219.269999999552965
20150326,2240073.839999999850988,1995496.280000000260770,2176487.779999999795109,2272052.479999999981374,2199244.250000000000000,10883354.630000000819564
20150327,2250354.080000000074506,2000692.880000000121072,2200061.959999999962747,2306449.919999999925494,2221382.500000000000000,10978941.339999999850988
20150330,2308558.379999999888241,2021132.840000000316650,2230007.540000000037253,2364886.479999999981374,2239614.000000000000000,11164199.240000000223517
20150331,2268949.220000000670552,1991339.000000000000000,2216627.600000000093132,2311922.240000000223517,2205495.049999999813735,10994333.109999999403954
20150401,2247179.299999999813735,1969859.720000000204891,2187319.160000000149012,2295505.280000000260770,2194556.150000000372529,10894419.610000001266599
20150402,2256854.820000000298023,1978174.280000000260770,2190504.860000000335276,2293746.319999999832362,2239093.099999999627471,10958373.380000000819564
