訓練日期,20130314 - 20130614
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11601395.029999999329448
真實報酬,1601395.029999999329448

夏普值報酬,0.151439503000000
夏普值風險,0.049883697261200
夏普值,3.035851617153290

預期報酬,28207.670400576524116
風險,89592.795073620785843
趨勢值,0.314843067206437
找到最佳解世代,2742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](8),BA[2](2),INTC[11](5),MRK[17](13),MSFT[18](1),UNH[23](6),WBA[27](11),
20130327,1469043.450000000186265,1453012.199999999953434,1439783.179999999934807,1412872.869999999878928,1451595.700000000186265,1484683.940000000176951,1577503.780000000027940,10288498.119999999180436
20130328,1475825.320000000065193,1447112.599999999860302,1440442.720000000204891,1416076.570000000065193,1463875.540000000037253,1500154.330000000074506,1592196.699999999953434,10335686.780000001192093
20130401,1471449.920000000158325,1436999.000000000000000,1413401.580000000074506,1420882.119999999878928,1463875.540000000037253,1546303.290000000037253,1568487.669999999925494,10321402.119999999180436
20130402,1479763.180000000167638,1417446.040000000037253,1415380.200000000186265,1438822.839999999850988,1473597.080000000074506,1618935.460000000195578,1580175.219999999972060,10424123.020000001415610
20130403,1449354.150000000139698,1421997.159999999916181,1388339.060000000055879,1453239.489999999990687,1461317.239999999990687,1617099.990000000223517,1546114.359999999869615,10337464.449999999254942
20130404,1459855.110000000335276,1431942.199999999953434,1394274.920000000158325,1451958.010000000009313,1463363.880000000121072,1626539.550000000279397,1555798.330000000074506,10383735.000000000000000
20130405,1428571.000000000000000,1452506.520000000018626,1381084.120000000111759,1445870.979999999981374,1468480.479999999981374,1628375.020000000251457,1569823.389999999897555,10374714.510000001639128
20130408,1435134.100000000093132,1462283.000000000000000,1390977.220000000204891,1457083.929999999934807,1462852.219999999972060,1622868.610000000102445,1591528.839999999850988,10422730.919999999925494
20130409,1426820.840000000083819,1470036.760000000009313,1434506.860000000102445,1458045.039999999804422,1515041.540000000037253,1630472.700000000186265,1613234.290000000037253,10548161.030000001192093
20130410,1430758.700000000186265,1480318.919999999925494,1468143.400000000139698,1500654.250000000000000,1549322.760000000009313,1636503.530000000027940,1606555.689999999944121,10672260.250000000000000
20130411,1438196.880000000121072,1492286.679999999934807,1439783.179999999934807,1512507.939999999944121,1480760.320000000065193,1651449.500000000000000,1625255.770000000018626,10640243.269999999552965
20130412,1436884.260000000242144,1498354.840000000083819,1429890.080000000074506,1509304.239999999990687,1473085.419999999925494,1652760.550000000279397,1628595.070000000065193,10628877.460000000894070
20130415,1402318.600000000093132,1462620.119999999878928,1410103.880000000121072,1488480.189999999944121,1467968.820000000065193,1615002.310000000288710,1623586.119999999878928,10470083.039999999105930
20130416,1413038.330000000307336,1464642.840000000083819,1445719.040000000270084,1504498.689999999944121,1482295.300000000046566,1646991.930000000167638,1638279.040000000037253,10595468.170000001788139
20130417,1402974.910000000149012,1461271.639999999897555,1446378.580000000074506,1498091.289999999804422,1475132.060000000055879,1626539.550000000279397,1621248.609999999869615,10531639.640000000596046
20130418,1422882.980000000214204,1451663.719999999972060,1466824.320000000065193,1491683.889999999897555,1473085.419999999925494,1565182.410000000149012,1626591.489999999990687,10497917.230000000447035
20130419,1471012.380000000121072,1482678.760000000009313,1480015.120000000111759,1521478.300000000046566,1523228.100000000093132,1574359.760000000242144,1647963.010000000009313,10700738.429999999701977
20130422,1458323.719999999972060,1465485.639999999897555,1509034.880000000121072,1535254.209999999962747,1577464.060000000055879,1552858.540000000037253,1660318.419999999925494,10758742.470000000670552
20130423,1475606.550000000279397,1486387.080000000074506,1542011.880000000121072,1558000.479999999981374,1565695.880000000121072,1535028.260000000242144,1656979.119999999878928,10819712.250000000000000
20130424,1474950.240000000223517,1531055.479999999981374,1560479.000000000000000,1536215.320000000065193,1625048.440000000176951,1541583.510000000242144,1637945.109999999869615,10907280.100000001490116
20130425,1490482.910000000149012,1545214.520000000018626,1542011.880000000121072,1516993.119999999878928,1634258.320000000065193,1556005.060000000288710,1659650.560000000055879,10944619.370000001043081
20130426,1482169.650000000139698,1565104.599999999860302,1543330.959999999962747,1533652.359999999869615,1626583.419999999925494,1559676.000000000000000,1645291.570000000065193,10955811.560000000521541
20130429,1479544.410000000149012,1549091.400000000139698,1567074.400000000139698,1532050.510000000009313,1668539.540000000037253,1573573.130000000121072,1650300.520000000018626,11020176.910000000149012
20130430,1496608.469999999972060,1540831.959999999962747,1579605.660000000149012,1505780.169999999925494,1693610.880000000121072,1571475.450000000186265,1653305.889999999897555,11041221.480000000447035
20130501,1493764.460000000195578,1536955.080000000074506,1582243.820000000065193,1463811.699999999953434,1674167.800000000046566,1565969.040000000037253,1634271.879999999888241,10951186.780000001192093
20130502,1517829.160000000149012,1554316.760000000009313,1590158.300000000046566,1465093.179999999934807,1696680.839999999850988,1559676.000000000000000,1632268.300000000046566,11016025.539999999105930
20130503,1536424.610000000335276,1580106.439999999944121,1580265.200000000186265,1463170.959999999962747,1713565.620000000111759,1544992.240000000223517,1603550.320000000065193,11022078.390000000596046
20130506,1532705.520000000251457,1587691.639999999897555,1576967.500000000000000,1441065.429999999934807,1726868.780000000027940,1578555.120000000344589,1597539.580000000074506,11041396.570000000298023
20130507,1536643.380000000121072,1597805.239999999990687,1592796.459999999962747,1450356.159999999916181,1704355.740000000223517,1586421.420000000158325,1642620.129999999888241,11111001.530000001192093
20130508,1538174.770000000251457,1585163.239999999990687,1599391.860000000102445,1441385.800000000046566,1687982.620000000111759,1639125.630000000121072,1640282.619999999878928,11131509.539999999105930
20130509,1535987.070000000065193,1594771.159999999916181,1606646.800000000046566,1457404.300000000046566,1671097.839999999850988,1626015.130000000121072,1596537.790000000037253,11088463.089999999850988
20130510,1533143.060000000055879,1588534.439999999944121,1615880.360000000102445,1472141.320000000065193,1672632.819999999832362,1649614.030000000027940,1626925.419999999925494,11158874.449999999254942
20130513,1526798.730000000214204,1597299.560000000055879,1588179.679999999934807,1479189.459999999962747,1690029.260000000009313,1635979.110000000102445,1638612.969999999972060,11156091.769999999552965
20130514,1564427.170000000158325,1620055.159999999916181,1572350.720000000204891,1494567.219999999972060,1715612.260000000009313,1618673.250000000000000,1655977.330000000074506,11241666.110000001266599
20130515,1592210.960000000195578,1635394.119999999878928,1596094.160000000149012,1497130.179999999934807,1731985.380000000121072,1615526.730000000214204,1670670.250000000000000,11339014.779999999329448
20130516,1580178.610000000335276,1627977.479999999981374,1578946.120000000111759,1485596.859999999869615,1743753.560000000055879,1629423.860000000102445,1639948.689999999944121,11285828.179999999701977
20130517,1604024.540000000037253,1667420.520000000018626,1585541.520000000018626,1473422.800000000046566,1784174.699999999953434,1647778.560000000288710,1656645.189999999944121,11419010.830000000074506
20130520,1627651.700000000186265,1664049.320000000065193,1588179.679999999934807,1448433.939999999944121,1794919.560000000055879,1640436.680000000167638,1661320.209999999962747,11424994.089999999850988
20130521,1643184.370000000111759,1664555.000000000000000,1592796.459999999962747,1516352.379999999888241,1783151.380000000121072,1648565.190000000176951,1673341.689999999944121,11521949.469999998807907
20130522,1628526.780000000027940,1650733.080000000074506,1587520.140000000130385,1496489.439999999944121,1770871.540000000037253,1633094.800000000279397,1674343.479999999981374,11441582.259999999776483
20130523,1633996.030000000027940,1681411.000000000000000,1586201.060000000055879,1516352.379999999888241,1747335.179999999934807,1635192.480000000214204,1683025.659999999916181,11483516.789999999105930
20130524,1646684.689999999944121,1685625.000000000000000,1577627.040000000270084,1510906.089999999850988,1753475.100000000093132,1627326.180000000167638,1695381.070000000065193,11497028.169999999925494
20130528,1666155.219999999972060,1687479.159999999916181,1588179.679999999934807,1525643.109999999869615,1791849.600000000093132,1660889.060000000288710,1677348.849999999860302,11597547.679999999701977
20130529,1658935.810000000055879,1670286.040000000037253,1600710.940000000176951,1501615.359999999869615,1784686.360000000102445,1661151.270000000251457,1654307.679999999934807,11531696.460000000894070
20130530,1665717.680000000167638,1694727.239999999990687,1596753.700000000186265,1508022.760000000009313,1792361.260000000009313,1695500.780000000027940,1636609.389999999897555,11589695.810000000521541
20130531,1656310.570000000065193,1669106.119999999878928,1601370.480000000214204,1496169.070000000065193,1785709.679999999934807,1642272.150000000139698,1594868.139999999897555,11445809.210000000894070
20130603,1672937.090000000083819,1698098.439999999944121,1664686.320000000065193,1552233.820000000065193,1821014.220000000204891,1646729.719999999972060,1619578.959999999962747,11675281.570000000298023
20130604,1663967.520000000251457,1679051.159999999916181,1672600.800000000046566,1583950.449999999953434,1790314.620000000111759,1635192.480000000214204,1603884.250000000000000,11628964.280000001192093
20130605,1635527.420000000158325,1660172.439999999944121,1629071.160000000149012,1561204.179999999934807,1779569.760000000009313,1619197.670000000158325,1623920.050000000046566,11508665.680000001564622
20130606,1667905.380000000121072,1681579.560000000055879,1625773.459999999962747,1557039.369999999878928,1788779.640000000130385,1623655.240000000223517,1610896.780000000027940,11555632.429999999701977
20130607,1707283.980000000214204,1727596.439999999944121,1621816.220000000204891,1543904.199999999953434,1825107.500000000000000,1640698.890000000130385,1650300.520000000018626,11716710.750000000000000
20130610,1712534.460000000195578,1723382.439999999944121,1649516.900000000139698,1552554.189999999944121,1814874.300000000046566,1669804.200000000186265,1657980.909999999916181,11780650.400000002235174
20130611,1674030.939999999944121,1715123.000000000000000,1629730.700000000186265,1523720.889999999897555,1782639.720000000204891,1676359.450000000186265,1654307.679999999934807,11655915.379999998956919
20130612,1634652.340000000083819,1700458.280000000027940,1613242.200000000186265,1513789.419999999925494,1790826.280000000027940,1673737.350000000093132,1647629.080000000074506,11574337.950000001117587
20130613,1645372.070000000065193,1722033.959999999962747,1648197.820000000065193,1534613.469999999972060,1776499.800000000046566,1682128.070000000298023,1672005.969999999972060,11680854.160000002011657
20130614,1596367.590000000083819,1716471.479999999981374,1643581.040000000270084,1536215.320000000065193,1760126.679999999934807,1672950.719999999972060,1675679.199999999953434,11601395.029999999329448
