訓練日期,20090930 - 20091231
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11598498.350000001490116
真實報酬,1598498.350000001490116

夏普值報酬,0.151149835000000
夏普值風險,0.046914542822758
夏普值,3.221811956498042

預期報酬,26223.626640901085921
風險,87809.905556607060134
趨勢值,0.298640870579184
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MSFT[18](2),NKE[19](17),V[25](1),VZ[26](20),
20091104,2724270.969999999739230,2609853.040000000037253,2814834.399999999906868,2412234.520000000018626,10561192.929999999701977
20091105,2764076.639999999664724,2694739.480000000447035,2860837.600000000093132,2429078.399999999906868,10748732.120000001043081
20091106,2768930.989999999757856,2686417.280000000260770,2863712.800000000279397,2450354.880000000353903,10769415.950000001117587
20091109,2814561.879999999888241,2718041.639999999664724,2916904.000000000000000,2500886.520000000018626,10950394.039999999105930
20091110,2816503.620000000111759,2683088.400000000372529,2914028.799999999813735,2512411.280000000260770,10926032.100000001490116
20091111,2827183.189999999944121,2701397.240000000223517,2903965.600000000093132,2515957.359999999869615,10948503.389999998733401
20091112,2850484.069999999832362,2666444.000000000000000,2872338.400000000372529,2500000.000000000000000,10889266.470000000670552
20091113,2876697.560000000055879,2681423.959999999962747,2875213.600000000093132,2497340.440000000409782,10930675.559999998658895
20091116,2867959.729999999981374,2749666.000000000000000,2859400.000000000000000,2514184.319999999832362,10991210.050000000745058
20091117,2912619.750000000000000,2703061.679999999701977,2895340.000000000000000,2540779.919999999925494,11051801.349999999627471
20091118,2923299.319999999832362,2681423.959999999962747,2889589.600000000093132,2541666.440000000409782,11035979.320000000298023
20091119,2891260.610000000335276,2644806.280000000260770,2882401.600000000093132,2529255.160000000149012,10947723.650000000372529
20091120,2875726.689999999944121,2659786.240000000223517,2875213.600000000093132,2522163.000000000000000,10932889.529999999329448
20091123,2906794.530000000260770,2683088.400000000372529,2891027.200000000186265,2596630.680000000167638,11077540.810000000521541
20091124,2903881.919999999925494,2684752.839999999850988,2898215.200000000186265,2641843.200000000186265,11128693.160000000149012
20091125,2892231.479999999981374,2734686.040000000037253,2939905.600000000093132,2655141.000000000000000,11221964.119999999180436
20091127,2836891.889999999664724,2706390.560000000521541,2886714.399999999906868,2621453.240000000223517,11051450.089999999850988
20091130,2855338.419999999925494,2699732.799999999813735,2911153.600000000093132,2607268.919999999925494,11073493.740000000223517
20091201,2913590.620000000111759,2721370.520000000484288,2981596.000000000000000,2680850.080000000074506,11297407.220000000670552
20091202,2891260.610000000335276,2719706.080000000074506,2955719.199999999720603,2706559.160000000149012,11273245.050000000745058
20091203,2896114.959999999962747,2691410.600000000558794,2876651.200000000186265,2709218.720000000204891,11173395.480000002309680
20091204,2910678.010000000242144,2676430.639999999664724,2885276.800000000279397,2710105.240000000223517,11182490.690000001341105
20091207,2892231.479999999981374,2686417.280000000260770,2872338.400000000372529,2756204.280000000260770,11207191.440000001341105
20091208,2870872.339999999850988,2643141.840000000316650,2875213.600000000093132,2767729.040000000037253,11156956.820000000298023
20091209,2884464.520000000018626,2578228.680000000167638,2938468.000000000465661,2759750.359999999869615,11160911.560000000521541
20091210,2899998.439999999944121,2609853.040000000037253,2958594.399999999906868,2789892.040000000037253,11258337.920000001788139
20091211,2898056.700000000186265,2658121.800000000279397,2924092.000000000000000,2796097.680000000167638,11276368.179999999701977
20091214,2923299.319999999832362,2669772.879999999888241,3046288.000000000465661,2781026.840000000316650,11420387.039999999105930
20091215,2914561.489999999757856,2678095.080000000074506,3096604.000000000000000,2735814.319999999832362,11425074.890000000596046
20091216,2922328.450000000186265,2664779.560000000521541,3128231.200000000186265,2710991.759999999776483,11426330.970000000670552
20091217,2873784.950000000186265,2631490.760000000242144,3128231.200000000186265,2719856.959999999962747,11353363.870000001043081
20091218,2947571.069999999832362,2681423.959999999962747,3197236.000000000000000,2718970.440000000409782,11545201.469999998807907
20091221,2963104.989999999757856,2699732.799999999813735,3145482.399999999906868,2736700.840000000316650,11545021.029999999329448
20091222,2992231.089999999850988,2708055.000000000000000,3102354.399999999906868,2751771.680000000167638,11554412.169999999925494
20091223,3001939.790000000037253,2723034.959999999962747,3096604.000000000000000,2754431.240000000223517,11576009.990000000223517
20091224,3009706.750000000000000,2714712.759999999776483,3100916.800000000279397,2765069.479999999981374,11590405.790000000968575
20091228,3026211.540000000037253,2726363.839999999850988,3118168.000000000465661,2775707.720000000204891,11646451.100000001490116
20091229,3047570.680000000167638,2754659.320000000298023,3164171.200000000186265,2770388.600000000093132,11736789.799999998882413
20091230,3005823.270000000018626,2752994.879999999888241,3168484.000000000000000,2770388.600000000093132,11697690.750000000000000
20091231,2959221.510000000242144,2749666.000000000000000,3144044.800000000279397,2745566.040000000037253,11598498.350000001490116
