訓練日期,20091230 - 20100405
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11107329.480000000447035
真實報酬,1107329.480000000447035

夏普值報酬,0.102032948000000
夏普值風險,0.034526793423029
夏普值,2.955181697584064

預期報酬,17676.803123151643376
風險,113948.552603314630687
趨勢值,0.155129685452779
找到最佳解世代,1995
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),MCD[15](6),PG[21](4),TRV[22](2),UNH[23](3),
20100115,2203222.250000000000000,1958799.189999999944121,1975316.719999999972060,1956687.679999999934807,2188004.099999999627471,10282029.939999999478459
20100119,2197064.000000000000000,1996540.389999999897555,2004546.919999999925494,1982354.239999999990687,2277468.120000000111759,10457973.669999999925494
20100120,2180762.750000000000000,1981758.419999999925494,1963299.860000000102445,1962302.239999999990687,2239867.299999999813735,10327990.570000000298023
20100121,2144537.750000000000000,1987734.110000000102445,1943488.280000000027940,1963104.320000000065193,2145865.250000000000000,10184729.710000000894070
20100122,2092736.000000000000000,1993709.800000000046566,1958752.940000000176951,1937437.760000000009313,2149754.989999999292195,10132391.489999998360872
20100125,2093098.250000000000000,1984274.500000000000000,1969145.900000000139698,1960698.080000000074506,2139382.349999999627471,10146599.080000000074506
20100126,2090562.500000000000000,2006919.219999999972060,1971094.579999999841675,2014437.439999999944121,2103078.109999999403954,10186091.849999999627471
20100127,2243432.000000000000000,2004403.139999999897555,1974991.940000000176951,2041307.119999999878928,2154941.309999999590218,10419075.509999999776483
20100128,2266253.750000000000000,1976097.239999999757856,2003247.800000000046566,2016041.600000000093132,2167258.820000000298023,10428899.210000000894070
20100129,2195252.750000000000000,1963516.839999999850988,1999025.659999999916181,2032083.200000000186265,2139382.349999999627471,10329260.800000000745058
20100201,2235100.250000000000000,2009435.300000000046566,2013315.979999999981374,2032885.280000000027940,2147810.120000000111759,10438546.929999999701977
20100202,2243794.250000000000000,2013838.439999999944121,2042870.959999999962747,2048926.880000000121072,2207452.799999999813735,10556883.329999998211861
20100203,2226406.250000000000000,2050950.619999999646097,2034751.459999999962747,2028072.800000000046566,2160127.629999999888241,10500308.759999997913837
20100204,2148884.750000000000000,2014781.969999999972060,1994153.959999999962747,1994385.439999999944121,2104374.689999999478459,10256580.809999998658895
20100205,2115557.750000000000000,1993080.779999999795109,1990906.159999999916181,2016442.640000000130385,2109561.009999999776483,10225548.339999999850988
20100208,2097083.000000000000000,1978927.830000000074506,1981487.540000000037253,1967114.719999999972060,2101133.239999999292195,10125746.329999998211861
20100209,2164099.250000000000000,1999370.979999999981374,2005846.040000000037253,1987968.800000000046566,2139382.349999999627471,10296667.419999998062849
20100210,2156854.250000000000000,1989306.659999999916181,2002923.020000000018626,1992781.280000000027940,2120581.939999999478459,10262447.149999998509884
20100211,2194890.500000000000000,2006290.199999999953434,2012341.640000000130385,2013234.320000000065193,2147161.830000000074506,10373918.490000000223517
20100212,2160839.000000000000000,2000000.000000000000000,2005846.040000000037253,2023260.320000000065193,2086222.569999999832362,10276167.929999999701977
20100216,2219161.250000000000000,2013209.420000000158325,2040597.500000000000000,2069780.959999999962747,2050566.619999999878928,10393315.750000000000000
20100217,2239447.250000000000000,2021072.170000000158325,2041247.060000000055879,2075395.520000000018626,2110209.299999999813735,10487371.300000000745058
20100218,2278208.000000000000000,2027991.390000000130385,2058785.179999999934807,2115098.479999999981374,2119285.359999999403954,10599368.410000000149012
20100219,2303565.500000000000000,2036168.649999999674037,2060733.860000000102445,2120713.040000000037253,2070663.609999999869615,10591844.660000000149012
20100222,2317331.000000000000000,2037112.179999999701977,2059759.520000000018626,2127129.680000000167638,2144568.669999999925494,10685901.049999998882413
20100223,2273861.000000000000000,2040257.280000000027940,2052939.140000000130385,2099858.959999999962747,2127064.839999999850988,10593981.219999998807907
20100224,2299580.750000000000000,2052523.170000000158325,2075024.179999999934807,2117103.680000000167638,2179576.330000000074506,10723808.109999999403954
20100225,2277483.500000000000000,2024846.289999999804422,2068853.360000000102445,2115499.520000000018626,2168555.400000000372529,10655238.070000000298023
20100226,2287988.750000000000000,2008177.260000000009313,2055212.600000000093132,2109082.880000000353903,2195135.290000000037253,10655596.780000001192093
20100301,2318417.750000000000000,2012265.889999999897555,2062682.540000000037253,2128733.839999999850988,2206804.509999999776483,10728904.529999999329448
20100302,2334356.750000000000000,2015096.479999999748543,2069178.140000000130385,2137155.680000000167638,2200969.900000000372529,10756756.949999999254942
20100303,2334719.000000000000000,2001258.040000000037253,2063981.659999999916181,2130338.000000000000000,2210694.250000000000000,10740990.949999999254942
20100304,2374566.500000000000000,1994967.839999999850988,2067879.020000000018626,2147582.719999999739230,2136140.900000000372529,10721136.979999998584390
20100305,2460782.000000000465661,2002516.080000000074506,2068528.579999999841675,2163223.279999999795109,2187355.809999999590218,10882405.750000000000000
20100308,2435786.750000000000000,2048120.030000000027940,2052289.579999999841675,2157608.719999999739230,2145865.250000000000000,10839670.330000000074506
20100309,2455710.500000000000000,2047491.009999999776483,2055862.159999999916181,2148384.799999999813735,2144568.669999999925494,10852017.139999998733401
20100310,2536130.000000000000000,2042458.849999999860302,2046443.540000000037253,2121114.080000000074506,2154941.309999999590218,10901087.779999997466803
20100311,2538303.499999999534339,2050950.619999999646097,2051640.020000000018626,2150390.000000000000000,2171796.849999999627471,10963080.989999998360872
20100312,2529609.500000000000000,2061014.939999999944121,2056511.719999999972060,2131942.159999999683350,2133547.739999999292195,10912626.059999998658895
20100315,2514032.750000000000000,2073595.340000000083819,2068853.360000000102445,2114697.439999999944121,2108912.719999999739230,10880091.609999999403954
20100316,2489399.750000000000000,2077998.479999999748543,2063332.100000000093132,2119509.919999999925494,2142623.799999999813735,10892864.050000000745058
20100317,2513308.250000000000000,2087748.289999999804422,2078921.540000000270084,2125124.479999999981374,2123175.099999999627471,10928277.660000000149012
20100318,2567283.500000000000000,2097183.589999999850988,2069827.699999999953434,2140765.040000000037253,2177631.459999999962747,11052691.289999999105930
20100319,2561849.750000000000000,2092465.939999999944121,2073400.280000000027940,2143973.359999999869615,2229494.660000000149012,11101183.990000000223517
20100322,2604957.500000000000000,2107562.419999999925494,2074699.400000000139698,2141166.080000000074506,2158831.049999999813735,11087216.449999999254942
20100323,2614738.250000000465661,2118255.759999999776483,2095810.100000000093132,2161619.120000000111759,2149754.989999999292195,11140178.219999998807907
20100324,2619809.749999999534339,2100957.709999999962747,2065930.340000000083819,2168035.760000000242144,2121230.229999999515712,11075963.789999999105930
20100325,2625968.000000000000000,2104102.810000000521541,2066255.119999999878928,2168837.839999999850988,2147161.830000000074506,11112325.599999999627471
20100326,2629590.500000000000000,2115425.169999999925494,2068528.579999999841675,2179665.919999999925494,2115395.620000000111759,11108605.789999999105930
20100329,2684652.500000000000000,2109449.479999999515712,2069827.699999999953434,2196108.560000000055879,2129009.709999999962747,11189047.949999999254942
20100330,2663642.000000000000000,2114796.149999999441206,2067554.239999999990687,2162822.240000000223517,2143272.089999999850988,11152086.719999998807907
20100331,2630315.000000000000000,2098441.629999999888241,2054887.820000000065193,2163223.279999999795109,2117988.780000000260770,11064856.510000001639128
20100401,2644080.500000000000000,2125489.490000000223517,2057810.840000000083819,2162421.200000000186265,2138734.059999999590218,11128536.089999999850988
20100405,2609666.750000000000000,2139642.440000000409782,2070802.040000000037253,2138759.839999999850988,2148458.410000000149012,11107329.480000000447035
