訓練日期,20160119 - 20160420
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11461816.150000000372529
真實報酬,1461816.150000000372529

夏普值報酬,0.137481615000000
夏普值風險,0.041001637062150
夏普值,3.353076239165953

預期報酬,23005.159016815236100
風險,63936.026331607848988
趨勢值,0.359815276875320
找到最佳解世代,1937
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,10
DD[7](6),KO[14](2),MCD[15](15),MMM[16](3),MRK[17](24),PFE[20](28),PG[21](16),UNH[23](4),UTX[24](5),XOM[29](11),
20160203,1087936.100000000093132,1029397.119999999995343,1054609.780000000027940,1099714.300000000279397,978686.139999999897555,963000.160000000032596,1081616.319999999832362,1031845.479999999981374,1003853.739999999990687,1011600.100000000093132,10342259.240000000223517
20160204,1103136.949999999720603,1024818.880000000004657,1047577.359999999986030,1106347.500000000000000,950137.300000000046566,941254.640000000013970,1076281.919999999925494,1045114.430000000051223,1029078.220000000204891,1029000.250000000000000,10352747.449999999254942
20160205,1086791.949999999720603,1022650.239999999990687,1001910.040000000037253,1106563.799999999813735,965584.959999999962747,942228.320000000065193,1082949.919999999925494,1022419.949999999953434,1025808.380000000121072,1032222.500000000000000,10289130.060000000521541
20160208,1076167.700000000186265,1027710.400000000023283,1007553.339999999967404,1109664.100000000093132,954830.259999999892898,926974.000000000000000,1101887.040000000037253,1006863.250000000000000,1013429.700000000069849,1046142.619999999995343,10271222.409999998286366
20160209,1084667.100000000093132,1043372.799999999930151,1015888.060000000055879,1115720.500000000000000,961283.079999999841675,944500.240000000107102,1102153.760000000009313,1017295.389999999897555,1018801.580000000074506,1032222.500000000000000,10335905.009999999776483
20160210,1074533.199999999720603,1025300.799999999930151,1020489.520000000018626,1099209.600000000093132,968518.059999999939464,957158.079999999958090,1088551.040000000037253,1031753.969999999972060,1015531.739999999990687,1022813.529999999911524,10303859.539999997243285
20160211,1042823.900000000023283,1021927.359999999869615,1013457.099999999976717,1086375.799999999813735,955221.339999999967404,945473.919999999925494,1065613.120000000111759,1012353.849999999976717,988672.340000000083819,1026035.779999999911524,10157954.509999999776483
20160212,1070937.299999999813735,1038794.559999999939464,1023875.500000000000000,1110096.700000000186265,958741.059999999939464,952938.800000000046566,1080149.359999999869615,1023335.049999999930151,1003736.960000000079162,1044467.050000000046566,10307072.339999999850988
20160216,1090060.950000000186265,1044818.559999999939464,1034728.000000000000000,1121416.399999999906868,973406.559999999939464,967544.000000000000000,1086550.639999999897555,1053807.880000000121072,1009926.300000000162981,1046915.959999999962747,10429175.250000000000000
20160217,1117030.200000000186265,1047951.040000000037253,1030039.719999999972060,1129275.299999999813735,989440.839999999967404,961701.919999999925494,1099619.919999999925494,1082633.530000000027940,1029078.220000000204891,1056969.379999999888241,10543740.070000000298023
20160218,1107223.199999999720603,1050842.560000000055879,1017277.180000000051223,1130428.899999999906868,983965.719999999972060,959105.440000000060536,1093352.000000000000000,1074855.179999999934807,1031880.940000000060536,1062769.430000000167638,10511700.549999998882413
20160219,1095945.149999999906868,1054697.920000000158325,1011720.699999999953434,1128049.600000000093132,980054.919999999925494,957158.079999999958090,1090818.160000000149012,1076959.910000000149012,1030362.800000000162981,1063413.879999999888241,10489181.120000001043081
20160222,1114741.899999999906868,1058794.239999999990687,1021618.180000000051223,1137062.100000000093132,992765.020000000018626,975333.440000000060536,1095352.399999999906868,1109812.000000000000000,1078709.720000000204891,1061996.089999999850988,10646185.089999999850988
20160223,1093493.399999999906868,1052770.239999999990687,1014933.040000000037253,1126030.799999999813735,988267.599999999976717,972412.400000000023283,1091084.879999999888241,1108713.880000000121072,1069717.660000000149012,1047044.850000000093132,10564468.750000000000000
20160224,1098396.899999999906868,1058071.359999999869615,1016322.160000000032596,1133601.299999999813735,988658.679999999934807,974359.760000000009313,1087750.879999999888241,1100020.429999999934807,1093190.440000000176951,1050782.660000000149012,10601154.569999998435378
20160225,1119645.399999999906868,1064095.359999999869615,1027695.580000000074506,1146363.000000000000000,997262.439999999944121,992859.680000000051223,1098152.959999999962747,1109171.429999999934807,1145274.320000000065193,1057098.270000000018626,10757618.439999999478459
20160226,1134519.350000000093132,1039517.440000000060536,1016322.160000000032596,1141171.800000000279397,990223.000000000000000,981175.520000000018626,1081616.319999999832362,1110361.060000000055879,1140836.680000000167638,1053747.129999999888241,10689490.460000000894070
20160229,1131577.250000000000000,1039276.480000000097789,1017450.819999999948777,1131077.799999999813735,981814.779999999911524,963000.160000000032596,1070814.160000000149012,1089954.329999999841675,1128341.220000000204891,1033124.730000000097789,10586431.730000000447035
20160301,1165411.399999999906868,1052770.239999999990687,1031862.939999999944121,1150689.000000000000000,1011927.939999999944121,975008.880000000004657,1083350.000000000000000,1113472.399999999906868,1110006.760000000009313,1047689.300000000046566,10742188.859999999403954
20160302,1154950.600000000093132,1054697.920000000158325,1028650.599999999976717,1149391.199999999720603,1022096.020000000018626,973061.520000000018626,1100953.520000000018626,1109812.000000000000000,1115612.200000000186265,1065991.680000000167638,10775217.259999997913837
20160303,1154460.250000000000000,1059276.159999999916181,1013109.819999999948777,1149174.899999999906868,1018771.839999999967404,970140.479999999981374,1104820.959999999962747,1114845.049999999813735,1122385.440000000176951,1062124.979999999981374,10769109.879999998956919
20160304,1170641.800000000279397,1062890.560000000055879,1017364.000000000000000,1154149.799999999813735,1018380.759999999892898,964298.400000000023283,1113489.359999999869615,1114662.030000000027940,1132778.860000000102445,1060707.189999999944121,10809362.759999997913837
20160307,1158219.600000000093132,1060480.959999999962747,1017103.540000000037253,1157754.799999999813735,1029331.000000000000000,966894.880000000004657,1108288.319999999832362,1114295.989999999990687,1131844.620000000111759,1088676.319999999832362,10832890.030000001192093
20160308,1136644.200000000186265,1067950.719999999972060,1028129.680000000051223,1155087.100000000093132,1025615.739999999990687,952938.800000000046566,1107754.879999999888241,1113380.889999999897555,1131611.060000000055879,1065089.449999999720603,10784202.519999999552965
20160309,1142038.050000000279397,1079757.760000000009313,1038721.719999999972060,1154294.000000000000000,1023855.879999999888241,965272.079999999958090,1106421.279999999795109,1108256.329999999841675,1128107.660000000149012,1062124.979999999981374,10808849.740000000223517
20160310,1143672.549999999813735,1089878.079999999841675,1041673.599999999976717,1152852.000000000000000,1037152.599999999976717,960403.680000000051223,1097352.800000000046566,1117315.820000000065193,1123202.900000000139698,1059289.399999999906868,10822793.429999999701977
20160311,1178323.950000000186265,1089155.199999999953434,1055304.339999999850988,1167199.899999999906868,1040281.239999999990687,989938.640000000013970,1090284.719999999972060,1144860.329999999841675,1129859.360000000102445,1059418.290000000037253,10944625.969999998807907
20160314,1170314.899999999906868,1091323.840000000083819,1067025.040000000037253,1166695.200000000186265,1037934.759999999892898,976956.240000000107102,1082549.840000000083819,1145958.449999999953434,1130793.600000000093132,1062253.870000000111759,10931805.739999998360872
20160315,1168353.500000000000000,1090119.040000000037253,1071626.500000000000000,1171021.199999999720603,1025029.119999999995343,958780.880000000004657,1084416.879999999888241,1142572.579999999841675,1124487.480000000214204,1067538.359999999869615,10903945.539999999105930
20160316,1179141.200000000186265,1085540.800000000046566,1072407.879999999888241,1174482.000000000000000,1015643.199999999953434,942552.880000000004657,1084816.959999999962747,1143030.130000000121072,1138501.080000000074506,1068182.810000000055879,10904298.940000001341105
20160317,1196466.899999999906868,1102889.920000000158325,1069282.359999999869615,1180682.600000000093132,1007626.059999999939464,952289.680000000051223,1103620.719999999972060,1139644.260000000009313,1154266.380000000121072,1084036.279999999795109,10990805.160000000149012
20160318,1202514.549999999813735,1098793.600000000093132,1077269.800000000046566,1192074.399999999906868,1021704.939999999944121,955859.839999999967404,1108955.120000000111759,1159684.949999999953434,1156718.760000000009313,1085325.180000000167638,11058901.139999998733401
20160321,1199735.899999999906868,1100480.320000000065193,1074925.659999999916181,1188541.500000000000000,1032459.639999999897555,975982.560000000055879,1111222.239999999990687,1159867.969999999972060,1158120.120000000111759,1077849.560000000055879,11079185.470000000670552
20160322,1192871.000000000000000,1096384.000000000000000,1075012.479999999981374,1189046.199999999720603,1036957.059999999939464,986043.919999999925494,1103487.359999999869615,1171581.250000000000000,1152164.340000000083819,1084294.060000000055879,11087841.669999999925494
20160323,1191399.950000000186265,1095420.159999999916181,1078224.820000000065193,1184431.800000000279397,1037934.759999999892898,979877.280000000027940,1104554.239999999990687,1187778.520000000018626,1157419.440000000176951,1079525.129999999888241,11096566.100000001490116
20160324,1194505.500000000000000,1098311.679999999934807,1070411.020000000018626,1185801.700000000186265,1037739.219999999972060,976307.119999999995343,1105487.760000000009313,1176797.320000000065193,1156835.540000000037253,1082489.600000000093132,11084686.459999999031425
20160328,1200226.250000000000000,1103612.800000000046566,1069369.179999999934807,1198923.899999999906868,1033046.259999999892898,966570.320000000065193,1101887.040000000037253,1179817.149999999906868,1155083.840000000083819,1085582.959999999962747,11094119.699999999254942
20160329,1189928.899999999906868,1119998.079999999841675,1076314.780000000027940,1185297.000000000000000,1042627.719999999972060,975333.440000000060536,1104287.520000000018626,1188144.560000000055879,1169214.220000000204891,1089578.549999999813735,11140724.769999999552965
20160330,1198264.850000000093132,1122407.679999999934807,1092463.300000000046566,1202312.600000000093132,1040672.319999999948777,975982.560000000055879,1102687.199999999953434,1186771.910000000149012,1170732.360000000102445,1089449.660000000149012,11181744.440000001341105
20160331,1183881.250000000000000,1117829.439999999944121,1091161.000000000000000,1201447.399999999906868,1034610.579999999841675,962026.479999999981374,1097752.879999999888241,1179634.130000000121072,1168980.660000000149012,1077462.890000000130385,11114786.710000000894070
20160401,1190419.250000000000000,1128431.679999999934807,1102794.879999999888241,1207936.399999999906868,1050058.239999999990687,975008.880000000004657,1114022.800000000046566,1188968.149999999906868,1167462.520000000018626,1069342.819999999832362,11194445.619999999180436
20160404,1188784.750000000000000,1129877.439999999944121,1107569.979999999981374,1199789.100000000093132,1063746.039999999804422,997078.959999999962747,1109755.279999999795109,1185033.219999999972060,1170965.920000000158325,1071920.620000000111759,11224521.309999998658895
20160405,1181102.600000000093132,1121202.880000000121072,1105920.399999999906868,1195535.200000000186265,1060617.399999999906868,1017850.800000000046566,1109088.479999999981374,1162613.270000000018626,1166177.940000000176951,1059676.069999999832362,11179785.039999999105930
20160406,1185515.750000000000000,1125540.159999999916181,1107135.879999999888241,1202745.200000000186265,1087797.459999999962747,1068806.720000000204891,1117756.879999999888241,1171672.760000000009313,1172133.720000000204891,1073853.970000000204891,11312958.500000001862645
20160407,1174074.250000000000000,1117106.560000000055879,1112518.719999999972060,1205268.699999999720603,1083691.119999999878928,1063289.199999999720603,1110155.359999999869615,1161057.600000000093132,1178206.280000000027940,1061738.310000000055879,11267106.099999999627471
20160408,1181756.399999999906868,1129395.520000000018626,1110955.959999999962747,1201447.399999999906868,1082517.879999999888241,1054850.640000000130385,1109621.919999999925494,1150167.910000000149012,1183227.820000000065193,1072565.069999999832362,11276506.519999999552965
20160411,1181592.950000000186265,1119034.239999999990687,1107483.159999999916181,1201159.000000000000000,1076456.139999999897555,1035052.479999999981374,1103354.000000000000000,1156116.060000000055879,1192803.780000000027940,1073982.859999999869615,11247034.669999999925494
20160412,1201533.850000000093132,1124094.399999999906868,1107917.260000000009313,1211541.399999999906868,1082126.800000000046566,1037324.400000000023283,1104687.599999999860302,1160417.030000000027940,1203781.100000000093132,1087258.529999999795109,11320682.369999999180436
20160413,1215263.649999999906868,1109395.840000000083819,1101666.219999999972060,1215579.000000000000000,1094250.280000000027940,1056148.879999999888241,1099753.279999999795109,1169201.989999999990687,1221648.440000000176951,1093445.250000000000000,11376352.830000000074506
20160414,1218859.549999999813735,1104335.679999999934807,1107049.060000000055879,1212478.699999999720603,1103831.739999999990687,1059719.040000000037253,1093752.080000000074506,1171215.209999999962747,1222465.900000000139698,1101178.649999999906868,11394885.609999999403954
20160415,1219023.000000000000000,1110841.600000000093132,1109393.199999999953434,1216948.899999999906868,1097770.000000000000000,1054850.640000000130385,1097619.520000000018626,1165267.060000000055879,1221181.320000000065193,1095249.709999999962747,11388144.949999999254942
20160418,1222945.799999999813735,1113733.119999999878928,1118682.939999999944121,1222500.600000000093132,1105004.979999999981374,1058420.799999999813735,1104687.599999999860302,1169659.540000000037253,1227721.000000000000000,1105689.799999999813735,11449046.179999999701977
20160419,1234877.649999999906868,1122889.600000000093132,1118769.760000000009313,1223221.600000000093132,1111848.879999999888241,1067508.479999999981374,1110688.800000000046566,1194275.729999999981374,1226202.860000000102445,1111232.069999999832362,11521515.429999997839332
20160420,1209052.549999999813735,1069155.520000000018626,1116078.340000000083819,1218102.500000000000000,1106373.760000000009313,1078543.520000000018626,1087617.520000000018626,1225663.660000000149012,1232392.200000000186265,1118836.580000000074506,11461816.150000000372529
