訓練日期,20130311 - 20130611
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11782390.980000000447035
真實報酬,1782390.980000000447035

夏普值報酬,0.169539098000000
夏普值風險,0.050451774232056
夏普值,3.360418946223676

預期報酬,30013.700367693370936
風險,78694.251591503911186
趨勢值,0.381396350568175
找到最佳解世代,1781
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](7),BA[2](1),HD[9](13),INTC[11](9),MRK[17](8),MSFT[18](2),UNH[23](6),WBA[27](11),
20130326,1297717.929999999934807,1332941.320000000065193,1226881.519999999785796,1261005.560000000055879,1291307.800000000046566,1257142.719999999972060,1292741.359999999869615,1463146.010000000009313,10422884.219999998807907
20130327,1297331.550000000046566,1326478.360000000102445,1219875.919999999925494,1264481.000000000000000,1282871.699999999953434,1266517.540000000037253,1315273.489999999990687,1452996.200000000186265,10425825.760000001639128
20130328,1303320.439999999944121,1321092.559999999823049,1222152.739999999757856,1265060.239999999990687,1285780.699999999953434,1277231.619999999878928,1328978.600000000093132,1466529.280000000027940,10470146.179999999701977
20130401,1299456.640000000130385,1311859.760000000009313,1220226.199999999953434,1241311.400000000139698,1290144.199999999953434,1277231.619999999878928,1369861.639999999897555,1444691.810000000055879,10454783.270000001415610
20130402,1306797.859999999869615,1294009.680000000167638,1243870.099999999860302,1243049.120000000111759,1306434.599999999860302,1285713.600000000093132,1434205.969999999972060,1455456.760000000009313,10569537.689999999478459
20130403,1279944.449999999953434,1298164.439999999944121,1232310.859999999869615,1219300.280000000027940,1319525.099999999860302,1274999.520000000018626,1432579.939999999944121,1424084.619999999878928,10480909.209999997168779
20130404,1289217.570000000065193,1307243.360000000102445,1238090.479999999748543,1224513.440000000176951,1318361.500000000000000,1276785.199999999953434,1440942.380000000121072,1433004.150000000139698,10528158.080000001937151
20130405,1261591.399999999906868,1326016.719999999972060,1227056.659999999916181,1212928.640000000130385,1312834.400000000139698,1281249.399999999906868,1442568.410000000149012,1445922.089999999850988,10510167.720000000670552
20130408,1267387.099999999860302,1334941.760000000009313,1247372.899999999906868,1221617.239999999990687,1323015.899999999906868,1276338.780000000027940,1437690.320000000065193,1465914.139999999897555,10574278.140000000596046
20130409,1260045.879999999888241,1342020.239999999990687,1247022.619999999878928,1259847.080000000074506,1323888.599999999860302,1321873.619999999878928,1444426.729999999981374,1485906.190000000176951,10685030.959999999031425
20130410,1263523.300000000046566,1351406.919999999925494,1255604.479999999748543,1289388.320000000065193,1362578.300000000046566,1351783.760000000009313,1449769.399999999906868,1479754.790000000037253,10803809.269999999552965
20130411,1270091.759999999776483,1362332.400000000139698,1259282.419999999925494,1264481.000000000000000,1373341.600000000093132,1291963.479999999981374,1463009.929999999934807,1496978.709999999962747,10781481.300000000745058
20130412,1268932.620000000111759,1367872.080000000074506,1289406.500000000000000,1255792.400000000139698,1370432.599999999860302,1285267.179999999934807,1464171.380000000121072,1500054.410000000149012,10801929.169999999925494
20130415,1238408.599999999860302,1335249.520000000018626,1265062.039999999804422,1238415.199999999953434,1351524.100000000093132,1280802.979999999981374,1430721.620000000111759,1495440.859999999869615,10635624.920000001788139
20130416,1247874.909999999916181,1337096.080000000074506,1269090.259999999776483,1269694.160000000149012,1366069.100000000093132,1293302.739999999990687,1459061.000000000000000,1508973.940000000176951,10751162.189999999478459
20130417,1238988.169999999925494,1334018.479999999981374,1275045.019999999785796,1270273.400000000139698,1360251.099999999860302,1287052.859999999869615,1440942.380000000121072,1493287.869999999878928,10699859.279999999329448
20130418,1256568.459999999962747,1325247.320000000065193,1269440.539999999804422,1288229.840000000083819,1354433.100000000093132,1285267.179999999934807,1386586.520000000018626,1498208.989999999990687,10663981.949999999254942
20130419,1299070.259999999776483,1353561.239999999990687,1296061.819999999832362,1299814.640000000130385,1381486.800000000046566,1329016.340000000083819,1394716.669999999925494,1517893.469999999972060,10871621.240000000223517
20130422,1287865.239999999990687,1337865.479999999981374,1293609.859999999869615,1325301.199999999953434,1393995.500000000000000,1376336.859999999869615,1375668.889999999897555,1529273.560000000055879,10919916.589999999850988
20130423,1303127.250000000000000,1356946.600000000093132,1285203.139999999664724,1354263.199999999953434,1414649.400000000139698,1366069.199999999953434,1359873.169999999925494,1526197.859999999869615,10966329.820000000298023
20130424,1302547.679999999934807,1397724.800000000046566,1283451.739999999757856,1370481.920000000158325,1394868.199999999953434,1417853.920000000158325,1365680.419999999925494,1508666.369999999878928,11041275.049999998882413
20130425,1316264.169999999925494,1410650.719999999972060,1285028.000000000000000,1354263.199999999953434,1377414.199999999953434,1425889.479999999981374,1378456.370000000111759,1528658.420000000158325,11076624.560000000521541
20130426,1308922.949999999953434,1428808.559999999823049,1284677.719999999739230,1355421.679999999934807,1392540.999999999767169,1419193.179999999934807,1381708.429999999934807,1515432.910000000149012,11086706.429999999701977
20130429,1306604.669999999925494,1414189.960000000195578,1290282.199999999953434,1376274.320000000065193,1391086.500000000000000,1455799.619999999878928,1394019.800000000046566,1520046.459999999962747,11148303.530000001192093
20130430,1321673.489999999990687,1406649.839999999850988,1284677.719999999739230,1387279.880000000121072,1367232.699999999953434,1477674.199999999953434,1392161.479999999981374,1522814.589999999850988,11160163.900000000372529
20130501,1319162.020000000018626,1403110.600000000093132,1274344.459999999962747,1389596.840000000083819,1329124.799999999813735,1460710.239999999990687,1387283.389999999897555,1505283.099999999860302,11068615.449999999254942
20130502,1340412.919999999925494,1418960.239999999990687,1284327.439999999711290,1396547.719999999972060,1330288.399999999906868,1480352.719999999739230,1381708.429999999934807,1503437.680000000167638,11136035.549999998882413
20130503,1356834.070000000065193,1442503.879999999888241,1295361.259999999776483,1387859.120000000111759,1328543.000000000000000,1495084.580000000074506,1368700.189999999944121,1476986.660000000149012,11151872.759999999776483
20130506,1353549.840000000083819,1449428.479999999981374,1318129.459999999962747,1384962.920000000158325,1308470.899999999906868,1506691.500000000000000,1398433.310000000055879,1471450.400000000139698,11191116.810000000521541
20130507,1357027.259999999776483,1458661.280000000027940,1314801.799999999813735,1398864.679999999934807,1316907.000000000000000,1487049.020000000018626,1405402.010000000009313,1512972.349999999860302,11251685.399999998509884
20130508,1358379.590000000083819,1447120.280000000027940,1320931.699999999953434,1404657.080000000074506,1308761.800000000046566,1472763.580000000074506,1452092.300000000046566,1510819.359999999869615,11275525.689999999478459
20130509,1356447.689999999944121,1455891.439999999944121,1328813.000000000000000,1411028.719999999972060,1323306.800000000046566,1458031.719999999739230,1440477.800000000046566,1470527.690000000176951,11244524.859999999403954
20130510,1353936.219999999972060,1450197.879999999888241,1331264.959999999962747,1419138.080000000074506,1336688.199999999953434,1459370.979999999981374,1461383.899999999906868,1498516.560000000055879,11310496.780000001192093
20130513,1348333.709999999962747,1458199.640000000130385,1342824.199999999953434,1394810.000000000000000,1343088.000000000000000,1474549.260000000009313,1449304.820000000065193,1509281.510000000009313,11320391.139999998733401
20130514,1381562.390000000130385,1478973.439999999944121,1354208.299999999813735,1380908.239999999990687,1357051.199999999953434,1496870.260000000009313,1433973.679999999934807,1525275.150000000139698,11408822.660000000149012
20130515,1406097.520000000018626,1492976.520000000018626,1364016.139999999664724,1401760.880000000121072,1359378.399999999906868,1511155.699999999953434,1431186.199999999953434,1538808.229999999981374,11505379.589999997988343
20130516,1395472.070000000065193,1486205.800000000046566,1344225.319999999832362,1386700.640000000130385,1348905.999999999767169,1521423.359999999869615,1443497.570000000065193,1510511.790000000037253,11436942.550000000745058
20130517,1416529.779999999795109,1522213.719999999972060,1346151.859999999869615,1392493.040000000037253,1337851.800000000046566,1556690.539999999804422,1459757.870000000111759,1525890.290000000037253,11557578.899999998509884
20130520,1437394.300000000046566,1519136.119999999878928,1344400.459999999962747,1394810.000000000000000,1315161.600000000093132,1566065.359999999869615,1453253.750000000000000,1530196.270000000018626,11560417.859999999403954
20130521,1451110.790000000037253,1519597.760000000009313,1378552.759999999776483,1398864.679999999934807,1376832.399999999906868,1555797.699999999953434,1460454.739999999990687,1541268.790000000037253,11682479.619999997317791
20130522,1438167.059999999823049,1506979.600000000093132,1395716.479999999748543,1394230.760000000009313,1358796.600000000093132,1545083.619999999878928,1446749.630000000121072,1542191.500000000000000,11627915.250000000000000
20130523,1442996.809999999823049,1534985.760000000009313,1382055.559999999823049,1393072.280000000027940,1376832.399999999906868,1524548.300000000046566,1448607.949999999953434,1550188.320000000065193,11653287.380000000819564
20130524,1454201.829999999841675,1538832.760000000009313,1383456.679999999701977,1385542.160000000149012,1371887.099999999860302,1529905.340000000083819,1441639.250000000000000,1561568.410000000149012,11667033.529999999329448
20130528,1471395.739999999990687,1540525.439999999944121,1397993.299999999813735,1394810.000000000000000,1385268.499999999767169,1563386.840000000083819,1471372.370000000111759,1544959.629999999888241,11769711.820000000298023
20130529,1465020.469999999972060,1524829.680000000167638,1392213.679999999701977,1405815.560000000055879,1363450.999999999767169,1557136.960000000195578,1471604.660000000149012,1523737.300000000046566,11703809.310000002384186
20130530,1471009.359999999869615,1547142.280000000027940,1391337.979999999748543,1402340.120000000111759,1369269.000000000000000,1563833.260000000009313,1502034.649999999906868,1507436.089999999850988,11754402.740000000223517
20130531,1462702.189999999944121,1523752.520000000018626,1377677.059999999823049,1406394.800000000046566,1358505.699999999953434,1558029.800000000046566,1454879.780000000027940,1468989.839999999850988,11610931.689999999478459
20130603,1477384.629999999888241,1550219.879999999888241,1385032.939999999711290,1462001.840000000083819,1409413.199999999953434,1588832.780000000260770,1458828.709999999962747,1491750.020000000018626,11823464.000000000000000
20130604,1469463.840000000083819,1532831.439999999944121,1342123.639999999664724,1468952.719999999972060,1438212.299999999813735,1562047.580000000074506,1448607.949999999953434,1477294.229999999981374,11739533.699999999254942
20130605,1444349.140000000130385,1515596.879999999888241,1315327.219999999739230,1430722.880000000121072,1417558.399999999906868,1552672.760000000009313,1434438.260000000009313,1495748.430000000167638,11606413.969999998807907
20130606,1472941.259999999776483,1535139.640000000130385,1353157.459999999962747,1427826.679999999934807,1413776.699999999953434,1560708.320000000065193,1438387.189999999944121,1483753.200000000186265,11685690.449999999254942
20130607,1507715.459999999962747,1577148.879999999888241,1379078.179999999701977,1424351.239999999990687,1401849.799999999813735,1592404.140000000130385,1453486.040000000037253,1520046.459999999962747,11856080.199999999254942
20130610,1512352.020000000018626,1573301.879999999888241,1361389.039999999804422,1448679.320000000065193,1409704.100000000093132,1583475.739999999990687,1479270.229999999981374,1527120.570000000065193,11895292.900000000372529
20130611,1478350.579999999841675,1565761.760000000009313,1359287.359999999869615,1431302.120000000111759,1383523.100000000093132,1555351.280000000260770,1485077.479999999981374,1523737.300000000046566,11782390.980000000447035
