訓練日期,20170329 - 20170629
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10896833.089999999850988
真實報酬,896833.089999999850988

夏普值報酬,0.080983309000000
夏普值風險,0.030754536239925
夏普值,2.633215092831388

預期報酬,15860.391270058200462
風險,59356.307530478930857
趨勢值,0.267206501380060
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](9),JNJ[12](12),MCD[15](1),UNH[23](2),WMT[28](10),XOM[29](17),
20170417,1682265.020000000018626,1667461.780000000027940,1691126.600000000093132,1685110.570000000065193,1741798.170000000158325,1661371.359999999869615,10129137.500000000000000
20170418,1671270.529999999795109,1615736.080000000074506,1703356.900000000372529,1699321.960000000195578,1751278.570000000065193,1650578.439999999944121,10091546.479999998584390
20170419,1676438.879999999888241,1609767.730000000214204,1707734.060000000055879,1705974.100000000093132,1755544.750000000000000,1639174.599999999860302,10094638.119999999180436
20170420,1684896.179999999934807,1616399.230000000214204,1715844.680000000400469,1729055.010000000009313,1772846.480000000214204,1649763.880000000121072,10168809.460000000894070
20170421,1695044.939999999711290,1614940.300000000279397,1717647.040000000037253,1725224.989999999990687,1776164.620000000111759,1643247.399999999906868,10172273.290000000968575
20170424,1710831.899999999906868,1629927.490000000223517,1728203.719999999972060,1737017.420000000158325,1772372.460000000195578,1651800.280000000027940,10230157.269999999552965
20170425,1724457.549999999813735,1637089.510000000242144,1824372.500000000000000,1754252.510000000009313,1778771.730000000214204,1664425.959999999962747,10383373.760000001639128
20170426,1707542.949999999953434,1638150.550000000279397,1813300.860000000335276,1757679.370000000111759,1787778.110000000335276,1657705.840000000083819,10362161.679999999701977
20170427,1721732.419999999925494,1641201.040000000037253,1813687.080000000307336,1760199.120000000111759,1788015.120000000111759,1654854.880000000121072,10379693.660000002011657
20170428,1736861.589999999850988,1637620.030000000027940,1801585.520000000251457,1762718.870000000111759,1781852.860000000335276,1662796.840000000083819,10383439.710000000894070
20170501,1713932.909999999683350,1635895.840000000316650,1817291.800000000279397,1759795.960000000195578,1783037.910000000149012,1671146.080000000074506,10381104.500000001862645
20170502,1723799.759999999776483,1640670.520000000251457,1818321.719999999972060,1755260.409999999916181,1789911.200000000186265,1670942.439999999944121,10398910.049999998882413
20170503,1723329.909999999683350,1635763.210000000195578,1836216.580000000307336,1739134.010000000009313,1795599.440000000176951,1684179.040000000037253,10414226.190000001341105
20170504,1720322.869999999878928,1643986.270000000251457,1846902.000000000000000,1754050.930000000167638,1809346.020000000251457,1662593.199999999953434,10437205.289999999105930
20170505,1738553.049999999813735,1638150.550000000279397,1853467.740000000223517,1755058.830000000074506,1813138.180000000167638,1670331.520000000018626,10468703.869999999180436
20170508,1748044.020000000018626,1634702.170000000158325,1857072.460000000195578,1758284.110000000102445,1804131.800000000279397,1688048.199999999953434,10490286.759999999776483
20170509,1756407.349999999860302,1634171.650000000139698,1858617.340000000316650,1746189.310000000288710,1818352.400000000139698,1676237.080000000074506,10489979.130000000819564
20170510,1721356.539999999804422,1628866.450000000186265,1860677.180000000400469,1747701.159999999916181,1817878.380000000121072,1668091.479999999981374,10444575.190000001341105
20170511,1728498.259999999776483,1634039.020000000251457,1856686.240000000223517,1746995.630000000121072,1804368.810000000055879,1682346.280000000027940,10452938.240000000223517
20170512,1722014.329999999841675,1639874.740000000223517,1871491.340000000316650,1731776.340000000083819,1794414.390000000130385,1681124.439999999944121,10440699.580000000074506
20170515,1713932.909999999683350,1684305.790000000037253,1883335.420000000158325,1728954.220000000204891,1808160.970000000204891,1686215.439999999944121,10504908.750000000000000
20170516,1716845.979999999748543,1694650.930000000167638,1896338.160000000149012,1694584.830000000074506,1780193.790000000270084,1681124.439999999944121,10463742.130000000819564
20170517,1680009.739999999757856,1680061.630000000121072,1885009.040000000037253,1702043.290000000270084,1780430.800000000279397,1669720.599999999860302,10397279.099999999627471
20170518,1667041.879999999888241,1684040.530000000027940,1892733.440000000176951,1728147.899999999906868,1837787.220000000204891,1664833.239999999990687,10474588.210000000894070
20170519,1698615.799999999813735,1684438.420000000158325,1907409.800000000279397,1739637.960000000195578,1866939.450000000186265,1668498.760000000242144,10565544.189999999478459
20170522,1725961.069999999832362,1687886.800000000279397,1907924.760000000242144,1760904.649999999906868,1861725.230000000214204,1675829.800000000046566,10620236.310000002384186
20170523,1724269.609999999869615,1691335.180000000167638,1903161.380000000121072,1766145.729999999981374,1860303.170000000158325,1681735.359999999869615,10626954.429999999701977
20170524,1740808.329999999841675,1691202.550000000279397,1924789.700000000186265,1769874.960000000195578,1852244.830000000307336,1675829.800000000046566,10654754.170000001788139
20170525,1757910.869999999878928,1691467.810000000288710,1928394.420000000158325,1794669.300000000279397,1856036.990000000223517,1664833.239999999990687,10693316.630000000819564
20170526,1753400.309999999823049,1683377.380000000121072,1929424.340000000316650,1789125.850000000093132,1851770.810000000055879,1660760.439999999944121,10667863.130000000819564
20170530,1756125.439999999711290,1685897.350000000093132,1930325.520000000251457,1779953.960000000195578,1852244.830000000307336,1651596.639999999897555,10656147.740000002086163
20170531,1763173.189999999711290,1701017.170000000158325,1942684.560000000055879,1765742.570000000065193,1862910.280000000027940,1639378.239999999990687,10674910.009999999776483
20170601,1760260.119999999878928,1708046.560000000288710,1961995.560000000055879,1810090.170000000158325,1891588.490000000223517,1643451.040000000037253,10775435.940000001341105
20170602,1787605.389999999664724,1725288.460000000428408,1979375.460000000195578,1808175.159999999916181,1887085.300000000279397,1619014.239999999990687,10806548.010000001639128
20170605,1775577.229999999748543,1729002.100000000325963,1967145.160000000149012,1807973.580000000074506,1902253.940000000176951,1631639.920000000158325,10813595.929999999701977
20170606,1754903.829999999841675,1735235.710000000428408,1947061.719999999972060,1822588.130000000121072,1870731.610000000335276,1653836.679999999934807,10784361.679999999701977
20170607,1767589.779999999795109,1734174.670000000158325,1956202.260000000242144,1846676.940000000176951,1875945.830000000307336,1647727.479999999981374,10828320.960000002756715
20170608,1784786.289999999804422,1731522.070000000298023,1949636.520000000251457,1831356.860000000102445,1870731.610000000335276,1641821.920000000158325,10809859.270000001415610
20170609,1785725.989999999757856,1744519.810000000288710,1950280.219999999972060,1829038.690000000176951,1882345.100000000093132,1672571.559999999823049,10864485.370000001043081
20170612,1785444.079999999841675,1748366.080000000074506,1911529.480000000214204,1806764.100000000093132,1878078.920000000158325,1688862.760000000242144,10819049.419999999925494
20170613,1795686.809999999823049,1751018.680000000400469,1928909.380000000121072,1824906.300000000279397,1884715.200000000186265,1689473.679999999934807,10874714.050000000745058
20170614,1807808.939999999711290,1760965.930000000400469,1939981.020000000251457,1838109.790000000270084,1893721.580000000307336,1671349.719999999739230,10911940.980000000447035
20170615,1836657.729999999748543,1764546.939999999944121,1946289.280000000027940,1818153.370000000111759,1870257.590000000083819,1675218.880000000121072,10911127.790000000968575
20170616,1845960.759999999776483,1781921.469999999972060,1956845.960000000195578,1830752.120000000111759,1783274.920000000158325,1700266.599999999860302,10899025.830000000074506
20170619,1870768.839999999850988,1778207.830000000074506,1971651.060000000055879,1844761.930000000167638,1789437.180000000167638,1685400.880000000121072,10940231.720000000670552
20170620,1863721.089999999850988,1780197.280000000027940,1983623.880000000121072,1847281.680000000167638,1790385.220000000204891,1676237.080000000074506,10941450.230000000447035
20170621,1871614.569999999832362,1789348.750000000000000,1979246.719999999972060,1863912.030000000027940,1806975.920000000158325,1658520.399999999906868,10969622.390000000596046
20170622,1874151.759999999776483,1804468.570000000298023,1993021.900000000372529,1879836.850000000093132,1789911.200000000186265,1651189.359999999869615,10992583.640000000596046
20170623,1900369.389999999664724,1809508.510000000242144,1990962.060000000055879,1867238.100000000093132,1773794.520000000251457,1661982.280000000027940,11003858.859999999403954
20170626,1879226.139999999664724,1808314.840000000316650,1982207.740000000223517,1865927.830000000074506,1789437.180000000167638,1654447.599999999860302,10979565.330000000074506
20170627,1868983.409999999683350,1790675.050000000046566,1979117.980000000214204,1860686.750000000000000,1801524.690000000176951,1651800.280000000027940,10952792.160000000149012
20170628,1875843.219999999972060,1774892.080000000074506,1986584.900000000372529,1871773.649999999906868,1813375.190000000176951,1660353.159999999916181,10982826.199999999254942
20170629,1855545.699999999953434,1759241.739999999990687,1971522.320000000065193,1867439.680000000167638,1799628.610000000335276,1643451.040000000037253,10896833.089999999850988
