訓練日期,20140501 - 20140801
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10954199.639999998733401
真實報酬,954199.639999998733401

夏普值報酬,0.086719964000000
夏普值風險,0.033936895853167
夏普值,2.555329879762888

預期報酬,18492.592928201564064
風險,67531.310190015690750
趨勢值,0.273837318958690
找到最佳解世代,2143
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](4),INTC[11](7),MCD[15](25),VZ[26](6),
20140522,2058123.800000000046566,2075873.069999999832362,1959535.639999999664724,2021107.890000000130385,2116413.280000000260770,10231053.679999999701977
20140523,2081373.320000000065193,2100323.859999999403954,1970026.399999999674037,2012230.739999999990687,2128824.990000000223517,10292779.309999998658895
20140527,2120517.919999999925494,2110910.799999999813735,2001498.679999999934807,2019332.459999999962747,2123689.110000000335276,10375948.969999998807907
20140528,2114824.160000000149012,2107381.819999999366701,2014237.459999999729916,1998421.839999999850988,2128824.990000000223517,10363690.269999999552965
20140529,2153494.280000000260770,2118220.830000000074506,2020232.179999999934807,1999210.920000000158325,2127969.009999999776483,10419127.219999998807907
20140530,2145428.120000000111759,2117716.690000000409782,2047208.419999999925494,2000986.350000000093132,2138240.770000000484288,10449580.350000001490116
20140602,2130719.240000000223517,2124270.509999999776483,2042712.379999999888241,2012822.550000000046566,2142092.679999999701977,10452617.359999999403954
20140603,2160848.719999999739230,2114439.779999999329448,2072685.979999999748543,2001380.890000000130385,2109565.440000000409782,10458920.809999998658895
20140604,2185521.679999999701977,2123514.299999999813735,2068189.939999999944121,2020910.619999999878928,2103573.580000000074506,10501710.119999999180436
20140605,2194062.320000000298023,2137126.080000000074506,2072685.979999999748543,2021107.890000000130385,2109137.450000000186265,10534119.719999998807907
20140606,2187894.080000000074506,2132840.889999999664724,2110902.320000000298023,2011441.659999999916181,2115129.310000000521541,10558208.259999999776483
20140609,2223005.600000000558794,2154770.979999999515712,2091419.479999999748543,2000000.000000000000000,2121549.160000000149012,10590745.219999998807907
20140610,2236053.799999999813735,2136369.870000000111759,2116147.699999999254942,1990136.500000000000000,2119409.209999999962747,10598117.079999998211861
20140611,2226801.440000000409782,2125278.790000000037253,2092918.159999999683350,1981062.080000000074506,2112989.360000000335276,10539049.830000001937151
20140612,2189554.759999999776483,2087216.219999999739230,2095166.179999999934807,1968042.260000000009313,2098865.690000000409782,10438845.109999999403954
20140613,2165593.520000000484288,2087216.219999999739230,2238290.120000000111759,1982442.969999999972060,2104857.549999999813735,10578400.379999998956919
20140616,2187419.600000000558794,2099819.719999999739230,2248780.879999999888241,1994476.439999999944121,2110421.419999999925494,10640918.060000000521541
20140617,2184572.719999999739230,2096290.739999999757856,2244284.839999999850988,1997830.030000000027940,2106141.520000000484288,10629119.849999997764826
20140618,2186945.120000000111759,2106877.679999999701977,2242786.160000000149012,1999408.189999999944121,2115129.310000000521541,10651146.460000000894070
20140619,2179353.440000000409782,2111667.009999999776483,2254775.599999999627471,2010455.309999999823049,2117269.259999999776483,10673520.619999999180436
20140620,2156815.639999999664724,2087720.359999999636784,2263018.339999999850988,2010652.580000000074506,2113845.339999999850988,10632052.259999997913837
20140623,2154917.719999999739230,2086207.939999999944121,2265266.359999999403954,2010455.309999999823049,2128397.000000000000000,10645244.330000000074506
20140624,2141869.520000000484288,2084191.380000000121072,2285498.540000000037253,2001775.429999999934807,2109137.450000000186265,10622472.320000000298023
20140625,2143767.440000000409782,2114943.919999999925494,2313973.459999999962747,2004537.209999999962747,2114701.320000000298023,10691923.350000001490116
20140626,2156578.400000000372529,2128807.769999999552965,2306480.059999999590218,2002564.510000000009313,2106141.520000000484288,10700572.260000001639128
20140627,2182200.320000000298023,2150233.719999999739230,2317720.160000000149012,2001578.159999999916181,2110849.410000000149012,10762581.769999999552965
20140630,2204738.120000000111759,2161324.799999999813735,2315472.139999999664724,1987374.719999999972060,2094157.800000000279397,10763067.580000000074506
20140701,2218735.280000000260770,2179725.910000000149012,2321466.859999999403954,1992503.739999999990687,2112989.360000000335276,10825421.149999998509884
20140702,2217786.320000000298023,2178969.700000000186265,2321466.859999999403954,1983232.050000000046566,2125401.070000000298023,10826856.000000000000000
20140703,2230834.520000000484288,2189052.500000000000000,2333456.299999999813735,1992109.199999999953434,2127541.020000000484288,10872993.539999999105930
20140707,2276859.080000000074506,2182750.750000000000000,2325213.559999999590218,1976130.330000000074506,2129252.980000000447035,10890206.699999999254942
20140708,2262150.200000000186265,2164349.639999999664724,2307229.399999999441206,1974552.170000000158325,2086881.970000000204891,10795163.380000000819564
20140709,2263099.160000000149012,2198631.160000000149012,2314722.799999999813735,1993884.629999999888241,2092873.830000000074506,10863211.580000000074506
20140710,2254795.759999999776483,2189556.639999999664724,2342448.379999999888241,1984218.399999999906868,2124545.089999999850988,10895564.269999999552965
20140711,2259066.080000000074506,2190312.849999999627471,2341699.040000000037253,1980075.729999999981374,2153648.410000000149012,10924802.109999999403954
20140714,2288246.600000000558794,2187035.940000000409782,2359683.199999999254942,1982048.429999999934807,2162636.200000000186265,10979650.370000001043081
20140715,2261438.479999999515712,2171659.669999999925494,2376168.679999999701977,1978694.839999999850988,2170340.020000000484288,10958301.689999997615814
20140716,2248627.520000000484288,2151494.069999999366701,2596474.639999999664724,1958376.030000000027940,2181039.770000000484288,11136012.030000001192093
20140717,2208533.959999999962747,2143427.830000000074506,2525287.339999999850988,1940621.729999999981374,2153648.410000000149012,10971519.269999999552965
20140718,2240324.120000000111759,2163089.290000000037253,2525287.339999999850988,1952852.469999999972060,2172051.980000000447035,11053605.200000001117587
20140721,2228699.360000000335276,2161324.799999999813735,2552263.580000000074506,1924445.589999999850988,2169912.030000000260770,11036645.359999999403954
20140722,2247204.080000000074506,2173172.089999999850988,2606965.399999999441206,1899195.030000000027940,2181895.750000000000000,11108432.349999999627471
20140723,2305802.360000000335276,2168886.900000000372529,2585234.540000000037253,1881046.189999999944121,2178899.820000000298023,11119869.810000000521541
20140724,2302006.520000000484288,2188044.219999999739230,2566501.040000000037253,1881046.189999999944121,2184891.679999999701977,11122489.650000000372529
20140725,2317189.879999999888241,2173676.229999999515712,2566501.040000000037253,1888345.179999999934807,2194735.450000000186265,11140447.780000001192093
20140728,2349217.280000000260770,2196866.669999999925494,2565002.359999999403954,1889528.800000000046566,2207575.150000000372529,11208190.259999999776483
20140729,2334033.919999999925494,2172920.019999999552965,2562005.000000000000000,1890317.879999999888241,2224266.759999999776483,11183543.580000000074506
20140730,2328577.400000000372529,2198379.089999999850988,2573994.439999999478459,1892882.390000000130385,2215278.969999999739230,11209112.289999999105930
20140731,2268081.200000000186265,2164853.779999999329448,2539524.799999999813735,1865461.860000000102445,2157928.310000000521541,10995849.949999999254942
20140801,2280654.919999999925494,2152250.279999999329448,2528284.700000000186265,1860332.839999999850988,2132676.900000000372529,10954199.639999998733401
