訓練日期,20140624 - 20140924
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11026014.359999999403954
真實報酬,1026014.359999999403954

夏普值報酬,0.093901436000000
夏普值風險,0.029094229282387
夏普值,3.227493503560319

預期報酬,16722.860455773225112
風險,97914.903986111137783
趨勢值,0.170789734504007
找到最佳解世代,3683
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),DIS[6](2),GS[8](9),INTC[11](4),MSFT[18](3),NKE[19](5),PG[21](6),
20140827,1606286.100000000093132,1559927.209999999962747,1492090.869999999878928,1644058.359999999869615,1526551.479999999981374,1509219.189999999944121,1496654.560000000055879,10834790.769999999552965
20140828,1608173.340000000083819,1557510.669999999925494,1490748.310000000055879,1637442.519999999785796,1526891.689999999944121,1492180.839999999850988,1491624.639999999897555,10804575.009999999776483
20140829,1612105.090000000083819,1551469.319999999832362,1502999.169999999925494,1650201.639999999897555,1545603.239999999990687,1487258.650000000139698,1493061.760000000009313,10842701.869999999180436
20140902,1624686.689999999944121,1567349.439999999944121,1508537.229999999981374,1633662.039999999804422,1534036.100000000093132,1500889.330000000074506,1490726.439999999944121,10859890.269999999552965
20140903,1556116.969999999972060,1569765.979999999748543,1507110.759999999776483,1633662.039999999804422,1529613.369999999878928,1492180.839999999850988,1489289.320000000065193,10777742.279999999329448
20140904,1543220.830000000074506,1555957.179999999934807,1511138.439999999944121,1649729.079999999608845,1539819.669999999925494,1513005.489999999990687,1503660.520000000018626,10816534.209999999031425
20140905,1556588.780000000027940,1569765.979999999748543,1508369.409999999916181,1653982.119999999878928,1561933.319999999832362,1553140.270000000018626,1504918.000000000000000,10908700.879999998956919
20140908,1546995.310000000055879,1563206.800000000046566,1511390.169999999925494,1669576.599999999860302,1580985.079999999841675,1559955.610000000102445,1496834.199999999953434,10928946.769999999552965
20140909,1541176.320000000065193,1546636.239999999757856,1488650.560000000055879,1649729.079999999608845,1590851.169999999925494,1549353.969999999972060,1490906.079999999841675,10857306.419999999925494
20140910,1588514.590000000083819,1545255.359999999869615,1509376.329999999841675,1654927.239999999990687,1593572.850000000093132,1561470.130000000121072,1502582.679999999934807,10955702.180000001564622
20140911,1595277.200000000186265,1553022.809999999823049,1518858.159999999916181,1654927.239999999990687,1599016.209999999962747,1548975.339999999850988,1499888.079999999841675,10969968.040000000968575
20140912,1598894.409999999916181,1547844.510000000009313,1537066.629999999888241,1636024.839999999850988,1588809.910000000149012,1549353.969999999972060,1495756.360000000102445,10953753.629999998956919
20140915,1598422.600000000093132,1554921.519999999785796,1543863.339999999850988,1632244.359999999869615,1573160.250000000000000,1545189.040000000037253,1506714.400000000139698,10954518.509999999776483
20140916,1586312.810000000055879,1558201.109999999869615,1544366.799999999813735,1650674.199999999953434,1590851.169999999925494,1537237.810000000055879,1510486.839999999850988,10978133.740000000223517
20140917,1597636.250000000000000,1559236.769999999785796,1550911.779999999795109,1653036.999999999767169,1582686.130000000121072,1543295.889999999897555,1511923.959999999962747,10998730.779999997466803
20140918,1600938.920000000158325,1559409.379999999888241,1576672.149999999906868,1662015.639999999897555,1588129.489999999990687,1552004.380000000121072,1512462.879999999888241,11051635.839999999850988
20140919,1587885.510000000009313,1561998.529999999795109,1562491.359999999869615,1645476.039999999804422,1616707.130000000121072,1548975.339999999850988,1517492.800000000046566,11041029.710000000894070
20140922,1589458.210000000195578,1541285.330000000074506,1554855.549999999813735,1640277.879999999888241,1601057.469999999972060,1527772.060000000055879,1523600.560000000055879,10978310.060000000521541
20140923,1614306.870000000111759,1524369.550000000046566,1553177.349999999860302,1626573.639999999897555,1584046.969999999972060,1516791.790000000037253,1516953.879999999888241,10936223.049999997019768
20140924,1600309.840000000083819,1544047.089999999850988,1576000.869999999878928,1642168.119999999878928,1601737.889999999897555,1530422.469999999972060,1531325.079999999841675,11026014.359999999403954
