訓練日期,20101209 - 20110314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11188545.160000000149012
真實報酬,1188545.160000000149012

夏普值報酬,0.110154516000000
夏普值風險,0.038324873459664
夏普值,2.874230390243393

預期報酬,20876.781168526125839
風險,71012.940586361757596
趨勢值,0.293985589051013
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
CVX[5](1),KO[14](21),MMM[16](5),PFE[20](2),UNH[23](11),
20101231,2118643.979999999981374,2042856.589999999850988,2038261.159999999683350,2094497.430000000400469,1960369.759999999776483,10254628.919999999925494
20110103,2134664.399999999906868,2025465.509999999776483,2049833.979999999981374,2114832.320000000298023,2015743.520000000018626,10340539.730000000447035
20110104,2126770.279999999795109,1983851.139999999897555,2046999.819999999832362,2151913.589999999850988,2034201.439999999711290,10343736.269999999552965
20110105,2123055.399999999906868,1972050.049999999813735,2046999.819999999832362,2166267.630000000353903,2040716.000000000000000,10349088.900000000372529
20110106,2105641.899999999906868,1957764.519999999785796,2034482.279999999795109,2174640.820000000298023,2083060.639999999664724,10355590.160000000149012
20110107,2117250.899999999906868,1954037.859999999869615,2036607.899999999906868,2193779.540000000037253,2087403.679999999934807,10389079.880000000819564
20110110,2099140.859999999869615,1958385.629999999888241,2058336.459999999962747,2184210.180000000633299,2087403.679999999934807,10387476.810000000521541
20110111,2132110.419999999925494,1947205.649999999906868,2072271.079999999608845,2179425.500000000000000,2121605.120000000111759,10452617.769999999552965
20110112,2146505.580000000074506,1957764.519999999785796,2093999.639999999664724,2197368.050000000279397,2109661.759999999776483,10505299.549999998882413
20110113,2140236.720000000204891,1968944.499999999767169,2079356.479999999981374,2179425.500000000000000,2149834.879999999888241,10517798.079999998211861
20110114,2155328.419999999925494,1960870.069999999832362,2080773.559999999590218,2193779.540000000037253,2213351.839999999850988,10604103.429999999701977
20110118,2167401.779999999795109,1971428.939999999711290,2081718.279999999795109,2198564.220000000204891,2219323.519999999552965,10638436.740000000223517
20110119,2158578.939999999944121,1969565.609999999869615,2077467.039999999571592,2191387.200000000186265,2201951.360000000335276,10598950.149999998509884
20110120,2152542.259999999776483,1954658.969999999739230,2079356.479999999981374,2181817.839999999850988,2188379.360000000335276,10556754.910000000149012
20110121,2177385.520000000018626,1949690.089999999850988,2108878.979999999981374,2196171.880000000353903,2193808.159999999217689,10625934.629999998956919
20110124,2184815.279999999795109,1964596.729999999748543,2133205.519999999552965,2206937.410000000149012,2161235.360000000335276,10650790.300000000745058
20110125,2184350.919999999925494,1955280.079999999841675,2090220.759999999776483,2209329.750000000000000,2205208.639999999664724,10644390.149999998509884
20110126,2197353.000000000000000,1955280.079999999841675,2115492.019999999552965,2196171.880000000353903,2185122.080000000074506,10649419.060000000521541
20110127,2199906.979999999981374,1947205.649999999906868,2106517.179999999701977,2210525.920000000391155,2295869.599999999627471,10760025.330000000074506
20110128,2167866.140000000130385,1932299.009999999776483,2065185.679999999701977,2171052.310000000055879,2222037.919999999925494,10558441.060000000521541
20110131,2204086.220000000204891,1952174.529999999795109,2076522.319999999832362,2179425.500000000000000,2228552.479999999515712,10640761.050000000745058
20110201,2234037.439999999944121,1958385.629999999888241,2073451.979999999981374,2299042.500000000000000,2283926.240000000223517,10848843.790000000968575
20110202,2240074.120000000111759,1952174.529999999795109,2072507.259999999776483,2267942.080000000540167,2277411.679999999701977,10810109.669999999925494
20110203,2259345.060000000055879,1943478.989999999757856,2077230.859999999869615,2293061.650000000372529,2336585.599999999627471,10909702.160000000149012
20110204,2254701.459999999962747,1942857.879999999888241,2085260.979999999981374,2308611.860000000335276,2306727.200000000186265,10898159.379999998956919
20110207,2267471.359999999869615,1941615.659999999916181,2097069.979999999981374,2277511.439999999944121,2269811.360000000335276,10853479.800000000745058
20110208,2269328.799999999813735,1952795.639999999897555,2113130.219999999739230,2291865.480000000447035,2278497.439999999478459,10905617.580000000074506
20110209,2234501.799999999813735,1961491.179999999701977,2144069.799999999813735,2278707.610000000335276,2283926.240000000223517,10902696.630000000819564
20110210,2245182.080000000074506,1973292.269999999785796,2136512.039999999571592,2276315.270000000484288,2303469.919999999925494,10934771.580000000074506
20110211,2239377.580000000074506,1974534.489999999757856,2168160.159999999683350,2252391.870000000111759,2300755.519999999552965,10935219.620000001043081
20110214,2250986.580000000074506,1960870.069999999832362,2170521.959999999962747,2278707.610000000335276,2305098.559999999590218,10966184.780000001192093
20110215,2236823.600000000093132,1962733.399999999906868,2172883.759999999776483,2278707.610000000335276,2281754.719999999739230,10932903.089999999850988
20110216,2244253.359999999869615,1968944.499999999767169,2180677.699999999720603,2306219.520000000484288,2307270.080000000074506,11007365.159999998286366
20110217,2256094.540000000037253,2004968.879999999888241,2190124.899999999906868,2316985.050000000279397,2312156.000000000000000,11080329.370000001043081
20110218,2292082.439999999944121,2004968.879999999888241,2195557.039999999571592,2295453.990000000223517,2325728.000000000000000,11113790.349999999627471
20110222,2329231.239999999757856,1980124.479999999748543,2172883.759999999776483,2259568.890000000130385,2332242.559999999590218,11074050.929999999701977
20110223,2374506.339999999850988,1985093.359999999869615,2131788.439999999944121,2244018.680000000633299,2329528.159999999217689,11064934.980000000447035
20110224,2368934.020000000018626,1983851.139999999897555,2126356.299999999813735,2260765.060000000055879,2320842.080000000074506,11060748.599999999627471
20110225,2370559.279999999795109,1997515.559999999590218,2131552.259999999776483,2255980.380000000353903,2308355.839999999850988,11063963.320000000298023
20110228,2408868.979999999981374,1985093.359999999869615,2178315.899999999906868,2301434.839999999850988,2311613.120000000111759,11185326.199999999254942
20110301,2389133.680000000167638,2016148.859999999869615,2136512.039999999571592,2289473.140000000130385,2304555.679999999701977,11135823.400000000372529
20110302,2402367.939999999944121,2001242.219999999739230,2156823.519999999552965,2295453.990000000223517,2364815.360000000335276,11220703.030000001192093
20110303,2419084.899999999906868,2036024.379999999888241,2192014.339999999850988,2364831.850000000093132,2431589.599999999627471,11443545.069999998435378
20110304,2408868.979999999981374,2024844.399999999906868,2177371.179999999701977,2351673.980000000447035,2413131.679999999701977,11375890.219999998807907
20110307,2391687.660000000149012,2025465.509999999776483,2182330.959999999962747,2345693.130000000353903,2364815.360000000335276,11309992.620000001043081
20110308,2409333.339999999850988,2038508.819999999832362,2214215.259999999776483,2354066.320000000298023,2379473.120000000111759,11395596.859999999403954
20110309,2371488.000000000000000,2037887.709999999962747,2200516.819999999832362,2351673.980000000447035,2415303.200000000186265,11376869.710000000894070
20110310,2300440.919999999925494,2027949.949999999720603,2125883.939999999944121,2315788.880000000353903,2377301.599999999627471,11147365.289999999105930
20110311,2320176.220000000204891,2013043.309999999590218,2163672.739999999757856,2328946.750000000000000,2366444.000000000000000,11192283.019999999552965
20110314,2340375.879999999888241,1985714.469999999739230,2149738.119999999646097,2369616.530000000260770,2343100.159999999217689,11188545.160000000149012
