訓練日期,20100818 - 20101117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10794251.950000001117587
真實報酬,794251.950000001117587

夏普值報酬,0.070725195000000
夏普值風險,0.029202124491644
夏普值,2.421919508638419

預期報酬,14345.404603854169181
風險,77230.764345024392242
趨勢值,0.185747282517713
找到最佳解世代,1810
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](5),WMT[28](6),
20101006,3549536.259999999776483,3432575.320000000298023,3562651.830000000074506,10544764.410000000149012
20101007,3530529.379999999888241,3453516.360000000335276,3551545.219999999739230,10535591.960000000894070
20101008,3529341.450000000186265,3464442.120000000111759,3554811.869999999646097,10548596.439999999478459
20101011,3537656.959999999962747,3441224.880000000353903,3567878.469999999739230,10546761.309999998658895
20101012,3540032.819999999832362,3440769.640000000130385,3522798.700000000186265,10503602.160000000149012
20101013,3560227.629999999888241,3448508.720000000204891,3516265.399999999906868,10525002.750000000000000
20101014,3559039.700000000186265,3507234.680000000633299,3479025.589999999850988,10545300.970000000670552
20101015,3560227.629999999888241,3527265.240000000223517,3485558.890000000130385,10573052.759999999776483
20101018,3563791.419999999925494,3519981.399999999906868,3512345.419999999925494,10596119.240000000223517
20101019,3583986.229999999981374,3504958.479999999981374,3483598.899999999906868,10572544.609999999403954
20101020,3632691.359999999869615,3524078.560000000055879,3493398.849999999627471,10650169.769999999552965
20101021,3651698.239999999757856,3570968.280000000260770,3529985.330000000074506,10752652.849999999627471
20101022,3660013.750000000000000,3575975.919999999925494,3531945.319999999832362,10767935.990000000223517
20101025,3624375.850000000093132,3582804.520000000484288,3524758.689999999944121,10731940.060000000521541
20101026,3637443.080000000074506,3585535.960000000428408,3564611.819999999832362,10787591.860000001266599
20101027,3635067.220000000204891,3527265.240000000223517,3519532.049999999813735,10681865.510000001639128
20101028,3636255.149999999906868,3527265.240000000223517,3533251.979999999515712,10696773.370000001043081
20101029,3642194.799999999813735,3540467.200000000186265,3539131.950000000186265,10721794.949999999254942
20101101,3665953.399999999906868,3545474.839999999850988,3548278.569999999832362,10759707.810000000521541
20101102,3674268.909999999683350,3569147.320000000298023,3579638.409999999683350,10823055.640000000596046
20101103,3680208.560000000055879,3573699.720000000204891,3587478.369999999646097,10841387.650000000372529
20101104,3709906.810000000055879,3604656.040000000502914,3616878.219999999739230,10931442.070000000298023
20101105,3717034.389999999664724,3610118.919999999925494,3606424.939999999944121,10933579.250000000000000
20101108,3709906.810000000055879,3610574.160000000149012,3587478.369999999646097,10907960.339999999850988
20101109,3720598.180000000167638,3601014.120000000111759,3596624.989999999757856,10918238.290000000968575
20101110,3715846.459999999962747,3619223.720000000204891,3561345.169999999925494,10896416.349999999627471
20101111,3730101.619999999646097,3628328.520000000484288,3550238.560000000055879,10908669.700000001117587
20101112,3737229.200000000186265,3589633.120000000111759,3536518.629999999888241,10863381.949999999254942
20101115,3739605.060000000055879,3599648.399999999906868,3524758.689999999944121,10864013.150000000372529
20101116,3687336.139999999664724,3524533.800000000279397,3545011.919999999925494,10756882.859999999403954
20101117,3713470.600000000093132,3567781.600000000558794,3512998.750000000000000,10794251.950000001117587
