訓練日期,20120120 - 20120423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11276551.210000000894070
真實報酬,1276551.210000000894070

夏普值報酬,0.118955121000000
夏普值風險,0.041426187983990
夏普值,2.871495708124858

預期報酬,23793.252854000966181
風險,103019.457053988517146
趨勢值,0.230958825977231
找到最佳解世代,1708
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](4),INTC[11](5),KO[14](2),NKE[19](6),UNH[23](10),WBA[27](19),
20120131,1524416.699999999953434,1396482.820000000065193,1472604.020000000251457,1430265.120000000111759,1462316.200000000186265,1414099.879999999888241,1422600.979999999981374,10122788.720000000670552
20120201,1523481.620000000111759,1398999.540000000037253,1479849.960000000195578,1436618.070000000065193,1458941.680000000167638,1454236.760000000009313,1416630.959999999962747,10168761.589999999850988
20120202,1519975.069999999832362,1398684.950000000186265,1476505.679999999934807,1436618.070000000065193,1446006.020000000251457,1434577.879999999888241,1429850.290000000037253,10142220.960000000894070
20120203,1535170.120000000111759,1421020.840000000083819,1490440.179999999934807,1441700.429999999934807,1455567.160000000149012,1400993.959999999962747,1434967.449999999953434,10179863.139999998733401
20120206,1549430.090000000083819,1421964.610000000102445,1489325.419999999925494,1440853.370000000111759,1455004.740000000223517,1400447.879999999888241,1461832.540000000037253,10218861.649999998509884
20120207,1565793.990000000223517,1430143.950000000186265,1484866.380000000121072,1451865.150000000139698,1465690.720000000204891,1420652.840000000083819,1426865.280000000027940,10245881.310000000521541
20120208,1591976.229999999981374,1421020.840000000083819,1496571.360000000102445,1447206.320000000065193,1489312.360000000102445,1423656.280000000027940,1412793.090000000083819,10282539.480000000447035
20120209,1646912.180000000167638,1424166.740000000223517,1497128.739999999990687,1439582.780000000027940,1487062.680000000167638,1448775.959999999962747,1458847.530000000027940,10402479.610000001266599
20120210,1647847.260000000009313,1426054.280000000027940,1488210.659999999916181,1438735.719999999972060,1482000.900000000372529,1455875.000000000000000,1472919.719999999972060,10411646.540000000968575
20120213,1678471.129999999888241,1444929.679999999934807,1488210.659999999916181,1449323.969999999972060,1479751.220000000204891,1470346.120000000111759,1483580.469999999972060,10494616.250000001862645
20120214,1701380.590000000083819,1449019.350000000093132,1492669.700000000186265,1459065.160000000149012,1499435.920000000158325,1487001.560000000055879,1476757.590000000083819,10565332.870000001043081
20120215,1662107.229999999981374,1438008.700000000186265,1481522.099999999860302,1448476.910000000149012,1498873.500000000000000,1491370.199999999953434,1442216.760000000009313,10462578.400000000372529
20120216,1677068.510000000009313,1444929.679999999934807,1495456.599999999860302,1458218.100000000093132,1492686.880000000121072,1496011.879999999888241,1460126.820000000065193,10524501.470000000670552
20120217,1676834.740000000223517,1469467.700000000186265,1525555.120000000111759,1462453.400000000139698,1499998.340000000316650,1493008.439999999944121,1480169.030000000027940,10607489.769999999552965
20120221,1719380.879999999888241,1476074.090000000083819,1513850.140000000130385,1457371.039999999804422,1475814.280000000027940,1510483.000000000000000,1457568.239999999990687,10610544.669999999925494
20120222,1713302.860000000102445,1465063.440000000176951,1489882.800000000046566,1466688.700000000186265,1486500.260000000242144,1506660.439999999944121,1462258.969999999972060,10590360.470000000670552
20120223,1724523.819999999832362,1477017.860000000102445,1485981.140000000130385,1464994.580000000307336,1492686.880000000121072,1500107.479999999981374,1448613.209999999962747,10593927.969999998807907
20120224,1744628.040000000037253,1477961.629999999888241,1488210.659999999916181,1461182.810000000055879,1494374.140000000130385,1519493.319999999832362,1443922.479999999981374,10629776.080000001937151
20120227,1755849.000000000000000,1476388.679999999934807,1498800.880000000121072,1457794.570000000065193,1506747.380000000121072,1521677.639999999897555,1430276.719999999972060,10647537.870000001043081
20120228,1788109.260000000009313,1485826.379999999888241,1518309.179999999934807,1457794.570000000065193,1510684.320000000065193,1524681.080000000074506,1424733.129999999888241,10710140.919999998062849
20120229,1811486.260000000009313,1496522.440000000176951,1498243.500000000000000,1479394.600000000093132,1517433.360000000102445,1522223.719999999972060,1414072.379999999888241,10739379.260000001639128
20120301,1818265.590000000083819,1493061.950000000186265,1497128.739999999990687,1473888.709999999962747,1526432.080000000307336,1528776.679999999934807,1397441.610000000102445,10734998.359999999403954
20120302,1820603.290000000037253,1491489.000000000000000,1500473.020000000251457,1464994.580000000307336,1529244.180000000167638,1524681.080000000074506,1394030.169999999925494,10725518.320000000298023
20120305,1780628.620000000111759,1490859.820000000065193,1479292.580000000074506,1466265.169999999925494,1535993.220000000204891,1502837.879999999888241,1420042.399999999906868,10675922.689999999478459
20120306,1770810.280000000027940,1459400.820000000065193,1483194.239999999990687,1456100.450000000186265,1509559.480000000214204,1487001.560000000055879,1401705.909999999916181,10567775.740000000223517
20120307,1772212.900000000139698,1490859.820000000065193,1499915.640000000130385,1456947.510000000009313,1512934.000000000000000,1485090.280000000027940,1398294.469999999972060,10616257.620000001043081
20120308,1810083.640000000130385,1504387.190000000176951,1496013.979999999981374,1467112.229999999981374,1517433.360000000102445,1518401.159999999916181,1397868.040000000037253,10711302.600000001490116
20120309,1820603.290000000037253,1513195.710000000195578,1508833.719999999972060,1472194.590000000083819,1546679.200000000186265,1523042.840000000083819,1427718.139999999897555,10812270.490000000223517
20120312,1843512.750000000000000,1528610.620000000111759,1504374.679999999934807,1485747.550000000046566,1538805.320000000065193,1502291.800000000046566,1434114.590000000083819,10837460.310000000521541
20120313,1897279.849999999860302,1545913.070000000065193,1532243.679999999934807,1487865.200000000186265,1557365.180000000167638,1510756.040000000037253,1417910.250000000000000,10949336.269999999552965
20120314,1969047.240000000223517,1556294.540000000037253,1530571.540000000037253,1487018.140000000130385,1551178.560000000055879,1523042.840000000083819,1423027.409999999916181,11040183.270000001415610
20120315,1955488.580000000074506,1547800.610000000102445,1546735.560000000055879,1489559.320000000065193,1556802.760000000242144,1521131.560000000055879,1440084.610000000102445,11057606.000000000000000
20120316,1955488.580000000074506,1543081.760000000009313,1545620.800000000046566,1485747.550000000046566,1564114.220000000204891,1517855.080000000074506,1458847.530000000027940,11070758.519999999552965
20120319,2007385.520000000018626,1536160.780000000027940,1546178.179999999934807,1490829.910000000149012,1576487.460000000195578,1532599.239999999990687,1452451.080000000074506,11142095.169999999925494
20120320,2023749.419999999925494,1553463.230000000214204,1546735.560000000055879,1495065.209999999962747,1571425.680000000167638,1495738.840000000083819,1441790.330000000074506,11127971.270000001415610
20120321,2012060.919999999925494,1566361.419999999925494,1548407.700000000186265,1506076.990000000223517,1552865.820000000065193,1473622.599999999860302,1430276.719999999972060,11089675.170000001788139
20120322,2001541.270000000018626,1562900.929999999934807,1555096.260000000009313,1512429.940000000176951,1560739.700000000186265,1471165.239999999990687,1423453.840000000083819,11087330.179999999701977
20120323,1990554.080000000074506,1558496.669999999925494,1553981.500000000000000,1513700.530000000027940,1510684.320000000065193,1465158.359999999869615,1431129.580000000074506,11023708.040000000968575
20120326,2027022.199999999953434,1577057.480000000214204,1571260.280000000027940,1522594.660000000149012,1526432.080000000307336,1504476.120000000111759,1465670.409999999916181,11194516.230000000447035
20120327,2052035.590000000083819,1574226.169999999925494,1571260.280000000027940,1522171.129999999888241,1516870.940000000176951,1513486.439999999944121,1484006.899999999906868,11234060.450000001117587
20120328,2062555.240000000223517,1570136.500000000000000,1549522.460000000195578,1538688.800000000046566,1507872.220000000204891,1513759.479999999981374,1481874.750000000000000,11224412.450000001117587
20120329,2036606.770000000018626,1570136.500000000000000,1569588.140000000130385,1563253.539999999804422,1516308.520000000251457,1586661.159999999916181,1446907.489999999990687,11289465.120000001043081
20120330,2002242.580000000074506,1582720.100000000093132,1567358.620000000111759,1567488.840000000083819,1524744.820000000065193,1609323.479999999981374,1428144.570000000065193,11282026.010000001639128
20120402,2066061.790000000037253,1572653.220000000204891,1581850.500000000000000,1570030.020000000018626,1533181.120000000344589,1614238.199999999953434,1456715.379999999888241,11394733.230000000447035
20120403,2101594.830000000074506,1572967.810000000055879,1566801.239999999990687,1561982.950000000186265,1544991.940000000176951,1621883.319999999832362,1443496.050000000046566,11413721.140000000596046
20120404,2084997.159999999916181,1568248.960000000195578,1556768.400000000139698,1555630.000000000000000,1539367.740000000223517,1612599.959999999962747,1420042.399999999906868,11337657.620000001043081
20120405,2116322.339999999850988,1592472.389999999897555,1564571.719999999972060,1556053.530000000027940,1552303.400000000372529,1611234.760000000009313,1400426.620000000111759,11393387.760000001639128
20120409,2124738.059999999590218,1591214.030000000027940,1547292.940000000176951,1543347.629999999888241,1556240.340000000316650,1587480.280000000027940,1388486.580000000074506,11338802.859999999403954
20120410,2098789.589999999850988,1552834.050000000046566,1530014.159999999916181,1525135.840000000083819,1497186.240000000223517,1571643.959999999962747,1373561.530000000027940,11149168.369999999180436
20120411,2091308.949999999953434,1565103.060000000055879,1552309.360000000102445,1527253.490000000223517,1521932.720000000204891,1584203.800000000046566,1410660.939999999944121,11252775.320000000298023
20120412,2079854.219999999972060,1592786.980000000214204,1587424.300000000046566,1529371.140000000130385,1527556.920000000158325,1596217.560000000055879,1419615.969999999972060,11332830.090000001713634
20120413,2021177.949999999953434,1603168.450000000186265,1565686.479999999981374,1523441.719999999972060,1529806.600000000093132,1585022.919999999925494,1408955.219999999972060,11237262.340000001713634
20120416,1937488.290000000037253,1626133.520000000018626,1583522.640000000130385,1534029.969999999972060,1538242.900000000372529,1566183.159999999916181,1420042.399999999906868,11205645.880000000819564
20120417,2036139.229999999981374,1636829.580000000074506,1586866.919999999925494,1566218.250000000000000,1544429.520000000251457,1586388.120000000111759,1495520.510000000009313,11452395.130000000819564
20120418,2031697.599999999860302,1629908.600000000093132,1557883.159999999916181,1570877.080000000307336,1554553.080000000307336,1565091.000000000000000,1514283.429999999934807,11424296.949999999254942
20120419,1961800.370000000111759,1622043.850000000093132,1543391.280000000027940,1563253.539999999804422,1541055.000000000000000,1603043.560000000055879,1519400.590000000083819,11353991.189999999478459
20120420,1913409.979999999981374,1618897.950000000186265,1538374.860000000102445,1570030.020000000018626,1557365.180000000167638,1624886.760000000009313,1532193.489999999990687,11355161.240000000223517
20120423,1909202.120000000111759,1607572.710000000195578,1530014.159999999916181,1560712.360000000102445,1543304.680000000167638,1616149.479999999981374,1509592.699999999953434,11276551.210000000894070
