訓練日期,20170530 - 20170829
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10786658.149999998509884
真實報酬,786658.149999998509884

夏普值報酬,0.069965815000000
夏普值風險,0.023754519419452
夏普值,2.945368574483020

預期報酬,12659.923678001379812
風險,42063.026411032587930
趨勢值,0.300975102321236
找到最佳解世代,3106
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
JPM[13](5),MCD[15](4),PG[21](8),UNH[23](1),V[25](6),
20170811,2141985.799999999813735,2099286.799999999813735,2093750.979999999981374,2174863.840000000316650,2114502.919999999925494,10624390.339999999850988
20170814,2167055.899999999441206,2098752.999999999534339,2100856.800000000279397,2182638.070000000298023,2152107.200000000186265,10701410.969999998807907
20170815,2172679.099999999627471,2103557.199999999720603,2113463.899999999906868,2191539.000000000000000,2168162.959999999962747,10749402.160000000149012
20170816,2157683.900000000372529,2120638.799999999813735,2118965.180000000167638,2183314.090000000316650,2182739.899999999906868,10763341.870000001043081
20170817,2123944.700000000186265,2107160.349999999627471,2110484.040000000037253,2171258.399999999906868,2158233.740000000223517,10671081.230000000447035
20170818,2126053.399999999441206,2105425.499999999534339,2119652.839999999850988,2150076.439999999944121,2165627.840000000316650,10666836.019999997690320
20170821,2123476.099999999627471,2113432.500000000000000,2128592.419999999925494,2163709.510000000242144,2180627.300000000279397,10709837.830000000074506
20170822,2145266.000000000000000,2130514.099999999627471,2126987.880000000353903,2194806.429999999701977,2198584.399999999906868,10796158.810000000521541
20170823,2147843.299999999813735,2119437.750000000000000,2118965.180000000167638,2188609.580000000074506,2179782.260000000242144,10754638.070000000298023
20170824,2144328.799999999813735,2114099.750000000000000,2115068.439999999944121,2194355.750000000000000,2180627.300000000279397,10748480.040000000968575
20170825,2152997.900000000372529,2119571.199999999720603,2120569.720000000204891,2189961.620000000111759,2183373.680000000167638,10766474.120000001043081
20170828,2146203.200000000186265,2130914.449999999720603,2119652.839999999850988,2198186.530000000260770,2192457.859999999869615,10787414.879999998956919
20170829,2134488.200000000186265,2127044.399999999906868,2116214.540000000037253,2216664.409999999683350,2192246.600000000093132,10786658.149999998509884
