訓練日期,20150302 - 20150602
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10677469.240000000223517
真實報酬,677469.240000000223517

夏普值報酬,0.059046924000000
夏普值風險,0.023541101417662
夏普值,2.508248146609622

預期報酬,10912.105095393157171
風險,91034.298362559129600
趨勢值,0.119868063923928
找到最佳解世代,3017
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](3),NKE[19](2),
20150320,3472646.100000000093132,3391993.419999999925494,3500135.490000000223517,10364776.009999999776483
20150323,3465920.639999999664724,3371444.709999999962747,3482288.309999999590218,10319654.660000000149012
20150324,3430371.779999999795109,3359501.870000000111759,3454831.109999999869615,10244705.759999999776483
20150325,3362796.919999999925494,3290479.279999999795109,3397857.419999999925494,10051134.619999999180436
20150326,3370483.159999999683350,3288547.350000000093132,3409526.729999999981374,10068558.240000000223517
20150327,3378169.399999999906868,3302949.010000000242144,3428060.339999999850988,10109179.750000000000000
20150330,3398666.040000000037253,3354935.490000000223517,3463068.270000000018626,10216670.800000000745058
20150331,3359274.060000000055879,3301368.339999999850988,3443848.229999999981374,10104491.630000000819564
20150401,3376888.359999999869615,3376186.719999999739230,3417077.459999999962747,10170153.539999999105930
20150402,3394822.919999999925494,3364243.880000000353903,3420509.609999999869615,10179577.410000000149012
20150406,3382973.299999999813735,3373025.380000000353903,3423255.329999999608845,10179255.009999999776483
20150407,3376568.100000000093132,3378996.799999999813735,3419136.750000000000000,10174702.650000000372529
20150408,3406352.279999999795109,3381982.510000000242144,3461008.979999999981374,10249344.769999999552965
20150409,3419482.939999999944121,3422904.299999999813735,3456890.399999999906868,10299278.640000000596046
20150410,3425247.620000000111759,3436076.549999999813735,3431492.490000000223517,10292817.660000000149012
20150413,3411156.180000000167638,3435022.770000000018626,3407467.439999999944121,10253647.390000000596046
20150414,3415960.079999999608845,3472607.589999999850988,3416391.030000000260770,10304959.699999999254942
20150415,3426208.399999999906868,3531970.529999999795109,3426687.479999999981374,10384867.410000000149012
20150416,3462077.519999999552965,3516339.459999999962747,3428746.770000000018626,10407164.750000000000000
20150417,3416920.859999999869615,3466109.279999999795109,3382755.959999999962747,10265787.099999999627471
20150420,3465920.639999999664724,3479281.529999999795109,3432178.919999999925494,10377382.089999999850988
20150421,3448626.600000000093132,3457152.149999999906868,3442475.369999999646097,10348255.119999999180436
20150422,3456953.359999999869615,3483145.389999999664724,3437670.359999999869615,10377770.109999999403954
20150423,3490900.919999999925494,3500532.760000000242144,3470619.000000000000000,10462053.679999999701977
20150424,3507874.700000000186265,3477349.600000000093132,3465127.559999999590218,10450352.859999999403954
20150427,3528051.079999999608845,3451531.990000000223517,3464441.129999999888241,10444025.199999999254942
20150428,3520364.839999999850988,3468568.100000000093132,3427373.909999999683350,10416307.849999999627471
20150429,3516841.979999999981374,3487360.510000000242144,3438356.790000000037253,10442560.280000001192093
20150430,3481933.639999999664724,3449775.689999999944121,3392365.979999999981374,10324076.310000000521541
20150501,3539580.439999999944121,3469270.620000000111759,3458949.689999999944121,10467801.750000000000000
20150504,3555913.700000000186265,3500357.130000000353903,3461008.979999999981374,10517280.810000000521541
20150505,3548867.979999999981374,3465055.500000000000000,3446593.950000000186265,10460518.429999999701977
20150506,3513959.639999999664724,3446789.979999999981374,3439729.649999999906868,10400480.269999999552965
20150507,3499227.680000000167638,3466811.799999999813735,3482288.309999999590218,10448328.789999999105930
20150508,3526449.779999999795109,3521432.729999999981374,3515923.379999999888241,10563806.890000000596046
20150511,3478090.519999999552965,3543035.219999999739230,3528279.119999999646097,10549405.859999999403954
20150512,3498587.159999999683350,3521959.620000000111759,3513864.089999999850988,10534411.869999999180436
20150513,3496985.859999999869615,3537766.320000000298023,3506313.359999999869615,10541066.539999999105930
20150514,3520685.100000000093132,3558666.290000000037253,3550244.879999999888241,10629597.269999999552965
20150515,3532534.719999999739230,3564813.339999999850988,3603099.990000000223517,10700449.050000000745058
20150518,3533495.500000000000000,3594494.810000000055879,3595549.260000000242144,10723540.570000000298023
20150519,3540861.479999999981374,3607491.430000000167638,3591430.680000000167638,10739784.589999999850988
20150520,3529332.120000000111759,3601871.270000000018626,3590744.250000000000000,10721948.640000000596046
20150521,3535417.060000000055879,3599588.079999999608845,3583193.520000000018626,10718199.660000000149012
20150522,3531253.680000000167638,3649642.630000000353903,3584566.379999999888241,10765463.690000001341105
20150526,3504992.359999999869615,3624703.169999999925494,3549558.450000000186265,10679254.980000000447035
20150527,3534776.540000000037253,3671772.010000000242144,3529651.979999999981374,10736201.530000001192093
20150528,3539900.700000000186265,3661585.469999999739230,3511118.369999999646097,10712605.539999999105930
20150529,3534776.540000000037253,3621366.199999999720603,3489839.040000000037253,10645982.780000001192093
20150601,3553671.879999999888241,3649818.260000000242144,3492584.760000000242144,10696075.900000000372529
20150602,3546946.419999999925494,3625581.320000000298023,3504940.500000000000000,10677469.240000000223517
