訓練日期,20170926 - 20171227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11522051.079999998211861
真實報酬,1522051.079999998211861

夏普值報酬,0.143505108000000
夏普值風險,0.042192310585532
夏普值,3.401214723926704

預期報酬,23930.253520418526023
風險,41894.751669564124313
趨勢值,0.571199316543592
找到最佳解世代,1896
找到最佳解實驗#,3
找到最佳解次數,11

stock[index](rank)
投資組合檔數,9
AAPL[0](8),CAT[3](2),CSCO[4](17),DIS[6](20),HD[9](13),MCD[15](4),TRV[22](11),V[25](10),WMT[28](1),
20171018,1179080.800000000046566,1173401.890000000130385,1105509.329999999841675,1096381.120000000111759,1127318.949999999953434,1178727.100000000325963,1177679.950000000186265,1162663.300000000046566,1210359.659999999683350,10411123.100000001490116
20171019,1151184.399999999906868,1175725.510000000242144,1112099.530000000027940,1104861.960000000195578,1125870.580000000074506,1183917.400000000139698,1206209.500000000000000,1154251.000000000000000,1212886.500000000000000,10427007.380000000819564
20171020,1153177.000000000000000,1174027.480000000214204,1128575.030000000027940,1109213.970000000204891,1127181.010000000009313,1182495.400000000139698,1207568.050000000046566,1159967.050000000046566,1227486.019999999785796,10469692.009999999776483
20171023,1152586.599999999860302,1176887.320000000298023,1131870.130000000121072,1101402.670000000158325,1136216.080000000074506,1161449.800000000279397,1217802.459999999962747,1159751.350000000093132,1244472.000000000000000,10482439.410000000149012
20171024,1159450.000000000000000,1235514.040000000270084,1139448.859999999869615,1096827.480000000214204,1145113.209999999962747,1165289.200000000186265,1206390.640000000130385,1169242.149999999906868,1235066.539999999804422,10552343.119999999180436
20171025,1154357.800000000046566,1223002.240000000223517,1130222.579999999841675,1091359.570000000065193,1145389.090000000083819,1163156.200000000186265,1193620.270000000018626,1180889.949999999953434,1242085.539999999804422,10524084.239999998360872
20171026,1161737.800000000046566,1223895.940000000176951,1129234.050000000046566,1099840.410000000149012,1156286.350000000093132,1166213.500000000000000,1195069.390000000130385,1184233.300000000046566,1244050.859999999869615,10560562.600000001490116
20171027,1203361.000000000000000,1231671.130000000121072,1134506.209999999962747,1097050.660000000149012,1154148.280000000027940,1176025.300000000046566,1187099.229999999981374,1183262.649999999906868,1237733.759999999776483,10604859.220000000670552
20171030,1230445.600000000093132,1219874.290000000270084,1121655.320000000065193,1094037.730000000214204,1140147.370000000111759,1181997.699999999953434,1201228.150000000139698,1186821.700000000186265,1220607.399999999906868,10596816.260000003501773
20171031,1247567.199999999953434,1213707.760000000242144,1125279.929999999934807,1091471.160000000149012,1143388.959999999962747,1186832.500000000000000,1199688.459999999962747,1186174.600000000093132,1225661.079999999841675,10619772.650000000372529
20171101,1231700.199999999953434,1218086.890000000130385,1140766.899999999906868,1105085.140000000130385,1140630.159999999916181,1182993.100000000093132,1208926.600000000093132,1197930.250000000000000,1234505.019999999785796,10660625.259999999776483
20171102,1240703.800000000046566,1219695.550000000046566,1127256.989999999990687,1097497.020000000018626,1122215.170000000158325,1195293.400000000139698,1219976.140000000130385,1196959.600000000093132,1246577.699999999720603,10666176.369999999180436
20171103,1273102.000000000000000,1221125.470000000204891,1135824.250000000000000,1100733.130000000121072,1133802.129999999888241,1199203.900000000139698,1207568.050000000046566,1201057.900000000139698,1258931.139999999897555,10731348.970000000670552
20171106,1286017.000000000000000,1230777.430000000167638,1133847.189999999944121,1123051.130000000121072,1132629.640000000130385,1209300.100000000093132,1208654.890000000130385,1207097.500000000000000,1245173.899999999906868,10776549.780000001192093
20171107,1290149.800000000046566,1240608.130000000121072,1133517.679999999934807,1133875.360000000102445,1128767.320000000065193,1214277.100000000325963,1211190.850000000093132,1208930.950000000186265,1248683.399999999906868,10810001.590000001713634
20171108,1300703.199999999953434,1227023.890000000130385,1136812.780000000027940,1129076.990000000223517,1131457.150000000139698,1209513.400000000139698,1209379.450000000186265,1213029.250000000000000,1267073.179999999934807,10824070.290000000968575
20171109,1298046.399999999906868,1209596.740000000223517,1121984.829999999841675,1145815.490000000223517,1126077.490000000223517,1187472.400000000139698,1218527.020000000018626,1209470.199999999953434,1267634.699999999720603,10784626.269999999552965
20171110,1289116.599999999860302,1219784.920000000158325,1120007.770000000018626,1169249.390000000130385,1131870.970000000204891,1177447.300000000279397,1227674.590000000083819,1206666.100000000093132,1276338.259999999776483,10818156.900000000372529
20171113,1283950.600000000093132,1220231.770000000251457,1118689.730000000214204,1168803.030000000027940,1140423.250000000000000,1190103.100000000093132,1207568.050000000046566,1201489.300000000046566,1277320.919999999692664,10808580.750000000000000
20171114,1264541.199999999953434,1229258.140000000130385,1121655.320000000065193,1151283.400000000139698,1159114.120000000111759,1195364.500000000232831,1212458.830000000074506,1207744.600000000093132,1278724.719999999972060,10820145.830000001937151
20171115,1247862.400000000139698,1198514.860000000102445,1123961.889999999897555,1157086.080000000074506,1141250.890000000130385,1189747.600000000093132,1211100.280000000027940,1189086.550000000046566,1261036.839999999850988,10719648.390000000596046
20171116,1262770.000000000000000,1218712.480000000214204,1182285.160000000149012,1156081.770000000018626,1155251.800000000046566,1195222.300000000279397,1184834.979999999981374,1197391.000000000000000,1398468.859999999869615,10951019.349999999627471
20171117,1255759.000000000000000,1216656.970000000204891,1182944.179999999934807,1154296.330000000074506,1156907.080000000074506,1185481.600000000093132,1176774.250000000000000,1184449.000000000000000,1368287.159999999683350,10881556.570000000298023
20171120,1254504.399999999906868,1223627.830000000074506,1202714.780000000027940,1146596.620000000111759,1175597.949999999953434,1186974.700000000186265,1175415.700000000186265,1185851.050000000046566,1368427.539999999804422,10919711.570000000298023
20171121,1277825.199999999953434,1229794.360000000102445,1207657.429999999934807,1149386.370000000111759,1192219.720000000204891,1196715.400000000139698,1183204.719999999972060,1202028.550000000046566,1354951.059999999823049,10993783.810000002384186
20171122,1291256.800000000046566,1233458.530000000027940,1201067.230000000214204,1146485.030000000027940,1186702.120000000111759,1202047.900000000139698,1177589.379999999888241,1195234.000000000000000,1353406.879999999655411,10987248.870000001043081
20171124,1291330.600000000093132,1227917.590000000083819,1202385.270000000018626,1145369.130000000121072,1188564.310000000055879,1202474.500000000232831,1175959.120000000111759,1207636.750000000000000,1356354.859999999869615,10997993.129999998956919
20171127,1284836.199999999953434,1226130.190000000176951,1214906.649999999906868,1147042.980000000214204,1201185.820000000065193,1201408.000000000232831,1181846.169999999925494,1212058.600000000093132,1356354.859999999869615,11025770.470000000670552
20171128,1277308.599999999860302,1242216.790000000270084,1243244.510000000009313,1153961.560000000055879,1217807.590000000083819,1218329.800000000279397,1204760.379999999888241,1222627.900000000139698,1358460.559999999823049,11138718.690000001341105
20171129,1250814.399999999906868,1233905.380000000121072,1235006.760000000009313,1174382.530000000027940,1222497.550000000046566,1211859.700000000186265,1218527.020000000018626,1184880.400000000139698,1369550.579999999841675,11101425.320000000298023
20171130,1268305.000000000000000,1261520.710000000195578,1229075.579999999841675,1169695.750000000000000,1240222.840000000083819,1222809.100000000093132,1227946.300000000046566,1214323.450000000186265,1364918.039999999804422,11198817.769999999552965
20171201,1262401.000000000000000,1264827.400000000139698,1238960.880000000121072,1174494.120000000111759,1244361.040000000037253,1229208.100000000093132,1233742.780000000027940,1194263.350000000093132,1366602.599999999627471,11208862.269999999552965
20171204,1253176.000000000000000,1264648.660000000149012,1242915.000000000000000,1229954.350000000093132,1275259.600000000093132,1213423.900000000139698,1235101.330000000074506,1158672.850000000093132,1361829.679999999934807,11234982.369999999180436
20171205,1251995.199999999953434,1252494.340000000083819,1229405.090000000083819,1196477.350000000093132,1261120.750000000000000,1230061.300000000279397,1225682.050000000046566,1171075.600000000093132,1373340.839999999850988,11191653.520000001415610
20171206,1247345.800000000046566,1254281.740000000223517,1232700.189999999944121,1176837.510000000009313,1246981.900000000139698,1233545.199999999953434,1226044.330000000074506,1183586.199999999953434,1365619.939999999944121,11166943.810000000521541
20171207,1249633.599999999860302,1277071.090000000083819,1232370.679999999934807,1174605.710000000195578,1255258.300000000046566,1229492.500000000000000,1215628.780000000027940,1201489.300000000046566,1358600.939999999944121,11194151.900000000372529
20171208,1250002.600000000093132,1285739.980000000214204,1239290.389999999897555,1163111.940000000176951,1264983.070000000065193,1231198.900000000139698,1211462.560000000055879,1214431.300000000046566,1355372.199999999720603,11215593.940000001341105
20171211,1274356.599999999860302,1284935.650000000139698,1250823.239999999990687,1192125.340000000083819,1256982.550000000046566,1231909.900000000139698,1206118.929999999934807,1211950.750000000000000,1360706.639999999897555,11269910.600000001490116
20171212,1267198.000000000000000,1281807.699999999953434,1249175.689999999944121,1198820.740000000223517,1253878.900000000139698,1224657.699999999953434,1216896.760000000009313,1223706.399999999906868,1357477.899999999906868,11273620.790000002831221
20171213,1271404.600000000093132,1327833.250000000000000,1257083.929999999934807,1200829.360000000102445,1262362.209999999962747,1234042.900000000139698,1209741.729999999981374,1222088.650000000139698,1372358.179999999934807,11357745.810000000521541
20171214,1271035.600000000093132,1307367.520000000251457,1248846.179999999934807,1233860.000000000000000,1256154.909999999916181,1231127.800000000046566,1200865.870000000111759,1217882.500000000000000,1363514.239999999757856,11330655.619999999180436
20171215,1283950.600000000093132,1311031.690000000176951,1258401.969999999972060,1241671.300000000046566,1259258.560000000055879,1237669.000000000232831,1221787.540000000037253,1227589.000000000000000,1363233.479999999748543,11404594.140000000596046
20171218,1302031.599999999860302,1338557.650000000139698,1267957.760000000009313,1238993.140000000130385,1274087.109999999869615,1238664.400000000139698,1224685.780000000027940,1224677.050000000046566,1374323.500000000000000,11483978.990000000223517
20171219,1288157.199999999953434,1348745.830000000074506,1262026.579999999841675,1247697.160000000149012,1282708.359999999869615,1232905.300000000046566,1227674.590000000083819,1209470.199999999953434,1386957.699999999720603,11486343.919999999925494
20171220,1286755.000000000000000,1363134.400000000139698,1276525.020000000018626,1224040.080000000074506,1291881.370000000111759,1224231.100000000093132,1225138.629999999888241,1209254.500000000000000,1386255.799999999813735,11487216.900000002235174
20171221,1291625.800000000046566,1382080.840000000083819,1269605.310000000055879,1222701.000000000000000,1297192.060000000055879,1221955.900000000139698,1217711.890000000130385,1212382.149999999906868,1376569.579999999841675,11491825.530000001192093
20171222,1291625.800000000046566,1392000.910000000149012,1270264.329999999841675,1212657.900000000139698,1297536.909999999916181,1218898.600000000093132,1217259.040000000037253,1215401.949999999953434,1378675.279999999795109,11494321.720000000670552
20171226,1258858.599999999860302,1398167.440000000176951,1267957.760000000009313,1206520.450000000186265,1312917.220000000204891,1217974.300000000046566,1220791.270000000018626,1218637.449999999953434,1392011.379999999655411,11493836.869999999180436
20171227,1259080.000000000000000,1407819.400000000139698,1270593.840000000083819,1201164.130000000121072,1311744.729999999981374,1227786.100000000093132,1220700.700000000186265,1229746.000000000000000,1393415.179999999934807,11522051.079999998211861
