訓練日期,20170814 - 20171113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11067278.480000002309680
真實報酬,1067278.480000002309680

夏普值報酬,0.098027848000000
夏普值風險,0.031047269732773
夏普值,3.157374185998830

預期報酬,16827.543575721989328
風險,48829.912357649700425
趨勢值,0.344615477752046
找到最佳解世代,2346
找到最佳解實驗#,3
找到最佳解次數,34

stock[index](rank)
投資組合檔數,7
BA[2](4),CAT[3](1),CVX[5](12),MSFT[18](7),PG[21](26),UNH[23](16),V[25](2),
20170926,1543034.239999999990687,1576174.940000000176951,1536987.620000000111759,1443546.040000000037253,1449059.399999999906868,1426202.679999999934807,1469246.199999999953434,10444254.119999999180436
20170927,1552643.800000000046566,1576301.530000000027940,1536072.160000000149012,1455171.399999999906868,1421220.199999999953434,1439450.469999999972060,1482804.600000000093132,10463667.160000000149012
20170928,1546500.980000000214204,1585289.420000000158325,1538295.420000000158325,1455565.479999999981374,1421533.000000000000000,1451366.079999999841675,1492652.280000000027940,10491205.660000000149012
20170929,1546136.060000000055879,1578706.739999999990687,1536726.060000000055879,1467781.959999999962747,1422940.599999999860302,1449515.829999999841675,1492652.280000000027940,10494462.529999997466803
20171002,1556962.020000000251457,1578833.330000000074506,1535810.600000000093132,1470146.439999999944121,1435296.199999999953434,1461283.419999999925494,1504926.199999999953434,10543261.210000000894070
20171003,1553738.560000000055879,1588833.940000000176951,1540911.020000000018626,1463250.040000000037253,1440770.199999999953434,1470090.609999999869615,1507067.000000000000000,10564664.369999999180436
20171004,1555563.159999999916181,1604404.510000000009313,1537772.300000000046566,1471722.760000000009313,1445462.199999999953434,1483782.459999999962747,1503070.840000000083819,10601781.230000000447035
20171005,1574599.820000000065193,1600100.450000000186265,1550850.300000000046566,1496943.879999999888241,1439362.599999999860302,1464687.880000000121072,1516343.800000000046566,10642891.730000000447035
20171006,1572714.399999999906868,1606809.720000000204891,1530579.400000000139698,1497535.000000000000000,1444054.599999999860302,1465872.040000000037253,1523337.080000000074506,10640905.240000000223517
20171009,1571558.820000000065193,1606176.770000000018626,1539472.439999999944121,1503249.160000000149012,1440770.199999999953434,1452846.280000000027940,1527333.239999999990687,10641409.910000000149012
20171010,1587007.100000000093132,1622760.060000000055879,1553727.459999999962747,1503249.160000000149012,1432950.199999999953434,1440856.659999999916181,1531614.840000000083819,10672168.480000000447035
20171011,1590108.920000000158325,1627950.250000000000000,1560658.800000000046566,1505810.679999999934807,1430447.799999999813735,1445149.239999999990687,1547742.199999999953434,10707870.889999998733401
20171012,1592967.460000000195578,1645546.260000000242144,1558173.979999999981374,1519603.479999999981374,1441239.399999999906868,1427830.899999999906868,1543032.439999999944121,10728396.920000001788139
20171013,1585851.520000000251457,1654660.740000000223517,1558435.540000000037253,1526893.959999999962747,1455159.000000000000000,1424870.500000000000000,1550882.040000000037253,10756756.300000000745058
20171016,1579830.340000000083819,1664281.580000000074506,1571121.199999999953434,1530046.600000000093132,1456723.000000000000000,1429903.179999999934807,1545744.119999999878928,10777653.019999999552965
20171017,1572957.680000000167638,1652508.709999999962747,1572298.219999999972060,1528864.360000000102445,1451405.399999999906868,1509019.869999999878928,1534897.400000000139698,10821954.640000000596046
20171018,1581594.120000000111759,1662002.959999999962747,1545226.760000000242144,1529258.439999999944121,1450936.199999999953434,1518937.209999999962747,1538608.119999999878928,10826566.809999998658895
20171019,1575512.120000000111759,1665294.300000000279397,1545880.660000000149012,1535169.639999999897555,1432481.000000000000000,1504283.229999999981374,1527475.959999999962747,10786099.910000000149012
20171020,1610240.340000000083819,1662889.090000000316650,1551634.979999999981374,1552903.239999999990687,1380243.399999999906868,1535663.469999999972060,1535040.119999999878928,10828617.640000000596046
20171023,1595461.080000000074506,1666939.970000000204891,1555427.600000000093132,1553297.320000000065193,1365385.399999999906868,1532110.989999999990687,1534754.679999999934807,10803380.040000000968575
20171024,1617842.840000000083819,1749983.010000000242144,1559351.000000000000000,1553888.439999999944121,1360380.599999999860302,1540548.130000000121072,1547314.040000000037253,10929311.060000002384186
20171025,1571741.280000000260770,1732260.410000000149012,1549019.380000000121072,1549356.520000000018626,1358503.799999999813735,1536181.540000000037253,1562727.800000000046566,10859793.730000000447035
20171026,1576910.979999999981374,1733526.310000000055879,1549019.380000000121072,1551918.040000000037253,1368513.399999999906868,1547949.130000000121072,1567152.119999999878928,10894992.359999999403954
20171027,1559820.560000000055879,1744539.640000000130385,1484937.180000000167638,1651423.239999999990687,1361319.000000000000000,1573482.579999999841675,1565867.639999999897555,10941392.840000001713634
20171030,1576789.340000000083819,1727829.760000000242144,1496053.479999999981374,1652999.560000000055879,1349276.199999999953434,1549725.369999999878928,1570577.400000000139698,10923254.110000001266599
20171031,1569065.200000000186265,1719095.050000000279397,1515670.479999999981374,1639009.720000000204891,1350371.000000000000000,1555868.199999999953434,1569721.080000000074506,10918803.730000000447035
20171101,1572227.840000000083819,1725297.959999999962747,1515801.260000000242144,1639009.720000000204891,1358973.000000000000000,1550761.510000000009313,1585277.559999999823049,10947351.850000001490116
20171102,1597346.500000000000000,1727576.580000000074506,1508346.800000000046566,1656152.199999999953434,1353029.800000000046566,1562381.079999999841675,1583993.080000000074506,10988829.039999999105930
20171103,1591994.340000000083819,1729602.020000000018626,1503900.280000000027940,1657925.560000000055879,1354124.599999999860302,1575480.850000000093132,1589416.439999999944121,11002447.089999999850988
20171106,1606104.580000000074506,1743273.740000000223517,1530710.180000000167638,1664427.879999999888241,1345835.399999999906868,1569930.100000000093132,1597408.760000000009313,11057693.639999998733401
20171107,1618633.500000000000000,1757198.640000000130385,1533325.780000000027940,1660487.079999999841675,1360380.599999999860302,1574222.679999999934807,1599835.000000000000000,11104086.279999999329448
20171108,1615227.580000000074506,1737956.959999999962747,1525871.320000000065193,1666201.239999999990687,1369764.599999999860302,1559938.750000000000000,1605258.360000000102445,11080221.809999998658895
20171109,1597772.239999999990687,1713271.910000000149012,1533325.780000000027940,1656940.360000000102445,1372892.599999999860302,1565785.540000000037253,1600548.600000000093132,11040540.029999999329448
20171110,1586520.540000000270084,1727703.169999999925494,1532541.100000000093132,1652605.479999999981374,1378835.799999999813735,1562159.050000000046566,1596837.879999999888241,11037206.019999999552965
20171113,1596069.280000000260770,1728336.120000000111759,1533195.000000000000000,1653787.720000000204891,1391973.399999999906868,1573926.639999999897555,1589987.320000000065193,11067278.480000002309680
