訓練日期,20141229 - 20150401
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10890561.339999999850988
真實報酬,890561.339999999850988

夏普值報酬,0.080356134000000
夏普值風險,0.035109067544104
夏普值,2.288757281834851

預期報酬,18430.536130251435679
風險,123868.207447042354033
趨勢值,0.148791497916292
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](4),MRK[17](13),PFE[20](3),UNH[23](1),WBA[27](7),
20150205,2257842.179999999701977,2048113.460000000195578,2084675.940000000176951,2122277.540000000037253,1956317.810000000521541,10469226.930000001564622
20150206,2248725.780000000260770,2034960.140000000130385,2096050.320000000298023,2098485.099999999627471,1991891.330000000307336,10470112.669999999925494
20150209,2242344.299999999813735,2019037.699999999953434,2089731.220000000204891,2076837.880000000121072,1998430.580000000307336,10426381.680000001564622
20150210,2249333.540000000037253,2037036.980000000214204,2157977.500000000000000,2125202.839999999850988,2006016.110000000102445,10575566.969999998807907
20150211,2247510.259999999776483,2033229.440000000176951,2164296.600000000093132,2142364.599999999627471,2080301.990000000223517,10667702.890000000596046
20150212,2250093.240000000223517,2038075.400000000139698,2203475.020000000018626,2142169.580000000074506,2091549.500000000000000,10725362.740000000223517
20150213,2275011.399999999441206,2035652.420000000158325,2188941.090000000316650,2134368.780000000260770,2059376.390000000363216,10693350.080000001937151
20150217,2277898.259999999776483,2034960.140000000130385,2185149.629999999888241,2140609.419999999925494,2040281.780000000260770,10678899.230000000447035
20150218,2296890.759999999776483,2035306.280000000027940,2178830.529999999795109,2140804.440000000409782,2034788.810000000521541,10686620.820000002160668
20150219,2336091.280000000260770,2017999.280000000027940,2174407.159999999683350,2145874.959999999962747,2016740.480000000214204,10691113.160000000149012
20150220,2405375.919999999925494,2019729.980000000214204,2183885.810000000055879,2196385.140000000596046,2017525.190000000176951,10822902.040000000968575
20150223,2351133.339999999850988,2017999.280000000027940,2173143.340000000316650,2270102.700000000186265,2055714.410000000381842,10868093.070000000298023
20150224,2345663.500000000000000,2020076.120000000111759,2169983.790000000502914,2251185.760000000707805,2102797.010000000242144,10889706.180000001564622
20150225,2324847.719999999739230,2024575.940000000176951,2190204.909999999683350,2224273.000000000000000,2092857.350000000325963,10856758.919999999925494
20150226,2305399.399999999441206,2040844.520000000018626,2185781.540000000502914,2216667.219999999739230,2135754.830000000540167,10884447.509999999776483
20150227,2292028.679999999701977,2026306.640000000130385,2168719.970000000204891,2216082.160000000149012,2173159.340000000316650,10876296.790000000968575
20150302,2336850.980000000447035,2027691.199999999953434,2197155.920000000391155,2231098.700000000186265,2187284.120000000577420,10980080.920000001788139
20150303,2363744.360000000335276,2019383.840000000083819,2183885.810000000055879,2201065.620000000111759,2176559.750000000000000,10944639.379999998956919
20150304,2345207.679999999701977,2003461.400000000139698,2188941.090000000316650,2219787.540000000037253,2171589.919999999925494,10928987.630000000819564
20150305,2347030.959999999962747,2006922.800000000046566,2178198.620000000111759,2238704.480000000447035,2176298.180000000167638,10947155.039999999105930
20150306,2326519.060000000521541,1967462.840000000083819,2146603.120000000111759,2201455.660000000149012,2154064.729999999981374,10796105.410000000149012
20150309,2351285.280000000260770,1982000.719999999972060,2150394.580000000074506,2240849.700000000186265,2184145.280000000260770,10908675.560000002384186
20150310,2315883.259999999776483,1958463.199999999953434,2134596.830000000074506,2193264.820000000298023,2163742.820000000298023,10765950.929999999701977
20150311,2296890.759999999776483,1940463.920000000158325,2125118.180000000167638,2198335.339999999850988,2158249.850000000558794,10719058.050000000745058
20150312,2310109.540000000037253,1944271.460000000195578,2148498.850000000093132,2240459.660000000149012,2203763.030000000260770,10847102.539999999105930
20150313,2302968.360000000335276,1945309.880000000121072,2148498.850000000093132,2247675.400000000372529,2189899.820000000298023,10834352.310000000521541
20150316,2334875.759999999776483,1977154.760000000009313,2176302.890000000130385,2311446.940000000409782,2269678.669999999925494,11069459.020000001415610
20150317,2347638.719999999739230,1954655.660000000149012,2159241.320000000298023,2293505.099999999627471,2256338.600000000558794,11011379.400000002235174
20150318,2366175.399999999441206,1995500.179999999934807,2172511.430000000167638,2339529.820000000298023,2280403.040000000502914,11154119.870000001043081
20150319,2341561.120000000111759,2014884.020000000018626,2157977.500000000000000,2355131.419999999925494,2285111.300000000279397,11154665.360000001266599
20150320,2347486.780000000260770,2027691.199999999953434,2164296.600000000093132,2323538.179999999701977,2307867.890000000596046,11170880.650000000372529
20150323,2321808.919999999925494,2032883.300000000046566,2214849.399999999906868,2321587.980000000447035,2299759.220000000204891,11190888.820000000298023
20150324,2304183.879999999888241,2029421.900000000139698,2181358.170000000391155,2303646.140000000596046,2301851.780000000260770,11120461.870000001043081
20150325,2252220.399999999441206,2016614.719999999972060,2167456.149999999906868,2272832.980000000447035,2246398.939999999944121,10955523.189999999478459
20150326,2251308.759999999776483,1993769.480000000214204,2158609.409999999683350,2267177.400000000372529,2208732.860000000335276,10879597.910000000149012
20150327,2261640.679999999701977,1998961.580000000074506,2181990.080000000074506,2301500.919999999925494,2230966.310000000521541,10975059.570000000298023
20150330,2320137.580000000074506,2019383.840000000083819,2211689.850000000093132,2359811.900000000372529,2249276.209999999962747,11160299.379999998956919
20150331,2280329.299999999813735,1989615.800000000046566,2198419.740000000223517,2306961.480000000447035,2215010.540000000502914,10990336.860000001266599
20150401,2258449.939999999478459,1968155.120000000111759,2169351.879999999888241,2290579.799999999813735,2204024.600000000558794,10890561.339999999850988
