訓練日期,20160516 - 20160816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10958561.390000000596046
真實報酬,958561.390000000596046

夏普值報酬,0.087156139000000
夏普值風險,0.030434730167376
夏普值,2.863706644372529

預期報酬,17281.400696418091684
風險,78985.483563062181929
趨勢值,0.218792111117742
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AAPL[0](11),JNJ[12](5),MSFT[18](16),UNH[23](4),VZ[26](15),WBA[27](17),
20160527,1847655.959999999962747,1659328.000000000000000,1707124.719999999972060,1731261.000000000000000,1656196.239999999990687,1632532.389999999897555,10234102.310000000521541
20160531,1838634.080000000074506,1653897.879999999888241,1729311.760000000009313,1726997.729999999748543,1665357.280000000027940,1641012.790000000037253,10255215.519999999552965
20160601,1812857.279999999795109,1655218.719999999972060,1724417.560000000055879,1738108.070000000065193,1649979.820000000065193,1655853.489999999757856,10236438.940000001341105
20160602,1799232.399999999906868,1680314.679999999934807,1712345.199999999953434,1757615.760000000009313,1661103.940000000176951,1677054.489999999757856,10287670.470000000670552
20160603,1802914.800000000046566,1684277.199999999953434,1689831.879999999888241,1767950.959999999962747,1666011.640000000130385,1668150.070000000065193,10279140.550000000745058
20160606,1815987.319999999832362,1699099.959999999962747,1700925.400000000139698,1784874.850000000093132,1659140.860000000102445,1667726.049999999813735,10327758.439999997615814
20160607,1823352.120000000111759,1698512.919999999925494,1699946.560000000055879,1769242.859999999869615,1693167.580000000074506,1677478.510000000009313,10361704.549999998882413
20160608,1821695.040000000037253,1699540.239999999990687,1697988.879999999888241,1813942.600000000093132,1685642.440000000176951,1684262.829999999841675,10403076.029999999329448
20160609,1834767.560000000055879,1717151.439999999944121,1684285.119999999878928,1817559.920000000158325,1699711.180000000167638,1675146.399999999906868,10428625.620000001043081
20160610,1819669.719999999972060,1717298.199999999953434,1679717.199999999953434,1798956.560000000055879,1723268.140000000130385,1748501.859999999869615,10487415.679999999701977
20160613,1792235.840000000083819,1714069.479999999981374,1635995.679999999934807,1784099.709999999962747,1719996.340000000083819,1788571.750000000000000,10434972.800000000745058
20160614,1794445.279999999795109,1718912.560000000055879,1625881.000000000000000,1781257.530000000027940,1733737.900000000139698,1788147.729999999981374,10442386.000000000000000
20160615,1788553.439999999944121,1708492.599999999860302,1621313.079999999841675,1773376.939999999944121,1728830.200000000186265,1764190.599999999860302,10384760.860000001266599
20160616,1796102.359999999869615,1711868.079999999841675,1644152.679999999934807,1791463.540000000037253,1749115.360000000102445,1762918.540000000037253,10455624.559999998658895
20160617,1755227.719999999972060,1694843.919999999925494,1635669.400000000139698,1778932.109999999869615,1759585.120000000111759,1752318.040000000037253,10376580.309999998658895
20160620,1750992.959999999962747,1710400.479999999981374,1633711.719999999972060,1789654.880000000121072,1758930.760000000009313,1758254.320000000065193,10401949.120000001043081
20160621,1765906.679999999934807,1705117.120000000111759,1670255.079999999841675,1785391.609999999869615,1770054.880000000121072,1763978.589999999850988,10460707.960000000894070
20160622,1759278.359999999869615,1709226.399999999906868,1663729.479999999981374,1781645.100000000093132,1767764.620000000111759,1775427.129999999888241,10457075.089999999850988
20160623,1769404.959999999962747,1722728.319999999832362,1693747.239999999990687,1798310.609999999869615,1788704.140000000130385,1803412.449999999953434,10576311.719999998807907
20160624,1719692.560000000055879,1697045.319999999832362,1625881.000000000000000,1773764.510000000009313,1780851.820000000065193,1733873.169999999925494,10331112.379999998956919
20160627,1694652.240000000223517,1710547.239999999990687,1580201.800000000046566,1771439.090000000083819,1790994.400000000139698,1683202.779999999795109,10231041.549999998882413
20160628,1723190.840000000083819,1735202.919999999925494,1613156.079999999841675,1792109.489999999990687,1793611.840000000083819,1693591.269999999785796,10350866.439999999478459
20160629,1738104.560000000055879,1751346.520000000018626,1649046.879999999888241,1815492.880000000121072,1801464.160000000149012,1763766.579999999841675,10519225.580000000074506
20160630,1760198.959999999962747,1780258.239999999990687,1669602.520000000018626,1824277.799999999813735,1826984.200000000186265,1765462.659999999916181,10626788.380000000819564
20160701,1765538.439999999944121,1780111.479999999981374,1669276.239999999990687,1819885.340000000083819,1839744.219999999972060,1761010.449999999953434,10635570.169999999925494
20160705,1748967.639999999897555,1794493.959999999962747,1669602.520000000018626,1828928.640000000130385,1849559.620000000111759,1770762.909999999916181,10662319.289999999105930
20160706,1758910.120000000111759,1799924.079999999841675,1676454.400000000139698,1839522.219999999972060,1840725.760000000009313,1728996.939999999944121,10644537.519999999552965
20160707,1766459.040000000037253,1798016.199999999953434,1676454.400000000139698,1819110.200000000186265,1811933.920000000158325,1706735.889999999897555,10578713.650000002235174
20160708,1780083.920000000158325,1803006.039999999804422,1706472.159999999916181,1825182.130000000121072,1828947.280000000027940,1734297.189999999944121,10677992.719999998807907
20160711,1785607.520000000018626,1804180.120000000111759,1715934.280000000027940,1812909.079999999841675,1829928.820000000065193,1738749.399999999906868,10687313.220000000670552
20160712,1793708.800000000046566,1804033.359999999869615,1736163.640000000130385,1806966.340000000083819,1814878.540000000037253,1722000.609999999869615,10677755.289999999105930
20160713,1783582.200000000186265,1805207.439999999944121,1745952.040000000037253,1827895.119999999878928,1832219.080000000074506,1733661.159999999916181,10728521.039999999105930
20160714,1818933.240000000223517,1807849.120000000111759,1753456.479999999981374,1819626.959999999962747,1826984.200000000186265,1776275.169999999925494,10803129.169999999925494
20160715,1818749.120000000111759,1805207.439999999944121,1752151.360000000102445,1825957.270000000251457,1826984.200000000186265,1749349.899999999906868,10778403.290000000968575
20160718,1838081.719999999972060,1807262.079999999841675,1760634.640000000130385,1818464.250000000000000,1829928.820000000065193,1755074.169999999925494,10809449.679999999701977
20160719,1838818.200000000186265,1838228.439999999944121,1732248.280000000027940,1842235.209999999962747,1822403.680000000167638,1742989.599999999860302,10816927.410000000149012
20160720,1840475.279999999795109,1836614.079999999841675,1824259.239999999990687,1847790.380000000121072,1819786.239999999990687,1749349.899999999906868,10918279.119999999180436
20160721,1830716.920000000158325,1836760.840000000083819,1820670.159999999916181,1845852.530000000027940,1811606.739999999990687,1732177.089999999850988,10877788.279999999329448
20160722,1816539.679999999934807,1834999.719999999972060,1845793.719999999972060,1856446.109999999869615,1835490.880000000121072,1724756.739999999757856,10914030.850000001490116
20160725,1792235.840000000083819,1832945.079999999841675,1851014.199999999953434,1831124.869999999878928,1827965.739999999990687,1729420.959999999729916,10864710.689999999478459
20160726,1779899.800000000046566,1836760.840000000083819,1851993.040000000037253,1830737.299999999813735,1793284.660000000149012,1724332.719999999972060,10817012.360000001266599
20160727,1895527.160000000149012,1831183.959999999962747,1833395.079999999841675,1830478.920000000158325,1809970.840000000083819,1694863.329999999841675,10895423.290000000968575
20160728,1921119.840000000083819,1826634.399999999906868,1834047.640000000130385,1844431.439999999944121,1794920.560000000055879,1684686.849999999860302,10905844.730000000447035
20160729,1918726.279999999795109,1837934.919999999925494,1849382.800000000046566,1850115.799999999813735,1812915.459999999962747,1680234.639999999897555,10949313.900000000372529
20160801,1952604.359999999869615,1840429.840000000083819,1846120.000000000000000,1854120.689999999944121,1783142.080000000074506,1680658.659999999916181,10957079.630000000819564
20160802,1923697.520000000018626,1832358.039999999804422,1846120.000000000000000,1849728.229999999748543,1766783.080000000074506,1673874.339999999850988,10892565.209999999031425
20160803,1947817.240000000223517,1818415.840000000083819,1858844.919999999925494,1845981.719999999972060,1763511.280000000027940,1687654.989999999757856,10922229.990000000223517
20160804,1949290.200000000186265,1817828.800000000046566,1872548.679999999934807,1843785.489999999990687,1764492.820000000065193,1692955.239999999757856,10940905.230000000447035
20160805,1978933.520000000018626,1823405.679999999934807,1891146.640000000130385,1847402.810000000055879,1755004.600000000093132,1707371.919999999925494,11003269.169999999925494
20160808,1995320.200000000186265,1814746.840000000083819,1894409.440000000176951,1836292.469999999972060,1753368.700000000186265,1709492.019999999785796,11003633.669999999925494
20160809,2003421.479999999981374,1811518.120000000111759,1898977.360000000102445,1832287.579999999841675,1755658.959999999962747,1715004.279999999795109,11016871.779999999329448
20160810,1988507.760000000009313,1810490.800000000046566,1893104.320000000065193,1837067.609999999869615,1760566.660000000149012,1749137.889999999897555,11038879.040000000968575
20160811,1987218.920000000158325,1816507.959999999962747,1902240.159999999916181,1842751.969999999972060,1762202.560000000055879,1757830.299999999813735,11068755.870000001043081
20160812,1991821.920000000158325,1808436.159999999916181,1890494.079999999841675,1845981.719999999972060,1755331.780000000027940,1766522.709999999729916,11058592.369999999180436
20160815,2015757.520000000018626,1795081.000000000000000,1896367.119999999878928,1829703.780000000027940,1754023.060000000055879,1772671.000000000000000,11063607.480000000447035
20160816,2013916.319999999832362,1766022.520000000018626,1874180.079999999841675,1822727.520000000251457,1726212.760000000009313,1755498.189999999944121,10958561.390000000596046
