訓練日期,20150121 - 20150423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11238240.189999999478459
真實報酬,1238240.189999999478459

夏普值報酬,0.115124019000000
夏普值風險,0.036729122479146
夏普值,3.134407010822674

預期報酬,21473.712175839424162
風險,134469.565982579078991
趨勢值,0.159691986948343
找到最佳解世代,1571
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DD[7](11),NKE[19](7),UNH[23](1),WBA[27](2),
20150210,2747412.939999999478459,2477034.990000000223517,2579291.149999999906868,2521038.720000000204891,10324777.800000000745058
20150211,2723546.739999999757856,2438581.949999999720603,2600119.869999999646097,2614398.040000000037253,10376646.599999997764826
20150212,2784007.779999999795109,2456740.330000000074506,2599883.179999999701977,2628533.429999999701977,10469164.719999998807907
20150213,2800714.119999999646097,2457808.470000000204891,2590415.579999999608845,2588099.640000000130385,10437037.810000000521541
20150217,2807873.979999999981374,2453001.839999999850988,2597989.659999999683350,2564102.350000000093132,10422967.830000000074506
20150218,2798725.270000000018626,2500000.000000000000000,2598226.349999999627471,2557199.020000000484288,10454150.640000000596046
20150219,2814238.299999999813735,2502136.280000000260770,2604380.289999999571592,2534516.649999999906868,10455271.519999999552965
20150220,2805885.129999999888241,2535248.620000000111759,2665683.000000000000000,2535502.839999999850988,10542319.589999999850988
20150223,2803498.509999999776483,2537384.899999999906868,2755151.819999999832362,2583497.420000000391155,10679532.650000000372529
20150224,2821398.160000000149012,2548066.300000000279397,2732192.890000000130385,2642668.820000000298023,10744326.170000001788139
20150225,2823784.779999999795109,2585451.199999999720603,2699529.669999999459833,2630177.080000000074506,10738942.729999998584390
20150226,2789974.329999999608845,2590257.830000000074506,2690298.759999999776483,2684088.800000000279397,10754619.720000000670552
20150227,2789178.790000000037253,2593462.250000000000000,2689588.689999999478459,2731097.189999999944121,10803326.919999999925494
20150302,2795543.109999999869615,2637255.990000000223517,2707813.819999999832362,2748848.610000000335276,10889461.530000001192093
20150303,2789974.329999999608845,2616427.260000000242144,2671363.559999999590218,2735370.679999999701977,10813135.829999998211861
20150304,2807873.979999999981374,2604143.649999999906868,2694085.799999999348074,2729124.810000000055879,10835228.240000000223517
20150305,2769290.290000000037253,2629244.939999999944121,2717044.729999999981374,2735041.950000000186265,10850621.910000000149012
20150306,2715591.339999999850988,2588121.550000000279397,2671836.939999999478459,2707099.899999999906868,10682649.730000000447035
20150309,2715193.569999999832362,2602007.370000000111759,2719648.319999999832362,2744903.850000000093132,10781753.109999999403954
20150310,2668654.479999999981374,2577440.149999999906868,2661895.959999999497086,2719262.910000000149012,10627253.500000000000000
20150311,2649959.290000000037253,2545930.020000000018626,2668049.899999999906868,2712359.580000000074506,10576298.790000000968575
20150312,2688542.979999999981374,2591325.970000000204891,2719174.939999999478459,2769558.600000000093132,10768602.490000000223517
20150313,2665074.549999999813735,2558747.699999999720603,2727932.469999999739230,2752135.910000000149012,10703890.629999998956919
20150316,2664279.009999999776483,2575303.870000000111759,2805330.099999999627471,2852398.560000000055879,10897311.539999999105930
20150317,2641606.119999999646097,2577974.220000000204891,2783554.619999999646097,2835633.330000000074506,10838768.289999999105930
20150318,2692918.449999999720603,2604143.649999999906868,2839413.459999999497086,2865876.490000000223517,11002352.049999998882413
20150319,2647174.899999999906868,2625506.449999999720603,2858348.659999999683350,2871793.629999999888241,11002823.640000000596046
20150320,2678996.499999999534339,2723241.260000000242144,2820004.879999999888241,2900393.140000000130385,11122635.779999999329448
20150323,2675416.569999999832362,2709355.439999999944121,2817637.979999999981374,2890202.510000000242144,11092612.500000000000000
20150324,2674223.259999999776483,2687992.640000000130385,2795862.500000000000000,2892832.350000000093132,11050910.750000000000000
20150325,2652743.679999999701977,2643664.830000000074506,2758465.479999999981374,2823141.589999999850988,10878015.580000000074506
20150326,2654334.759999999776483,2652744.020000000018626,2751601.469999999739230,2775804.470000000204891,10834484.719999998807907
20150327,2705249.319999999832362,2667163.910000000149012,2793258.909999999683350,2803746.520000000484288,10969418.660000000149012
20150330,2757357.189999999478459,2694401.480000000447035,2864029.219999999739230,2826757.620000000111759,11142545.509999999776483
20150331,2717977.959999999962747,2679447.520000000018626,2799886.229999999981374,2783693.990000000223517,10981005.700000001117587
20150401,2713204.719999999739230,2658618.790000000037253,2780004.270000000018626,2769887.330000000074506,10921715.109999999403954
20150402,2732695.449999999720603,2661289.140000000130385,2777874.059999999590218,2826100.160000000149012,10997958.809999998658895
20150406,2757357.189999999478459,2663425.419999999925494,2785921.520000000018626,2893161.080000000074506,11099865.209999999031425
20150407,2748606.249999999534339,2660221.000000000000000,2777637.369999999646097,2869163.790000000037253,11055628.410000000149012
20150408,2739855.309999999590218,2692799.270000000018626,2797519.329999999608845,2882312.990000000223517,11112486.900000000372529
20150409,2760937.119999999646097,2689594.850000000093132,2806040.169999999459833,3044705.610000000335276,11301277.750000000000000
20150410,2741048.619999999646097,2669834.260000000242144,2816691.219999999739230,3024981.810000000055879,11252555.910000000149012
20150413,2734286.529999999795109,2651141.810000000055879,2825448.750000000000000,3014791.179999999701977,11225668.269999999552965
20150414,2766108.129999999888241,2658084.720000000204891,2838466.699999999720603,3023666.890000000130385,11286326.439999999478459
20150415,2838502.270000000018626,2666095.770000000018626,2776927.299999999348074,3009202.770000000484288,11290728.109999999403954
20150416,2818215.999999999534339,2667697.980000000447035,2878230.619999999646097,2942799.310000000055879,11306943.910000000149012
20150417,2813044.989999999757856,2631915.290000000037253,2809827.209999999497086,2858644.429999999701977,11113431.919999998062849
20150420,2837308.959999999962747,2670368.330000000074506,2806750.239999999757856,2863904.110000000335276,11178331.640000000596046
20150421,2812647.219999999739230,2678379.379999999888241,2823318.539999999571592,2862917.920000000391155,11177263.059999998658895
20150422,2833331.259999999776483,2674640.890000000130385,2788525.109999999869615,2860616.810000000055879,11157114.070000000298023
20150423,2889019.059999999590218,2700276.250000000000000,2799176.159999999683350,2849768.720000000204891,11238240.189999999478459
