訓練日期,20160517 - 20160817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11196608.800000000745058
真實報酬,1196608.800000000745058

夏普值報酬,0.110960880000000
夏普值風險,0.034622189263736
夏普值,3.204906516880031

預期報酬,19938.215757113113796
風險,96403.322112166832085
趨勢值,0.206820836878574
找到最佳解世代,2297
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](13),CAT[3](1),JNJ[12](7),MRK[17](6),VZ[26](14),WMT[28](8),
20160624,1658144.560000000288710,1721591.089999999850988,1683995.969999999972060,1704177.310000000055879,1770771.600000000093132,1816615.359999999869615,10355299.889999998733401
20160627,1634000.480000000214204,1682695.639999999897555,1697393.929999999934807,1686794.020000000018626,1780856.830000000307336,1805003.120000000111759,10286748.019999999552965
20160628,1661517.630000000121072,1709568.859999999869615,1721859.770000000018626,1695028.209999999962747,1783459.470000000204891,1805255.560000000288710,10376693.500000000000000
20160629,1675897.560000000288710,1749878.689999999944121,1737879.070000000065193,1739858.799999999813735,1791267.390000000130385,1829237.359999999869615,10524022.869999999180436
20160630,1697201.159999999916181,1787124.030000000027940,1766568.179999999934807,1756937.119999999878928,1816643.130000000353903,1843374.000000000000000,10667851.620000001043081
20160701,1702349.530000000027940,1802210.750000000000000,1766422.550000000046566,1767001.129999999888241,1829331.000000000000000,1838072.760000000242144,10705391.720000000670552
20160705,1686371.830000000074506,1753414.639999999897555,1780694.290000000037253,1768830.949999999953434,1839090.900000000139698,1846403.280000000027940,10674809.889999998733401
20160706,1695958.450000000186265,1764022.489999999757856,1786082.600000000093132,1804207.469999999739230,1830306.989999999990687,1863569.199999999953434,10744151.199999999254942
20160707,1703237.180000000167638,1769208.549999999813735,1784189.410000000149012,1792618.610000000102445,1801677.950000000186265,1856248.440000000176951,10707184.140000000596046
20160708,1716374.400000000139698,1823897.909999999916181,1789140.829999999841675,1810001.899999999906868,1818595.110000000102445,1864074.080000000307336,10822088.229999998584390
20160711,1721700.300000000279397,1834034.299999999813735,1790305.870000000111759,1809696.930000000167638,1819571.100000000093132,1869627.760000000242144,10844940.259999999776483
20160712,1729511.620000000111759,1881180.299999999813735,1790160.239999999990687,1817626.149999999906868,1804605.920000000158325,1849685.000000000000000,10872773.230000000447035
20160713,1719747.470000000204891,1878587.269999999785796,1791325.280000000027940,1816101.299999999813735,1821848.410000000149012,1858520.400000000139698,10886134.130000000819564
20160714,1753833.230000000214204,1887309.280000000027940,1793946.620000000111759,1819151.000000000000000,1816643.130000000353903,1860539.920000000158325,10931427.180000001564622
20160715,1753655.700000000186265,1902396.000000000000000,1791325.280000000027940,1818541.060000000055879,1816643.130000000353903,1859782.600000000093132,10942347.770000001415610
20160718,1772296.350000000093132,1881651.759999999776483,1793364.100000000093132,1799937.890000000130385,1819571.100000000093132,1864074.080000000307336,10930899.279999999329448
20160719,1773006.470000000204891,1879765.919999999692664,1824092.030000000027940,1788958.969999999739230,1812088.510000000242144,1859530.159999999916181,10937446.060000000521541
20160720,1774604.239999999990687,1878587.269999999785796,1822490.100000000093132,1792923.579999999841675,1809485.870000000111759,1862811.880000000353903,10940906.939999999478459
20160721,1765195.150000000139698,1886130.630000000121072,1822635.730000000214204,1792923.579999999841675,1801352.620000000111759,1855996.000000000000000,10924237.710000000894070
20160722,1751525.340000000083819,1871279.639999999897555,1820888.170000000158325,1793838.489999999990687,1825101.710000000195578,1856753.320000000065193,10919390.670000001788139
20160725,1728091.380000000121072,1855014.269999999785796,1818849.350000000093132,1785909.270000000018626,1817619.120000000111759,1861802.120000000111759,10867289.510000001639128
20160726,1716196.870000000111759,1950720.649999999906868,1822635.730000000214204,1779809.869999999878928,1783134.140000000130385,1861297.240000000223517,10913798.500000000000000
20160727,1827685.710000000195578,1982544.199999999720603,1817101.790000000037253,1787129.149999999906868,1799725.970000000204891,1850947.199999999953434,11065138.019999999552965
20160728,1852362.380000000121072,1954728.060000000055879,1812587.260000000009313,1781944.659999999916181,1784760.790000000037253,1848927.679999999934807,11035314.830000000074506
20160729,1850054.489999999990687,1950956.380000000121072,1823800.770000000018626,1788958.969999999739230,1802653.939999999944121,1842111.800000000046566,11058540.350000001490116
20160801,1882720.010000000009313,1931862.250000000000000,1826276.480000000214204,1788958.969999999739230,1773048.910000000149012,1862559.440000000176951,11065430.060000000521541
20160802,1854847.800000000279397,1915125.419999999692664,1818266.829999999841675,1778894.959999999962747,1756782.410000000149012,1846150.840000000083819,10970072.259999999776483
20160803,1878104.230000000214204,1933748.089999999850988,1804431.980000000214204,1758157.000000000000000,1753529.110000000102445,1841354.479999999981374,10969328.890000000596046
20160804,1879524.470000000204891,1927619.109999999869615,1803849.459999999962747,1763951.430000000167638,1754505.100000000093132,1850442.320000000065193,10979895.890000000596046
20160805,1908106.800000000279397,1946241.780000000027940,1809383.399999999906868,1947543.369999999878928,1745070.530000000260770,1862054.560000000288710,11218404.440000001341105
20160808,1923906.970000000204891,1966986.019999999785796,1800791.230000000214204,1917046.369999999878928,1743443.880000000353903,1851452.080000000307336,11203630.550000000745058
20160809,1931718.290000000037253,1952606.489999999757856,1797587.370000000111759,1905762.479999999981374,1745721.189999999944121,1856500.880000000353903,11189900.700000001117587
20160810,1917338.360000000102445,1948363.350000000093132,1796567.959999999962747,1910337.030000000027940,1750601.140000000130385,1866850.920000000158325,11190062.759999999776483
20160811,1916095.650000000139698,1962271.419999999692664,1802538.790000000037253,1940529.060000000055879,1752227.790000000037253,1863064.320000000065193,11236731.030000001192093
20160812,1920533.900000000139698,1956613.899999999906868,1794529.139999999897555,1931989.899999999906868,1745395.860000000102445,1865336.280000000027940,11214402.979999998584390
20160815,1943612.800000000279397,1983722.850000000093132,1781276.810000000055879,1931074.989999999990687,1744094.540000000037253,1850947.199999999953434,11234733.190000001341105
20160816,1941837.500000000000000,1987023.070000000065193,1752442.070000000065193,1922535.829999999841675,1716441.489999999990687,1840092.280000000027940,11160376.240000000223517
20160817,1938997.020000000018626,1989851.829999999841675,1766713.810000000055879,1930160.079999999841675,1729780.020000000251457,1841102.040000000270084,11196608.800000000745058
