訓練日期,20101122 - 20110224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11879287.490000000223517
真實報酬,1879287.490000000223517

夏普值報酬,0.179228749000000
夏普值風險,0.056135727803607
夏普值,3.192775011789990

預期報酬,32147.841420060878590
風險,92203.236048697741353
趨勢值,0.348662832214281
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CAT[3](3),CVX[5](1),HD[9](6),UNH[23](14),WBA[27](2),XOM[29](10),
20101202,1481709.000000000000000,1507676.800000000279397,1438101.080000000074506,1526493.119999999878928,1509919.099999999860302,1484053.300000000046566,1447606.939999999944121,10395562.339999999850988
20101203,1478449.000000000000000,1520605.919999999925494,1444738.100000000093132,1531984.079999999841675,1500792.239999999990687,1514876.800000000046566,1441734.149999999906868,10433183.290000000968575
20101206,1491163.000000000000000,1517543.760000000242144,1445759.180000000167638,1525577.960000000195578,1479760.780000000027940,1493916.820000000065193,1444164.270000000018626,10397888.769999999552965
20101207,1482035.000000000000000,1537107.560000000055879,1468733.479999999981374,1535187.139999999897555,1459126.140000000130385,1488574.080000000074506,1447201.919999999925494,10417968.320000000298023
20101208,1495075.000000000000000,1524688.800000000279397,1466010.600000000093132,1557150.979999999981374,1461903.880000000121072,1498848.580000000074506,1455099.809999999823049,10458780.650000000372529
20101209,1489207.000000000000000,1525539.400000000139698,1474689.780000000260770,1570420.800000000046566,1454364.300000000046566,1494738.780000000027940,1458137.459999999962747,10467100.519999999552965
20101210,1492793.000000000000000,1530132.640000000130385,1481156.620000000111759,1574081.439999999944121,1455157.940000000176951,1497204.659999999916181,1461782.640000000130385,10492311.939999999478459
20101213,1498009.000000000000000,1558882.919999999925494,1503960.740000000223517,1581402.720000000204891,1464284.800000000046566,1497615.639999999897555,1465427.820000000065193,10569586.640000000596046
20101214,1491815.000000000000000,1566708.440000000176951,1504130.919999999925494,1588724.000000000000000,1448412.000000000000000,1510356.020000000018626,1461782.640000000130385,10571932.020000001415610
20101215,1492141.000000000000000,1584230.800000000279397,1497834.260000000242144,1591927.060000000055879,1406745.900000000139698,1525973.260000000009313,1455099.809999999823049,10553955.090000001713634
20101216,1496053.000000000000000,1585591.760000000242144,1515703.160000000149012,1607027.199999999953434,1413095.020000000018626,1550221.080000000074506,1462592.679999999934807,10630286.900000000372529
20101217,1493119.000000000000000,1575214.440000000176951,1506002.899999999906868,1606112.040000000037253,1390873.099999999860302,1544467.359999999869615,1461580.129999999888241,10577371.969999998807907
20101220,1500617.000000000000000,1587292.959999999962747,1511278.479999999981374,1610687.840000000083819,1396031.760000000009313,1532137.959999999962747,1462592.679999999934807,10600641.679999999701977
20101221,1509745.000000000000000,1609918.919999999925494,1518596.220000000204891,1605196.879999999888241,1401984.059999999823049,1513643.859999999869615,1472718.179999999934807,10631806.119999999180436
20101222,1514309.000000000000000,1608898.199999999953434,1530338.640000000130385,1609772.679999999934807,1422221.880000000121072,1596661.820000000065193,1474338.260000000009313,10756543.479999998584390
20101223,1507137.000000000000000,1606856.760000000242144,1543272.320000000298023,1605654.460000000195578,1419444.140000000130385,1610635.139999999897555,1482438.659999999916181,10775441.480000000447035
20101227,1512027.000000000000000,1600392.199999999953434,1533742.240000000223517,1612518.160000000149012,1410317.280000000027940,1601182.600000000093132,1478590.969999999972060,10748773.450000001117587
20101228,1515939.000000000000000,1593927.640000000130385,1551951.500000000000000,1605654.460000000195578,1417460.040000000037253,1622142.580000000074506,1486893.879999999888241,10793972.100000001490116
20101229,1514961.000000000000000,1595458.720000000204891,1555014.740000000223517,1596502.860000000102445,1424999.619999999878928,1622553.559999999823049,1485881.330000000074506,10795374.830000001937151
20101230,1507463.000000000000000,1596989.800000000279397,1558928.879999999888241,1595130.119999999878928,1426190.079999999841675,1612690.040000000037253,1485678.820000000065193,10783073.740000000223517
20101231,1502247.000000000000000,1593417.280000000027940,1552972.580000000074506,1604281.720000000204891,1432936.020000000018626,1601182.600000000093132,1480818.580000000074506,10767858.779999999329448
20110103,1534847.000000000000000,1601753.160000000149012,1564715.000000000000000,1615721.220000000204891,1473411.660000000149012,1615977.880000000121072,1509777.510000000009313,10916206.430000001564622
20110104,1542997.000000000000000,1594267.879999999888241,1558928.879999999888241,1586436.100000000093132,1486903.540000000037253,1629540.219999999972060,1516865.360000000102445,10915941.979999998584390
20110105,1555385.000000000000000,1608047.600000000093132,1556206.000000000000000,1581402.720000000204891,1491665.380000000121072,1652144.120000000111759,1512815.159999999916181,10957668.980000000447035
20110106,1554407.000000000000000,1591375.840000000316650,1543442.500000000000000,1574996.600000000093132,1522617.339999999850988,1657075.880000000121072,1522535.640000000130385,10966453.800000000745058
20110107,1565491.000000000000000,1594608.120000000111759,1551951.500000000000000,1573166.280000000027940,1525791.900000000139698,1647212.359999999869615,1530838.550000000046566,10989062.710000000894070
20110110,1594831.000000000000000,1588824.040000000037253,1538677.459999999962747,1573623.860000000102445,1525791.900000000139698,1682967.620000000111759,1521523.089999999850988,11026241.970000000670552
20110111,1591245.000000000000000,1598350.760000000242144,1562843.020000000018626,1595130.119999999878928,1550791.559999999823049,1678035.859999999869615,1532863.649999999906868,11109262.970000000670552
20110112,1603959.000000000000000,1590525.239999999990687,1573394.180000000167638,1593757.379999999888241,1542061.520000000018626,1693242.120000000111759,1550887.040000000037253,11147829.480000000447035
20110113,1609827.000000000000000,1601583.040000000037253,1568799.320000000298023,1613890.900000000139698,1571426.199999999953434,1711325.239999999990687,1553519.669999999925494,11230374.370000001043081
20110114,1622867.000000000000000,1599371.480000000214204,1579861.020000000018626,1642260.860000000102445,1617854.140000000130385,1703105.639999999897555,1576403.300000000046566,11341726.440000001341105
20110118,1586355.000000000000000,1637138.120000000111759,1588710.379999999888241,1648209.400000000139698,1622219.160000000149012,1724887.580000000074506,1594021.669999999925494,11401544.310000000521541
20110119,1578205.000000000000000,1625399.840000000316650,1582243.540000000037253,1630363.780000000027940,1609520.920000000158325,1696529.959999999962747,1584503.699999999953434,11306769.740000000223517
20110120,1549517.000000000000000,1592566.680000000167638,1577818.859999999869615,1669715.660000000149012,1599600.420000000158325,1710092.300000000046566,1574580.709999999962747,11273894.629999998956919
20110121,1521481.000000000000000,1577936.360000000102445,1596028.120000000111759,1670630.819999999832362,1603568.619999999878928,1713380.139999999897555,1599489.439999999944121,11282517.500000000000000
20110124,1571685.000000000000000,1608898.199999999953434,1601473.879999999888241,1677036.939999999944121,1579759.420000000158325,1705160.540000000037253,1591591.550000000046566,11335608.530000001192093
20110125,1589941.000000000000000,1605836.040000000037253,1601133.520000000018626,1700373.519999999785796,1611901.839999999850988,1694886.040000000037253,1593414.140000000130385,11397489.100000001490116
20110126,1601351.000000000000000,1628972.360000000102445,1610663.600000000093132,1712270.600000000093132,1597219.500000000000000,1696940.939999999944121,1613260.119999999878928,11460681.119999999180436
20110127,1598417.000000000000000,1643942.919999999925494,1612535.580000000074506,1737895.079999999841675,1678170.780000000027940,1687899.380000000121072,1617715.339999999850988,11576579.080000000074506
20110128,1565165.000000000000000,1627781.520000000251457,1589050.740000000223517,1679324.840000000083819,1624203.260000000009313,1658719.800000000046566,1599691.949999999953434,11343940.109999999403954
20110131,1580161.000000000000000,1650407.480000000214204,1615598.820000000298023,1682527.900000000139698,1628965.099999999860302,1662007.639999999897555,1633916.140000000130385,11453587.080000001937151
20110201,1606893.000000000000000,1667419.480000000214204,1637552.040000000037253,1692594.660000000149012,1669440.739999999990687,1735573.059999999823049,1699326.869999999878928,11708802.849999999627471
20110202,1603633.000000000000000,1685792.440000000176951,1641976.720000000204891,1672918.720000000204891,1664678.900000000139698,1724887.580000000074506,1689201.369999999878928,11683091.730000000447035
20110203,1599395.000000000000000,1683070.520000000251457,1656101.660000000149012,1679324.840000000083819,1707932.280000000027940,1738860.900000000139698,1689808.899999999906868,11754497.100000001490116
20110204,1613739.000000000000000,1694298.440000000176951,1652698.060000000055879,1683900.639999999897555,1686107.180000000167638,1741326.780000000027940,1686568.739999999990687,11758641.839999999850988
20110207,1638841.000000000000000,1709269.000000000000000,1662057.959999999962747,1674749.040000000037253,1659123.420000000158325,1738860.900000000139698,1699731.890000000130385,11782636.210000000894070
20110208,1654163.000000000000000,1711650.680000000167638,1663419.399999999906868,1700373.519999999785796,1665472.540000000037253,1758176.959999999962747,1680493.439999999944121,11833752.540000000968575
20110209,1668181.000000000000000,1697700.840000000316650,1637892.399999999906868,1700831.100000000093132,1669440.739999999990687,1753245.199999999953434,1671785.510000000009313,11799079.789999999105930
20110210,1651229.000000000000000,1711480.560000000055879,1645720.680000000167638,1707237.220000000204891,1683726.260000000009313,1749957.359999999869615,1684948.659999999916181,11834302.740000000223517
20110211,1661987.000000000000000,1761495.840000000316650,1641466.180000000167638,1715016.079999999841675,1681742.160000000149012,1749957.359999999869615,1677253.279999999795109,11888920.900000000372529
20110214,1672745.000000000000000,1756732.480000000214204,1649975.180000000167638,1719591.879999999888241,1684916.719999999972060,1733107.180000000167638,1719577.869999999878928,11936649.309999998658895
20110215,1676005.000000000000000,1752309.360000000102445,1639594.200000000186265,1724625.259999999776483,1667853.459999999962747,1740093.840000000083819,1680290.929999999934807,11880775.050000000745058
20110216,1691327.000000000000000,1761665.959999999962747,1645039.959999999962747,1732404.119999999878928,1686504.000000000000000,1733929.139999999897555,1694871.649999999906868,11945744.830000000074506
20110217,1668833.000000000000000,1758433.680000000167638,1653719.140000000130385,1747046.679999999934807,1690075.380000000121072,1751190.300000000046566,1698719.339999999850988,11968020.520000001415610
20110218,1632647.000000000000000,1800963.680000000167638,1680097.040000000037253,1760774.079999999841675,1699995.880000000121072,1756533.040000000037253,1711274.959999999962747,12042288.680000003427267
20110222,1576901.000000000000000,1735467.480000000214204,1707325.839999999850988,1742928.460000000195578,1704757.719999999972060,1733518.159999999916181,1730310.899999999906868,11931212.560000000521541
20110223,1595809.000000000000000,1701613.600000000093132,1740510.939999999944121,1706779.639999999897555,1702773.619999999878928,1694475.059999999823049,1763320.029999999795109,11905284.889999998733401
20110224,1596787.000000000000000,1710970.199999999953434,1736426.620000000111759,1699458.360000000102445,1696424.500000000000000,1698173.880000000121072,1741043.929999999934807,11879287.490000000223517
