訓練日期,20170417 - 20170718
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10852074.679999999701977
真實報酬,852074.679999999701977

夏普值報酬,0.076507468000000
夏普值風險,0.023915453592046
夏普值,3.199080782872837

預期報酬,13501.810888592324773
風險,47119.857604132681445
趨勢值,0.286541844035796
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](1),JNJ[12](12),KO[14](10),MCD[15](4),NKE[19](23),XOM[29](19),
20170515,1730913.299999999813735,1693334.000000000000000,1703278.059999999823049,1864468.400000000139698,1619383.879999999888241,1689312.219999999972060,10300693.860000001266599
20170516,1733855.199999999953434,1703734.520000000018626,1707951.940000000176951,1877340.849999999860302,1589569.039999999804422,1684211.719999999972060,10296667.269999999552965
20170517,1696654.399999999906868,1689067.120000000111759,1711067.860000000102445,1866125.250000000000000,1560055.359999999636784,1672786.600000000093132,10195760.589999999850988
20170518,1683558.199999999953434,1693067.320000000065193,1706004.489999999990687,1873772.250000000000000,1556441.439999999711290,1667890.120000000111759,10180737.820000000298023
20170519,1715444.599999999860302,1693467.340000000083819,1709899.389999999897555,1888301.550000000046566,1559151.879999999888241,1671562.480000000214204,10237831.240000000223517
20170522,1743060.499999999767169,1696934.180000000167638,1720805.110000000102445,1888811.350000000093132,1553128.679999999934807,1678907.200000000186265,10281651.019999999552965
20170523,1741352.300000000046566,1700401.020000000018626,1728984.400000000139698,1884095.699999999953434,1572101.760000000009313,1684823.780000000027940,10311762.960000000894070
20170524,1758054.699999999953434,1700267.680000000167638,1753911.760000000009313,1905507.300000000046566,1566379.719999999739230,1678907.200000000186265,10363032.359999999403954
20170525,1775326.500000000000000,1700534.360000000102445,1768712.379999999888241,1909075.900000000139698,1576619.159999999916181,1667890.120000000111759,10398162.420000001788139
20170526,1770771.300000000046566,1692400.620000000111759,1767933.400000000139698,1910095.500000000232831,1583847.000000000000000,1663809.719999999972060,10388861.540000000968575
20170530,1773523.399999999906868,1694934.080000000074506,1769491.360000000102445,1910987.650000000139698,1593785.279999999795109,1654628.820000000065193,10397354.589999999850988
20170531,1780640.899999999906868,1710134.840000000083819,1771049.320000000065193,1923222.849999999860302,1595893.399999999906868,1642387.620000000111759,10423332.929999999701977
20170601,1777699.000000000000000,1717201.860000000102445,1783513.000000000000000,1942340.349999999860302,1575113.359999999636784,1646468.020000000251457,10442339.589999999850988
20170602,1805314.899999999906868,1734536.060000000288710,1787407.900000000139698,1959546.100000000093132,1595592.239999999757856,1621985.620000000111759,10504386.820000000298023
20170605,1793167.699999999953434,1738269.580000000307336,1791302.800000000046566,1947438.349999999860302,1596495.719999999739230,1634634.860000000102445,10501313.009999997913837
20170606,1772289.699999999953434,1744536.560000000288710,1790913.309999999823049,1927556.149999999906868,1580534.239999999757856,1656873.040000000037253,10472707.000000000000000
20170607,1785101.199999999953434,1743469.840000000083819,1772607.280000000027940,1936605.100000000093132,1603121.239999999757856,1650752.439999999944121,10491661.099999999627471
20170608,1802467.899999999906868,1740803.040000000270084,1757806.660000000149012,1930105.150000000139698,1602217.760000000009313,1644835.860000000102445,10478240.370000001043081
20170609,1803416.899999999906868,1753870.360000000102445,1765206.969999999972060,1930742.399999999906868,1610047.919999999925494,1675642.880000000121072,10538931.429999999701977
20170612,1803132.199999999953434,1757737.219999999972060,1765596.459999999962747,1892379.949999999953434,1627214.039999999804422,1691964.480000000214204,10538028.349999999627471
20170613,1813476.300000000046566,1760404.020000000251457,1753911.760000000009313,1909585.699999999953434,1635646.519999999785796,1692576.540000000037253,10565604.839999999850988
20170614,1825718.399999999906868,1770404.520000000251457,1764427.989999999990687,1920546.400000000139698,1646187.119999999646097,1674418.760000000009313,10601707.189999999478459
20170615,1854852.699999999953434,1774004.699999999953434,1762480.540000000037253,1926791.449999999953434,1593182.959999999729916,1678295.140000000130385,10589611.490000000223517
20170616,1864247.800000000046566,1791472.239999999990687,1764817.480000000214204,1937242.350000000093132,1538974.159999999916181,1703389.600000000093132,10600147.630000000819564
20170619,1889301.400000000139698,1787738.719999999972060,1767543.910000000149012,1951899.099999999860302,1566680.879999999888241,1688496.140000000130385,10651664.150000000372529
20170620,1882183.900000000139698,1789738.820000000065193,1776502.179999999934807,1963751.949999999953434,1552827.519999999785796,1679315.240000000223517,10644323.610000001266599
20170621,1890155.499999999767169,1798939.280000000027940,1761312.070000000065193,1959418.649999999906868,1583847.000000000000000,1661565.500000000000000,10655242.000000000000000
20170622,1892717.800000000046566,1814140.040000000270084,1755469.719999999972060,1973055.800000000279397,1578124.959999999729916,1654220.780000000027940,10667733.099999999627471
20170623,1919194.899999999906868,1819206.960000000195578,1762480.540000000037253,1971016.599999999860302,1591677.159999999916181,1665033.840000000083819,10728614.000000000000000
20170626,1897842.399999999906868,1818006.900000000139698,1769491.360000000102445,1962350.000000000232831,1604627.039999999804422,1657485.100000000093132,10709806.799999998882413
20170627,1887498.299999999813735,1800272.679999999934807,1754690.739999999990687,1959291.199999999953434,1594688.760000000009313,1654832.840000000083819,10651278.519999999552965
20170628,1894426.000000000000000,1784405.219999999972060,1765206.969999999972060,1966683.300000000279397,1607036.319999999832362,1663401.680000000167638,10681163.490000000223517
20170629,1873927.600000000093132,1768671.099999999860302,1746121.959999999962747,1951771.649999999906868,1601314.279999999795109,1646468.020000000251457,10588278.609999999403954
20170630,1876679.699999999953434,1764004.199999999953434,1746900.940000000176951,1952154.000000000000000,1776890.559999999823049,1647080.080000000307336,10763713.480000000447035
20170703,1884651.300000000046566,1772137.940000000176951,1743395.530000000027940,1943742.300000000046566,1766349.959999999729916,1675030.820000000065193,10785311.849999999627471
20170705,1915209.099999999860302,1782005.099999999860302,1745732.469999999972060,1951006.949999999953434,1733523.519999999785796,1649528.320000000065193,10777009.460000000894070
20170706,1912077.399999999906868,1767071.020000000251457,1729373.889999999897555,1951261.850000000093132,1721477.119999999646097,1634634.860000000102445,10715900.139999998733401
20170707,1920523.500000000000000,1767337.699999999953434,1728984.400000000139698,1991790.950000000186265,1746172.239999999757856,1636675.060000000055879,10791487.850000001490116
20170710,1935612.600000000093132,1754137.040000000270084,1728594.910000000149012,1982232.200000000186265,1768759.239999999757856,1635450.939999999944121,10804790.929999999701977
20170711,1957534.500000000000000,1749870.159999999916181,1726647.459999999962747,1974457.750000000000000,1752195.439999999711290,1644427.820000000065193,10805137.130000000819564
20170712,1959147.800000000046566,1763204.159999999916181,1733658.280000000027940,1995741.900000000139698,1753400.079999999841675,1651772.540000000037253,10856928.760000001639128
20170713,1957154.899999999906868,1758270.580000000307336,1730542.360000000102445,1976114.599999999860302,1744967.599999999860302,1651976.560000000055879,10819030.600000001490116
20170714,1978792.099999999860302,1768137.739999999990687,1740279.610000000102445,1979173.400000000139698,1746774.559999999823049,1658301.180000000167638,10871462.589999999850988
20170717,1983442.199999999953434,1762137.440000000176951,1742227.059999999823049,1978918.500000000000000,1740450.199999999720603,1649732.340000000083819,10856911.740000000223517
20170718,1976229.800000000046566,1792938.980000000214204,1739890.120000000111759,1962350.000000000232831,1736233.959999999729916,1644427.820000000065193,10852074.679999999701977
