訓練日期,20091019 - 20100121
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11588111.859999999403954
真實報酬,1588111.859999999403954

夏普值報酬,0.150111186000000
夏普值風險,0.053122875866814
夏普值,2.825735308012073

預期報酬,29863.886465381940070
風險,126413.193205863019102
趨勢值,0.236240266605312
找到最佳解世代,4648
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,5
BA[2](22),JNJ[12](6),MSFT[18](4),UNH[23](1),V[25](2),
20091117,1975183.340000000083819,2056565.090000000083819,2264148.500000000000000,2369731.479999999515712,2169089.000000000000000,10834717.410000000149012
20091118,1956006.830000000074506,2061526.939999999944121,2272450.310000000055879,2361551.580000000074506,2164781.000000000000000,10816316.660000000149012
20091119,1933822.239999999990687,2065165.629999999888241,2247544.879999999888241,2341919.820000000298023,2159396.000000000000000,10747848.570000000298023
20091120,1943974.510000000242144,2061196.149999999906868,2235469.520000000018626,2336193.889999999664724,2154011.000000000000000,10730845.070000000298023
20091123,1978943.440000000176951,2073766.169999999925494,2259620.240000000223517,2378729.370000000111759,2165858.000000000000000,10856917.220000000670552
20091124,1954126.780000000027940,2089974.879999999888241,2257356.109999999869615,2417992.889999999664724,2171243.000000000000000,10890693.660000000149012
20091125,1990223.739999999990687,2093944.359999999869615,2248299.589999999850988,2416356.910000000149012,2202476.000000000000000,10951300.599999999627471
20091127,1972175.260000000242144,2080381.969999999972060,2205281.120000000111759,2408177.009999999776483,2162627.000000000000000,10828642.359999999403954
20091130,1970671.219999999972060,2078728.020000000018626,2219620.609999999869615,2345191.780000000260770,2180936.000000000000000,10795147.629999998956919
20091201,2019928.530000000027940,2100890.950000000186265,2264903.209999999962747,2347645.750000000000000,2233709.000000000000000,10967077.440000001341105
20091202,2022184.590000000083819,2113130.179999999701977,2247544.879999999888241,2314108.160000000149012,2214323.000000000000000,10911290.809999998658895
20091203,2021808.580000000074506,2122392.299999999813735,2251318.429999999701977,2235581.120000000111759,2155088.000000000000000,10786188.429999999701977
20091204,2056025.489999999990687,2129008.099999999627471,2262639.080000000074506,2246214.990000000223517,2161550.000000000000000,10855437.660000000149012
20091207,2098890.629999999888241,2129338.889999999664724,2248299.589999999850988,2314926.150000000372529,2151857.000000000000000,10943312.259999999776483
20091208,2092874.469999999972060,2125369.410000000149012,2231695.970000000204891,2328013.990000000223517,2154011.000000000000000,10931964.839999999850988
20091209,2085730.280000000027940,2129669.679999999701977,2242261.910000000149012,2331285.950000000186265,2201399.000000000000000,10990346.820000000298023
20091210,2068433.820000000065193,2142570.490000000223517,2254337.270000000018626,2479342.139999999664724,2216477.000000000000000,11161160.719999998807907
20091211,2090618.410000000149012,2145216.809999999590218,2252827.850000000093132,2493247.969999999739230,2190629.000000000000000,11172540.039999999105930
20091214,2107538.859999999869615,2148855.500000000000000,2272450.310000000055879,2531693.500000000000000,2282174.000000000000000,11342712.169999999925494
20091215,2093250.480000000214204,2141578.120000000111759,2265657.919999999925494,2561959.129999999888241,2319869.000000000000000,11382314.650000000372529
20091216,2072945.940000000176951,2143562.859999999403954,2271695.600000000093132,2633942.250000000000000,2343563.000000000000000,11465709.650000000372529
20091217,2048129.280000000027940,2132646.790000000037253,2233960.100000000093132,2602858.629999999888241,2343563.000000000000000,11361157.800000000745058
20091218,2009400.250000000000000,2129338.889999999664724,2291318.060000000055879,2579954.910000000149012,2395259.000000000000000,11405271.109999999403954
20091221,2041737.109999999869615,2128015.729999999515712,2303393.419999999925494,2631488.280000000260770,2356487.000000000000000,11461121.539999999105930
20091222,2071817.910000000149012,2134631.530000000260770,2326034.720000000204891,2643758.129999999888241,2324177.000000000000000,11500419.289999999105930
20091223,2066553.770000000018626,2135954.689999999478459,2333581.820000000298023,2586498.830000000074506,2319869.000000000000000,11442458.109999999403954
20091224,2086106.290000000037253,2140254.959999999962747,2339619.500000000000000,2591406.769999999552965,2323100.000000000000000,11480487.519999999552965
20091228,2073321.950000000186265,2148193.919999999925494,2352449.570000000298023,2567685.059999999590218,2336024.000000000000000,11477674.500000000000000
20091229,2075954.020000000018626,2148193.919999999925494,2369053.189999999944121,2523513.599999999627471,2370488.000000000000000,11487202.729999998584390
20091230,2066553.770000000018626,2147201.549999999813735,2336600.660000000149012,2536601.440000000409782,2373719.000000000000000,11460676.420000001788139
20091231,2035344.940000000176951,2130662.049999999813735,2300374.580000000074506,2493247.969999999739230,2355410.000000000000000,11315039.539999999105930
20100104,2112426.990000000223517,2139593.379999999888241,2335845.949999999720603,2579136.919999999925494,2373719.000000000000000,11540722.240000000223517
20100105,2181612.830000000074506,2114784.129999999888241,2336600.660000000149012,2575046.969999999739230,2345717.000000000000000,11553761.589999999850988
20100106,2247790.590000000316650,2131985.209999999962747,2322261.169999999925494,2600404.660000000149012,2314484.000000000000000,11616925.630000000819564
20100107,2338785.010000000242144,2116768.870000000111759,2298110.449999999720603,2700199.439999999478459,2336024.000000000000000,11789887.769999999552965
20100108,2316224.410000000149012,2124046.250000000000000,2313959.359999999869615,2674841.750000000000000,2342486.000000000000000,11771557.769999999552965
20100111,2288775.680000000167638,2124377.040000000037253,2284525.669999999925494,2692837.530000000260770,2336024.000000000000000,11726539.920000001788139
20100112,2272231.240000000223517,2135623.900000000372529,2269431.470000000204891,2621672.399999999441206,2325254.000000000000000,11624213.010000001639128
20100113,2299679.969999999739230,2149186.290000000037253,2290563.350000000093132,2661753.910000000149012,2346794.000000000000000,11747977.519999999552965
20100114,2314720.370000000111759,2153486.559999999590218,2336600.660000000149012,2725557.129999999888241,2354333.000000000000000,11884697.719999998807907
20100115,2286895.629999999888241,2135623.900000000372529,2329053.560000000055879,2760730.700000000186265,2319869.000000000000000,11832172.789999999105930
20100119,2280503.459999999962747,2161756.309999999590218,2347166.600000000093132,2873613.320000000298023,2365103.000000000000000,12028142.689999999478459
20100120,2263583.010000000242144,2155140.509999999776483,2308676.390000000130385,2826169.899999999441206,2354333.000000000000000,11907902.809999998658895
20100121,2225982.010000000242144,2116107.290000000037253,2264903.209999999962747,2707561.349999999627471,2273558.000000000000000,11588111.859999999403954
