訓練日期,20150220 - 20150522
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10837701.939999999478459
真實報酬,837701.939999999478459

夏普值報酬,0.075070194000000
夏普值風險,0.023276435380433
夏普值,3.225158525050889

預期報酬,12929.616649121871887
風險,92628.994245548048639
趨勢值,0.139584983669876
找到最佳解世代,2291
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),DD[7](15),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](5),
20150316,1722492.159999999916181,1577856.110000000102445,1597415.110000000102445,1740387.560000000055879,1715402.379999999888241,1875692.719999999972060,10229250.039999999105930
20150317,1715914.939999999711290,1564428.619999999878928,1596194.830000000074506,1733634.439999999944121,1717181.080000000074506,1864668.560000000288710,10192026.470000000670552
20150318,1732117.359999999869615,1594817.150000000139698,1625176.480000000214204,1737573.760000000009313,1734612.339999999850988,1884555.280000000260770,10308856.370000001043081
20150319,1722492.159999999916181,1567726.599999999860302,1625176.480000000214204,1722097.860000000102445,1748841.939999999711290,1888446.160000000149012,10274785.199999999254942
20150320,1739496.679999999934807,1586572.199999999953434,1656395.310000000055879,1737573.760000000009313,1813942.359999999869615,1907252.080000000307336,10441236.389999998733401
20150323,1736127.859999999869615,1584452.070000000065193,1674191.060000000055879,1720409.580000000074506,1804693.119999999646097,1900551.120000000111759,10420428.809999998658895
20150324,1718321.239999999757856,1583745.360000000102445,1657615.590000000083819,1701275.739999999990687,1790463.519999999785796,1902280.400000000139698,10353705.849999999627471
20150325,1684472.619999999878928,1571024.579999999841675,1618973.389999999897555,1677358.439999999944121,1760937.099999999860302,1856454.479999999981374,10169224.609999999403954
20150326,1688322.699999999720603,1571966.860000000102445,1633108.300000000046566,1675388.780000000027940,1766984.679999999934807,1825327.440000000176951,10161102.759999999776483
20150327,1692172.780000000027940,1602119.820000000065193,1631176.190000000176951,1675670.159999999916181,1776589.659999999683350,1843701.040000000270084,10221433.650000000372529
20150330,1702439.659999999916181,1632979.489999999757856,1654259.820000000065193,1715344.739999999990687,1794732.399999999906868,1858832.239999999990687,10358592.349999999627471
20150331,1682708.000000000000000,1609658.060000000055879,1632193.090000000083819,1704652.300000000046566,1784771.679999999934807,1830515.280000000260770,10244502.410000000149012
20150401,1691531.099999999860302,1606831.219999999739230,1618770.010000000242144,1686925.360000000102445,1770897.819999999832362,1821436.560000000288710,10196396.070000000298023
20150402,1700514.619999999878928,1618374.150000000139698,1631684.639999999897555,1702964.020000000018626,1772676.519999999785796,1858399.920000000158325,10284617.869999999180436
20150406,1694579.079999999841675,1632979.489999999757856,1647853.350000000093132,1701557.119999999878928,1774099.479999999748543,1902496.560000000288710,10353569.080000000074506
20150407,1691370.679999999934807,1627796.949999999953434,1648158.419999999925494,1712249.560000000055879,1771965.040000000037253,1886716.880000000121072,10338261.529999999329448
20150408,1706289.739999999757856,1622614.409999999916181,1645921.239999999990687,1717877.159999999916181,1793665.179999999934807,1895363.280000000260770,10381735.010000001639128
20150409,1712866.959999999729916,1635099.619999999878928,1650904.050000000046566,1729695.119999999878928,1791530.739999999757856,2002146.320000000298023,10522246.810000000521541
20150410,1715754.520000000018626,1623321.119999999878928,1656191.930000000167638,1736166.860000000102445,1778368.359999999869615,1989176.719999999972060,10498983.510000001639128
20150413,1708696.040000000037253,1619316.429999999934807,1651310.810000000055879,1746577.919999999925494,1765917.459999999962747,1982475.760000000009313,10474298.419999999925494
20150414,1711102.339999999850988,1638162.030000000260770,1650497.290000000270084,1773871.780000000027940,1770542.080000000074506,1988312.080000000307336,10532491.599999999627471
20150415,1716235.780000000027940,1681035.770000000018626,1669106.560000000055879,1806793.239999999757856,1775878.179999999934807,1978801.040000000270084,10627854.570000000298023
20150416,1734202.819999999832362,1669021.699999999953434,1658937.560000000055879,1795538.040000000037253,1776945.399999999906868,1935136.719999999972060,10569786.240000000223517
20150417,1711583.599999999860302,1665959.290000000037253,1633921.820000000065193,1768244.180000000167638,1753110.819999999832362,1879799.760000000009313,10412623.470000000670552
20150420,1736127.859999999869615,1680329.060000000055879,1689749.630000000121072,1779499.380000000121072,1778724.099999999860302,1883258.320000000298023,10547692.349999999627471
20150421,1727465.179999999934807,1665723.719999999739230,1670428.530000000027940,1753331.040000000037253,1784060.199999999720603,1882609.840000000316650,10483622.509999999776483
20150422,1731636.099999999860302,1677973.360000000102445,1681614.430000000167638,1771057.979999999981374,1781570.019999999785796,1881096.719999999972060,10524952.610000001266599
20150423,1748640.619999999878928,1710953.159999999916181,1731239.150000000139698,1767118.659999999916181,1798645.540000000037253,1873963.440000000176951,10630564.569999998435378
20150424,1757142.879999999888241,1714957.849999999860302,1726561.410000000149012,1761491.060000000055879,1795799.619999999646097,1858616.080000000307336,10614572.899999998509884
20150427,1767249.339999999850988,1726736.349999999860302,1736221.959999999962747,1754175.180000000167638,1795443.879999999888241,1861642.320000000298023,10641473.030000001192093
20150428,1763399.260000000009313,1738514.849999999860302,1768661.070000000065193,1765993.139999999897555,1776233.919999999925494,1860777.680000000167638,10673583.919999998062849
20150429,1761634.639999999897555,1731447.750000000000000,1773542.190000000176951,1789629.060000000055879,1781925.760000000009313,1828137.520000000018626,10666320.919999999925494
20150430,1744148.859999999869615,1710953.159999999916181,1741916.600000000093132,1780062.139999999897555,1758091.179999999934807,1792687.280000000260770,10527863.219999998807907
20150501,1773024.459999999729916,1734039.020000000018626,1766118.820000000065193,1789910.439999999944121,1792597.959999999962747,1804143.760000000009313,10659838.459999999031425
20150504,1781205.879999999888241,1732625.599999999860302,1769169.520000000018626,1821143.619999999878928,1793665.179999999934807,1818626.479999999981374,10716440.280000001192093
20150505,1777676.639999999897555,1722731.659999999916181,1760119.110000000102445,1812139.460000000195578,1786194.639999999897555,1797226.640000000130385,10656092.150000000372529
20150506,1760190.859999999869615,1706948.469999999739230,1729307.040000000270084,1798633.219999999972060,1782637.239999999757856,1796362.000000000000000,10574082.830000000074506
20150507,1752811.540000000037253,1698939.090000000083819,1738865.900000000139698,1814953.260000000009313,1804693.119999999646097,1820788.080000000307336,10631054.990000000223517
20150508,1766447.239999999757856,1739457.130000000121072,1756051.510000000242144,1842809.879999999888241,1822124.379999999888241,1837864.719999999972060,10764758.860000001266599
20150511,1742223.819999999832362,1741106.119999999878928,1740187.870000000111759,1841684.360000000102445,1828527.699999999720603,1821220.400000000139698,10714954.269999999552965
20150512,1752490.699999999720603,1709304.170000000158325,1734391.540000000270084,1839151.939999999944121,1821057.159999999683350,1819707.280000000260770,10676106.789999999105930
20150513,1751688.599999999860302,1701765.929999999934807,1751983.910000000149012,1843654.019999999785796,1817144.019999999785796,1817329.520000000018626,10683569.999999998137355
20150514,1763559.679999999934807,1718962.540000000037253,1769983.040000000270084,1858567.159999999916181,1839911.379999999888241,1844998.000000000000000,10795985.800000000745058
20150515,1769495.219999999739230,1727914.199999999953434,1761949.530000000027940,1853783.699999999953434,1867303.359999999869615,1869207.920000000158325,10849657.929999999701977
20150518,1769976.479999999748543,1710953.159999999916181,1759915.730000000214204,1868978.219999999972060,1863390.219999999972060,1866830.160000000149012,10840047.970000000670552
20150519,1773666.139999999897555,1701765.929999999934807,1764186.709999999962747,1885579.640000000130385,1861255.779999999795109,1855589.840000000316650,10842048.039999999105930
20150520,1767891.020000000018626,1712366.579999999841675,1767034.030000000027940,1870666.500000000232831,1860900.040000000037253,1835054.640000000130385,10813916.810000000521541
20150521,1770939.000000000000000,1723673.939999999944121,1762763.050000000046566,1875449.960000000195578,1856986.899999999906868,1883690.640000000130385,10873507.490000000223517
20150522,1768853.540000000037253,1720611.530000000260770,1751373.770000000018626,1870385.119999999878928,1857698.379999999888241,1868775.600000000093132,10837701.939999999478459
