訓練日期,20140609 - 20140909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11117410.459999999031425
真實報酬,1117410.459999999031425

夏普值報酬,0.103041046000000
夏普值風險,0.035093447947303
夏普值,2.936190429470742

預期報酬,19583.069638819182728
風險,105231.979290776114794
趨勢值,0.186094282088028
找到最佳解世代,1673
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),INTC[11](1),PG[21](9),
20140721,3377850.479999999515712,4030290.810000000055879,3343745.750000000000000,10751888.039999999105930
20140722,3396366.599999999627471,4116670.979999999515712,3336248.569999999366701,10849287.149999998509884
20140723,3389669.280000000260770,4082355.569999999832362,3331666.959999999497086,10803692.809999998658895
20140724,3419610.239999999757856,4052773.319999999832362,3342912.729999999981374,10815297.289999999105930
20140725,3397154.520000000018626,4052773.319999999832362,3313757.029999999795109,10763685.869999999180436
20140728,3433398.840000000316650,4050406.739999999292195,3301261.729999999981374,10785068.310000000521541
20140729,3395972.640000000130385,4045673.579999999608845,3275854.620000000111759,10717501.839999999850988
20140730,3435762.599999999627471,4064606.220000000204891,3255445.629999999422580,10755815.449999999254942
20140731,3383365.919999999925494,4010174.879999999888241,3220458.789999999571592,10614000.589999999850988
20140801,3363667.919999999925494,3992425.530000000260770,3317505.620000000111759,10673600.070000000298023
20140804,3436944.479999999515712,4029107.519999999552965,3299595.689999999478459,10765648.689999997615814
20140805,3417640.439999999944121,3883562.850000000093132,3307509.379999999422580,10608713.669999999925494
20140806,3411337.080000000074506,3887112.720000000204891,3377483.060000000055879,10675933.860000001266599
20140807,3368789.400000000372529,3866996.789999999571592,3337914.609999999869615,10573701.799999998882413
20140808,3421580.039999999571592,3857530.470000000204891,3371651.919999999925494,10650763.429999999701977
20140811,3447187.439999999944121,3907228.650000000372529,3393726.949999999720603,10748144.039999999105930
20140812,3435762.599999999627471,3920244.840000000316650,3391227.889999999664724,10747236.329999998211861
20140813,3451127.039999999571592,4035023.970000000204891,3393726.949999999720603,10879878.959999999031425
20140814,3490917.000000000000000,4016091.329999999608845,3413302.919999999925494,10920312.250000000000000
20140815,3517312.319999999832362,4043307.000000000000000,3406222.250000000000000,10966842.570000000298023
20140818,3544495.560000000055879,4071705.959999999497086,3433711.909999999683350,11049914.429999999701977
20140819,3549223.080000000074506,4063422.930000000167638,3444124.659999999683350,11056771.669999999925494
20140820,3539374.080000000074506,4082355.569999999832362,3449122.779999999795109,11070853.429999999701977
20140821,3560647.919999999925494,4159269.419999999459833,3468698.750000000000000,11188617.089999999850988
20140822,3564981.479999999515712,4134420.329999999608845,3473280.359999999869615,11172683.169999998062849
20140825,3560647.919999999925494,4119037.560000000055879,3479528.009999999776483,11159214.490000000223517
20140826,3546465.359999999869615,4117854.269999999552965,3472863.849999999627471,11137184.479999998584390
20140827,3560253.959999999962747,4116670.979999999515712,3469948.279999999795109,11146874.219999998807907
20140828,3554738.520000000018626,4100104.919999999459833,3458286.000000000000000,11113130.439999999478459
20140829,3540949.919999999925494,4132053.750000000000000,3461618.079999999608845,11134622.750000000000000
20140902,3577194.239999999757856,4090638.600000000093132,3456203.449999999720603,11124037.289999999105930
20140903,3582709.679999999701977,4090638.600000000093132,3452871.370000000111759,11126220.649999998509884
20140904,3551192.879999999888241,4130870.459999999497086,3486192.169999999925494,11168256.509999999776483
20140905,3582709.679999999701977,4141520.069999999832362,3489107.739999999757856,11213338.490000000223517
20140908,3567739.200000000186265,4180568.639999999664724,3470364.789999999571592,11218673.629999998956919
20140909,3529919.039999999571592,4130870.459999999497086,3456619.959999999497086,11117410.459999999031425
