訓練日期,20170512 - 20170814
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11138709.359999999403954
真實報酬,1138709.359999999403954

夏普值報酬,0.105170936000000
夏普值風險,0.033664369239274
夏普值,3.124102378169714

預期報酬,18336.891056317723269
風險,55639.777163848280907
趨勢值,0.329564422990393
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,9
AXP[1](2),BA[2](6),CAT[3](3),JNJ[12](8),JPM[13](14),MCD[15](4),MMM[16](13),UNH[23](1),V[25](5),
20170522,1097707.540000000037253,1109480.199999999720603,1125413.600000000093132,1147724.079999999841675,1079753.380000000121072,1141772.919999999925494,1121049.719999999972060,1119956.800000000046566,1125708.440000000176951,10068567.679999999701977
20170523,1100844.520000000018626,1108393.000000000000000,1140156.280000000027940,1150068.759999999776483,1093265.199999999953434,1138922.439999999944121,1116645.060000000055879,1123290.000000000000000,1132343.640000000130385,10103929.900000000372529
20170524,1099703.800000000046566,1119023.399999999906868,1143676.920000000158325,1149978.579999999841675,1092627.849999999860302,1151865.159999999916181,1115289.780000000027940,1125661.699999999953434,1143804.440000000176951,10141632.629999998956919
20170525,1104266.679999999934807,1130016.199999999953434,1155449.060000000055879,1150158.939999999944121,1088038.929999999934807,1154022.280000000027940,1126866.129999999888241,1141430.300000000046566,1146579.160000000149012,10196828.679999999701977
20170526,1104551.859999999869615,1127117.000000000000000,1162490.340000000083819,1144657.959999999962747,1088166.399999999906868,1154638.600000000093132,1133247.239999999990687,1137904.800000000046566,1142115.480000000214204,10194890.680000001564622
20170530,1099276.030000000027940,1128868.599999999860302,1160399.959999999962747,1146371.379999999888241,1069555.780000000027940,1155177.879999999888241,1143242.429999999934807,1132071.699999999953434,1142718.680000000167638,10177683.439999999478459
20170531,1097137.179999999934807,1133398.599999999860302,1159959.880000000121072,1156651.899999999906868,1047248.530000000027940,1162573.719999999739230,1154705.840000000083819,1123033.600000000093132,1148871.320000000065193,10183581.570000000298023
20170601,1116244.239999999990687,1131526.199999999953434,1162380.320000000065193,1161431.439999999944121,1058848.300000000046566,1174129.719999999739230,1154028.199999999953434,1151237.600000000093132,1150922.200000000186265,10260749.219999998807907
20170602,1119238.629999999888241,1149102.599999999860302,1165680.920000000158325,1173154.840000000083819,1053494.560000000055879,1184530.119999999878928,1167298.649999999906868,1150019.699999999953434,1159970.200000000186265,10322491.219999998807907
20170605,1126082.949999999953434,1141371.399999999906868,1157429.420000000158325,1175679.880000000121072,1055406.610000000102445,1177211.319999999832362,1164588.090000000083819,1149891.500000000000000,1164795.800000000046566,10312457.970000000670552
20170606,1124371.869999999878928,1128083.399999999906868,1150278.119999999878928,1179918.340000000083819,1057573.599999999860302,1165193.079999999841675,1160014.020000000018626,1159186.000000000000000,1155627.160000000149012,10280246.589999999850988
20170607,1138060.510000000009313,1136237.399999999906868,1138836.040000000037253,1179196.899999999906868,1069683.250000000000000,1170662.919999999925494,1157755.219999999972060,1174505.900000000139698,1159246.360000000102445,10324185.499999998137355
20170608,1140056.770000000018626,1147290.599999999860302,1155339.040000000037253,1177393.300000000046566,1082940.130000000121072,1166733.879999999888241,1163006.929999999934807,1164762.699999999953434,1159246.360000000102445,10356770.709999999031425
20170609,1145190.010000000009313,1147894.599999999860302,1165350.860000000102445,1186230.939999999944121,1108561.599999999860302,1167119.079999999841675,1168597.459999999962747,1163288.400000000139698,1140788.440000000176951,10393022.389999998733401
20170612,1143193.750000000000000,1147713.399999999906868,1167001.159999999916181,1188846.159999999916181,1108816.540000000037253,1143930.039999999804422,1171195.079999999841675,1149122.300000000046566,1128000.600000000093132,10347820.029999999329448
20170613,1149182.530000000027940,1154297.000000000000000,1163480.520000000018626,1190649.760000000009313,1112513.169999999925494,1154330.439999999944121,1180907.920000000158325,1160660.300000000046566,1147061.719999999972060,10413084.360000001266599
20170614,1152747.280000000027940,1162088.599999999860302,1152038.439999999944121,1197413.260000000009313,1110218.709999999962747,1160955.879999999888241,1185990.219999999972060,1169057.400000000139698,1149957.080000000074506,10440467.869999999180436
20170615,1150751.020000000018626,1180631.399999999906868,1170631.820000000065193,1199848.119999999878928,1103590.269999999785796,1164730.839999999850988,1193218.379999999888241,1156365.600000000093132,1136083.480000000214204,10455851.929999999701977
20170616,1161445.270000000018626,1186611.000000000000000,1183834.219999999972060,1211661.699999999953434,1098618.940000000176951,1171048.119999999878928,1204230.030000000027940,1164378.100000000093132,1136083.480000000214204,10517911.860000001266599
20170619,1167576.639999999897555,1202556.600000000093132,1182624.000000000000000,1209136.659999999916181,1122710.769999999785796,1179907.719999999739230,1204907.670000000158325,1173288.000000000000000,1143563.160000000149012,10586272.219999998807907
20170620,1176559.810000000055879,1198026.600000000093132,1177673.100000000093132,1210489.359999999869615,1115699.919999999925494,1187072.439999999944121,1204907.670000000158325,1174890.500000000000000,1138616.919999999925494,10583937.320000000298023
20170621,1172282.109999999869615,1203100.199999999720603,1138395.959999999962747,1216711.779999999795109,1110601.120000000111759,1184453.079999999841675,1202084.170000000158325,1185467.000000000000000,1140547.160000000149012,10553643.579999998211861
20170622,1172852.469999999972060,1204731.000000000000000,1142466.699999999953434,1226992.300000000046566,1109326.419999999925494,1192696.360000000102445,1198470.090000000083819,1195594.800000000046566,1133429.400000000139698,10576560.540000000968575
20170623,1172424.699999999953434,1221582.599999999860302,1145437.239999999990687,1230419.139999999897555,1107286.899999999906868,1191463.719999999739230,1202310.050000000046566,1187582.300000000046566,1153093.719999999972060,10611601.370000001043081
20170626,1182976.359999999869615,1207992.599999999860302,1146977.520000000018626,1229607.520000000018626,1112130.760000000009313,1186225.000000000000000,1200672.420000000158325,1186749.000000000000000,1148750.680000000167638,10602082.859999999403954
20170627,1184687.439999999944121,1201408.999999999767169,1143456.880000000121072,1217613.579999999841675,1122455.829999999841675,1184376.039999999804422,1184691.409999999916181,1183415.800000000046566,1144890.200000000186265,10566997.179999999701977
20170628,1197377.949999999953434,1205818.199999999953434,1171181.920000000158325,1206882.159999999916181,1145018.019999999785796,1188844.360000000102445,1189434.890000000130385,1190466.800000000046566,1160935.320000000065193,10655960.620000001043081
20170629,1192529.889999999897555,1192771.800000000046566,1162270.300000000046566,1196240.919999999692664,1161971.530000000027940,1179830.679999999934807,1173792.699999999953434,1187710.500000000000000,1139099.480000000214204,10586218.800000000745058
20170630,1201227.879999999888241,1194523.399999999906868,1182293.939999999944121,1193084.619999999878928,1165158.280000000027940,1180061.799999999813735,1175712.679999999934807,1188672.000000000000000,1131378.520000000018626,10612114.119999999180436
20170703,1213490.619999999878928,1199597.000000000000000,1176902.959999999962747,1198585.599999999860302,1182366.729999999981374,1174977.159999999916181,1184973.760000000009313,1196556.300000000046566,1126191.000000000000000,10653642.130000000819564
20170705,1210496.229999999981374,1219045.799999999813735,1182624.000000000000000,1205258.919999999692664,1194221.440000000176951,1179368.439999999944121,1184578.469999999972060,1206812.300000000046566,1134153.240000000223517,10716559.839999999850988
20170706,1194098.379999999888241,1217052.599999999860302,1171842.040000000037253,1195158.760000000009313,1190397.339999999850988,1179522.520000000018626,1174752.689999999944121,1198415.199999999953434,1124984.600000000093132,10646225.129999997094274
20170707,1202511.189999999944121,1222428.199999999953434,1176352.860000000102445,1195339.119999999878928,1196388.429999999934807,1204021.239999999990687,1183618.479999999981374,1204953.400000000139698,1133067.480000000214204,10718681.400000000372529
20170710,1202083.419999999925494,1232031.800000000046566,1186474.699999999953434,1186411.300000000046566,1187975.409999999916181,1198243.239999999990687,1188700.780000000027940,1198479.300000000046566,1147182.360000000102445,10727583.310000000521541
20170711,1200087.159999999916181,1245984.199999999953434,1190875.500000000000000,1183525.539999999804422,1183386.489999999990687,1193543.799999999813735,1184013.770000000018626,1192069.300000000046566,1151042.840000000083819,10724529.599999999627471
20170712,1209498.099999999860302,1247011.000000000000000,1198796.939999999944121,1192543.539999999804422,1179307.449999999953434,1206409.479999999981374,1193274.850000000093132,1196812.699999999953434,1160332.120000000111759,10783987.179999999701977
20170713,1217340.550000000046566,1245742.599999999860302,1193405.959999999962747,1189206.880000000121072,1186828.179999999934807,1194545.319999999832362,1192088.979999999981374,1189056.600000000093132,1157436.760000000009313,10765652.830000000074506
20170714,1216057.239999999990687,1259513.799999999813735,1196706.560000000055879,1195880.199999999953434,1175993.229999999981374,1196394.280000000027940,1195928.939999999944121,1198158.800000000046566,1169380.120000000111759,10804014.170000001788139
20170717,1215201.699999999953434,1262473.399999999906868,1197476.699999999953434,1191822.099999999860302,1165030.810000000055879,1196240.199999999953434,1195420.709999999962747,1194633.300000000046566,1168173.719999999972060,10786473.640000000596046
20170718,1219479.399999999906868,1257883.000000000000000,1178003.159999999916181,1212653.679999999934807,1160951.769999999785796,1186225.000000000000000,1193331.320000000065193,1197838.300000000046566,1177221.719999999972060,10783588.349999999627471
20170719,1225325.590000000083819,1273828.599999999860302,1186584.719999999972060,1219417.179999999934807,1162608.880000000121072,1185685.719999999739230,1197792.449999999953434,1212837.699999999953434,1185304.600000000093132,10849386.439999997615814
20170720,1217055.369999999878928,1270204.599999999860302,1180753.659999999916181,1231681.659999999916181,1162608.880000000121072,1188151.000000000000000,1199768.899999999906868,1227644.800000000046566,1183615.640000000130385,10861485.510000001639128
20170721,1220477.530000000027940,1281438.999999999767169,1172722.199999999953434,1220318.979999999981374,1158657.310000000055879,1185916.839999999850988,1192484.270000000018626,1229439.600000000093132,1201591.000000000000000,10863047.729999998584390
20170724,1212064.719999999972060,1281680.599999999860302,1190215.380000000121072,1199577.579999999841675,1163628.639999999897555,1169969.559999999823049,1185933.750000000000000,1223734.699999999953434,1210880.280000000260770,10837686.210000000894070
20170725,1217910.909999999916181,1283371.800000000046566,1260188.100000000093132,1189387.239999999757856,1183004.079999999841675,1225592.439999999944121,1126019.079999999841675,1220593.800000000046566,1206295.959999999962747,10912364.410000000149012
20170726,1216342.419999999925494,1410151.399999999906868,1248966.060000000055879,1181000.499999999767169,1171914.190000000176951,1205870.199999999953434,1123986.159999999916181,1222837.300000000046566,1216671.000000000000000,10997740.230000000447035
20170727,1195666.869999999878928,1455753.399999999906868,1258317.760000000009313,1179918.340000000083819,1167070.329999999841675,1209259.959999999729916,1129746.100000000093132,1211171.100000000093132,1201229.080000000074506,11008133.939999999478459
20170728,1209212.919999999925494,1457384.199999999953434,1255347.219999999972060,1189116.699999999953434,1163628.639999999897555,1200785.559999999823049,1127882.590000000083819,1225401.300000000046566,1196162.200000000186265,11024922.330000001937151
20170731,1215344.290000000037253,1464571.800000000046566,1253696.920000000158325,1196962.359999999869615,1170257.079999999841675,1195315.719999999739230,1136070.739999999990687,1229631.900000000139698,1201108.440000000176951,11062960.249999998137355
20170801,1215486.879999999888241,1446331.000000000000000,1244345.219999999972060,1195068.579999999841675,1185935.889999999897555,1186841.319999999832362,1147421.209999999962747,1232324.100000000093132,1216912.280000000260770,11070667.479999996721745
20170802,1216342.419999999925494,1437331.399999999906868,1244235.199999999953434,1191912.279999999795109,1186955.649999999906868,1206486.520000000018626,1160014.020000000018626,1237259.800000000046566,1221858.520000000018626,11102396.809999998658895
20170803,1219764.580000000074506,1439143.399999999906868,1249406.140000000130385,1202643.699999999953434,1179179.979999999981374,1192080.039999999804422,1172493.890000000130385,1248605.500000000000000,1213534.360000000102445,11116852.589999999850988
20170804,1225895.949999999953434,1435881.800000000046566,1258097.719999999972060,1201110.639999999897555,1193966.500000000000000,1185146.439999999944121,1172663.300000000046566,1249310.600000000093132,1217153.560000000055879,11139227.509999999776483
20170807,1224184.869999999878928,1451102.599999999860302,1262058.439999999944121,1198224.880000000121072,1198555.419999999925494,1194006.039999999804422,1171477.429999999934807,1248669.600000000093132,1224391.959999999962747,11172672.239999998360872
20170808,1225468.179999999934807,1446693.399999999906868,1258757.840000000083819,1192904.260000000009313,1194221.440000000176951,1193620.839999999850988,1165773.959999999962747,1249438.800000000046566,1221858.520000000018626,11148738.240000000223517
20170809,1221903.429999999934807,1415345.799999999813735,1257987.699999999953434,1201561.539999999804422,1192309.389999999897555,1193620.839999999850988,1166056.310000000055879,1248990.100000000093132,1218118.680000000167638,11115894.789999999105930
20170810,1205790.760000000009313,1406708.599999999860302,1244895.320000000065193,1200299.020000000018626,1175228.409999999916181,1206717.639999999897555,1164644.560000000055879,1234503.500000000000000,1200263.959999999962747,11039052.769999999552965
20170811,1201940.830000000074506,1418788.599999999860302,1241594.719999999972060,1200389.199999999953434,1165413.219999999972060,1211956.360000000102445,1163232.810000000055879,1237388.000000000000000,1207502.360000000102445,11048207.099999999627471
20170814,1218766.449999999953434,1432499.399999999906868,1251056.439999999944121,1203816.039999999804422,1179052.510000000009313,1211648.199999999953434,1171082.140000000130385,1241810.900000000139698,1228976.280000000260770,11138709.359999999403954
