訓練日期,20140226 - 20140529
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10921727.580000001937151
真實報酬,921727.580000001937151

夏普值報酬,0.083472758000000
夏普值風險,0.024630855562173
夏普值,3.388950813718107

預期報酬,13531.281363689739010
風險,48983.087855697791383
趨勢值,0.276243943696493
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](11),INTC[11](6),JNJ[12](1),KO[14](2),MCD[15](8),PG[21](10),TRV[22](5),UNH[23](18),VZ[26](14),
20140318,1130925.339999999850988,1120137.000000000000000,1145622.850000000093132,1129643.709999999962747,1119045.309999999823049,1134578.949999999953434,1119243.520000000018626,1150643.680000000167638,1120952.230000000214204,10170793.589999999850988
20140319,1130627.379999999888241,1129163.000000000000000,1141354.600000000093132,1121995.290000000037253,1105131.519999999785796,1120498.179999999934807,1109244.520000000018626,1179555.640000000130385,1112791.210000000195578,10150362.339999999850988
20140320,1125264.099999999860302,1147666.299999999813735,1147817.950000000186265,1131114.560000000055879,1110881.019999999785796,1113955.599999999860302,1109644.479999999981374,1202714.710000000195578,1133193.760000000242144,10222253.480000000447035
20140321,1134053.919999999925494,1135932.500000000000000,1169890.900000000139698,1130820.389999999897555,1097887.149999999906868,1107697.479999999981374,1116977.079999999841675,1199912.020000000251457,1125992.860000000102445,10219165.299999998882413
20140324,1147611.099999999860302,1133676.000000000000000,1160988.550000000046566,1129643.709999999962747,1106051.439999999944121,1127894.139999999897555,1118043.639999999897555,1199026.960000000195578,1128393.160000000149012,10251329.699999999254942
20140325,1159976.439999999944121,1149020.199999999953434,1187573.649999999906868,1136115.449999999953434,1102946.709999999729916,1135147.870000000111759,1120310.079999999841675,1196371.780000000027940,1133433.790000000037253,10320896.969999998807907
20140326,1148802.939999999944121,1145409.799999999813735,1183549.300000000046566,1135821.279999999795109,1102141.780000000027940,1130738.739999999990687,1112310.879999999888241,1202862.220000000204891,1128393.160000000149012,10290031.100000001490116
20140327,1143886.599999999860302,1142250.699999999953434,1186354.150000000139698,1141998.849999999860302,1105821.459999999729916,1132872.190000000176951,1113110.799999999813735,1195191.700000000186265,1144715.199999999953434,10306202.649999998509884
20140328,1142545.779999999795109,1156241.000000000000000,1188305.350000000093132,1145823.060000000055879,1118240.379999999888241,1134436.719999999972060,1119776.799999999813735,1204042.300000000279397,1138234.390000000130385,10347646.779999999329448
20140331,1142396.800000000046566,1164815.699999999953434,1197939.400000000139698,1137292.129999999888241,1127324.589999999850988,1146384.039999999804422,1134575.319999999832362,1209500.170000000158325,1141834.840000000083819,10402063.990000000223517
20140401,1152825.399999999906868,1172939.099999999860302,1194402.850000000093132,1129937.879999999888241,1125829.719999999972060,1142686.060000000055879,1125109.599999999860302,1207287.520000000251457,1146155.380000000121072,10397174.509999999776483
20140402,1154762.139999999897555,1168426.099999999860302,1197939.400000000139698,1127584.519999999785796,1122265.030000000027940,1139699.229999999981374,1128575.919999999925494,1203894.790000000270084,1147835.590000000083819,10390983.720000000670552
20140403,1146717.219999999972060,1191893.699999999953434,1198305.250000000000000,1119936.099999999860302,1123069.959999999729916,1139272.539999999804422,1132975.479999999981374,1213335.430000000167638,1155036.489999999990687,10420543.169999999925494
20140404,1131819.219999999972060,1180611.199999999953434,1200256.449999999953434,1124348.649999999906868,1125484.750000000000000,1134578.949999999953434,1135908.520000000018626,1202714.710000000195578,1153116.250000000000000,10388839.700000001117587
20140407,1114090.599999999860302,1195504.099999999860302,1193793.100000000093132,1136115.449999999953434,1115595.609999999869615,1144819.510000000009313,1133242.119999999878928,1196076.760000000242144,1155036.489999999990687,10384274.740000000223517
20140408,1114090.599999999860302,1214458.699999999953434,1195866.250000000000000,1144352.209999999962747,1127899.539999999804422,1157051.289999999804422,1129642.479999999981374,1189881.340000000083819,1157196.760000000242144,10430440.169999999925494
20140409,1128690.639999999897555,1217617.799999999813735,1206719.800000000046566,1146999.739999999990687,1131004.269999999785796,1159042.510000000009313,1144174.359999999869615,1200649.570000000065193,1151676.070000000065193,10486575.759999999776483
20140410,1114090.599999999860302,1192796.299999999813735,1177329.850000000093132,1144058.040000000037253,1143423.189999999944121,1153353.310000000055879,1133108.799999999813735,1179998.170000000158325,1139434.540000000037253,10377593.800000000745058
20140411,1105896.699999999953434,1181513.799999999813735,1181354.200000000186265,1136409.619999999878928,1141813.329999999841675,1148659.719999999972060,1137241.719999999739230,1164657.130000000121072,1129833.340000000083819,10327380.560000000521541
20140414,1110366.099999999860302,1198663.199999999953434,1184646.850000000093132,1139351.319999999832362,1151242.509999999776483,1149370.870000000111759,1139908.119999999878928,1168049.860000000335276,1134633.940000000176951,10376233.769999999552965
20140415,1102321.179999999934807,1208140.500000000000000,1209768.550000000046566,1182005.969999999972060,1159521.789999999804422,1149797.560000000055879,1145107.599999999860302,1172917.690000000176951,1126232.890000000130385,10455814.729999998584390
20140416,1104555.879999999888241,1215361.299999999813735,1204280.800000000046566,1194066.939999999944121,1159521.789999999804422,1161318.190000000176951,1156973.079999999841675,1153446.370000000111759,1130553.430000000167638,10480078.780000001192093
20140417,1117219.179999999934807,1220325.599999999860302,1206841.750000000000000,1197891.149999999906868,1152852.369999999878928,1162882.719999999972060,1155639.879999999888241,1117896.460000000195578,1142554.930000000167638,10474105.039999999105930
20140421,1130478.399999999906868,1216263.899999999906868,1219524.550000000046566,1198773.659999999916181,1146182.949999999953434,1160038.120000000111759,1151906.919999999925494,1105653.130000000121072,1151676.070000000065193,10480498.700000001117587
20140422,1131670.239999999757856,1211299.599999999860302,1221719.650000000139698,1197596.979999999981374,1142158.299999999813735,1155628.989999999990687,1158439.599999999860302,1117601.440000000176951,1150235.890000000130385,10486351.690000001341105
20140423,1116772.239999999757856,1207237.899999999906868,1222207.449999999953434,1198185.319999999832362,1139973.489999999757856,1142970.520000000018626,1174971.279999999795109,1111258.510000000242144,1138474.420000000158325,10452052.129999998956919
20140424,1208394.939999999944121,1207237.899999999906868,1219036.750000000000000,1197302.810000000055879,1148137.780000000027940,1154206.690000000176951,1181104.000000000000000,1129844.770000000251457,1110870.970000000204891,10556137.610000001266599
20140425,1217333.739999999757856,1185124.199999999953434,1216963.600000000093132,1206422.079999999841675,1158371.889999999897555,1157904.669999999925494,1177371.039999999804422,1116126.340000000083819,1102709.949999999953434,10538328.509999997913837
20140428,1264411.419999999925494,1188283.299999999813735,1235865.850000000093132,1207010.419999999925494,1153542.309999999823049,1179665.859999999869615,1195102.599999999860302,1117306.420000000158325,1118551.930000000167638,10659741.109999999403954
20140429,1260686.919999999925494,1195052.799999999813735,1232085.400000000139698,1193478.599999999860302,1167226.119999999878928,1172554.359999999869615,1211900.919999999925494,1109340.880000000121072,1122632.440000000176951,10664959.439999999478459
20140430,1255919.559999999823049,1204530.099999999860302,1235256.100000000093132,1199950.339999999850988,1165846.239999999757856,1174118.889999999897555,1207634.679999999934807,1106980.720000000204891,1121672.320000000065193,10671909.950000001117587
20140501,1258899.159999999916181,1193698.899999999906868,1225987.900000000139698,1199656.169999999925494,1161016.659999999916181,1171132.060000000055879,1210967.679999999934807,1105653.130000000121072,1133433.790000000037253,10660446.449999999254942
20140502,1261133.860000000102445,1191893.699999999953434,1211110.000000000000000,1204657.060000000055879,1166421.189999999944121,1165158.399999999906868,1213234.119999999878928,1106833.210000000195578,1131033.489999999990687,10651476.030000001192093
20140505,1279011.459999999729916,1181062.500000000000000,1219524.550000000046566,1199067.829999999841675,1163086.479999999981374,1162029.340000000083819,1208567.919999999925494,1109783.410000000149012,1137514.300000000046566,10659648.790000000968575
20140506,1265156.319999999832362,1182416.399999999906868,1213549.000000000000000,1191125.239999999990687,1160901.669999999925494,1153922.229999999981374,1198302.279999999795109,1110225.940000000176951,1139434.540000000037253,10615034.619999997317791
20140507,1260686.919999999925494,1190088.500000000000000,1230622.000000000000000,1203480.379999999888241,1172515.659999999916181,1167576.310000000055879,1214167.359999999869615,1149316.090000000083819,1154556.430000000167638,10743010.649999998509884
20140508,1251450.159999999916181,1188734.599999999860302,1225622.050000000046566,1198185.319999999832362,1172400.669999999925494,1168571.919999999925494,1216433.799999999813735,1134270.070000000065193,1163917.600000000093132,10719587.189999999478459
20140509,1246235.860000000102445,1186929.399999999906868,1230622.000000000000000,1202303.699999999953434,1183669.689999999944121,1171843.209999999962747,1217233.719999999739230,1135155.130000000121072,1163677.570000000065193,10737671.280000001192093
20140512,1261729.779999999795109,1190088.500000000000000,1225865.949999999953434,1200832.849999999860302,1182864.759999999776483,1162456.030000000027940,1227099.399999999906868,1146808.420000000158325,1155996.610000000102445,10753743.299999998882413
20140513,1263666.519999999785796,1193698.899999999906868,1231963.449999999953434,1209363.779999999795109,1190569.089999999850988,1160749.270000000018626,1238698.239999999757856,1151233.720000000204891,1148555.680000000167638,10788499.650000000372529
20140514,1263964.479999999981374,1188283.299999999813735,1230134.200000000186265,1202892.040000000037253,1184819.589999999850988,1154491.149999999906868,1235231.919999999925494,1138400.350000000093132,1152396.160000000149012,10750614.189999999478459
20140515,1253237.919999999925494,1173841.699999999953434,1227939.100000000093132,1192007.750000000000000,1178725.119999999878928,1145388.429999999934807,1231498.959999999962747,1128222.160000000149012,1151196.010000000242144,10682058.150000000372529
20140516,1271711.439999999944121,1165267.000000000000000,1226597.650000000139698,1202892.040000000037253,1186084.479999999981374,1142543.830000000074506,1234298.679999999934807,1130729.830000000307336,1177839.340000000083819,10737965.289999999105930
20140519,1286758.419999999925494,1175195.599999999860302,1227329.350000000093132,1197596.979999999981374,1174010.530000000027940,1136854.630000000121072,1236831.759999999776483,1138842.880000000121072,1179759.580000000074506,10753180.730000000447035
20140520,1287056.379999999888241,1175195.599999999860302,1222573.300000000046566,1193772.769999999785796,1167571.089999999850988,1141121.530000000027940,1235498.559999999823049,1130877.340000000083819,1167758.080000000074506,10721425.649999998509884
20140521,1290482.919999999925494,1182416.399999999906868,1233426.850000000093132,1202303.699999999953434,1179415.059999999823049,1144819.510000000009313,1238031.639999999897555,1146513.400000000139698,1180239.640000000130385,10797650.120000001043081
20140522,1292419.659999999916181,1180159.899999999906868,1231231.750000000000000,1193772.769999999785796,1178150.169999999925494,1147095.190000000176951,1240031.439999999944121,1155659.020000000251457,1186960.480000000214204,10805481.379999998956919
20140523,1307019.699999999953434,1186478.099999999860302,1231475.650000000139698,1193772.769999999785796,1172975.619999999878928,1145246.199999999953434,1238031.639999999897555,1162001.950000000186265,1193921.350000000093132,10830923.979999998584390
20140527,1331601.399999999906868,1205432.699999999953434,1229402.500000000000000,1199362.000000000000000,1177115.259999999776483,1138988.080000000074506,1246430.799999999813735,1167017.290000000270084,1191040.989999999990687,10886392.019999999552965
20140528,1328025.879999999888241,1213104.799999999813735,1223183.050000000046566,1193772.769999999785796,1164926.319999999832362,1139272.539999999804422,1246030.839999999850988,1159199.260000000242144,1193921.350000000093132,10861437.809999998658895
20140529,1352309.619999999878928,1216715.199999999953434,1228792.750000000000000,1196126.129999999888241,1165386.280000000027940,1143539.440000000176951,1254563.319999999832362,1170852.550000000279397,1193441.290000000037253,10921727.580000001937151
