訓練日期,20160121 - 20160422
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490231.370000001043081
真實報酬,1490231.370000001043081

夏普值報酬,0.140323137000000
夏普值風險,0.041210435708493
夏普值,3.405038907925975

預期報酬,23213.904276197081344
風險,63896.245956720689719
趨勢值,0.363306230727870
找到最佳解世代,2277
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,10
AXP[1](30),DD[7](5),KO[14](9),MCD[15](15),MMM[16](6),MRK[17](23),PFE[20](29),UTX[24](2),WMT[28](14),XOM[29](12),
20160314,945107.099999999976717,1216856.199999999953434,1094489.059999999823049,1061495.439999999944121,1181429.850000000093132,1050048.459999999962747,981735.599999999976717,1141456.000000000000000,1107162.719999999739230,1126118.719999999739230,10905899.149999994784594
20160315,939712.999999999883585,1214816.800000000046566,1093280.760000000009313,1066073.050000000279397,1185810.449999999720603,1036992.340000000083819,963471.199999999953434,1135090.479999999981374,1119161.000000000000000,1131720.959999999962747,10886130.039999999105930
20160316,947169.549999999930151,1226033.500000000000000,1088689.219999999972060,1066850.379999999888241,1189314.929999999701977,1027496.979999999981374,947163.699999999953434,1149236.079999999841675,1117517.399999999906868,1132404.160000000149012,10891875.899999998509884
20160317,953198.249999999883585,1244048.199999999953434,1106088.739999999990687,1063741.060000000055879,1195593.790000000037253,1019386.360000000102445,956948.199999999953434,1165149.879999999888241,1108641.959999999962747,1149210.879999999888241,10962007.320000000298023
20160318,971284.349999999860302,1250336.349999999860302,1101980.520000000018626,1071687.100000000093132,1207129.370000000111759,1033629.400000000023283,960535.849999999976717,1167625.359999999869615,1100423.959999999962747,1150577.279999999795109,11015209.540000000968575
20160321,971125.699999999953434,1247447.199999999953434,1103672.139999999897555,1069355.109999999869615,1203551.879999999888241,1044509.500000000000000,980757.150000000023283,1169039.919999999925494,1117188.679999999701977,1142652.160000000149012,11049299.440000001341105
20160322,961606.699999999953434,1240309.300000000046566,1099563.919999999925494,1069441.479999999981374,1204062.949999999720603,1049059.359999999869615,990867.799999999930151,1163028.040000000037253,1115545.080000000074506,1149484.160000000149012,11042968.789999999105930
20160323,961924.000000000000000,1238779.750000000000000,1098597.280000000027940,1072637.169999999925494,1199390.310000000055879,1050048.459999999962747,984670.950000000069849,1168332.639999999897555,1108806.319999999832362,1144428.479999999981374,11027615.360000001266599
20160324,959385.599999999860302,1242008.799999999813735,1101497.199999999953434,1064863.870000000111759,1200777.500000000000000,1049850.640000000130385,981083.299999999930151,1167743.239999999990687,1117681.759999999776483,1147571.199999999720603,11032463.109999997541308
20160328,956371.250000000000000,1247957.050000000046566,1106813.719999999972060,1063827.430000000167638,1214065.319999999832362,1045102.959999999962747,971298.800000000046566,1165975.040000000037253,1119654.080000000074506,1150850.560000000055879,11041916.210000000894070
20160329,961448.049999999930151,1237250.199999999953434,1123246.599999999860302,1070737.029999999795109,1200266.429999999701977,1054796.140000000130385,980104.849999999976717,1180238.520000000018626,1118174.839999999850988,1155086.399999999906868,11081349.059999998658895
20160330,956529.899999999906868,1245917.649999999906868,1125663.199999999953434,1086801.850000000093132,1217496.790000000037253,1052817.939999999944121,980757.150000000023283,1181770.959999999962747,1130830.560000000055879,1154949.759999999776483,11133535.760000001639128
20160331,974140.049999999930151,1230962.050000000046566,1121071.659999999916181,1085506.300000000279397,1216620.669999999925494,1046685.519999999902211,966732.699999999953434,1180002.760000000009313,1125735.399999999906868,1142242.239999999757856,11089699.350000001490116
20160401,969380.549999999930151,1237760.049999999813735,1131704.699999999953434,1097079.879999999888241,1223191.569999999832362,1062313.300000000279397,979778.699999999953434,1178470.320000000065193,1135103.919999999925494,1133633.919999999925494,11148416.910000000149012
20160404,961765.349999999860302,1236060.550000000046566,1133154.659999999916181,1101830.229999999981374,1214941.439999999944121,1076160.700000000186265,1001956.899999999906868,1182006.719999999972060,1135761.359999999869615,1136366.719999999739230,11180004.629999998956919
20160405,954943.399999999906868,1228072.900000000139698,1124454.899999999906868,1100189.200000000186265,1210633.850000000093132,1072995.580000000074506,1022830.500000000000000,1177173.639999999897555,1128200.799999999813735,1123385.919999999925494,11142880.689999999478459
20160406,950025.250000000000000,1232661.550000000046566,1128804.780000000027940,1101398.379999999888241,1217934.850000000093132,1100492.560000000055879,1074036.049999999813735,1183185.520000000018626,1134775.200000000186265,1138416.319999999832362,11261730.460000000894070
20160407,933842.949999999953434,1220765.049999999813735,1120346.679999999934807,1106753.319999999832362,1220490.199999999720603,1096338.339999999850988,1068491.500000000000000,1189315.280000000027940,1121297.679999999701977,1125572.160000000149012,11203213.159999998286366
20160408,943996.549999999930151,1228752.699999999953434,1132671.339999999850988,1105198.660000000149012,1216620.669999999925494,1095151.419999999925494,1060011.600000000093132,1194384.119999999878928,1118667.919999999925494,1137049.919999999925494,11232504.899999998509884
20160411,948756.049999999930151,1228582.750000000000000,1122279.959999999962747,1101743.859999999869615,1216328.629999999888241,1089019.000000000000000,1040116.449999999953434,1204050.280000000027940,1107820.160000000149012,1138552.959999999962747,11197250.099999997764826
20160412,962717.249999999883585,1249316.650000000139698,1127354.819999999832362,1102175.709999999962747,1226842.069999999832362,1094755.780000000260770,1042399.500000000000000,1215131.000000000000000,1130830.560000000055879,1152626.879999999888241,11304150.220000002533197
20160413,986197.449999999837019,1263592.449999999953434,1112613.559999999823049,1095957.069999999832362,1230930.629999999888241,1107020.620000000111759,1061316.199999999720603,1233166.639999999897555,1136583.160000000149012,1159185.599999999627471,11386563.379999998956919
20160414,991750.199999999953434,1267331.349999999860302,1107538.699999999953434,1101312.010000000242144,1227791.199999999720603,1116713.800000000279397,1064903.850000000093132,1233991.800000000046566,1130830.560000000055879,1167384.000000000000000,11409547.470000000670552
20160415,985880.149999999906868,1267501.299999999813735,1114063.520000000018626,1103644.000000000000000,1232317.819999999832362,1110581.379999999888241,1060011.600000000093132,1232695.119999999878928,1135103.919999999925494,1161098.560000000055879,11402897.369999999180436
20160418,993019.400000000023283,1271580.099999999860302,1116963.439999999944121,1112885.589999999850988,1237939.589999999850988,1117900.720000000204891,1063599.250000000000000,1239296.399999999906868,1148252.719999999739230,1172166.399999999906868,11473603.610000001266599
20160419,1008567.099999999976717,1283986.449999999953434,1126146.520000000018626,1112971.959999999962747,1238669.689999999944121,1124824.419999999925494,1072731.450000000186265,1237763.959999999962747,1146773.479999999981374,1178041.919999999925494,11530476.949999999254942
20160420,1031571.349999999860302,1257134.349999999860302,1072256.339999999850988,1110294.490000000223517,1233485.979999999981374,1119285.459999999962747,1083820.549999999813735,1244011.599999999860302,1137569.319999999832362,1186103.679999999701977,11475533.119999999180436
20160421,1040931.699999999953434,1257984.099999999860302,1055098.479999999748543,1086456.370000000111759,1231441.699999999720603,1119681.100000000093132,1084146.700000000186265,1242832.800000000046566,1125406.679999999701977,1185967.040000000037253,11429946.669999998062849
20160422,1046008.500000000000000,1273279.600000000093132,1076364.559999999823049,1083951.640000000130385,1231441.699999999720603,1122450.580000000074506,1085125.149999999906868,1246015.560000000055879,1129515.679999999701977,1196078.399999999906868,11490231.370000001043081
