訓練日期,20120712 - 20121011
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11482501.910000000149012
真實報酬,1482501.910000000149012

夏普值報酬,0.139550191000000
夏普值風險,0.040640188468367
夏普值,3.433797830652776

預期報酬,24576.655547643196769
風險,84693.846075744237169
趨勢值,0.290182305874544
找到最佳解世代,2740
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
GS[8](3),HD[9](4),PFE[20](11),TRV[22](10),UNH[23](29),WBA[27](16),
20120828,1840104.100000000093132,1823425.300000000046566,1779318.040000000037253,1728234.429999999934807,1615810.600000000093132,1970602.359999999869615,10757498.830000000074506
20120829,1848863.600000000093132,1833424.350000000093132,1787524.479999999981374,1727168.309999999823049,1625030.000000000232831,1965035.759999999776483,10787050.500000000000000
20120830,1834673.209999999962747,1826328.249999999767169,1778572.000000000000000,1718905.879999999888241,1626517.000000000000000,1960025.820000000065193,10745026.160000000149012
20120831,1852192.209999999962747,1830521.399999999906868,1780064.079999999841675,1725569.129999999888241,1614918.400000000139698,1990642.119999999878928,10793911.339999997988343
20120904,1864280.320000000065193,1831811.599999999860302,1774095.760000000009313,1722903.829999999841675,1622650.800000000279397,1987302.160000000149012,10803048.470000000670552
20120905,1926122.389999999897555,1823747.849999999860302,1784540.320000000065193,1719972.000000000000000,1614323.600000000093132,1997322.040000000037253,10866032.199999999254942
20120906,1989190.790000000037253,1859550.899999999906868,1815874.000000000000000,1741560.929999999934807,1632465.000000000232831,1959469.160000000149012,10998114.779999999329448
20120907,2038068.800000000046566,1846971.449999999953434,1808413.599999999860302,1738096.039999999804422,1632167.600000000325963,1944995.999999999767169,11008717.490000000223517
20120910,2009162.450000000186265,1848261.649999999906868,1797969.040000000037253,1740761.340000000083819,1598264.000000000232831,1956129.199999999953434,10950551.679999999701977
20120911,2044375.639999999897555,1829553.749999999767169,1803191.320000000065193,1784472.260000000009313,1570308.400000000139698,1954459.219999999972060,10986364.589999999850988
20120912,2071530.089999999850988,1840197.899999999906868,1795730.919999999925494,1800197.530000000027940,1570903.200000000186265,1968375.719999999972060,11046939.360000001266599
20120913,2114101.259999999776483,1880516.649999999906868,1809159.639999999897555,1824451.760000000009313,1602725.000000000232831,2005115.280000000027940,11236073.589999999850988
20120914,2126189.370000000111759,1917932.449999999953434,1775587.839999999850988,1827916.649999999906868,1613431.400000000139698,2005115.280000000027940,11266176.990000000223517
20120917,2100611.629999999888241,1900192.199999999720603,1792000.719999999972060,1825251.350000000093132,1620271.600000000093132,1987302.160000000149012,11225633.660000000149012
20120918,2100261.250000000000000,1898579.449999999953434,1791254.679999999934807,1824718.289999999804422,1639602.600000000325963,1985075.519999999785796,11239495.789999999105930
20120919,2085194.909999999916181,1918254.999999999767169,1802445.279999999795109,1818588.100000000093132,1634249.400000000139698,1993425.420000000158325,11252162.109999999403954
20120920,2060843.500000000000000,1912126.550000000046566,1821096.279999999795109,1824451.760000000009313,1633952.000000000000000,1978952.259999999776483,11231426.349999999627471
20120921,2044901.209999999962747,1916642.250000000000000,1829302.719999999972060,1828716.239999999990687,1670829.600000000093132,1954459.219999999972060,11244855.240000000223517
20120924,2042798.929999999934807,1915674.599999999860302,1846461.639999999897555,1823652.169999999925494,1664881.600000000093132,1985632.180000000167638,11279105.119999999180436
20120925,1988490.030000000027940,1926318.749999999767169,1853176.000000000000000,1825251.350000000093132,1671424.400000000139698,2007898.580000000074506,11272563.109999999403954
20120926,1981132.050000000046566,1908578.500000000000000,1852429.959999999729916,1806594.250000000000000,1658933.600000000093132,1993982.080000000074506,11201654.439999999478459
20120927,2018797.900000000139698,1931479.550000000046566,1862128.479999999981374,1823385.639999999897555,1672614.000000000232831,2037401.560000000055879,11345811.130000000819564
20120928,1991643.450000000186265,1947284.499999999767169,1853922.040000000037253,1819387.689999999944121,1647929.800000000046566,2028494.999999999767169,11288666.480000000447035
20121001,2047353.870000000111759,1953735.500000000000000,1868096.799999999813735,1840976.619999999646097,1679156.800000000279397,2056884.660000000149012,11446208.250000000000000
20121002,2054186.280000000027940,1945994.299999999813735,1874065.119999999878928,1831115.010000000009313,1689268.400000000139698,2054658.019999999785796,11449291.129999998956919
20121003,2065748.820000000065193,1992441.500000000000000,1888985.919999999925494,1839377.439999999944121,1691052.800000000046566,2024041.719999999972060,11501652.200000001117587
20121004,2100611.629999999888241,1991473.849999999860302,1891224.040000000037253,1846573.750000000000000,1724064.200000000186265,2024598.379999999888241,11578549.849999997764826
20121005,2090275.420000000158325,2038566.149999999906868,1903906.719999999972060,1854036.590000000083819,1699082.600000000325963,2011238.540000000037253,11597110.019999999552965
20121008,2092903.270000000018626,1995989.550000000046566,1894954.239999999757856,1853503.530000000027940,1713060.400000000139698,1999548.680000000167638,11549963.669999999925494
20121009,2095881.500000000000000,1965992.399999999906868,1888239.879999999888241,1847639.869999999646097,1709194.200000000186265,1981735.560000000055879,11488687.409999998286366
20121010,2103765.049999999813735,1926963.849999999860302,1877049.279999999795109,1849772.110000000102445,1698487.800000000046566,1983405.540000000037253,11439447.629999998956919
20121011,2137226.339999999850988,1903417.699999999953434,1874065.119999999878928,1843375.389999999897555,1714844.800000000046566,2009568.560000000055879,11482501.910000000149012
