訓練日期,20170519 - 20170821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11139272.070000000298023
真實報酬,1139272.070000000298023

夏普值報酬,0.105227207000000
夏普值風險,0.034340549103179
夏普值,3.064226104359478

預期報酬,20185.378619868701207
風險,66270.418681359311449
趨勢值,0.304591083344800
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](24),AXP[1](3),BA[2](1),JNJ[12](12),JPM[13](7),MCD[15](6),
20170606,1687534.660000000149012,1720561.399999999906868,1754499.899999999906868,1717332.360000000102445,1646816.000000000000000,1714508.139999999897555,10241256.460000000894070
20170607,1697586.580000000307336,1741508.600000000093132,1767181.799999999813735,1716282.280000000027940,1665673.500000000232831,1722557.410000000149012,10310794.170000001788139
20170608,1693434.700000000186265,1744563.400000000139698,1784372.820000000065193,1713657.080000000074506,1686317.500000000232831,1716775.540000000270084,10339125.040000002831221
20170609,1627769.440000000176951,1752418.600000000093132,1785312.219999999972060,1726520.560000000055879,1726216.000000000000000,1717342.389999999897555,10335583.210000000894070
20170612,1588872.880000000121072,1749363.800000000279397,1785030.399999999906868,1730327.099999999860302,1726613.000000000232831,1683218.020000000018626,10263429.199999999254942
20170613,1601656.300000000279397,1758528.200000000186265,1795269.859999999869615,1732952.300000000046566,1732369.500000000232831,1698522.969999999972060,10319303.130000000819564
20170614,1586032.120000000111759,1763983.200000000186265,1807388.119999999878928,1742796.800000000046566,1728796.500000000232831,1708272.790000000270084,10337273.530000001192093
20170615,1576526.500000000000000,1760928.400000000139698,1836227.699999999720603,1746340.819999999832362,1718474.500000000000000,1713827.919999999925494,10352329.839999999850988
20170616,1554455.980000000214204,1777293.400000000139698,1845527.759999999776483,1763535.879999999888241,1710733.000000000465661,1723124.260000000242144,10374674.280000001192093
20170619,1598924.800000000279397,1786676.000000000000000,1870327.919999999925494,1759860.599999999860302,1748249.500000000000000,1736161.810000000055879,10500204.630000000819564
20170620,1584393.220000000204891,1800422.600000000325963,1863282.419999999925494,1761829.500000000000000,1737332.000000000232831,1746705.219999999972060,10493968.960000000894070
20170621,1593789.580000000307336,1793876.600000000093132,1871173.379999999888241,1770886.439999999944121,1729392.000000000232831,1742850.639999999897555,10501972.640000000596046
20170622,1591167.340000000083819,1794749.400000000139698,1873709.759999999776483,1785850.080000000074506,1727407.000000000232831,1754981.230000000214204,10527868.810000000521541
20170623,1598269.240000000223517,1794094.800000000046566,1899919.019999999785796,1790837.960000000195578,1724231.000000000232831,1753167.310000000055879,10560523.330000000074506
20170626,1593243.280000000027940,1810241.600000000093132,1878782.519999999785796,1789656.620000000111759,1731774.000000000232831,1745458.150000000139698,10549160.169999999925494
20170627,1570407.940000000176951,1812860.000000000000000,1868543.059999999823049,1772199.039999999804422,1747852.500000000232831,1742737.270000000018626,10514603.810000000521541
20170628,1593352.540000000270084,1832279.800000000046566,1875400.679999999934807,1756579.099999999860302,1782987.000000000000000,1749312.730000000214204,10589915.850000001490116
20170629,1569861.640000000363216,1824861.000000000000000,1855109.639999999897555,1741090.419999999925494,1809387.500000000232831,1736048.440000000176951,10536362.640000000596046
20170630,1573576.480000000214204,1838171.199999999953434,1857833.899999999906868,1736496.319999999832362,1814350.000000000232831,1736388.550000000046566,10556820.450000001117587
20170703,1567894.960000000195578,1856936.399999999906868,1865724.859999999869615,1744503.180000000167638,1841147.500000000232831,1728906.130000000121072,10605117.030000001192093
20170705,1574341.300000000279397,1852354.200000000186265,1895973.540000000037253,1754216.419999999925494,1859608.000000000465661,1735368.219999999972060,10671865.680000001564622
20170706,1559481.940000000176951,1827261.199999999953434,1892873.519999999785796,1739515.300000000046566,1853653.000000000232831,1735594.960000000195578,10608383.920000001788139
20170707,1575324.640000000363216,1840135.000000000000000,1901234.179999999934807,1739777.819999999832362,1862982.500000000232831,1771646.620000000344589,10691104.760000001639128
20170710,1584939.520000000251457,1839480.400000000139698,1916170.639999999897555,1726783.080000000074506,1849881.500000000232831,1763143.870000000344589,10680403.010000001639128
20170711,1590074.740000000223517,1836425.600000000093132,1937870.780000000027940,1722582.760000000009313,1842735.500000000232831,1756228.300000000046566,10685921.680000001564622
20170712,1592369.200000000186265,1850826.800000000046566,1939467.759999999776483,1735708.760000000009313,1836383.500000000232831,1775161.090000000316650,10729921.109999999403954
20170713,1614548.980000000214204,1862827.800000000279397,1937495.019999999785796,1730852.140000000130385,1848095.000000000232831,1757702.110000000102445,10751525.049999998882413
20170714,1628425.000000000000000,1860864.000000000232831,1958913.339999999850988,1740565.379999999888241,1831222.500000000232831,1760422.990000000223517,10780417.210000000894070
20170717,1634106.520000000251457,1859554.800000000046566,1963516.399999999906868,1734658.680000000167638,1814151.500000000232831,1760196.250000000000000,10766188.150000000372529
20170718,1639788.040000000270084,1866100.800000000046566,1956376.959999999962747,1764979.740000000223517,1807799.500000000000000,1745458.150000000139698,10780507.190000001341105
20170719,1650058.480000000214204,1875047.000000000232831,1981177.119999999878928,1774824.240000000223517,1810380.000000000232831,1744664.560000000055879,10836155.400000002235174
20170720,1642628.800000000279397,1862391.399999999906868,1975540.719999999972060,1792675.599999999860302,1810380.000000000232831,1748292.400000000139698,10831912.919999999925494
20170721,1641863.980000000214204,1867628.200000000186265,1993013.559999999823049,1776136.840000000083819,1804226.500000000232831,1745004.669999999925494,10827877.750000000000000
20170724,1661749.300000000279397,1854754.400000000139698,1993389.320000000065193,1745947.039999999804422,1811968.000000000232831,1721537.080000000074506,10789349.140000000596046
20170725,1668851.200000000186265,1863700.600000000093132,1996019.639999999897555,1731114.659999999916181,1842140.000000000232831,1803390.219999999972060,10905220.320000002160668
20170726,1676717.920000000391155,1861300.400000000139698,2193199.699999999720603,1718907.479999999981374,1824870.500000000465661,1774367.500000000000000,11049367.500000000000000
20170727,1645032.520000000251457,1829661.399999999906868,2264124.399999999906868,1717332.360000000102445,1817327.500000000232831,1779355.780000000027940,11052837.960000000894070
20170728,1633450.960000000195578,1850390.400000000139698,2266660.779999999795109,1730720.879999999888241,1811968.000000000232831,1766885.080000000074506,11060080.100000001490116
20170731,1625037.940000000176951,1859773.000000000232831,2277839.640000000130385,1742140.500000000000000,1822290.000000000232831,1758835.810000000055879,11085920.890000000596046
20170801,1639460.260000000242144,1859991.199999999953434,2249469.759999999776483,1739384.039999999804422,1846705.500000000232831,1746365.110000000102445,11081379.869999999180436
20170802,1716925.600000000093132,1861300.400000000139698,2235472.699999999720603,1734789.939999999944121,1848293.500000000232831,1775274.460000000195578,11172060.599999999627471
20170803,1699771.780000000027940,1866537.200000000186265,2238290.899999999906868,1750409.879999999888241,1836185.000000000232831,1754074.270000000018626,11145273.030000001192093
20170804,1708731.100000000093132,1875919.800000000046566,2233218.140000000130385,1748178.460000000195578,1859211.000000000232831,1743870.969999999972060,11169133.470000002533197
20170807,1735172.020000000251457,1873301.399999999906868,2256891.020000000018626,1743978.140000000130385,1866357.000000000232831,1756908.520000000018626,11232612.099999999627471
20170808,1749048.040000000270084,1875265.200000000186265,2250033.399999999906868,1736233.800000000046566,1859608.000000000465661,1756341.669999999925494,11226534.110000001266599
20170809,1759755.520000000251457,1869810.200000000186265,2201278.540000000037253,1748834.760000000009313,1856630.500000000232831,1756341.669999999925494,11192655.190000001341105
20170810,1697040.280000000027940,1845153.600000000093132,2187845.119999999646097,1746997.120000000111759,1830031.500000000232831,1775614.570000000065193,11082686.190000001341105
20170811,1720640.440000000176951,1839262.200000000186265,2206633.119999999646097,1747128.379999999888241,1814747.000000000232831,1783323.730000000214204,11111738.870000001043081
20170814,1746535.060000000055879,1865009.800000000046566,2227957.500000000000000,1752116.260000000009313,1835986.500000000232831,1782870.250000000000000,11210479.370000001043081
20170815,1765655.560000000055879,1893812.200000000186265,2246933.379999999888241,1750803.659999999916181,1840750.500000000232831,1786951.570000000065193,11284910.870000001043081
20170816,1758553.660000000149012,1906904.200000000186265,2232090.859999999869615,1761173.199999999953434,1828046.500000000232831,1801462.930000000167638,11288235.350000001490116
20170817,1724792.320000000298023,1878538.200000000186265,2213302.859999999869615,1746340.819999999832362,1799462.500000000232831,1790012.560000000055879,11152453.260000001639128
20170818,1720858.960000000195578,1863046.000000000000000,2214993.779999999795109,1740959.159999999916181,1801249.000000000232831,1788538.750000000000000,11129649.650000000372529
20170821,1717690.420000000391155,1861300.400000000139698,2214148.319999999832362,1751722.479999999981374,1799065.500000000232831,1795340.950000000186265,11139272.070000000298023
