訓練日期,20091029 - 20100202
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12870377.310000000521541
真實報酬,2870377.310000000521541

夏普值報酬,0.278337731000000
夏普值風險,0.067442455345406
夏普值,4.127040297902796

預期報酬,47203.202813537616748
風險,271672.390206122712698
趨勢值,0.173750460169043
找到最佳解世代,1871
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MRK[17](3),UNH[23](2),
20091202,3796409.959999999962747,3827352.000000000000000,3643738.590000000316650,11267501.550000000745058
20091203,3795704.050000000279397,3824231.880000000819564,3520091.550000000279397,11140028.480000002309680
20091204,3859941.859999999869615,3816951.600000000558794,3536835.420000000391155,11213729.880000000819564
20091207,3940415.600000000093132,3816951.600000000558794,3645026.580000000540167,11402394.780000001192093
20091208,3929121.039999999571592,3780550.200000000651926,3665634.420000000391155,11375306.660000000149012
20091209,3915708.750000000000000,3863753.399999999906868,3670786.380000000353903,11450249.530000001192093
20091210,3883236.889999999664724,3904314.959999999962747,3903912.570000000298023,11691465.419999999925494
20091211,3924885.580000000074506,3855433.080000000540167,3925808.400000000372529,11706128.060000000521541
20091214,3956651.529999999795109,3928235.880000000819564,3986343.930000000167638,11871232.339999999850988
20091215,3929826.950000000186265,3952156.800000000279397,4033999.560000000521541,11915984.310000000521541
20091216,3891707.810000000055879,3926155.800000000279397,4147342.680000000633299,11965207.290000000968575
20091217,3845117.750000000000000,3877273.920000000391155,4098399.060000000521541,11820791.730000000447035
20091218,3772409.020000000018626,3889754.399999999906868,4062335.340000000316650,11724499.759999999776483
20091221,3833117.279999999795109,3919915.560000000055879,4143478.710000000428408,11896512.550000000745058
20091222,3889590.080000000074506,3926155.800000000279397,4162798.560000000521541,11978545.440000001341105
20091223,3879707.339999999850988,3874153.800000000279397,4072639.260000000707805,11826501.400000002235174
20091224,3916414.659999999683350,3847112.760000000707805,4080367.200000000186265,11843895.620000001043081
20091228,3892413.720000000204891,3878313.959999999962747,4043015.490000000223517,11813744.169999999925494
20091229,3897355.089999999850988,3858553.200000000651926,3973464.030000000726432,11729373.320000002160668
20091230,3879707.339999999850988,3854393.040000000502914,3994071.870000000577420,11728173.250000001862645
20091231,3821116.810000000055879,3800310.959999999962747,3925808.400000000372529,11547237.169999999925494
20100104,3965828.359999999869615,3849192.839999999850988,4061047.350000000558794,11876069.550000000745058
20100105,4095715.800000000279397,3864793.439999999944121,4054607.400000000372529,12015117.640000000596046
20100106,4219955.960000000894070,3916795.439999999944121,4094535.090000000316650,12231287.490000000223517
20100107,4390786.179999999701977,3923035.680000000167638,4251669.869999999180436,12565492.729999998584390
20100108,4348431.580000000074506,3920955.600000000558794,4211742.180000001564622,12481130.360000003129244
20100111,4296900.150000000372529,3936556.200000000651926,4240077.960000000894070,12473535.310000002384186
20100112,4265840.109999999403954,3905355.000000000000000,4128022.830000000074506,12299218.939999999478459
20100113,4317371.539999999105930,4048880.520000000018626,4191134.340000000316650,12557387.399999998509884
20100114,4345607.939999999478459,4159124.760000000707805,4291597.560000000521541,12796331.259999999776483
20100115,4293370.599999999627471,4105042.680000000167638,4346981.130000000819564,12745395.410000000149012
20100119,4281370.129999998956919,4224647.279999999329448,4524723.750000000000000,13030742.159999998286366
20100120,4249604.179999999701977,4267288.919999999925494,4450020.330000000074506,12966914.429999999701977
20100121,4179013.180000000167638,4168485.120000000111759,4263261.780000001192093,12610761.080000001937151
20100122,4078068.050000000279397,4042640.279999999795109,4270989.720000000670552,12391699.050000000745058
20100125,4078773.959999999962747,4031199.839999999850988,4250381.880000000819564,12360356.679999999701977
20100126,4073832.589999999850988,4012479.120000000111759,4178254.439999999944121,12264567.150000000372529
20100127,4371726.609999999403954,4018719.360000000335276,4281293.640000000596046,12671740.609999999403954
20100128,4416198.939999999478459,3949036.680000000167638,4305765.450000001117587,12671002.070000000298023
20100129,4277840.580000000074506,3970877.520000000018626,4250381.880000000819564,12499100.980000000447035
20100201,4355490.679999999701977,3983358.000000000000000,4267125.750000000000000,12605975.429999999701977
20100202,4372432.519999999552965,4112322.959999999962747,4385620.830000000074506,12870377.310000000521541
