訓練日期,20100112 - 20100415
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490112.800000000745058
真實報酬,1490112.800000000745058

夏普值報酬,0.140311280000000
夏普值風險,0.041668912957758
夏普值,3.367289186119225

預期報酬,21521.871208135376946
風險,115703.141139677100000
趨勢值,0.186009394353038
找到最佳解世代,2227
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),TRV[22](3),
20100324,3825756.360000000335276,3572954.759999999776483,3712396.920000000391155,11111109.040000000968575
20100325,3861267.659999999683350,3578303.460000000428408,3713770.339999999850988,11153342.460000000894070
20100326,3876655.890000000130385,3597558.780000000260770,3732311.510000000242144,11206527.179999999701977
20100329,3858900.240000000223517,3587396.250000000000000,3760466.620000000111759,11206764.109999999403954
20100330,3869553.629999999888241,3596489.040000000037253,3703469.689999999944121,11169513.359999999403954
20100331,3829307.490000000223517,3568675.800000000279397,3704156.399999999906868,11102140.690000001341105
20100401,3832858.620000000577420,3614674.620000000111759,3702782.980000000447035,11150317.220000000670552
20100405,3866002.499999999534339,3638743.770000000018626,3662267.089999999850988,11167014.359999999403954
20100406,3852981.689999999944121,3626976.630000000353903,3611450.550000000279397,11091409.870000001043081
20100407,3860083.950000000186265,3621093.060000000521541,3605270.160000000149012,11086448.170000001788139
20100408,3902697.509999999776483,3677789.280000000260770,3588789.120000000111759,11169276.910000000149012
20100409,3935841.390000000130385,3673510.320000000298023,3598403.060000000055879,11207755.770000001415610
20100412,3963066.719999999739230,3665487.270000000018626,3572308.080000000540167,11200863.070000000298023
20100413,4064865.780000000726432,3686347.200000000186265,3586042.280000000260770,11337256.260000001639128
20100414,4140623.219999999739230,3713090.700000000186265,3633425.270000000018626,11487140.189999999478459
20100415,4159562.580000000074506,3699184.080000000074506,3631365.140000000130385,11490112.800000000745058
