訓練日期,20140219 - 20140521
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10829194.309999998658895
真實報酬,829194.309999998658895

夏普值報酬,0.074219431000000
夏普值風險,0.023685244786076
夏普值,3.133572469710433

預期報酬,12903.011568889127375
風險,49628.811603945621755
趨勢值,0.259990339318609
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,7
CVX[5](2),JNJ[12](1),KO[14](3),MCD[15](8),TRV[22](15),UNH[23](18),VZ[26](11),
20140310,1468240.620000000344589,1448409.719999999972060,1473558.500000000000000,1416371.860000000102445,1418581.119999999878928,1506934.449999999953434,1461193.450000000186265,10193292.719999998807907
20140311,1451384.200000000186265,1449029.679999999934807,1479277.250000000000000,1469631.520000000018626,1415194.719999999972060,1504999.550000000046566,1450940.680000000167638,10220460.599999999627471
20140312,1465832.560000000288710,1450734.569999999832362,1466696.000000000000000,1468590.129999999888241,1412654.919999999925494,1501516.729999999981374,1440377.220000000204891,10206405.130000000819564
20140313,1450623.760000000242144,1441435.169999999925494,1447633.500000000000000,1448654.949999999953434,1398432.040000000037253,1490100.820000000065193,1430124.450000000186265,10107007.690000001341105
20140314,1446187.860000000102445,1438490.359999999869615,1455258.500000000000000,1451779.119999999878928,1399617.279999999795109,1464753.630000000121072,1431677.900000000139698,10087767.650000000372529
20140317,1458481.640000000130385,1455849.239999999990687,1459071.000000000232831,1452076.659999999916181,1414517.439999999944121,1485263.570000000065193,1438823.770000000251457,10164086.320000000298023
20140318,1473310.220000000204891,1456004.229999999981374,1464027.250000000000000,1447762.330000000074506,1421459.560000000055879,1509256.330000000074506,1450940.680000000167638,10222763.599999999627471
20140319,1460129.260000000242144,1450579.580000000074506,1454114.750000000000000,1429761.159999999916181,1408760.560000000055879,1547180.369999999878928,1440377.220000000204891,10190905.900000000372529
20140320,1464058.200000000186265,1458794.050000000046566,1465933.500000000000000,1437199.659999999916181,1409268.520000000018626,1577558.300000000046566,1466785.870000000111759,10279601.100000001490116
20140321,1465579.080000000074506,1486847.239999999990687,1465552.250000000000000,1420388.649999999906868,1418581.119999999878928,1573881.990000000223517,1457465.169999999925494,10288298.500000001862645
20140324,1468367.360000000102445,1475532.969999999972060,1464027.250000000000000,1430951.320000000065193,1419935.679999999934807,1572721.050000000046566,1460572.070000000065193,10292110.700000001117587
20140325,1484083.120000000344589,1509320.789999999804422,1472414.750000000000000,1426934.530000000027940,1422814.119999999878928,1569238.229999999981374,1467096.560000000055879,10351905.100000001490116
20140326,1491941.000000000000000,1504206.119999999878928,1472033.500000000000000,1425893.139999999897555,1412654.919999999925494,1577751.790000000270084,1460572.070000000065193,10345055.540000000968575
20140327,1491434.040000000270084,1507770.889999999897555,1480039.750000000000000,1430653.780000000027940,1413670.839999999850988,1567690.310000000055879,1481698.989999999990687,10372961.599999999627471
20140328,1501953.460000000195578,1510250.729999999981374,1484996.000000000000000,1446720.939999999944121,1422136.839999999850988,1579299.710000000195578,1473310.360000000102445,10418671.040000000968575
20140331,1507149.800000000046566,1522494.939999999944121,1473939.749999999767169,1458473.770000000018626,1440931.359999999869615,1586458.840000000083819,1477970.710000000195578,10467422.169999999925494
20140401,1508290.460000000195578,1518000.229999999981374,1464408.499999999767169,1456539.760000000009313,1428909.639999999897555,1583556.490000000223517,1483563.130000000121072,10443271.210000000894070
20140402,1512726.360000000102445,1522494.939999999944121,1461358.500000000000000,1451927.889999999897555,1433311.959999999962747,1579106.219999999972060,1485737.960000000195578,10446666.830000000074506
20140403,1508797.420000000391155,1522959.909999999916181,1451446.000000000000000,1452969.280000000027940,1438899.520000000018626,1591489.580000000074506,1495058.660000000149012,10461623.370000001043081
20140404,1505755.660000000149012,1525439.750000000000000,1457164.750000000000000,1456093.449999999953434,1442624.560000000055879,1577558.300000000046566,1492573.140000000130385,10457212.610000001266599
20140407,1487251.620000000344589,1517225.280000000027940,1472414.750000000000000,1443299.229999999981374,1439238.159999999916181,1568851.250000000000000,1495058.660000000149012,10423341.950000001117587
20140408,1493081.660000000149012,1519860.109999999869615,1483089.750000000000000,1459217.619999999878928,1434666.520000000018626,1560724.669999999925494,1497854.870000000111759,10448498.199999999254942
20140409,1509557.860000000102445,1533654.219999999972060,1486521.000000000000000,1463234.409999999916181,1453122.399999999906868,1574849.440000000176951,1490709.000000000000000,10511651.330000000074506
20140410,1479013.520000000251457,1496301.630000000121072,1482708.500000000000000,1479301.570000000065193,1439068.839999999850988,1547760.840000000083819,1474863.810000000055879,10399021.710000000894070
20140411,1483322.680000000167638,1501416.300000000046566,1472796.000000000000000,1477218.790000000037253,1444317.759999999776483,1527637.880000000121072,1462436.210000000195578,10369148.620000001043081
20140414,1504488.260000000242144,1505601.030000000027940,1476608.499999999767169,1489417.929999999934807,1447704.159999999916181,1532088.150000000139698,1468650.010000000242144,10424561.039999999105930
20140415,1524766.660000000149012,1537528.969999999972060,1531889.750000000000000,1500129.369999999878928,1454307.639999999897555,1538473.320000000065193,1457775.860000000102445,10544874.569999998435378
20140416,1544157.880000000121072,1530554.419999999925494,1547521.000000000232831,1500129.369999999878928,1469377.119999999878928,1512932.640000000130385,1463368.280000000260770,10568043.710000000894070
20140417,1567604.780000000260770,1533809.209999999729916,1552477.250000000000000,1491500.709999999962747,1467683.919999999925494,1466301.550000000046566,1478902.780000000260770,10558283.199999999254942
20140421,1574702.220000000204891,1549928.169999999925494,1553621.000000000000000,1482872.050000000046566,1462942.959999999962747,1450241.880000000121072,1490709.000000000000000,10565020.280000001192093
20140422,1571660.460000000195578,1552717.989999999990687,1552096.000000000000000,1477665.099999999860302,1471239.639999999897555,1465914.570000000065193,1488844.860000000102445,10580141.619999999180436
20140423,1580405.520000000251457,1553337.949999999953434,1552858.499999999767169,1474838.469999999972060,1492235.319999999832362,1457594.500000000000000,1473621.050000000046566,10584894.310000000521541
20140424,1575462.660000000149012,1549308.209999999729916,1551714.750000000000000,1485401.139999999897555,1500024.040000000037253,1481974.240000000223517,1437891.700000000186265,10581779.739999998360872
20140425,1571533.720000000204891,1546673.380000000121072,1563533.500000000000000,1498641.669999999925494,1495283.079999999841675,1463979.669999999925494,1427328.239999999990687,10566976.259999999776483
20140428,1593586.480000000214204,1570696.830000000074506,1564296.000000000000000,1492393.330000000074506,1517802.639999999897555,1465527.590000000083819,1447833.780000000260770,10652139.650000002235174
20140429,1596628.240000000223517,1565892.139999999897555,1546758.500000000000000,1510096.959999999962747,1539136.959999999962747,1455079.130000000121072,1453115.510000000242144,10666710.439999999478459
20140430,1590924.940000000176951,1569921.880000000121072,1555146.000000000000000,1508311.719999999972060,1533718.719999999972060,1451983.290000000270084,1451872.750000000000000,10661882.300000000745058
20140501,1583574.020000000251457,1558142.639999999897555,1554764.750000000000000,1502063.379999999888241,1537951.719999999972060,1450241.880000000121072,1467096.560000000055879,10653837.950000001117587
20140502,1580785.740000000223517,1539233.859999999869615,1561246.000000000000000,1509055.570000000065193,1540830.159999999916181,1451789.800000000046566,1463989.660000000149012,10646933.790000000968575
20140505,1588897.100000000093132,1549928.169999999925494,1554002.250000000000000,1504741.239999999990687,1534903.959999999962747,1455659.600000000093132,1472378.290000000037253,10660513.609999999403954
20140506,1583954.240000000223517,1542333.659999999916181,1543708.500000000000000,1501914.610000000102445,1521866.319999999832362,1456240.070000000065193,1474863.810000000055879,10624884.210000000894070
20140507,1599923.480000000214204,1564032.259999999776483,1559720.999999999767169,1516940.379999999888241,1542015.399999999906868,1507514.919999999925494,1494437.280000000260770,10784587.719999998807907
20140508,1585475.120000000344589,1557677.669999999925494,1552858.499999999767169,1516791.610000000102445,1544893.839999999850988,1487778.940000000176951,1506554.190000000176951,10752032.869999999180436
20140509,1584714.680000000167638,1564032.259999999776483,1558196.000000000000000,1531371.070000000065193,1545909.759999999776483,1488939.880000000121072,1506243.500000000000000,10779410.150000000372529
20140512,1587376.220000000204891,1557987.649999999906868,1556289.750000000000000,1530329.679999999934807,1558439.439999999944121,1504225.590000000083819,1496301.419999999925494,10790952.750000000000000
20140513,1595107.360000000102445,1565737.149999999906868,1567346.000000000000000,1540297.270000000018626,1573170.279999999795109,1510030.290000000270084,1486670.030000000260770,10838361.379999998956919
20140514,1602331.540000000270084,1563412.300000000046566,1558958.500000000000000,1532858.770000000018626,1568767.959999999962747,1493196.660000000149012,1491641.070000000065193,10811169.800000000745058
20140515,1569252.400000000139698,1560622.479999999981374,1544852.250000000232831,1524973.959999999962747,1564027.000000000000000,1479845.850000000093132,1490087.620000000111759,10733664.559999998658895
20140516,1561267.780000000260770,1558917.589999999850988,1558958.500000000000000,1534495.239999999990687,1567582.719999999972060,1483135.180000000167638,1524574.210000000195578,10788934.220000000670552
20140519,1558352.760000000242144,1559847.530000000027940,1552096.000000000000000,1518874.389999999897555,1570799.799999999813735,1493777.130000000121072,1527059.729999999981374,10780810.339999999850988
20140520,1552649.460000000195578,1553802.919999999925494,1547139.750000000000000,1510543.270000000018626,1569106.599999999860302,1483328.669999999925494,1511525.229999999981374,10728098.900000000372529
20140521,1573688.300000000046566,1567597.030000000027940,1558196.000000000000000,1525866.580000000074506,1572323.679999999934807,1503838.610000000102445,1527681.110000000102445,10829194.309999998658895
