訓練日期,20140505 - 20140805
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11337685.649999998509884
真實報酬,1337685.649999998509884

夏普值報酬,0.125068565000000
夏普值風險,0.048308209882541
夏普值,2.588971218434692

預期報酬,26235.682080392874923
風險,107959.868524240897386
趨勢值,0.243013282982111
找到最佳解世代,2568
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),CSCO[4](5),DIS[6](4),INTC[11](3),
20140529,2680741.959999999497086,2689623.459999999497086,2615799.879999999888241,2552063.549999999813735,10538228.849999997764826
20140530,2670700.740000000223517,2683084.719999999739230,2615177.299999999813735,2586141.509999999776483,10555104.269999999552965
20140602,2652390.279999999795109,2700521.359999999869615,2623270.839999999850988,2580461.850000000093132,10556644.330000000074506
20140603,2689897.189999999944121,2689623.459999999497086,2611130.529999999795109,2618326.250000000000000,10608977.429999999701977
20140604,2720611.509999999776483,2670007.239999999757856,2622336.969999999739230,2612646.589999999850988,10625602.309999998658895
20140605,2731243.390000000130385,2691803.039999999571592,2639146.629999999888241,2618326.250000000000000,10680519.309999998658895
20140606,2723564.809999999590218,2705970.309999999590218,2633854.699999999720603,2666603.359999999869615,10729993.179999997839332
20140609,2767273.649999999906868,2702700.939999999944121,2660936.929999999701977,2641991.500000000000000,10772903.019999999552965
20140610,2783516.799999999813735,2724496.739999999757856,2638212.759999999776483,2673229.629999999422580,10819455.929999997839332
20140611,2771998.929999999701977,2728855.899999999441206,2624516.000000000000000,2643884.719999999739230,10769255.549999998882413
20140612,2725632.120000000111759,2687443.879999999888241,2577511.209999999497086,2646724.549999999813735,10637311.759999997913837
20140613,2695803.790000000037253,2691803.039999999571592,2577511.209999999497086,2827527.060000000055879,10792645.099999999627471
20140616,2722974.149999999906868,2673276.609999999869615,2593075.709999999497086,2840779.600000000093132,10830106.069999998435378
20140617,2719430.189999999944121,2670007.239999999757856,2588717.649999999441206,2835099.939999999478459,10813255.019999999552965
20140618,2722383.490000000223517,2684174.509999999776483,2601791.829999999608845,2833206.719999999739230,10841556.550000000745058
20140619,2712932.929999999701977,2692892.830000000074506,2607706.339999999850988,2848352.479999999515712,10861884.579999998211861
20140620,2684876.579999999608845,2705970.309999999590218,2578133.789999999571592,2858765.189999999478459,10827745.869999997317791
20140623,2682513.939999999944121,2691803.039999999571592,2576266.049999999813735,2861605.020000000018626,10812188.049999998882413
20140624,2666270.790000000037253,2673276.609999999869615,2573775.729999999981374,2887163.489999999757856,10800486.620000001043081
20140625,2668633.429999999701977,2693982.619999999646097,2611753.109999999869615,2923134.669999999459833,10897503.829999998211861
20140626,2684581.250000000000000,2686354.089999999385327,2628874.060000000055879,2913668.569999999832362,10913477.970000000670552
20140627,2716476.890000000130385,2691803.039999999571592,2655333.709999999497086,2927867.719999999739230,10991481.359999999403954
20140630,2744533.240000000223517,2708149.890000000130385,2669030.469999999739230,2925027.889999999664724,11046741.490000000223517
20140701,2761957.709999999497086,2733215.059999999590218,2691754.639999999664724,2932600.770000000018626,11119528.179999999701977
20140702,2760776.390000000130385,2727766.109999999869615,2690820.769999999552965,2932600.770000000018626,11111964.039999999105930
20140703,2777019.540000000037253,2745202.750000000000000,2703272.370000000111759,2947746.529999999795109,11173241.189999999478459
20140707,2834313.559999999590218,2749561.909999999683350,2695490.120000000111759,2937333.819999999832362,11216699.409999998286366
20140708,2816003.099999999627471,2732125.270000000018626,2672765.949999999720603,2914615.179999999701977,11135509.499999998137355
20140709,2817184.419999999925494,2772447.500000000000000,2715101.389999999664724,2924081.279999999795109,11228814.589999999850988
20140710,2806847.870000000111759,2772447.500000000000000,2703894.949999999720603,2959105.850000000093132,11242296.169999999925494
20140711,2812163.809999999590218,2781165.819999999832362,2704828.819999999832362,2958159.239999999757856,11256317.689999999478459
20140714,2848489.399999999906868,2772447.500000000000000,2700782.049999999813735,2980877.879999999422580,11302596.830000000074506
20140715,2815117.109999999403954,2797512.669999999925494,2681793.359999999869615,3001703.299999999813735,11296126.439999997615814
20140716,2799169.290000000037253,2831296.159999999683350,2656890.159999999683350,3280006.639999999664724,11567362.250000000000000
20140717,2749258.520000000018626,2793153.509999999776483,2646928.879999999888241,3190078.689999999944121,11379419.599999999627471
20140718,2788832.740000000223517,2823667.629999999888241,2671209.500000000000000,3190078.689999999944121,11473788.560000000521541
20140721,2774361.569999999832362,2817128.890000000130385,2669030.469999999739230,3224156.649999999906868,11484677.580000000074506
20140722,2797397.309999999590218,2828026.789999999571592,2683661.099999999627471,3293259.179999999701977,11602344.379999998956919
20140723,2870343.819999999832362,2798602.459999999497086,2678369.169999999925494,3265807.489999999757856,11613122.939999999478459
20140724,2865618.540000000037253,2814949.309999999590218,2702027.209999999497086,3242142.239999999757856,11624737.299999998882413
20140725,2884519.659999999683350,2830206.369999999646097,2684283.679999999701977,3242142.239999999757856,11641151.949999999254942
20140728,2924389.209999999497086,2824757.419999999925494,2712922.359999999869615,3240249.019999999552965,11702318.009999997913837
20140729,2905488.089999999850988,2801871.830000000074506,2683349.810000000055879,3236462.579999999608845,11627172.310000000521541
20140730,2898695.500000000000000,2793153.509999999776483,2714790.099999999627471,3251608.339999999850988,11658247.449999999254942
20140731,2823386.349999999627471,2749561.909999999683350,2673388.529999999795109,3208064.279999999795109,11454401.069999998435378
20140801,2839038.839999999850988,2724496.739999999757856,2657824.029999999795109,3193865.129999999888241,11415224.739999998360872
20140804,2823091.020000000018626,2743023.169999999925494,2715723.969999999739230,3223210.039999999571592,11505048.199999999254942
20140805,2809210.509999999776483,2721227.369999999646097,2700470.759999999776483,3106777.009999999776483,11337685.649999998509884
