訓練日期,20110621 - 20110921
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11392156.260000001639128
真實報酬,1392156.260000001639128

夏普值報酬,0.130515626000000
夏普值風險,0.033899155014676
夏普值,3.850114433338980

預期報酬,23890.329368173821422
風險,307156.389840249205008
趨勢值,0.077779040770075
找到最佳解世代,2265
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),KO[14](3),MCD[15](2),
20110728,4141314.720000000204891,3484202.949999999720603,3498204.990000000223517,11123723.660000000149012
20110729,4127256.430000000167638,3443700.949999999720603,3486111.690000000409782,11057070.070000000298023
20110801,4193848.330000000074506,3429525.249999999534339,3482483.700000000186265,11105858.280000001192093
20110802,4110978.410000000149012,3395098.549999999813735,3428870.070000000298023,10934948.030000001192093
20110803,4149453.729999999981374,3462939.400000000372529,3448219.350000000558794,11060613.480000000447035
20110804,3988893.259999999776483,3332320.449999999720603,3397427.490000000223517,10718642.199999999254942
20110805,3948938.120000000111759,3380922.850000000093132,3429676.290000000037253,10759538.260000001639128
20110808,3733624.310000000055879,3296881.200000000186265,3309952.620000000111759,10340459.129999998956919
20110809,3953377.580000000074506,3375860.100000000093132,3465149.969999999739230,10794388.649999998509884
20110810,3844610.810000000055879,3238153.299999999813735,3389365.290000000037253,10472130.399999998509884
20110811,3950417.940000000409782,3365734.600000000093132,3478049.490000000223517,10794203.030000001192093
20110812,3985193.709999999962747,3399148.750000000000000,3486917.910000000149012,10871261.370000001043081
20110815,4052525.520000000484288,3452813.899999999906868,3499817.429999999701977,11005157.849999999627471
20110816,4021449.300000000279397,3451801.350000000093132,3493770.780000000260770,10967022.429999999701977
20110817,4021449.300000000279397,3507491.600000000093132,3527228.910000000149012,11056170.810000000521541
20110818,3869027.840000000316650,3430537.800000000279397,3451041.120000000111759,10750607.760000001639128
20110819,3763220.709999999962747,3397123.649999999441206,3516344.940000000409782,10676690.300000000745058
20110822,3767660.170000000391155,3406236.600000000093132,3537709.770000000484288,10711607.540000000968575
20110823,3948938.120000000111759,3496353.549999999813735,3609060.240000000223517,11054352.910000000149012
20110824,3976314.790000000502914,3527742.600000000093132,3633246.839999999850988,11137305.230000000447035
20110825,3950417.940000000409782,3441675.850000000093132,3576005.219999999739230,10968100.010000001639128
20110826,4054745.250000000000000,3468002.149999999906868,3625184.640000000596046,11147933.040000000968575
20110829,4122077.060000000055879,3530780.249999999534339,3659852.100000000558794,11312710.410000000149012
20110830,4122077.060000000055879,3536855.549999999813735,3659448.990000000223517,11318382.599999999627471
20110831,4068063.629999999888241,3567232.049999999813735,3644533.919999999925494,11279830.599999999627471
20110901,4027368.580000000074506,3567232.049999999813735,3630828.179999999701977,11225429.809999998658895
20110902,3954117.490000000223517,3530780.249999999534339,3591323.400000000372529,11076222.140000000596046
20110906,4014050.200000000186265,3515592.000000000000000,3580439.429999999701977,11110082.629999998956919
20110907,4058444.800000000279397,3584445.399999999906868,3599385.600000000558794,11242276.800000000745058
20110908,4060664.530000000260770,3603683.850000000093132,3571974.120000000111759,11236323.500000000000000
20110909,3990373.080000000074506,3512554.349999999627471,3427660.740000000223517,10930589.169999999925494
20110912,4016269.930000000167638,3512554.349999999627471,3474421.500000000000000,11003246.779999999329448
20110913,4065843.900000000372529,3498378.649999999441206,3471599.730000000447035,11035823.280000001192093
20110914,4114677.959999999962747,3532805.350000000093132,3496995.660000000149012,11144479.970000000670552
20110915,4153893.190000000409782,3595583.449999999720603,3550206.179999999701977,11299683.820000000298023
20110916,4233063.560000000521541,3606721.499999999534339,3559074.600000000558794,11398860.660000000149012
20110919,4350709.250000000000000,3568244.600000000093132,3580036.320000000298023,11498991.169999999925494
20110920,4369946.910000000149012,3577357.549999999813735,3600191.820000000298023,11547497.280000001192093
20110921,4356628.530000000260770,3507491.600000000093132,3528035.129999999888241,11392156.260000001639128
