代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12674963.860000001266599
真實報酬,2674963.860000001266599

夏普值報酬,0.258796386000000
夏普值風險,0.081278911010407
夏普值,3.184053314479851

二次趨勢線,42.789193141356783 x^2 + 781.774842076810955 x + 10000000.000000000000000
二次加權預期報酬,15130.417608811783793
風險,190509.765007554320619
二次加權趨勢值,0.079420693255340
一次趨勢線,8852.854497873318905 x + 10000000.000000000000000
一次預期報酬,8852.854497873318905
一次風險,357824.663241981936153
一次趨勢值,0.024740761069023
找到最佳解世代,1926
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](7),KO[14](6),MCD[15](3),PG[21](1),
FS( 39 ),2033372.500000000232831,2650874.830000000074506,2728884.740000000689179,2735147.729999999981374,10148279.800000000745058
FS( 40 ),2045053.240000000223517,2642763.279999999795109,2758282.780000000260770,2747099.329999999608845,10193198.629999998956919
FS( 41 ),2085996.040000000270084,2669801.779999999795109,2769382.040000000502914,2770404.949999999720603,10295584.810000000521541
FS( 42 ),2136692.860000000335276,2688187.959999999962747,2817678.820000000298023,2779069.859999999869615,10421629.500000000000000
FS( 43 ),2115378.520000000018626,2648711.750000000000000,2838827.410000000149012,2773392.849999999627471,10376310.529999999329448
FS( 44 ),2171494.240000000223517,2725501.089999999850988,2827578.160000000149012,2823888.359999999869615,10548461.849999999627471
FS( 45 ),2188593.880000000353903,2687106.419999999925494,2780481.300000000279397,2788332.349999999627471,10444513.950000001117587
FS( 46 ),2111043.400000000372529,2681157.949999999720603,2775531.630000000353903,2788033.560000000055879,10355766.540000000968575
FS( 47 ),2118991.120000000577420,2670342.550000000279397,2781681.220000000204891,2795204.519999999552965,10366219.410000000149012
FS( 48 ),2080817.980000000214204,2654660.220000000204891,2744333.710000000428408,2762337.620000000111759,10242149.530000001192093
FS( 49 ),2067571.780000000260770,2662771.770000000018626,2769682.020000000484288,2779667.439999999944121,10279693.010000001639128
FS( 50 ),2073833.620000000344589,2678994.870000000111759,2753783.080000000540167,2805960.959999999962747,10312572.530000001192093
FS( 51 ),2097917.620000000577420,2661690.229999999981374,2752133.190000000409782,2809546.439999999944121,10321287.480000000447035
FS( 52 ),2093823.340000000316650,2675209.479999999981374,2796380.240000000689179,2883048.779999999795109,10448461.839999999850988
FS( 53 ),2074796.980000000214204,2668179.470000000204891,2749283.380000000353903,2887530.629999999888241,10379790.460000000894070
FS( 54 ),2022775.540000000270084,2613561.699999999720603,2711785.880000000353903,2771898.899999999906868,10120022.020000001415610
FS( 55 ),2047702.480000000214204,2613020.930000000167638,2695586.960000000428408,2763532.779999999795109,10119843.150000000372529
FS( 56 ),2017838.320000000298023,2590308.589999999850988,2687337.510000000242144,2741721.109999999869615,10037205.529999999329448
FS( 57 ),1976895.520000000251457,2570840.870000000111759,2605142.990000000689179,2718415.489999999757856,9871294.870000001043081
FS( 58 ),1932580.960000000195578,2572463.180000000167638,2612192.520000000484288,2718116.699999999720603,9835353.360000001266599
FS( 59 ),1904402.680000000167638,2485399.209999999962747,2554146.390000000596046,2610253.509999999776483,9554201.790000000968575
FS( 60 ),2026508.560000000288710,2538394.669999999925494,2610392.640000000596046,2691823.179999999701977,9867119.050000000745058
FS( 61 ),2051074.240000000223517,2570300.100000000093132,2635590.960000000428408,2749489.649999999906868,10006454.950000001117587
FS( 62 ),2049870.040000000270084,2552454.690000000409782,2633341.110000000335276,2724391.290000000037253,9960057.130000000819564
FS( 63 ),2069137.240000000223517,2560566.240000000223517,2663489.100000000093132,2746501.750000000000000,10039694.330000000074506
FS( 64 ),2076242.020000000251457,2537853.899999999906868,2640840.610000000335276,2727379.189999999944121,9982315.720000000670552
FS( 65 ),2030482.420000000391155,2522171.570000000298023,2623441.770000000484288,2708256.629999999888241,9884352.390000000596046
FS( 66 ),2090812.840000000316650,2572463.180000000167638,2674138.390000000596046,2763532.779999999795109,10100947.190000001341105
FS( 67 ),2131996.479999999981374,2538935.440000000409782,2703236.450000000186265,2752477.549999999813735,10126645.919999999925494
FS( 68 ),2142232.180000000167638,2567596.250000000000000,2708936.070000000298023,2762636.409999999683350,10181400.910000000149012
FS( 69 ),2164389.459999999962747,2518386.180000000167638,2704286.380000000353903,2717519.120000000111759,10104581.140000000596046
FS( 70 ),2156321.320000000298023,2545424.680000000167638,2723185.120000000577420,2724092.500000000000000,10149023.620000001043081
FS( 71 ),2160536.020000000018626,2560025.470000000204891,2735484.300000000279397,2742019.899999999906868,10198065.690000001341105
FS( 72 ),2153310.820000000298023,2549750.839999999850988,2718235.450000000186265,2723494.919999999925494,10144792.030000001192093
FS( 73 ),2125132.540000000037253,2572463.180000000167638,2715235.650000000372529,2749190.859999999869615,10162022.230000000447035
FS( 74 ),2131996.479999999981374,2537313.130000000353903,2690187.320000000298023,2730068.299999999813735,10089565.230000000447035
FS( 75 ),2105865.340000000316650,2544883.910000000149012,2716585.560000000521541,2708256.629999999888241,10075591.440000001341105
FS( 76 ),2162583.160000000614673,2574626.259999999776483,2738484.100000000093132,2731562.250000000000000,10207255.769999999552965
FS( 77 ),2132839.420000000391155,2580574.729999999981374,2768482.100000000093132,2702280.829999999608845,10184177.080000000074506
FS( 78 ),2130190.180000000167638,2610317.080000000074506,2791280.580000000540167,2833748.429999999701977,10365536.269999999552965
FS( 79 ),2135006.979999999981374,2578952.419999999925494,2810479.300000000279397,2817613.769999999552965,10342052.470000000670552
FS( 80 ),2172457.600000000558794,2561647.779999999795109,2759932.670000000391155,2796698.469999999739230,10290736.519999999552965
FS( 81 ),2165593.660000000614673,2550832.380000000353903,2753933.070000000298023,2794308.149999999906868,10264667.260000001639128
FS( 82 ),2163907.780000000260770,2563270.089999999850988,2732484.500000000000000,2794905.729999999981374,10254568.099999999627471
FS( 83 ),2193892.360000000335276,2588145.509999999776483,2726484.900000000372529,2824187.149999999906868,10332709.919999999925494
FS( 84 ),2210149.060000000521541,2602746.300000000279397,2681637.890000000596046,2882451.199999999720603,10376984.450000001117587
FS( 85 ),2220264.340000000316650,2633570.190000000409782,2650739.950000000186265,2912330.199999999720603,10416904.680000001564622
FS( 86 ),2245070.860000000335276,2663312.540000000037253,2663189.120000000577420,2929062.439999999944121,10500634.960000000894070
FS( 87 ),2244589.180000000167638,2663853.310000000055879,2663489.100000000093132,2911433.829999999608845,10483365.419999999925494
FS( 88 ),2224479.040000000037253,2663853.310000000055879,2642640.490000000689179,2925775.750000000000000,10456748.589999999850988
FS( 89 ),2216651.740000000223517,2672505.630000000353903,2629141.390000000596046,2902470.129999999888241,10420768.890000000596046
FS( 90 ),2222311.479999999981374,2676831.790000000037253,2621191.920000000391155,2919501.159999999683350,10439836.349999999627471
FS( 91 ),2202803.439999999944121,2682780.259999999776483,2613842.410000000149012,2936233.399999999906868,10435659.509999999776483
FS( 92 ),2234112.640000000596046,2685484.109999999869615,2609492.700000000186265,2965813.609999999869615,10494903.060000000521541
FS( 93 ),2268914.020000000018626,2692514.120000000111759,2612192.520000000484288,2965216.029999999795109,10538836.690000001341105
FS( 94 ),2260484.620000000577420,2465390.720000000204891,2637990.800000000279397,2941910.409999999683350,10305776.550000000745058
FS( 95 ),2316841.180000000167638,2446463.770000000018626,2699486.700000000186265,2942507.989999999757856,10405299.640000000596046
FS( 96 ),2316118.660000000614673,2424292.199999999720603,2688687.420000000391155,2987625.279999999795109,10416723.560000000521541
FS( 97 ),2310338.500000000000000,2438892.990000000223517,2707286.180000000633299,2966411.189999999944121,10422928.860000001266599
FS( 98 ),2309977.240000000223517,2479991.509999999776483,2742083.860000000335276,2981350.689999999944121,10513403.300000000745058
FS( 99 ),2316841.180000000167638,2448626.850000000093132,2747483.500000000000000,2995393.819999999832362,10508345.349999999627471
FS( 100 ),2287819.959999999962747,2430240.669999999925494,2739084.060000000521541,2975076.099999999627471,10432220.789999999105930
FS( 101 ),2267589.400000000372529,2416721.419999999925494,2748083.460000000428408,2982844.639999999664724,10415238.920000001788139
FS( 102 ),2211834.939999999944121,2430240.669999999925494,2750333.310000000521541,2955355.959999999962747,10347764.879999998956919
FS( 103 ),2229536.680000000167638,2451871.470000000204891,2757532.830000000540167,2944599.519999999552965,10383540.500000000000000
FS( 104 ),2229897.939999999944121,2454034.550000000279397,2775681.620000000577420,2941312.829999999608845,10400926.940000001341105
FS( 105 ),2213520.820000000298023,2468635.339999999850988,2708786.080000000540167,2954160.799999999813735,10345103.039999999105930
FS( 106 ),2215808.800000000279397,2465931.490000000223517,2720185.320000000298023,2960734.179999999701977,10362659.790000000968575
FS( 107 ),2221227.700000000186265,2457819.940000000409782,2730384.640000000596046,2955953.540000000037253,10365385.820000000298023
FS( 108 ),2197866.220000000204891,2448626.850000000093132,2707736.150000000372529,2944599.519999999552965,10298828.740000000223517
FS( 109 ),2182452.459999999962747,2424832.970000000204891,2692437.170000000391155,2940416.459999999962747,10240139.059999998658895
FS( 110 ),2197023.280000000260770,2497296.149999999906868,2716135.590000000782311,2975374.889999999664724,10385829.910000000149012
FS( 111 ),2215808.800000000279397,2490266.139999999664724,2727384.840000000782311,2989418.019999999552965,10422877.800000000745058
FS( 112 ),2181368.680000000167638,2499459.229999999981374,2730834.610000000335276,3023181.290000000037253,10434843.810000000521541
FS( 113 ),2187028.420000000391155,2471339.190000000409782,2741033.930000000633299,3027364.349999999627471,10426765.890000000596046
FS( 114 ),2194494.459999999962747,2449708.389999999664724,2779881.340000000782311,3060828.829999999608845,10484913.019999999552965
FS( 115 ),2208824.439999999944121,2455656.859999999869615,2759182.720000000204891,3033041.359999999869615,10456705.379999998956919
FS( 116 ),2217374.260000000242144,2463768.410000000149012,2746583.560000000521541,3044694.169999999925494,10472420.400000000372529
FS( 117 ),2241097.000000000000000,2462146.100000000093132,2774481.700000000186265,3039315.949999999720603,10517040.750000000000000
FS( 118 ),2287699.540000000037253,2461064.560000000055879,2795480.300000000279397,3062322.779999999795109,10606567.179999999701977
FS( 119 ),2273008.300000000279397,2483776.899999999906868,2802079.860000000335276,3037523.209999999962747,10596388.269999999552965
FS( 120 ),2284207.360000000335276,2489184.600000000093132,2785730.950000000186265,3046486.909999999683350,10605609.820000000298023
FS( 121 ),2280113.080000000540167,2522171.570000000298023,2812129.190000000409782,3078158.649999999906868,10692572.490000000223517
FS( 122 ),2279029.300000000279397,2520549.259999999776483,2812579.160000000149012,3074573.169999999925494,10686730.890000000596046
FS( 123 ),2288783.320000000298023,2518926.949999999720603,2840777.280000000260770,3093994.519999999552965,10742482.070000000298023
FS( 124 ),2310820.180000000167638,2534068.509999999776483,2848426.770000000484288,3108934.019999999552965,10802249.480000000447035
FS( 125 ),2355977.680000000167638,2526497.729999999981374,2825778.280000000260770,3096683.629999999888241,10804937.320000000298023
FS( 126 ),2339961.820000000298023,2518386.180000000167638,2825178.320000000298023,3099970.319999999832362,10783496.640000000596046
FS( 127 ),2391742.420000000391155,2497296.149999999906868,2825178.320000000298023,3098177.579999999608845,10812394.470000000670552
FS( 128 ),2413899.700000000186265,2513519.250000000000000,2847976.800000000279397,3090409.040000000037253,10865804.789999999105930
FS( 129 ),2433287.320000000298023,2512978.479999999981374,2860575.960000000428408,3096982.419999999925494,10903824.180000001564622
FS( 130 ),2451229.900000000372529,2517304.639999999664724,2847676.820000000298023,3136422.699999999720603,10952634.060000000521541
FS( 131 ),2419318.600000000558794,2523793.880000000353903,2851126.590000000782311,3127160.209999999962747,10921399.280000001192093
FS( 132 ),2401616.860000000335276,2522171.570000000298023,2838227.450000000186265,3126861.419999999925494,10888877.300000000745058
FS( 133 ),2426302.959999999962747,2525956.959999999962747,2833127.790000000502914,3129849.319999999832362,10915237.030000001192093
FS( 134 ),2454842.500000000000000,2527579.270000000018626,2873925.070000000298023,3139111.810000000055879,10995458.650000000372529
FS( 135 ),2467004.920000000391155,2541639.290000000037253,2877674.820000000298023,3159130.739999999757856,11045449.770000001415610
FS( 136 ),2462308.540000000037253,2538935.440000000409782,2875424.970000000204891,3179747.250000000000000,11056416.200000001117587
FS( 137 ),2487355.900000000372529,2556780.850000000093132,2874075.060000000521541,3162716.219999999739230,11080928.030000001192093
FS( 138 ),2476638.520000000018626,2567596.250000000000000,2923571.760000000242144,3168692.019999999552965,11136498.549999998882413
FS( 139 ),2466041.560000000521541,2563270.089999999850988,2908722.750000000000000,3167496.859999999869615,11105531.259999999776483
FS( 140 ),2481334.900000000372529,2607072.459999999962747,2928821.410000000149012,3082341.709999999962747,11099570.480000000447035
FS( 141 ),2489403.040000000037253,2594634.750000000000000,2964369.040000000502914,3098177.579999999608845,11146584.410000000149012
FS( 142 ),2486753.800000000279397,2587063.970000000204891,2968868.740000000689179,3085927.189999999944121,11128613.700000001117587
FS( 143 ),2451952.420000000391155,2609776.310000000055879,2961219.250000000000000,3163015.009999999776483,11185962.990000000223517
FS( 144 ),2434491.520000000018626,2618428.630000000353903,2956719.550000000279397,3130745.689999999944121,11140385.390000000596046
FS( 145 ),2453036.200000000186265,2653037.910000000149012,2963469.100000000093132,3181539.989999999757856,11251083.200000001117587
FS( 146 ),2394030.400000000372529,2627621.720000000204891,2912472.500000000000000,3135227.540000000037253,11069352.160000000149012
FS( 147 ),2420643.220000000204891,2616806.320000000298023,2919072.060000000521541,3154051.310000000055879,11110572.910000002011657
FS( 148 ),2415224.320000000298023,2634651.729999999981374,2962719.150000000372529,3169588.389999999664724,11182183.589999999850988
FS( 149 ),2404025.260000000242144,2621132.479999999981374,2983417.770000000484288,3157636.790000000037253,11166212.300000000745058
FS( 150 ),2345501.140000000596046,2595716.290000000037253,2970518.630000000353903,3128355.370000000111759,11040091.429999999701977
FS( 151 ),2350317.939999999944121,2587604.740000000223517,2970368.640000000596046,3139410.599999999627471,11047701.919999999925494
FS( 152 ),2343213.160000000614673,2563270.089999999850988,2965868.940000000409782,3114611.029999999795109,10986963.220000000670552
FS( 153 ),2343213.160000000614673,2605990.919999999925494,2999766.680000000633299,3167496.859999999869615,11116467.620000001043081
FS( 154 ),2292155.080000000540167,2598420.139999999664724,2985367.640000000596046,3170484.759999999776483,11046427.620000001043081
FS( 155 ),2307568.840000000316650,2633029.419999999925494,2970068.660000000149012,3155246.469999999739230,11065913.390000000596046
FS( 156 ),2309254.720000000204891,2659527.149999999906868,2985967.600000000093132,3188113.370000000111759,11142862.839999999850988
FS( 157 ),2316720.760000000242144,2681157.949999999720603,2999766.680000000633299,3230242.759999999776483,11227888.150000000372529
FS( 158 ),2319129.160000000614673,2660608.690000000409782,2988217.450000000186265,3210522.620000000111759,11178477.920000001788139
FS( 159 ),2299500.700000000186265,2641681.740000000223517,2984767.680000000633299,3206937.139999999664724,11132887.260000001639128
FS( 160 ),2305521.700000000186265,2628162.490000000223517,2997516.830000000540167,3178253.299999999813735,11109454.320000000298023
FS( 161 ),2274935.020000000018626,2684943.339999999850988,2999316.710000000428408,3188710.949999999720603,11147906.019999999552965
FS( 162 ),2312144.800000000279397,2695758.740000000223517,2984467.700000000186265,3189906.109999999869615,11182277.350000001490116
FS( 163 ),2331291.580000000540167,2682780.259999999776483,2966468.900000000372529,3187814.579999999608845,11168355.320000000298023
FS( 164 ),2306725.900000000372529,2655200.990000000223517,2949970.000000000000000,3121184.409999999683350,11033081.300000000745058
FS( 165 ),2287940.380000000353903,2628703.259999999776483,2940220.650000000372529,3113117.079999999608845,10969981.370000001043081
FS( 166 ),2301066.160000000614673,2663312.540000000037253,2988517.430000000633299,3147179.139999999664724,11100075.270000001415610
FS( 167 ),2286254.500000000000000,2656823.300000000279397,2973968.400000000372529,3074871.959999999962747,10991918.160000000149012
FS( 168 ),2282882.740000000223517,2702788.750000000000000,2981617.890000000596046,3101464.269999999552965,11068753.650000000372529
FS( 169 ),2351281.300000000279397,2703870.290000000037253,2994367.040000000502914,3127757.790000000037253,11177276.420000001788139
FS( 170 ),2368621.780000000260770,2746050.350000000093132,3001866.540000000502914,3189009.739999999757856,11305548.410000002011657
FS( 171 ),2374401.939999999944121,2779578.089999999850988,3045663.620000000577420,3208431.089999999850988,11408074.740000000223517
FS( 172 ),2375967.400000000372529,2784445.020000000018626,3082111.190000000409782,3249962.899999999906868,11492486.509999999776483
FS( 173 ),2384998.900000000372529,2778496.550000000279397,3019415.370000000577420,3248468.949999999720603,11431379.770000001415610
FS( 174 ),2384517.220000000204891,2775792.699999999720603,3048813.410000000149012,3268189.089999999850988,11477312.419999999925494
FS( 175 ),2395716.280000000260770,2792556.570000000298023,3073861.740000000689179,3277152.790000000037253,11539287.380000002682209
FS( 176 ),2436779.500000000000000,2764977.300000000279397,3067262.180000000633299,3313903.959999999962747,11582922.940000001341105
FS( 177 ),2477963.140000000596046,2774711.160000000149012,3079261.380000000353903,3322568.870000000111759,11654504.550000000745058
FS( 178 ),2492533.959999999962747,2750917.279999999795109,3057062.860000000335276,3316294.279999999795109,11616808.380000000819564
FS( 179 ),2498554.959999999962747,2738479.570000000298023,3067562.160000000149012,3274762.469999999739230,11579359.160000000149012
FS( 180 ),2504094.280000000260770,2764436.529999999795109,3068162.120000000577420,3299263.250000000000000,11635956.180000001564622
FS( 181 ),2543953.300000000279397,2793638.109999999869615,3076711.550000000279397,3338703.529999999795109,11753006.490000000223517
FS( 182 ),2521555.180000000167638,2787689.639999999664724,3063812.410000000149012,3322568.870000000111759,11695626.100000001490116
FS( 183 ),2474711.800000000279397,2807698.130000000353903,3058712.750000000000000,3356332.139999999664724,11697454.820000000298023
FS( 184 ),2465559.880000000353903,2799045.810000000055879,3085560.960000000428408,3338105.949999999720603,11688272.599999999627471
FS( 185 ),2485790.439999999944121,2764436.529999999795109,3068162.120000000577420,3278646.739999999757856,11597035.830000000074506
FS( 186 ),2493015.640000000596046,2762273.449999999720603,3093960.400000000372529,3280140.689999999944121,11629390.179999999701977
FS( 187 ),2504455.540000000037253,2753621.130000000353903,3114809.010000000242144,3276256.419999999925494,11649142.099999999627471
FS( 188 ),2532272.560000000521541,2790393.490000000223517,3094410.370000000577420,3301354.779999999795109,11718431.200000001117587
FS( 189 ),2530586.680000000167638,2810942.750000000000000,3143607.090000000782311,3330934.989999999757856,11816071.509999999776483
FS( 190 ),2554189.000000000000000,2817431.990000000223517,3192053.860000000335276,3408620.389999999664724,11972295.240000002086163
FS( 191 ),2546482.120000000577420,2817972.759999999776483,3168505.430000000633299,3380832.919999999925494,11913793.230000002309680
FS( 192 ),2563943.020000000018626,2812024.290000000037253,3182304.510000000242144,3407724.019999999552965,11965995.839999999850988
FS( 193 ),2552984.800000000279397,2789852.720000000204891,3181254.580000000540167,3373661.959999999962747,11897754.060000002384186
FS( 194 ),2537932.300000000279397,2802290.430000000167638,3194903.670000000391155,3398760.319999999832362,11933886.720000000670552
FS( 195 ),2577550.479999999981374,2814187.370000000111759,3190253.980000000447035,3417584.089999999850988,11999575.919999999925494
FS( 196 ),2628006.459999999962747,2818513.529999999795109,3194753.680000000633299,3435810.279999999795109,12077083.950000001117587
FS( 197 ),2633666.200000000186265,2819054.300000000279397,3213052.460000000428408,3450450.989999999757856,12116223.950000001117587
FS( 198 ),2616325.720000000204891,2819595.070000000298023,3205702.950000000186265,3462701.379999999888241,12104325.120000001043081
FS( 199 ),2596456.420000000391155,2821758.149999999906868,3205552.960000000428408,3464195.329999999608845,12087962.860000001266599
FS( 200 ),2582367.280000000260770,2813646.600000000093132,3238550.760000000242144,3449255.829999999608845,12083820.470000000670552
FS( 201 ),2565508.479999999981374,2779037.320000000298023,3207952.800000000279397,3436407.859999999869615,11988906.460000000894070
FS( 202 ),2544194.140000000596046,2769844.229999999981374,3224901.670000000391155,3445072.769999999552965,11984012.810000000521541
FS( 203 ),2565990.160000000614673,2938023.699999999720603,3214552.360000000335276,3401748.219999999739230,12120314.440000001341105
FS( 204 ),2585618.620000000577420,2908281.350000000093132,3191603.890000000596046,3364399.469999999739230,12049903.330000001937151
FS( 205 ),2595733.900000000372529,2869886.680000000167638,3216502.230000000447035,3369478.899999999906868,12051601.710000000894070
FS( 206 ),2612111.020000000018626,2929371.380000000353903,3233601.090000000782311,3428041.739999999757856,12203125.230000002309680
FS( 207 ),2625718.479999999981374,2919637.520000000018626,3224601.690000000409782,3465988.069999999832362,12235945.760000001639128
FS( 208 ),2617529.920000000391155,2905036.729999999981374,3185004.330000000540167,3597754.459999999962747,12305325.440000001341105
FS( 209 ),2573335.780000000260770,2846092.800000000279397,3160705.950000000186265,3526941.229999999981374,12107075.760000001639128
FS( 210 ),2562979.660000000614673,2813646.600000000093132,3168655.420000000391155,3487799.739999999757856,12033081.420000001788139
FS( 211 ),2554791.100000000558794,2829869.699999999720603,3217102.190000000409782,3479134.829999999608845,12080897.820000002160668
FS( 212 ),2467968.280000000260770,2793097.339999999850988,3156656.220000000204891,3378741.389999999664724,11796463.230000000447035
FS( 213 ),2514450.400000000372529,2826625.080000000074506,3211102.590000000782311,3414596.189999999944121,11966774.259999999776483
FS( 214 ),2503733.020000000018626,2875835.149999999906868,3252349.840000000782311,3451646.149999999906868,12083564.160000002011657
FS( 215 ),2547806.740000000223517,2903414.419999999925494,3270048.660000000149012,3509013.829999999608845,12230283.650000000372529
FS( 216 ),2529141.640000000596046,2888813.630000000353903,3317145.520000000484288,3489293.689999999944121,12224394.480000002309680
FS( 217 ),2492895.220000000204891,2876916.690000000409782,3257299.510000000242144,3466884.439999999944121,12093995.859999999403954
FS( 218 ),2508790.660000000614673,2893139.790000000037253,3295846.940000000409782,3503336.819999999832362,12201114.210000000894070
FS( 219 ),2427627.580000000540167,2865560.520000000018626,3247100.190000000409782,3459713.479999999981374,12000001.770000001415610
FS( 220 ),2430035.979999999981374,2913148.279999999795109,3273948.400000000372529,3507519.879999999888241,12124652.539999999105930
FS( 221 ),2452434.100000000558794,2942349.859999999869615,3276948.200000000186265,3561003.290000000037253,12232735.449999999254942
FS( 222 ),2504214.700000000186265,2957491.419999999925494,3281597.890000000596046,3592675.029999999795109,12335979.040000000968575
FS( 223 ),2614278.580000000540167,2913689.050000000279397,3276948.200000000186265,3552637.169999999925494,12357553.000000001862645
FS( 224 ),2654137.600000000558794,2925585.990000000223517,3310545.960000000428408,3561600.870000000111759,12451870.420000001788139
FS( 225 ),2661603.640000000596046,2946676.020000000018626,3292247.180000000633299,3568174.250000000000000,12468701.089999999850988
FS( 226 ),2618854.540000000037253,2906118.270000000018626,3219802.010000000242144,3505428.349999999627471,12250203.169999999925494
