代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13852533.210000000894070
真實報酬,3852533.210000000894070

夏普值報酬,0.376553321000000
夏普值風險,0.098700461723102
夏普值,3.815112051414683

二次趨勢線,40.744459488168026 x^2 + 4916.852286302982066 x + 10000000.000000000000000
二次加權預期報酬,18579.827701335332677
風險,249568.360948489222210
二次加權趨勢值,0.074447849201407
一次趨勢線,12602.245581170544028 x + 10000000.000000000000000
一次預期報酬,12602.245581170544028
一次風險,381405.479240692686290
一次趨勢值,0.033041595538321
找到最佳解世代,1883
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](4),NKE[19](3),V[25](1),
FS( 74 ),3203202.720000000204891,4100633.220000000204891,3856212.020000000484288,11160048.960000000894070
FS( 75 ),3156727.620000000577420,4119912.120000000111759,3891934.710000000428408,11168575.450000001117587
FS( 76 ),3164473.470000000204891,4319127.419999999925494,3878973.380000000353903,11362575.270000001415610
FS( 77 ),3162924.300000000279397,4266431.759999999776483,3930502.570000000298023,11359859.630000000819564
FS( 78 ),3186161.850000000558794,4314629.009999999776483,3940618.730000000447035,11441410.589999999850988
FS( 79 ),3159309.570000000298023,4369895.189999999478459,3937457.430000000167638,11466663.189999999478459
FS( 80 ),3165506.250000000000000,4351258.919999999925494,3958638.140000000130385,11475404.310000000521541
FS( 81 ),3203719.110000000335276,4372465.710000000894070,3993412.439999999944121,11569598.260000001639128
FS( 82 ),3182547.120000000577420,4342904.730000000447035,3946625.200000000186265,11472078.050000000745058
FS( 83 ),3131940.900000000372529,4326838.980000000447035,3905844.430000000167638,11364625.310000000521541
FS( 84 ),3059646.300000000279397,4384033.050000000745058,3927341.270000000484288,11371021.620000001043081
FS( 85 ),3091146.090000000316650,4347403.140000000596046,3974444.640000000130385,11412994.870000001043081
FS( 86 ),3024015.390000000596046,4319770.050000000745058,3822386.110000000335276,11166172.550000000745058
FS( 87 ),2912475.150000000372529,4137905.759999999776483,3675701.790000000037253,10726083.699999999254942
FS( 88 ),2863934.490000000223517,4191244.049999999813735,3792669.890000000130385,10847849.429999999701977
FS( 89 ),2885622.870000000577420,4217591.879999998956919,3782553.730000000447035,10885769.480000000447035
FS( 90 ),2826238.020000000018626,4015806.060000000055879,3599514.460000000428408,10441559.540000000968575
FS( 91 ),2833467.479999999981374,4208595.060000000521541,3677282.439999999944121,10719345.980000000447035
FS( 92 ),2862385.320000000298023,4240083.929999999701977,3745250.390000000130385,10847720.640000000596046
FS( 93 ),2835016.650000000372529,4233015.000000000000000,3741456.830000000074506,10809489.480000000447035
FS( 94 ),2835016.650000000372529,4367324.669999999925494,3819857.070000000298023,11022199.390000000596046
FS( 95 ),2891303.160000000614673,4388531.460000000894070,3865695.920000000391155,11145531.540000000968575
FS( 96 ),2906794.860000000335276,4389174.089999999850988,3852102.330000000074506,11148072.280000001192093
FS( 97 ),2839147.770000000018626,4337121.060000000521541,3857160.410000000614673,11033430.240000000223517
FS( 98 ),2816943.000000000000000,4308845.339999999850988,3807211.870000000577420,10933001.210000000894070
FS( 99 ),2817975.780000000260770,4313986.379999998956919,3805631.220000000204891,10937594.379999998956919
FS( 100 ),2833467.479999999981374,4380177.269999999552965,3886244.370000000577420,11099890.120000001043081
FS( 101 ),2894917.890000000596046,4475929.140000000596046,3938721.950000000186265,11309569.980000000447035
FS( 102 ),2825721.630000000353903,4371823.080000000074506,3900154.090000000316650,11097699.800000000745058
FS( 103 ),2799902.130000000353903,4307560.080000000074506,3886560.500000000000000,10994023.710000000894070
FS( 104 ),2773049.850000000558794,4261933.349999999627471,3806263.480000000447035,10841247.679999999701977
FS( 105 ),2807131.590000000316650,4234300.259999999776483,3817960.290000000037253,10859393.140000000596046
FS( 106 ),2809197.150000000372529,4180319.339999999850988,3853050.720000000204891,10842568.210000000894070
FS( 107 ),2804033.250000000000000,4192529.309999999590218,3827128.060000000521541,10823691.620000001043081
FS( 108 ),2812811.880000000353903,4123767.899999999906868,3852102.330000000074506,10788683.109999999403954
FS( 109 ),2827787.189999999944121,4184175.120000000111759,3863799.140000000130385,10875762.450000001117587
FS( 110 ),2847410.010000000242144,4260648.089999999850988,3936192.910000000614673,11044252.009999999776483
FS( 111 ),2858770.590000000316650,4294064.849999999627471,3927657.399999999906868,11080493.839999999850988
FS( 112 ),2859286.979999999981374,4252293.900000000372529,3894779.880000000353903,11006361.760000001639128
FS( 113 ),2829852.750000000000000,4254221.790000000968575,3875179.820000000298023,10959255.360000001266599
FS( 114 ),2853090.300000000279397,4266431.759999999776483,3901418.610000000335276,11020941.670000001788139
FS( 115 ),2874778.680000000167638,4235585.519999999552965,3936825.170000000391155,11047190.369999999180436
FS( 116 ),2821074.120000000577420,4222732.919999999925494,3895096.010000000242144,10938904.050000000745058
FS( 117 ),2821590.510000000242144,4292779.589999999850988,3948838.110000000335276,11063209.210000000894070
FS( 118 ),2824172.459999999962747,4263861.240000000223517,3895412.140000000130385,10983446.839999999850988
FS( 119 ),2794738.229999999981374,4139833.649999999906868,3793302.149999999906868,10727875.029999999329448
FS( 120 ),2758074.540000000037253,4153328.879999999422580,3698779.280000000260770,10610183.699999999254942
FS( 121 ),2790607.110000000335276,4234942.890000000596046,3813850.600000000093132,10839401.600000001490116
FS( 122 ),2775631.800000000279397,4252293.900000000372529,3711424.480000000447035,10739351.180000001564622
FS( 123 ),2844828.060000000521541,4205381.910000000149012,3698463.149999999906868,10748674.120000001043081
FS( 124 ),2812811.880000000353903,4269644.910000000149012,3781605.340000000316650,10864063.130000000819564
FS( 125 ),2750845.080000000540167,4120554.750000000465661,3742721.350000000093132,10614122.180000001564622
FS( 126 ),2793189.060000000521541,4286353.290000000968575,3768327.880000000353903,10847871.230000002309680
FS( 127 ),2816426.610000000335276,4396885.650000000372529,3787611.810000000521541,11000925.070000000298023
FS( 128 ),2815910.220000000204891,4472073.359999999403954,3831237.750000000000000,11119222.330000000074506
FS( 129 ),2755492.590000000316650,4340976.839999999850988,3720908.380000000353903,10817378.810000000521541
FS( 130 ),2900081.790000000037253,4317199.530000001192093,3755366.550000000279397,10972648.870000001043081
FS( 131 ),2917122.660000000614673,4305632.189999999478459,3816379.640000000130385,11039135.490000000223517
FS( 132 ),2902147.350000000558794,4294707.480000000447035,3786663.420000000391155,10983519.250000001862645
FS( 133 ),2930032.410000000614673,4355114.699999999254942,3827444.189999999944121,11112592.299999998882413
FS( 134 ),2952237.180000000167638,4321697.939999999478459,3817328.030000000260770,11091264.149999998509884
FS( 135 ),3028662.900000000372529,4309487.970000000670552,3853050.720000000204891,11191202.590000001713634
FS( 136 ),3060679.080000000540167,4338406.320000000298023,3913747.680000000167638,11312834.080000000074506
FS( 137 ),3042605.430000000167638,4254221.790000000968575,3913747.680000000167638,11210575.900000000372529
FS( 138 ),3028146.510000000242144,4224018.179999999701977,3918805.760000000242144,11170971.449999999254942
FS( 139 ),3037957.920000000391155,4247152.859999999403954,3926392.880000000353903,11211504.660000000149012
FS( 140 ),3111285.300000000279397,4297920.629999998956919,3934612.260000000242144,11343819.189999999478459
FS( 141 ),3103023.060000000521541,4303704.300000000745058,3833766.790000000037253,11240495.150000002235174
FS( 142 ),3079269.120000000577420,4284425.400000000372529,3831870.010000000242144,11195565.530000001192093
FS( 143 ),3067908.540000000037253,4373108.339999999850988,4017438.320000000298023,11458456.199999999254942
FS( 144 ),3071006.880000000353903,4470145.470000000670552,3983612.410000000614673,11524765.760000001639128
FS( 145 ),3040023.479999999981374,4394957.759999999776483,4011115.720000000204891,11446097.960000000894070
FS( 146 ),2994064.770000000018626,4376321.490000000223517,4031031.910000000614673,11401419.169999999925494
FS( 147 ),2958950.250000000000000,4386603.570000000298023,3995309.220000000204891,11340864.040000000968575
FS( 148 ),2970827.220000000204891,4299205.890000000596046,4020599.620000000577420,11290633.730000002309680
FS( 149 ),2982187.800000000279397,4376321.490000000223517,4051580.360000000335276,11410090.650000002235174
FS( 150 ),2963081.370000000577420,4456007.609999999403954,4086354.660000000149012,11505444.640000000596046
FS( 151 ),2931065.189999999944121,4399456.169999999925494,4106586.980000000447035,11437109.339999999850988
FS( 152 ),2992515.600000000558794,4366682.040000000968575,4136303.200000000186265,11495501.840000001713634
FS( 153 ),2998195.890000000596046,4364754.150000000372529,4136303.200000000186265,11499254.240000002086163
FS( 154 ),3082367.459999999962747,4397528.280000001192093,4167283.939999999944121,11647180.680000001564622
FS( 155 ),3081851.070000000298023,4423876.109999999403954,4148000.010000000707805,11653728.190000001341105
FS( 156 ),3057064.350000000558794,4466289.689999999478459,4144522.580000000074506,11667877.620000001043081
FS( 157 ),3085465.800000000279397,4584533.609999999403954,4137883.849999999627471,11807884.259999999776483
FS( 158 ),3050351.280000000260770,4558828.410000000149012,4107535.370000000577420,11716716.060000000521541
FS( 159 ),3053966.010000000242144,4583248.349999999627471,4107535.370000000577420,11744750.730000000447035
FS( 160 ),3024531.780000000260770,4587104.129999998956919,4130612.860000000335276,11742249.769999999552965
FS( 161 ),3018335.100000000558794,4582605.720000000670552,4132193.510000000707805,11733135.330000001937151
FS( 162 ),3055515.180000000167638,4584533.609999999403954,4169180.720000000204891,11809230.509999999776483
FS( 163 ),3053449.620000000577420,4638514.530000001192093,4169496.849999999627471,11861462.000000001862645
FS( 164 ),3051384.060000000521541,4643012.939999999478459,4150212.920000000391155,11844610.919999999925494
FS( 165 ),3015753.150000000372529,4557543.150000000372529,4099948.250000000000000,11673245.550000000745058
FS( 166 ),3083916.630000000353903,4641727.679999999701977,4129980.599999999627471,11855625.910000000149012
FS( 167 ),3074105.220000000204891,4614094.589999999850988,4132509.640000000130385,11820710.450000001117587
FS( 168 ),3127293.390000000596046,4675787.070000000298023,4136619.330000000074506,11939700.790000000968575
FS( 169 ),3202686.330000000540167,4744548.480000000447035,4206800.190000000409782,12154036.000000000000000
FS( 170 ),3170153.760000000242144,4758686.339999999850988,4222290.560000000521541,12151131.660000000149012
FS( 171 ),3198038.820000000298023,4803670.439999999478459,4308277.919999999925494,12309988.179999999701977
FS( 172 ),3201137.160000000614673,4804313.070000000298023,4231142.200000000186265,12236593.429999999701977
FS( 173 ),3231604.170000000391155,4813309.890000000596046,4259593.900000000372529,12304508.960000000894070
FS( 174 ),3218694.420000000391155,4793388.359999999403954,4233355.110000000335276,12245438.890000000596046
FS( 175 ),3224374.709999999962747,4774109.460000000894070,4263387.460000000894070,12261872.630000002682209
FS( 176 ),3232120.560000000521541,4762542.119999999180436,4248845.480000000447035,12243509.160000000149012
FS( 177 ),3178932.390000000596046,4800457.290000000968575,4267813.280000000260770,12247203.960000000894070
FS( 178 ),3203202.720000000204891,4873717.109999999403954,4270974.580000000074506,12347895.410000000149012
FS( 179 ),3149498.160000000614673,4858936.619999999180436,4305748.879999999888241,12314184.660000000149012
FS( 180 ),3151563.720000000204891,4772181.570000000298023,4271290.710000000894070,12195037.000000001862645
FS( 181 ),3164473.470000000204891,4801742.550000000745058,4283619.780000000260770,12249836.800000000745058
FS( 182 ),3159309.570000000298023,4751617.410000000149012,4252955.169999999925494,12163883.150000000372529
FS( 183 ),3174284.880000000353903,4718843.280000001192093,4278245.570000000298023,12171374.730000002309680
FS( 184 ),3154145.670000000391155,4649439.240000000223517,4139148.370000000577420,11942734.280000001192093
FS( 185 ),3135555.630000000353903,4662934.470000000670552,4190361.430000000633299,11988852.530000001192093
FS( 186 ),3092178.870000000577420,4585176.240000000223517,4141993.540000000502914,11819349.650000002235174
FS( 187 ),3113867.250000000000000,4607668.290000000968575,4196367.900000000372529,11917904.440000001341105
FS( 188 ),3134522.850000000558794,5120487.030000001192093,4187200.129999999888241,12442211.010000001639128
FS( 189 ),3122129.490000000223517,5035017.240000000223517,4188780.780000000260770,12345928.510000001639128
FS( 190 ),3135039.240000000223517,4901992.830000000074506,4155587.129999999888241,12192620.199999999254942
FS( 191 ),3183063.510000000242144,4919343.839999999850988,4213755.049999999813735,12316163.399999998509884
FS( 192 ),3211981.350000000558794,4914845.429999999701977,4239045.450000000186265,12365873.230000000447035
FS( 193 ),3202686.330000000540167,4966255.830000000074506,4284252.040000000968575,12453195.200000001117587
FS( 194 ),3217145.250000000000000,4984892.099999999627471,4321239.250000000000000,12523277.599999999627471
FS( 195 ),3196489.650000000372529,4971396.869999999180436,4367394.230000000447035,12535281.750000000000000
FS( 196 ),3235735.290000000037253,4972039.500000000000000,4422716.980000000447035,12630492.769999999552965
FS( 197 ),3247612.260000000242144,4972682.129999998956919,4407542.740000000223517,12627838.129999998956919
FS( 198 ),3232120.560000000521541,4996459.439999999478459,4377194.260000000707805,12605775.260000001639128
FS( 199 ),3229022.220000000204891,4978465.800000000745058,4414497.599999999627471,12621986.620000001043081
FS( 200 ),3250194.209999999962747,4921914.359999999403954,4454329.980000000447035,12626439.550000000745058
FS( 201 ),3227989.439999999944121,4945049.040000000968575,4429987.969999999739230,12603027.449999999254942
FS( 202 ),3228505.830000000540167,4945691.669999999925494,4457175.150000000372529,12631373.650000000372529
FS( 203 ),3237284.459999999962747,4921914.359999999403954,4426826.669999999925494,12586026.489999998360872
FS( 204 ),3274980.930000000167638,4853795.580000000074506,4426826.669999999925494,12555604.179999999701977
FS( 205 ),3330234.660000000149012,4958544.269999999552965,4509336.599999999627471,12798116.529999999329448
FS( 206 ),3305447.940000000409782,5022164.640000000596046,4504910.780000000260770,12832524.360000001266599
FS( 207 ),3278595.660000000614673,4941193.259999999776483,4448323.510000000707805,12668113.429999999701977
FS( 208 ),3346759.140000000596046,4881428.669999999925494,4314600.519999999552965,12542789.330000000074506
FS( 209 ),3401496.480000000447035,4942478.519999999552965,4322819.900000000372529,12666795.900000000372529
FS( 210 ),3381873.660000000149012,4982964.210000000894070,4370555.530000000260770,12735394.400000002235174
FS( 211 ),3367931.130000000353903,5054296.140000000596046,4391736.240000000223517,12813964.510000001639128
FS( 212 ),3404594.820000000763685,5060079.810000000521541,4420187.940000000409782,12884863.570000000298023
FS( 213 ),3419570.130000000353903,5109562.320000000298023,4416710.510000000707805,12945843.960000000894070
FS( 214 ),3438160.170000000391155,5175110.580000000074506,4434729.919999999925494,13048001.669999999925494
FS( 215 ),3443840.459999999962747,5173182.689999999478459,4447375.120000000111759,13064399.269999999552965
FS( 216 ),3408209.550000000279397,5222022.570000000298023,4426194.410000000149012,13056427.530000001192093
FS( 217 ),3411824.279999999795109,5187963.179999999701977,4417342.769999999552965,13017131.229999998584390
FS( 218 ),3445389.630000000353903,5150690.640000000596046,4432517.010000000707805,13028598.280000001192093
FS( 219 ),3431963.489999999757856,5150048.009999999776483,4449904.160000000149012,13031916.660000000149012
FS( 220 ),3478954.980000000447035,5113418.099999999627471,4423349.240000000223517,13015723.320000000298023
FS( 221 ),3555380.700000000186265,5144264.339999999850988,4446426.730000000447035,13146072.769999999552965
FS( 222 ),3566224.890000000596046,5124985.439999999478459,4467923.570000000298023,13159134.900000000372529
FS( 223 ),3623544.180000000167638,5281144.530000001192093,4455594.500000000000000,13360284.210000000894070
FS( 224 ),3571905.180000000167638,5330627.040000000968575,4427142.799999999813735,13329676.019999999552965
FS( 225 ),3565192.110000000800937,5310705.509999999776483,4461917.099999999627471,13337815.720000000670552
FS( 226 ),3561577.380000000353903,5328056.519999999552965,4492265.580000000074506,13381900.480000000447035
FS( 227 ),3565192.110000000800937,5298495.540000000968575,4558652.879999999888241,13422341.530000001192093
FS( 228 ),3562610.160000000149012,5311348.140000000596046,4596588.480000000447035,13470547.780000001192093
FS( 229 ),3544020.120000000111759,5306849.730000000447035,4590265.879999999888241,13441136.730000000447035
FS( 230 ),3553315.140000000596046,5320344.960000000894070,4648117.669999999925494,13521778.770000001415610
FS( 231 ),3539372.610000000800937,5231019.390000000596046,4638949.900000000372529,13409342.900000002235174
FS( 232 ),3541954.560000000521541,5282429.790000000968575,4643691.849999999627471,13468077.200000001117587
FS( 233 ),3508905.600000000558794,5115345.990000000223517,4672459.680000000633299,13296712.269999999552965
FS( 234 ),3543503.730000000447035,5135910.150000000372529,4510284.990000000223517,13189699.870000001043081
FS( 235 ),3582749.370000000111759,5166756.390000000596046,4568136.780000000260770,13317643.540000002831221
FS( 236 ),3597724.680000000167638,5160330.089999999850988,4527039.879999999888241,13285095.649999998509884
FS( 237 ),3592044.390000000596046,5276003.490000000223517,4554859.320000000298023,13422908.200000001117587
FS( 238 ),3567257.670000000391155,5310062.879999998956919,4599433.650000000372529,13476755.199999999254942
FS( 239 ),3607536.090000000316650,5333840.189999999478459,4633575.690000000409782,13574952.969999998807907
FS( 240 ),3657625.920000000391155,5364043.800000000745058,4667085.469999999739230,13688756.190000001341105
FS( 241 ),3613732.770000000484288,5365329.060000000521541,4673724.200000000186265,13652787.030000001192093
FS( 242 ),3636453.930000000167638,5350548.570000000298023,4621246.620000000111759,13608250.120000001043081
FS( 243 ),3636453.930000000167638,5479074.570000000298023,4667085.469999999739230,13782614.969999998807907
FS( 244 ),3613732.770000000484288,5425736.280000001192093,4660446.740000000223517,13699916.790000000968575
FS( 245 ),3655043.970000000204891,5486143.500000000000000,4717982.400000000372529,13859170.870000001043081
FS( 246 ),3671568.450000000186265,5497710.839999999850988,4743588.930000000633299,13912869.219999998807907
FS( 247 ),3655043.970000000204891,5415454.199999999254942,4713872.710000000894070,13784371.880000000819564
FS( 248 ),3648330.900000000372529,5448870.960000000894070,4728730.820000000298023,13825933.680000001564622
FS( 249 ),3631806.420000000391155,5378824.290000000968575,4718930.790000000968575,13729562.500000001862645
FS( 250 ),3651945.630000000353903,5432805.210000000894070,4742640.540000000968575,13827392.380000002682209
FS( 251 ),3663306.209999999962747,5444372.550000000745058,4744853.450000000186265,13852533.210000000894070
