代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13417665.200000001117587
真實報酬,3417665.200000001117587

夏普值報酬,0.333066520000000
夏普值風險,0.093864128675281
夏普值,3.548389834334142

二次趨勢線,20.410381027891866 x^2 + 9839.313078224573474 x + 10000000.000000000000000
二次加權預期報酬,16710.808024281508551
風險,156561.498281776235672
二次加權趨勢值,0.106736382876240
一次趨勢線,13704.513829158073349 x + 10000000.000000000000000
一次預期報酬,13704.513829158073349
一次風險,213821.730433638877003
一次趨勢值,0.064093176130250
找到最佳解世代,1939
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CSCO[4](7),DIS[6](2),DD[7](5),INTC[11](1),MRK[17](9),MSFT[18](3),
FS( 11 ),1459925.290000000037253,1424882.800000000279397,1464047.349999999860302,1507643.659999999916181,1463612.440000000176951,1364968.299999999813735,1467284.220000000204891,10152367.060000000521541
FS( 12 ),1467097.840000000316650,1413818.200000000186265,1462064.199999999720603,1533564.830000000074506,1483010.380000000121072,1382554.299999999813735,1473665.520000000251457,10215778.269999999552965
FS( 13 ),1476934.479999999981374,1400294.800000000279397,1463606.649999999906868,1543252.540000000037253,1496776.660000000149012,1380795.699999999953434,1485577.280000000260770,10247241.109999999403954
FS( 14 ),1489845.070000000298023,1411359.400000000139698,1479692.200000000186265,1540372.409999999916181,1494273.699999999953434,1366140.699999999953434,1487278.960000000195578,10268965.440000001341105
FS( 15 ),1526322.610000000335276,1409515.300000000279397,1489828.300000000046566,1542205.219999999972060,1510542.940000000176951,1363209.699999999720603,1488555.220000000204891,10330182.290000000968575
FS( 16 ),1522019.080000000074506,1392303.700000000186265,1520456.949999999953434,1549274.630000000121072,1506162.760000000009313,1362037.299999999813735,1471113.000000000000000,10323370.419999999925494
FS( 17 ),1536774.040000000037253,1368330.400000000372529,1501066.150000000139698,1530161.040000000037253,1485513.340000000083819,1364675.199999999953434,1436228.560000000055879,10222751.730000000447035
FS( 18 ),1557267.040000000037253,1375092.100000000325963,1521558.699999999953434,1514713.070000000065193,1488016.300000000046566,1354709.799999999813735,1434526.880000000121072,10245886.890000002458692
FS( 19 ),1539847.990000000223517,1380624.400000000139698,1526186.050000000046566,1473605.760000000009313,1516800.340000000083819,1364088.999999999767169,1520036.300000000046566,10321192.839999999850988
FS( 20 ),1551324.070000000298023,1386156.700000000186265,1520456.949999999953434,1458419.620000000111759,1524309.219999999972060,1329210.099999999860302,1513229.580000000074506,10283109.240000000223517
FS( 21 ),1512592.300000000279397,1403368.300000000046566,1518694.149999999906868,1471249.290000000037253,1534321.060000000055879,1335951.399999999906868,1511102.480000000214204,10287281.980000000447035
FS( 22 ),1536774.040000000037253,1395991.900000000139698,1508778.399999999906868,1463918.049999999813735,1533069.580000000074506,1325986.000000000000000,1511953.320000000065193,10276474.289999999105930
FS( 23 ),1530216.280000000260770,1386771.400000000139698,1511422.600000000093132,1471772.949999999953434,1531192.360000000102445,1321589.500000000000000,1506422.859999999869615,10259390.950000001117587
FS( 24 ),1522428.940000000409782,1387386.100000000093132,1520677.300000000046566,1452397.530000000027940,1522432.000000000000000,1325692.899999999674037,1511527.900000000139698,10242545.670000001788139
FS( 25 ),1542102.220000000204891,1388000.800000000046566,1516270.300000000046566,1431974.790000000037253,1518051.820000000065193,1340054.799999999813735,1528970.120000000111759,10265427.850000001490116
FS( 26 ),1538208.550000000279397,1418121.100000000093132,1517151.699999999720603,1443757.140000000130385,1503659.800000000046566,1329503.199999999953434,1558749.520000000251457,10309154.009999999776483
FS( 27 ),1525093.030000000260770,1431029.800000000279397,1520456.949999999953434,1463918.049999999813735,1517426.080000000074506,1347089.199999999953434,1624264.200000000186265,10429280.309999998658895
FS( 28 ),1500296.500000000000000,1420579.900000000139698,1479692.200000000186265,1441924.330000000074506,1505537.020000000018626,1342985.799999999813735,1595335.640000000130385,10286354.390000000596046
FS( 29 ),1524068.380000000353903,1445167.900000000372529,1511202.250000000000000,1479104.190000000176951,1507414.239999999990687,1371709.599999999860302,1607247.400000000139698,10445916.960000002756715
FS( 30 ),1519559.920000000391155,1441479.700000000186265,1505913.850000000093132,1478842.359999999869615,1512420.160000000149012,1377571.599999999860302,1599164.420000000391155,10434955.009999999776483
FS( 31 ),1522428.940000000409782,1458691.300000000279397,1493353.899999999906868,1466798.180000000167638,1528689.400000000139698,1394864.500000000000000,1589379.760000000009313,10454208.980000000447035
FS( 32 ),1524273.310000000055879,1475288.200000000186265,1519795.899999999906868,1476485.890000000130385,1539326.980000000214204,1387537.000000000000000,1623413.359999999869615,10546123.640000000596046
FS( 33 ),1546200.820000000298023,1313622.100000000325963,1542932.649999999906868,1495337.649999999906868,1526186.440000000176951,1401605.799999999813735,1617457.480000000214204,10443345.940000001341105
FS( 34 ),1536978.970000000204891,1324072.000000000232831,1542491.949999999953434,1500050.590000000083819,1534321.060000000055879,1408933.299999999813735,1609799.920000000391155,10456650.790000000968575
FS( 35 ),1518330.340000000316650,1308704.500000000232831,1531474.449999999953434,1486697.260000000009313,1539326.980000000214204,1407174.699999999720603,1582573.040000000270084,10374284.270000001415610
FS( 36 ),1520994.430000000167638,1316695.600000000325963,1523101.150000000139698,1480413.340000000083819,1545584.380000000121072,1408933.299999999813735,1563003.720000000204891,10358728.919999999925494
FS( 37 ),1507673.979999999981374,1305016.300000000279397,1525525.000000000000000,1463918.049999999813735,1536824.020000000018626,1410691.899999999906868,1577468.000000000000000,10327120.250000000000000
FS( 38 ),1525707.820000000298023,1319769.100000000093132,1541169.849999999860302,1477795.040000000037253,1578748.600000000093132,1425053.799999999813735,1591081.440000000176951,10459328.650000000372529
FS( 39 ),1521814.150000000372529,1319154.400000000139698,1546898.949999999953434,1478842.359999999869615,1493647.960000000195578,1434432.999999999767169,1598313.580000000074506,10393107.400000000372529
FS( 40 ),1533290.229999999981374,1307475.100000000093132,1536762.849999999860302,1454492.169999999925494,1486139.080000000074506,1455536.199999999720603,1601291.520000000251457,10374990.149999998509884
FS( 41 ),1561570.570000000298023,1303786.900000000139698,1568493.250000000000000,1446375.440000000176951,1479881.679999999934807,1453191.399999999906868,1588954.340000000083819,10402256.580000000074506
FS( 42 ),1598253.040000000037253,1307475.100000000093132,1559458.899999999906868,1457895.959999999962747,1495525.179999999934807,1460518.899999999906868,1599589.840000000083819,10478719.919999999925494
FS( 43 ),1627967.890000000130385,1306245.700000000186265,1554390.850000000093132,1456586.810000000055879,1491770.739999999990687,1460518.899999999906868,1622137.100000000325963,10519620.990000000223517
FS( 44 ),1613827.720000000204891,1296410.500000000232831,1562543.799999999813735,1490886.540000000037253,1483010.380000000121072,1470777.399999999906868,1635750.540000000270084,10553209.880000000819564
FS( 45 ),1657887.670000000391155,1306860.400000000372529,1540288.450000000186265,1443757.140000000130385,1473624.280000000027940,1458467.199999999720603,1629794.660000000149012,10510682.800000002607703
FS( 46 ),1653994.000000000000000,1306245.700000000186265,1541830.899999999906868,1450041.060000000055879,1485513.340000000083819,1445277.699999999953434,1656596.120000000111759,10539501.820000000298023
FS( 47 ),1662601.060000000055879,1285345.900000000139698,1547560.000000000000000,1439567.859999999869615,1518051.820000000065193,1430622.699999999953434,1616606.640000000130385,10500358.980000000447035
FS( 48 ),1639443.970000000204891,1308089.800000000279397,1574663.049999999813735,1464179.880000000121072,1553093.260000000009313,1447622.499999999767169,1631921.760000000009313,10619017.219999998807907
FS( 49 ),1658297.530000000260770,1304401.600000000093132,1566950.800000000046566,1521258.820000000065193,1559976.400000000139698,1452605.199999999953434,1646811.460000000195578,10710304.810000002384186
FS( 50 ),1655633.440000000409782,1303786.900000000139698,1577086.899999999906868,1557915.020000000018626,1553093.260000000009313,1448794.899999999906868,1621286.260000000009313,10717599.679999999701977
FS( 51 ),1643337.640000000130385,1283501.800000000046566,1553950.149999999906868,1530684.699999999953434,1528063.660000000149012,1434726.099999999860302,1600015.260000000009313,10574282.310000000521541
FS( 52 ),1641083.410000000149012,1260757.900000000372529,1534338.999999999767169,1519949.669999999925494,1531192.360000000102445,1416260.799999999813735,1583423.880000000121072,10487010.020000001415610
FS( 53 ),1623049.570000000298023,1244161.000000000000000,1534118.650000000139698,1548227.310000000055879,1519929.040000000037253,1418019.399999999906868,1560876.620000000111759,10448384.589999999850988
FS( 54 ),1632066.490000000223517,1271207.800000000279397,1553729.800000000046566,1551107.440000000176951,1529940.880000000121072,1409519.500000000000000,1568959.600000000325963,10516534.509999999776483
FS( 55 ),1624689.010000000242144,1285960.600000000325963,1557035.049999999813735,1573624.820000000065193,1543081.420000000158325,1403950.599999999860302,1553644.480000000214204,10541988.980000000447035
FS( 56 ),1612393.210000000428408,1290878.200000000186265,1590968.949999999953434,1622325.199999999953434,1573742.679999999934807,1433260.599999999860302,1556197.000000000000000,10679768.839999999850988
FS( 57 ),1593949.510000000242144,1295181.100000000093132,1607935.899999999906868,1636987.680000000167638,1573116.940000000176951,1430036.499999999767169,1542158.140000000130385,10679368.769999999552965
FS( 58 ),1607269.960000000428408,1298869.300000000046566,1595375.950000000186265,1632536.570000000065193,1568111.020000000018626,1445570.799999999813735,1565556.239999999990687,10713292.840000001713634
FS( 59 ),1668953.890000000130385,1325916.100000000093132,1614766.750000000000000,1636202.190000000176951,1584380.260000000009313,1446743.199999999953434,1557898.679999999934807,10834864.070000000298023
FS( 60 ),1661986.270000000018626,1333292.500000000232831,1627326.699999999720603,1656363.099999999860302,1591263.400000000139698,1448208.699999999720603,1577468.000000000000000,10895911.669999999925494
FS( 61 ),1650920.050000000279397,1340054.200000000186265,1644293.650000000139698,1672596.560000000055879,1608158.380000000121072,1457294.799999999813735,1592783.120000000111759,10966103.760000001639128
FS( 62 ),1639648.900000000372529,1353577.600000000093132,1638344.199999999720603,1662908.849999999860302,1601900.980000000214204,1459346.499999999767169,1586401.820000000065193,10942131.849999999627471
FS( 63 ),1623459.430000000167638,1367715.700000000186265,1679770.000000000000000,1662908.849999999860302,1617544.480000000214204,1463742.999999999767169,1586401.820000000065193,11001546.280000001192093
FS( 64 ),1642517.920000000391155,1378780.300000000279397,1683515.950000000186265,1655577.609999999869615,1624427.620000000111759,1466967.099999999860302,1591506.859999999869615,11043296.360000001266599
FS( 65 ),1619360.830000000074506,1352348.200000000186265,1680651.399999999906868,1635678.530000000027940,1613790.040000000037253,1450553.500000000000000,1580871.359999999869615,10933256.859999999403954
FS( 66 ),1583703.010000000242144,1351118.800000000279397,1677125.800000000046566,1628347.290000000037253,1613164.300000000046566,1457587.899999999674037,1570235.859999999869615,10881285.959999999031425
FS( 67 ),1592310.070000000298023,1352962.900000000372529,1670735.649999999906868,1625467.159999999916181,1593140.620000000111759,1457881.000000000000000,1537053.100000000325963,10829553.500000001862645
FS( 68 ),1581038.920000000391155,1371403.900000000139698,1682193.850000000093132,1607400.890000000130385,1601275.239999999990687,1468725.699999999953434,1548964.859999999869615,10861006.359999999403954
FS( 69 ),1591080.490000000223517,1370174.500000000232831,1657514.649999999906868,1609233.699999999953434,1591263.400000000139698,1459346.499999999767169,1521312.560000000055879,10799928.800000000745058
FS( 70 ),1570792.420000000391155,1357880.500000000232831,1650463.450000000186265,1588549.130000000121072,1583754.520000000018626,1451432.800000000046566,1511527.900000000139698,10714403.720000002533197
FS( 71 ),1560136.060000000055879,1365871.600000000093132,1661260.599999999860302,1592476.580000000074506,1597520.800000000046566,1461984.399999999906868,1533224.320000000065193,10772477.359999999403954
FS( 72 ),1568333.260000000242144,1364027.500000000232831,1614546.399999999906868,1562104.299999999813735,1595643.580000000074506,1556948.799999999813735,1488129.800000000046566,10749736.640000000596046
FS( 73 ),1599687.550000000279397,1377550.900000000139698,1640547.699999999953434,1590381.940000000176951,1658843.320000000065193,1553431.599999999860302,1522163.400000000139698,10942609.410000002011657
FS( 74 ),1631656.630000000353903,1400294.800000000279397,1636801.750000000000000,1605306.250000000000000,1668855.160000000149012,1539362.800000000046566,1563854.560000000055879,11046134.950000001117587
FS( 75 ),1622639.710000000428408,1400294.800000000279397,1635259.299999999813735,1606615.399999999906868,1660720.540000000037253,1538776.599999999860302,1569385.020000000251457,11033694.370000001043081
FS( 76 ),1582883.290000000037253,1397836.000000000000000,1630191.250000000000000,1606091.740000000223517,1617544.480000000214204,1522656.099999999860302,1547688.600000000325963,10904894.460000000894070
FS( 77 ),1607474.890000000130385,1403368.300000000046566,1635038.949999999953434,1712656.549999999813735,1601275.239999999990687,1519138.899999999906868,1538754.780000000260770,11017710.609999999403954
FS( 78 ),1614647.440000000409782,1403983.000000000232831,1659497.800000000046566,1703230.669999999925494,1583754.520000000018626,1505070.099999999860302,1528544.700000000186265,10998731.230000000447035
FS( 79 ),1628172.820000000298023,1386771.400000000139698,1648039.600000000093132,1667621.790000000037253,1572491.199999999953434,1512397.599999999860302,1534075.160000000149012,10949572.570000000298023
FS( 80 ),1598662.900000000372529,1364642.200000000186265,1602427.149999999906868,1618659.580000000074506,1552467.520000000018626,1523535.399999999674037,1565981.660000000149012,10826379.410000000149012
FS( 81 ),1611573.490000000223517,1352348.200000000186265,1592070.699999999953434,1607139.060000000055879,1546835.860000000102445,1539655.899999999906868,1532798.900000000139698,10782425.110000001266599
FS( 82 ),1482877.450000000186265,1336980.700000000186265,1605952.749999999767169,1605568.080000000074506,1558099.179999999934807,1549621.299999999813735,1543008.980000000214204,10682111.440000001341105
FS( 83 ),1466073.190000000409782,1330833.700000000186265,1571798.500000000000000,1667883.620000000111759,1544332.900000000139698,1530276.699999999953434,1559600.359999999869615,10670801.970000000670552
FS( 84 ),1463204.170000000391155,1351118.800000000279397,1613444.649999999906868,1689615.510000000009313,1548087.340000000083819,1568379.699999999720603,1568108.760000000009313,10801961.929999999701977
FS( 85 ),1465458.400000000372529,1346815.900000000139698,1600003.300000000046566,1696946.750000000000000,1535572.540000000037253,1552552.299999999813735,1609799.920000000391155,10807152.110000001266599
FS( 86 ),1468327.420000000391155,1324686.700000000186265,1542271.599999999860302,1666312.640000000130385,1498653.880000000121072,1526466.399999999906868,1551942.800000000046566,10578664.440000001341105
FS( 87 ),1489435.210000000428408,1340054.200000000186265,1565628.699999999953434,1676524.010000000009313,1490519.260000000009313,1568379.699999999720603,1546412.340000000083819,10676956.419999999925494
FS( 88 ),1500706.360000000335276,1351118.800000000279397,1581273.550000000046566,1672334.729999999981374,1471747.060000000055879,1568965.899999999906868,1523865.080000000074506,10670014.480000002309680
FS( 89 ),1500501.430000000167638,1382468.500000000000000,1665006.550000000046566,1699826.880000000121072,1501156.840000000083819,1576000.300000000046566,1539180.200000000186265,10864143.699999999254942
FS( 90 ),1521404.290000000037253,1393533.100000000325963,1667430.399999999906868,1700350.540000000037253,1514923.120000000111759,1605310.300000000046566,1555346.160000000149012,10958300.910000002011657
FS( 91 ),1548659.979999999981374,1403368.300000000046566,1698059.050000000046566,1709252.760000000009313,1519929.040000000037253,1608827.499999999767169,1565556.239999999990687,11053655.869999999180436
FS( 92 ),1569152.979999999981374,1395991.900000000139698,1714144.600000000093132,1746432.620000000111759,1531192.360000000102445,1632568.599999999860302,1581296.780000000260770,11170782.839999999850988
FS( 93 ),1568948.050000000279397,1404597.700000000186265,1716788.799999999813735,1729151.840000000083819,1536198.280000000027940,1612051.599999999860302,1594059.380000000121072,11161798.650000002235174
FS( 94 ),1593949.510000000242144,1368945.100000000093132,1716568.450000000186265,1726533.540000000037253,1545584.380000000121072,1614982.599999999860302,1600015.260000000009313,11166581.839999999850988
FS( 95 ),1592515.000000000000000,1386771.400000000139698,1745875.000000000000000,1741719.679999999934807,1549338.820000000065193,1624947.999999999767169,1600440.679999999934807,11241611.580000000074506
FS( 96 ),1598457.970000000204891,1377550.900000000139698,1753587.250000000000000,1744337.980000000214204,1549338.820000000065193,1632275.499999999767169,1591932.280000000260770,11247483.699999999254942
FS( 97 ),1573251.580000000074506,1369559.800000000279397,1737942.400000000139698,1731508.309999999823049,1533069.580000000074506,1613223.999999999767169,1595761.060000000055879,11154319.730000000447035
FS( 98 ),1555012.810000000055879,1370789.200000000186265,1744993.599999999860302,1757691.309999999823049,1548087.340000000083819,1635792.699999999953434,1605971.140000000130385,11218341.099999999627471
FS( 99 ),1537798.690000000409782,1360339.300000000046566,1765706.499999999767169,1751145.559999999823049,1528063.660000000149012,1642240.899999999906868,1615755.800000000046566,11201053.410000000149012
FS( 100 ),1544356.450000000186265,1359724.600000000325963,1778927.500000000000000,1750621.899999999906868,1541204.199999999953434,1646637.399999999906868,1603418.620000000111759,11224893.670000001788139
FS( 101 ),1528371.910000000149012,1342513.000000000232831,1767469.299999999813735,1760833.270000000018626,1540578.460000000195578,1638723.699999999720603,1597037.320000000065193,11175529.960000000894070
FS( 102 ),1514641.600000000093132,1348045.300000000279397,1764604.750000000000000,1783350.649999999906868,1551841.780000000027940,1649275.300000000046566,1594059.380000000121072,11205821.760000001639128
FS( 103 ),1544766.310000000055879,1347430.600000000325963,1773418.750000000000000,1808748.159999999916181,1549338.820000000065193,1660706.199999999720603,1610650.760000000009313,11295062.599999999627471
FS( 104 ),1540667.710000000428408,1340054.200000000186265,1780690.300000000046566,1816341.230000000214204,1549338.820000000065193,1670378.500000000000000,1629794.660000000149012,11327268.420000001788139
FS( 105 ),1544971.240000000223517,1325916.100000000093132,1750943.049999999813735,1806129.860000000102445,1533069.580000000074506,1653671.799999999813735,1607247.400000000139698,11221952.030000001192093
FS( 106 ),1555217.740000000223517,1341283.600000000093132,1800521.799999999813735,1844357.040000000037253,1539952.719999999972060,1672430.199999999953434,1634048.859999999869615,11387814.959999999031425
FS( 107 ),1558496.620000000111759,1344357.100000000325963,1821895.750000000000000,1861114.159999999916181,1533069.580000000074506,1667154.399999999906868,1621286.260000000009313,11407376.870000001043081
FS( 108 ),1553783.229999999981374,1341283.600000000093132,1836438.850000000093132,1856139.390000000130385,1541204.199999999953434,1678292.199999999720603,1622987.940000000176951,11430132.410000000149012
FS( 109 ),1552963.510000000242144,1335751.300000000279397,1811539.299999999813735,1846189.850000000093132,1541829.940000000176951,1684447.299999999813735,1612352.440000000176951,11385076.640000000596046
FS( 110 ),1554398.020000000018626,1333292.500000000232831,1806250.899999999906868,1857972.199999999953434,1554344.739999999990687,1680050.799999999813735,1608949.080000000074506,11395261.240000000223517
FS( 111 ),1569357.910000000149012,1328374.900000000139698,1785978.699999999953434,1836763.970000000204891,1547461.600000000093132,1661585.499999999767169,1617457.480000000214204,11346983.060000000521541
FS( 112 ),1570997.350000000093132,1341283.600000000093132,1793250.249999999767169,1828123.579999999841675,1549338.820000000065193,1665102.699999999953434,1628092.980000000214204,11376192.280000001192093
FS( 113 ),1553578.300000000279397,1322842.600000000093132,1761299.500000000000000,1817388.549999999813735,1537449.760000000009313,1635206.499999999767169,1611927.020000000251457,11239695.229999998584390
FS( 114 ),1536159.250000000000000,1312392.700000000186265,1764384.399999999906868,1813984.760000000009313,1533069.580000000074506,1632568.599999999860302,1603844.040000000270084,11196406.330000000074506
FS( 115 ),1542102.220000000204891,1322227.900000000372529,1793470.599999999860302,1827076.260000000009313,1545584.380000000121072,1648982.199999999720603,1618733.739999999990687,11298180.300000000745058
FS( 116 ),1555627.600000000093132,1329604.300000000046566,1806691.599999999860302,1851950.110000000102445,1553093.260000000009313,1651913.199999999953434,1682546.739999999990687,11431429.810000000521541
FS( 117 ),1555217.740000000223517,1329604.300000000046566,1774300.149999999906868,1849855.470000000204891,1565608.060000000055879,1641068.500000000000000,1670634.980000000214204,11386292.200000001117587
FS( 118 ),1547840.260000000242144,1341898.300000000046566,1780690.300000000046566,1873420.169999999925494,1591263.400000000139698,1629344.500000000000000,1715729.500000000000000,11480189.429999999701977
FS( 119 ),1559931.130000000353903,1330219.000000000232831,1770554.199999999720603,1872111.020000000018626,1574994.160000000149012,1602086.199999999720603,1708497.359999999869615,11418396.069999998435378
FS( 120 ),1578579.760000000242144,1325916.100000000093132,1751604.099999999860302,1870278.210000000195578,1571865.460000000195578,1576293.399999999906868,1722961.640000000130385,11397501.669999999925494
FS( 121 ),1595588.950000000186265,1373248.000000000232831,1752926.199999999953434,1888344.480000000214204,1593140.620000000111759,1617620.499999999767169,1716154.920000000391155,11537026.669999999925494
FS( 122 ),1580219.200000000186265,1372018.600000000093132,1732433.650000000139698,1843047.890000000130385,1588134.699999999953434,1641947.800000000046566,1692756.820000000065193,11450561.660000000149012
FS( 123 ),1573456.510000000242144,1353577.600000000093132,1729348.750000000000000,1789372.740000000223517,1583754.520000000018626,1633447.899999999674037,1674463.760000000009313,11337424.780000001192093
FS( 124 ),1571612.140000000130385,1372633.300000000046566,1740586.599999999860302,1797227.640000000130385,1603152.460000000195578,1640775.399999999674037,1714453.239999999990687,11440443.779999999329448
FS( 125 ),1571407.210000000428408,1378165.600000000325963,1764384.399999999906868,1811890.120000000111759,1615041.520000000018626,1663930.300000000046566,1743807.220000000204891,11548629.370000002905726
FS( 126 ),1585752.310000000055879,1419965.200000000186265,1797436.899999999906868,1853521.090000000083819,1626304.840000000083819,1652206.299999999813735,1762100.280000000260770,11697289.920000001788139
FS( 127 ),1588416.400000000372529,1413203.500000000000000,1799640.399999999906868,1860590.500000000000000,1620047.440000000176951,1654844.199999999953434,1759122.340000000083819,11695867.780000001192093
FS( 128 ),1577350.180000000167638,1419350.500000000232831,1800081.099999999860302,1848022.659999999916181,1652585.920000000158325,1647516.699999999953434,1744658.060000000055879,11689568.120000001043081
FS( 129 ),1556857.180000000167638,1395991.900000000139698,1772317.000000000000000,1815555.740000000223517,1636942.420000000158325,1644878.799999999813735,1696160.179999999934807,11518706.219999998807907
FS( 130 ),1532470.510000000242144,1404597.700000000186265,1743671.499999999767169,1787278.100000000093132,1657591.840000000083819,1617620.499999999767169,1693182.239999999990687,11436415.390000000596046
FS( 131 ),1532470.510000000242144,1410130.000000000232831,1753366.899999999906868,1792514.699999999953434,1683872.920000000158325,1613223.999999999767169,1694033.080000000074506,11479615.109999999403954
FS( 132 ),1552553.650000000372529,1421194.600000000325963,1773198.399999999906868,1826028.939999999944121,1688253.100000000093132,1673602.599999999860302,1721685.380000000121072,11656519.669999999925494
FS( 133 ),1532470.510000000242144,1392303.700000000186265,1707974.800000000046566,1778637.710000000195578,1653837.400000000139698,1636965.099999999860302,1674463.760000000009313,11376655.980000000447035
FS( 134 ),1521199.360000000335276,1380624.400000000139698,1696957.300000000046566,1750621.899999999906868,1638193.900000000139698,1639016.799999999813735,1668082.460000000195578,11294699.120000001043081
FS( 135 ),1527347.260000000242144,1404597.700000000186265,1710398.650000000139698,1771044.640000000130385,1661972.020000000018626,1628758.299999999813735,1666806.200000000186265,11370927.769999999552965
FS( 136 ),1516281.040000000037253,1407056.500000000232831,1711280.049999999813735,1773662.939999999944121,1675112.560000000055879,1642827.099999999860302,1691055.140000000130385,11417278.330000000074506
FS( 137 ),1519354.990000000223517,1415662.300000000279397,1739705.199999999953434,1808486.329999999841675,1685124.400000000139698,1648982.199999999720603,1718707.440000000176951,11536025.859999999403954
FS( 138 ),1536774.040000000037253,1426726.900000000139698,1762621.599999999860302,1816603.059999999823049,1692007.540000000037253,1655137.299999999813735,1702116.060000000055879,11591989.500000000000000
FS( 139 ),1555012.810000000055879,1438406.200000000186265,1743230.800000000046566,1817650.380000000121072,1686375.880000000121072,1677999.099999999860302,1699138.120000000111759,11617816.289999999105930
FS( 140 ),1556652.250000000000000,1445782.600000000093132,1750722.699999999953434,1824981.620000000111759,1679492.739999999990687,1693240.300000000046566,1701265.220000000204891,11652140.430000001564622
FS( 141 ),1536159.250000000000000,1444553.200000000186265,1752265.149999999906868,1840953.250000000000000,1673861.080000000074506,1685326.599999999860302,1688502.620000000111759,11621624.149999998509884
FS( 142 ),1662191.200000000186265,1434103.300000000046566,1753807.600000000093132,1835978.480000000214204,1673861.080000000074506,1686205.899999999906868,1695734.760000000009313,11741885.320000000298023
FS( 143 ),1674487.000000000000000,1413818.200000000186265,1723840.000000000000000,1808486.329999999841675,1643199.820000000065193,1677706.000000000000000,1697861.859999999869615,11639402.210000000894070
FS( 144 ),1739244.880000000353903,1415047.600000000093132,1713924.250000000000000,1763451.569999999832362,1647580.000000000000000,1661292.399999999906868,1738702.179999999934807,11679245.880000000819564
FS( 145 ),1734121.630000000353903,1423653.400000000139698,1732874.349999999860302,1815817.569999999832362,1656966.100000000093132,1721084.799999999813735,1723387.060000000055879,11807907.909999998286366
FS( 146 ),1727563.870000000111759,1420579.900000000139698,1748298.850000000093132,1860590.500000000000000,1670106.640000000130385,1716395.199999999953434,1718707.440000000176951,11862245.400000000372529
FS( 147 ),1731662.470000000204891,1414432.900000000372529,1753146.550000000046566,1816341.230000000214204,1655088.880000000121072,1747463.799999999813735,1701690.640000000130385,11819829.470000002533197
