代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15051816.569999998435378
真實報酬,5051816.569999998435378

夏普值報酬,0.496481657000000
夏普值風險,0.112804993692313
夏普值,4.401238285196875

二次趨勢線,-15.922939639298999 x^2 + 23981.254872695346421 x + 10000000.000000000000000
二次加權預期報酬,18641.762446983750124
風險,226222.469802880688803
二次加權趨勢值,0.082404557174304
一次趨勢線,20977.802254211404943 x + 10000000.000000000000000
一次預期報酬,20977.802254211404943
一次風險,252747.167783151293406
一次趨勢值,0.082999158559156
找到最佳解世代,2748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),HD[9](3),KO[14](7),VZ[26](2),WMT[28](5),
FS( 56 ),2113996.799999999813735,2655901.959999999962747,2091103.070000000065193,2157950.450000000186265,2278289.929999999701977,11297242.210000000894070
FS( 57 ),2116986.879999999888241,2659067.509999999776483,2126566.009999999776483,2159051.149999999441206,2285988.129999999888241,11347659.679999999701977
FS( 58 ),2128199.679999999701977,2654002.629999999888241,2115560.270000000484288,2162353.250000000000000,2278289.929999999701977,11338405.759999999776483
FS( 59 ),2153615.360000000335276,2664765.500000000000000,2138183.179999999701977,2200327.399999999441206,2309082.729999999515712,11465974.169999998062849
FS( 60 ),2170808.320000000298023,2672995.929999999701977,2136348.889999999664724,2200877.750000000000000,2302924.169999999925494,11483955.060000000521541
FS( 61 ),2149877.759999999776483,2629311.339999999850988,2125343.149999999441206,2188219.700000000186265,2299075.069999999366701,11391827.019999999552965
FS( 62 ),2162959.360000000335276,2659700.620000000111759,2144908.910000000149012,2204179.849999999627471,2309082.729999999515712,11480831.469999998807907
FS( 63 ),2162585.599999999627471,2661599.950000000186265,2139406.040000000037253,2208032.299999999813735,2300229.799999999813735,11471853.690000001341105
FS( 64 ),2195850.240000000223517,2667931.049999999813735,2144297.480000000447035,2186568.649999999441206,2322169.669999999925494,11516817.089999999850988
FS( 65 ),2207436.799999999813735,2705917.650000000372529,2130846.020000000484288,2157950.450000000186265,2298305.250000000000000,11500456.170000001788139
FS( 66 ),2232104.959999999962747,2728076.500000000000000,2121063.139999999664724,2143091.000000000000000,2287142.860000000335276,11511478.460000000894070
FS( 67 ),2255278.080000000074506,2735040.709999999962747,2107611.679999999701977,2109519.649999999441206,2270976.639999999664724,11478426.759999997913837
FS( 68 ),2251914.240000000223517,2736940.040000000037253,2107611.679999999701977,2111721.049999999813735,2277905.019999999552965,11486092.029999999329448
FS( 69 ),2259763.200000000186265,2755933.339999999850988,2119840.280000000260770,2122728.049999999813735,2272516.280000000260770,11530781.150000002235174
FS( 70 ),2256025.599999999627471,2751501.570000000298023,2080708.760000000009313,2140889.599999999627471,2286373.040000000037253,11515498.570000000298023
FS( 71 ),2250045.440000000409782,2747069.799999999813735,2065423.010000000009313,2141990.299999999813735,2290222.139999999664724,11494750.690000001341105
FS( 72 ),2241448.959999999962747,2754667.120000000111759,2047691.540000000037253,2141990.299999999813735,2291761.780000000260770,11477559.699999999254942
FS( 73 ),2267612.160000000149012,2769228.650000000372529,2058697.280000000027940,2147493.799999999813735,2303693.990000000223517,11546725.880000000819564
FS( 74 ),2291159.040000000037253,2841403.190000000409782,2066645.869999999878928,2146943.450000000186265,2309852.549999999813735,11656004.100000001490116
FS( 75 ),2284057.599999999627471,2874958.019999999552965,2062365.859999999869615,2146393.099999999627471,2332947.149999999441206,11700721.729999996721745
FS( 76 ),2244065.280000000260770,2817978.120000000111759,2081931.619999999878928,2144742.049999999813735,2348343.549999999813735,11637060.620000001043081
FS( 77 ),2282188.799999999813735,2841403.190000000409782,2095383.080000000074506,2113372.099999999627471,2344494.450000000186265,11676841.620000001043081
FS( 78 ),2244812.799999999813735,2846468.070000000298023,2075817.320000000065193,2079800.749999999767169,2362970.129999999888241,11609869.070000000298023
FS( 79 ),2384972.799999999813735,2865461.370000000111759,2092325.929999999934807,2074297.249999999767169,2366049.410000000149012,11783106.759999999776483
FS( 80 ),2374133.759999999776483,2845834.959999999962747,2079485.899999999906868,2055035.000000000000000,2346803.910000000149012,11701293.529999999329448
FS( 81 ),2388336.639999999664724,2840770.080000000074506,2061754.429999999934807,2047880.449999999953434,2336796.250000000000000,11675537.849999999627471
FS( 82 ),2418984.959999999962747,2834438.980000000447035,2062365.859999999869615,2069894.449999999720603,2359505.939999999478459,11745190.189999999478459
FS( 83 ),2437299.200000000186265,2810380.799999999813735,2064811.580000000074506,2072646.199999999720603,2361815.399999999441206,11746953.179999999701977
FS( 84 ),2435804.160000000149012,2815445.679999999701977,2073983.030000000027940,2080351.099999999627471,2393378.019999999552965,11798961.989999998360872
FS( 85 ),2430197.759999999776483,2814812.570000000298023,2073983.030000000027940,2067142.699999999953434,2384140.179999999701977,11770276.240000000223517
FS( 86 ),2454492.160000000149012,2859763.379999999888241,2081320.189999999944121,2082552.500000000000000,2387604.370000000111759,11865732.600000001490116
FS( 87 ),2477291.520000000484288,2861662.709999999962747,2080097.330000000074506,2099063.000000000000000,2381830.719999999739230,11899945.280000001192093
FS( 88 ),2503454.719999999739230,2878123.570000000298023,2095994.510000000009313,2086955.300000000046566,2374517.429999999701977,11939045.529999999329448
FS( 89 ),2545315.839999999850988,2859763.379999999888241,2089268.780000000027940,2086955.300000000046566,2371823.059999999590218,11953126.359999999403954
FS( 90 ),2633149.440000000409782,2866094.480000000447035,2078263.040000000037253,2086955.300000000046566,2384910.000000000000000,12049372.260000001639128
FS( 91 ),2634644.479999999515712,2869893.139999999664724,2077040.179999999934807,2074297.249999999767169,2382600.540000000037253,12038475.589999999850988
FS( 92 ),2683607.040000000037253,2907879.740000000223517,2092325.929999999934807,2098512.650000000372529,2378366.530000000260770,12160691.890000000596046
FS( 93 ),2720235.520000000484288,2916110.169999999925494,2106388.820000000298023,2093559.499999999767169,2394917.660000000149012,12231211.669999999925494
FS( 94 ),2657443.839999999850988,2893951.320000000298023,2091103.070000000065193,2082002.149999999674037,2377211.799999999813735,12101712.179999999701977
FS( 95 ),2681364.479999999515712,2907879.740000000223517,2105165.959999999962747,2094109.849999999627471,2387989.280000000260770,12176509.309999998658895
FS( 96 ),2680990.719999999739230,2957262.320000000298023,2111280.259999999776483,2116674.200000000186265,2404925.319999999366701,12271132.820000000298023
FS( 97 ),2749015.040000000037253,2970557.629999999888241,2103943.099999999627471,2118325.250000000000000,2312162.009999999776483,12254003.029999999329448
FS( 98 ),2739297.280000000260770,2948398.780000000260770,2117394.560000000521541,2102915.450000000186265,2255580.240000000223517,12163586.310000000521541
FS( 99 ),2757237.759999999776483,2972456.959999999962747,2114948.839999999850988,2098512.650000000372529,2253270.780000000260770,12196426.990000002086163
FS( 100 ),2789381.120000000111759,2974356.290000000037253,2109445.969999999739230,2099063.000000000000000,2262893.530000000260770,12235139.910000000149012
FS( 101 ),2807321.599999999627471,2971190.740000000223517,2104554.530000000260770,2098512.650000000372529,2250191.500000000000000,12231771.019999999552965
FS( 102 ),2858900.479999999515712,2990184.040000000037253,2104554.530000000260770,2099613.349999999627471,2268282.269999999552965,12321534.669999998062849
FS( 103 ),2896276.479999999515712,3011709.780000000260770,2135737.459999999962747,2097411.950000000186265,2274055.919999999925494,12415191.589999999850988
FS( 104 ),2907115.520000000484288,3004745.570000000298023,2127788.870000000111759,2115023.149999999441206,2264048.259999999776483,12418721.369999999180436
FS( 105 ),2910853.120000000111759,3001580.019999999552965,2114948.839999999850988,2128231.549999999813735,2271361.549999999813735,12426975.079999998211861
FS( 106 ),2846940.160000000149012,3000313.799999999813735,2116783.129999999888241,2146393.099999999627471,2286373.040000000037253,12396803.230000000447035
FS( 107 ),2831242.240000000223517,2937002.799999999813735,2102108.810000000521541,2129332.250000000000000,2269821.910000000149012,12269508.010000001639128
FS( 108 ),2833484.799999999813735,3000313.799999999813735,2103331.669999999925494,2139238.549999999813735,2304078.899999999441206,12380447.719999998807907
FS( 109 ),2894033.919999999925494,3027537.530000000260770,2118005.990000000223517,2158500.799999999813735,2300614.709999999962747,12498692.949999999254942
FS( 110 ),2910853.120000000111759,3045264.610000000335276,2125343.149999999441206,2151896.599999999627471,2312546.919999999925494,12545904.400000000372529
FS( 111 ),2947481.599999999627471,3076287.000000000000000,2144908.910000000149012,2164004.299999999813735,2335641.519999999552965,12668323.329999998211861
FS( 112 ),3033446.399999999441206,3111108.049999999813735,2147966.060000000521541,2172809.899999999441206,2347958.639999999664724,12813289.050000000745058
FS( 113 ),3148190.719999999739230,3132000.679999999701977,2146743.200000000186265,2172259.549999999813735,2351037.919999999925494,12950232.069999998435378
FS( 114 ),3126512.640000000596046,3114906.709999999962747,2150411.780000000260770,2176112.000000000000000,2356811.569999999366701,12924754.699999999254942
FS( 115 ),3126512.640000000596046,3105410.059999999590218,2144908.910000000149012,2177763.049999999813735,2341800.080000000074506,12896394.740000000223517
FS( 116 ),3209487.360000000335276,3091481.639999999664724,2152246.070000000298023,2182165.849999999627471,2337950.979999999515712,12973331.899999998509884
FS( 117 ),3235650.559999999590218,3126302.690000000409782,2158360.370000000111759,2181065.150000000372529,2332562.240000000223517,13033941.010000001639128
FS( 118 ),3216962.559999999590218,3152260.200000000186265,2174257.549999999813735,2189320.400000000372529,2331022.599999999627471,13063823.309999998658895
FS( 119 ),3200143.360000000335276,3145295.990000000223517,2183429.000000000000000,2182716.199999999254942,2334486.790000000037253,13046071.339999999850988
FS( 120 ),3182576.640000000596046,3136432.450000000186265,2185263.290000000037253,2169507.799999999813735,2338335.889999999664724,13012116.070000000298023
FS( 121 ),3240883.200000000186265,3173785.940000000409782,2198103.320000000298023,2164554.649999999441206,2355656.839999999850988,13132983.949999999254942
FS( 122 ),3280875.520000000484288,3168087.950000000186265,2197491.889999999664724,2127681.199999999254942,2351422.830000000074506,13125559.389999998733401
FS( 123 ),3297694.719999999739230,3159857.519999999552965,2221337.660000000149012,2105667.200000000186265,2355271.929999999701977,13139829.029999997466803
FS( 124 ),3256207.360000000335276,3159857.519999999552965,2256800.599999999627471,2095210.549999999813735,2341030.259999999776483,13109106.290000000968575
FS( 125 ),3201264.640000000596046,3185181.919999999925494,2262914.899999999441206,2104016.149999999441206,2355656.839999999850988,13109034.449999999254942
FS( 126 ),3303301.120000000111759,3164922.400000000372529,2266583.480000000447035,2119976.299999999813735,2361815.399999999441206,13216598.699999999254942
FS( 127 ),3360112.640000000596046,3165555.509999999776483,2254966.310000000521541,2116674.200000000186265,2334486.790000000037253,13231795.449999999254942
FS( 128 ),3333575.679999999701977,3156058.860000000335276,2245794.859999999403954,2112821.750000000000000,2319475.299999999813735,13167726.449999999254942
FS( 129 ),3383659.520000000484288,3204808.330000000074506,2246406.290000000037253,2072646.199999999720603,2335256.610000000335276,13242776.949999999254942
FS( 130 ),3397114.879999999888241,3202275.889999999664724,2228063.389999999664724,2061639.199999999953434,2314471.469999999739230,13203564.829999998211861
FS( 131 ),3355627.520000000484288,3125036.469999999739230,2201771.899999999441206,2025316.099999999627471,2306773.269999999552965,13014525.259999999776483
FS( 132 ),3343667.200000000186265,3149727.759999999776483,2204829.049999999813735,2057236.399999999906868,2301769.439999999478459,13057229.849999999627471
FS( 133 ),3325352.959999999962747,3205441.440000000409782,2207886.200000000186265,2066592.349999999627471,2314856.379999999888241,13120129.330000001937151
FS( 134 ),3231539.200000000186265,3226334.070000000298023,2199326.179999999701977,2050632.199999999720603,2300614.709999999962747,13008446.359999999403954
FS( 135 ),3097733.120000000111759,3272551.099999999627471,2214611.929999999701977,2059988.149999999906868,2331792.419999999925494,12976676.719999998807907
FS( 136 ),3255459.839999999850988,3294076.839999999850988,2261080.609999999403954,2077049.000000000000000,2381445.809999999590218,13269112.099999997764826
FS( 137 ),3248358.399999999441206,3280148.419999999925494,2267806.339999999850988,2072646.199999999720603,2388759.099999999627471,13257718.459999999031425
FS( 138 ),3136604.160000000149012,3264320.669999999925494,2256800.599999999627471,2099613.349999999627471,2376826.889999999664724,13134165.669999998062849
FS( 139 ),3059235.839999999850988,3257989.570000000298023,2266583.480000000447035,2131533.649999999441206,2403770.589999999850988,13119113.129999998956919
FS( 140 ),3052508.160000000149012,3235197.610000000335276,2253132.020000000484288,2122728.049999999813735,2291761.780000000260770,12955327.620000001043081
FS( 141 ),2991585.280000000260770,3243428.040000000037253,2265972.049999999813735,2173910.599999999627471,2223632.709999999962747,12898528.679999999701977
FS( 142 ),3256954.879999999888241,3286479.519999999552965,2291040.679999999701977,2172809.899999999441206,2207851.399999999441206,13215136.379999995231628
FS( 143 ),3244620.799999999813735,3283947.080000000074506,2314275.020000000484288,2209133.000000000000000,2269052.089999999850988,13321027.990000000223517
FS( 144 ),3219578.879999999888241,3289011.959999999962747,2343012.230000000447035,2214086.149999999441206,2272131.370000000111759,13337820.589999999850988
FS( 145 ),3118289.919999999925494,3278882.200000000186265,2333229.349999999627471,2222341.400000000372529,2267512.450000000186265,13220255.320000000298023
FS( 146 ),3108198.399999999441206,3312437.030000000260770,2352183.679999999701977,2232247.700000000186265,2273671.009999999776483,13278737.819999998435378
FS( 147 ),3128755.200000000186265,3337128.320000000298023,2358909.410000000149012,2234449.099999999627471,2271361.549999999813735,13330603.579999998211861
FS( 148 ),3106703.360000000335276,3321933.679999999701977,2367469.429999999701977,2236650.500000000000000,2270591.729999999515712,13303348.699999999254942
FS( 149 ),3018122.240000000223517,3289645.070000000298023,2354017.969999999739230,2215737.200000000186265,2259429.339999999850988,13136951.820000000298023
FS( 150 ),3040547.839999999850988,3253557.799999999813735,2362577.990000000223517,2230596.650000000372529,2278289.929999999701977,13165570.209999999031425
FS( 151 ),3033820.160000000149012,3204808.330000000074506,2358297.980000000447035,2231697.349999999627471,2272901.189999999478459,13101525.009999999776483
FS( 152 ),3039052.799999999813735,3172519.719999999739230,2347292.240000000223517,2215186.849999999627471,2272131.370000000111759,13046182.980000000447035
FS( 153 ),3046154.240000000223517,3204808.330000000074506,2366858.000000000000000,2231697.349999999627471,2278289.929999999701977,13127807.849999999627471
FS( 154 ),3025971.200000000186265,3187081.250000000000000,2368692.290000000037253,2265268.699999999254942,2287142.860000000335276,13134156.300000000745058
FS( 155 ),2980746.240000000223517,3157958.190000000409782,2350349.389999999664724,2250409.250000000000000,2273671.009999999776483,13013134.080000000074506
FS( 156 ),2953461.759999999776483,3081351.879999999888241,2340566.509999999776483,2259214.849999999627471,2284448.490000000223517,12919043.490000000223517
FS( 157 ),2915712.000000000000000,3087682.980000000447035,2333840.780000000260770,2249858.900000000372529,2278289.929999999701977,12865384.589999999850988
FS( 158 ),2830494.719999999739230,2976888.730000000447035,2296543.549999999813735,2276826.049999999813735,2374132.519999999552965,12754885.570000000298023
FS( 159 ),2831989.759999999776483,2978788.059999999590218,2264137.759999999776483,2285631.650000000372529,2403000.769999999552965,12763548.000000000000000
FS( 160 ),2996817.919999999925494,3014242.219999999739230,2278200.649999999441206,2275175.000000000000000,2426480.280000000260770,12990916.070000000298023
FS( 161 ),2974018.559999999590218,3055394.370000000111759,2268417.770000000484288,2277926.750000000000000,2453039.069999999366701,13028796.519999999552965
FS( 162 ),3046528.000000000000000,3055394.370000000111759,2268417.770000000484288,2277926.750000000000000,2453039.069999999366701,13101305.960000000894070
FS( 163 ),3018496.000000000000000,3147195.320000000298023,2309995.009999999776483,2277926.750000000000000,2504617.009999999776483,13258230.089999999850988
FS( 164 ),3002424.320000000298023,3130101.349999999627471,2300212.129999999888241,2281228.849999999627471,2513854.849999999627471,13227821.500000000000000
FS( 165 ),3055498.240000000223517,3151627.089999999850988,2306937.859999999403954,2297739.349999999627471,2528096.520000000484288,13339899.059999998658895
FS( 166 ),3092500.479999999515712,3147195.320000000298023,2294709.259999999776483,2279577.799999999813735,2518858.679999999701977,13332841.539999999105930
FS( 167 ),3084651.520000000484288,3123770.250000000000000,2284926.379999999888241,2291685.500000000000000,2533485.259999999776483,13318518.910000000149012
FS( 168 ),2995322.879999999888241,3036401.070000000298023,2234789.120000000111759,2258114.150000000372529,2523092.689999999478459,13047719.910000000149012
FS( 169 ),3012889.599999999627471,3087049.870000000111759,2251297.730000000447035,2275175.000000000000000,2540028.729999999515712,13166440.929999999701977
FS( 170 ),3005040.640000000596046,3097179.629999999888241,2239069.129999999888241,2267470.099999999627471,2521168.139999999664724,13129927.640000000596046
FS( 171 ),3051386.879999999888241,3203542.110000000335276,2281257.799999999813735,2298840.049999999813735,2537719.270000000484288,13372746.109999999403954
FS( 172 ),3052508.160000000149012,3244061.150000000372529,2270863.490000000223517,2291685.500000000000000,2535409.810000000521541,13394528.110000001266599
FS( 173 ),3098480.640000000596046,3314336.360000000335276,2300212.129999999888241,2335713.500000000000000,2625863.660000000149012,13674606.290000000968575
FS( 174 ),3049891.839999999850988,3251025.360000000335276,2282480.660000000149012,2342317.700000000186265,2599304.870000000111759,13525020.429999999701977
FS( 175 ),3076428.799999999813735,3307372.150000000372529,2298989.270000000484288,2363231.000000000000000,2606618.160000000149012,13652639.380000000819564
FS( 176 ),3055124.479999999515712,3226967.179999999701977,2283703.520000000484288,2365982.750000000000000,2581599.009999999776483,13513376.939999999478459
FS( 177 ),3051760.640000000596046,3302307.269999999552965,2315497.879999999888241,2407809.349999999627471,2603153.969999999739230,13680529.109999999403954
FS( 178 ),3065589.759999999776483,3283947.080000000074506,2326503.620000000111759,2396802.349999999627471,2607772.889999999664724,13680615.699999999254942
FS( 179 ),3127633.919999999925494,3312437.030000000260770,2322835.040000000037253,2411661.799999999813735,2622014.560000000521541,13796582.349999999627471
FS( 180 ),3136604.160000000149012,3353589.179999999701977,2315497.879999999888241,2406708.649999999441206,2610082.349999999627471,13822482.219999996945262
FS( 181 ),3127633.919999999925494,3344725.639999999664724,2309995.009999999776483,2383043.599999999627471,2637410.959999999962747,13802809.129999998956919
FS( 182 ),3084277.759999999776483,3245327.370000000111759,2283092.089999999850988,2384694.649999999441206,2605848.339999999850988,13603240.209999997168779
FS( 183 ),3108198.399999999441206,3293443.730000000447035,2291040.679999999701977,2418816.349999999627471,2590451.939999999478459,13701951.099999997764826
FS( 184 ),3047649.280000000260770,3261788.230000000447035,2286149.240000000223517,2402305.849999999627471,2624324.020000000484288,13622216.620000001043081
FS( 185 ),3054376.959999999962747,3284580.190000000409782,2295320.689999999478459,2412762.500000000000000,2639720.419999999925494,13686760.759999999776483
FS( 186 ),3067458.559999999590218,3263687.559999999590218,2333840.780000000260770,2409460.400000000372529,2640105.330000000074506,13714552.629999998956919
FS( 187 ),3038305.280000000260770,3272551.099999999627471,2340566.509999999776483,2419917.049999999813735,2628942.939999999478459,13700282.880000000819564
FS( 188 ),3118289.919999999925494,3354855.400000000372529,2390703.770000000484288,2445783.500000000000000,2683600.160000000149012,13993232.750000000000000
FS( 189 ),3163888.640000000596046,3356121.620000000111759,2412715.250000000000000,2472750.649999999441206,2669358.489999999292195,14074834.649999998509884
FS( 190 ),3200517.120000000111759,3270018.660000000149012,2420052.410000000149012,2473851.349999999627471,2723245.889999999664724,14087685.429999999701977
FS( 191 ),3256581.120000000111759,3299141.719999999739230,2398652.359999999403954,2470549.250000000000000,2735947.919999999925494,14160872.369999999180436
