代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10896215.279999999329448
真實報酬,896215.279999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17563.287681797864934
風險,53078.856981705524959
起點值,0.330890465253450
找到最佳解世代,2354
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](2),CSCO[4](3),CVX[5](14),DIS[6](4),INTC[11](7),MCD[15](24),VZ[26](5),
FS( 36 ),1536938.459999999962747,1541563.879999999888241,1513182.600000000093132,1487104.299999999813735,1631108.500000000000000,1442154.040000000270084,1494220.010000000009313,10646274.789999999105930
FS( 37 ),1535585.979999999981374,1533492.959999999962747,1520500.359999999869615,1486027.000000000000000,1632728.800000000046566,1442012.550000000046566,1504506.030000000027940,10654856.679999999701977
FS( 38 ),1526287.679999999934807,1522938.679999999934807,1506665.220000000204891,1484590.600000000093132,1647311.500000000000000,1435786.990000000223517,1490892.180000000167638,10614475.849999999627471
FS( 39 ),1527640.159999999916181,1534734.639999999897555,1500490.859999999869615,1506495.699999999953434,1667835.300000000046566,1437767.850000000093132,1494825.070000000065193,10669792.580000000074506
FS( 40 ),1536769.400000000139698,1530388.759999999776483,1496946.319999999832362,1516370.949999999953434,1662434.300000000046566,1436352.950000000186265,1488774.470000000204891,10668040.150000000372529
FS( 41 ),1555027.880000000121072,1533492.959999999962747,1490543.280000000260770,1531632.699999999953434,1670535.800000000046566,1435645.500000000000000,1492102.300000000046566,10708983.420000001788139
FS( 42 ),1571088.580000000074506,1542805.560000000055879,1492715.740000000223517,1539532.899999999906868,1668915.500000000000000,1425458.220000000204891,1480303.630000000121072,10720823.130000002682209
FS( 43 ),1581063.119999999878928,1557084.879999999888241,1492601.399999999906868,1552640.050000000046566,1673236.300000000046566,1429136.960000000195578,1493614.949999999953434,10779380.660000000149012
FS( 44 ),1580386.880000000121072,1553980.679999999934807,1489056.859999999869615,1552101.399999999906868,1673236.300000000046566,1422486.930000000167638,1502388.320000000065193,10773640.370000001043081
FS( 45 ),1589685.179999999934807,1563914.120000000111759,1500033.500000000000000,1559283.399999999906868,1681877.900000000139698,1428853.980000000214204,1503900.970000000204891,10827552.050000000745058
FS( 46 ),1622482.820000000065193,1566397.479999999981374,1491801.020000000018626,1554794.649999999906868,1675936.800000000046566,1417393.290000000270084,1505111.090000000083819,10833920.150000000372529
FS( 47 ),1612001.099999999860302,1556464.040000000037253,1485283.640000000130385,1541687.500000000000000,1662974.399999999906868,1416261.370000000344589,1475160.620000000111759,10749835.670000001788139
FS( 48 ),1612677.340000000083819,1579435.120000000111759,1502320.299999999813735,1566106.300000000046566,1668375.400000000139698,1430127.390000000130385,1479396.040000000037253,10838440.890000000596046
FS( 49 ),1606760.239999999990687,1579435.120000000111759,1489285.540000000037253,1559642.500000000000000,1688359.100000000093132,1423194.380000000121072,1501783.260000000009313,10848463.140000000596046
FS( 50 ),1609803.320000000065193,1584401.839999999850988,1468933.020000000018626,1560181.149999999906868,1687819.000000000000000,1420223.090000000316650,1522355.300000000046566,10853719.720000000670552
FS( 51 ),1630597.699999999953434,1579435.120000000111759,1477965.879999999888241,1557847.000000000000000,1700781.399999999906868,1421637.990000000223517,1528708.430000000167638,10896976.519999999552965
FS( 52 ),1611493.919999999925494,1593714.439999999944121,1477965.879999999888241,1546894.449999999953434,1712663.600000000093132,1419232.660000000149012,1534153.970000000204891,10896121.920000001788139
FS( 53 ),1602364.679999999934807,1612960.479999999981374,1496603.299999999813735,1532530.449999999953434,1871453.000000000000000,1404659.190000000176951,1541717.220000000204891,11062291.320000000298023
FS( 54 ),1573793.540000000037253,1591231.079999999841675,1487341.760000000242144,1526784.849999999860302,1820143.500000000232831,1391925.090000000316650,1522355.300000000046566,10913578.120000001043081
FS( 55 ),1596447.580000000074506,1608614.599999999860302,1490886.299999999813735,1540789.750000000000000,1820143.500000000232831,1400697.470000000204891,1535364.090000000083819,10992946.289999999105930
FS( 56 ),1588163.639999999897555,1604889.560000000055879,1501176.899999999906868,1539532.899999999906868,1839587.100000000093132,1380322.910000000149012,1533851.440000000176951,10987527.449999999254942
FS( 57 ),1601350.320000000065193,1611097.959999999962747,1515926.760000000242144,1547971.749999999767169,1879014.399999999906868,1362212.190000000176951,1542322.280000000027940,11059898.660000000149012
FS( 58 ),1643108.139999999897555,1594335.279999999795109,1530790.959999999962747,1544919.400000000139698,1863351.500000000000000,1349195.110000000102445,1540204.570000000065193,11065907.960000000894070
FS( 59 ),1640403.179999999934807,1603647.879999999888241,1541881.939999999944121,1558565.199999999953434,1849849.000000000000000,1349195.110000000102445,1544439.989999999990687,11087985.300000000745058
FS( 60 ),1651223.020000000018626,1612339.639999999897555,1527246.419999999925494,1548330.850000000093132,1849849.000000000000000,1354430.240000000223517,1551398.180000000167638,11094820.349999999627471
FS( 61 ),1674046.119999999878928,1609235.439999999944121,1523473.200000000186265,1564849.449999999953434,1848768.799999999813735,1355279.180000000167638,1560474.080000000074506,11136129.269999999552965
FS( 62 ),1663226.280000000027940,1596197.800000000046566,1514097.319999999832362,1547792.199999999953434,1846608.399999999906868,1355845.140000000130385,1572272.750000000000000,11096042.890000000596046
FS( 63 ),1659337.900000000139698,1591231.079999999841675,1515355.060000000055879,1565926.749999999767169,1855250.000000000000000,1357684.510000000242144,1565919.620000000111759,11110707.920000001788139
FS( 64 ),1616227.599999999860302,1566397.479999999981374,1477737.200000000186265,1542046.599999999860302,1830405.400000000139698,1338017.400000000139698,1525380.600000000093132,10896215.279999999329448
