代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12607843.500000000000000
真實報酬,2607843.500000000000000

夏普值報酬,0.252084350000000
夏普值風險,0.074518697888493
夏普值,3.382833532292937

二次趨勢線,69.584965311015225 x^2 + -8186.214042402051746 x + 10000000.000000000000000
二次加權預期報酬,15240.724278973069886
風險,227679.344600028765853
二次加權趨勢值,0.066939424416154
一次趨勢線,4991.387091367519133 x + 10000000.000000000000000
一次預期報酬,4991.387091367519133
一次風險,546211.517641067504883
一次趨勢值,0.009138194509197
找到最佳解世代,2078
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](11),MRK[17](1),PFE[20](2),
FS( 76 ),3028098.939999999478459,3228924.500000000000000,3264557.250000000000000,9521581.689999999478459
FS( 77 ),2988378.019999999552965,3186564.479999999981374,3162769.140000000130385,9337712.640000000596046
FS( 78 ),3046802.479999999515712,3224151.540000000037253,3213204.689999999944121,9484159.709999999031425
FS( 79 ),3036583.019999999552965,3206849.560000000055879,3210453.659999999683350,9453887.240000000223517
FS( 80 ),3054515.279999999795109,3286796.640000000130385,3237046.949999999720603,9578359.869999999180436
FS( 81 ),3015372.819999999366701,3249806.200000000186265,3254470.140000000130385,9519650.160000000149012
FS( 82 ),3041210.699999999720603,3178211.800000000279397,3214121.699999999720603,9433545.199999999254942
FS( 83 ),3092886.459999999962747,3227134.640000000130385,3271893.330000000074506,9591915.429999999701977
FS( 84 ),3118531.519999999552965,3253982.540000000037253,3313158.780000000260770,9685673.839999999850988
FS( 85 ),3161337.559999999590218,3253385.919999999925494,3276478.379999999422580,9691202.859999999403954
FS( 86 ),3109276.159999999683350,3183581.379999999888241,3225125.819999999832362,9517984.359999999403954
FS( 87 ),3108890.519999999552965,3350634.979999999981374,3251719.109999999869615,9711245.609999999403954
FS( 88 ),3138584.799999999813735,3370323.439999999944121,3296652.600000000093132,9805561.839999999850988
FS( 89 ),3149575.539999999571592,3353021.460000000428408,3281980.439999999944121,9784578.439999999478459
FS( 90 ),3116410.500000000000000,3385238.939999999944121,3330581.969999999739230,9832232.410000000149012
FS( 91 ),3118531.519999999552965,3410893.600000000093132,3330581.969999999739230,9860008.089999999850988
FS( 92 ),3116603.319999999366701,3499193.359999999869615,3349839.180000000167638,9965636.859999999403954
FS( 93 ),3134342.759999999776483,3536183.800000000279397,3331498.979999999981374,10002026.540000000968575
FS( 94 ),3120074.079999999608845,3515302.100000000093132,3346171.140000000130385,9981548.320000000298023
FS( 95 ),3076111.119999999646097,3498596.740000000223517,3349839.180000000167638,9924548.039999999105930
FS( 96 ),3061456.799999999813735,3509932.520000000018626,3359009.280000000260770,9930399.600000001490116
FS( 97 ),3065698.839999999850988,3594652.560000000055879,3374598.449999999720603,10034950.849999999627471
FS( 98 ),3033497.899999999441206,3585106.640000000130385,3398440.709999999962747,10017046.250000000000000
FS( 99 ),3006888.739999999757856,3557662.120000000111759,3363594.330000000074506,9928146.189999999478459
FS( 100 ),3063963.459999999962747,3544536.479999999981374,3379183.500000000000000,9987684.439999999478459
FS( 101 ),3052394.259999999776483,3548116.200000000186265,3392938.649999999906868,9993450.109999999403954
FS( 102 ),3228631.739999999757856,3512319.000000000000000,3357175.259999999776483,10098127.000000000000000
FS( 103 ),3151503.739999999757856,3459219.819999999832362,3246217.049999999813735,9856941.609999999403954
FS( 104 ),3098285.419999999925494,3418649.659999999683350,3199449.540000000037253,9716385.620000001043081
FS( 105 ),3086716.219999999739230,3432371.919999999925494,3187528.409999999683350,9706617.549999998882413
FS( 106 ),3182162.119999999646097,3445497.560000000055879,3194864.490000000223517,9822525.169999999925494
FS( 107 ),3181583.659999999683350,3423422.620000000111759,3203117.580000000074506,9808124.859999999403954
FS( 108 ),3177148.799999999813735,3386432.180000000167638,3207702.629999999422580,9771284.609999999403954
FS( 109 ),3166929.339999999850988,3457429.960000000428408,3225125.819999999832362,9849486.120000001043081
FS( 110 ),3182933.399999999441206,3463992.780000000260770,3213204.689999999944121,9860131.869999999180436
FS( 111 ),3189103.639999999199063,3561241.839999999850988,3255387.149999999906868,10005733.629999998956919
FS( 112 ),3176184.699999999720603,3560645.220000000204891,3288399.509999999776483,10025230.429999999701977
FS( 113 ),3144176.579999999608845,3532007.460000000428408,3272810.339999999850988,9948995.379999998956919
FS( 114 ),3140513.000000000000000,3564821.560000000055879,3271893.330000000074506,9977228.890000000596046
FS( 115 ),3110433.079999999608845,3524251.399999999906868,3274644.359999999869615,9909329.839999999850988
FS( 116 ),3104070.019999999552965,3528427.740000000223517,3268225.290000000037253,9900724.050000000745058
FS( 117 ),3113711.019999999552965,3494420.399999999906868,3282897.449999999720603,9891029.869999999180436
FS( 118 ),3074568.559999999590218,3487260.960000000428408,3275561.369999999646097,9837391.889999998733401
FS( 119 ),3116410.500000000000000,3530217.600000000093132,3298486.619999999646097,9945115.719999998807907
FS( 120 ),3131257.639999999199063,3527831.120000000111759,3291150.540000000037253,9950240.300000000745058
FS( 121 ),3147068.879999999888241,3525444.640000000130385,3271893.330000000074506,9944407.849999999627471
FS( 122 ),3097128.500000000000000,3484277.859999999869615,3273727.350000000093132,9855134.709999999031425
FS( 123 ),3120266.899999999441206,3563031.700000000186265,3305822.699999999720603,9989122.299999998882413
FS( 124 ),3085366.479999999515712,3551695.919999999925494,3294818.580000000074506,9931881.980000000447035
FS( 125 ),3068976.779999999795109,3613147.780000000260770,3324162.899999999906868,10006288.460000000894070
FS( 126 ),3089415.699999999720603,3700254.300000000279397,3342503.100000000093132,10132174.099999999627471
FS( 127 ),3075147.019999999552965,3662667.240000000223517,3341586.089999999850988,10079401.349999999627471
FS( 128 ),3131064.819999999366701,3694884.720000000204891,3336084.030000000260770,10162034.570000000298023
FS( 129 ),3267967.019999999552965,3698464.439999999944121,3346171.140000000130385,10312603.599999999627471
FS( 130 ),3256976.279999999795109,3733665.020000000018626,3362677.319999999832362,10353319.619999999180436
FS( 131 ),3210313.839999999850988,3718749.520000000018626,3328747.949999999720603,10257812.309999998658895
FS( 132 ),3214941.519999999552965,3725312.339999999850988,3328747.949999999720603,10269002.809999998658895
FS( 133 ),3212049.219999999739230,3734261.640000000130385,3321411.869999999646097,10267723.729999998584390
FS( 134 ),3221111.759999999776483,3672809.780000000260770,3315909.809999999590218,10209832.349999999627471
FS( 135 ),3209735.379999999888241,3700850.919999999925494,3334250.009999999776483,10244837.309999998658895
FS( 136 ),3206264.619999999646097,3638802.439999999944121,3315909.809999999590218,10160977.869999999180436
FS( 137 ),3181005.199999999720603,3641188.919999999925494,3321411.869999999646097,10143606.989999998360872
FS( 138 ),3134535.579999999608845,3656104.419999999925494,3343420.109999999869615,10134061.109999999403954
FS( 139 ),3095393.119999999646097,3650138.220000000204891,3328747.949999999720603,10074280.289999999105930
FS( 140 ),3172906.759999999776483,3667440.200000000186265,3348005.159999999683350,10188353.119999999180436
FS( 141 ),3081510.079999999608845,3644172.020000000018626,3336084.030000000260770,10061767.129999998956919
FS( 142 ),3102720.279999999795109,3622693.700000000186265,3336084.030000000260770,10061499.010000001639128
FS( 143 ),3035426.099999999627471,3572577.620000000111759,3320494.859999999869615,9928499.580000000074506
FS( 144 ),3014215.899999999441206,3597635.659999999683350,3334250.009999999776483,9946102.569999998435378
FS( 145 ),3021350.239999999757856,3621500.460000000428408,3326913.930000000167638,9969765.630000000819564
FS( 146 ),3024821.000000000000000,3607181.580000000074506,3331498.979999999981374,9963502.560000000521541
FS( 147 ),3017301.019999999552965,3622097.080000000074506,3333333.000000000000000,9972732.099999999627471
FS( 148 ),3033497.899999999441206,3677582.740000000223517,3381017.519999999552965,10092099.160000000149012
FS( 149 ),3073990.099999999627471,3710993.460000000428408,3403025.759999999776483,10188010.320000000298023
FS( 150 ),3084016.739999999757856,3700254.300000000279397,3407610.809999999590218,10191882.849999999627471
FS( 151 ),3097128.500000000000000,3716959.659999999683350,3432370.080000000074506,10246459.240000000223517
FS( 152 ),3058564.500000000000000,3693094.859999999869615,3412195.859999999869615,10163856.219999998807907
FS( 153 ),3068205.500000000000000,3738437.979999999981374,3440623.170000000391155,10247267.650000000372529
FS( 154 ),3056443.479999999515712,3752160.240000000223517,3441540.180000000167638,10250144.900000000372529
FS( 155 ),3061649.619999999646097,3734261.640000000130385,3427785.030000000260770,10223697.289999999105930
FS( 156 ),3080353.159999999683350,3730681.919999999925494,3452544.299999999813735,10263580.379999998956919
FS( 157 ),3045259.919999999925494,3755143.339999999850988,3453461.309999999590218,10253865.570000000298023
FS( 158 ),3035233.279999999795109,3729488.680000000167638,3425951.009999999776483,10190673.969999998807907
FS( 159 ),3046031.199999999720603,3730085.300000000279397,3423199.979999999981374,10199317.480000000447035
FS( 160 ),3061071.159999999683350,3740227.839999999850988,3412195.859999999869615,10213495.859999999403954
FS( 161 ),3045452.739999999757856,3783781.100000000093132,3457129.350000000093132,10286364.189999999478459
FS( 162 ),3063770.639999999199063,3847619.439999999944121,3483722.640000000130385,10395113.719999998807907
FS( 163 ),3010745.139999999199063,3818981.680000000167638,3499311.809999999590218,10329039.629999998956919
FS( 164 ),3036583.019999999552965,3787957.439999999944121,3522237.059999999590218,10346778.519999999552965
FS( 165 ),3058950.139999999199063,3866711.280000000260770,3538743.240000000223517,10464405.660000000149012
FS( 166 ),3037739.939999999478459,3929953.000000000465661,3661622.580000000074506,10629316.519999999552965
FS( 167 ),3025785.099999999627471,3907281.439999999944121,3692800.920000000391155,10625868.459999999031425
FS( 168 ),2996669.279999999795109,3891172.700000000186265,3635946.299999999813735,10523789.280000001192093
FS( 169 ),3012094.879999999888241,3933532.720000000670552,3717560.189999999944121,10663188.790000000968575
FS( 170 ),3021928.699999999720603,3950834.700000000186265,3763410.689999999944121,10736175.089999999850988
FS( 171 ),3008816.939999999478459,3972313.020000000018626,3745070.490000000223517,10726201.449999999254942
FS( 172 ),3064349.099999999627471,3978875.839999999850988,3797340.059999999590218,10840566.000000000000000
FS( 173 ),3071676.259999999776483,3937709.060000000055879,3759742.649999999906868,10769128.970000000670552
FS( 174 ),3059721.419999999925494,3941885.399999999441206,3753323.580000000074506,10754931.399999998509884
FS( 175 ),3049309.139999999199063,3980665.700000000186265,3742319.459999999962747,10772295.300000000745058
FS( 176 ),3096742.859999999403954,3965153.579999999608845,3733149.359999999869615,10795046.799999998882413
FS( 177 ),3082859.819999999366701,4019446.000000000465661,3774414.809999999590218,10876721.629999998956919
FS( 178 ),3118531.519999999552965,4107745.759999999776483,3798257.069999999832362,11024535.349999999627471
FS( 179 ),3107347.959999999962747,4120274.780000000260770,3859696.740000000223517,11087320.480000000447035
FS( 180 ),3117567.419999999925494,4186499.600000000093132,3881704.979999999981374,11185773.000000000000000
FS( 181 ),3105226.939999999478459,4126837.600000000093132,3866115.809999999590218,11098181.349999997764826
FS( 182 ),3095778.759999999776483,4119081.540000000502914,3857862.719999999739230,11072724.019999999552965
FS( 183 ),3066855.759999999776483,4114905.200000000186265,3869783.850000000093132,11051545.810000000521541
FS( 184 ),3073218.819999999366701,4119081.540000000502914,3888124.049999999813735,11080425.410000000149012
FS( 185 ),3094429.019999999552965,4116098.439999999944121,3812929.229999999981374,11023457.689999999478459
FS( 186 ),3116796.139999999199063,4094620.119999999646097,3805593.149999999906868,11017010.409999998286366
FS( 187 ),3145140.680000000167638,4105359.280000000260770,3805593.149999999906868,11056094.110000001266599
FS( 188 ),3139163.259999999776483,4089250.540000000502914,3805593.149999999906868,11034007.950000001117587
FS( 189 ),3128172.519999999552965,4092233.640000000130385,3807427.170000000391155,11027834.330000000074506
FS( 190 ),3118338.699999999720603,4054049.960000000428408,3793672.019999999552965,10966061.679999999701977
FS( 191 ),3147647.339999999850988,4094023.500000000465661,3837688.500000000000000,11079360.339999999850988
FS( 192 ),3157288.339999999850988,4139366.619999999646097,3831269.430000000167638,11127925.389999998733401
FS( 193 ),3160373.459999999962747,4156668.600000000093132,3869783.850000000093132,11186826.910000000149012
FS( 194 ),3182933.399999999441206,4150105.780000000260770,3856945.709999999962747,11189985.890000000596046
FS( 195 ),3174256.500000000000000,4121468.020000000018626,3879870.959999999962747,11175596.480000000447035
FS( 196 ),3176570.339999999850988,4168004.379999999888241,3889041.059999999590218,11233616.779999999329448
FS( 197 ),3131450.459999999962747,4225876.519999999552965,3929389.500000000000000,11286717.480000000447035
FS( 198 ),3101370.539999999571592,4175163.820000000298023,3939476.609999999869615,11216011.969999998807907
FS( 199 ),3049309.139999999199063,4201415.099999999627471,3944061.659999999683350,11194786.899999998509884
FS( 200 ),3042174.799999999813735,4201415.099999999627471,3989912.159999999683350,11233503.059999998658895
FS( 201 ),3069362.419999999925494,4175163.820000000298023,3966986.909999999683350,11211514.150000000372529
FS( 202 ),3100406.439999999478459,4222893.419999999925494,4011920.399999999906868,11335221.259999999776483
FS( 203 ),3187368.259999999776483,4241985.259999999776483,4040347.709999999962747,11469702.230000000447035
FS( 204 ),3148997.079999999608845,4222893.419999999925494,4028426.580000000074506,11400318.080000000074506
FS( 205 ),3208771.279999999795109,4215137.360000001266599,4015588.439999999944121,11439498.080000000074506
FS( 206 ),3196237.979999999515712,4196045.519999999552965,4005501.330000000074506,11397785.829999998211861
FS( 207 ),3211085.119999999646097,4219313.699999999254942,4025675.549999999813735,11456075.369999997317791
FS( 208 ),3225739.439999999478459,4232439.339999999850988,4041264.719999999739230,11499444.500000000000000
FS( 209 ),3213784.599999999627471,4267639.919999999925494,4059604.920000000391155,11541030.439999999478459
FS( 210 ),3185054.419999999925494,4280765.560000000521541,4055019.869999999646097,11520840.849999999627471
FS( 211 ),3175027.779999999795109,4258094.000000000000000,4109123.459999999962747,11542246.239999998360872
FS( 212 ),3197009.259999999776483,4249144.699999999254942,4099036.350000000093132,11545191.309999998658895
FS( 213 ),3211856.399999999441206,4237808.919999999925494,4118293.559999999590218,11567959.879999998956919
FS( 214 ),3234994.799999999813735,4263463.580000000074506,4152222.930000000167638,11650682.310000000521541
FS( 215 ),3274715.719999999739230,4315966.140000000596046,4169646.119999999646097,11760328.980000000447035
FS( 216 ),3246564.000000000000000,4203204.960000000894070,4081613.159999999683350,11531383.120000001043081
FS( 217 ),3142441.199999999720603,4079108.000000000465661,3925721.459999999962747,11147271.660000000149012
FS( 218 ),3158830.899999999441206,4165021.280000000260770,4014671.430000000167638,11338524.609999999403954
FS( 219 ),3155938.599999999627471,4144139.579999999608845,3954148.769999999552965,11254227.949999999254942
FS( 220 ),3163651.399999999441206,4249144.699999999254942,4028426.580000000074506,11441223.679999999701977
FS( 221 ),3215712.799999999813735,4284941.900000000372529,4087115.219999999739230,11587770.919999999925494
FS( 222 ),3216484.079999999608845,4308210.080000000074506,4034845.649999999906868,11559540.810000000521541
FS( 223 ),3229595.839999999850988,4316562.759999999776483,4080696.149999999906868,11626855.750000000000000
FS( 224 ),3213013.319999999366701,4329688.400000000372529,4068775.019999999552965,11611477.739999998360872
FS( 225 ),3415859.959999999962747,4301647.259999999776483,4044015.750000000000000,11761523.969999998807907
FS( 226 ),3419716.359999999403954,4208574.540000000968575,3895460.129999999422580,11523752.029999999329448
FS( 227 ),3380381.079999999608845,4173970.579999999608845,3980742.059999999590218,11535094.719999998807907
FS( 228 ),3342395.539999999571592,4200221.860000001266599,3906464.250000000000000,11449082.650000000372529
FS( 229 ),3340274.519999999552965,4262866.960000000894070,3964235.879999999422580,11567378.359999999403954
FS( 230 ),3441697.839999999850988,4347587.000000000000000,3933057.540000000037253,11722343.379999998956919
FS( 231 ),3411039.459999999962747,4391736.880000000819564,3948646.709999999962747,11751424.050000000745058
FS( 232 ),3372089.819999999366701,4362502.500000000000000,4004584.319999999832362,11739177.639999998733401
FS( 233 ),3408147.159999999683350,4311789.800000000745058,3936725.580000000074506,11656663.540000000968575
FS( 234 ),3478333.639999999199063,4362502.500000000000000,3990829.170000000391155,11831666.309999998658895
FS( 235 ),3523067.879999999888241,4373838.279999999329448,3944061.659999999683350,11840968.819999998435378
FS( 236 ),3552762.159999999683350,4479440.019999999552965,4071526.049999999813735,12103729.230000000447035
FS( 237 ),3576479.019999999552965,4503304.820000000298023,4021090.500000000000000,12100875.339999999850988
FS( 238 ),3585348.739999999757856,4466314.380000000819564,4060521.930000000167638,12112186.050000000745058
FS( 239 ),3555076.000000000000000,4456171.839999999850988,4044932.759999999776483,12056181.599999999627471
FS( 240 ),3548134.479999999515712,4451398.880000000819564,3990829.170000000391155,11990363.530000001192093
FS( 241 ),3545049.359999999403954,4420374.640000000596046,3934891.559999999590218,11900316.559999998658895
FS( 242 ),3539457.579999999608845,4465121.140000000596046,3962401.859999999869615,11966981.580000000074506
FS( 243 ),3617164.039999999571592,4537908.779999999329448,3989912.159999999683350,12144985.979999998584390
FS( 244 ),3600388.699999999720603,4555210.759999999776483,4051351.830000000074506,12206952.289999999105930
FS( 245 ),3542349.879999999888241,4461541.419999999925494,3991746.180000000167638,11995638.480000000447035
FS( 246 ),3523260.699999999720603,4462138.040000000968575,3952314.750000000000000,11937714.490000000223517
FS( 247 ),3508027.919999999925494,4454978.599999999627471,3955982.790000000037253,11918990.309999998658895
FS( 248 ),3545820.639999999199063,4500918.339999999850988,3974322.990000000223517,12021062.969999998807907
FS( 249 ),3560089.319999999366701,4554614.140000000596046,4041264.719999999739230,12155969.179999999701977
FS( 250 ),3622177.359999999403954,4607713.320000000298023,4117376.549999999813735,12347268.230000000447035
FS( 251 ),3649364.979999999515712,4648283.480000000447035,4173314.159999999683350,12470963.619999999180436
FS( 252 ),3634903.479999999515712,4733600.140000000596046,4239338.879999998956919,12607843.500000000000000
