代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12112192.480000000447035
真實報酬,2112192.480000000447035

夏普值報酬,0.202519248000000
夏普值風險,0.061183321037143
夏普值,3.310040131313807

二次趨勢線,14.429569824346833 x^2 + 5331.431389957750071 x + 10000000.000000000000000
二次加權預期報酬,10208.625990586977423
風險,154378.171116272686049
二次加權趨勢值,0.066127392990672
一次趨勢線,8074.842680052944161 x + 10000000.000000000000000
一次預期報酬,8074.842680052944161
一次風險,186014.880974463681923
一次趨勢值,0.043409659688256
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](1),PG[21](4),WMT[28](9),
FS( 24 ),3720880.580000000074506,3569605.799999999813735,3013850.760000000242144,10304338.140000000596046
FS( 25 ),3749237.720000000204891,3570069.080000000074506,3027335.399999999906868,10346643.200000001117587
FS( 26 ),3716829.559999999590218,3539029.319999999832362,3039782.760000000242144,10295642.639999998733401
FS( 27 ),3687122.080000000074506,3501040.359999999403954,3048599.640000000130385,10236763.080000000074506
FS( 28 ),3662140.790000000037253,3493164.600000000093132,3033559.080000000540167,10188865.470000000670552
FS( 29 ),3674969.020000000018626,3510305.959999999497086,3043413.240000000223517,10228689.219999998807907
FS( 30 ),3627031.949999999720603,3519108.279999999795109,2986362.840000000316650,10132504.070000000298023
FS( 31 ),3580445.220000000204891,3458881.879999999888241,2953688.520000000484288,9993016.620000001043081
FS( 32 ),3580445.220000000204891,3426452.279999999795109,2926200.600000000093132,9933099.099999999627471
FS( 33 ),3625681.610000000335276,3488531.799999999813735,3001403.399999999906868,10115617.810000000521541
FS( 34 ),3626356.779999999795109,3477876.359999999403954,3107724.600000000093132,10211958.739999998360872
FS( 35 ),3661465.619999999646097,3516328.600000000093132,3160107.240000000223517,10337902.460000000894070
FS( 36 ),3664841.470000000204891,3531153.560000000055879,3148178.520000000484288,10344174.550000000745058
FS( 37 ),3652688.410000000149012,3512622.359999999403954,3115504.200000000186265,10280815.969999998807907
FS( 38 ),3646611.879999999888241,3519571.560000000055879,3125358.359999999869615,10291542.799999998882413
FS( 39 ),3610827.869999999646097,3541809.000000000000000,3107724.600000000093132,10260362.469999998807907
FS( 40 ),3627031.949999999720603,3516328.600000000093132,3124321.080000000540167,10267682.630000000819564
FS( 41 ),3643236.029999999795109,3507063.000000000000000,3106168.680000000167638,10256468.709999999031425
FS( 42 ),3579094.879999999888241,3467220.919999999925494,3051711.480000000447035,10098028.280000001192093
FS( 43 ),3684421.399999999906868,3518181.719999999739230,3059491.080000000540167,10262095.199999999254942
FS( 44 ),3633783.649999999906868,3511232.520000000018626,3026298.120000000111759,10171315.289999999105930
FS( 45 ),3550737.740000000223517,3508916.119999999646097,3062084.280000000260770,10121739.140000000596046
FS( 46 ),3621630.589999999850988,3605741.639999999664724,3094239.959999999962747,10321613.189999999478459
FS( 47 ),3624331.270000000018626,3630758.760000000242144,3137805.720000000204891,10392896.750000000000000
FS( 48 ),3610152.699999999720603,3602035.399999999906868,3091646.760000000242144,10303835.859999999403954
FS( 49 ),3566266.649999999906868,3599719.000000000000000,3066752.040000000502914,10232738.690000001341105
FS( 50 ),3625006.439999999944121,3603888.520000000018626,3089053.560000000521541,10317949.519999999552965
FS( 51 ),3521030.259999999776483,3603425.239999999757856,3078680.760000000242144,10203137.259999999776483
FS( 52 ),3524406.110000000335276,3627052.520000000018626,3132100.680000000167638,10283560.310000000521541
FS( 53 ),3571668.009999999776483,3691448.440000000409782,3093202.680000000167638,10356320.130000000819564
FS( 54 ),3647287.050000000279397,3752138.119999999646097,3127432.919999999925494,10526859.089999999850988
FS( 55 ),3555463.929999999701977,3719708.520000000018626,3058972.439999999944121,10334145.889999998733401
FS( 56 ),3486596.589999999850988,3619640.039999999571592,3052230.120000000111759,10158467.750000000000000
FS( 57 ),3502125.500000000000000,3657629.000000000000000,3088534.919999999925494,10248290.419999999925494
FS( 58 ),3517654.410000000149012,3687742.199999999720603,3139880.280000000260770,10345277.890000000596046
FS( 59 ),3577069.369999999646097,3702567.160000000149012,3168405.480000000447035,10448043.009999999776483
FS( 60 ),3568292.160000000149012,3696544.520000000018626,3154920.840000000316650,10419758.519999999552965
FS( 61 ),3567616.990000000223517,3702567.160000000149012,3150771.720000000204891,10420956.870000001043081
FS( 62 ),3601375.490000000223517,3722951.479999999981374,3195374.760000000242144,10519702.730000000447035
FS( 63 ),3595298.959999999962747,3709516.359999999403954,3199005.240000000223517,10503821.559999998658895
FS( 64 ),3566266.649999999906868,3678939.879999999888241,3179296.919999999925494,10424504.449999999254942
FS( 65 ),3543310.869999999646097,3630758.760000000242144,3187595.160000000149012,10361665.789999999105930
FS( 66 ),3588547.259999999776483,3642340.760000000242144,3263316.600000000093132,10494205.619999999180436
FS( 67 ),3539259.850000000093132,3607131.479999999981374,3295990.919999999925494,10442383.250000000000000
FS( 68 ),3508202.029999999795109,3575628.440000000409782,3372749.640000000130385,10456581.110000001266599
FS( 69 ),3448787.069999999832362,3519571.560000000055879,3295472.280000000260770,10263831.910000000149012
FS( 70 ),3460264.959999999962747,3552001.160000000149012,3330739.800000000279397,10343006.919999999925494
FS( 71 ),3494698.629999999888241,3544588.680000000167638,3299621.399999999906868,10338909.710000000894070
FS( 72 ),3420429.929999999701977,3514012.199999999720603,3211452.600000000093132,10145895.729999998584390
FS( 73 ),3497399.309999999590218,3527910.600000000093132,3270577.560000000521541,10295888.470000000670552
FS( 74 ),3452838.089999999850988,3473706.840000000316650,3211971.240000000223517,10138517.169999999925494
FS( 75 ),3466341.490000000223517,3554780.840000000316650,3244645.560000000521541,10265768.890000000596046
FS( 76 ),3413003.059999999590218,3513085.639999999664724,3155439.480000000447035,10081529.179999999701977
FS( 77 ),3437984.350000000093132,3554317.560000000055879,3209378.040000000502914,10201680.950000001117587
FS( 78 ),3467016.660000000149012,3583967.479999999981374,3251387.879999999888241,10302373.019999999552965
FS( 79 ),3437984.350000000093132,3560340.199999999720603,3290804.520000000484288,10289130.070000000298023
FS( 80 ),3473768.360000000335276,3651143.080000000074506,3319329.720000000204891,10444242.160000000149012
FS( 81 ),3400850.000000000000000,3650679.799999999813735,3316736.520000000484288,10368267.320000000298023
FS( 82 ),3321855.110000000335276,3697934.359999999403954,3330739.800000000279397,10350530.269999999552965
FS( 83 ),3421105.100000000093132,3784567.719999999739230,3441728.760000000242144,10647402.580000000074506
FS( 84 ),3426506.459999999962747,3758160.760000000242144,3500853.720000000204891,10685521.940000001341105
FS( 85 ),3403550.679999999701977,3716465.560000000055879,3467660.760000000242144,10587678.000000000000000
FS( 86 ),3379244.559999999590218,3757234.199999999720603,3437061.000000000000000,10573540.759999999776483
FS( 87 ),3280669.740000000223517,3738703.000000000000000,3444840.600000000093132,10464214.339999999850988
FS( 88 ),3334008.169999999925494,3761867.000000000000000,3474921.720000000204891,10570797.890000000596046
FS( 89 ),3296873.819999999832362,3827652.760000000242144,3469735.320000000298023,10594262.900000000372529
FS( 90 ),3319154.429999999701977,3828579.319999999832362,3413203.560000000521541,10560938.310000000521541
FS( 91 ),3344135.720000000204891,3781324.760000000242144,3412166.280000000726432,10537627.760000001639128
FS( 92 ),3298224.160000000149012,3701640.600000000093132,3387790.199999999720603,10387655.959999999031425
FS( 93 ),3310377.220000000204891,3752138.119999999646097,3432393.240000000689179,10494909.580000000074506
FS( 94 ),3361014.970000000204891,3774375.560000000055879,3417871.320000000298023,10553262.850000001490116
FS( 95 ),3416378.910000000149012,3819777.000000000000000,3428762.760000000242144,10664919.669999999925494
FS( 96 ),3397474.149999999906868,3798002.840000000316650,3325553.400000000372529,10521031.390000000596046
FS( 97 ),3383970.750000000000000,3789200.520000000018626,3353559.959999999962747,10526732.230000000447035
FS( 98 ),3427856.800000000279397,3804952.039999999571592,3403868.040000000037253,10636677.879999998956919
FS( 99 ),3412327.890000000130385,3790127.080000000074506,3447952.440000000409782,10650408.410000000149012
FS( 100 ),3413678.229999999981374,3778545.080000000074506,3481145.400000000372529,10673369.710000000894070
FS( 101 ),3443385.709999999962747,3814680.919999999925494,3528860.280000000726432,10786927.910000000149012
FS( 102 ),3419079.589999999850988,3757234.199999999720603,3449508.360000000335276,10625823.149999998509884
FS( 103 ),3390047.279999999795109,3719708.520000000018626,3440691.480000000447035,10550448.280000001192093
FS( 104 ),3494023.459999999962747,3763256.840000000316650,3446915.159999999683350,10704196.460000000894070
FS( 105 ),3529132.300000000279397,3824409.799999999813735,3433949.159999999683350,10787492.259999999776483
FS( 106 ),3517654.410000000149012,3837844.919999999925494,3430318.680000000167638,10785819.009999999776483
FS( 107 ),3516304.069999999832362,3867958.119999999646097,3463511.640000000130385,10847774.830000000074506
FS( 108 ),3554113.589999999850988,3849890.199999999720603,3521080.680000000167638,10925085.469999998807907
FS( 109 ),3541285.360000000335276,3848037.080000000074506,3528860.280000000726432,10918183.720000000670552
FS( 110 ),3535208.830000000074506,3843404.279999999795109,3502409.640000000130385,10881023.750000000000000
FS( 111 ),3581120.390000000130385,3811901.239999999757856,3496185.959999999962747,10889208.589999999850988
FS( 112 ),3591923.110000000335276,3787347.399999999906868,3483738.600000000093132,10863010.109999999403954
FS( 113 ),3583821.069999999832362,3760477.160000000149012,3493592.760000000242144,10837891.990000000223517
FS( 114 ),3539259.850000000093132,3766963.080000000074506,3531453.480000000447035,10837677.410000000149012
FS( 115 ),3506851.689999999944121,3768352.919999999925494,3526267.080000000074506,10801472.689999999478459
FS( 116 ),3479169.720000000204891,3833675.399999999906868,3498260.520000000484288,10811106.640000000596046
FS( 117 ),3527781.959999999962747,3852206.600000000093132,3472328.520000000484288,10852318.080000001937151
FS( 118 ),3564916.309999999590218,3860082.359999999403954,3525229.800000000279397,10950229.469999998807907
FS( 119 ),3580445.220000000204891,3833212.119999999646097,3520043.400000000372529,10933701.740000000223517
FS( 120 ),3583821.069999999832362,3836918.359999999403954,3498779.159999999683350,10919519.589999999850988
FS( 121 ),3583145.899999999906868,3840161.319999999832362,3526785.720000000204891,10950093.939999999478459
FS( 122 ),3566941.819999999832362,3827652.760000000242144,3533009.400000000372529,10927604.980000000447035
FS( 123 ),3600025.149999999906868,3835991.799999999813735,3528341.640000000130385,10964359.589999999850988
FS( 124 ),3593273.449999999720603,3830432.440000000409782,3568276.919999999925494,10991983.810000000521541
FS( 125 ),3572343.179999999701977,3813291.080000000074506,3552199.080000000074506,10937834.339999999850988
FS( 126 ),3625681.610000000335276,3869811.239999999757856,3581761.560000000521541,11077255.410000000149012
FS( 127 ),3672943.509999999776483,3854986.279999999795109,3583836.120000000111759,11111766.910000000149012
FS( 128 ),3662140.790000000037253,3852669.879999999888241,3559978.680000000167638,11074790.349999999627471
FS( 129 ),3755989.419999999925494,3882783.080000000074506,3580724.280000000726432,11219497.780000001192093
FS( 130 ),3741810.850000000093132,3856376.119999999646097,3538195.800000000279397,11136383.769999999552965
FS( 131 ),3737759.830000000074506,3854523.000000000000000,3529897.560000000521541,11122181.390000000596046
FS( 132 ),3716829.559999999590218,3832748.840000000316650,3495667.320000000298023,11045246.720000000670552
FS( 133 ),3736409.490000000223517,3837381.639999999664724,3568276.919999999925494,11142069.050000000745058
FS( 134 ),3778270.029999999795109,3820240.279999999795109,3586429.320000000298023,11184940.629999998956919
FS( 135 ),3811353.360000000335276,3799392.680000000167638,3568276.919999999925494,11179023.960000000894070
FS( 136 ),3790423.089999999850988,3812827.799999999813735,3581761.560000000521541,11185013.449999999254942
FS( 137 ),3815404.379999999888241,3837381.639999999664724,3623252.760000000242144,11276039.779999999329448
FS( 138 ),3839035.330000000074506,3858229.239999999757856,3618585.000000000000000,11315850.570000000298023
FS( 139 ),3820130.569999999832362,3778081.799999999813735,3589541.159999999683350,11187754.529999999329448
FS( 140 ),3821480.910000000149012,3743335.799999999813735,3551161.800000000279397,11115979.509999999776483
FS( 141 ),3830933.290000000037253,3750285.000000000000000,3564127.800000000279397,11145347.089999999850988
FS( 142 ),3795824.449999999720603,3771595.879999999888241,3603025.800000000279397,11170447.130000000819564
FS( 143 ),3783671.390000000130385,3685425.799999999813735,3594208.919999999925494,11063307.109999999403954
FS( 144 ),3801900.979999999981374,3701177.319999999832362,3600432.600000000093132,11103511.900000000372529
FS( 145 ),3763416.290000000037253,3695154.680000000167638,3573981.959999999962747,11032553.929999999701977
FS( 146 ),3702650.990000000223517,3711832.760000000242144,3468179.400000000372529,10882664.150000000372529
FS( 147 ),3733708.809999999590218,3751211.560000000055879,3505521.480000000447035,10990442.849999999627471
FS( 148 ),3718855.069999999832362,3757234.199999999720603,3474921.720000000204891,10951011.990000000223517
FS( 149 ),3700625.479999999981374,3780398.199999999720603,3484775.879999999888241,10965800.559999998658895
FS( 150 ),3652013.240000000223517,3766499.799999999813735,3485813.159999999683350,10904327.199999999254942
FS( 151 ),3618929.910000000149012,3804952.039999999571592,3539751.720000000204891,10963634.669999999925494
FS( 152 ),3652688.410000000149012,3804488.760000000242144,3576056.520000000484288,11033234.690000001341105
FS( 153 ),3691848.270000000018626,3821166.840000000316650,3567758.280000000726432,11080774.390000000596046
FS( 154 ),3666866.979999999981374,3805878.600000000093132,3444321.959999999962747,10917068.539999999105930
FS( 155 ),3654038.750000000000000,3817923.879999999888241,3467142.120000000111759,10939105.750000000000000
FS( 156 ),3637834.669999999925494,3763256.840000000316650,3368081.879999999888241,10769174.390000000596046
FS( 157 ),3689822.759999999776483,3781788.039999999571592,3424095.000000000000000,10895706.799999998882413
FS( 158 ),3667542.149999999906868,3734996.760000000242144,3376380.120000000111759,10778920.030000001192093
FS( 159 ),3691173.100000000093132,3699324.199999999720603,3275245.320000000298023,10665743.620000001043081
FS( 160 ),3685096.569999999832362,3715075.719999999739230,3589022.520000000484288,10989195.809999998658895
FS( 161 ),3720880.580000000074506,3707199.959999999497086,3623252.760000000242144,11051334.299999998882413
FS( 162 ),3708052.350000000093132,3715539.000000000000000,3604581.720000000204891,11028174.070000000298023
FS( 163 ),3753963.910000000149012,3751211.560000000055879,3642961.080000000074506,11148137.550000000745058
FS( 164 ),3819455.399999999906868,3774838.840000000316650,3655408.440000000409782,11249703.679999999701977
FS( 165 ),3807302.339999999850988,3762793.560000000055879,3674598.120000000111759,11244695.019999999552965
FS( 166 ),3813378.869999999646097,3772522.440000000409782,3669411.720000000204891,11255314.030000001192093
FS( 167 ),3798525.129999999888241,3754454.520000000018626,3670967.640000000130385,11223948.290000000968575
FS( 168 ),3803251.319999999832362,3789200.520000000018626,3656445.720000000204891,11248898.560000000521541
FS( 169 ),3836334.649999999906868,3796613.000000000000000,3679784.520000000484288,11312733.170000001788139
FS( 170 ),3824181.589999999850988,3820703.560000000055879,3675635.400000000372529,11320521.550000000745058
FS( 171 ),3859965.600000000093132,3834601.959999999497086,3684970.919999999925494,11379539.480000000447035
FS( 172 ),3848487.709999999962747,3813754.359999999403954,3683933.640000000130385,11346176.709999999031425
FS( 173 ),3890348.250000000000000,3829042.600000000093132,3696899.640000000130385,11416291.490000000223517
FS( 174 ),3860640.770000000018626,3853133.160000000149012,3687045.480000000447035,11400820.410000000149012
FS( 175 ),3835659.479999999981374,3854523.000000000000000,3689638.680000000167638,11379822.160000000149012
FS( 176 ),3788397.580000000074506,3825336.359999999403954,3658001.640000000130385,11271736.580000000074506
FS( 177 ),3797849.959999999962747,3861472.199999999720603,3679784.520000000484288,11339107.679999999701977
FS( 178 ),3787047.240000000223517,3842941.000000000000000,3688601.400000000372529,11318590.640000000596046
FS( 179 ),3882246.209999999962747,3864251.879999999888241,3697936.919999999925494,11444436.009999999776483
FS( 180 ),3773543.839999999850988,3851280.039999999571592,3679784.520000000484288,11304609.399999998509884
FS( 181 ),3790423.089999999850988,3847110.520000000018626,3687564.120000000111759,11325098.730000000447035
FS( 182 ),3797849.959999999962747,3864251.879999999888241,3706235.159999999683350,11368338.000000000000000
FS( 183 ),3851188.390000000130385,3871664.359999999403954,3721275.720000000204891,11444129.470000000670552
FS( 184 ),3894399.270000000018626,3901314.279999999795109,3739428.120000000111759,11535142.669999999925494
FS( 185 ),3772868.669999999925494,3810974.680000000167638,3732167.159999999683350,11316011.509999999776483
FS( 186 ),3734383.979999999981374,3763256.840000000316650,3708309.720000000204891,11205951.540000000968575
FS( 187 ),3752613.569999999832362,3820240.279999999795109,3708828.360000000335276,11281683.210000000894070
FS( 188 ),3851863.559999999590218,3887415.879999999888241,3758099.159999999683350,11497379.599999999627471
FS( 189 ),3889673.080000000074506,3922625.160000000149012,3787143.000000000000000,11599442.240000000223517
FS( 190 ),3911953.689999999944121,3927721.239999999757856,3776251.560000000521541,11615927.490000000223517
FS( 191 ),3916004.709999999962747,3958297.719999999739230,3793366.680000000167638,11667670.109999999403954
FS( 192 ),3994324.429999999701977,3939303.239999999757856,3828634.199999999720603,11762262.869999999180436
FS( 193 ),3968667.970000000204891,3930037.639999999664724,3813593.640000000130385,11712300.250000000000000
FS( 194 ),4007152.660000000149012,3973585.959999999497086,3829671.480000000447035,11810411.099999999627471
FS( 195 ),4006477.490000000223517,3972659.399999999906868,3841081.560000000521541,11820219.450000001117587
FS( 196 ),4024031.910000000149012,3972659.399999999906868,3800109.000000000000000,11796801.310000000521541
FS( 197 ),4020656.059999999590218,3979145.319999999832362,3818261.400000000372529,11818063.779999999329448
FS( 198 ),4027407.759999999776483,3978218.760000000242144,3822410.520000000484288,11828038.039999999105930
FS( 199 ),4026057.419999999925494,3984704.680000000167638,3820854.600000000093132,11831617.699999999254942
FS( 200 ),3984872.050000000279397,3980998.440000000409782,3829671.480000000447035,11795542.970000000670552
FS( 201 ),3960565.929999999701977,3992117.160000000149012,3820335.959999999962747,11773020.050000000745058
FS( 202 ),3969343.140000000130385,3952738.359999999403954,3827078.280000000726432,11749160.780000001192093
FS( 203 ),3969343.140000000130385,3949958.680000000167638,3813075.000000000000000,11732377.820000000298023
FS( 204 ),3971368.649999999906868,3971269.560000000055879,3814630.919999999925494,11757270.129999998956919
FS( 205 ),3953814.229999999981374,3974975.799999999813735,3825003.720000000204891,11753794.750000000000000
FS( 206 ),3940310.830000000074506,3950421.959999999497086,3823966.440000000409782,11714700.230000000447035
FS( 207 ),3956514.910000000149012,3912896.279999999795109,3802702.199999999720603,11672114.389999998733401
FS( 208 ),3945037.020000000018626,3929111.080000000074506,3798553.080000000074506,11672702.179999999701977
FS( 209 ),3960565.929999999701977,3965246.919999999925494,3784549.800000000279397,11710363.650000000372529
FS( 210 ),3960565.929999999701977,4003235.879999999888241,3826559.640000000130385,11790362.449999999254942
FS( 211 ),3938285.319999999832362,4019450.680000000167638,3792848.040000000037253,11750585.039999999105930
FS( 212 ),3892373.759999999776483,3982851.560000000055879,3782993.879999999888241,11658220.199999999254942
FS( 213 ),3905201.990000000223517,3986557.799999999813735,3801664.919999999925494,11693425.710000000894070
FS( 214 ),4311654.330000000074506,3974049.239999999757856,3825522.360000000335276,12111226.929999999701977
FS( 215 ),4244137.330000000074506,3973122.680000000167638,3803739.480000000447035,12021000.490000000223517
FS( 216 ),4219156.040000000037253,3983778.119999999646097,3814112.280000000726432,12017047.440000001341105
FS( 217 ),4229283.589999999850988,3998603.080000000074506,3835376.520000000484288,12063264.190000001341105
FS( 218 ),4296125.419999999925494,4018060.840000000316650,3827596.919999999925494,12141784.179999999701977
FS( 219 ),4277220.660000000149012,4032422.520000000018626,3832264.680000000167638,12141908.859999999403954
FS( 220 ),4275195.150000000372529,4031495.959999999497086,3802702.199999999720603,12109394.309999998658895
FS( 221 ),4256290.389999999664724,4011111.639999999664724,3780400.680000000167638,12047803.709999999031425
FS( 222 ),4273169.639999999664724,4028716.279999999795109,3782475.240000000689179,12084362.160000000149012
FS( 223 ),4296125.419999999925494,4050953.719999999739230,3853528.919999999925494,12200609.059999998658895
FS( 224 ),4277895.830000000074506,4044931.080000000074506,3776251.560000000521541,12099079.470000000670552
FS( 225 ),4290724.059999999590218,4023620.199999999720603,3770546.520000000484288,12084891.780000001192093
FS( 226 ),4292749.570000000298023,4049100.600000000093132,3732685.800000000279397,12074536.970000000670552
FS( 227 ),4235360.120000000111759,4044931.080000000074506,3746170.440000000409782,12026462.640000000596046
FS( 228 ),4207678.150000000372529,4072264.600000000093132,3693787.800000000279397,11973731.550000000745058
FS( 229 ),4243462.160000000149012,4057439.639999999664724,3689638.680000000167638,11990541.480000000447035
FS( 230 ),4254264.879999999888241,4090795.799999999813735,3703123.320000000298023,12048185.000000000000000
FS( 231 ),4234009.780000000260770,4055586.520000000018626,3698455.560000000521541,11988052.860000001266599
FS( 232 ),4239411.139999999664724,4044931.080000000074506,3705197.879999999888241,11989541.099999999627471
FS( 233 ),4246838.009999999776483,4091259.080000000074506,3777807.480000000447035,12115905.570000000298023
FS( 234 ),4252239.370000000111759,4086163.000000000000000,3760173.720000000204891,12098577.089999999850988
FS( 235 ),4269793.790000000037253,4106547.319999999832362,3786105.720000000204891,12162447.830000000074506
FS( 236 ),4244812.500000000000000,4074581.000000000000000,3737353.560000000521541,12056748.060000000521541
FS( 237 ),4269793.790000000037253,4066705.239999999757856,3725424.840000000316650,12061924.869999999180436
FS( 238 ),4219156.040000000037253,3995360.119999999646097,3646072.919999999925494,11860590.080000000074506
FS( 239 ),4266417.939999999478459,4088479.399999999906868,3731129.879999999888241,12086028.219999998807907
FS( 240 ),4173244.479999999981374,4032885.799999999813735,3706235.159999999683350,11912366.439999999478459
FS( 241 ),4142186.660000000149012,4031032.680000000167638,3709347.000000000000000,11882567.339999999850988
FS( 242 ),4211729.169999999925494,4079677.080000000074506,3754987.320000000298023,12046394.570000000298023
FS( 243 ),4204977.469999999739230,4079213.799999999813735,3779363.400000000372529,12063555.669999999925494
FS( 244 ),4140836.319999999832362,4094038.760000000242144,3738909.480000000447035,11973785.560000000521541
FS( 245 ),4182021.689999999944121,4103767.639999999664724,3732685.800000000279397,12018476.130000000819564
FS( 246 ),4233334.610000000335276,4067631.799999999813735,3744095.879999999888241,12045063.289999999105930
FS( 247 ),4254940.049999999813735,4122762.119999999646097,3748245.000000000000000,12125948.169999999925494
FS( 248 ),4250889.030000000260770,4065778.680000000167638,3752394.120000000111759,12069062.830000001937151
FS( 249 ),4196200.259999999776483,4069948.199999999720603,3714533.400000000372529,11980682.859999999403954
FS( 250 ),4224557.400000000372529,4093575.479999999981374,3751356.840000000316650,12069490.720000000670552
FS( 251 ),4273844.809999999590218,4144536.279999999795109,3723350.280000000726432,12141732.370000001043081
FS( 252 ),4179996.179999999701977,4087552.840000000316650,3668374.440000000409782,11935924.460000000894070
FS( 253 ),4213754.679999999701977,4157971.399999999906868,3740465.400000000372529,12112192.480000000447035
