代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12571969.059999998658895
真實報酬,2571969.059999998658895

夏普值報酬,0.248496906000000
夏普值風險,0.083911427689360
夏普值,2.961419115879375

二次趨勢線,85.388549239419774 x^2 + -10978.047461838530580 x + 10000000.000000000000000
二次加權預期報酬,17541.727984127675882
風險,140488.951798319933005
二次加權趨勢值,0.124861974978003
一次趨勢線,5064.262312932702116 x + 10000000.000000000000000
一次預期報酬,5064.262312932702116
一次風險,615885.924079818069004
一次趨勢值,0.008222727805476
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](3),NKE[19](4),TRV[22](1),
FS( 30 ),3223959.739999999757856,3221943.179999999701977,3196079.660000000149012,9641983.580000000074506
FS( 31 ),3293979.070000000298023,3061446.020000000018626,3181115.950000000186265,9536542.039999999105930
FS( 32 ),3345088.070000000298023,2995570.320000000298023,3256966.479999999981374,9597625.870000001043081
FS( 33 ),3373709.110000000335276,3047073.140000000130385,3271930.189999999944121,9692713.439999999478459
FS( 34 ),3388530.719999999739230,3036293.480000000447035,3254386.530000000260770,9679211.730000000447035
FS( 35 ),3409996.500000000000000,3041084.439999999944121,3273994.150000000372529,9725076.089999999850988
FS( 36 ),3424307.020000000018626,3030304.780000000260770,3294633.750000000000000,9749246.550000000745058
FS( 37 ),3393130.530000000260770,2954847.160000000149012,3229103.020000000018626,9577081.710000000894070
FS( 38 ),3405396.689999999944121,2976406.480000000447035,3268834.250000000000000,9650638.419999999925494
FS( 39 ),3398752.520000000018626,2918914.959999999962747,3206915.450000000186265,9524583.929999999701977
FS( 40 ),3394663.800000000279397,2947660.720000000204891,3206915.450000000186265,9549240.970000000670552
FS( 41 ),3416129.580000000074506,2938078.800000000279397,3242002.770000000018626,9596212.150000000372529
FS( 42 ),3421240.479999999981374,2900948.859999999869615,3243034.750000000000000,9565225.089999999850988
FS( 43 ),3452928.060000000055879,2629061.879999999888241,3294117.760000000242144,9376108.699999999254942
FS( 44 ),3475416.020000000018626,2660203.120000000111759,3298245.680000000167638,9433865.820000000298023
FS( 45 ),3477460.380000000353903,2709310.459999999962747,3309081.469999999739230,9495853.309999998658895
FS( 46 ),3464172.040000000037253,2760813.280000000260770,3300309.640000000130385,9525295.960000000894070
FS( 47 ),3457016.780000000260770,2736858.480000000447035,3264190.339999999850988,9458066.600000001490116
FS( 48 ),3464172.040000000037253,2703321.760000000242144,3254386.530000000260770,9421881.330000001937151
FS( 49 ),3469282.939999999944121,2733265.260000000242144,3261610.390000000130385,9464159.589999999850988
FS( 50 ),3470305.120000000111759,2763208.760000000242144,3226523.070000000298023,9460037.950000001117587
FS( 51 ),3460594.409999999683350,2750033.620000000111759,3211559.360000000335276,9422188.390000000596046
FS( 52 ),3506592.509999999776483,2813513.839999999850988,3257482.470000000204891,9577589.820000000298023
FS( 53 ),3498415.070000000298023,2785965.820000000298023,3227555.049999999813735,9511936.940000001341105
FS( 54 ),3526525.020000000018626,2777581.640000000130385,3266770.290000000037253,9570877.949999999254942
FS( 55 ),3545435.350000000093132,2833875.419999999925494,3302373.600000000093132,9681685.369999999180436
FS( 56 ),3553612.790000000037253,2853039.260000000242144,3286377.910000000149012,9693030.960000000894070
FS( 57 ),3507614.689999999944121,2787163.560000000055879,3235810.890000000130385,9530590.140000000596046
FS( 58 ),3481038.009999999776483,2779977.120000000111759,3185759.860000000335276,9446775.990000000223517
FS( 59 ),3442195.169999999925494,2783570.339999999850988,3141900.709999999962747,9367667.219999998807907
FS( 60 ),3451394.790000000037253,2800338.700000000186265,3146544.620000000111759,9398279.109999999403954
FS( 61 ),3513236.679999999701977,2892564.679999999701977,3179051.990000000223517,9584854.349999999627471
FS( 62 ),3553101.699999999720603,2905739.820000000298023,3236326.879999999888241,9695169.399999998509884
FS( 63 ),3549524.070000000298023,2869807.620000000111759,3261610.390000000130385,9680943.080000000074506
FS( 64 ),3537769.000000000000000,2795547.740000000223517,3232714.950000000186265,9566032.690000001341105
FS( 65 ),3545946.439999999944121,2784768.080000000074506,3268834.250000000000000,9599549.769999999552965
FS( 66 ),3498415.070000000298023,2771592.939999999944121,3244066.729999999981374,9514075.740000000223517
FS( 67 ),3532658.100000000093132,2831479.939999999944121,3287409.890000000130385,9651548.929999999701977
FS( 68 ),3518347.580000000074506,2860225.700000000186265,3277606.080000000074506,9656180.359999999403954
FS( 69 ),3490237.630000000353903,2879389.540000000037253,3269866.229999999981374,9639494.400000000372529
FS( 70 ),3493304.169999999925494,2872203.100000000093132,3292569.790000000037253,9658078.059999998658895
FS( 71 ),3491770.899999999441206,2847050.560000000055879,3296697.709999999962747,9635520.169999998062849
FS( 72 ),3508125.780000000260770,2830282.200000000186265,3301341.620000000111759,9639750.600000001490116
FS( 73 ),3498926.159999999683350,2869807.620000000111759,3288441.870000000111759,9657176.649999998509884
FS( 74 ),3508125.780000000260770,2842259.600000000093132,3278638.060000000055879,9629024.440000001341105
FS( 75 ),3493304.169999999925494,2821898.020000000018626,3289473.850000000093132,9604677.039999999105930
FS( 76 ),3485637.820000000298023,2838666.379999999888241,3303921.570000000298023,9628226.769999999552965
FS( 77 ),3465194.219999999739230,2882982.760000000242144,3360680.469999999739230,9708858.449999999254942
FS( 78 ),3460083.320000000298023,2867412.140000000130385,3386995.959999999962747,9714492.420000001788139
FS( 79 ),3464172.040000000037253,2869807.620000000111759,3365840.370000000111759,9699821.030000001192093
FS( 80 ),3462638.770000000018626,2867412.140000000130385,3377192.150000000372529,9707244.060000000521541
FS( 81 ),3462127.679999999701977,2857830.220000000204891,3343652.799999999813735,9663611.699999999254942
FS( 82 ),3454972.419999999925494,2900948.859999999869615,3374612.200000000186265,9730534.480000000447035
FS( 83 ),3449350.429999999701977,2887773.720000000204891,3363260.420000000391155,9700385.570000000298023
FS( 84 ),3450372.610000000335276,2960835.859999999869615,3345716.760000000242144,9756926.230000000447035
FS( 85 ),3443217.350000000093132,2954847.160000000149012,3343652.799999999813735,9741718.309999998658895
FS( 86 ),3435039.909999999683350,2927299.140000000130385,3327657.109999999869615,9689997.160000000149012
FS( 87 ),3446283.890000000596046,2915321.740000000223517,3340556.859999999869615,9702163.490000000223517
FS( 88 ),3437595.360000000335276,2912926.260000000242144,3335396.959999999962747,9685919.580000001937151
FS( 89 ),3438106.449999999720603,2915321.740000000223517,3329721.070000000298023,9683150.259999999776483
FS( 90 ),3467238.580000000074506,2978801.959999999962747,3371516.260000000242144,9817557.800000000745058
FS( 91 ),3469282.939999999944121,2972813.260000000242144,3364808.389999999664724,9806905.589999999850988
FS( 92 ),3484615.640000000596046,2995570.320000000298023,3369968.290000000037253,9850155.250000000000000
FS( 93 ),3485637.820000000298023,2984790.660000000149012,3454590.650000000372529,9925020.130000000819564
FS( 94 ),3483082.370000000111759,3019525.120000000111759,3485034.060000000521541,9987642.550000000745058
FS( 95 ),3526013.929999999701977,2970417.780000000260770,3531989.150000000372529,10028421.859999999403954
FS( 96 ),3499437.250000000000000,2893762.419999999925494,3538697.020000000018626,9931897.689999999478459
FS( 97 ),3488193.270000000018626,2933287.839999999850988,3533537.120000000111759,9955019.230000000447035
FS( 98 ),3503525.969999999739230,2926101.399999999906868,3532505.139999999664724,9962133.509999997913837
FS( 99 ),3506081.419999999925494,2924903.660000000149012,3520637.370000000111759,9951623.449999999254942
FS( 100 ),3521414.120000000111759,2896157.899999999906868,3531989.150000000372529,9949562.169999999925494
FS( 101 ),3529591.560000000055879,2890169.200000000186265,3540244.990000000223517,9960006.750000000000000
FS( 102 ),3526525.020000000018626,2854237.000000000000000,3530441.180000000167638,9911204.199999999254942
FS( 103 ),3542879.899999999441206,2847050.560000000055879,3533537.120000000111759,9923468.579999998211861
FS( 104 ),3526525.020000000018626,2859027.959999999962747,3497417.820000000298023,9882971.800000000745058
FS( 105 ),3527036.110000000335276,2874598.580000000074506,3529925.189999999944121,9931560.880000000819564
FS( 106 ),3521925.209999999962747,2842259.600000000093132,3522185.340000000316650,9886371.150000000372529
FS( 107 ),3533169.189999999944121,2861423.439999999944121,3563980.529999999795109,9958574.160000000149012
FS( 108 ),3524480.659999999683350,2843457.339999999850988,3544888.900000000372529,9912827.900000000372529
FS( 109 ),3526525.020000000018626,2808722.879999999888241,3560884.590000000316650,9896133.490000000223517
FS( 110 ),3540324.449999999720603,2871005.359999999869615,3574816.320000000298023,9986147.129999998956919
FS( 111 ),3559745.870000000111759,2851841.520000000018626,3589264.040000000037253,10000852.429999999701977
FS( 112 ),3549012.979999999981374,2844655.080000000074506,3588232.060000000521541,9981901.120000001043081
FS( 113 ),3496370.709999999962747,2829084.459999999962747,3576880.279999999795109,9902336.449999999254942
FS( 114 ),3486660.000000000000000,2821898.020000000018626,3581008.200000000186265,9889567.219999998807907
FS( 115 ),3473882.750000000000000,2842259.600000000093132,3568624.439999999944121,9884767.789999999105930
FS( 116 ),3473882.750000000000000,2827886.720000000204891,3545920.879999999888241,9847691.350000001490116
FS( 117 ),3506081.419999999925494,2862621.179999999701977,3601131.810000000521541,9969835.410000000149012
FS( 118 ),3554634.969999999739230,2911728.520000000018626,3637251.109999999869615,10103615.599999999627471
FS( 119 ),3628743.020000000018626,2921310.439999999944121,3683174.219999999739230,10233228.679999999701977
FS( 120 ),3706428.699999999720603,2921310.439999999944121,3815267.660000000149012,10443007.800000000745058
FS( 121 ),3672696.759999999776483,2887773.720000000204891,3793080.090000000316650,10353551.570000000298023
FS( 122 ),3668608.040000000037253,2829084.459999999962747,3817847.609999999869615,10315541.109999999403954
FS( 123 ),3623121.030000000260770,2779977.120000000111759,3786372.219999999739230,10189471.370000001043081
FS( 124 ),3615454.679999999701977,2781174.859999999869615,3776052.420000000391155,10172682.959999999031425
FS( 125 ),3635898.280000000260770,2734463.000000000000000,3721357.480000000447035,10091719.760000001639128
FS( 126 ),3623632.120000000111759,2729672.040000000037253,3692462.040000000037253,10045767.199999999254942
FS( 127 ),3619543.399999999441206,2736858.480000000447035,3660470.660000000149012,10016873.539999999105930
FS( 128 ),3654297.520000000018626,2855434.740000000223517,3623835.370000000111759,10133568.629999998956919
FS( 129 ),3623632.120000000111759,2831479.939999999944121,3592359.980000000447035,10047473.040000000968575
FS( 130 ),3618010.130000000353903,2853039.260000000242144,3566044.490000000223517,10037094.880000000819564
FS( 131 ),3629254.110000000335276,2878191.800000000279397,3620739.430000000167638,10128186.339999999850988
FS( 132 ),3595011.080000000074506,2833875.419999999925494,3545404.889999999664724,9974292.390000000596046
FS( 133 ),3559745.870000000111759,2751231.359999999869615,3560368.600000000093132,9871346.830000000074506
FS( 134 ),3570989.850000000093132,2764406.500000000000000,3559336.620000000111759,9894733.969999998807907
FS( 135 ),3561279.140000000596046,2763208.760000000242144,3530957.170000000391155,9855446.070000000298023
FS( 136 ),3552590.610000000335276,2739253.959999999962747,3520637.370000000111759,9812482.940000001341105
FS( 137 ),3540324.449999999720603,2712903.679999999701977,3512381.529999999795109,9765610.659999998286366
FS( 138 ),3530102.649999999441206,2720090.120000000111759,3525281.279999999795109,9775475.049999998882413
FS( 139 ),3536235.729999999981374,2772790.679999999701977,3542308.950000000186265,9851336.359999999403954
FS( 140 ),3539302.270000000018626,2884180.500000000000000,3588232.060000000521541,10011715.830000000074506
FS( 141 ),3560768.050000000279397,2862621.179999999701977,3593391.959999999962747,10016782.190000001341105
FS( 142 ),3556679.330000000074506,2862621.179999999701977,3623319.379999999888241,10042620.890000000596046
FS( 143 ),3555146.060000000055879,2897355.640000000130385,3677498.330000000074506,10130001.030000001192093
FS( 144 ),3531124.830000000074506,2924903.660000000149012,3656342.740000000223517,10112372.230000000447035
FS( 145 ),3516814.310000000055879,2904542.080000000074506,3654794.770000000018626,10076152.160000000149012
FS( 146 ),3541346.630000000353903,2968022.300000000279397,3661502.639999999664724,10170872.570000000298023
FS( 147 ),3537769.000000000000000,2963231.339999999850988,3672854.420000000391155,10173855.759999999776483
FS( 148 ),3563834.590000000316650,2918914.959999999962747,3654278.779999999795109,10137029.330000000074506
FS( 149 ),3559745.870000000111759,2921310.439999999944121,3660986.650000000372529,10142043.960000000894070
FS( 150 ),3570478.759999999776483,2924903.660000000149012,3639315.070000000298023,10134698.490000000223517
FS( 151 ),3576100.750000000000000,2924903.660000000149012,3818363.600000000093132,10319369.009999999776483
FS( 152 ),3580189.469999999739230,2947660.720000000204891,3774504.450000000186265,10302355.640000000596046
FS( 153 ),3600633.070000000298023,2952451.679999999701977,3786888.209999999962747,10339973.960000000894070
FS( 154 ),3608299.419999999925494,2936881.060000000055879,3784308.260000000242144,10329489.740000000223517
FS( 155 ),3633853.919999999925494,2976406.480000000447035,3788952.170000000391155,10399213.570000000298023
FS( 156 ),3626698.659999999683350,2970417.780000000260770,3782760.290000000037253,10379877.730000000447035
FS( 157 ),3615965.770000000018626,2914124.000000000000000,3778632.370000000111759,10308723.140000000596046
FS( 158 ),3612899.229999999981374,2902146.600000000093132,3785856.230000000447035,10300903.060000000521541
FS( 159 ),3625676.479999999981374,2934485.580000000074506,3828167.410000000149012,10388330.470000000670552
FS( 160 ),3626187.570000000298023,2962033.600000000093132,3835391.270000000018626,10423613.439999999478459
FS( 161 ),3609832.689999999944121,2928496.879999999888241,3788952.170000000391155,10327282.740000000223517
FS( 162 ),3615965.770000000018626,2964429.080000000074506,3809075.779999999795109,10389471.629999998956919
FS( 163 ),3591433.449999999720603,3147683.300000000279397,3757476.779999999795109,10496594.529999999329448
FS( 164 ),3578656.199999999720603,3162056.179999999701977,3733741.240000000223517,10474454.619999999180436
FS( 165 ),3586322.550000000279397,3074621.160000000149012,3729097.330000000074506,10390042.040000000968575
FS( 166 ),3582233.830000000074506,3099773.700000000186265,3705877.779999999795109,10387886.310000000521541
FS( 167 ),3551057.340000000316650,3054259.580000000074506,3675950.359999999869615,10281268.279999999329448
FS( 168 ),3582744.919999999925494,3090191.780000000260770,3705877.779999999795109,10378815.480000000447035
FS( 169 ),3620565.580000000074506,3104564.660000000149012,3759540.740000000223517,10484671.980000000447035
FS( 170 ),3615454.679999999701977,3136903.640000000130385,3788436.180000000167638,10540795.500000000000000
FS( 171 ),3656852.969999999739230,3166847.140000000130385,3821459.540000000037253,10645160.649999998509884
FS( 172 ),3649186.620000000111759,3171638.100000000093132,3769860.540000000037253,10590686.260000001639128
FS( 173 ),3649697.709999999962747,3138101.379999999888241,3776568.410000000149012,10564368.500000000000000
FS( 174 ),3666052.590000000316650,3141694.600000000093132,3815267.660000000149012,10623015.850000001490116
FS( 175 ),3689562.729999999981374,3147683.300000000279397,3841583.150000000372529,10678830.179999999701977
FS( 176 ),3697740.169999999925494,3180022.280000000260770,3862222.750000000000000,10739986.199999999254942
FS( 177 ),3708473.060000000055879,3186010.980000000447035,3867382.650000000372529,10761867.690000001341105
FS( 178 ),3698762.350000000093132,3212361.260000000242144,3898858.040000000037253,10809982.650000000372529
FS( 179 ),3709495.239999999757856,3218349.959999999962747,3898342.049999999813735,10826188.250000000000000
FS( 180 ),3725850.120000000111759,3202779.339999999850988,3916401.700000000186265,10845032.160000000149012
FS( 181 ),3742716.090000000316650,3191999.679999999701977,3937557.290000000037253,10872274.059999998658895
FS( 182 ),3715117.229999999981374,3202779.339999999850988,4022179.650000000372529,10940077.220000000670552
FS( 183 ),3723294.669999999925494,3180022.280000000260770,4006183.959999999962747,10909501.910000000149012
FS( 184 ),3736071.919999999925494,3225536.399999999906868,4029403.510000000242144,10991012.830000000074506
FS( 185 ),3777981.300000000279397,3327344.300000000279397,4042819.250000000000000,11148145.850000001490116
FS( 186 ),3762648.600000000093132,3263864.080000000074506,3991220.250000000000000,11017733.929999999701977
FS( 187 ),3803024.709999999962747,3229129.620000000111759,4014955.790000000037253,11047111.120000001043081
FS( 188 ),3786669.830000000074506,3211163.520000000018626,4003088.020000000018626,11000922.369999999180436
FS( 189 ),3777981.300000000279397,3237513.800000000279397,4048495.139999999664724,11063991.240000000223517
FS( 190 ),3791269.640000000596046,3215954.480000000447035,4122281.709999999962747,11129506.830000001937151
FS( 191 ),3787692.009999999776483,3213559.000000000000000,4024759.600000000093132,11026011.609999999403954
FS( 192 ),3815801.959999999962747,3227931.879999999888241,4058298.950000000186265,11102033.789999999105930
FS( 193 ),3853111.530000000260770,3243502.500000000000000,4074294.639999999664724,11170909.669999999925494
FS( 194 ),3836245.560000000055879,3274643.740000000223517,4082550.480000000447035,11193440.780000001192093
FS( 195 ),3857711.340000000316650,3269852.780000000260770,4069134.740000000223517,11196699.860000001266599
FS( 196 ),3854133.709999999962747,3306982.720000000204891,4087194.389999999664724,11248311.820000000298023
FS( 197 ),3874066.219999999739230,3299796.280000000260770,4122797.700000000186265,11296661.199999999254942
FS( 198 ),3866910.959999999962747,3267457.300000000279397,4127441.609999999869615,11261810.869999999180436
FS( 199 ),3874577.310000000055879,3271050.520000000018626,4145501.260000000242144,11291130.089999999850988
FS( 200 ),3892465.459999999962747,3291412.100000000093132,4148081.209999999962747,11331959.769999999552965
FS( 201 ),3933352.659999999683350,3262666.339999999850988,4158917.000000000000000,11354937.000000000000000
FS( 202 ),3917508.870000000111759,3235118.320000000298023,4133633.490000000223517,11286261.679999999701977
FS( 203 ),3928752.850000000093132,3266259.560000000055879,4147565.219999999739230,11342578.629999998956919
FS( 204 ),3897065.270000000018626,3262666.339999999850988,4180072.590000000316650,11339805.199999999254942
FS( 205 ),3862311.149999999441206,3236316.060000000055879,4089258.350000000093132,11187886.559999998658895
FS( 206 ),3871510.770000000018626,3250688.939999999944121,4130021.560000000521541,11252222.269999999552965
FS( 207 ),3900642.899999999441206,3254282.160000000149012,4168204.820000000298023,11323130.879999998956919
FS( 208 ),3889910.009999999776483,3261468.600000000093132,4149629.180000000167638,11301008.789999999105930
FS( 209 ),3920064.320000000298023,3283027.919999999925494,4163560.910000000149012,11366654.150000000372529
FS( 210 ),3945618.820000000298023,3278236.959999999962747,4154789.080000000074506,11378645.859999999403954
FS( 211 ),3969128.959999999962747,3287818.879999999888241,4203292.140000000596046,11460240.980000000447035
FS( 212 ),3955329.530000000260770,3311773.679999999701977,4183168.529999999795109,11450272.740000000223517
FS( 213 ),3973728.770000000018626,3306982.720000000204891,4189876.400000000372529,11470588.890000000596046
FS( 214 ),3996216.729999999981374,3275841.480000000447035,4213095.950000001117587,11485155.160000002011657
FS( 215 ),4008993.979999999981374,3266259.560000000055879,4218255.849999999627471,11493510.390000000596046
FS( 216 ),4015127.060000000055879,3203977.080000000074506,4217739.859999999403954,11436845.000000000000000
FS( 217 ),4014615.969999999739230,3285423.399999999906868,4237347.480000000447035,11537387.849999999627471
FS( 218 ),4042725.919999999925494,3275841.480000000447035,4249731.240000000223517,11568299.640000000596046
FS( 219 ),4047325.729999999981374,3280632.439999999944121,4245603.320000000298023,11573562.490000000223517
FS( 220 ),4027904.310000000055879,3243502.500000000000000,4258503.070000000298023,11529910.880000000819564
FS( 221 ),4030459.759999999776483,3224338.660000000149012,4292558.410000000149012,11547357.830000000074506
FS( 222 ),4060614.070000000298023,3284225.660000000149012,4326097.759999999776483,11670938.490000000223517
FS( 223 ),4038126.110000000335276,3209965.780000000260770,4321453.849999999627471,11569546.740000000223517
FS( 224 ),4075435.679999999701977,3565694.560000000055879,4318357.910000000149012,11959489.150000000372529
FS( 225 ),4072369.140000000596046,3566892.300000000279397,4301846.230000000447035,11941108.670000001788139
FS( 226 ),4132166.669999999925494,3562101.339999999850988,4301330.240000000223517,11995599.250000000000000
FS( 227 ),4153632.449999999720603,3501016.600000000093132,4301846.230000000447035,11956496.280000001192093
FS( 228 ),4166920.790000000037253,3534553.320000000298023,4344157.410000000149012,12045632.519999999552965
FS( 229 ),4187364.390000000596046,3489039.200000000186265,4331773.650000000372529,12008178.240000002086163
FS( 230 ),4226207.230000000447035,3527366.879999999888241,4355509.189999999478459,12109084.300000000745058
FS( 231 ),4194519.650000000372529,3528564.620000000111759,4319905.880000000819564,12042991.150000002235174
FS( 232 ),4211896.709999999031425,3553717.160000000149012,4351897.259999999776483,12117512.129999998956919
FS( 233 ),4192986.380000000353903,3532157.839999999850988,4355509.189999999478459,12080654.410000000149012
FS( 234 ),4145455.009999999776483,3590847.100000000093132,4372020.870000001043081,12108323.980000000447035
FS( 235 ),4166409.699999999720603,3587253.879999999888241,4399884.330000000074506,12153548.910000000149012
FS( 236 ),4191964.199999999720603,3611208.679999999701977,4376148.790000000968575,12179322.669999999925494
FS( 237 ),4207296.900000000372529,3665106.980000000447035,4440647.540000000968575,12313052.420000001788139
FS( 238 ),4228762.679999999701977,3627977.040000000037253,4450967.339999999850988,12307708.059999998658895
FS( 239 ),4176120.409999999683350,3574078.740000000223517,4370988.890000000596046,12121189.040000000968575
FS( 240 ),4264538.980000000447035,3623186.080000000074506,4465931.050000000745058,12353657.110000001266599
FS( 241 ),4288049.120000001043081,3647140.879999999888241,4389564.529999999329448,12324755.530000001192093
FS( 242 ),4251250.640000000596046,3604022.240000000223517,4339513.500000000000000,12194787.380000000819564
FS( 243 ),4318203.429999999701977,3648338.620000000111759,4376148.790000000968575,12342691.839999999850988
FS( 244 ),4335580.490000000223517,3674688.899999999906868,4364281.019999999552965,12374551.410000000149012
FS( 245 ),4367268.070000000298023,3693852.740000000223517,4455611.250000000000000,12516733.060000000521541
FS( 246 ),4313092.529999999329448,3685468.560000000055879,4430327.740000000223517,12428889.830000000074506
FS( 247 ),4355513.000000000000000,3717807.540000000037253,4399884.330000000074506,12473205.870000001043081
FS( 248 ),4350402.099999999627471,3707027.879999999888241,4393692.450000001117587,12451123.429999999701977
FS( 249 ),4373912.240000000223517,3751344.260000000242144,4410720.120000001043081,12535977.620000001043081
FS( 250 ),4356024.089999999850988,3808835.780000000260770,4407108.189999999478459,12571969.059999998658895
