代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14616033.609999999403954
真實報酬,4616033.609999999403954

夏普值報酬,0.452903361000000
夏普值風險,0.119025124509535
夏普值,3.805107223086474

二次趨勢線,36.989225078649127 x^2 + 10150.273482321599658 x + 10000000.000000000000000
二次加權預期報酬,22553.993625361945305
風險,150863.762070867494913
二次加權趨勢值,0.149499079936554
一次趨勢線,17127.338486321685195 x + 10000000.000000000000000
一次預期報酬,17127.338486321685195
一次風險,302189.588201677892357
一次趨勢值,0.056677460624127
找到最佳解世代,2557
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](4),MSFT[18](2),V[25](3),
FS( 57 ),2974013.500000000000000,2686231.780000000260770,2766452.560000000055879,2357592.879999999888241,10784290.719999998807907
FS( 58 ),2973635.800000000279397,2698007.560000000055879,2766887.939999999944121,2350351.840000000316650,10788883.140000000596046
FS( 59 ),2980245.550000000279397,2685359.500000000000000,2753391.160000000149012,2357894.590000000316650,10776890.800000000745058
FS( 60 ),2974013.500000000000000,2683833.009999999776483,2755132.680000000167638,2363928.789999999571592,10776907.979999998584390
FS( 61 ),2947952.200000000186265,2675328.280000000260770,2742506.660000000149012,2362420.239999999757856,10728207.380000000819564
FS( 62 ),2940209.350000000093132,2677727.050000000279397,2738588.239999999757856,2363325.370000000111759,10719850.010000001639128
FS( 63 ),2940020.500000000465661,2654393.560000000055879,2705499.359999999869615,2353972.359999999869615,10653885.779999999329448
FS( 64 ),2964382.150000000372529,2608598.860000000335276,2724656.080000000074506,2398625.439999999944121,10696262.530000001192093
FS( 65 ),2995542.400000000372529,2605545.879999999888241,2712465.439999999944121,2418236.590000000316650,10731790.310000000521541
FS( 66 ),2997242.050000000279397,2610343.419999999925494,2712465.439999999944121,2446597.330000000074506,10766648.240000000223517
FS( 67 ),3004607.200000000186265,2633458.840000000316650,2735975.959999999962747,2480388.849999999627471,10854430.850000001490116
FS( 68 ),2989876.899999999906868,2626262.530000000260770,2727268.359999999869615,2466510.189999999944121,10809917.979999998584390
FS( 69 ),3004040.649999999906868,2622337.270000000018626,2726397.600000000093132,2453234.950000000186265,10806010.469999998807907
FS( 70 ),3010272.700000000186265,2636075.679999999701977,2751214.259999999776483,2468018.739999999757856,10865581.380000000819564
FS( 71 ),2989310.350000000093132,2662680.219999999739230,2725962.220000000204891,2455045.209999999962747,10832998.000000000000000
FS( 72 ),2999508.250000000465661,2649596.020000000018626,2729880.640000000130385,2449011.009999999776483,10827995.919999999925494
FS( 73 ),2977601.649999999906868,2676854.770000000018626,2722479.180000000167638,2451726.399999999906868,10828662.000000000000000
FS( 74 ),2989876.899999999906868,2675982.489999999757856,2721173.040000000037253,2461682.830000000074506,10848715.259999999776483
FS( 75 ),3002718.700000000186265,2664424.780000000260770,2712465.439999999944121,2465906.770000000018626,10845515.689999999478459
FS( 76 ),3012727.750000000000000,2666169.340000000316650,2731622.160000000149012,2469225.580000000074506,10879744.830000000074506
FS( 77 ),2980812.100000000093132,2646979.179999999701977,2741200.520000000018626,2478578.590000000316650,10847570.389999998733401
FS( 78 ),3031990.450000000186265,2639782.870000000111759,2765581.800000000279397,2511163.270000000018626,10948518.390000000596046
FS( 79 ),3160597.300000000279397,2655920.050000000279397,2772547.879999999888241,2531377.840000000316650,11120443.070000000298023
FS( 80 ),3193834.900000000372529,2657882.679999999701977,2798235.299999999813735,2511464.979999999981374,11161417.859999999403954
FS( 81 ),3167018.200000000186265,2679253.540000000037253,2863977.680000000167638,2527455.609999999869615,11237705.029999999329448
FS( 82 ),3126793.149999999906868,2682742.660000000149012,2835677.979999999981374,2525343.640000000130385,11170557.430000001564622
FS( 83 ),3086190.399999999906868,2672929.509999999776483,2814779.740000000223517,2495474.349999999627471,11069374.000000000000000
FS( 84 ),3096577.150000000372529,2669658.459999999962747,2768194.080000000074506,2487328.179999999701977,11021757.870000001043081
FS( 85 ),3064283.799999999813735,2687104.060000000055879,2750343.500000000000000,2483104.239999999757856,10984835.599999999627471
FS( 86 ),3066927.700000000186265,2709347.199999999720603,2772547.879999999888241,2597150.620000000111759,11145973.400000002235174
FS( 87 ),3096766.000000000000000,2713926.669999999925494,2770806.359999999869615,2589607.870000000111759,11171106.899999998509884
FS( 88 ),3144356.200000000186265,2716979.649999999906868,2761663.379999999888241,2588099.319999999832362,11211098.550000000745058
FS( 89 ),3093555.550000000279397,2718724.209999999962747,2757744.959999999962747,2567281.330000000074506,11137306.049999998882413
FS( 90 ),3102431.500000000000000,2714580.879999999888241,2789092.320000000298023,2582065.120000000111759,11188169.820000000298023
FS( 91 ),3139257.250000000000000,2743802.259999999776483,2786480.040000000037253,2591719.840000000316650,11261259.390000000596046
FS( 92 ),3173250.250000000000000,2737696.300000000279397,2817827.399999999906868,2608012.179999999701977,11336786.130000000819564
FS( 93 ),3182126.200000000186265,2743584.189999999944121,2811296.699999999720603,2620382.289999999571592,11357389.379999998956919
FS( 94 ),3197234.200000000186265,2758194.879999999888241,2809555.180000000167638,2641200.280000000260770,11406184.539999999105930
FS( 95 ),3225750.550000000279397,2762992.419999999925494,2809119.799999999813735,2637278.049999999813735,11435140.820000000298023
FS( 96 ),3261632.050000000279397,2786980.120000000111759,2813473.600000000093132,2638786.599999999627471,11500872.369999999180436
FS( 97 ),3315454.300000000279397,2792213.799999999813735,2807813.659999999683350,2652665.259999999776483,11568147.019999999552965
FS( 98 ),3311677.300000000279397,2788070.469999999739230,2802153.720000000204891,2649044.739999999757856,11550946.230000000447035
FS( 99 ),3340004.800000000279397,2797229.410000000149012,2813473.600000000093132,2660509.720000000204891,11611217.530000001192093
FS( 100 ),3350958.100000000093132,2805516.070000000298023,2813473.600000000093132,2668052.470000000204891,11638000.240000000223517
FS( 101 ),3388539.250000000465661,2769316.449999999720603,2796493.780000000260770,2655078.939999999944121,11609428.419999999925494
FS( 102 ),3403647.250000000000000,2783709.070000000298023,2785609.279999999795109,2653268.679999999701977,11626234.279999999329448
FS( 103 ),3473144.050000000279397,2814238.870000000111759,2827405.759999999776483,2684948.229999999981374,11799736.910000000149012
FS( 104 ),3455769.850000000558794,2796357.129999999888241,2786915.420000000391155,2671069.569999999832362,11710111.970000000670552
FS( 105 ),3440473.000000000465661,2789160.820000000298023,2797364.540000000037253,2678914.030000000260770,11705912.390000000596046
FS( 106 ),3416866.750000000465661,2791995.729999999981374,2798235.299999999813735,2683439.679999999701977,11690537.460000000894070
FS( 107 ),3437451.400000000372529,2792868.009999999776483,2803895.240000000223517,2687060.200000000186265,11721274.850000001490116
FS( 108 ),3432163.600000000558794,2793304.149999999906868,2829582.659999999683350,2684043.099999999627471,11739093.509999999776483
FS( 109 ),3410068.149999999906868,2794394.499999999534339,2818262.780000000260770,2688568.750000000000000,11711294.179999999701977
FS( 110 ),3374753.200000000186265,2790905.379999999888241,2826970.380000000353903,2707274.770000000018626,11699903.730000000447035
FS( 111 ),3381362.950000000186265,2782836.790000000037253,2817392.019999999552965,2718739.750000000000000,11700331.509999999776483
FS( 112 ),3375319.750000000000000,2786980.120000000111759,2804330.620000000111759,2701843.989999999757856,11668474.480000000447035
FS( 113 ),3374942.050000000279397,2788724.679999999701977,2819133.540000000037253,2713007.259999999776483,11695807.529999999329448
FS( 114 ),3365121.850000000093132,2790905.379999999888241,2814344.359999999869615,2716627.780000000260770,11686999.370000001043081
FS( 115 ),3401192.200000000186265,2805297.999999999534339,2824358.100000000093132,2722661.979999999981374,11753510.279999999329448
FS( 116 ),3387783.850000000093132,2808350.979999999981374,2826970.380000000353903,2690680.720000000204891,11713785.930000001564622
FS( 117 ),3323008.300000000279397,2802681.160000000149012,2795623.019999999552965,2656889.200000000186265,11578201.679999999701977
FS( 118 ),3342271.000000000000000,2815329.219999999739230,2831324.180000000167638,2670767.859999999869615,11659692.259999999776483
FS( 119 ),3347558.799999999813735,2813148.520000000018626,2824358.100000000093132,2681026.000000000000000,11666091.419999999925494
FS( 120 ),3320364.399999999906868,2820562.899999999906868,2829147.280000000260770,2690982.429999999701977,11661057.009999999776483
FS( 121 ),3325652.200000000186265,2823833.950000000186265,2834371.839999999850988,2683741.390000000130385,11667599.380000000819564
FS( 122 ),3349447.300000000279397,2822961.669999999925494,2842644.060000000521541,2688870.459999999962747,11703923.490000002086163
FS( 123 ),3354546.250000000000000,2809659.399999999906868,2850480.899999999906868,2690680.720000000204891,11705367.270000001415610
FS( 124 ),3361156.000000000000000,2820126.759999999776483,2860930.019999999552965,2685551.649999999906868,11727764.429999999701977
FS( 125 ),3340004.800000000279397,2826450.790000000502914,2867460.720000000204891,2681327.709999999962747,11715244.019999999552965
FS( 126 ),3336038.950000000186265,2826450.790000000502914,2853963.939999999944121,2696111.500000000000000,11712565.179999999701977
FS( 127 ),3374753.200000000186265,2819472.549999999813735,2861800.780000000260770,2678612.319999999832362,11734638.850000001490116
FS( 128 ),3344159.500000000465661,2843896.390000000130385,2854399.320000000298023,2686155.069999999832362,11728610.280000001192093
FS( 129 ),3349636.150000000372529,2838226.570000000298023,2861800.780000000260770,2687965.330000000074506,11737628.830000000074506
FS( 130 ),3377585.950000000186265,2834083.240000000223517,2859623.880000000353903,2677405.479999999981374,11748698.550000000745058
FS( 131 ),3353224.300000000279397,2834519.379999999888241,2853093.180000000167638,2681026.000000000000000,11721862.859999999403954
FS( 132 ),3372298.149999999906868,2861123.919999999925494,2850916.280000000260770,2680724.289999999571592,11765062.640000000596046
FS( 133 ),3324707.950000000186265,2862432.339999999850988,2840031.780000000260770,2675595.220000000204891,11702767.290000000968575
FS( 134 ),3316587.400000000372529,2851528.839999999850988,2827841.140000000130385,2681327.709999999962747,11677285.089999999850988
FS( 135 ),3380796.400000000372529,2864394.969999999739230,2850916.280000000260770,2709688.450000000186265,11805796.100000001490116
FS( 136 ),3358700.950000000186265,2885111.620000000111759,2846997.859999999869615,2707274.770000000018626,11798085.199999999254942
FS( 137 ),3369087.700000000186265,2892525.999999999534339,2831759.560000000521541,2707878.189999999944121,11801251.449999999254942
FS( 138 ),3386084.200000000186265,2906264.410000000149012,2851787.040000000037253,2750117.590000000316650,11894253.240000000223517
FS( 139 ),3406480.000000000000000,2909317.390000000130385,2890971.240000000223517,2750117.590000000316650,11956886.220000000670552
FS( 140 ),3438206.800000000279397,2927199.129999999888241,2940169.180000000167638,2771237.289999999571592,12076812.399999998509884
FS( 141 ),3465590.049999999813735,3090097.419999999925494,2957149.000000000000000,2779081.750000000000000,12291918.219999998807907
FS( 142 ),3431597.050000000279397,3071343.399999999906868,2953230.580000000074506,2770332.159999999683350,12226503.190000001341105
FS( 143 ),3460113.400000000372529,3071997.610000000335276,2972387.299999999813735,2763694.539999999571592,12268192.849999999627471
FS( 144 ),3490518.250000000465661,3051499.030000000260770,2980659.519999999552965,2752229.560000000055879,12274906.360000001266599
FS( 145 ),3444438.850000000093132,3078103.570000000298023,3022020.620000000111759,2753436.399999999906868,12297999.439999999478459
FS( 146 ),3464268.100000000093132,3079848.129999999888241,3017231.439999999944121,2792055.280000000260770,12353402.949999999254942
FS( 147 ),3463323.850000000093132,3110159.860000000335276,3007653.080000000074506,2789038.179999999701977,12370174.970000000670552
FS( 148 ),3457280.649999999906868,3128259.669999999925494,2995897.820000000298023,2794468.959999999962747,12375907.100000001490116
FS( 149 ),3493917.549999999813735,3139381.240000000223517,3004170.040000000037253,2778478.330000000074506,12415947.160000000149012
FS( 150 ),3512991.400000000372529,3145487.200000000186265,3001557.759999999776483,2773349.259999999776483,12433385.619999999180436
FS( 151 ),3529799.050000000279397,3148104.040000000502914,3005911.560000000521541,2775762.939999999944121,12459577.590000001713634
FS( 152 ),3459358.000000000465661,3151593.160000000149012,3017666.820000000298023,2783305.689999999944121,12411923.669999999925494
FS( 153 ),3473710.600000000093132,3144832.990000000223517,2980659.519999999552965,2778780.039999999571592,12377983.149999998509884
FS( 154 ),3460679.950000000186265,3169911.040000000502914,2977176.479999999981374,2797787.770000000018626,12405555.240000000223517
FS( 155 ),3444438.850000000093132,3189973.479999999981374,2979353.380000000353903,2812873.270000000018626,12426638.980000000447035
FS( 156 ),3450293.200000000186265,3211998.549999999813735,3022020.620000000111759,2810459.590000000316650,12494771.960000000894070
FS( 157 ),3376264.000000000000000,3192808.390000000130385,2937992.280000000260770,2768521.899999999906868,12275586.570000002160668
FS( 158 ),3350202.700000000186265,3205892.589999999850988,2948006.019999999552965,2767013.349999999627471,12271114.659999998286366
FS( 159 ),3413656.299999999813735,3230752.570000000298023,2947135.259999999776483,2790245.020000000018626,12381789.149999998509884
FS( 160 ),3468611.649999999906868,3231624.850000000093132,2980224.140000000130385,2815286.950000000186265,12495747.589999999850988
FS( 161 ),3465212.350000000558794,3223556.259999999776483,2990237.880000000353903,2831881.000000000000000,12510887.490000000223517
FS( 162 ),3498449.950000000186265,3260192.020000000018626,2994156.299999999813735,2860543.450000000186265,12613341.719999998807907
FS( 163 ),3532820.649999999906868,3266297.979999999981374,3031163.600000000093132,2867482.780000000260770,12697765.010000001639128
FS( 164 ),3523755.850000000093132,3268042.540000000502914,3045966.519999999552965,2856319.509999999776483,12694084.419999999925494
FS( 165 ),3529232.500000000000000,3269569.030000000260770,3065558.620000000111759,2857828.060000000055879,12722188.210000000894070
FS( 166 ),3543396.250000000000000,3290503.749999999534339,3040741.959999999962747,2873215.270000000018626,12747857.230000000447035
FS( 167 ),3537541.899999999906868,3323214.249999999534339,3052061.839999999850988,2878344.340000000316650,12791162.329999998211861
FS( 168 ),3592497.250000000000000,3352653.700000000186265,3124334.920000000391155,2900972.590000000316650,12970458.460000000894070
FS( 169 ),3568324.450000000186265,3331937.049999999813735,3146974.680000000167638,2913040.989999999757856,12960277.169999999925494
FS( 170 ),3526777.450000000186265,3297918.129999999888241,3157423.799999999813735,2890111.030000000260770,12872230.410000000149012
FS( 171 ),3552272.200000000186265,3313401.100000000093132,3151763.859999999869615,2899162.330000000074506,12916599.490000000223517
FS( 172 ),3586831.750000000465661,3302279.530000000260770,3132607.140000000130385,2899162.330000000074506,12920880.750000001862645
FS( 173 ),3588720.250000000000000,3303369.879999999888241,3061640.199999999720603,2853000.700000000186265,12806731.030000001192093
FS( 174 ),3588153.700000000186265,3237730.810000000055879,3038129.680000000167638,2821019.439999999944121,12685033.629999998956919
FS( 175 ),3608738.350000000093132,3267170.259999999776483,3076007.740000000223517,2868689.620000000111759,12820605.969999998807907
FS( 176 ),3633100.000000000000000,3285924.280000000260770,3059463.299999999813735,2875930.659999999683350,12854418.240000000223517
FS( 177 ),3691076.950000000186265,3296609.709999999962747,3043354.240000000223517,2841234.009999999776483,12872274.910000000149012
FS( 178 ),3709773.100000000093132,3314491.450000000186265,3047708.040000000037253,2841234.009999999776483,12913206.599999999627471
FS( 179 ),3759629.500000000465661,3339569.499999999534339,3085586.100000000093132,2859940.030000000260770,13044725.129999998956919
FS( 180 ),3745465.750000000465661,3359850.009999999776483,3043789.620000000111759,2847569.919999999925494,12996675.299999998882413
FS( 181 ),3761329.149999999906868,3352435.629999999888241,3059463.299999999813735,2852397.280000000260770,13025625.359999999403954
FS( 182 ),3766428.100000000093132,3375769.120000000111759,3059027.920000000391155,2834596.390000000130385,13035821.530000001192093
FS( 183 ),3819117.250000000000000,3372279.999999999534339,3100389.019999999552965,2883775.120000000111759,13175561.390000000596046
FS( 184 ),3776626.000000000000000,3357451.240000000223517,3070783.180000000167638,2872913.560000000055879,13077773.980000000447035
FS( 185 ),3756041.350000000093132,3352217.560000000055879,3013313.019999999552965,2863258.840000000316650,12984830.769999999552965
FS( 186 ),3769827.400000000372529,3364865.620000000111759,3039000.439999999944121,2903386.270000000018626,13077079.730000000447035
FS( 187 ),3729035.800000000279397,3339351.429999999701977,2981965.659999999683350,2848776.759999999776483,12899129.650000000372529
FS( 188 ),3734512.450000000186265,3340005.640000000130385,3001122.380000000353903,2829467.319999999832362,12905107.790000000968575
FS( 189 ),3750375.850000000093132,3325613.020000000018626,2968033.500000000000000,2816493.789999999571592,12860516.160000000149012
FS( 190 ),3811185.550000000279397,3338043.009999999776483,3007653.080000000074506,2836406.649999999906868,12993288.290000000968575
FS( 191 ),3804953.500000000000000,3338479.149999999906868,2985448.699999999720603,2813476.689999999944121,12942358.039999999105930
FS( 192 ),3821761.150000000372529,3407825.410000000149012,3024197.519999999552965,2833691.259999999776483,13087475.339999999850988
FS( 193 ),3851788.300000000279397,3391470.160000000149012,3046837.280000000260770,2868991.330000000074506,13159087.070000002160668
FS( 194 ),3895412.650000000372529,3378167.890000000130385,3047272.659999999683350,2878646.049999999813735,13199499.250000000000000
FS( 195 ),3898623.100000000093132,3414585.580000000074506,3097776.740000000223517,2901877.720000000204891,13312863.140000000596046
FS( 196 ),3894657.250000000000000,3381002.799999999813735,3124770.299999999813735,2894636.679999999701977,13295067.029999999329448
FS( 197 ),3937715.049999999813735,3386236.479999999981374,3168743.680000000167638,2924505.970000000204891,13417201.179999999701977
FS( 198 ),3946968.700000000186265,3385800.339999999850988,3193560.339999999850988,2921488.870000000111759,13447818.250000000000000
FS( 199 ),3932616.100000000558794,3357451.240000000223517,3191383.439999999944121,2944117.120000000111759,13425567.900000002235174
FS( 200 ),3982472.500000000000000,3355924.749999999534339,3215764.720000000204891,2964331.689999999944121,13518493.660000000149012
FS( 201 ),3971141.500000000000000,3362902.990000000223517,3231438.399999999906868,2960107.750000000000000,13525590.640000000596046
FS( 202 ),4006267.600000000093132,3356578.959999999962747,3212717.060000000521541,3005062.539999999571592,13580626.160000000149012
FS( 203 ),4007023.000000000465661,3311438.469999999739230,3204444.839999999850988,3028294.209999999962747,13551200.519999999552965
FS( 204 ),4012310.800000000279397,3468885.009999999776483,3230132.259999999776483,3016829.229999999981374,13728157.300000000745058
FS( 205 ),4408706.950000000186265,3413059.089999999850988,3224036.939999999944121,3042776.289999999571592,14088579.269999999552965
FS( 206 ),4551288.700000000186265,3422654.169999999925494,3185288.120000000111759,3004157.409999999683350,14163388.400000000372529
FS( 207 ),4556387.650000000372529,3398666.469999999739230,3180063.560000000521541,2991485.590000000316650,14126603.269999999552965
FS( 208 ),4578860.800000000745058,3383183.499999999534339,3165260.640000000130385,3003855.700000000186265,14131160.640000000596046
FS( 209 ),4521828.100000000558794,3359195.799999999813735,3160036.080000000074506,3043379.709999999962747,14084439.690000001341105
FS( 210 ),4493689.450000000186265,3414803.649999999906868,3146103.920000000391155,3055749.819999999832362,14110346.839999999850988
FS( 211 ),4499354.950000000186265,3374024.560000000055879,3141314.740000000223517,3034931.830000000074506,14049626.080000000074506
FS( 212 ),4489157.050000000745058,3354398.259999999776483,3164389.880000000353903,3043983.129999999888241,14051928.320000000298023
FS( 213 ),4536747.250000000000000,3379476.310000000055879,3152199.240000000223517,3062085.729999999981374,14130508.530000001192093
FS( 214 ),4522961.200000000186265,3378385.959999999962747,3169179.060000000521541,3055749.819999999832362,14126276.040000000968575
FS( 215 ),4424948.049999999813735,3378385.959999999962747,3155246.899999999906868,3046396.810000000055879,14004977.720000000670552
FS( 216 ),4397942.500000000000000,3415457.860000000335276,3109096.620000000111759,3001743.729999999981374,13924240.710000000894070
FS( 217 ),4435712.500000000000000,3430286.620000000111759,3156553.040000000037253,3019846.330000000074506,14042398.490000000223517
FS( 218 ),4478581.450000000186265,3429414.339999999850988,3204009.459999999962747,3073550.709999999962747,14185555.960000000894070
FS( 219 ),4516729.150000000372529,3437264.860000000335276,3187900.399999999906868,3096480.669999999925494,14238375.080000000074506
FS( 220 ),4486890.850000000558794,3465177.820000000298023,3206621.740000000223517,3117298.659999999683350,14275989.070000000298023
FS( 221 ),4449120.850000000558794,3443152.749999999534339,3152199.240000000223517,3082300.299999999813735,14126773.140000000596046
FS( 222 ),4452520.150000000372529,3440317.839999999850988,3156117.659999999683350,3092860.149999999906868,14141815.800000000745058
FS( 223 ),4450820.500000000000000,3453402.040000000502914,3141314.740000000223517,3114281.560000000055879,14159818.840000001713634
FS( 224 ),4527682.450000000186265,3481314.999999999534339,3185288.120000000111759,3139926.909999999683350,14334212.480000000447035
FS( 225 ),4496333.350000000558794,3463215.189999999944121,3166131.399999999906868,3113074.720000000204891,14238754.660000002011657
