代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13892031.000000000000000
真實報酬,3892031.000000000000000

夏普值報酬,0.380503100000000
夏普值風險,0.116728372994172
夏普值,3.259731034022013

二次趨勢線,25.784906697879762 x^2 + 12481.261623379736193 x + 10000000.000000000000000
二次加權預期報酬,21162.180211665927345
風險,218649.153801374661271
二次加權趨勢值,0.096786014689497
一次趨勢線,17364.259182082805637 x + 10000000.000000000000000
一次預期報酬,17364.259182082805637
一次風險,285754.224036282277666
一次趨勢值,0.060766412957304
找到最佳解世代,1906
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),HD[9](2),NKE[19](8),UNH[23](1),
FS( 65 ),2682876.039999999571592,2513235.459999999962747,2632336.239999999757856,2718141.699999999720603,10546589.439999999478459
FS( 66 ),2741320.959999999497086,2522059.100000000093132,2645364.159999999683350,2744158.600000000093132,10652902.819999998435378
FS( 67 ),2725924.179999999701977,2522059.100000000093132,2637136.000000000000000,2701464.199999999720603,10586583.479999998584390
FS( 68 ),2720896.659999999683350,2537500.469999999739230,2644678.479999999981374,2718475.250000000000000,10621550.859999999403954
FS( 69 ),2686960.899999999906868,2535924.819999999832362,2617251.279999999795109,2643760.050000000279397,10483897.050000000745058
FS( 70 ),2729066.379999999422580,2597690.300000000279397,2641935.759999999776483,2672445.350000000093132,10641137.789999999105930
FS( 71 ),2749490.679999999701977,2611871.149999999906868,2641935.759999999776483,2664106.600000000093132,10667404.189999999478459
FS( 72 ),2740378.299999999348074,2613131.669999999925494,2630964.879999999422580,2675780.850000000093132,10660255.699999997392297
FS( 73 ),2752632.879999999422580,2619434.270000000018626,2648792.560000000055879,2718808.800000000279397,10739668.509999999776483
FS( 74 ),2784369.099999999627471,2642753.890000000130385,2650163.919999999459833,2729148.849999999627471,10806435.759999999776483
FS( 75 ),2805421.839999999850988,2637396.679999999701977,2644678.479999999981374,2717474.600000000093132,10804971.599999999627471
FS( 76 ),2827103.019999999552965,2634245.379999999888241,2693361.759999999776483,2746493.450000000186265,10901203.609999999403954
FS( 77 ),2830873.659999999683350,2780465.700000000186265,2691990.399999999441206,2784184.600000000093132,11087514.359999999403954
FS( 78 ),2823018.159999999683350,2859878.459999999962747,2705704.000000000000000,2782850.400000000372529,11171451.019999999552965
FS( 79 ),2839986.039999999571592,2872483.660000000149012,2706389.679999999701977,2794191.100000000093132,11213050.479999998584390
FS( 80 ),2843442.459999999497086,2868702.100000000093132,2718731.919999999459833,2794524.649999999906868,11225401.129999998956919
FS( 81 ),2839986.039999999571592,2874059.310000000055879,2743416.399999999441206,2809867.949999999720603,11267329.699999999254942
FS( 82 ),2828674.119999999646097,2887609.899999999906868,2724903.040000000037253,2839220.350000000093132,11280407.409999998286366
FS( 83 ),2839671.819999999832362,2895173.020000000018626,2733131.199999999720603,2881247.649999999906868,11349223.689999999478459
FS( 84 ),2835272.739999999757856,2915341.340000000316650,2702275.599999999627471,2879913.450000000186265,11332803.129999998956919
FS( 85 ),2824275.039999999571592,2946539.209999999962747,2693361.759999999776483,2891254.150000000372529,11355430.160000000149012
FS( 86 ),2853183.279999999795109,2872483.660000000149012,2718046.239999999757856,2881581.200000000186265,11325294.379999998956919
FS( 87 ),2857582.359999999403954,2804730.709999999962747,2702275.599999999627471,2894923.200000000186265,11259511.869999999180436
FS( 88 ),2832444.759999999776483,2834037.800000000279397,2739988.000000000000000,2903929.050000000279397,11310399.610000001266599
FS( 89 ),2857582.359999999403954,2886979.640000000130385,2812670.080000000074506,2926944.000000000000000,11484176.080000000074506
FS( 90 ),2845642.000000000000000,2862084.369999999646097,2825012.319999999832362,2932280.799999999813735,11465019.489999998360872
FS( 91 ),2815476.879999999422580,2802524.800000000279397,2805813.279999999795109,2953961.550000000279397,11377776.509999999776483
FS( 92 ),2812963.119999999646097,2812608.959999999962747,2827755.040000000037253,2910266.500000000000000,11363593.620000001043081
FS( 93 ),2827103.019999999552965,2811663.569999999832362,2805127.599999999627471,2904596.149999999906868,11348490.339999999850988
FS( 94 ),2817676.419999999925494,2799688.629999999888241,2805813.279999999795109,2874576.650000000372529,11297754.980000000447035
FS( 95 ),2830559.439999999478459,2816705.649999999906868,2798270.799999999813735,2869573.399999999906868,11315109.290000000968575
FS( 96 ),2836529.619999999646097,2844752.219999999739230,2783871.520000000018626,2907264.549999999813735,11372417.910000000149012
FS( 97 ),2838414.939999999478459,2874689.569999999832362,2794842.399999999441206,2901594.199999999720603,11409541.109999999403954
FS( 98 ),2838729.159999999683350,2902105.879999999888241,2810613.040000000037253,2922941.399999999906868,11474389.479999998584390
FS( 99 ),2843442.459999999497086,2909984.129999999888241,2805127.599999999627471,2928611.750000000000000,11487165.939999999478459
FS( 100 ),2805736.060000000055879,2895803.279999999795109,2766729.520000000018626,2927611.100000000093132,11395879.959999999031425
FS( 101 ),2774942.500000000000000,2883198.079999999608845,2746844.799999999813735,2888252.200000000186265,11293237.579999998211861
FS( 102 ),2810763.579999999608845,2931412.969999999739230,2771529.279999999795109,2942287.299999999813735,11455993.129999998956919
FS( 103 ),2767401.219999999273568,2896118.410000000149012,2734502.560000000055879,2874576.650000000372529,11272598.839999999850988
FS( 104 ),2788453.959999999497086,2925740.629999999888241,3068428.719999999739230,2888585.750000000000000,11671209.059999998658895
FS( 105 ),2791281.939999999478459,2927001.149999999906868,3055400.799999999813735,2885583.800000000279397,11659267.690000001341105
FS( 106 ),2797566.339999999850988,2891076.329999999608845,3058143.520000000018626,2876911.500000000000000,11623697.689999999478459
FS( 107 ),2749176.459999999497086,2868386.969999999739230,3006717.520000000018626,2831215.149999999906868,11455496.099999999627471
FS( 108 ),2727181.060000000055879,2906832.829999999608845,3061571.919999999459833,2831882.250000000000000,11527468.059999998658895
FS( 109 ),2779341.579999999608845,2947799.729999999981374,3095855.919999999459833,2869239.850000000093132,11692237.079999998211861
FS( 110 ),2782798.000000000000000,2938976.090000000316650,3058829.199999999720603,2838219.700000000186265,11618822.989999998360872
FS( 111 ),2737236.099999999627471,2914080.819999999832362,3019745.439999999478459,2808200.199999999720603,11479262.559999998658895
FS( 112 ),2768658.099999999627471,2965131.879999999888241,3045801.279999999795109,2889252.850000000093132,11668844.109999999403954
FS( 113 ),2693245.299999999348074,2932988.619999999646097,2990946.879999999422580,2833216.449999999720603,11450397.249999998137355
FS( 114 ),2710841.619999999646097,2916601.859999999869615,2989575.520000000018626,2848226.200000000186265,11465245.199999999254942
FS( 115 ),2636685.699999999720603,2855151.509999999776483,2927864.319999999832362,2800195.000000000000000,11219896.529999999329448
FS( 116 ),2643912.759999999776483,2839395.009999999776483,2917579.119999999646097,2762503.849999999627471,11163390.739999998360872
FS( 117 ),2579183.439999999478459,2768490.759999999776483,2920321.839999999850988,2740489.549999999813735,11008485.589999999850988
FS( 118 ),2568499.959999999497086,2800949.149999999906868,2984090.080000000074506,2848226.200000000186265,11201765.390000000596046
FS( 119 ),2634171.939999999478459,2843806.829999999608845,2988889.839999999850988,2941286.650000000372529,11408155.259999999776483
FS( 120 ),2687275.119999999646097,2894542.759999999776483,3047858.319999999832362,2953294.450000000186265,11582970.649999998509884
FS( 121 ),2750747.560000000055879,2968598.310000000055879,3107512.479999999981374,3033680.000000000000000,11860538.349999999627471
FS( 122 ),2736921.879999999422580,2941497.129999999888241,3080770.959999999497086,2994321.100000000093132,11753511.069999998435378
FS( 123 ),2764887.459999999497086,2987506.109999999869615,3098598.639999999664724,3024007.049999999813735,11874999.259999997913837
FS( 124 ),2784369.099999999627471,2993493.579999999608845,3116426.319999999832362,3056694.950000000186265,11950983.949999999254942
FS( 125 ),2779341.579999999608845,3008619.819999999832362,3141796.479999999981374,3073038.899999999906868,12002796.779999999329448
FS( 126 ),2825846.140000000130385,3043914.379999999888241,3169909.359999999403954,3090049.950000000186265,12129719.829999998211861
FS( 127 ),2813277.339999999850988,3038557.169999999925494,3152767.359999999403954,3100723.549999999813735,12105325.419999998062849
FS( 128 ),2834958.519999999552965,3073221.469999999739230,3188422.719999999739230,3131410.149999999906868,12228012.859999999403954
FS( 129 ),2871408.039999999571592,3073221.469999999739230,3187737.040000000037253,3169101.300000000279397,12301467.850000001490116
FS( 130 ),2881777.299999999348074,3028157.879999999888241,3204193.359999999403954,3164098.049999999813735,12278226.589999999850988
FS( 131 ),2839043.379999999422580,3024061.189999999944121,3221335.359999999403954,3168100.649999999906868,12252540.580000000074506
FS( 132 ),2859467.679999999701977,3018388.850000000093132,3246019.839999999850988,3195451.750000000000000,12319328.119999999180436
FS( 133 ),2890889.679999999701977,3065973.479999999981374,3243277.119999999646097,3209127.299999999813735,12409267.579999998211861
FS( 134 ),2828045.679999999701977,3077318.160000000149012,3215164.239999999757856,3122404.299999999813735,12242932.379999998956919
FS( 135 ),2821132.839999999850988,3093389.790000000037253,3255619.359999999403954,3160429.000000000000000,12330570.989999998360872
FS( 136 ),2827417.239999999757856,3092759.529999999795109,3252876.639999999664724,3191782.699999999720603,12364836.109999999403954
FS( 137 ),2824903.479999999981374,3103789.079999999608845,3285103.599999999627471,3191449.150000000372529,12405245.310000000521541
FS( 138 ),2843442.459999999497086,3119860.709999999962747,3295388.799999999813735,3198787.250000000000000,12457479.219999998807907
FS( 139 ),2853183.279999999795109,3095910.829999999608845,3274132.719999999739230,3172436.799999999813735,12395663.629999998956919
FS( 140 ),2840928.699999999720603,3089293.100000000093132,3293331.759999999776483,3217799.600000000093132,12441353.159999998286366
FS( 141 ),2836843.839999999850988,3024691.450000000186265,3307731.040000000037253,3275170.199999999720603,12444436.529999999329448
FS( 142 ),2822389.719999999273568,3047380.810000000055879,3324187.359999999403954,3230808.049999999813735,12424765.939999997615814
FS( 143 ),2793481.479999999981374,3074797.119999999646097,3335843.919999999459833,3230474.500000000000000,12434597.019999999552965
FS( 144 ),2795366.799999999348074,3097171.350000000093132,3339958.000000000000000,3225804.799999999813735,12458300.949999999254942
FS( 145 ),2846270.439999999478459,3100952.910000000149012,3358471.359999999403954,3232142.250000000000000,12537836.959999999031425
FS( 146 ),2879891.979999999981374,3057149.840000000316650,3335843.919999999459833,3265497.250000000000000,12538382.990000000223517
FS( 147 ),2888375.919999999925494,3078893.810000000055879,3352985.919999999459833,3272501.799999999813735,12592757.449999999254942
FS( 148 ),2906914.899999999906868,3132465.910000000149012,3404411.919999999459833,3289846.399999999906868,12733639.130000000819564
FS( 149 ),2912885.079999999608845,3116079.149999999906868,3349557.520000000018626,3304189.050000000279397,12682710.800000000745058
FS( 150 ),2937080.019999999552965,3093389.790000000037253,3361214.080000000074506,3329872.399999999906868,12721556.290000000968575
FS( 151 ),2925768.099999999627471,3106940.379999999888241,3376984.719999999739230,3362226.750000000000000,12771919.949999999254942
FS( 152 ),2929538.739999999757856,3118285.060000000055879,3396183.759999999776483,3324535.600000000093132,12768543.159999998286366
FS( 153 ),2946192.399999999906868,3140029.029999999795109,3405783.279999999795109,3346549.899999999906868,12838554.609999999403954
FS( 154 ),2947449.279999999795109,3164924.300000000279397,3350243.199999999720603,3332874.350000000093132,12795491.129999998956919
FS( 155 ),2920426.359999999403954,3140029.029999999795109,3326930.080000000074506,3369564.850000000093132,12756950.319999998435378
FS( 156 ),2879263.539999999571592,3117969.929999999701977,3348186.159999999683350,3305189.700000000186265,12650609.329999998211861
FS( 157 ),2883034.179999999701977,3159882.219999999739230,3323501.679999999701977,3326536.899999999906868,12692954.979999998584390
FS( 158 ),2874864.459999999497086,3144440.850000000093132,3297445.839999999850988,3294182.550000000279397,12610933.699999999254942
FS( 159 ),2856325.479999999981374,3152949.359999999869615,3272075.679999999701977,3277838.600000000093132,12559189.119999999180436
FS( 160 ),2833387.419999999925494,3058725.490000000223517,3195965.199999999720603,3197119.500000000000000,12285197.609999999403954
FS( 161 ),2871408.039999999571592,3117969.929999999701977,3239848.719999999739230,3306857.450000000186265,12536084.139999996870756
FS( 162 ),2910057.099999999627471,3172487.419999999925494,3328301.439999999478459,3410257.949999999720603,12821103.909999998286366
FS( 163 ),2918855.259999999776483,3212193.800000000279397,3251505.279999999795109,3418596.699999999720603,12801151.039999999105930
FS( 164 ),2960018.079999999608845,3261669.209999999962747,3289217.679999999701977,3436941.950000000186265,12947846.919999998062849
FS( 165 ),2975414.859999999403954,3269862.590000000316650,3290589.040000000037253,3430604.500000000000000,12966470.989999998360872
FS( 166 ),2966930.919999999925494,3263559.990000000223517,3301559.919999999459833,3424934.150000000372529,12956984.980000000447035
FS( 167 ),2986098.339999999850988,3269547.459999999962747,3320073.279999999795109,3420598.000000000000000,12996317.080000000074506
FS( 168 ),3000866.679999999701977,3294127.600000000093132,3335843.919999999459833,3413259.899999999906868,13044098.099999999627471
FS( 169 ),2975729.079999999608845,3285934.219999999739230,3321444.639999999664724,3430604.500000000000000,13013712.439999997615814
FS( 170 ),2959703.859999999403954,3307993.319999999832362,3296760.159999999683350,3371899.700000000186265,12936357.039999999105930
FS( 171 ),2945878.179999999701977,3259463.300000000279397,3258362.080000000074506,3361559.649999999906868,12825263.210000000894070
FS( 172 ),2902830.039999999571592,3191080.090000000316650,3205564.719999999739230,3306190.350000000093132,12605665.199999999254942
FS( 173 ),2887433.259999999776483,3181311.060000000055879,3187051.359999999403954,3299519.350000000093132,12555315.029999999329448
FS( 174 ),2916969.939999999478459,3290346.040000000037253,3252876.639999999664724,3333207.900000000372529,12793400.519999999552965
FS( 175 ),2947135.060000000055879,3363141.069999999832362,3327615.759999999776483,3492311.250000000000000,13130203.140000000596046
FS( 176 ),2961589.179999999701977,3305472.279999999795109,3291274.719999999739230,3459623.350000000093132,13017959.529999999329448
FS( 177 ),2968187.799999999348074,3290661.169999999925494,3286474.959999999497086,3420598.000000000000000,12965921.929999997839332
FS( 178 ),2991125.859999999403954,3268917.200000000186265,3257676.399999999441206,3437942.599999999627471,12955662.059999998658895
FS( 179 ),2960960.739999999757856,3234568.029999999795109,3213107.199999999720603,3446614.899999999906868,12855250.869999999180436
FS( 180 ),2964731.379999999422580,3183201.840000000316650,3182251.599999999627471,3484306.049999999813735,12814490.870000001043081
FS( 181 ),2990811.640000000130385,3281207.270000000018626,3188422.719999999739230,3528001.100000000093132,12988442.729999998584390
FS( 182 ),2976985.959999999497086,3253790.959999999962747,3209678.799999999813735,3522997.850000000093132,12963453.569999998435378
FS( 183 ),2959075.419999999925494,3262614.600000000093132,3206250.399999999441206,3646411.349999999627471,13074351.769999997690320
FS( 184 ),2989868.979999999981374,3342657.619999999646097,3286474.959999999497086,3797509.500000000000000,13416511.059999998658895
FS( 185 ),2976357.519999999552965,3320598.520000000018626,3296760.159999999683350,3735802.750000000000000,13329518.949999999254942
FS( 186 ),2984213.019999999552965,3351796.390000000130385,3303616.959999999497086,3722794.299999999813735,13362420.669999998062849
FS( 187 ),2952791.019999999552965,3313980.790000000037253,3239848.719999999739230,3669426.300000000279397,13176046.830000000074506
FS( 188 ),2911942.419999999925494,3300745.329999999608845,3199393.599999999627471,3617726.049999999813735,13029807.399999998509884
FS( 189 ),2929224.519999999552965,3391502.770000000018626,3252876.639999999664724,3648746.200000000186265,13222350.129999998956919
FS( 190 ),2858210.799999999348074,3290661.169999999925494,3163052.560000000055879,3544011.500000000000000,12855936.029999999329448
FS( 191 ),2888690.140000000130385,3290976.300000000279397,3151396.000000000000000,3578700.700000000186265,12909763.140000000596046
FS( 192 ),2956875.879999999422580,3379527.829999999608845,3200764.959999999497086,3596045.300000000279397,13133213.969999998807907
FS( 193 ),3182485.839999999850988,3416398.040000000037253,3172652.080000000074506,3599714.350000000093132,13371250.310000000521541
FS( 194 ),3225219.759999999776483,3434675.579999999608845,3200079.279999999795109,3629733.849999999627471,13489708.469999998807907
FS( 195 ),3205738.119999999646097,3436251.229999999981374,3147281.919999999459833,3589040.750000000000000,13378312.019999999552965
FS( 196 ),3196625.739999999757856,3414192.129999999888241,3126025.839999999850988,3552016.699999999720603,13288860.409999998286366
FS( 197 ),3202595.919999999925494,3487617.419999999925494,3180194.560000000055879,3634737.100000000093132,13505145.000000000000000
FS( 198 ),3201024.819999999832362,3476272.740000000223517,3130825.599999999627471,3664089.500000000000000,13472212.660000000149012
FS( 199 ),3254756.439999999478459,3534571.790000000037253,3154138.719999999739230,3663755.950000000186265,13607222.899999998509884
FS( 200 ),3273295.419999999925494,3526063.279999999795109,3155510.080000000074506,3650413.949999999720603,13605282.729999998584390
FS( 201 ),3271724.319999999832362,3529529.709999999962747,3149338.959999999497086,3661087.550000000279397,13611680.539999999105930
FS( 202 ),3263554.599999999627471,3529214.579999999608845,3209678.799999999813735,3661421.100000000093132,13663869.080000000074506
FS( 203 ),3264497.259999999776483,3496125.929999999701977,3212421.520000000018626,3670093.399999999906868,13643138.109999999403954
FS( 204 ),3285235.779999999795109,3537092.829999999608845,3254933.679999999701977,3756482.850000000093132,13833745.139999998733401
FS( 205 ),3299061.459999999497086,3538353.350000000093132,3257676.399999999441206,3882564.750000000000000,13977655.959999999031425
FS( 206 ),3289006.419999999925494,3679216.459999999962747,3271390.000000000000000,3850210.400000000372529,14089823.279999999329448
FS( 207 ),3317286.219999999273568,3665350.740000000223517,3319387.599999999627471,3804180.500000000000000,14106205.059999998658895
FS( 208 ),3285550.000000000000000,3636043.649999999906868,3325558.719999999739230,3791172.049999999813735,14038324.420000001788139
FS( 209 ),3270467.439999999478459,3616190.459999999962747,3329672.799999999813735,3790171.399999999906868,14006502.099999999627471
FS( 210 ),3327341.259999999776483,3659363.270000000018626,3385898.560000000055879,3815854.750000000000000,14188457.839999999850988
FS( 211 ),3341795.379999999422580,3657787.619999999646097,3359157.040000000037253,3764488.049999999813735,14123228.089999999850988
FS( 212 ),3317286.219999999273568,3616505.590000000316650,3343386.399999999441206,3796508.849999999627471,14073687.059999998658895
FS( 213 ),3300318.339999999850988,3652745.540000000037253,3375613.359999999403954,3828863.200000000186265,14157540.439999997615814
FS( 214 ),3262297.719999999273568,3606736.560000000055879,3322816.000000000000000,3765155.149999999906868,13957005.429999999701977
FS( 215 ),3307545.399999999906868,3631946.959999999962747,3340643.679999999701977,3832532.250000000000000,14112668.289999999105930
FS( 216 ),3239359.659999999683350,3547176.990000000223517,3309102.399999999441206,3751146.049999999813735,13846785.100000001490116
FS( 217 ),3233075.259999999776483,3563248.619999999646097,3268647.279999999795109,3759818.350000000093132,13824789.509999997913837
FS( 218 ),3367561.419999999925494,3658733.009999999776483,3326930.080000000074506,3831865.149999999906868,14185089.660000000149012
FS( 219 ),3344623.359999999403954,3618396.369999999646097,3285103.599999999627471,3844206.500000000000000,14092329.829999998211861
FS( 220 ),3373845.819999999832362,3671338.209999999962747,3306359.679999999701977,3953277.350000000093132,14304821.059999998658895
FS( 221 ),3360962.799999999348074,3642346.250000000000000,3309788.080000000074506,3922590.750000000000000,14235687.879999998956919
FS( 222 ),3392699.019999999552965,3658102.750000000000000,3343386.399999999441206,4001308.549999999813735,14395496.719999998807907
FS( 223 ),3373845.819999999832362,3629110.790000000037253,3370813.599999999627471,4027992.550000000279397,14401762.759999999776483
FS( 224 ),3407153.140000000130385,3702536.079999999608845,3496293.040000000037253,3973957.450000000186265,14579939.710000000894070
FS( 225 ),3400554.519999999552965,3657787.619999999646097,3478465.359999999403954,3970621.950000000186265,14507429.449999999254942
