代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13560277.929999999701977
真實報酬,3560277.929999999701977

夏普值報酬,0.347327793000000
夏普值風險,0.102208667842067
夏普值,3.398222482820078

二次趨勢線,58.411007993596087 x^2 + 407.489414396411576 x + 10000000.000000000000000
二次加權預期報酬,20150.410116231876600
風險,296377.601976490637753
二次加權趨勢值,0.067988977513322
一次趨勢線,11512.839105770583046 x + 10000000.000000000000000
一次預期報酬,11512.839105770583046
一次風險,514104.151577195327263
一次趨勢值,0.022393981979042
找到最佳解世代,2007
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),KO[14](3),UNH[23](5),VZ[26](1),
FS( 20 ),2683320.520000000018626,2449430.250000000000000,2568668.599999999627471,2447616.140000000130385,10149035.509999999776483
FS( 21 ),2681523.259999999776483,2450349.699999999720603,2561877.199999999720603,2471098.560000000055879,10164848.719999998807907
FS( 22 ),2686915.039999999571592,2479772.099999999627471,2573196.199999999720603,2459357.350000000093132,10199240.689999997615814
FS( 23 ),2704887.640000000130385,2504597.249999999534339,2486417.199999999720603,2472001.729999999981374,10167903.820000000298023
FS( 24 ),2810925.979999999981374,2514711.199999999720603,2546030.600000000093132,2468389.049999999813735,10340056.829999998211861
FS( 25 ),2812723.239999999757856,2503677.799999999813735,2497736.199999999720603,2501806.339999999850988,10315943.579999998211861
FS( 26 ),2863046.520000000018626,2490805.499999999534339,2496226.999999999534339,2525288.760000000242144,10375367.779999999329448
FS( 27 ),2886410.899999999441206,2491724.949999999720603,2508300.600000000093132,2511741.209999999962747,10398177.660000000149012
FS( 28 ),2894498.569999999832362,2464141.449999999720603,2527920.199999999720603,2519869.739999999757856,10406429.959999999031425
FS( 29 ),2908876.649999999441206,2453108.049999999813735,2483398.799999999348074,2510838.040000000037253,10356221.539999999105930
FS( 30 ),2873830.080000000074506,2466899.799999999348074,2454724.000000000000000,2521676.080000000074506,10317129.959999999031425
FS( 31 ),2881019.120000000111759,2468738.699999999720603,2493963.199999999720603,2527095.100000000093132,10370816.119999999180436
FS( 32 ),2877424.600000000093132,2475174.850000000093132,2471325.199999999720603,2546061.669999999925494,10369986.320000000298023
FS( 33 ),2883715.010000000242144,2480691.549999999813735,2534711.600000000093132,2558706.049999999813735,10457824.210000000894070
FS( 34 ),2853161.589999999850988,2517469.549999999813735,2595079.599999999627471,2567737.750000000000000,10533448.489999998360872
FS( 35 ),2885512.270000000018626,2507355.599999999627471,2512828.199999999720603,2588510.660000000149012,10494206.729999998584390
FS( 36 ),2931342.399999999441206,2542294.699999999720603,2502263.799999999348074,2615605.760000000242144,10591506.659999998286366
FS( 37 ),2944821.850000000093132,2511033.399999999441206,2469061.399999999441206,2572253.600000000093132,10497170.250000000000000
FS( 38 ),2909775.280000000260770,2519308.449999999720603,2499245.399999999441206,2559609.219999999739230,10487938.349999999627471
FS( 39 ),2964591.709999999962747,2512872.299999999348074,2462270.000000000000000,2564125.069999999832362,10503859.080000000074506
FS( 40 ),2983462.939999999944121,2518389.000000000000000,2478116.600000000093132,2571350.429999999701977,10551318.969999998807907
FS( 41 ),3027495.809999999590218,2522986.250000000000000,2494717.799999999813735,2637281.839999999850988,10682481.699999999254942
FS( 42 ),3016712.250000000000000,2528502.949999999720603,2465288.399999999906868,2619218.439999999944121,10629722.039999999105930
FS( 43 ),3029293.069999999832362,2542294.699999999720603,2489435.600000000093132,2640894.520000000018626,10701917.889999998733401
FS( 44 ),3061643.750000000000000,2522066.799999999813735,2500754.599999999627471,2656248.410000000149012,10740713.559999998658895
FS( 45 ),3075123.199999999720603,2496322.199999999720603,2521128.799999999348074,2634572.330000000074506,10727146.529999999329448
FS( 46 ),3088602.649999999441206,2474255.399999999906868,2484907.999999999534339,2553287.029999999795109,10601053.079999998211861
FS( 47 ),3080514.979999999981374,2471497.049999999813735,2461515.399999999441206,2546964.839999999850988,10560492.269999999552965
FS( 48 ),3103879.359999999869615,2510113.949999999720603,2434349.799999999348074,2539739.479999999981374,10588082.589999999850988
FS( 49 ),3110169.770000000018626,2517469.549999999813735,2434349.799999999348074,2527998.270000000018626,10589987.389999998733401
FS( 50 ),3111967.030000000260770,2529422.399999999906868,2426803.799999999348074,2538836.310000000055879,10607029.539999999105930
FS( 51 ),3154202.640000000130385,2526664.049999999813735,2343043.199999999720603,2520772.910000000149012,10544682.799999998882413
FS( 52 ),3195539.620000000111759,2494483.299999999813735,2311349.999999999534339,2494580.979999999981374,10495953.900000000372529
FS( 53 ),3175769.760000000242144,2527583.499999999534339,2318895.999999999534339,2498193.660000000149012,10520442.919999999925494
FS( 54 ),3172175.239999999757856,2543214.149999999906868,2356625.999999999534339,2510838.040000000037253,10582853.429999999701977
FS( 55 ),3139824.559999999590218,2504597.249999999534339,2337760.999999999534339,2512644.379999999888241,10494827.189999997615814
FS( 56 ),3327638.229999999981374,2491724.949999999720603,2283429.799999999813735,2496387.319999999832362,10599180.299999998882413
FS( 57 ),3421095.750000000000000,2497241.649999999906868,2298521.799999999813735,2472001.729999999981374,10688860.929999999701977
FS( 58 ),3476810.809999999590218,2477013.750000000000000,2335497.199999999720603,2453035.160000000149012,10742356.919999999925494
FS( 59 ),3459736.839999999850988,2470577.599999999627471,2252491.199999999720603,2444003.459999999962747,10626809.099999997764826
FS( 60 ),3363583.429999999701977,2431041.250000000000000,2248718.199999999720603,2427746.399999999906868,10471089.279999999329448
FS( 61 ),3358191.649999999441206,2453108.049999999813735,2297012.599999999627471,2459357.350000000093132,10567669.649999998509884
FS( 62 ),3448953.280000000260770,2470577.599999999627471,2361908.199999999720603,2467485.879999999888241,10748924.960000000894070
FS( 63 ),3351901.239999999757856,2457705.299999999813735,2287202.799999999813735,2440390.779999999795109,10537200.119999999180436
FS( 64 ),3419298.489999999757856,2471497.049999999813735,2283429.799999999813735,2472904.899999999906868,10647130.239999998360872
FS( 65 ),3320449.189999999944121,2444832.999999999534339,2225325.599999999627471,2427746.399999999906868,10418354.189999999478459
FS( 66 ),3286301.250000000000000,2466899.799999999348074,2263810.199999999720603,2421424.209999999962747,10438435.459999997168779
FS( 67 ),3161391.679999999701977,2404377.199999999720603,2206460.599999999627471,2365427.669999999925494,10137657.149999998509884
FS( 68 ),3027495.809999999590218,2421846.749999999534339,2189859.399999999906868,2380781.560000000055879,10019983.519999999552965
FS( 69 ),3260240.979999999981374,2484369.349999999627471,2254754.999999999534339,2416005.189999999944121,10415370.519999999552965
FS( 70 ),3293490.289999999571592,2465060.899999999441206,2252491.199999999720603,2397941.790000000037253,10408984.179999999701977
FS( 71 ),3364482.059999999590218,2483449.899999999906868,2287957.399999999906868,2423230.549999999813735,10559119.910000000149012
FS( 72 ),3316854.669999999459833,2459544.199999999720603,2277392.999999999534339,2422327.379999999888241,10476119.250000000000000
FS( 73 ),3258443.719999999739230,2452188.600000000093132,2293239.599999999627471,2407876.660000000149012,10411748.580000000074506
FS( 74 ),3263835.500000000000000,2455866.399999999906868,2297012.599999999627471,2420521.040000000037253,10437235.539999999105930
FS( 75 ),3239572.489999999757856,2441155.199999999720603,2277392.999999999534339,2399748.129999999888241,10357868.820000000298023
FS( 76 ),3188350.579999999608845,2442074.649999999441206,2263055.599999999627471,2407876.660000000149012,10301357.489999998360872
FS( 77 ),3052657.449999999720603,2369438.099999999627471,2185331.799999999813735,2343751.589999999850988,9951178.939999997615814
FS( 78 ),3111068.399999999441206,2372196.449999999720603,2165712.199999999720603,2360911.819999999832362,10009888.869999999180436
FS( 79 ),3167682.089999999850988,2365760.299999999813735,2175521.999999999534339,2321172.339999999850988,10030136.729999998584390
FS( 80 ),3147912.229999999981374,2327143.399999999441206,2178540.399999999906868,2313946.979999999981374,9967543.009999999776483
FS( 81 ),3133534.149999999441206,2302318.249999999534339,2172503.599999999627471,2274207.500000000000000,9882563.499999998137355
FS( 82 ),3252153.309999999590218,2355646.349999999627471,2212497.399999999906868,2329300.869999999646097,10149597.929999997839332
FS( 83 ),3297983.439999999944121,2363001.949999999720603,2193632.399999999906868,2323881.850000000093132,10178499.639999998733401
FS( 84 ),3348306.719999999739230,2358404.699999999720603,2186840.999999999534339,2297689.919999999925494,10191242.339999999850988
FS( 85 ),3388745.069999999832362,2409893.899999999906868,2257018.799999999813735,2329300.869999999646097,10384958.639999998733401
FS( 86 ),3377961.510000000242144,2425524.549999999813735,2298521.799999999813735,2333816.719999999739230,10435824.580000000074506
FS( 87 ),3286301.250000000000000,2357485.250000000000000,2289466.599999999627471,2297689.919999999925494,10230943.019999999552965
FS( 88 ),3221599.890000000130385,2335418.449999999720603,2298521.799999999813735,2286851.879999999888241,10142392.019999999552965
FS( 89 ),3200931.399999999441206,2370357.549999999813735,2330969.599999999627471,2337429.399999999906868,10239687.949999999254942
FS( 90 ),3121851.959999999962747,2361163.049999999813735,2303804.000000000000000,2345557.929999999701977,10132376.939999999478459
FS( 91 ),3216208.109999999869615,2411732.799999999813735,2316632.199999999720603,2393425.939999999944121,10337999.049999998882413
FS( 92 ),3254849.199999999720603,2374954.799999999348074,2314368.399999999906868,2411489.339999999850988,10355661.739999998360872
FS( 93 ),3264734.129999999888241,2368518.649999999906868,2308331.599999999627471,2417811.529999999795109,10359395.909999998286366
FS( 94 ),3333928.640000000130385,2398860.499999999534339,2353607.599999999627471,2458454.179999999701977,10544850.919999998062849
FS( 95 ),3430980.679999999701977,2408974.449999999720603,2368699.599999999627471,2463873.200000000186265,10672527.929999999701977
FS( 96 ),3490290.260000000242144,2407135.549999999813735,2377000.199999999720603,2456647.839999999850988,10731073.849999999627471
FS( 97 ),3518147.789999999571592,2405296.649999999906868,2364171.999999999534339,2459357.350000000093132,10746973.789999999105930
FS( 98 ),3468723.140000000130385,2412652.249999999534339,2350589.199999999720603,2453938.330000000074506,10685902.919999999925494
FS( 99 ),3515451.899999999441206,2411732.799999999813735,2312104.599999999627471,2453938.330000000074506,10693227.629999998956919
FS( 100 ),3478608.069999999832362,2401618.849999999627471,2279656.799999999813735,2476517.580000000074506,10636401.300000000745058
FS( 101 ),3453446.429999999701977,2381390.949999999720603,2245699.799999999813735,2445809.799999999813735,10526346.979999998584390
FS( 102 ),3423791.640000000130385,2310593.299999999813735,2254754.999999999534339,2410586.169999999925494,10399726.109999999403954
FS( 103 ),3444460.129999999888241,2348290.749999999534339,2202687.599999999627471,2424133.719999999739230,10419572.199999999254942
FS( 104 ),3288997.140000000130385,2314271.100000000093132,2160429.999999999534339,2416908.359999999869615,10180606.599999999627471
FS( 105 ),3228788.929999999701977,2304157.149999999441206,2143074.199999999720603,2366330.839999999850988,10042351.119999999180436
FS( 106 ),3190147.839999999850988,2300479.349999999627471,2101571.199999999720603,2375362.540000000037253,9967560.929999999701977
FS( 107 ),3170377.979999999981374,2301398.799999999813735,2135528.199999999720603,2421424.209999999962747,10028729.189999997615814
FS( 108 ),3191945.100000000093132,2318868.349999999627471,2180049.599999999627471,2403360.810000000055879,10094223.859999999403954
FS( 109 ),3320449.189999999944121,2366679.749999999534339,2203442.199999999720603,2395232.279999999795109,10285803.419999998062849
FS( 110 ),3313260.149999999441206,2409893.899999999906868,2239662.999999999534339,2418714.700000000186265,10381531.750000000000000
FS( 111 ),3333030.010000000242144,2408974.449999999720603,2261546.399999999441206,2406973.489999999757856,10410524.349999999627471
FS( 112 ),3303375.219999999739230,2411732.799999999813735,2266828.599999999627471,2392522.770000000018626,10374459.389999998733401
FS( 113 ),3232383.449999999720603,2423685.649999999441206,2274374.599999999627471,2428649.569999999832362,10359093.269999999552965
FS( 114 ),3244065.640000000130385,2428282.899999999906868,2287957.399999999906868,2424133.719999999739230,10384439.660000000149012
FS( 115 ),3227890.299999999813735,2430121.799999999813735,2330214.999999999534339,2420521.040000000037253,10408748.140000000596046
FS( 116 ),3208120.439999999944121,2408055.000000000000000,2289466.599999999627471,2410586.169999999925494,10316228.209999999031425
FS( 117 ),3152405.379999999888241,2403457.750000000000000,2325687.399999999906868,2413295.679999999701977,10294846.209999999031425
FS( 118 ),3233282.079999999608845,2447591.349999999627471,2326441.999999999534339,2408779.830000000074506,10416095.259999999776483
FS( 119 ),3263835.500000000000000,2486208.249999999534339,2316632.199999999720603,2395232.279999999795109,10461908.229999998584390
FS( 120 ),3324942.339999999850988,2494483.299999999813735,2339270.199999999720603,2438584.439999999944121,10597280.279999999329448
FS( 121 ),3336624.530000000260770,2517469.549999999813735,2333233.399999999906868,2530707.779999999795109,10718035.259999999776483
FS( 122 ),3328536.859999999869615,2525744.599999999627471,2374736.399999999441206,2554190.200000000186265,10783208.059999998658895
FS( 123 ),3390542.329999999608845,2531261.299999999813735,2322669.000000000000000,2582188.469999999739230,10826661.099999997764826
FS( 124 ),3350103.979999999981374,2522986.250000000000000,2288711.999999999534339,2611089.910000000149012,10772892.140000000596046
FS( 125 ),3313260.149999999441206,2528502.949999999720603,2297012.599999999627471,2608380.399999999906868,10747156.099999999627471
FS( 126 ),3302476.589999999850988,2534019.649999999441206,2297767.199999999720603,2624637.459999999962747,10758900.899999998509884
FS( 127 ),3361786.169999999459833,2593783.899999999906868,2372472.599999999627471,2669795.959999999962747,10997838.629999998956919
FS( 128 ),3362684.799999999813735,2591945.000000000000000,2446423.399999999906868,2667989.619999999646097,11069042.819999998435378
FS( 129 ),3376164.250000000000000,2600220.049999999813735,2483398.799999999348074,2655345.239999999757856,11115128.339999999850988
FS( 130 ),3359988.909999999683350,2591945.000000000000000,2521883.399999999906868,2668892.790000000037253,11142710.100000001490116
FS( 131 ),3339320.419999999459833,2609414.549999999813735,2524147.199999999720603,2668892.790000000037253,11141774.959999997168779
FS( 132 ),3359988.909999999683350,2625964.649999999441206,2527165.600000000093132,2696891.060000000055879,11210010.219999998807907
FS( 133 ),3330334.120000000111759,2619528.499999999534339,2515091.999999999534339,2711341.779999999795109,11176296.399999998509884
FS( 134 ),3211714.959999999962747,2576314.349999999627471,2413975.599999999627471,2669795.959999999962747,10871800.869999999180436
FS( 135 ),3232383.449999999720603,2560683.699999999720603,2424540.000000000000000,2738436.879999999888241,10956044.029999999329448
FS( 136 ),3198235.510000000242144,2562522.599999999627471,2416994.000000000000000,2712244.950000000186265,10889997.059999998658895
FS( 137 ),3179364.280000000260770,2568958.750000000000000,2407184.199999999720603,2705922.760000000242144,10861429.990000000223517
FS( 138 ),3235079.339999999850988,2579992.149999999441206,2441141.199999999720603,2724889.330000000074506,10981102.019999999552965
FS( 139 ),3248558.789999999571592,2567119.850000000093132,2455478.599999999627471,2723082.989999999757856,10994240.229999998584390
FS( 140 ),3208120.439999999944121,2541375.250000000000000,2398883.599999999627471,2675214.979999999981374,10823594.269999999552965
FS( 141 ),3204525.919999999459833,2542294.699999999720603,2385300.799999999813735,2652635.729999999981374,10784757.149999998509884
FS( 142 ),3155101.270000000018626,2556086.449999999720603,2377000.199999999720603,2656248.410000000149012,10744436.330000000074506
FS( 143 ),3080514.979999999981374,2558844.799999999348074,2342288.599999999627471,2661667.429999999701977,10643315.809999998658895
FS( 144 ),3118257.439999999944121,2546891.949999999720603,2411711.799999999813735,2678827.660000000149012,10755688.849999999627471
FS( 145 ),3085008.129999999888241,2535858.549999999348074,2403411.199999999720603,2664376.939999999944121,10688654.819999998435378
FS( 146 ),3102082.100000000093132,2581831.049999999348074,2442650.399999999441206,2695084.719999999739230,10821648.269999999552965
FS( 147 ),3112865.659999999683350,2554247.549999999813735,2407938.799999999813735,2658957.919999999925494,10734009.929999999701977
FS( 148 ),3120953.329999999608845,2568958.750000000000000,2393601.399999999441206,2667086.450000000186265,10750599.929999999701977
FS( 149 ),3213512.219999999739230,2635159.149999999906868,2459251.600000000093132,2733017.859999999869615,11040940.829999998211861
FS( 150 ),3236876.600000000093132,2637917.500000000000000,2479625.799999999813735,2719470.310000000055879,11073890.209999999031425
FS( 151 ),3322246.449999999720603,2646192.549999999813735,2558858.799999999348074,2727598.839999999850988,11254896.639999998733401
FS( 152 ),3309665.629999999888241,2649870.349999999627471,2549049.000000000000000,2729405.179999999701977,11237990.160000000149012
FS( 153 ),3375265.620000000111759,2659064.850000000093132,2554331.199999999720603,2751081.260000000242144,11339742.929999999701977
FS( 154 ),3377062.879999999888241,2680212.199999999720603,2567159.399999999906868,2785401.719999999739230,11409836.199999999254942
FS( 155 ),3381556.030000000260770,2690326.149999999906868,2602625.600000000093132,2783595.379999999888241,11458103.160000000149012
FS( 156 ),3428284.789999999571592,2668259.349999999627471,2619981.399999999441206,2790820.739999999757856,11507346.279999999329448
FS( 157 ),3440865.609999999869615,2648031.449999999720603,2611680.799999999813735,2791723.910000000149012,11492301.769999999552965
FS( 158 ),3468723.140000000130385,2639756.399999999906868,2586024.399999999906868,2817012.669999999925494,11511516.609999999403954
FS( 159 ),3550498.469999999739230,2644353.649999999906868,2583760.600000000093132,2837785.580000000074506,11616398.299999998882413
FS( 160 ),3535221.760000000242144,2646192.549999999813735,2575460.000000000000000,2861268.000000000000000,11618142.310000000521541
FS( 161 ),3635868.319999999832362,2665500.999999999534339,2635827.999999999534339,2898297.970000000204891,11835495.289999999105930
FS( 162 ),3643057.359999999869615,2671937.149999999441206,2660729.799999999348074,2919070.879999999888241,11894795.189999997615814
FS( 163 ),3694279.270000000018626,2677453.849999999627471,2692422.999999999534339,2925393.069999999832362,11989549.189999999478459
FS( 164 ),3708657.350000000093132,2660903.750000000000000,2674312.599999999627471,2905523.330000000074506,11949397.029999999329448
FS( 165 ),3752690.219999999739230,2694923.399999999441206,2696195.999999999534339,2947972.319999999832362,12091781.939999999478459
FS( 166 ),3737413.510000000242144,2694003.949999999720603,2667521.199999999720603,2967842.060000000055879,12066780.720000000670552
FS( 167 ),3682597.079999999608845,2716990.199999999720603,2644128.599999999627471,2955197.679999999701977,11998913.559999998658895
FS( 168 ),3688887.489999999757856,2701359.549999999813735,2656202.199999999720603,2949778.659999999683350,11996227.899999998509884
FS( 169 ),3643057.359999999869615,2690326.149999999906868,2649410.799999999813735,2943456.470000000204891,11926250.779999999329448
FS( 170 ),3626882.020000000018626,2717909.649999999441206,2673557.999999999534339,2970551.569999999832362,11988901.240000000223517
FS( 171 ),3577457.370000000111759,2706876.250000000000000,2606398.599999999627471,2983195.950000000186265,11873928.169999998062849
FS( 172 ),3709555.979999999981374,2742734.799999999348074,2646392.399999999906868,3031967.129999999888241,12130650.309999998658895
FS( 173 ),3700569.679999999701977,2747332.049999999813735,2569423.199999999720603,3003065.689999999944121,12020390.619999999180436
FS( 174 ),3713150.500000000000000,2732620.849999999627471,2591306.600000000093132,2974164.250000000000000,12011242.199999999254942
FS( 175 ),3775155.969999999739230,2731701.399999999906868,2592061.199999999720603,2965132.549999999813735,12064051.119999997317791
FS( 176 ),3791331.309999999590218,2738137.549999999813735,2614699.199999999720603,2983195.950000000186265,12127364.009999997913837
FS( 177 ),3832668.289999999571592,2739976.449999999720603,2642619.399999999906868,2938940.619999999646097,12154204.759999997913837
FS( 178 ),3853336.780000000260770,2755607.099999999627471,2665257.399999999906868,2909136.010000000242144,12183337.289999999105930
FS( 179 ),3881194.309999999590218,2754687.649999999906868,2699969.000000000000000,2929908.919999999925494,12265759.879999998956919
FS( 180 ),4040251.819999999832362,2755607.099999999627471,2715060.999999999534339,2929005.750000000000000,12439925.669999999925494
FS( 181 ),4082487.429999999701977,2758365.449999999720603,2735435.199999999720603,2943456.470000000204891,12519744.549999998882413
FS( 182 ),3972854.569999999832362,2773996.100000000093132,2663748.199999999720603,2904620.159999999683350,12315219.029999999329448
FS( 183 ),3986334.020000000018626,2811693.549999999348074,2771655.999999999534339,2947972.319999999832362,12517655.889999998733401
FS( 184 ),3973753.199999999720603,2826404.749999999534339,2753545.600000000093132,2937134.280000000260770,12490837.829999998211861
FS( 185 ),3946794.299999999813735,2832840.899999999441206,2811649.799999999348074,2898297.970000000204891,12489582.969999998807907
FS( 186 ),3964766.899999999441206,2805257.399999999906868,2834287.799999999813735,2921780.390000000130385,12526092.489999998360872
FS( 187 ),3954881.969999999739230,2815371.349999999627471,2835042.399999999906868,2935327.939999999944121,12540623.659999998286366
FS( 188 ),3952186.079999999608845,2813532.449999999720603,2711287.999999999534339,2936231.109999999869615,12413237.639999998733401
FS( 189 ),3918936.770000000018626,2814451.899999999441206,2735435.199999999720603,2927199.409999999683350,12396023.279999999329448
FS( 190 ),3864120.339999999850988,2819049.149999999906868,2720343.199999999720603,2933521.599999999627471,12337034.289999999105930
FS( 191 ),3904558.689999999944121,2837438.149999999441206,2724870.799999999813735,2926296.239999999757856,12393163.880000000819564
FS( 192 ),3971057.309999999590218,2843874.299999999813735,2792030.199999999720603,2962423.039999999571592,12569384.849999997764826
FS( 193 ),4015988.809999999590218,2848471.549999999813735,2766373.799999999348074,2979583.270000000018626,12610417.429999997839332
FS( 194 ),4086081.949999999720603,2871457.799999999813735,2776938.199999999720603,3027451.280000000260770,12761929.230000000447035
FS( 195 ),4070805.239999999757856,2876974.499999999534339,2781465.799999999813735,3019322.750000000000000,12748568.289999999105930
FS( 196 ),4090575.100000000093132,2871457.799999999813735,2801085.399999999441206,2995840.330000000074506,12758958.630000000819564
FS( 197 ),4057325.789999999571592,2879732.849999999627471,2790520.999999999534339,2981389.609999999869615,12708969.249999998137355
FS( 198 ),4082487.429999999701977,2876055.049999999813735,2804103.799999999348074,2966938.890000000130385,12729585.169999999925494
FS( 199 ),4065413.459999999962747,2887088.449999999720603,2827496.399999999441206,2947069.150000000372529,12727067.459999999031425
FS( 200 ),3953983.339999999850988,2892605.149999999906868,2767128.399999999906868,2940746.959999999962747,12554463.850000001490116
FS( 201 ),3941402.520000000018626,2894444.049999999813735,2676576.399999999441206,2959713.530000000260770,12472136.500000000000000
FS( 202 ),3871309.379999999888241,2853988.249999999534339,2641864.799999999348074,2907329.669999999925494,12274492.099999997764826
FS( 203 ),3857829.929999999701977,2874216.149999999906868,2666011.999999999534339,2920877.220000000204891,12318935.300000000745058
FS( 204 ),3959375.120000000111759,2934899.850000000093132,2688650.000000000000000,2948875.489999999757856,12531800.460000000894070
FS( 205 ),3937808.000000000000000,2956966.649999999441206,2716570.199999999720603,2943456.470000000204891,12554801.320000000298023
FS( 206 ),4023177.850000000093132,2955127.750000000000000,2751281.799999999813735,2935327.939999999944121,12664915.339999997988343
FS( 207 ),3962969.640000000130385,2924785.899999999441206,2720343.199999999720603,2925393.069999999832362,12533491.809999998658895
FS( 208 ),4041150.449999999720603,2970758.399999999906868,2730152.999999999534339,2921780.390000000130385,12663842.240000000223517
FS( 209 ),4043846.339999999850988,2947772.149999999906868,2707515.000000000000000,2909136.010000000242144,12608269.500000000000000
FS( 210 ),4068109.350000000093132,2914671.949999999720603,2761091.600000000093132,2881137.739999999757856,12625010.640000000596046
FS( 211 ),3994421.689999999944121,2904557.999999999534339,2755809.399999999906868,2891072.609999999869615,12545861.699999999254942
FS( 212 ),4061818.939999999944121,2974436.199999999720603,2842588.399999999906868,2921780.390000000130385,12800623.929999999701977
FS( 213 ),4084284.689999999944121,2983630.700000000186265,2871263.199999999720603,2957004.020000000018626,12896182.609999999403954
FS( 214 ),4075298.390000000130385,2965241.699999999720603,2853907.399999999906868,2971454.739999999757856,12865902.230000000447035
FS( 215 ),4110344.959999999962747,2942255.449999999720603,2813913.599999999627471,2970551.569999999832362,12837065.580000000074506
FS( 216 ),4085183.319999999832362,2948691.599999999627471,2774674.399999999906868,2975970.590000000316650,12784519.910000000149012
FS( 217 ),4121128.520000000018626,2960644.450000000186265,2779956.600000000093132,2978680.099999999627471,12840409.669999999925494
FS( 218 ),4104953.179999999701977,2980872.350000000093132,2765619.199999999720603,3031063.959999999962747,12882508.689999997615814
FS( 219 ),4114838.109999999869615,2972597.299999999348074,2767128.399999999906868,3074416.119999999646097,12928979.929999997839332
FS( 220 ),4129216.189999999944121,2980872.350000000093132,2784484.199999999720603,3080738.310000000055879,12975311.050000000745058
FS( 221 ),4112142.219999999739230,2937658.199999999720603,2754300.199999999720603,3131315.830000000074506,12935416.449999999254942
FS( 222 ),4113040.850000000093132,2976275.099999999627471,2675067.199999999720603,3127703.150000000372529,12892086.299999998882413
FS( 223 ),4123824.409999999683350,3003858.600000000093132,2687140.799999999813735,3139444.359999999869615,12954268.169999998062849
FS( 224 ),4115736.739999999757856,3020408.699999999720603,2644883.199999999720603,3128606.319999999832362,12909634.959999999031425
FS( 225 ),4136405.229999999981374,3002939.149999999441206,2654692.999999999534339,3137638.020000000018626,12931675.399999998509884
