代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11532257.470000000670552
真實報酬,1532257.470000000670552

夏普值報酬,0.144525747000000
夏普值風險,0.074044659483099
夏普值,1.951872667237919

二次趨勢線,95.425451731160223 x^2 + -16714.749457910027559 x + 10000000.000000000000000
二次加權預期報酬,15411.819291580577556
風險,208755.667362171399873
二次加權趨勢值,0.073827070116580
一次趨勢線,1356.374603194486781 x + 10000000.000000000000000
一次預期報酬,1356.374603194486781
一次風險,712155.376899495371617
一次趨勢值,0.001904604875834
找到最佳解世代,2789
找到最佳解實驗#,4
找到最佳解次數,6

stock[index](rank)
投資組合檔數,1
KO[14](1),
FS( 126 ),8776297.810000000521541,8776297.810000000521541
FS( 127 ),8842917.700000001117587,8842917.700000001117587
FS( 128 ),9025245.820000000298023,9025245.820000000298023
FS( 129 ),9190042.390000000596046,9190042.390000000596046
FS( 130 ),9186536.080000000074506,9186536.080000000074506
FS( 131 ),9197055.010000001639128,9197055.010000001639128
FS( 132 ),9242637.040000000968575,9242637.040000000968575
FS( 133 ),9260168.590000001713634,9260168.590000001713634
FS( 134 ),9267181.210000000894070,9267181.210000000894070
FS( 135 ),9183029.770000001415610,9183029.770000001415610
FS( 136 ),9165498.220000000670552,9165498.220000000670552
FS( 137 ),9333801.100000001490116,9333801.100000001490116
FS( 138 ),9481066.120000001043081,9481066.120000001043081
FS( 139 ),9512622.910000000149012,9512622.910000000149012
FS( 140 ),9600280.660000000149012,9600280.660000000149012
FS( 141 ),9631837.450000001117587,9631837.450000001117587
FS( 142 ),9652875.310000000521541,9652875.310000000521541
FS( 143 ),9621318.520000001415610,9621318.520000001415610
FS( 144 ),9642356.380000000819564,9642356.380000000819564
FS( 145 ),9663394.240000000223517,9663394.240000000223517
FS( 146 ),9891304.390000000596046,9891304.390000000596046
FS( 147 ),9884291.770000001415610,9884291.770000001415610
FS( 148 ),9915848.560000000521541,9915848.560000000521541
FS( 149 ),9884291.770000001415610,9884291.770000001415610
FS( 150 ),9950911.660000000149012,9950911.660000000149012
FS( 151 ),10014025.240000000223517,10014025.240000000223517
FS( 152 ),9989481.070000000298023,9989481.070000000298023
FS( 153 ),9824684.500000000000000,9824684.500000000000000
FS( 154 ),9765077.230000000447035,9765077.230000000447035
FS( 155 ),9772089.850000001490116,9772089.850000001490116
FS( 156 ),9796634.020000001415610,9796634.020000001415610
FS( 157 ),9838709.740000000223517,9838709.740000000223517
FS( 158 ),9789621.400000002235174,9789621.400000002235174
FS( 159 ),9691444.720000000670552,9691444.720000000670552
FS( 160 ),9694951.030000001192093,9694951.030000001192093
FS( 161 ),9747545.680000001564622,9747545.680000001564622
FS( 162 ),9758064.609999999403954,9758064.609999999403954
FS( 163 ),9712482.580000000074506,9712482.580000000074506
FS( 164 ),9670406.859999999403954,9670406.859999999403954
FS( 165 ),9845722.359999999403954,9845722.359999999403954
FS( 166 ),9740533.060000000521541,9740533.060000000521541
FS( 167 ),9796634.020000001415610,9796634.020000001415610
FS( 168 ),10049088.340000001713634,10049088.340000001713634
FS( 169 ),10059607.270000001415610,10059607.270000001415610
FS( 170 ),10091164.060000000521541,10091164.060000000521541
FS( 171 ),10105189.300000000745058,10105189.300000000745058
FS( 172 ),10140252.400000002235174,10140252.400000002235174
FS( 173 ),10220897.530000001192093,10220897.530000001192093
FS( 174 ),10259466.940000001341105,10259466.940000001341105
FS( 175 ),10175315.500000000000000,10175315.500000000000000
FS( 176 ),10098176.680000001564622,10098176.680000001564622
FS( 177 ),10066619.890000000596046,10066619.890000000596046
FS( 178 ),10084151.440000001341105,10084151.440000001341105
FS( 179 ),10091164.060000000521541,10091164.060000000521541
FS( 180 ),10164796.570000000298023,10164796.570000000298023
FS( 181 ),10189340.740000000223517,10189340.740000000223517
FS( 182 ),10210378.600000001490116,10210378.600000001490116
FS( 183 ),10147265.020000001415610,10147265.020000001415610
FS( 184 ),10276998.490000000223517,10276998.490000000223517
FS( 185 ),10273492.180000001564622,10273492.180000001564622
FS( 186 ),10361149.930000001564622,10361149.930000001564622
FS( 187 ),10301542.660000000149012,10301542.660000000149012
FS( 188 ),10259466.940000001341105,10259466.940000001341105
FS( 189 ),10364656.240000000223517,10364656.240000000223517
FS( 190 ),10322580.520000001415610,10322580.520000001415610
FS( 191 ),10459326.609999999403954,10459326.609999999403954
FS( 192 ),10476858.160000000149012,10476858.160000000149012
FS( 193 ),10420757.200000001117587,10420757.200000001117587
FS( 194 ),10417250.890000000596046,10417250.890000000596046
FS( 195 ),10441795.060000000521541,10441795.060000000521541
FS( 196 ),10448807.680000001564622,10448807.680000001564622
FS( 197 ),10508414.950000001117587,10508414.950000001117587
FS( 198 ),10504908.640000000596046,10504908.640000000596046
FS( 199 ),10508414.950000001117587,10508414.950000001117587
FS( 200 ),10518933.880000000819564,10518933.880000000819564
FS( 201 ),10578541.150000002235174,10578541.150000002235174
FS( 202 ),10722299.859999999403954,10722299.859999999403954
FS( 203 ),10778400.820000000298023,10778400.820000000298023
FS( 204 ),10802944.990000000223517,10802944.990000000223517
FS( 205 ),10697755.690000001341105,10697755.690000001341105
FS( 206 ),10736325.100000001490116,10736325.100000001490116
FS( 207 ),10729312.480000000447035,10729312.480000000447035
FS( 208 ),10732818.790000000968575,10732818.790000000968575
FS( 209 ),10750350.340000001713634,10750350.340000001713634
FS( 210 ),10820476.540000000968575,10820476.540000000968575
FS( 211 ),10845020.710000000894070,10845020.710000000894070
FS( 212 ),10862552.260000001639128,10862552.260000001639128
FS( 213 ),10950210.010000001639128,10950210.010000001639128
FS( 214 ),10971247.870000001043081,10971247.870000001043081
FS( 215 ),10950210.010000001639128,10950210.010000001639128
FS( 216 ),10981766.800000000745058,10981766.800000000745058
FS( 217 ),10967741.560000000521541,10967741.560000000521541
FS( 218 ),11009817.280000001192093,11009817.280000001192093
FS( 219 ),11030855.140000000596046,11030855.140000000596046
FS( 220 ),11037867.760000001639128,11037867.760000001639128
FS( 221 ),10883590.120000001043081,10883590.120000001043081
FS( 222 ),10960728.940000001341105,10960728.940000001341105
FS( 223 ),11192145.400000002235174,11192145.400000002235174
FS( 224 ),11276296.839999999850988,11276296.839999999850988
FS( 225 ),11269284.220000000670552,11269284.220000000670552
FS( 226 ),11153575.990000000223517,11153575.990000000223517
FS( 227 ),11328891.490000002086163,11328891.490000002086163
FS( 228 ),11241233.740000002086163,11241233.740000002086163
FS( 229 ),11115006.580000000074506,11115006.580000000074506
FS( 230 ),11076437.169999999925494,11076437.169999999925494
FS( 231 ),11342916.730000000447035,11342916.730000000447035
FS( 232 ),11377979.830000001937151,11377979.830000001937151
FS( 233 ),11307853.630000000819564,11307853.630000000819564
FS( 234 ),11220195.880000000819564,11220195.880000000819564
FS( 235 ),11244740.050000000745058,11244740.050000000745058
FS( 236 ),11290322.080000001937151,11290322.080000001937151
FS( 237 ),11367460.900000002235174,11367460.900000002235174
FS( 238 ),11335904.109999999403954,11335904.109999999403954
FS( 239 ),11367460.900000002235174,11367460.900000002235174
FS( 240 ),11202664.330000000074506,11202664.330000000074506
FS( 241 ),11349929.349999999627471,11349929.349999999627471
FS( 242 ),11455118.650000002235174,11455118.650000002235174
FS( 243 ),11518232.230000000447035,11518232.230000000447035
FS( 244 ),11451612.339999999850988,11451612.339999999850988
FS( 245 ),11479662.820000002160668,11479662.820000002160668
FS( 246 ),11500700.679999999701977,11500700.679999999701977
FS( 247 ),11497194.370000001043081,11497194.370000001043081
FS( 248 ),11406030.310000000521541,11406030.310000000521541
FS( 249 ),11458624.960000000894070,11458624.960000000894070
FS( 250 ),11476156.509999999776483,11476156.509999999776483
FS( 251 ),11483169.130000000819564,11483169.130000000819564
FS( 252 ),11532257.470000000670552,11532257.470000000670552
