代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12137320.910000000149012
真實報酬,2137320.910000000149012

夏普值報酬,0.205032091000000
夏普值風險,0.068141163331429
夏普值,3.008931473663771

二次趨勢線,42.834746877925632 x^2 + -1499.829774438180038 x + 10000000.000000000000000
二次加權預期報酬,12864.088678626209003
風險,132704.552991695527453
二次加權趨勢值,0.096937809507043
一次趨勢線,6579.842420957088507 x + 10000000.000000000000000
一次預期報酬,6579.842420957088507
一次風險,330984.086337312182877
一次趨勢值,0.019879633772638
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),DD[7](2),JNJ[12](12),MCD[15](14),MRK[17](4),MSFT[18](7),
FS( 67 ),1605133.000000000000000,1864347.400000000139698,1712506.420000000391155,1627536.099999999860302,1634330.939999999944121,1462959.849999999860302,9906817.709999999031425
FS( 68 ),1613647.000000000000000,1871504.829999999841675,1714867.300000000046566,1637743.900000000139698,1633642.959999999962747,1458745.239999999757856,9930155.230000000447035
FS( 69 ),1656217.000000000000000,1883774.710000000195578,1722736.900000000139698,1640976.370000000111759,1642242.709999999962747,1482628.029999999795109,10028579.720000000670552
FS( 70 ),1675954.000000000000000,1940693.320000000065193,1741820.680000000167638,1648462.090000000083819,1650498.469999999739230,1516813.199999999953434,10174245.759999997913837
FS( 71 ),1686016.000000000000000,1934217.550000000046566,1755592.480000000214204,1658159.500000000000000,1656002.310000000055879,1533203.350000000093132,10223195.189999999478459
FS( 72 ),1680404.500000000000000,1886160.520000000251457,1751264.200000000186265,1653395.860000000102445,1646026.600000000093132,1530861.899999999906868,10148117.580000001937151
FS( 73 ),1683694.000000000000000,1935240.040000000037253,1742607.640000000130385,1656288.069999999832362,1643962.659999999916181,1546783.760000000009313,10208580.169999999925494
FS( 74 ),1686983.500000000232831,1931831.739999999990687,1751657.680000000167638,1662412.750000000000000,1657722.259999999776483,1536013.089999999850988,10226625.019999999552965
FS( 75 ),1684854.999999999767169,1927400.949999999953434,1752247.900000000139698,1665985.479999999981374,1651530.439999999944121,1542100.859999999869615,10224124.629999998956919
FS( 76 ),1699754.500000000000000,1983297.070000000065193,1768970.800000000046566,1679255.620000000111759,1664946.049999999813735,1560364.169999999925494,10356592.209999999031425
FS( 77 ),1698013.000000000000000,1971027.189999999944121,1772118.640000000130385,1665985.479999999981374,1660130.189999999944121,1575349.449999999953434,10342627.949999999254942
FS( 78 ),1639963.000000000000000,1927060.120000000111759,1764445.780000000260770,1648632.220000000204891,1651530.439999999944121,1535544.799999999813735,10167180.359999999403954
FS( 79 ),1645381.000000000000000,1904565.340000000083819,1752838.120000000344589,1655097.160000000149012,1640178.770000000018626,1533203.350000000093132,10131267.740000000223517
FS( 80 ),1646929.000000000000000,1898430.400000000139698,1735721.740000000223517,1663603.660000000149012,1635018.919999999925494,1520091.229999999981374,10099798.950000001117587
FS( 81 ),1635125.500000000000000,1934558.379999999888241,1713293.380000000121072,1660881.580000000074506,1639834.780000000027940,1522432.679999999701977,10106130.299999998882413
FS( 82 ),1629320.500000000000000,1941034.150000000139698,1713096.640000000130385,1670578.989999999990687,1640178.770000000018626,1534608.219999999972060,10128821.270000001415610
FS( 83 ),1621580.500000000000000,1893999.610000000102445,1706407.480000000214204,1652375.080000000074506,1643962.659999999916181,1558022.719999999972060,10076352.050000000745058
FS( 84 ),1613840.500000000000000,1864006.570000000065193,1705620.520000000251457,1636893.250000000000000,1637770.839999999850988,1558491.010000000009313,10016626.689999999478459
FS( 85 ),1620806.500000000000000,1859575.780000000027940,1720966.240000000223517,1635532.209999999962747,1676641.709999999962747,1572539.709999999729916,10086066.150000000372529
FS( 86 ),1626804.999999999767169,1878321.429999999934807,1717424.920000000391155,1621071.160000000149012,1663914.079999999841675,1588461.570000000065193,10096002.160000000149012
FS( 87 ),1624870.000000000000000,1881729.729999999981374,1703456.380000000121072,1610693.229999999981374,1663570.089999999850988,1585651.829999999841675,10069975.259999999776483
FS( 88 ),1629320.500000000000000,1941034.150000000139698,1717818.400000000139698,1611203.620000000111759,1659098.219999999739230,1586588.409999999916181,10145067.300000000745058
FS( 89 ),1616356.000000000000000,1910018.620000000111759,1703653.120000000344589,1605419.199999999953434,1647402.560000000055879,1559427.589999999850988,10042281.089999999850988
FS( 90 ),1603198.000000000000000,1869800.679999999934807,1684372.600000000093132,1598273.739999999990687,1642586.699999999953434,1545847.179999999701977,9944082.899999998509884
FS( 91 ),1616162.500000000000000,1889227.989999999990687,1691258.500000000000000,1586875.030000000027940,1626075.180000000167638,1548656.919999999925494,9958260.120000001043081
FS( 92 ),1639576.000000000000000,1960802.290000000037253,1727065.180000000167638,1606780.239999999990687,1633642.959999999962747,1580968.929999999701977,10148839.600000001490116
FS( 93 ),1656604.000000000000000,1993521.970000000204891,1759920.760000000242144,1611884.139999999897555,1626763.159999999916181,1598295.659999999916181,10246993.689999999478459
FS( 94 ),1668794.500000000000000,1981252.090000000083819,1766806.660000000149012,1611543.879999999888241,1608187.699999999953434,1613280.939999999944121,10249869.769999999552965
FS( 95 ),1659313.000000000000000,1962506.439999999944121,1769364.280000000260770,1595891.919999999925494,1601995.879999999888241,1615154.100000000093132,10204229.619999999180436
FS( 96 ),1669375.000000000000000,1996248.610000000102445,1792579.600000000093132,1620050.379999999888241,1622635.280000000027940,1622178.449999999953434,10323071.320000000298023
FS( 97 ),1661248.000000000000000,2008859.320000000065193,1809499.240000000223517,1624303.629999999888241,1620571.339999999850988,1635290.570000000065193,10359776.100000001490116
FS( 98 ),1690079.500000000000000,2005110.189999999944121,1802810.080000000074506,1619710.120000000111759,1603371.839999999850988,1637163.729999999981374,10358249.460000000894070
FS( 99 ),1697045.500000000000000,2007496.000000000000000,1794350.260000000242144,1609332.190000000176951,1599931.939999999944121,1638568.600000000093132,10346728.490000000223517
FS( 100 ),1725490.000000000000000,2016698.410000000149012,1817172.100000000093132,1618349.080000000074506,1598555.979999999981374,1619368.709999999729916,10395638.279999999329448
FS( 101 ),1620806.500000000000000,1991817.820000000065193,1812056.860000000102445,1602867.250000000000000,1601651.890000000130385,1580968.929999999701977,10210173.250000000000000
FS( 102 ),1635706.000000000000000,1971708.850000000093132,1816975.360000000102445,1610863.360000000102445,1589956.229999999981374,1579095.769999999785796,10204309.570000000298023
FS( 103 ),1640350.000000000000000,1918198.540000000037253,1811860.120000000344589,1612564.660000000149012,1600963.909999999916181,1673222.059999999823049,10257163.290000000968575
FS( 104 ),1630868.500000000000000,1898430.400000000139698,1817762.320000000298023,1622602.330000000074506,1560029.100000000093132,1665729.419999999925494,10195426.070000000298023
FS( 105 ),1626804.999999999767169,1915131.070000000065193,1832517.820000000298023,1634171.169999999925494,1567940.869999999878928,1663387.969999999972060,10239957.900000000372529
FS( 106 ),1615582.000000000000000,1905587.829999999841675,1825631.920000000391155,1633830.910000000149012,1556245.209999999962747,1664324.549999999813735,10201206.420000001788139
FS( 107 ),1613066.500000000000000,1915812.729999999981374,1822090.600000000093132,1642167.280000000027940,1551085.360000000102445,1658236.779999999795109,10202463.250000000000000
FS( 108 ),1617517.000000000000000,1890591.310000000055879,1837042.840000000316650,1654416.639999999897555,1555901.219999999739230,1663856.260000000009313,10219329.269999999552965
FS( 109 ),1623322.000000000000000,1864006.570000000065193,1830353.680000000167638,1655607.550000000046566,1572756.729999999981374,1683056.149999999906868,10229106.679999999701977
FS( 110 ),1626418.000000000000000,1879343.920000000158325,1826025.400000000139698,1657308.849999999860302,1560373.089999999850988,1715836.449999999953434,10265309.709999999031425
FS( 111 ),1629707.500000000000000,1905587.829999999841675,1830550.420000000391155,1665645.220000000204891,1581012.489999999990687,1787953.109999999869615,10400460.570000000298023
FS( 112 ),1618678.000000000000000,1876958.110000000102445,1823664.520000000251457,1653736.120000000111759,1576196.629999999888241,1756109.389999999897555,10305346.770000001415610
FS( 113 ),1630094.500000000000000,1925355.970000000204891,1850421.160000000149012,1650503.650000000139698,1609907.649999999906868,1769221.510000000009313,10435508.440000001341105
FS( 114 ),1628353.000000000000000,1925015.139999999897555,1855142.920000000391155,1651864.690000000176951,1616787.449999999953434,1760324.000000000000000,10437491.200000001117587
FS( 115 ),1622548.000000000000000,1909336.960000000195578,1840780.900000000139698,1661562.099999999860302,1637082.860000000102445,1749553.329999999841675,10420868.150000000372529
FS( 116 ),1629320.500000000000000,1921947.670000000158325,1836452.620000000344589,1669217.949999999953434,1628483.110000000102445,1787016.529999999795109,10472442.379999998956919
FS( 117 ),1620806.500000000000000,1946487.429999999934807,1847863.540000000270084,1659860.800000000046566,1644994.629999999888241,1780460.469999999972060,10500477.369999999180436
FS( 118 ),1620419.500000000000000,1952622.370000000111759,1857110.320000000298023,1648972.479999999981374,1653594.379999999888241,1772031.250000000000000,10504754.300000000745058
FS( 119 ),1626224.500000000232831,1935240.040000000037253,1855339.660000000149012,1661391.970000000204891,1651530.439999999944121,1742060.689999999944121,10471791.299999998882413
FS( 120 ),1619065.000000000000000,1927060.120000000111759,1866357.100000000093132,1667006.260000000009313,1653594.379999999888241,1720519.350000000093132,10453606.209999999031425
FS( 121 ),1599908.500000000232831,1905587.829999999841675,1872062.560000000288710,1659520.540000000037253,1655658.320000000065193,1736441.209999999729916,10429182.959999999031425
FS( 122 ),1589072.500000000000000,1923651.820000000065193,1873046.260000000242144,1662242.620000000111759,1672513.829999999841675,1751426.489999999757856,10471957.519999999552965
FS( 123 ),1603778.500000000000000,1925015.139999999897555,1874029.960000000195578,1671940.030000000027940,1683521.509999999776483,1759387.419999999925494,10517676.560000000521541
FS( 124 ),1633190.500000000000000,1893317.949999999953434,1881506.080000000074506,1682998.479999999981374,1708288.789999999804422,1762665.449999999953434,10561971.249999998137355
FS( 125 ),1632416.500000000000000,1882752.220000000204891,1870291.900000000139698,1670749.120000000111759,1705536.869999999878928,1749085.040000000037253,10510835.649999998509884
FS( 126 ),1638415.000000000000000,1897748.739999999990687,1868717.980000000214204,1651354.300000000046566,1714136.619999999878928,1760792.290000000037253,10531168.929999999701977
FS( 127 ),1637060.500000000000000,1896044.590000000083819,1862422.300000000046566,1656628.330000000074506,1714136.619999999878928,1785611.659999999916181,10551908.000000000000000
FS( 128 ),1630288.000000000000000,1940693.320000000065193,1854946.180000000167638,1641997.150000000139698,1726176.270000000018626,1800596.939999999944121,10594701.859999999403954
FS( 129 ),1622935.000000000000000,1879343.920000000158325,1848847.240000000223517,1639785.459999999962747,1711728.689999999944121,1794040.879999999888241,10496685.190000001341105
FS( 130 ),1624870.000000000000000,1887523.840000000083819,1842158.080000000074506,1628386.750000000000000,1696249.140000000130385,1823543.149999999906868,10502734.960000000894070
FS( 131 ),1633384.000000000000000,1873890.639999999897555,1829173.240000000223517,1623623.110000000102445,1679049.640000000130385,1779523.889999999897555,10418648.520000001415610
FS( 132 ),1654475.500000000000000,1905928.660000000149012,1858094.020000000251457,1646930.919999999925494,1699001.060000000055879,1796382.329999999841675,10560816.490000000223517
FS( 133 ),1665892.000000000000000,1980229.600000000093132,1858094.020000000251457,1628556.879999999888241,1704848.890000000130385,1812772.479999999981374,10650397.870000001043081
FS( 134 ),1672277.500000000000000,2027945.800000000046566,1852191.820000000298023,1623623.110000000102445,1700377.020000000018626,1784675.079999999841675,10661094.330000000074506
FS( 135 ),1650218.500000000000000,1992499.479999999981374,1831927.600000000093132,1620730.900000000139698,1683865.500000000000000,1761260.579999999841675,10540506.560000000521541
FS( 136 ),1655829.999999999767169,1978525.449999999953434,1793563.300000000046566,1600995.819999999832362,1662194.129999999888241,1742997.269999999785796,10434109.969999998807907
FS( 137 ),1665118.000000000000000,2015335.090000000083819,1797301.360000000102445,1606780.239999999990687,1664258.070000000065193,1718177.899999999906868,10466974.660000000149012
FS( 138 ),1690853.500000000000000,2019084.220000000204891,1797694.840000000316650,1623963.370000000111759,1654282.360000000102445,1727075.409999999916181,10512957.700000001117587
FS( 139 ),1681952.500000000000000,2048395.600000000093132,1783726.300000000046566,1605759.459999999962747,1647746.549999999813735,1710216.969999999972060,10477801.380000000819564
FS( 140 ),1706140.000000000000000,2111789.980000000447035,1822680.820000000298023,1632129.610000000102445,1682145.549999999813735,1713026.709999999729916,10667916.669999999925494
FS( 141 ),1693949.500000000232831,2130876.459999999962747,1809695.980000000214204,1618689.340000000083819,1678361.659999999916181,1697573.139999999897555,10629150.080000000074506
FS( 142 ),1720846.000000000232831,2125082.350000000558794,1811860.120000000344589,1641997.150000000139698,1696593.129999999888241,1723329.089999999850988,10719711.839999999850988
FS( 143 ),1740776.499999999767169,2129853.969999999739230,1810679.680000000167638,1638424.419999999925494,1697969.089999999850988,1714899.869999999878928,10732607.529999999329448
FS( 144 ),1759159.000000000000000,2156097.879999999888241,1811269.900000000139698,1642507.540000000037253,1699689.039999999804422,1736441.209999999729916,10805168.569999998435378
FS( 145 ),1763803.000000000000000,2177229.339999999850988,1820713.420000000391155,1647611.440000000176951,1710352.729999999981374,1753299.649999999906868,10873013.580000000074506
FS( 146 ),1758385.000000000000000,2164618.629999999888241,1816975.360000000102445,1648802.349999999860302,1712760.659999999916181,1746275.299999999813735,10847821.300000000745058
FS( 147 ),1758385.000000000000000,2164618.629999999888241,1815991.660000000149012,1650503.650000000139698,1717920.509999999776483,1746275.299999999813735,10853698.750000000000000
FS( 148 ),1757224.000000000000000,2155075.389999999664724,1802023.120000000344589,1650843.910000000149012,1721704.399999999906868,1751894.779999999795109,10838769.599999999627471
FS( 149 ),1739035.000000000000000,2129172.309999999590218,1791005.680000000167638,1640295.849999999860302,1702440.959999999962747,1740187.529999999795109,10742141.330000000074506
FS( 150 ),1738067.499999999767169,2119629.070000000298023,1807138.360000000102445,1642507.540000000037253,1710696.719999999739230,1728480.279999999795109,10746523.470000000670552
FS( 151 ),1715234.500000000000000,2115879.940000000409782,1816581.880000000121072,1630768.569999999832362,1711040.709999999962747,1691953.659999999916181,10681463.260000001639128
FS( 152 ),1720846.000000000232831,2092362.670000000158325,1855142.920000000391155,1639785.459999999962747,1723768.339999999850988,1705065.779999999795109,10736975.169999999925494
FS( 153 ),1724909.500000000000000,2094748.479999999981374,1852585.300000000046566,1623282.849999999860302,1712760.659999999916181,1674626.929999999701977,10682917.719999998807907
FS( 154 ),1735938.999999999767169,2067822.910000000149012,1863799.480000000214204,1624133.500000000000000,1703472.930000000167638,1663856.260000000009313,10659028.080000000074506
FS( 155 ),1751419.000000000000000,2072935.360000000102445,1863996.220000000204891,1629917.919999999925494,1715856.570000000065193,1687739.049999999813735,10721868.120000001043081
FS( 156 ),1739422.000000000000000,2033399.079999999841675,1859274.460000000195578,1613415.310000000055879,1827309.329999999841675,1638100.309999999823049,10710924.490000000223517
FS( 157 ),1752386.500000000000000,2070208.720000000204891,1863602.740000000223517,1620050.379999999888241,1823181.449999999953434,1675563.510000000009313,10804997.300000000745058
FS( 158 ),1788184.000000000000000,2089636.030000000027940,1865176.660000000149012,1624133.500000000000000,1806669.930000000167638,1721455.929999999701977,10895260.050000000745058
FS( 159 ),1780444.000000000000000,2091340.179999999934807,1862028.820000000298023,1634341.300000000046566,1805981.949999999953434,1727543.699999999953434,10901683.949999999254942
FS( 160 ),1769414.500000000000000,2090658.520000000251457,1870291.900000000139698,1615116.610000000102445,1787062.500000000000000,1703660.909999999916181,10836208.940000001341105
FS( 161 ),1753160.500000000000000,2229376.330000000074506,1850027.680000000167638,1617668.560000000055879,1782934.619999999878928,1693826.820000000065193,10926998.509999999776483
FS( 162 ),1734584.500000000000000,2217106.450000000186265,1855733.140000000130385,1614265.959999999962747,1766423.100000000093132,1682587.859999999869615,10870705.009999999776483
FS( 163 ),1712138.500000000000000,2170753.570000000298023,1824648.220000000204891,1621751.679999999934807,1775022.850000000093132,1688675.629999999888241,10792994.449999999254942
FS( 164 ),1667440.000000000000000,2107018.360000000335276,1782742.600000000093132,1606610.110000000102445,1788094.469999999739230,1723797.379999999888241,10675706.920000001788139
FS( 165 ),1766512.000000000232831,2092021.840000000083819,1769561.020000000251457,1600485.429999999934807,1807013.919999999925494,1687270.760000000009313,10722868.970000000670552
FS( 166 ),1789345.000000000000000,2089976.860000000102445,1772708.860000000102445,1602356.860000000102445,1818709.579999999841675,1698509.719999999972060,10771610.880000000819564
