代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11519316.140000000596046
真實報酬,1519316.140000000596046

夏普值報酬,0.143231614000000
夏普值風險,0.073750945140806
夏普值,1.942098690756304

二次趨勢線,71.494639890569871 x^2 + -9481.607240603214450 x + 10000000.000000000000000
二次加權預期報酬,14588.254855888639213
風險,241860.280367279687198
二次加權趨勢值,0.060316869035856
一次趨勢線,4057.637098594331746 x + 10000000.000000000000000
一次預期報酬,4057.637098594331746
一次風險,564554.231393520836718
一次趨勢值,0.007187329175762
找到最佳解世代,1790
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](2),
FS( 29 ),4887015.959999999962747,4737157.099999999627471,9624173.059999998658895
FS( 30 ),4859920.240000000223517,4686572.240000000223517,9546492.480000000447035
FS( 31 ),4821066.000000000000000,4661775.740000000223517,9482841.740000000223517
FS( 32 ),4837936.919999999925494,4703433.860000000335276,9541370.780000001192093
FS( 33 ),4868100.080000000074506,4688555.960000000894070,9556656.040000000968575
FS( 34 ),4916667.879999999888241,4738148.960000000894070,9654816.839999999850988
FS( 35 ),4912066.719999999739230,4707401.300000000745058,9619468.019999999552965
FS( 36 ),4952454.679999999701977,4714344.320000000298023,9666799.000000000000000
FS( 37 ),4968303.120000000111759,4738148.960000000894070,9706452.080000001937151
FS( 38 ),4940696.160000000149012,4690539.679999999701977,9631235.839999999850988
FS( 39 ),4897240.759999999776483,4705417.580000000074506,9602658.339999999850988
FS( 40 ),4973926.759999999776483,4723271.059999999590218,9697197.820000000298023
FS( 41 ),4879347.359999999403954,4638962.960000000894070,9518310.320000000298023
FS( 42 ),4860431.479999999515712,4623093.200000000186265,9483524.679999999701977
FS( 43 ),4895707.040000000037253,4661775.740000000223517,9557482.780000001192093
FS( 44 ),4916667.879999999888241,4681612.940000000409782,9598280.820000000298023
FS( 45 ),4890083.400000000372529,4665743.179999999701977,9555826.580000000074506
FS( 46 ),4942741.120000000111759,4686572.240000000223517,9629313.359999999403954
FS( 47 ),4899796.959999999962747,4620117.620000000111759,9519914.580000000074506
FS( 48 ),4933027.559999999590218,4588378.099999999627471,9521405.660000000149012
FS( 49 ),4992331.400000000372529,4661775.740000000223517,9654107.140000000596046
FS( 50 ),5032208.120000000111759,4681612.940000000409782,9713821.060000000521541
FS( 51 ),5050101.519999999552965,4702442.000000000000000,9752543.519999999552965
FS( 52 ),5064927.479999999515712,4694507.120000000111759,9759434.599999999627471
FS( 53 ),5003067.439999999478459,4744100.120000000111759,9747167.559999998658895
FS( 54 ),4984662.799999999813735,4720295.480000000447035,9704958.280000001192093
FS( 55 ),4984151.559999999590218,4770880.340000000782311,9755031.900000000372529
FS( 56 ),4975460.479999999515712,4658800.160000000149012,9634260.640000000596046
FS( 57 ),4988752.719999999739230,4607223.440000000409782,9595976.160000000149012
FS( 58 ),4963701.959999999962747,4597304.840000000782311,9561006.800000000745058
FS( 59 ),4913089.199999999254942,4566557.179999999701977,9479646.379999998956919
FS( 60 ),4910021.759999999776483,4545728.120000000111759,9455749.879999998956919
FS( 61 ),4975971.719999999739230,4551679.280000000260770,9527651.000000000000000
FS( 62 ),5020960.839999999850988,4618133.900000000372529,9639094.740000000223517
FS( 63 ),5070039.879999999888241,4629044.360000000335276,9699084.240000000223517
FS( 64 ),5105315.439999999478459,4640946.679999999701977,9746262.119999999180436
FS( 65 ),5082820.879999999888241,4658800.160000000149012,9741621.039999999105930
FS( 66 ),5068506.160000000149012,4629044.360000000335276,9697550.519999999552965
FS( 67 ),5102248.000000000000000,4626068.780000000260770,9728316.780000001192093
FS( 68 ),5079242.199999999254942,4625076.920000000856817,9704319.120000001043081
FS( 69 ),5057258.879999999888241,4598296.700000000186265,9655555.580000000074506
FS( 70 ),5081287.160000000149012,4684588.519999999552965,9765875.679999999701977
FS( 71 ),5051635.240000000223517,4721287.340000000782311,9772922.580000001937151
FS( 72 ),5024539.519999999552965,4746083.840000000782311,9770623.359999999403954
FS( 73 ),5080264.679999999701977,4727238.500000000000000,9807503.179999999701977
FS( 74 ),5075152.279999999329448,4710376.880000000819564,9785529.160000000149012
FS( 75 ),5146214.639999999664724,4713352.460000000894070,9859567.100000001490116
FS( 76 ),5151327.040000000037253,4707401.300000000745058,9858728.339999999850988
FS( 77 ),5168709.199999999254942,4705417.580000000074506,9874126.779999999329448
FS( 78 ),5100203.040000000037253,4649873.420000000856817,9750076.460000000894070
FS( 79 ),4965746.919999999925494,4572508.340000000782311,9538255.260000001639128
FS( 80 ),4747958.679999999701977,4437615.380000000819564,9185574.060000000521541
FS( 81 ),4663092.839999999850988,4314624.740000000223517,8977717.580000000074506
FS( 82 ),4864521.400000000372529,4479273.500000000000000,9343794.900000000372529
FS( 83 ),4975971.719999999739230,4581435.080000000074506,9557406.800000000745058
FS( 84 ),4920757.799999999813735,4569532.760000000707805,9490290.560000000521541
FS( 85 ),4857875.279999999329448,4563581.599999999627471,9421456.879999998956919
FS( 86 ),4778633.080000000074506,4453485.139999999664724,9232118.219999998807907
FS( 87 ),4910021.759999999776483,4498118.840000000782311,9408140.600000001490116
FS( 88 ),4908488.040000000037253,4534817.660000000149012,9443305.699999999254942
FS( 89 ),4849184.199999999254942,4445550.260000000707805,9294734.460000000894070
FS( 90 ),4947853.519999999552965,4550687.420000000856817,9498540.940000001341105
FS( 91 ),4878836.120000000111759,4502086.280000000260770,9380922.400000000372529
FS( 92 ),4869633.799999999813735,4509029.300000000745058,9378663.100000001490116
FS( 93 ),4980061.639999999664724,4535809.519999999552965,9515871.160000000149012
FS( 94 ),4957567.080000000074506,4527874.639999999664724,9485441.719999998807907
FS( 95 ),5019938.359999999403954,4599288.559999999590218,9619226.919999998062849
FS( 96 ),5045500.359999999403954,4581435.080000000074506,9626935.439999999478459
FS( 97 ),5002044.959999999962747,4486216.519999999552965,9488261.480000000447035
FS( 98 ),4961657.000000000000000,4420753.760000000707805,9382410.760000001639128
FS( 99 ),5005112.400000000372529,4443566.540000000037253,9448678.940000001341105
FS( 100 ),4969325.599999999627471,4406867.719999999739230,9376193.320000000298023
FS( 101 ),4978527.919999999925494,4362234.019999999552965,9340761.939999999478459
FS( 102 ),4973926.759999999776483,4373144.480000000447035,9347071.240000000223517
FS( 103 ),4989263.959999999962747,4386038.660000000149012,9375302.620000001043081
FS( 104 ),4905931.839999999850988,4338429.380000000819564,9244361.220000000670552
FS( 105 ),4983640.320000000298023,4317600.320000000298023,9301240.640000000596046
FS( 106 ),5037320.519999999552965,4315616.599999999627471,9352937.119999999180436
FS( 107 ),5050101.519999999552965,4261064.300000000745058,9311165.820000000298023
FS( 108 ),5101736.759999999776483,4249161.980000000447035,9350898.740000000223517
FS( 109 ),5172287.879999999888241,4364217.740000000223517,9536505.620000001043081
FS( 110 ),5209608.400000000372529,4370168.900000000372529,9579777.300000000745058
FS( 111 ),5202962.279999999329448,4349339.840000000782311,9552302.120000001043081
FS( 112 ),5263288.599999999627471,4387030.519999999552965,9650319.119999999180436
FS( 113 ),5253575.040000000037253,4380087.500000000000000,9633662.539999999105930
FS( 114 ),5278114.559999999590218,4393973.540000000037253,9672088.099999999627471
FS( 115 ),5285271.919999999925494,4399924.700000000186265,9685196.620000001043081
FS( 116 ),5256642.479999999515712,4363225.880000000819564,9619868.359999999403954
FS( 117 ),5299586.639999999664724,4430672.360000000335276,9730259.000000000000000
FS( 118 ),5358890.479999999515712,4433647.940000000409782,9792538.419999999925494
FS( 119 ),5342019.559999999590218,4433647.940000000409782,9775667.500000000000000
FS( 120 ),5308788.959999999962747,4487208.380000000819564,9795997.339999999850988
FS( 121 ),5242327.759999999776483,4449517.700000000186265,9691845.460000000894070
FS( 122 ),5668190.679999999701977,4551679.280000000260770,10219869.960000000894070
FS( 123 ),5756123.959999999962747,4578459.500000000000000,10334583.460000000894070
FS( 124 ),5735163.120000000111759,4598296.700000000186265,10333459.820000000298023
FS( 125 ),5707556.160000000149012,4579451.360000000335276,10287007.519999999552965
FS( 126 ),5774017.359999999403954,4610199.019999999552965,10384216.379999998956919
FS( 127 ),5757657.679999999701977,4602264.139999999664724,10359921.820000000298023
FS( 128 ),5738741.799999999813735,4649873.420000000856817,10388615.220000000670552
FS( 129 ),5731584.439999999478459,4639954.820000000298023,10371539.259999999776483
FS( 130 ),5730050.719999999739230,4607223.440000000409782,10337274.160000000149012
FS( 131 ),5746410.400000000372529,4576475.780000000260770,10322886.179999999701977
FS( 132 ),5769416.199999999254942,4582426.940000000409782,10351843.140000000596046
FS( 133 ),5792933.240000000223517,4540768.820000000298023,10333702.060000000521541
FS( 134 ),5773506.120000000111759,4493159.540000000037253,10266665.660000000149012
FS( 135 ),5788332.080000000074506,4473322.340000000782311,10261654.420000001788139
FS( 136 ),5820540.199999999254942,4495143.260000000707805,10315683.460000000894070
FS( 137 ),5731584.439999999478459,4446542.120000000111759,10178126.559999998658895
FS( 138 ),5622179.080000000074506,4387030.519999999552965,10009209.599999999627471
FS( 139 ),5677904.240000000223517,4467371.179999999701977,10145275.419999999925494
FS( 140 ),5671769.359999999403954,4471338.620000000111759,10143107.980000000447035
FS( 141 ),5753056.519999999552965,4501094.420000000856817,10254150.940000001341105
FS( 142 ),5792422.000000000000000,4538785.099999999627471,10331207.099999999627471
FS( 143 ),5823607.639999999664724,4502086.280000000260770,10325693.919999999925494
FS( 144 ),5852237.080000000074506,4462411.880000000819564,10314648.960000000894070
FS( 145 ),5842523.519999999552965,4482249.080000000074506,10324772.599999999627471
FS( 146 ),5848658.400000000372529,4455468.860000000335276,10304127.260000001639128
FS( 147 ),5839967.320000000298023,4486216.519999999552965,10326183.839999999850988
FS( 148 ),5836388.639999999664724,4508037.440000000409782,10344426.080000000074506
FS( 149 ),5851214.599999999627471,4520931.620000000111759,10372146.219999998807907
FS( 150 ),5813894.080000000074506,4455468.860000000335276,10269362.940000001341105
FS( 151 ),5797023.160000000149012,4419761.900000000372529,10216785.060000000521541
FS( 152 ),5940681.599999999627471,4533825.800000000745058,10474507.400000000372529
FS( 153 ),5951928.879999999888241,4568540.900000000372529,10520469.780000001192093
FS( 154 ),5957552.519999999552965,4532833.940000000409782,10490386.460000000894070
FS( 155 ),5960108.719999999739230,4499110.700000000186265,10459219.419999999925494
FS( 156 ),5991805.599999999627471,4495143.260000000707805,10486948.859999999403954
FS( 157 ),5934546.719999999739230,4445550.260000000707805,10380096.980000000447035
FS( 158 ),5943749.040000000037253,4508037.440000000409782,10451786.480000000447035
FS( 159 ),5978002.120000000111759,4517956.040000000037253,10495958.160000000149012
FS( 160 ),6024524.959999999962747,4613174.599999999627471,10637699.559999998658895
FS( 161 ),6007142.799999999813735,4572508.340000000782311,10579651.140000000596046
FS( 162 ),5964198.639999999664724,4518947.900000000372529,10483146.539999999105930
FS( 163 ),6016856.359999999403954,4552671.139999999664724,10569527.500000000000000
FS( 164 ),6018390.080000000074506,4596312.980000000447035,10614703.060000000521541
FS( 165 ),6073604.000000000000000,4656816.440000000409782,10730420.440000001341105
FS( 166 ),6061845.479999999515712,4633011.800000000745058,10694857.280000001192093
FS( 167 ),6071047.799999999813735,4636979.240000000223517,10708027.039999999105930
FS( 168 ),6138531.479999999515712,4682604.800000000745058,10821136.280000001192093
FS( 169 ),6105812.120000000111759,4638962.960000000894070,10744775.080000001937151
FS( 170 ),6039862.160000000149012,4584410.660000000149012,10624272.820000000298023
FS( 171 ),6011232.719999999739230,4549695.559999999590218,10560928.279999999329448
FS( 172 ),6094053.599999999627471,4612182.740000000223517,10706236.339999999850988
FS( 173 ),6053154.400000000372529,4514980.460000000894070,10568134.860000001266599
FS( 174 ),5913074.639999999664724,4490183.960000000894070,10403258.600000001490116
FS( 175 ),5903872.320000000298023,4446542.120000000111759,10350414.440000001341105
FS( 176 ),5965732.359999999403954,4472330.480000000447035,10438062.839999999850988
FS( 177 ),6004075.359999999403954,4456460.719999999739230,10460536.079999998211861
FS( 178 ),5885467.679999999701977,4379095.639999999664724,10264563.320000000298023
FS( 179 ),5962153.679999999701977,4450509.559999999590218,10412663.239999998360872
FS( 180 ),5888535.120000000111759,4406867.719999999739230,10295402.839999999850988
FS( 181 ),6007142.799999999813735,4450509.559999999590218,10457652.359999999403954
FS( 182 ),5919209.519999999552965,4405875.860000000335276,10325085.379999998956919
FS( 183 ),6024524.959999999962747,4549695.559999999590218,10574220.519999999552965
FS( 184 ),6053154.400000000372529,4665743.179999999701977,10718897.580000000074506
FS( 185 ),6094053.599999999627471,4664751.320000000298023,10758804.919999999925494
FS( 186 ),6156936.120000000111759,4785758.240000000223517,10942694.359999999403954
FS( 187 ),6179430.679999999701977,4863123.320000000298023,11042554.000000000000000
FS( 188 ),6256627.919999999925494,4861139.599999999627471,11117767.519999999552965
FS( 189 ),6328201.519999999552965,4956358.160000000149012,11284559.679999999701977
FS( 190 ),6370634.439999999478459,5034715.099999999627471,11405349.539999999105930
FS( 191 ),6336892.599999999627471,4950407.000000000000000,11287299.599999999627471
FS( 192 ),6210105.080000000074506,5020829.059999999590218,11230934.140000000596046
FS( 193 ),6168694.639999999664724,5001983.719999999739230,11170678.359999999403954
FS( 194 ),5899782.400000000372529,5055544.160000000149012,10955326.560000000521541
FS( 195 ),5933013.000000000000000,5032731.380000000819564,10965744.380000000819564
FS( 196 ),5982092.040000000037253,4974211.639999999664724,10956303.679999999701977
FS( 197 ),6009187.759999999776483,4957350.019999999552965,10966537.779999999329448
FS( 198 ),5967777.320000000298023,4898830.280000000260770,10866607.600000001490116
FS( 199 ),6029126.120000000111759,4970244.200000000186265,10999370.320000000298023
FS( 200 ),6093031.120000000111759,4983138.380000000819564,11076169.500000000000000
FS( 201 ),6065424.160000000149012,4991073.260000000707805,11056497.420000001788139
FS( 202 ),5990271.879999999888241,5052568.580000000074506,11042840.460000000894070
FS( 203 ),5957552.519999999552965,5044633.700000000186265,11002186.219999998807907
FS( 204 ),6015833.879999999888241,5065462.760000000707805,11081296.640000000596046
FS( 205 ),5976468.400000000372529,5021820.920000000856817,10998289.320000000298023
FS( 206 ),5984648.240000000223517,5040666.260000000707805,11025314.500000000000000
FS( 207 ),6051620.679999999701977,5069430.200000000186265,11121050.879999998956919
FS( 208 ),5984648.240000000223517,5060503.460000000894070,11045151.700000001117587
FS( 209 ),5991294.359999999403954,5031739.519999999552965,11023033.879999998956919
FS( 210 ),6076160.199999999254942,5104145.300000000745058,11180305.500000000000000
FS( 211 ),6057244.320000000298023,5169608.059999999590218,11226852.379999998956919
FS( 212 ),5965732.359999999403954,5146795.280000000260770,11112527.640000000596046
FS( 213 ),5990783.120000000111759,5138860.400000000372529,11129643.519999999552965
FS( 214 ),5989249.400000000372529,5178534.800000000745058,11167784.200000001117587
FS( 215 ),6054176.879999999888241,5203331.300000000745058,11257508.179999999701977
FS( 216 ),6116548.160000000149012,5191428.980000000447035,11307977.140000000596046
FS( 217 ),6133930.320000000298023,5189445.260000000707805,11323375.580000001937151
FS( 218 ),6214195.000000000000000,5210274.320000000298023,11424469.320000000298023
FS( 219 ),6283212.400000000372529,5211266.179999999701977,11494478.580000000074506
FS( 220 ),6310308.120000000111759,5224160.360000000335276,11534468.480000000447035
FS( 221 ),6314909.279999999329448,5277720.800000000745058,11592630.080000000074506
FS( 222 ),6296504.639999999664724,5319378.920000000856817,11615883.560000000521541
FS( 223 ),6343538.719999999739230,5280696.380000000819564,11624235.100000001490116
FS( 224 ),6329735.240000000223517,5300533.580000000074506,11630268.820000000298023
FS( 225 ),6330246.479999999515712,5277720.800000000745058,11607967.280000001192093
FS( 226 ),6349162.359999999403954,5247965.000000000000000,11597127.359999999403954
FS( 227 ),6303150.759999999776483,5312435.900000000372529,11615586.660000000149012
FS( 228 ),6297015.879999999888241,5296566.139999999664724,11593582.019999999552965
FS( 229 ),6337915.080000000074506,5361037.040000000037253,11698952.120000001043081
FS( 230 ),6433005.719999999739230,5360045.179999999701977,11793050.899999998509884
FS( 231 ),6425337.120000000111759,5364012.620000000111759,11789349.740000000223517
FS( 232 ),6493843.279999999329448,5357069.599999999627471,11850912.879999998956919
FS( 233 ),6521961.479999999515712,5397735.860000000335276,11919697.339999999850988
FS( 234 ),6512247.919999999925494,5365004.480000000447035,11877252.400000000372529
FS( 235 ),6519405.279999999329448,5308468.460000000894070,11827873.740000000223517
FS( 236 ),6551102.159999999217689,5157705.740000000223517,11708807.899999998509884
FS( 237 ),6541899.839999999850988,5175559.219999999739230,11717459.059999998658895
FS( 238 ),6521450.240000000223517,5119023.200000000186265,11640473.440000001341105
FS( 239 ),6524006.439999999478459,5152746.440000000409782,11676752.879999998956919
FS( 240 ),6487197.160000000149012,5087283.679999999701977,11574480.839999999850988
FS( 241 ),6518894.040000000037253,5094226.700000000186265,11613120.740000000223517
FS( 242 ),6532697.519999999552965,5093234.840000000782311,11625932.359999999403954
FS( 243 ),6587400.199999999254942,5130925.519999999552965,11718325.719999998807907
FS( 244 ),6587911.440000000409782,5165640.620000000111759,11753552.060000000521541
FS( 245 ),6572063.000000000000000,5132909.240000000223517,11704972.240000000223517
FS( 246 ),6430960.759999999776483,4962309.320000000298023,11393270.080000000074506
FS( 247 ),6416134.799999999813735,5013886.040000000037253,11430020.839999999850988
FS( 248 ),6516337.839999999850988,5034715.099999999627471,11551052.939999999478459
FS( 249 ),6529118.839999999850988,5002975.580000000074506,11532094.419999999925494
FS( 250 ),6559282.000000000000000,5126958.080000000074506,11686240.080000000074506
FS( 251 ),6539854.879999999888241,5060503.460000000894070,11600358.339999999850988
FS( 252 ),6466747.559999999590218,5052568.580000000074506,11519316.140000000596046
