代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13430596.900000002235174
真實報酬,3430596.900000002235174

夏普值報酬,0.334359690000000
夏普值風險,0.086403737895483
夏普值,3.869736404279775

二次趨勢線,30.020386267978253 x^2 + 4876.145164716921499 x + 10000000.000000000000000
二次加權預期報酬,15023.035723293571209
風險,188734.068307651818031
二次加權趨勢值,0.079598960897747
一次趨勢線,10583.748899488575262 x + 10000000.000000000000000
一次預期報酬,10583.748899488575262
一次風險,286762.189484295086004
一次趨勢值,0.036907755930174
找到最佳解世代,2063
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),V[25](3),VZ[26](2),WMT[28](5),
FS( 42 ),2511809.760000000242144,2557189.369999999646097,2567605.120000000111759,2437761.900000000372529,10074366.150000000372529
FS( 43 ),2548715.260000000242144,2558356.500000000000000,2589210.879999999888241,2467218.100000000093132,10163500.740000000223517
FS( 44 ),2493357.010000000242144,2501167.129999999422580,2564817.279999999795109,2465792.800000000279397,10025134.220000000670552
FS( 45 ),2414379.240000000223517,2459150.449999999720603,2532757.120000000111759,2468643.400000000372529,9874930.210000000894070
FS( 46 ),2407736.250000000000000,2474323.139999999664724,2536938.879999999888241,2512352.600000000558794,9931350.870000001043081
FS( 47 ),2418807.900000000372529,2480158.789999999571592,2493030.400000000372529,2501425.300000000279397,9893422.390000000596046
FS( 48 ),2413641.130000000353903,2542016.679999999701977,2502787.839999999850988,2506176.300000000279397,9964621.950000001117587
FS( 49 ),2432093.880000000353903,2516339.819999999366701,2520211.839999999850988,2551310.800000000279397,10019956.339999999850988
FS( 50 ),2468999.380000000353903,2603874.569999999366701,2571786.879999999888241,2604046.900000000372529,10248707.730000000447035
FS( 51 ),2465308.830000000074506,2641222.729999999515712,2543908.479999999981374,2599771.000000000000000,10250211.039999999105930
FS( 52 ),2490404.570000000298023,2659896.809999999590218,2555756.800000000279397,2622575.800000000279397,10328633.980000000447035
FS( 53 ),2487452.130000000353903,2701913.489999999292195,2580150.400000000372529,2614024.000000000465661,10383540.019999999552965
FS( 54 ),2503690.550000000279397,2740428.779999999795109,2601756.159999999683350,2634928.400000000372529,10480803.890000000596046
FS( 55 ),2472689.930000000167638,2661063.939999999478459,2574574.719999999739230,2602621.600000000558794,10310950.189999999478459
FS( 56 ),2463094.500000000000000,2740428.779999999795109,2595483.520000000018626,2655357.700000000186265,10454364.500000000000000
FS( 57 ),2474166.150000000372529,2628384.299999999348074,2582241.279999999795109,2672461.300000000279397,10357253.029999999329448
FS( 58 ),2477118.590000000316650,2665732.459999999497086,2585726.080000000074506,2678162.500000000000000,10406739.629999998956919
FS( 59 ),2516976.530000000260770,2726423.219999999273568,2608028.800000000279397,2704293.000000000465661,10555721.550000000745058
FS( 60 ),2505166.770000000018626,2748598.689999999478459,2573877.759999999776483,2697641.600000000558794,10525284.820000000298023
FS( 61 ),2471213.709999999962747,2645891.250000000000000,2522302.719999999739230,2694315.900000000372529,10333723.580000000074506
FS( 62 ),2490404.570000000298023,2685573.669999999925494,2565514.240000000223517,2725672.500000000000000,10467164.980000000447035
FS( 63 ),2530262.510000000242144,2754434.339999999850988,2624755.839999999850988,2746576.900000000372529,10656029.589999999850988
FS( 64 ),2544286.600000000093132,2775442.679999999701977,2622664.959999999962747,2715220.300000000279397,10657614.539999999105930
FS( 65 ),2521405.189999999944121,2721754.699999999720603,2577362.559999999590218,2694791.000000000000000,10515313.449999999254942
FS( 66 ),2474166.150000000372529,2627217.169999999925494,2541817.600000000093132,2671511.100000000093132,10314712.019999999552965
FS( 67 ),2501476.220000000204891,2670400.979999999515712,2564817.279999999795109,2701442.400000000372529,10438136.879999998956919
FS( 68 ),2533953.060000000055879,2719420.439999999478459,2610119.680000000167638,2728048.000000000465661,10591541.179999999701977
FS( 69 ),2501476.220000000204891,2703080.619999999646097,2590604.800000000279397,2731848.800000000279397,10527010.440000001341105
FS( 70 ),2516976.530000000260770,2712417.659999999217689,2602453.120000000111759,2752753.200000000186265,10584600.509999999776483
FS( 71 ),2533953.060000000055879,2759102.859999999869615,2614998.400000000372529,2818317.000000000465661,10726371.320000000298023
FS( 72 ),2474166.150000000372529,2717086.179999999701977,2571089.919999999925494,2757979.300000000279397,10520321.550000000745058
FS( 73 ),2487452.130000000353903,2714751.919999999925494,2601756.159999999683350,2761780.100000000558794,10565740.310000002384186
FS( 74 ),2514024.090000000316650,2776609.809999999590218,2614998.400000000372529,2812615.800000000279397,10718248.100000001490116
FS( 75 ),2502214.330000000074506,2738094.519999999552965,2578756.479999999981374,2797887.700000000186265,10616953.030000001192093
FS( 76 ),2509595.430000000167638,2790615.369999999646097,2595483.520000000018626,2729948.400000000372529,10625642.720000000670552
FS( 77 ),2473428.040000000037253,2725256.089999999850988,2554362.879999999888241,2692890.600000000093132,10445937.609999999403954
FS( 78 ),2458665.840000000316650,2666899.589999999850988,2557847.680000000167638,2695266.100000000093132,10378679.209999999031425
FS( 79 ),2487452.130000000353903,2649392.639999999664724,2541120.640000000130385,2719021.100000000093132,10396986.509999999776483
FS( 80 ),2434308.209999999962747,2661063.939999999478459,2513939.200000000186265,2691940.399999999906868,10301251.750000000000000
FS( 81 ),2435046.320000000298023,2650559.769999999552965,2522302.719999999739230,2700967.300000000279397,10308876.109999999403954
FS( 82 ),2394450.270000000018626,2605041.699999999720603,2463758.080000000074506,2690990.200000000186265,10154240.250000000000000
FS( 83 ),2389283.500000000000000,2598038.919999999925494,2463758.080000000074506,2702867.700000000186265,10153948.199999999254942
FS( 84 ),2405521.920000000391155,2727590.349999999627471,2526484.479999999981374,2719971.300000000279397,10379568.050000000745058
FS( 85 ),2443165.530000000260770,2711250.529999999795109,2552968.959999999962747,2763680.500000000465661,10471065.520000001415610
FS( 86 ),2481547.250000000000000,2829130.659999999217689,2629634.559999999590218,2798362.800000000279397,10738675.269999999552965
FS( 87 ),2466785.050000000279397,2852473.259999999776483,2632422.400000000372529,2784584.900000000372529,10736265.610000001266599
FS( 88 ),2449808.520000000018626,2836133.439999999478459,2637998.080000000074506,2759879.700000000651926,10683819.740000000223517
FS( 89 ),2447594.189999999944121,2803453.799999999348074,2651937.279999999795109,2771757.200000000651926,10674742.470000000670552
FS( 90 ),2460880.170000000391155,2782445.459999999497086,2670755.200000000186265,2792661.600000000558794,10706742.429999999701977
FS( 91 ),2464570.720000000204891,2832632.049999999348074,2670058.240000000223517,2779833.900000000372529,10747094.910000000149012
FS( 92 ),2463094.500000000000000,2795283.889999999664724,2635210.240000000223517,2754653.600000000093132,10648242.230000000447035
FS( 93 ),2493357.010000000242144,2836133.439999999478459,2678421.759999999776483,2770807.000000000465661,10778719.209999999031425
FS( 94 ),2468999.380000000353903,2827963.529999999795109,2672846.080000000074506,2759879.700000000651926,10729688.690000001341105
FS( 95 ),2453499.070000000298023,2798785.279999999795109,2666573.439999999944121,2736599.800000000279397,10655457.589999999850988
FS( 96 ),2445379.860000000335276,2811623.709999999497086,2666573.439999999944121,2738975.300000000279397,10662552.310000000521541
FS( 97 ),2468999.380000000353903,2796451.019999999552965,2677724.800000000279397,2753228.300000000279397,10696403.500000001862645
FS( 98 ),2488928.350000000093132,2843136.219999999273568,2702815.359999999869615,2768431.500000000465661,10803311.429999999701977
FS( 99 ),2486714.020000000018626,2876982.989999999292195,2692360.959999999962747,2745151.600000000558794,10801209.570000000298023
FS( 100 ),2524357.630000000353903,2957514.959999999497086,2732784.640000000130385,2812140.700000000186265,11026797.929999999701977
FS( 101 ),2567168.010000000242144,2938840.879999999422580,2734178.559999999590218,2821642.700000000186265,11061830.149999998509884
FS( 102 ),2553882.030000000260770,2934172.359999999869615,2738360.319999999832362,2812140.700000000186265,11038555.410000000149012
FS( 103 ),2581192.100000000093132,2990194.599999999627471,2786450.559999999590218,2850148.700000000186265,11207985.959999999031425
FS( 104 ),2578977.770000000018626,2973854.779999999795109,2787147.520000000018626,2842547.100000000093132,11182527.169999999925494
FS( 105 ),2565691.790000000037253,2938840.879999999422580,2771117.439999999944121,2837796.100000000093132,11113446.209999999031425
FS( 106 ),2589311.310000000055879,3010035.809999999590218,2791329.279999999795109,2850148.700000000186265,11240825.099999997764826
FS( 107 ),2582668.320000000298023,2962183.479999999515712,2796208.000000000000000,2839221.400000000372529,11180281.199999999254942
FS( 108 ),2588573.200000000186265,3005367.289999999571592,2769026.559999999590218,2866302.100000000093132,11229269.150000000372529
FS( 109 ),2572334.780000000260770,2951679.309999999590218,2732784.640000000130385,2836845.900000000372529,11093644.630000000819564
FS( 110 ),2560525.020000000018626,2973854.779999999795109,2713966.719999999739230,2823068.000000000465661,11071414.519999999552965
FS( 111 ),2544286.600000000093132,2938840.879999999422580,2671452.159999999683350,2803113.800000000279397,10957693.439999999478459
FS( 112 ),2544286.600000000093132,2915498.279999999795109,2674240.000000000000000,2811665.600000000093132,10945690.480000000447035
FS( 113 ),2559048.800000000279397,2911996.889999999664724,2688179.200000000186265,2805014.200000000186265,10964239.089999999850988
FS( 114 ),2511809.760000000242144,2892155.679999999701977,2711178.879999999888241,2822117.800000000279397,10937262.119999999180436
FS( 115 ),2493357.010000000242144,2957514.959999999497086,2712572.800000000279397,2826868.800000000279397,10990313.570000000298023
FS( 116 ),2471951.820000000298023,2940008.009999999776483,2712572.800000000279397,2828769.200000000186265,10953301.830000001937151
FS( 117 ),2485237.800000000279397,2991361.729999999515712,2719542.400000000372529,2843497.300000000279397,11039639.230000000447035
FS( 118 ),2494833.229999999981374,3028709.889999999664724,2718845.439999999944121,2851098.900000000372529,11093487.459999999031425
FS( 119 ),2489666.459999999962747,2986693.209999999497086,2718148.479999999981374,2879604.900000000372529,11074113.050000000745058
FS( 120 ),2513285.979999999981374,2935339.489999999292195,2716057.600000000093132,2898608.900000000372529,11063291.969999998807907
FS( 121 ),2529524.400000000372529,2906161.239999999292195,2676330.879999999888241,2893857.899999999906868,11005874.419999999925494
FS( 122 ),2505904.880000000353903,2947010.789999999571592,2633816.319999999832362,2916662.700000000186265,11003394.690000001341105
FS( 123 ),2525833.850000000093132,2934172.359999999869615,2626846.719999999739230,2920463.500000000000000,11007316.429999999701977
FS( 124 ),2510333.540000000037253,2943509.399999999441206,2602453.120000000111759,2896708.500000000000000,10953004.559999998658895
FS( 125 ),2488928.350000000093132,2948177.919999999925494,2593392.640000000130385,2884355.900000000372529,10914854.810000000521541
FS( 126 ),2489666.459999999962747,2914331.149999999441206,2621271.040000000037253,2912386.800000000279397,10937655.449999999254942
FS( 127 ),2492618.900000000372529,2936506.619999999646097,2624755.839999999850988,2915237.400000000372529,10969118.759999999776483
FS( 128 ),2503690.550000000279397,2991361.729999999515712,2634513.279999999795109,2954195.600000000093132,11083761.159999998286366
FS( 129 ),2503690.550000000279397,3095236.299999999348074,2617786.240000000223517,2942793.200000000186265,11159506.289999999105930
FS( 130 ),2512547.870000000111759,3123247.419999999925494,2637301.120000000111759,2947069.100000000558794,11220165.510000001639128
FS( 131 ),2511071.650000000372529,3132584.459999999497086,2658209.919999999925494,2939942.600000000558794,11241808.629999998956919
FS( 132 ),2530262.510000000242144,3122080.289999999571592,2642876.800000000279397,2930915.700000000186265,11226135.300000000745058
FS( 133 ),2522143.300000000279397,3161762.709999999497086,2642876.800000000279397,2927590.000000000000000,11254372.810000000521541
FS( 134 ),2508857.320000000298023,3280809.969999999273568,2642876.800000000279397,2943743.400000000372529,11376287.490000000223517
FS( 135 ),2507381.100000000093132,3323993.779999999795109,2626846.719999999739230,2940892.800000000279397,11399114.400000000372529
FS( 136 ),2525833.850000000093132,3288979.879999999422580,2657512.959999999962747,2935666.700000000186265,11407993.390000000596046
FS( 137 ),2542810.380000000353903,3362509.069999999366701,2651240.319999999832362,2956096.000000000000000,11512655.769999999552965
FS( 138 ),2524357.630000000353903,3359007.679999999701977,2636604.159999999683350,2934241.400000000372529,11454210.870000001043081
FS( 139 ),2541334.160000000149012,3320492.389999999664724,2651937.279999999795109,2947544.200000000186265,11461308.030000001192093
FS( 140 ),2548715.260000000242144,3355506.289999999571592,2680512.640000000130385,2968448.600000000093132,11553182.789999999105930
FS( 141 ),2539857.939999999944121,3332163.689999999478459,2682603.520000000018626,2853949.500000000465661,11408574.649999998509884
FS( 142 ),2556096.360000000335276,3395188.709999999497086,2663088.640000000130385,2784109.800000000279397,11398483.510000001639128
FS( 143 ),2553143.920000000391155,3398690.099999999627471,2657512.959999999962747,2781259.200000000186265,11390606.179999999701977
FS( 144 ),2546500.930000000167638,3430202.609999999869615,2658209.919999999925494,2793136.700000000186265,11428050.160000000149012
FS( 145 ),2540596.050000000279397,3410361.399999999441206,2657512.959999999962747,2777458.400000000372529,11385928.810000000521541
FS( 146 ),2540596.050000000279397,3471052.159999999217689,2658906.879999999888241,2799788.100000000093132,11470343.189999999478459
FS( 147 ),2578239.660000000149012,3395188.709999999497086,2656119.040000000037253,2806914.600000000093132,11436462.009999999776483
FS( 148 ),2568644.229999999981374,3419698.439999999478459,2678421.759999999776483,2794562.000000000465661,11461326.429999999701977
FS( 149 ),2553143.920000000391155,3389353.059999999590218,2695148.800000000279397,2803588.900000000372529,11441234.680000001564622
FS( 150 ),2555358.250000000000000,3391687.319999999366701,2718148.479999999981374,2822117.800000000279397,11487311.849999999627471
FS( 151 ),2537643.610000000335276,3350837.769999999552965,2696542.719999999739230,2801688.500000000000000,11386712.599999999627471
FS( 152 ),2539119.830000000074506,3374180.369999999646097,2709088.000000000000000,2843972.400000000372529,11466360.599999999627471
FS( 153 ),2556834.470000000204891,3441873.909999999217689,2733481.600000000093132,2839696.500000000465661,11571886.479999998584390
FS( 154 ),2565691.790000000037253,3418531.309999999590218,2725118.080000000074506,2854424.600000000093132,11563765.779999999329448
FS( 155 ),2589311.310000000055879,3399857.229999999515712,2740451.200000000186265,2882930.600000000093132,11612550.339999997988343
FS( 156 ),2593001.860000000335276,3422032.699999999720603,2751602.559999999590218,2898133.800000000279397,11664770.920000001788139
FS( 157 ),2591525.640000000130385,3406860.009999999776483,2750905.600000000093132,2901934.600000000093132,11651225.849999999627471
FS( 158 ),2595954.300000000279397,3413862.789999999571592,2755784.319999999832362,2909061.100000000093132,11674662.509999999776483
FS( 159 ),2589311.310000000055879,3404525.750000000000000,2757875.200000000186265,2890532.200000000651926,11642244.460000002756715
FS( 160 ),2598168.630000000353903,3467550.769999999552965,2763450.879999999888241,2885781.200000000186265,11714951.480000000447035
FS( 161 ),2605549.729999999981374,3399857.229999999515712,2762056.959999999962747,2879129.800000000279397,11646593.719999998807907
FS( 162 ),2624740.590000000316650,3406860.009999999776483,2772511.359999999869615,2877229.400000000372529,11681341.359999999403954
FS( 163 ),2635812.240000000223517,3422032.699999999720603,2764147.839999999850988,2881505.300000000279397,11703498.080000000074506
FS( 164 ),2638026.570000000298023,3466383.639999999664724,2747420.800000000279397,2886256.300000000279397,11738087.310000000521541
FS( 165 ),2653526.880000000353903,3503731.799999999348074,2741148.159999999683350,2907635.800000000279397,11806042.640000000596046
FS( 166 ),2652788.770000000018626,3495561.889999999664724,2694451.839999999850988,2902409.700000000651926,11745212.200000001117587
FS( 167 ),2681575.060000000055879,3482723.459999999497086,2666573.439999999944121,2907160.700000000186265,11738032.660000000149012
FS( 168 ),2724385.439999999944121,3472219.289999999571592,2653331.200000000186265,2889582.000000000465661,11739517.929999999701977
FS( 169 ),2731766.540000000037253,3443041.039999999571592,2664482.559999999590218,2907635.800000000279397,11746925.940000001341105
FS( 170 ),2736195.200000000186265,3472219.289999999571592,2684694.400000000372529,2915237.400000000372529,11808346.290000000968575
FS( 171 ),2722171.110000000335276,3511901.709999999497086,2680512.640000000130385,2881505.300000000279397,11796090.760000001639128
FS( 172 ),2711099.459999999962747,3472219.289999999571592,2675633.919999999925494,2862976.400000000372529,11721929.070000000298023
FS( 173 ),2711837.570000000298023,3530575.789999999571592,2624755.839999999850988,2882455.500000000465661,11749624.699999999254942
FS( 174 ),2689694.270000000018626,3487391.979999999515712,2610816.640000000130385,2856800.100000000558794,11644702.990000002086163
FS( 175 ),2657955.540000000037253,3406860.009999999776483,2564817.279999999795109,2847298.100000000093132,11476930.929999999701977
FS( 176 ),2661646.090000000316650,3425534.089999999850988,2605240.959999999962747,2841121.800000000279397,11533542.940000001341105
FS( 177 ),2665336.640000000130385,3531742.919999999925494,2617089.279999999795109,2857275.200000000186265,11671444.039999999105930
FS( 178 ),2655003.100000000093132,3593600.809999999590218,2596877.439999999944121,2839696.500000000465661,11685177.849999999627471
FS( 179 ),2673455.850000000093132,3525907.269999999552965,2608725.759999999776483,2878179.600000000093132,11686268.479999998584390
FS( 180 ),2729552.209999999962747,3562088.299999999348074,2630331.520000000018626,2939467.500000000000000,11861439.529999999329448
FS( 181 ),2737671.420000000391155,3553918.389999999664724,2624755.839999999850988,2948494.400000000372529,11864840.050000000745058
FS( 182 ),2724385.439999999944121,3536411.439999999478459,2658906.879999999888241,2933766.300000000279397,11853470.059999998658895
FS( 183 ),2736195.200000000186265,3530575.789999999571592,2699330.559999999590218,2967023.300000000279397,11933124.850000001490116
FS( 184 ),2719956.780000000260770,3446542.429999999701977,2688179.200000000186265,2828769.200000000186265,11683447.609999999403954
FS( 185 ),2735457.090000000316650,3469885.029999999795109,2752996.479999999981374,2744676.500000000465661,11703015.099999999627471
FS( 186 ),2765719.600000000093132,3553918.389999999664724,2751602.559999999590218,2725197.400000000372529,11796437.950000001117587
FS( 187 ),2793767.780000000260770,3594767.939999999478459,2797601.919999999925494,2800738.300000000279397,11986875.940000001341105
FS( 188 ),2828458.950000000186265,3604104.979999999515712,2803874.559999999590218,2804539.100000000558794,12040977.589999999850988
FS( 189 ),2816649.189999999944121,3588932.289999999571592,2814328.959999999962747,2798837.899999999906868,12018748.339999999850988
FS( 190 ),2839530.600000000093132,3591266.549999999348074,2826874.240000000223517,2806439.500000000465661,12064110.890000000596046
FS( 191 ),2847649.810000000055879,3565589.689999999478459,2829662.080000000074506,2803588.900000000372529,12046490.480000000447035
FS( 192 ),2857983.350000000093132,3396355.839999999850988,2832449.919999999925494,2802638.700000000186265,11889427.809999998658895
FS( 193 ),2841744.930000000167638,3437205.389999999664724,2805965.439999999944121,2788860.800000000279397,11873776.560000000521541
FS( 194 ),2852078.470000000204891,3458213.729999999515712,2824783.359999999869615,2812140.700000000186265,11947216.259999997913837
FS( 195 ),2846911.700000000186265,3447709.559999999590218,2826177.279999999795109,2805489.300000000279397,11926287.839999999850988
FS( 196 ),2833625.720000000204891,3426701.219999999273568,2805268.479999999981374,2804539.100000000558794,11870134.519999999552965
FS( 197 ),2857245.240000000223517,3447709.559999999590218,2826177.279999999795109,2812140.700000000186265,11943272.780000001192093
FS( 198 ),2859459.570000000298023,3440706.779999999795109,2868691.839999999850988,2823068.000000000465661,11991926.189999999478459
FS( 199 ),2837316.270000000018626,3405692.879999999422580,2849873.919999999925494,2806439.500000000465661,11899322.570000000298023
FS( 200 ),2825506.510000000242144,3402191.489999999292195,2861025.279999999795109,2819742.300000000279397,11908465.580000000074506
FS( 201 ),2817387.300000000279397,3429035.479999999515712,2849176.959999999962747,2812140.700000000186265,11907740.439999997615814
FS( 202 ),2772362.590000000316650,3355506.289999999571592,2883328.000000000000000,2930440.600000000093132,11941637.479999998584390
FS( 203 ),2733242.760000000242144,3286645.619999999646097,2894479.359999999869615,2966073.100000000093132,11880440.839999999850988
FS( 204 ),2750219.290000000037253,3391687.319999999366701,2881237.120000000111759,2995054.200000000186265,12018197.929999999701977
FS( 205 ),2738409.530000000260770,3454712.339999999850988,2884721.919999999925494,3027836.100000000093132,12105679.889999998733401
FS( 206 ),2738409.530000000260770,3454712.339999999850988,2884721.919999999925494,3027836.100000000093132,12105679.889999998733401
FS( 207 ),2788601.010000000242144,3494394.759999999776483,2884721.919999999925494,3091499.500000000000000,12259217.189999999478459
FS( 208 ),2776791.250000000000000,3482723.459999999497086,2888903.680000000167638,3102901.900000000372529,12251320.289999999105930
FS( 209 ),2784910.459999999962747,3509567.449999999720603,2909812.479999999981374,3120480.600000000558794,12324770.990000002086163
FS( 210 ),2770148.260000000242144,3427868.349999999627471,2886812.800000000279397,3109078.200000000186265,12193907.609999999403954
FS( 211 ),2758338.500000000000000,3361341.939999999478459,2902145.919999999925494,3127132.000000000000000,12148958.359999999403954
FS( 212 ),2697813.479999999981374,3274974.319999999366701,2859631.359999999869615,3114304.300000000279397,11946723.459999999031425
FS( 213 ),2717742.450000000186265,3330996.559999999590218,2881237.120000000111759,3135208.700000000186265,12065184.829999998211861
FS( 214 ),2702980.250000000000000,3320492.389999999664724,2871479.680000000167638,3111928.800000000279397,12006881.120000001043081
FS( 215 ),2753909.840000000316650,3395188.709999999497086,2911206.400000000372529,3132358.100000000558794,12192663.050000000745058
FS( 216 ),2741361.970000000204891,3408027.139999999664724,2902145.919999999925494,3129507.500000000465661,12181042.529999999329448
FS( 217 ),2776791.250000000000000,3402191.489999999292195,2957902.719999999739230,3241156.000000000000000,12378041.459999999031425
FS( 218 ),2755386.060000000055879,3395188.709999999497086,2966266.240000000223517,3208374.100000000558794,12325215.109999999403954
FS( 219 ),2775315.030000000260770,3418531.309999999590218,2992750.719999999739230,3217401.000000000000000,12403998.059999998658895
FS( 220 ),2756862.280000000260770,3353172.029999999795109,2996235.520000000018626,3186519.500000000000000,12292789.330000000074506
FS( 221 ),2795244.000000000000000,3398690.099999999627471,3049204.479999999981374,3213125.100000000093132,12456263.679999999701977
FS( 222 ),2808529.979999999981374,3454712.339999999850988,3035265.279999999795109,3218826.300000000279397,12517333.900000000372529
FS( 223 ),2804101.320000000298023,3504898.929999999701977,3054083.200000000186265,3236405.000000000465661,12599488.449999999254942
FS( 224 ),2795244.000000000000000,3541079.959999999497086,3047810.559999999590218,3221676.900000000372529,12605811.419999999925494
FS( 225 ),2788601.010000000242144,3577260.989999999292195,3017841.279999999795109,3255409.000000000000000,12639112.279999999329448
