代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14188649.179999999701977
真實報酬,4188649.179999999701977

夏普值報酬,0.410164918000000
夏普值風險,0.118823815983464
夏普值,3.451874648236164

二次趨勢線,63.856204178647694 x^2 + 2229.167238665626428 x + 10000000.000000000000000
二次加權預期報酬,23557.139434333956160
風險,226261.075624393793987
二次加權趨勢值,0.104114856562603
一次趨勢線,14226.103802169051050 x + 10000000.000000000000000
一次預期報酬,14226.103802169051050
一次風險,502283.472070870746393
一次趨勢值,0.028322858690763
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),DD[7](9),UNH[23](2),
FS( 26 ),3338094.199999999720603,3444310.600000000093132,3203449.399999999906868,9985855.199999999254942
FS( 27 ),3379516.640000000130385,3359680.199999999720603,3155038.239999999757856,9894236.080000000074506
FS( 28 ),3487595.879999999888241,3338123.400000000372529,3123157.719999999739230,9948878.000000000000000
FS( 29 ),3508545.159999999683350,3273453.000000000000000,3081831.120000000111759,9863830.280000001192093
FS( 30 ),3492833.199999999720603,3278243.400000000372529,3081240.739999999757856,9852318.339999999850988
FS( 31 ),3394276.360000000335276,3215169.800000000279397,3025745.020000000018626,9635192.179999999701977
FS( 32 ),3382373.360000000335276,3171257.799999999813735,3025745.020000000018626,9579377.179999999701977
FS( 33 ),3369518.119999999646097,3153693.000000000000000,3064119.719999999739230,9587331.839999999850988
FS( 34 ),3426176.399999999441206,3272654.600000000093132,3123748.099999999627471,9822580.099999999627471
FS( 35 ),3453791.360000000335276,3273453.000000000000000,3137326.839999999850988,9864572.199999999254942
FS( 36 ),3482834.680000000167638,3276646.600000000093132,3160351.660000000149012,9919833.940000001341105
FS( 37 ),3510925.759999999776483,3340518.600000000093132,3183376.479999999981374,10034821.839999999850988
FS( 38 ),3536160.119999999646097,3363672.200000000186265,3160351.660000000149012,10060184.980000000447035
FS( 39 ),3546634.759999999776483,3378043.400000000372529,3104855.940000000409782,10029535.100000001490116
FS( 40 ),3527589.959999999962747,3396406.600000000093132,3114302.020000000018626,10038299.580000000074506
FS( 41 ),3529018.320000000298023,3410777.799999999813735,3209353.200000000186265,10149150.320000000298023
FS( 42 ),3536636.239999999757856,3432334.600000000093132,3211124.339999999850988,10180096.179999999701977
FS( 43 ),3524257.119999999646097,3331736.199999999720603,3181605.339999999850988,10037599.660000000149012
FS( 44 ),3525685.479999999981374,3330937.799999999813735,3160942.040000000037253,10017566.320000000298023
FS( 45 ),3517115.320000000298023,3353293.000000000000000,3178653.440000000409782,10049062.760000001639128
FS( 46 ),3522352.640000000130385,3370059.399999999906868,3167436.219999999739230,10059849.259999999776483
FS( 47 ),3553776.560000000055879,3445109.000000000000000,3180424.580000000074506,10179311.140000000596046
FS( 48 ),3596151.239999999757856,3480238.600000000093132,3199316.739999999757856,10275707.580000000074506
FS( 49 ),3609958.719999999739230,3530537.799999999813735,3232968.399999999906868,10373465.919999999925494
FS( 50 ),3593294.520000000018626,3541715.399999999906868,3261897.020000000018626,10396907.939999999478459
FS( 51 ),3538540.719999999739230,3528142.599999999627471,3210533.959999999962747,10277218.279999999329448
FS( 52 ),3524257.119999999646097,3572054.600000000093132,3191051.419999999925494,10287364.140000000596046
FS( 53 ),3554252.680000000167638,3617563.400000000372529,3209353.200000000186265,10381170.280000001192093
FS( 54 ),3595675.119999999646097,3728541.000000000000000,3244185.620000000111759,10568402.739999998360872
FS( 55 ),3595199.000000000000000,3687024.200000000186265,3217028.140000000130385,10499252.339999999850988
FS( 56 ),3628051.279999999795109,3694209.800000000279397,3274295.000000000000000,10596557.080000000074506
FS( 57 ),3626622.919999999925494,3637523.400000000372529,3248908.660000000149012,10513055.980000000447035
FS( 58 ),3617100.520000000018626,3659080.199999999720603,3238281.820000000298023,10514463.539999999105930
FS( 59 ),3619481.119999999646097,3686225.800000000279397,3201087.879999999888241,10506795.800000000745058
FS( 60 ),3610434.839999999850988,3651894.600000000093132,3214076.239999999757856,10476406.679999999701977
FS( 61 ),3556157.159999999683350,3595208.200000000186265,3179834.200000000186265,10331200.559999998658895
FS( 62 ),3588057.199999999720603,3675846.600000000093132,3202268.640000000130385,10466173.439999999478459
FS( 63 ),3669473.719999999739230,3758081.799999999813735,3219980.040000000037253,10647536.559999998658895
FS( 64 ),3688518.520000000018626,3769259.399999999906868,3069433.140000000130385,10527212.060000000521541
FS( 65 ),3698993.159999999683350,3823550.600000000093132,3075336.940000000409782,10597881.699999999254942
FS( 66 ),3624718.439999999478459,3819558.600000000093132,3075336.940000000409782,10519614.980000000447035
FS( 67 ),3529494.439999999478459,3763670.600000000093132,3034600.719999999739230,10327766.759999997913837
FS( 68 ),3654714.000000000000000,3809179.399999999906868,3091867.580000000074506,10555761.980000000447035
FS( 69 ),3670425.959999999962747,3847502.599999999627471,3135555.700000000186265,10653485.259999999776483
FS( 70 ),3578534.799999999813735,3849897.799999999813735,3118434.680000000167638,10546868.279999999329448
FS( 71 ),3644715.479999999981374,3897801.799999999813735,3150315.200000000186265,10692833.480000000447035
FS( 72 ),3663284.159999999683350,3876245.000000000000000,3165665.080000000074506,10705195.240000000223517
FS( 73 ),3539492.959999999962747,3826744.200000000186265,3168026.599999999627471,10534264.759999999776483
FS( 74 ),3583296.000000000000000,3844309.000000000000000,3211714.719999999739230,10639320.719999998807907
FS( 75 ),3572821.360000000335276,3842712.200000000186265,3221160.800000000279397,10636695.360000001266599
FS( 76 ),3530922.799999999813735,3860277.000000000000000,3307356.280000000260770,10698557.080000000074506
FS( 77 ),3537112.360000000335276,3874648.200000000186265,3300862.099999999627471,10712623.660000000149012
FS( 78 ),3586152.719999999739230,3914568.200000000186265,3319163.879999999888241,10819885.800000000745058
FS( 79 ),3572345.239999999757856,3932133.000000000000000,3308537.040000000037253,10813016.280000001192093
FS( 80 ),3523304.879999999888241,3913769.800000000279397,3294958.300000000279397,10732033.980000000447035
FS( 81 ),3506640.680000000167638,3948899.399999999906868,3322706.160000000149012,10778247.240000000223517
FS( 82 ),3551395.959999999962747,3935326.600000000093132,3310898.560000000055879,10797622.120000001043081
FS( 83 ),3517115.320000000298023,3661475.399999999906868,3259535.500000000000000,10438127.220000000670552
FS( 84 ),3564727.320000000298023,3705387.399999999906868,3292596.780000000260770,10562712.500000000000000
FS( 85 ),3580915.399999999441206,3653491.399999999906868,3291416.020000000018626,10525823.819999998435378
FS( 86 ),3613291.560000000055879,3673451.399999999906868,3410672.780000000260770,10697416.740000000223517
FS( 87 ),3632336.360000000335276,3699000.199999999720603,3387647.959999999962747,10718985.519999999552965
FS( 88 ),3686614.040000000037253,3661475.399999999906868,3368165.419999999925494,10716255.859999999403954
FS( 89 ),3645191.600000000093132,3686225.800000000279397,3408901.640000000130385,10740320.040000000968575
FS( 90 ),3612339.320000000298023,3692613.000000000000000,3372298.080000000074506,10677251.400000000372529
FS( 91 ),3618052.759999999776483,3724549.000000000000000,3365803.899999999906868,10708406.660000000149012
FS( 92 ),3560442.239999999757856,3752493.000000000000000,3378792.259999999776483,10691728.500000000000000
FS( 93 ),3567584.040000000037253,3694209.800000000279397,3368165.419999999925494,10629960.259999999776483
FS( 94 ),3572345.239999999757856,3656685.000000000000000,3384105.680000000167638,10613136.919999999925494
FS( 95 ),3554252.680000000167638,3661475.399999999906868,3345140.599999999627471,10560869.679999999701977
FS( 96 ),3560442.239999999757856,3597603.400000000372529,3259535.500000000000000,10417582.140000000596046
FS( 97 ),3619005.000000000000000,3506585.800000000279397,3261306.640000000130385,10386898.440000001341105
FS( 98 ),3649952.799999999813735,3568062.599999999627471,3215847.379999999888241,10433863.779999999329448
FS( 99 ),3572345.239999999757856,3483432.200000000186265,3146772.919999999925494,10202551.359999999403954
FS( 100 ),3601864.680000000167638,3512174.600000000093132,3132013.419999999925494,10246053.699999999254942
FS( 101 ),3683281.199999999720603,3616765.000000000000000,3180424.580000000074506,10480471.779999999329448
FS( 102 ),3661379.680000000167638,3606385.800000000279397,3155628.620000000111759,10423395.100000001490116
FS( 103 ),3679472.239999999757856,3616765.000000000000000,3159761.280000000260770,10455999.519999999552965
FS( 104 ),3670425.959999999962747,3629539.399999999906868,3147953.680000000167638,10447920.039999999105930
FS( 105 ),3745176.799999999813735,3661475.399999999906868,3158580.520000000018626,10565233.719999998807907
FS( 106 ),3765173.839999999850988,3718960.199999999720603,3165074.700000000186265,10649209.739999998360872
FS( 107 ),3858969.479999999981374,3695008.200000000186265,3176291.919999999925494,10730270.599999999627471
FS( 108 ),3867539.640000000130385,3726145.800000000279397,3176882.300000000279397,10770568.740000000223517
FS( 109 ),3948956.159999999683350,3750896.199999999720603,3200497.500000000000000,10900350.859999999403954
FS( 110 ),4007042.799999999813735,3779638.600000000093132,3237101.060000000055879,11023783.460000000894070
FS( 111 ),4035133.879999999888241,3775646.600000000093132,3216437.759999999776483,11027219.240000000223517
FS( 112 ),4028944.320000000298023,3828341.000000000000000,3231197.259999999776483,11088483.580000000074506
FS( 113 ),4115122.040000000037253,3844309.000000000000000,3231197.259999999776483,11190629.300000000745058
FS( 114 ),4055607.040000000037253,3782832.200000000186265,3247137.520000000018626,11085577.759999999776483
FS( 115 ),4071319.000000000000000,3774049.800000000279397,3257173.979999999981374,11102543.780000001192093
FS( 116 ),4064653.320000000298023,3801993.799999999813735,3240052.959999999962747,11106701.080000000074506
FS( 117 ),4015136.839999999850988,3692613.000000000000000,3250679.800000000279397,10958430.640000000596046
FS( 118 ),4038466.719999999739230,3726944.200000000186265,3215257.000000000000000,10980668.919999999925494
FS( 119 ),4039895.079999999608845,3671056.199999999720603,3238872.200000000186265,10949824.480000000447035
FS( 120 ),4124168.320000000298023,3638321.799999999813735,3285512.219999999739230,11048003.339999999850988
FS( 121 ),4104171.279999999795109,3613571.399999999906868,3342779.080000000074506,11060522.759999999776483
FS( 122 ),4087507.079999999608845,3619958.600000000093132,3377611.500000000000000,11085078.179999999701977
FS( 123 ),4058939.879999999888241,3566465.800000000279397,3481518.379999999888241,11106925.059999998658895
FS( 124 ),4003709.959999999962747,3519360.199999999720603,3645053.640000000130385,11168124.800000000745058
FS( 125 ),4016565.199999999720603,3524949.000000000000000,3640920.979999999981374,11182436.179999999701977
FS( 126 ),4044656.279999999795109,3573651.399999999906868,3662174.660000000149012,11280483.339999999850988
FS( 127 ),4102742.919999999925494,3512973.000000000000000,3666307.320000000298023,11282024.240000000223517
FS( 128 ),4130357.879999999888241,3488222.599999999627471,3653909.339999999850988,11272490.820000000298023
FS( 129 ),4152259.399999999441206,3574449.800000000279397,3671030.359999999869615,11397740.559999998658895
FS( 130 ),4181302.719999999739230,3619160.199999999720603,3684609.099999999627471,11485073.019999999552965
FS( 131 ),4215107.240000000223517,3622353.799999999813735,3718260.759999999776483,11555722.800000000745058
FS( 132 ),4232247.559999999590218,3609579.399999999906868,3721212.660000000149012,11563040.619999999180436
FS( 133 ),4131310.119999999646097,3431536.199999999720603,3636197.940000000409782,11199045.259999999776483
FS( 134 ),4137023.560000000055879,3441915.399999999906868,3708224.300000000279397,11287164.259999999776483
FS( 135 ),4127501.159999999683350,3445109.000000000000000,3662174.660000000149012,11234785.820000000298023
FS( 136 ),4100362.320000000298023,3431536.199999999720603,3524025.739999999757856,11055925.259999999776483
FS( 137 ),4187968.399999999441206,3473851.399999999906868,3544689.040000000037253,11206509.839999999850988
FS( 138 ),4139404.159999999683350,3523352.200000000186265,3496277.879999999888241,11159035.239999998360872
FS( 139 ),4198443.040000000037253,3599998.600000000093132,3456132.040000000037253,11254574.679999999701977
FS( 140 ),4324614.839999999850988,3657483.400000000372529,3470891.540000000037253,11452990.780000001192093
FS( 141 ),4364608.919999999925494,3862672.200000000186265,3503362.440000000409782,11730644.560000000521541
FS( 142 ),4420791.080000000074506,3799598.600000000093132,3511627.759999999776483,11732018.439999999478459
FS( 143 ),4375559.679999999701977,3850696.199999999720603,3542917.899999999906868,11769174.779999999329448
FS( 144 ),4352229.799999999813735,3855486.600000000093132,3538194.859999999869615,11745912.259999999776483
FS( 145 ),4341279.040000000037253,3769259.399999999906868,3525796.879999999888241,11636336.320000000298023
FS( 146 ),4390319.399999999441206,3766065.800000000279397,3511627.759999999776483,11668013.959999999031425
FS( 147 ),4463165.759999999776483,3861075.399999999906868,3478566.479999999981374,11802808.640000000596046
FS( 148 ),4484591.160000000149012,3866664.200000000186265,3554135.120000000111759,11905391.480000000447035
FS( 149 ),4513158.360000000335276,3927342.599999999627471,3571846.520000000018626,12012348.480000000447035
FS( 150 ),4477449.360000000335276,3924149.000000000000000,3690512.899999999906868,12092112.259999999776483
FS( 151 ),4504588.200000000186265,3970456.199999999720603,3660993.899999999906868,12136039.300000000745058
FS( 152 ),4486971.759999999776483,3917761.799999999813735,3714128.099999999627471,12118862.659999998286366
FS( 153 ),4511730.000000000000000,3905785.800000000279397,3683428.339999999850988,12100945.140000000596046
FS( 154 ),4576006.200000000186265,3971254.600000000093132,3644463.259999999776483,12191725.060000000521541
FS( 155 ),4619333.120000000111759,4018360.199999999720603,3637378.700000000186265,12275073.019999999552965
FS( 156 ),4598383.839999999850988,3991214.600000000093132,3668668.839999999850988,12258268.279999999329448
FS( 157 ),4709795.919999999925494,4072651.399999999906868,3709995.440000000409782,12492443.760000001639128
FS( 158 ),4700273.519999999552965,4048699.399999999906868,3693464.800000000279397,12442438.720000000670552
FS( 159 ),4701701.879999999888241,4067861.000000000000000,3711766.580000000074506,12481330.459999999031425
FS( 160 ),4662660.040000000037253,3992811.399999999906868,3676934.160000000149012,12332406.599999999627471
FS( 161 ),4749313.879999999888241,3991214.600000000093132,3681657.200000000186265,12422186.679999999701977
FS( 162 ),4761216.879999999888241,3988819.399999999906868,3663945.800000000279397,12413983.080000000074506
FS( 163 ),4766454.200000000186265,3984029.000000000000000,3739514.440000000409782,12489998.640000000596046
FS( 164 ),4717889.959999999962747,3972851.399999999906868,3740104.820000000298023,12430847.179999999701977
FS( 165 ),4786927.360000000335276,3956883.400000000372529,3817444.599999999627471,12561256.360000001266599
FS( 166 ),4714557.120000000111759,3917761.799999999813735,3697597.459999999962747,12329917.379999998956919
FS( 167 ),4796449.759999999776483,3904189.000000000000000,3707633.919999999925494,12408273.679999999701977
FS( 168 ),4742648.200000000186265,3936125.000000000000000,3681657.200000000186265,12360431.399999998509884
FS( 169 ),4689322.759999999776483,3826744.200000000186265,3645644.020000000018626,12161711.980000000447035
FS( 170 ),4749790.000000000000000,3853091.399999999906868,3655680.479999999981374,12258562.880000000819564
FS( 171 ),4879770.759999999776483,3905785.800000000279397,3694055.180000000167638,12479612.740000000223517
FS( 172 ),4867867.759999999776483,3903390.600000000093132,3759587.359999999869615,12530846.719999998807907
FS( 173 ),4844537.879999999888241,3865865.800000000279397,3774346.859999999869615,12484751.539999999105930
FS( 174 ),4803115.439999999478459,3841913.799999999813735,3768443.060000000055879,12413473.299999998882413
FS( 175 ),4864058.799999999813735,3939318.600000000093132,3787335.220000000204891,12590713.620000001043081
FS( 176 ),4848346.839999999850988,3866664.200000000186265,3766671.919999999925494,12481683.959999999031425
FS( 177 ),4905481.240000000223517,3881833.799999999813735,3800323.580000000074506,12587639.619999999180436
FS( 178 ),4955473.839999999850988,3936125.000000000000000,3877663.360000000335276,12769263.199999999254942
FS( 179 ),4868343.879999999888241,3877043.400000000372529,3852867.400000000372529,12598255.680000001564622
FS( 180 ),4744076.559999999590218,3774049.800000000279397,3766671.919999999925494,12284799.279999999329448
FS( 181 ),4760264.639999999664724,3710177.799999999813735,3772575.719999999739230,12243019.160000000149012
FS( 182 ),4658851.080000000074506,3678241.799999999813735,3816854.220000000204891,12153948.099999999627471
FS( 183 ),4697892.919999999925494,3695008.200000000186265,3762539.259999999776483,12155441.380000000819564
FS( 184 ),4796925.879999999888241,3661475.399999999906868,3824529.160000000149012,12282931.439999999478459
FS( 185 ),4911194.679999999701977,3678241.799999999813735,3901868.940000000409782,12491306.420000001788139
FS( 186 ),4877390.160000000149012,3657483.400000000372529,3865855.760000000242144,12400730.320000000298023
FS( 187 ),4915479.759999999776483,3695008.200000000186265,3874711.459999999962747,12485200.420000001788139
FS( 188 ),4831206.519999999552965,3688621.000000000000000,3853457.779999999795109,12373286.299999998882413
FS( 189 ),4898815.559999999590218,3687024.200000000186265,3869398.040000000502914,12455238.800000000745058
FS( 190 ),4961187.280000000260770,3716565.000000000000000,3906591.979999999981374,12584345.260000001639128
FS( 191 ),4969281.320000000298023,3762073.799999999813735,3988654.800000000279397,12720010.920000001788139
FS( 192 ),4984041.040000000037253,3868261.000000000000000,4012860.379999999888241,12865163.419999998062849
FS( 193 ),5023082.879999999888241,3841913.799999999813735,3996329.739999999757856,12861327.419999999925494
FS( 194 ),5088787.439999999478459,3888221.000000000000000,4035885.200000000186265,13012894.640000000596046
FS( 195 ),4850251.320000000298023,3879438.600000000093132,4014631.520000000018626,12744322.439999999478459
FS( 196 ),5030700.799999999813735,3911374.600000000093132,3992197.080000000074506,12934273.480000000447035
FS( 197 ),4962615.639999999664724,3862672.200000000186265,3950280.099999999627471,12775568.939999999478459
FS( 198 ),4989278.360000000335276,3948899.399999999906868,3910134.260000000242144,12848313.019999999552965
FS( 199 ),5124496.439999999478459,3932133.000000000000000,4165178.419999999925494,13221808.859999999403954
FS( 200 ),5092596.399999999441206,3941713.799999999813735,4218312.620000001043081,13252623.820000000298023
FS( 201 ),5087835.200000000186265,3932931.399999999906868,4261410.360000001266599,13282177.960000000894070
FS( 202 ),5132114.360000000335276,3928141.000000000000000,4291519.740000000223517,13351776.099999999627471
FS( 203 ),5092120.280000000260770,3908181.000000000000000,4282073.660000000149012,13282375.940000001341105
FS( 204 ),5080217.280000000260770,3978440.199999999720603,4287387.080000000074506,13346045.560000000521541
FS( 205 ),5027844.080000000074506,3945705.800000000279397,4263181.500000000000000,13236732.380000000819564
FS( 206 ),4990230.599999999627471,3979238.600000000093132,4297423.540000000968575,13266893.740000000223517
FS( 207 ),5034033.639999999664724,3986424.200000000186265,4266723.779999999329448,13287182.619999999180436
FS( 208 ),5004038.080000000074506,3984029.000000000000000,4300965.820000000298023,13289033.900000000372529
FS( 209 ),5080217.280000000260770,4024747.399999999906868,4319267.599999999627471,13424233.279999999329448
FS( 210 ),5137351.679999999701977,4118160.199999999720603,4266133.400000000372529,13521646.279999999329448
FS( 211 ),5118306.879999999888241,4147701.000000000000000,4329894.439999999478459,13595903.319999998435378
FS( 212 ),5096405.360000000335276,4099797.000000000000000,4323990.640000000596046,13520194.000000000000000
FS( 213 ),5066885.919999999925494,4126144.200000000186265,4305098.480000000447035,13498129.600000001490116
FS( 214 ),5039270.959999999962747,4196403.400000000372529,4320448.360000001266599,13556123.720000000670552
FS( 215 ),5014988.839999999850988,4324945.799999999813735,4305688.860000001266599,13645624.500000001862645
FS( 216 ),4963091.759999999776483,4261073.799999999813735,4273808.339999999850988,13497974.899999998509884
FS( 217 ),5057839.639999999664724,4306582.599999999627471,4330484.820000000298023,13694908.059999998658895
FS( 218 ),4959282.799999999813735,4292211.399999999441206,4279712.140000000596046,13531207.339999999850988
FS( 219 ),4891197.639999999664724,4224347.399999999441206,4215360.720000000670552,13330906.759999999776483
FS( 220 ),4926430.519999999552965,4194008.200000000186265,4217131.860000001266599,13337571.580000000074506
FS( 221 ),4985945.519999999552965,4164467.399999999906868,4233662.500000000000000,13384076.419999999925494
FS( 222 ),4981660.439999999478459,4201193.799999999813735,4277941.000000000000000,13460796.239999998360872
FS( 223 ),4947379.799999999813735,4222750.599999999627471,4241927.820000000298023,13412059.219999998807907
FS( 224 ),5005942.559999999590218,4228339.400000000372529,4249012.380000000819564,13483295.340000001713634
FS( 225 ),5022130.639999999664724,4404785.799999999813735,4282664.040000000968575,13709581.480000000447035
FS( 226 ),5024511.240000000223517,4394406.599999999627471,4273217.959999999031425,13692136.799999998882413
FS( 227 ),4914051.399999999441206,4270654.600000000558794,4222445.279999999329448,13407152.279999999329448
FS( 228 ),4916908.120000000111759,4257880.200000000186265,4223626.040000000968575,13398415.360000001266599
FS( 229 ),4995944.040000000037253,4265864.200000000186265,4276760.240000000223517,13538569.480000000447035
FS( 230 ),4947855.919999999925494,4252291.399999999441206,4235433.640000000596046,13435581.960000000894070
FS( 231 ),4999753.000000000000000,4257081.799999999813735,4283844.800000000745058,13540680.600000001490116
FS( 232 ),5064505.320000000298023,4295405.000000000000000,4330484.820000000298023,13690396.140000000596046
FS( 233 ),5077836.679999999701977,4367261.000000000000000,4371221.040000000968575,13816319.720000000670552
FS( 234 ),5050221.719999999739230,4384027.399999999441206,4372401.800000000745058,13806651.919999999925494
FS( 235 ),5103547.160000000149012,4412769.799999999813735,4383619.019999999552965,13899936.980000000447035
FS( 236 ),5150206.919999999925494,4546102.599999999627471,4406053.459999999031425,14102363.979999998584390
FS( 237 ),5200675.639999999664724,4530933.000000000000000,4438524.360000001266599,14170134.000000001862645
FS( 238 ),5227814.479999999515712,4418358.600000000558794,4412547.640000000596046,14058721.720000000670552
FS( 239 ),5300660.839999999850988,4533328.200000000186265,4397197.759999999776483,14231187.799999998882413
FS( 240 ),5507296.919999999925494,4525344.200000000186265,4434982.080000000074506,14467624.200000001117587
FS( 241 ),5575858.200000000186265,4514965.000000000000000,4387161.300000000745058,14477985.500000000000000
FS( 242 ),5637277.679999999701977,4645902.599999999627471,4312183.040000000968575,14595364.320000000298023
FS( 243 ),5667749.360000000335276,4617160.200000000186265,4182299.440000000409782,14467210.000000000000000
FS( 244 ),5553004.439999999478459,4514166.599999999627471,4166359.179999999701977,14233531.219999998807907
FS( 245 ),5594903.000000000000000,4461472.200000000186265,4240156.679999999701977,14296532.879999998956919
FS( 246 ),5665844.879999999888241,4447101.000000000000000,4269675.679999999701977,14382622.559999998658895
FS( 247 ),5642515.000000000000000,4531731.399999999441206,4249602.759999999776483,14423850.159999998286366
FS( 248 ),5683937.439999999478459,4546901.000000000000000,4260229.599999999627471,14491069.039999999105930
FS( 249 ),5653465.759999999776483,4436721.799999999813735,4250193.140000000596046,14340381.699999999254942
FS( 250 ),5594426.879999999888241,4366462.599999999627471,4227758.699999999254942,14188649.179999999701977
