代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13199765.810000002384186
真實報酬,3199765.810000002384186

夏普值報酬,0.311276581000000
夏普值風險,0.106847613514169
夏普值,2.913275933474377

二次趨勢線,56.052664486639131 x^2 + -185.732629204947443 x + 10000000.000000000000000
二次加權預期報酬,18535.857309332524892
風險,356596.881954194745049
二次加權趨勢值,0.051979863670579
一次趨勢線,10345.119755635190813 x + 10000000.000000000000000
一次預期報酬,10345.119755635190813
一次風險,531139.921563081676140
一次趨勢值,0.019477202401188
找到最佳解世代,2262
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),PG[21](1),WMT[28](2),
FS( 23 ),2668021.850000000558794,3290470.200000000651926,3191224.450000000186265,9149717.500000000000000
FS( 24 ),2718880.550000000279397,3302614.660000000149012,3213502.750000000000000,9234998.960000000894070
FS( 25 ),2765050.150000000372529,3248678.970000000670552,3203038.700000000186265,9216768.820000000298023
FS( 26 ),2773887.300000000279397,3256537.150000000372529,3205401.549999999813735,9235827.000000000000000
FS( 27 ),2746654.450000000186265,3277968.550000000279397,3201350.950000000186265,9225974.949999999254942
FS( 28 ),2705354.300000000279397,3255822.770000000484288,3205064.000000000000000,9166242.070000000298023
FS( 29 ),2760721.750000000000000,3286541.110000000800937,3248945.500000000000000,9296209.360000001266599
FS( 30 ),2794447.200000000186265,3263680.950000000651926,3252321.000000000000000,9310450.150000000372529
FS( 31 ),2811039.400000000372529,3237606.080000000540167,3265485.449999999720603,9314131.929999999701977
FS( 32 ),2828353.000000000000000,3265466.900000000372529,3298902.899999999906868,9392723.800000000745058
FS( 33 ),2764869.800000000279397,3230462.280000000260770,3290801.699999999720603,9286134.779999999329448
FS( 34 ),2776051.500000000000000,3387625.880000000353903,3331982.799999999813735,9495661.179999999701977
FS( 35 ),2754048.800000000279397,3368337.620000000111759,3320168.549999999813735,9442555.969999998807907
FS( 36 ),2845305.899999999906868,3343334.320000000298023,3272236.449999999720603,9460877.669999999925494
FS( 37 ),2818974.800000000279397,3340476.800000000279397,3276287.050000000279397,9435739.650000000372529
FS( 38 ),2789758.100000000558794,3341191.180000000633299,3264472.799999999813735,9395423.080000001937151
FS( 39 ),2980388.050000000279397,3376195.800000000279397,3200000.750000000000000,9556585.600000001490116
FS( 40 ),3001849.700000000186265,3445847.850000000558794,3234768.399999999906868,9682466.950000001117587
FS( 41 ),3003292.500000000465661,3481566.850000000558794,3168271.049999999813735,9653131.400000002235174
FS( 42 ),3088598.050000000279397,3501569.490000000223517,3198988.100000000093132,9789156.640000000596046
FS( 43 ),3141440.600000000558794,3480495.280000000260770,3227004.750000000000000,9848941.630000000819564
FS( 44 ),3142522.700000000651926,3497640.400000000372529,3228354.950000000186265,9868519.050000000745058
FS( 45 ),3083007.200000000186265,3469779.580000000540167,3265147.899999999906868,9817935.680000001564622
FS( 46 ),3073448.650000000372529,3490139.410000000149012,3226329.649999999906868,9789918.710000000894070
FS( 47 ),3055774.350000000558794,3510142.050000000279397,3247257.750000000000000,9813175.150000000372529
FS( 48 ),3082105.450000000186265,3545503.860000000800937,3273249.100000000093132,9900859.410000000149012
FS( 49 ),3069300.600000000558794,3544789.479999999981374,3305991.449999999720603,9920082.529999999329448
FS( 50 ),3080482.300000000279397,3516928.660000000149012,3325569.350000000093132,9922981.310000000521541
FS( 51 ),3073629.000000000000000,3517643.040000000502914,3375189.199999999720603,9966462.240000000223517
FS( 52 ),3082826.850000000558794,3571578.729999999981374,3449787.750000000000000,10104194.330000000074506
FS( 53 ),3102665.350000000093132,3546218.240000000223517,3371476.149999999906868,10020360.740000000223517
FS( 54 ),3085171.400000000372529,3564077.740000000223517,3354936.200000000186265,10004186.339999999850988
FS( 55 ),3119618.250000000465661,3580865.670000000391155,3360337.000000000000000,10060821.920000001788139
FS( 56 ),3142342.350000000093132,3556576.750000000000000,3345822.350000000093132,10044742.449999999254942
FS( 57 ),3144145.850000000558794,3565863.690000000409782,3331307.699999999720603,10041318.240000000223517
FS( 58 ),3153884.750000000465661,3533002.210000000428408,3311729.799999999813735,9998617.760000001639128
FS( 59 ),3122864.550000000279397,3520143.370000000111759,3341434.199999999720603,9984443.119999999180436
FS( 60 ),3155688.250000000465661,3516214.280000000260770,3305653.900000000372529,9977557.430000001564622
FS( 61 ),3171559.050000000279397,3531573.450000000651926,3302953.500000000000000,10006087.000000000000000
FS( 62 ),3165787.850000000093132,3539431.630000000353903,3319493.450000000186265,10024713.929999999701977
FS( 63 ),3147572.500000000465661,3533716.590000000782311,3316793.050000000279397,9998083.140000002458692
FS( 64 ),3111141.800000000279397,3520143.370000000111759,3289451.500000000000000,9920737.669999999925494
FS( 65 ),3118536.150000000372529,3515142.710000000428408,3294177.200000000186265,9927857.060000002384186
FS( 66 ),3226565.800000000279397,3556933.940000000409782,3324219.149999999906868,10107719.890000000596046
FS( 67 ),3262816.150000000372529,3573721.870000000111759,3320506.100000000093132,10157045.120000001043081
FS( 68 ),3277244.150000000372529,3614084.340000000782311,3342784.399999999906868,10234113.890000000596046
FS( 69 ),3313674.850000000093132,3619085.000000000000000,3315442.850000000093132,10248203.699999999254942
FS( 70 ),3356778.500000000465661,3659090.280000000260770,3322193.850000000093132,10338063.630000000819564
FS( 71 ),3391045.000000000465661,3625871.610000000800937,3364050.049999999813735,10380967.660000000149012
FS( 72 ),3364172.850000000093132,3639802.020000000484288,3370463.500000000000000,10374439.370000001043081
FS( 73 ),3393569.900000000372529,3633372.600000000558794,3329619.950000000186265,10356563.450000001117587
FS( 74 ),3518552.450000000186265,3660876.229999999981374,3343797.050000000279397,10523226.730000000447035
FS( 75 ),3445691.050000000279397,3631229.460000000428408,3317468.149999999906868,10394389.660000000149012
FS( 76 ),3404030.200000000651926,3641945.160000000149012,3313755.100000000093132,10359731.460000000894070
FS( 77 ),3368861.950000000186265,3679807.300000000279397,3318818.349999999627471,10367488.599999999627471
FS( 78 ),3399160.750000000465661,3675521.020000000484288,3281350.299999999813735,10356033.070000000298023
FS( 79 ),3403669.500000000465661,3698738.370000000111759,3278649.899999999906868,10381058.770000001415610
FS( 80 ),3425852.550000000279397,3716597.870000000111759,3292151.899999999906868,10434603.320000000298023
FS( 81 ),3449117.700000000651926,3701953.080000000540167,3301940.849999999627471,10453012.630000000819564
FS( 82 ),3499255.000000000465661,3705882.170000000391155,3272236.449999999720603,10477374.620000001043081
FS( 83 ),3523241.550000000279397,3703739.030000000260770,3280675.199999999720603,10507656.779999999329448
FS( 84 ),3529373.450000000186265,3694452.090000000782311,3311729.799999999813735,10535556.339999999850988
FS( 85 ),3552999.300000000279397,3702310.270000000484288,3336033.399999999906868,10591343.970000000670552
FS( 86 ),3608907.800000000279397,3749459.350000000558794,3349535.399999999906868,10707903.550000000745058
FS( 87 ),3598086.800000000279397,3738386.460000000428408,3331307.699999999720603,10667781.960000000894070
FS( 88 ),3618286.000000000465661,3738029.270000000484288,3362024.750000000000000,10718341.020000001415610
FS( 89 ),3588167.550000000279397,3741601.170000000391155,3402530.750000000000000,10732300.470000000670552
FS( 90 ),3586724.750000000465661,3752674.060000000521541,3428184.550000000279397,10767584.360000001266599
FS( 91 ),3593217.350000000093132,3776605.790000000502914,3457551.400000000372529,10827375.540000000968575
FS( 92 ),3593578.050000000279397,3801251.900000000372529,3474428.900000000372529,10869259.850000001490116
FS( 93 ),3663553.850000000093132,3780892.070000000298023,3482192.549999999813735,10926639.469999998807907
FS( 94 ),3676719.400000000372529,3788035.870000000111759,3482867.650000000372529,10947623.920000001788139
FS( 95 ),3688802.850000000093132,3786607.110000000800937,3455526.100000000093132,10930937.060000000521541
FS( 96 ),3742006.100000000093132,3684807.960000000428408,3479154.599999999627471,10905969.660000000149012
FS( 97 ),3736234.900000000372529,3703739.030000000260770,3494681.899999999906868,10934656.830000000074506
FS( 98 ),3702329.100000000093132,3689094.240000000223517,3494344.350000000093132,10885768.689999999478459
FS( 99 ),3684654.800000000279397,3781249.260000000242144,3427171.899999999906868,10893076.960000000894070
FS( 100 ),3690245.650000000372529,3742672.740000000223517,3428184.550000000279397,10861103.940000001341105
FS( 101 ),3619187.750000000000000,3803395.040000000502914,3471390.950000000186265,10893974.740000002086163
FS( 102 ),3796832.500000000465661,3748030.590000000782311,3421433.549999999813735,10966297.640000000596046
FS( 103 ),3772124.550000000279397,3770533.560000000521541,3414345.000000000000000,10957004.110000001266599
FS( 104 ),3819015.550000000279397,3789107.440000000409782,3445737.149999999906868,11053861.140000000596046
FS( 105 ),3760041.100000000093132,3774819.840000000782311,3458564.049999999813735,10993425.990000002086163
FS( 106 ),3658684.400000000372529,3739815.220000000670552,3419408.250000000000000,10817908.870000001043081
FS( 107 ),3659405.800000000279397,3753031.250000000000000,3385653.250000000000000,10798091.300000000745058
FS( 108 ),3620089.500000000465661,3723384.479999999981374,3359999.450000000186265,10703474.429999999701977
FS( 109 ),3556245.600000000558794,3786607.110000000800937,3439998.799999999813735,10782852.510000001639128
FS( 110 ),3349564.500000000465661,3790179.010000000242144,3371813.700000000186265,10511558.210000000894070
FS( 111 ),3402587.400000000372529,3771962.320000000298023,3385315.700000000186265,10559866.420000001788139
FS( 112 ),3443346.500000000000000,3811253.220000000670552,3371476.149999999906868,10626076.870000001043081
FS( 113 ),3428197.100000000558794,3861617.010000000242144,3419745.800000000279397,10709560.910000002011657
FS( 114 ),3408719.300000000279397,3838042.470000000670552,3404556.049999999813735,10651318.820000000298023
FS( 115 ),3302132.450000000186265,3833756.190000000409782,3426834.350000000093132,10562723.990000000223517
FS( 116 ),3365435.300000000279397,3799465.950000000651926,3413332.350000000093132,10578234.600000001490116
FS( 117 ),3296541.600000000093132,3811967.600000000558794,3450800.399999999906868,10559310.600000001490116
FS( 118 ),3240272.400000000372529,3813396.360000000800937,3438311.049999999813735,10491980.810000002384186
FS( 119 ),3227828.250000000465661,3810896.030000000260770,3465652.600000000093132,10504377.880000000819564
FS( 120 ),3214482.350000000093132,3731242.660000000149012,3457213.850000000093132,10402939.859999999403954
FS( 121 ),3199152.600000000093132,3721598.530000000260770,3447087.350000000093132,10367839.480000000447035
FS( 122 ),3215744.800000000279397,3762318.190000000409782,3449450.199999999720603,10427514.189999999478459
FS( 123 ),3157491.750000000000000,3675878.210000000428408,3424133.949999999720603,10257504.910000000149012
FS( 124 ),3125569.800000000279397,3707668.120000000111759,3441686.549999999813735,10274925.469999998807907
FS( 125 ),3239911.700000000186265,3739100.840000000782311,3461939.550000000279397,10440953.090000001713634
FS( 126 ),3292213.200000000186265,3812324.790000000502914,3524723.850000000093132,10629262.839999999850988
FS( 127 ),3340547.000000000465661,3835542.140000000130385,3548014.799999999813735,10724104.940000001341105
FS( 128 ),3429459.550000000279397,3885191.550000000279397,3580082.050000000279397,10894734.150000000372529
FS( 129 ),3473284.600000000558794,3883405.600000000558794,3629364.350000000093132,10986055.550000000745058
FS( 130 ),3513502.650000000372529,3906980.140000000130385,3643541.449999999720603,11064025.240000000223517
FS( 131 ),3502320.950000000186265,3917695.840000000782311,3673245.849999999627471,11093263.640000000596046
FS( 132 ),3501599.550000000279397,3961630.210000000428408,3667507.500000000000000,11130738.260000001639128
FS( 133 ),3476170.200000000651926,3971988.720000000670552,3681684.599999999627471,11129844.520000001415610
FS( 134 ),3496910.450000000186265,3964487.729999999981374,3684722.549999999813735,11146121.730000000447035
FS( 135 ),3579150.050000000279397,3914838.320000000298023,3701262.500000000000000,11195251.870000001043081
FS( 136 ),3568689.750000000465661,3944127.900000000372529,3700249.850000000093132,11213068.500000000000000
FS( 137 ),3597365.400000000372529,3991276.979999999981374,3723878.349999999627471,11312521.730000000447035
FS( 138 ),3585101.600000000093132,3971988.720000000670552,3751219.899999999906868,11308311.220000000670552
FS( 139 ),3581494.600000000558794,4012351.190000000409782,3754932.949999999720603,11348779.740000000223517
FS( 140 ),3527209.250000000000000,3990562.600000000558794,3737380.350000000093132,11255153.200000001117587
FS( 141 ),3603497.300000000279397,3919481.790000000502914,3718477.549999999813735,11241457.640000000596046
FS( 142 ),3602415.200000000651926,3921267.740000000223517,3716452.250000000000000,11240136.190000001341105
FS( 143 ),3569591.500000000000000,3916624.270000000484288,3729616.699999999720603,11215833.470000000670552
FS( 144 ),3635058.550000000279397,3946628.229999999981374,3734004.850000000093132,11315692.630000000819564
FS( 145 ),3656339.850000000093132,3981990.040000000502914,3767084.750000000000000,11405415.640000000596046
FS( 146 ),3686638.650000000372529,4074859.440000000409782,3791388.349999999627471,11552887.440000001341105
FS( 147 ),3683392.350000000093132,4041640.770000000484288,3779911.649999999906868,11504945.770000001415610
FS( 148 ),3607465.000000000465661,4073787.870000000111759,3804890.350000000093132,11486144.220000000670552
FS( 149 ),3629467.700000000651926,4033068.210000000428408,3810291.149999999906868,11472828.060000000521541
FS( 150 ),3665357.350000000093132,4063072.170000000391155,3813666.649999999906868,11542097.169999999925494
FS( 151 ),3638665.550000000279397,4085575.140000000130385,3845396.350000000093132,11569638.040000000968575
FS( 152 ),3666619.800000000279397,4107363.729999999981374,3868349.750000000000000,11642334.280000001192093
FS( 153 ),3701066.650000000372529,4124866.040000000502914,3881176.649999999906868,11707110.340000001713634
FS( 154 ),3688261.800000000279397,4139510.830000000540167,3873750.550000000279397,11701524.180000001564622
FS( 155 ),3667521.550000000279397,4141296.780000000260770,3868349.750000000000000,11677169.080000000074506
FS( 156 ),3709182.400000000372529,4123437.280000000260770,3872400.350000000093132,11705021.030000001192093
FS( 157 ),3653814.950000000186265,4108078.110000000800937,3844721.250000000000000,11606615.310000000521541
FS( 158 ),3737317.000000000465661,4118436.620000000111759,3808265.849999999627471,11664020.470000000670552
FS( 159 ),3766533.700000000186265,4066644.070000000298023,3783624.700000000186265,11616803.470000000670552
FS( 160 ),3763467.750000000000000,4021995.320000000298023,3780586.750000000000000,11566050.820000000298023
FS( 161 ),3733710.000000000465661,4028067.550000000279397,3788012.850000000093132,11549791.400000000372529
FS( 162 ),3746695.200000000651926,4098076.790000000502914,3815016.850000000093132,11659789.840000001713634
FS( 163 ),3781683.100000000558794,4143439.920000000391155,3789700.600000000093132,11714824.620000001043081
FS( 164 ),3765451.600000000093132,4300960.710000000894070,3782612.050000000279397,11849025.360000001266599
FS( 165 ),3842280.700000000186265,4216306.679999999701977,3725903.649999999906868,11784492.029999999329448
FS( 166 ),3759139.350000000558794,4169514.790000000502914,3692148.649999999906868,11620803.790000000968575
FS( 167 ),3679605.000000000465661,4159156.280000000260770,3692823.750000000000000,11531586.030000001192093
FS( 168 ),3486991.200000000186265,4039140.440000000409782,3571980.849999999627471,11098113.490000000223517
FS( 169 ),3552999.300000000279397,4082003.240000000223517,3620925.600000000093132,11255929.140000000596046
FS( 170 ),3589790.700000000186265,4126294.800000000279397,3652317.750000000000000,11368404.250000000000000
FS( 171 ),3668964.350000000558794,4194875.280000001192093,3663119.350000000093132,11526959.980000002309680
FS( 172 ),3624958.950000000651926,4171300.740000000223517,3621263.149999999906868,11417523.840000001713634
FS( 173 ),3615761.100000000093132,4144511.490000000223517,3548352.350000000093132,11308625.939999999478459
FS( 174 ),3768878.250000000465661,4188088.670000000391155,3625651.299999999813735,11582619.220000000670552
FS( 175 ),3656700.550000000279397,4135938.930000000633299,3584807.750000000000000,11377448.230000000447035
FS( 176 ),3638485.200000000651926,4193089.330000000540167,3803877.699999999720603,11635453.230000000447035
FS( 177 ),3724331.800000000279397,4257026.339999999850988,3814004.199999999720603,11795363.339999999850988
FS( 178 ),3793766.550000000279397,4294888.480000000447035,3841683.300000000279397,11930339.330000001937151
FS( 179 ),3793946.900000000372529,4247025.020000001415610,3782274.500000000000000,11823247.420000001788139
FS( 180 ),3835066.700000000186265,4257740.720000000670552,3781261.850000000093132,11874070.270000001415610
FS( 181 ),3831820.400000000372529,4265598.900000000372529,3777548.799999999813735,11874969.100000001490116
FS( 182 ),3654716.700000000186265,4190589.000000000000000,3741093.399999999906868,11586400.099999999627471
FS( 183 ),3724151.450000000651926,4262027.000000000000000,3780249.199999999720603,11766428.650000000372529
FS( 184 ),3682129.900000000372529,4305961.370000001043081,3794763.850000000093132,11782856.120000001043081
FS( 185 ),3706837.850000000093132,4336322.520000001415610,3804890.350000000093132,11848051.720000000670552
FS( 186 ),3769599.649999999906868,4328464.339999999850988,3850797.149999999906868,11948862.140000000596046
FS( 187 ),3764730.200000000651926,4294531.290000000968575,3856873.050000000279397,11916135.540000002831221
FS( 188 ),3709903.800000000279397,4334893.759999999776483,3869699.950000000186265,11914498.510000001639128
FS( 189 ),3772845.950000000186265,4400973.910000000149012,3912568.799999999813735,12086389.660000000149012
FS( 190 ),3846609.100000000093132,4384900.360000001266599,3896703.949999999720603,12128214.410000000149012
FS( 191 ),3846248.399999999906868,4388829.450000001117587,3872737.899999999906868,12107816.750000001862645
FS( 192 ),3862660.250000000000000,4363826.150000000372529,3926745.899999999906868,12153233.300000000745058
FS( 193 ),3908288.800000000279397,4282029.640000000596046,3917294.500000000000000,12107613.940000001341105
FS( 194 ),4032549.950000000186265,4331679.050000000745058,3916281.850000000093132,12280511.850000001490116
FS( 195 ),4023532.450000000186265,4385257.550000000745058,3946661.350000000093132,12355452.349999999627471
FS( 196 ),3945260.550000000279397,4362040.200000001117587,3963876.400000000372529,12271178.150000002235174
FS( 197 ),3966000.800000000279397,4277386.169999999925494,3901092.099999999627471,12144480.070000000298023
FS( 198 ),3980428.800000000279397,4327749.960000000894070,3932821.800000000279397,12241001.560000002384186
FS( 199 ),4017761.250000000465661,4336679.710000000894070,3954762.549999999813735,12309204.510000001639128
FS( 200 ),3985117.900000000372529,4354182.020000001415610,3953074.799999999813735,12292375.720000002533197
FS( 201 ),3926864.850000000093132,4366326.480000000447035,3948686.649999999906868,12241878.980000000447035
FS( 202 ),3944719.500000000465661,4401331.099999999627471,3970289.850000000093132,12316341.449999999254942
FS( 203 ),3925963.100000000558794,4415261.509999999776483,3996618.750000000000000,12337844.359999999403954
FS( 204 ),3986380.350000000093132,4394187.300000000745058,3998981.600000000093132,12379550.250000000000000
FS( 205 ),3965820.450000000186265,4440264.810000000521541,3993243.250000000000000,12399329.510000001639128
FS( 206 ),3946523.000000000000000,4449551.750000000000000,3998306.500000000000000,12394382.250000000000000
FS( 207 ),4039403.250000000465661,4442765.140000000596046,4006070.150000000372529,12488239.540000000968575
FS( 208 ),4050584.950000000186265,4423834.070000000298023,3978053.500000000000000,12452473.519999999552965
FS( 209 ),3949047.900000000372529,4324892.439999999478459,3919657.350000000093132,12193598.689999999478459
FS( 210 ),3982593.000000000000000,4348466.980000000447035,3926070.800000000279397,12257131.780000001192093
FS( 211 ),4094229.649999999906868,4429191.919999999925494,3988517.549999999813735,12511940.120000001043081
FS( 212 ),4095131.400000000372529,4387757.880000000819564,3957125.399999999906868,12440015.680000001564622
FS( 213 ),4047158.300000000279397,4319534.589999999850988,3968939.649999999906868,12335633.540000000968575
FS( 214 ),4094590.350000000093132,4357039.540000000968575,4014508.900000000372529,12466139.790000000968575
FS( 215 ),4149777.450000000186265,4355610.780000001192093,4037462.299999999813735,12542851.530000001192093
FS( 216 ),4260151.650000000372529,4325249.630000000819564,4058727.949999999720603,12644130.230000000447035
FS( 217 ),4254019.750000000000000,4288101.870000001043081,4022610.100000000093132,12564732.720000000670552
FS( 218 ),4244100.500000000000000,4186302.720000000670552,4034761.899999999906868,12465166.120000001043081
FS( 219 ),4226967.250000000000000,4198089.990000000223517,4031048.850000000093132,12456107.089999999850988
FS( 220 ),4243379.099999999627471,4165942.890000000130385,4045225.950000000186265,12454548.940000001341105
FS( 221 ),4263758.650000000372529,4195946.849999999627471,4021597.450000000186265,12481303.949999999254942
FS( 222 ),4337702.150000000372529,4253454.439999999478459,4041850.449999999720603,12633008.039999999105930
FS( 223 ),4327782.900000000372529,4364183.339999999850988,4036449.649999999906868,12728416.890000000596046
FS( 224 ),4385855.599999999627471,4393472.919999999925494,4028686.000000000000000,12808015.519999999552965
FS( 225 ),4393069.599999999627471,4457409.929999999701977,4020247.250000000000000,12870727.779999999329448
FS( 226 ),4447174.599999999627471,4402402.669999999925494,4018221.950000000186265,12867800.219999998807907
FS( 227 ),4491721.050000000745058,4410618.040000000968575,4024297.850000000093132,12926637.940000001341105
FS( 228 ),4387839.449999999254942,4414904.320000000298023,3954425.000000000000000,12757169.769999999552965
FS( 229 ),4387298.400000000372529,4462767.780000001192093,3986492.250000000000000,12836559.430000001564622
FS( 230 ),4486490.900000000372529,4447408.610000001266599,3958138.050000000279397,12892038.560000002384186
FS( 231 ),4613818.000000000000000,4424548.450000001117587,3970289.850000000093132,13008657.300000000745058
FS( 232 ),4644116.800000000745058,4253097.250000000000000,3968602.099999999627471,12865817.150000000372529
FS( 233 ),4637443.849999999627471,4247025.020000001415610,4012146.049999999813735,12896615.920000001788139
FS( 234 ),4639427.700000001117587,4297746.000000000000000,4033749.250000000000000,12970923.950000001117587
FS( 235 ),4678924.349999999627471,4297746.000000000000000,4058390.399999999906868,13035061.750000000000000
FS( 236 ),4691729.199999999254942,4275600.220000000670552,4031723.949999999720603,12999054.369999999180436
FS( 237 ),4728881.300000000745058,4262384.189999999478459,4018221.950000000186265,13009488.440000001341105
FS( 238 ),4724552.900000000372529,4260241.050000000745058,4020922.350000000093132,13005717.300000000745058
FS( 239 ),4769820.750000000000000,4309533.270000001415610,4083706.649999999906868,13163061.670000001788139
FS( 240 ),4736816.699999999254942,4304175.419999999925494,4072567.500000000000000,13113560.619999999180436
FS( 241 ),4793085.900000000372529,4305604.179999999701977,4012483.600000000093132,13111174.679999999701977
FS( 242 ),4817252.800000000745058,4353824.830000000074506,4059065.500000000000000,13230144.130000000819564
FS( 243 ),4802644.450000001117587,4337036.900000000372529,4046913.700000000186265,13186596.050000000745058
FS( 244 ),4746735.950000001117587,4368112.429999999701977,4021259.899999999906868,13136109.280000001192093
FS( 245 ),4725454.650000000372529,4298460.380000000819564,4045901.049999999813735,13069817.080000001937151
FS( 246 ),4721306.599999999627471,4296674.429999999701977,4029023.549999999813735,13047005.579999998211861
FS( 247 ),4804087.250000000000000,4304532.610000001266599,4014171.350000000093132,13122792.210000000894070
FS( 248 ),4766574.450000001117587,4367040.860000001266599,4023285.199999999720603,13156901.510000001639128
FS( 249 ),4830598.699999999254942,4349181.360000001266599,4008770.550000000279397,13188551.610000001266599
FS( 250 ),4819958.050000000745058,4359897.060000000521541,4019909.700000000186265,13199765.810000002384186
