代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14242937.059999998658895
真實報酬,4242937.059999998658895

夏普值報酬,0.415593706000000
夏普值風險,0.115046009148326
夏普值,3.612413060449438

二次趨勢線,69.390140564662687 x^2 + -67.776810237166387 x + 10000000.000000000000000
二次加權預期報酬,23293.570513199269044
風險,188959.809827093733475
二次加權趨勢值,0.123272618312401
一次趨勢線,13072.929531863746888 x + 10000000.000000000000000
一次預期報酬,13072.929531863746888
一次風險,529940.111889385501854
一次趨勢值,0.024668692251385
找到最佳解世代,2611
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),BA[2](2),MCD[15](3),
FS( 38 ),3295416.520000000484288,3505522.569999999832362,3481729.470000000204891,10282669.560000000521541
FS( 39 ),3272734.340000000316650,3555887.359999999869615,3326227.459999999962747,10154850.160000000149012
FS( 40 ),3485337.460000000428408,3585156.950000000186265,3265283.790000000037253,10335779.199999999254942
FS( 41 ),3532394.520000000484288,3507368.399999999906868,3263644.050000000279397,10303407.970000000670552
FS( 42 ),3527993.500000000000000,3524508.250000000000000,3215271.720000000204891,10267774.470000000670552
FS( 43 ),3590284.859999999869615,3512642.200000000186265,3225110.160000000149012,10328038.220000000670552
FS( 44 ),3537134.080000000074506,3470188.109999999869615,3216638.170000000391155,10223961.359999999403954
FS( 45 ),3581482.820000000298023,3477307.740000000223517,3211718.950000000186265,10270510.510000001639128
FS( 46 ),3584191.140000000130385,3459904.200000000186265,3233035.569999999832362,10277131.910000000149012
FS( 47 ),3638696.080000000074506,3473616.079999999608845,3257904.959999999962747,10370218.120000001043081
FS( 48 ),3668826.140000000130385,3485745.819999999832362,3232762.280000000260770,10387335.240000000223517
FS( 49 ),3683721.900000000372529,3497084.490000000223517,3233308.860000000335276,10414116.250000000000000
FS( 50 ),3656300.160000000149012,3488119.029999999795109,3246700.069999999832362,10391120.259999999776483
FS( 51 ),3653930.380000000353903,3507104.709999999962747,3262550.890000000130385,10423586.980000000447035
FS( 52 ),3662393.880000000353903,3509741.609999999869615,3266376.950000000186265,10438513.440000001341105
FS( 53 ),3706404.080000000074506,3550877.250000000000000,3239047.950000000186265,10496330.280000001192093
FS( 54 ),3703018.680000000167638,3559842.709999999962747,3223197.129999999888241,10486059.519999999552965
FS( 55 ),3697602.040000000037253,3552459.390000000130385,3200240.770000000018626,10450303.199999999254942
FS( 56 ),3692862.479999999981374,3559842.709999999962747,3201060.640000000130385,10453766.830000000074506
FS( 57 ),3702341.600000000093132,3545076.069999999832362,3143123.160000000149012,10390541.830000000074506
FS( 58 ),3673565.700000000186265,3559579.020000000018626,3154328.050000000279397,10387473.770000001415610
FS( 59 ),3685076.060000000055879,3537165.369999999646097,3148042.379999999888241,10370284.809999998658895
FS( 60 ),3657315.780000000260770,3514751.719999999739230,3139297.100000000093132,10311365.599999999627471
FS( 61 ),3641742.939999999944121,3506577.329999999608845,3154601.340000000316650,10302922.609999999403954
FS( 62 ),3620414.919999999925494,3486800.579999999608845,3127545.629999999888241,10234762.129999998956919
FS( 63 ),3616352.439999999944121,3504467.810000000055879,3154054.760000000242144,10274876.009999999776483
FS( 64 ),3588592.160000000149012,3449356.600000000093132,3152688.310000000055879,10190638.070000000298023
FS( 65 ),3591977.560000000055879,3413494.759999999776483,3160887.010000000242144,10166360.330000000074506
FS( 66 ),3613305.580000000074506,3425360.810000000055879,3153781.470000000204891,10192448.860000001266599
FS( 67 ),3647159.580000000074506,3458585.750000000000000,3165532.939999999944121,10271279.269999999552965
FS( 68 ),3646143.960000000428408,3506841.020000000018626,3204340.120000000111759,10357326.100000001490116
FS( 69 ),3668487.600000000093132,3497611.869999999646097,3195321.550000000279397,10361422.019999999552965
FS( 70 ),3572342.240000000223517,3504467.810000000055879,3174824.800000000279397,10251635.850000001490116
FS( 71 ),3491431.180000000167638,3389235.279999999795109,3131371.689999999944121,10012039.150000000372529
FS( 72 ),3569633.919999999925494,3431161.990000000223517,3168812.420000000391155,10169609.330000000074506
FS( 73 ),3654607.460000000428408,3395300.149999999906868,3135471.040000000037253,10185379.650000000372529
FS( 74 ),3783929.740000000223517,3366557.939999999944121,3147769.090000000316650,10298257.769999999552965
FS( 75 ),3912574.939999999944121,3369194.839999999850988,3174004.930000000167638,10455775.709999999031425
FS( 76 ),3890569.840000000316650,3340980.010000000242144,3150501.990000000223517,10382052.839999999850988
FS( 77 ),3845205.479999999981374,3361547.830000000074506,3148588.959999999962747,10355343.269999999552965
FS( 78 ),3844866.939999999944121,3369722.220000000204891,3182476.920000000391155,10397067.080000000074506
FS( 79 ),3844189.859999999869615,3442764.350000000093132,3195594.840000000316650,10482550.050000000745058
FS( 80 ),3880413.640000000130385,3477307.740000000223517,3207346.310000000055879,10565068.690000001341105
FS( 81 ),3815752.500000000000000,3474934.529999999795109,3202153.800000000279397,10492841.830000000074506
FS( 82 ),3821507.680000000167638,3443028.039999999571592,3184663.240000000223517,10449199.960000000894070
FS( 83 ),3828617.020000000484288,3462804.789999999571592,3194228.390000000130385,10485651.200000001117587
FS( 84 ),3857731.460000000428408,3486800.579999999608845,3147769.090000000316650,10492302.130000000819564
FS( 85 ),3797809.880000000353903,3455157.779999999795109,3137110.780000000260770,10390079.440000001341105
FS( 86 ),3827262.859999999869615,3473879.770000000018626,3152688.310000000055879,10453831.939999999478459
FS( 87 ),3809320.240000000223517,3490755.929999999701977,3133011.430000000167638,10433088.599999999627471
FS( 88 ),3825570.160000000149012,3487327.959999999962747,3101856.370000000111759,10414755.490000000223517
FS( 89 ),3827262.859999999869615,3550877.250000000000000,3099396.760000000242144,10477537.869999999180436
FS( 90 ),3855700.220000000204891,3544548.689999999478459,3113334.550000000279397,10513584.460000000894070
FS( 91 ),3861455.400000000372529,3529518.359999999869615,3100489.920000000391155,10491464.679999999701977
FS( 92 ),3928824.859999999869615,3581992.669999999925494,3134924.459999999962747,10645742.989999998360872
FS( 93 ),3937288.359999999869615,3526617.770000000018626,3106775.590000000316650,10570682.720000000670552
FS( 94 ),3972496.520000000484288,3511323.750000000000000,3134924.459999999962747,10618745.730000000447035
FS( 95 ),3960309.080000000074506,3517124.929999999701977,3154054.760000000242144,10631489.769999999552965
FS( 96 ),3982314.180000000167638,3520289.209999999962747,3117980.479999999981374,10620584.870000001043081
FS( 97 ),3979605.859999999869615,3533473.709999999962747,3072067.760000000242144,10585148.330000000074506
FS( 98 ),3976897.540000000037253,3562479.609999999869615,3040366.120000000111759,10579744.269999999552965
FS( 99 ),3965048.640000000130385,3590958.130000000353903,3040639.410000000149012,10596647.179999999701977
FS( 100 ),3963017.400000000372529,3581992.669999999925494,3021782.399999999906868,10566793.470000000670552
FS( 101 ),3947444.560000000055879,3576455.179999999701977,3113607.840000000316650,10637508.580000000074506
FS( 102 ),3982991.260000000242144,3624446.759999999776483,3103769.399999999906868,10711208.419999999925494
FS( 103 ),4003303.660000000149012,3665846.090000000316650,3080539.750000000000000,10749690.500000000000000
FS( 104 ),3913252.020000000484288,3837771.969999999739230,3063869.060000000055879,10814894.050000000745058
FS( 105 ),3875674.080000000074506,3778969.100000000093132,3063049.189999999944121,10717693.369999999180436
FS( 106 ),3849945.040000000037253,3771058.399999999906868,3063595.770000000018626,10684600.209999999031425
FS( 107 ),3843851.320000000298023,3755764.380000000353903,3076440.399999999906868,10676057.100000001490116
FS( 108 ),3774450.620000000111759,3755237.000000000000000,3067695.120000000111759,10597383.740000000223517
FS( 109 ),3777836.020000000484288,3711464.459999999962747,3071521.180000000167638,10560822.660000000149012
FS( 110 ),3718252.979999999981374,3692215.090000000316650,3053210.750000000000000,10463679.820000000298023
FS( 111 ),3684737.520000000484288,3679557.969999999739230,3034627.030000000260770,10398923.519999999552965
FS( 112 ),3737888.299999999813735,3771585.779999999795109,3083272.649999999906868,10592747.730000000447035
FS( 113 ),3759893.400000000372529,3749699.509999999776483,3118527.060000000055879,10628120.970000000670552
FS( 114 ),3753799.680000000167638,3825905.919999999925494,3142303.290000000037253,10722009.890000000596046
FS( 115 ),3649190.820000000298023,3894465.319999999832362,3129458.660000000149012,10673115.800000000745058
FS( 116 ),3670857.380000000353903,3916351.590000000316650,3121533.250000000000000,10708743.220000000670552
FS( 117 ),3578774.500000000000000,3955114.020000000018626,3221010.810000000055879,10754900.330000000074506
FS( 118 ),3626170.100000000093132,3905540.300000000279397,3233582.149999999906868,10765293.550000000745058
FS( 119 ),3723669.620000000111759,3861504.069999999832362,3257904.959999999962747,10843079.649999998509884
FS( 120 ),3722315.460000000428408,3832234.480000000447035,3264463.920000000391155,10819014.860000001266599
FS( 121 ),3726039.400000000372529,3859130.859999999869615,3279494.870000000111759,10864666.129999998956919
FS( 122 ),3782575.580000000074506,3876798.090000000316650,3265830.370000000111759,10925205.039999999105930
FS( 123 ),3784945.359999999869615,3942720.590000000316650,3271022.879999999888241,10998689.830000000074506
FS( 124 ),3765648.580000000074506,3948521.770000000018626,3283320.930000000167638,10997492.279999999329448
FS( 125 ),3784606.820000000298023,3956432.469999999739230,3297532.010000000242144,11038572.300000000745058
FS( 126 ),3777158.939999999944121,3949312.840000000316650,3329233.649999999906868,11055706.429999999701977
FS( 127 ),3773435.000000000000000,3998622.869999999646097,3298078.590000000316650,11070137.459999999031425
FS( 128 ),3741612.240000000223517,3970144.350000000093132,3259544.700000000186265,10971302.289999999105930
FS( 129 ),3706742.620000000111759,4018399.619999999646097,3237681.500000000000000,10962824.740000000223517
FS( 130 ),3720622.760000000242144,4014707.959999999962747,3231395.830000000074506,10966727.550000000745058
FS( 131 ),3693878.100000000093132,4012334.750000000000000,3260091.280000000260770,10966305.129999998956919
FS( 132 ),3722315.460000000428408,4014444.270000000018626,3258998.120000000111759,10995758.850000001490116
FS( 133 ),3758877.780000000260770,4064545.369999999646097,3277308.550000000279397,11100732.700000001117587
FS( 134 ),3795778.640000000130385,4097506.619999999646097,3291792.920000000391155,11185079.179999999701977
FS( 135 ),3857731.460000000428408,4126512.520000000018626,3313929.410000000149012,11298174.390000000596046
FS( 136 ),3835726.359999999869615,4144179.750000000000000,3327047.330000000074506,11306954.439999999478459
FS( 137 ),3899710.419999999925494,4130995.250000000000000,3352736.590000000316650,11383443.259999999776483
FS( 138 ),3899710.419999999925494,4073247.140000000130385,3357109.229999999981374,11330067.790000000968575
FS( 139 ),3921038.439999999944121,4054788.840000000316650,3343991.310000000055879,11319819.589999999850988
FS( 140 ),3926116.540000000037253,4074038.209999999962747,3368040.830000000074506,11368196.580000000074506
FS( 141 ),3948798.720000000204891,4118338.130000000353903,3361208.580000000074506,11428346.429999999701977
FS( 142 ),3959293.460000000428408,4123875.619999999646097,3370500.439999999944121,11453670.519999999552965
FS( 143 ),3963017.400000000372529,4152617.829999999608845,3366401.090000000316650,11482037.320000000298023
FS( 144 ),3936949.820000000298023,4152090.450000000186265,3381158.750000000000000,11470200.019999999552965
FS( 145 ),3944736.240000000223517,4161319.600000000093132,3365307.930000000167638,11471364.769999999552965
FS( 146 ),3969788.200000000186265,4152617.829999999608845,3363394.899999999906868,11485801.929999999701977
FS( 147 ),3952861.200000000186265,4116228.609999999869615,3352736.590000000316650,11421827.400000000372529
FS( 148 ),3951845.580000000074506,4105417.319999999832362,3355742.780000000260770,11413006.679999999701977
FS( 149 ),3921038.439999999944121,4105153.630000000353903,3326500.750000000000000,11352693.820000000298023
FS( 150 ),3932210.260000000242144,4139169.640000000130385,3269109.850000000093132,11340490.750000000000000
FS( 151 ),3927809.240000000223517,4182678.490000000223517,3265283.790000000037253,11375772.519999999552965
FS( 152 ),3947783.100000000093132,4185051.700000000186265,3271296.170000000391155,11404131.970000000670552
FS( 153 ),3991793.299999999813735,4195335.609999999403954,3300264.910000000149012,11487394.820000000298023
FS( 154 ),4028355.620000000111759,4174767.789999999571592,3291246.340000000316650,11494370.750000000000000
FS( 155 ),4032418.100000000093132,4194544.540000000037253,3286327.120000000111759,11513290.760000001639128
FS( 156 ),4054084.660000000149012,4203246.310000000521541,3303544.390000000130385,11560876.360000001266599
FS( 157 ),4037157.660000000149012,4173976.719999999739230,3336885.770000000018626,11548021.150000000372529
FS( 158 ),4030048.320000000298023,4188215.980000000447035,3320488.370000000111759,11538753.670000001788139
FS( 159 ),4062548.160000000149012,4157627.939999999478459,3354649.620000000111759,11574826.719999998807907
FS( 160 ),4062209.620000000111759,4174767.789999999571592,3353556.459999999962747,11590534.870000001043081
FS( 161 ),4055100.280000000260770,4192698.709999999962747,3339072.090000000316650,11586872.080000000074506
FS( 162 ),4062548.160000000149012,4206674.280000000260770,3341258.410000000149012,11610481.850000001490116
FS( 163 ),4065256.479999999981374,4162110.669999999925494,3317208.890000000130385,11544577.040000000968575
FS( 164 ),4061532.540000000037253,4233570.660000000149012,3308190.319999999832362,11603294.519999999552965
FS( 165 ),4126193.680000000167638,4413143.550000000745058,3328413.780000000260770,11867752.010000001639128
FS( 166 ),4128224.919999999925494,4459552.990000000223517,3330873.390000000130385,11918652.300000000745058
FS( 167 ),4128563.460000000428408,4422109.009999999776483,3357655.810000000055879,11908329.280000001192093
FS( 168 ),4117730.180000000167638,4365943.040000000037253,3362028.450000000186265,11845702.670000001788139
FS( 169 ),4108251.060000000055879,4309249.689999999478459,3349730.399999999906868,11767232.150000000372529
FS( 170 ),4358770.660000000149012,4323752.639999999664724,3345631.050000000279397,12028155.350000001490116
FS( 171 ),4351322.780000000260770,4278661.649999999441206,3367494.250000000000000,11997479.679999999701977
FS( 172 ),4369942.480000000447035,4282353.310000000521541,3395369.830000000074506,12047666.620000001043081
FS( 173 ),4410905.820000000298023,4324016.330000000074506,3401108.920000000391155,12136032.070000000298023
FS( 174 ),4452884.780000000260770,4390466.209999999962747,3404934.979999999981374,12248286.970000000670552
FS( 175 ),4470150.320000000298023,4319533.599999999627471,3407121.300000000279397,12196806.220000000670552
FS( 176 ),4483014.839999999850988,4331927.030000000260770,3401928.790000000037253,12216871.660000000149012
FS( 177 ),4472858.640000000596046,4383346.580000000074506,3438549.649999999906868,12294755.870000001043081
FS( 178 ),4512467.820000000298023,4430810.780000000260770,3430897.530000000260770,12374177.130000002682209
FS( 179 ),4571035.240000000223517,4443204.209999999962747,3438276.360000000335276,12452516.809999998658895
FS( 180 ),4587623.700000000186265,4464299.410000000149012,3456586.790000000037253,12508510.899999998509884
FS( 181 ),4582207.059999999590218,4504116.599999999627471,3462599.170000000391155,12548923.830000000074506
FS( 182 ),4594733.040000000037253,4554217.700000000186265,3492661.069999999832362,12641612.810000000521541
FS( 183 ),4627909.959999999962747,4629369.349999999627471,3499220.029999999795109,12756500.339999997988343
FS( 184 ),4641790.100000000558794,4624095.550000000745058,3494027.520000000018626,12759914.170000001788139
FS( 185 ),4622154.780000000260770,4663649.050000000745058,3505505.700000000186265,12791310.530000001192093
FS( 186 ),4626555.799999999813735,4678943.070000000298023,3515890.720000000204891,12821390.590000001713634
FS( 187 ),4635696.380000000819564,4731417.379999999888241,3470524.580000000074506,12837639.340000001713634
FS( 188 ),4637727.620000000111759,4752512.580000000074506,3488561.720000000204891,12878802.919999999925494
FS( 189 ),4732518.820000000298023,4849550.500000000000000,3526822.320000000298023,13108892.640000000596046
FS( 190 ),4704420.000000000000000,4825291.020000000484288,3504412.540000000037253,13034124.559999998658895
FS( 191 ),4732180.280000000260770,4803932.129999999888241,3495393.970000000204891,13031507.380000000819564
FS( 192 ),4717284.520000000484288,4770970.879999999888241,3498946.740000000223517,12987203.140000000596046
FS( 193 ),4723378.240000000223517,4799713.089999999850988,3500039.899999999906868,13023132.230000000447035
FS( 194 ),4705774.160000000149012,4792329.770000000484288,3500586.479999999981374,12998691.410000000149012
FS( 195 ),4694940.880000000819564,4761478.040000000037253,3501952.929999999701977,12958372.850000001490116
FS( 196 ),4710513.719999999739230,4712168.009999999776483,3497580.290000000037253,12920263.019999999552965
FS( 197 ),4712544.959999999962747,4721397.160000000149012,3487468.560000000055879,12921411.680000001564622
FS( 198 ),4705435.620000000111759,4712959.080000000074506,3492661.069999999832362,12911056.769999999552965
FS( 199 ),4755201.000000000000000,4712431.700000000186265,3494847.390000000130385,12962481.089999999850988
FS( 200 ),4762987.419999999925494,4698719.820000000298023,3497580.290000000037253,12959288.530000001192093
FS( 201 ),4739289.620000000111759,4749084.609999999403954,3515617.429999999701977,13003992.660000000149012
FS( 202 ),4789055.000000000000000,4730362.619999999180436,3519443.490000000223517,13038862.109999999403954
FS( 203 ),4734211.520000000484288,4639916.950000000186265,3512337.950000000186265,12886467.420000001788139
FS( 204 ),4787700.839999999850988,4666813.330000000074506,3528188.770000000018626,12982703.939999999478459
FS( 205 ),4770773.839999999850988,4674196.649999999441206,3525455.870000000111759,12970427.359999999403954
FS( 206 ),4761294.719999999739230,4636225.290000000037253,3534747.729999999981374,12932268.740000000223517
FS( 207 ),4769419.679999999701977,4643608.609999999403954,3538847.080000000540167,12951876.369999999180436
FS( 208 ),4868273.360000000335276,4676833.550000000745058,3537753.919999999925494,13082861.830000000074506
FS( 209 ),4879106.640000000596046,4683953.179999999701977,3521083.229999999981374,13084144.050000000745058
FS( 210 ),4872674.380000000819564,4693182.330000000074506,3534201.149999999906868,13100058.860000001266599
FS( 211 ),4863533.799999999813735,4663649.050000000745058,3542126.560000000521541,13069310.410000002011657
FS( 212 ),4864887.959999999962747,4658111.560000000521541,3542126.560000000521541,13065127.080000000074506
FS( 213 ),4901111.740000000223517,4712168.009999999776483,3533381.279999999795109,13146662.029999999329448
FS( 214 ),4875721.240000000223517,4669450.230000000447035,3563989.760000000242144,13109162.230000000447035
FS( 215 ),4863533.799999999813735,4677097.240000000223517,3556884.220000000204891,13097516.259999999776483
FS( 216 ),4852700.520000000484288,4716123.359999999403954,3551691.710000000428408,13120516.589999999850988
FS( 217 ),4846945.339999999850988,4682107.349999999627471,3552238.290000000037253,13081291.980000000447035
FS( 218 ),4794810.179999999701977,4708740.040000000037253,3585579.669999999925494,13089130.889999998733401
FS( 219 ),4800565.360000000335276,4642290.160000000149012,3587219.409999999683350,13030075.929999999701977
FS( 220 ),4775174.860000000335276,4630951.490000000223517,3573554.909999999683350,12979682.260000001639128
FS( 221 ),4801580.980000000447035,4720606.089999999850988,3589679.020000000018626,13111867.089999999850988
FS( 222 ),4780252.959999999962747,4689754.359999999403954,3615641.570000000298023,13085649.890000000596046
FS( 223 ),4762648.880000000819564,4704257.310000000521541,3624933.429999999701977,13091840.620000001043081
FS( 224 ),4822231.919999999925494,4727989.410000000149012,3642150.700000000186265,13192373.030000001192093
FS( 225 ),4816476.740000000223517,4756467.929999999701977,3645976.760000000242144,13218922.429999999701977
FS( 226 ),4862856.719999999739230,4800767.849999999627471,3668386.540000000037253,13332012.109999999403954
FS( 227 ),4892986.780000000260770,4839002.899999999441206,3872534.169999999925494,13604524.849999999627471
FS( 228 ),4864210.880000000819564,4791538.700000000186265,3849031.229999999981374,13504781.810000002384186
FS( 229 ),4867934.820000000298023,4831355.889999999664724,3849851.100000000093132,13549142.810000000521541
FS( 230 ),4863195.260000000707805,4873809.980000000447035,3824161.840000000316650,13561168.080000001937151
FS( 231 ),4962387.480000000447035,4809469.619999999180436,3857503.220000000204891,13629361.320000000298023
FS( 232 ),4993871.700000000186265,4837157.070000000298023,3859689.540000000037253,13690719.309999998658895
FS( 233 ),4978637.400000000372529,4835838.619999999180436,3897676.850000000093132,13712153.869999999180436
FS( 234 ),4960694.780000000260770,4827400.540000000037253,3920359.919999999925494,13708456.240000000223517
FS( 235 ),5042960.000000000000000,4878556.399999999441206,3934297.710000000428408,13855815.109999999403954
FS( 236 ),5180068.700000000186265,4905189.089999999850988,3941949.830000000540167,14027208.619999999180436
FS( 237 ),5213245.620000000111759,4928657.500000000000000,3945229.310000000521541,14087133.430000001564622
FS( 238 ),5188532.200000000186265,4830301.129999999888241,3949601.950000000186265,13968436.280000001192093
FS( 239 ),5211891.459999999962747,4850341.570000000298023,3941129.960000000428408,14003363.990000002086163
FS( 240 ),5284677.559999999590218,4832146.959999999962747,3972558.310000000521541,14089383.830000000074506
FS( 241 ),5271135.959999999962747,4809469.619999999180436,3997700.990000000223517,14078307.569999998435378
FS( 242 ),5263349.540000000037253,4817644.009999999776483,4025303.279999999795109,14106297.830000000074506
FS( 243 ),5086631.660000000149012,4714277.530000000260770,4001253.760000000242144,13802163.950000001117587
FS( 244 ),5164157.320000000298023,4677888.310000000521541,4017651.159999999683350,13859697.790000000968575
FS( 245 ),5181761.400000000372529,4766488.149999999441206,4048806.220000000204891,13997056.770000001415610
FS( 246 ),5213245.620000000111759,4843221.939999999478459,4049899.379999999888241,14106367.939999997615814
FS( 247 ),5206813.360000000335276,4838475.520000000484288,4039787.649999999906868,14085077.530000001192093
FS( 248 ),5191240.520000000484288,4884884.959999999962747,4085700.370000000111759,14161826.850000001490116
FS( 249 ),5209183.140000000596046,4932876.540000000037253,4093352.490000000223517,14235413.169999999925494
FS( 250 ),5200381.100000000558794,4920219.419999999925494,4095538.810000000521541,14216140.330000000074506
FS( 251 ),5202412.339999999850988,4927866.429999999701977,4097451.840000000316650,14227731.609999999403954
FS( 252 ),5171605.200000000186265,4947643.179999999701977,4123687.679999999701977,14242937.059999998658895
