代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13109413.820000000298023
真實報酬,3109413.820000000298023

夏普值報酬,0.302241382000000
夏普值風險,0.090319539686094
夏普值,3.346356536475290

二次趨勢線,86.022282062432637 x^2 + -10357.042078397054865 x + 10000000.000000000000000
二次加權預期報酬,18718.489258705176326
風險,229547.770624192053219
二次加權趨勢值,0.081545071022931
一次趨勢線,5997.880672774675077 x + 10000000.000000000000000
一次預期報酬,5997.880672774675077
一次風險,659861.697045864071697
一次趨勢值,0.009089602714670
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),CSCO[4](3),HD[9](4),MCD[15](1),
FS( 33 ),2379259.000000000000000,2312769.780000000260770,2573448.640000000130385,2572772.759999999776483,9838250.179999999701977
FS( 34 ),2343688.000000000000000,2293912.060000000055879,2595891.280000000260770,2583121.179999999701977,9816612.519999999552965
FS( 35 ),2375251.000000000000000,2253502.660000000149012,2568008.000000000000000,2570436.020000000018626,9767197.679999999701977
FS( 36 ),2418337.000000000000000,2237338.899999999906868,2568688.080000000074506,2557083.219999999739230,9781447.199999999254942
FS( 37 ),2450902.000000000000000,2280442.260000000242144,2580249.439999999944121,2617170.820000000298023,9928764.519999999552965
FS( 38 ),2510020.000000000000000,2281789.240000000223517,2570728.319999999832362,2567431.640000000130385,9929969.200000001117587
FS( 39 ),2526553.000000000000000,2303340.920000000391155,2554406.399999999906868,2574775.679999999701977,9959076.000000000000000
FS( 40 ),2508016.000000000000000,2359914.080000000074506,2530603.600000000093132,2568433.100000000093132,9966966.779999999329448
FS( 41 ),2506012.000000000000000,2315463.740000000223517,2538084.479999999981374,2599478.360000000335276,9959038.580000001937151
FS( 42 ),2481964.000000000000000,2328933.540000000037253,2548285.679999999701977,2604819.479999999981374,9964002.699999999254942
FS( 43 ),2506012.000000000000000,2359914.080000000074506,2526523.119999999646097,2614166.439999999944121,10006615.639999998733401
FS( 44 ),2478457.000000000000000,2367995.959999999962747,2540124.720000000204891,2625182.500000000000000,10011760.179999999701977
FS( 45 ),2491984.000000000000000,2345097.300000000279397,2540124.720000000204891,2635197.100000000093132,10012403.120000001043081
FS( 46 ),2502004.000000000000000,2353179.180000000167638,2529243.439999999944121,2639536.759999999776483,10023963.379999998956919
FS( 47 ),2481964.000000000000000,2354526.160000000149012,2517002.000000000000000,2623847.219999999739230,9977339.379999998956919
FS( 48 ),2480962.000000000000000,2365302.000000000000000,2515641.839999999850988,2627185.419999999925494,9989091.259999999776483
FS( 49 ),2487976.000000000000000,2370689.920000000391155,2513601.600000000093132,2647548.439999999944121,10019815.959999999031425
FS( 50 ),2501002.000000000000000,2396282.540000000037253,2534684.080000000074506,2660901.239999999757856,10092869.859999999403954
FS( 51 ),2484970.000000000000000,2394935.560000000055879,2531963.759999999776483,2654224.840000000316650,10066094.160000000149012
FS( 52 ),2480461.000000000000000,2280442.260000000242144,2536044.239999999757856,2692614.140000000130385,9989561.640000000596046
FS( 53 ),2436874.000000000000000,2273707.359999999869615,2517002.000000000000000,2695284.699999999720603,9922868.059999998658895
FS( 54 ),2385271.000000000000000,2235991.920000000391155,2514961.759999999776483,2708637.500000000000000,9844862.179999999701977
FS( 55 ),2405812.000000000000000,2241379.840000000316650,2543525.119999999646097,2701627.280000000260770,9892344.239999998360872
FS( 56 ),2432365.000000000000000,2242726.819999999832362,2547605.600000000093132,2720655.020000000018626,9943352.439999999478459
FS( 57 ),2437375.000000000000000,2244073.800000000279397,2542845.040000000037253,2754370.840000000316650,9978664.680000001564622
FS( 58 ),2399299.000000000000000,2226563.060000000055879,2519722.319999999832362,2748362.080000000074506,9893946.460000000894070
FS( 59 ),2393287.000000000000000,2202317.420000000391155,2504080.479999999981374,2754037.020000000018626,9853721.919999999925494
FS( 60 ),2377756.000000000000000,2191541.580000000074506,2485718.319999999832362,2758710.500000000000000,9813726.400000000372529
FS( 61 ),2410321.000000000000000,2180765.740000000223517,2491158.959999999962747,2761381.060000000055879,9843626.759999999776483
FS( 62 ),2397796.000000000000000,2188847.620000000111759,2461235.439999999944121,2751700.280000000260770,9799579.339999999850988
FS( 63 ),2414830.000000000000000,2217134.200000000186265,2448313.919999999925494,2724660.860000000335276,9804938.980000000447035
FS( 64 ),2489479.000000000000000,2262931.520000000018626,2467356.160000000149012,2721990.300000000279397,9941756.980000000447035
FS( 65 ),2472946.000000000000000,2206358.359999999869615,2407509.119999999646097,2703296.380000000353903,9790109.859999999403954
FS( 66 ),2476954.000000000000000,2188847.620000000111759,2386426.640000000130385,2695618.520000000018626,9747846.779999999329448
FS( 67 ),2457916.000000000000000,2156520.100000000093132,2355142.959999999962747,2688608.300000000279397,9658187.359999999403954
FS( 68 ),2419339.000000000000000,2153826.140000000130385,2332020.239999999757856,2693949.419999999925494,9599134.800000000745058
FS( 69 ),2376253.000000000000000,2089171.100000000093132,2334740.559999999590218,2708637.500000000000000,9508802.160000000149012
FS( 70 ),2377756.000000000000000,2060884.520000000251457,2319098.720000000204891,2708971.320000000298023,9466710.560000000521541
FS( 71 ),2372746.000000000000000,2062231.500000000232831,2334740.559999999590218,2712643.340000000316650,9482361.400000000372529
FS( 72 ),2332666.000000000000000,2036638.880000000121072,2276253.679999999701977,2682599.540000000037253,9328158.099999999627471
FS( 73 ),2337676.000000000000000,2028557.000000000232831,2278974.000000000000000,2694950.880000000353903,9340157.880000000819564
FS( 74 ),2379259.000000000000000,2031250.960000000195578,2363303.919999999925494,2719653.560000000055879,9493467.439999999478459
FS( 75 ),2338678.000000000000000,1998923.440000000176951,2304136.959999999962747,2711975.699999999720603,9353714.099999999627471
FS( 76 ),2327155.000000000000000,2027210.020000000251457,2346301.919999999925494,2731003.439999999944121,9431670.380000000819564
FS( 77 ),2292085.000000000000000,2016434.180000000167638,2348342.160000000149012,2754704.659999999683350,9411566.000000000000000
FS( 78 ),2257015.000000000000000,2039332.840000000083819,2364664.080000000074506,2760379.600000000093132,9421391.519999999552965
FS( 79 ),2328157.000000000000000,2089171.100000000093132,2409549.359999999869615,2764051.620000000111759,9590929.079999998211861
FS( 80 ),2309119.000000000000000,2068966.400000000139698,2375545.359999999869615,2759044.320000000298023,9512675.080000000074506
FS( 81 ),2370742.000000000000000,2083783.180000000167638,2424511.119999999646097,2747026.800000000279397,9626063.099999999627471
FS( 82 ),2335672.000000000000000,2011046.260000000009313,2385746.559999999590218,2732004.899999999906868,9464469.719999998807907
FS( 83 ),2376253.000000000000000,2027210.020000000251457,2393907.520000000018626,2748028.259999999776483,9545398.800000000745058
FS( 84 ),2399299.000000000000000,2037985.860000000102445,2452394.399999999906868,2815793.719999999739230,9705472.980000000447035
FS( 85 ),2390782.000000000000000,2066272.440000000176951,2446953.759999999776483,2823137.759999999776483,9727145.960000000894070
FS( 86 ),2402305.000000000000000,2102640.899999999906868,2463275.679999999701977,2814792.259999999776483,9783013.839999999850988
FS( 87 ),2456914.000000000000000,2136315.399999999906868,2497959.759999999776483,2859190.320000000298023,9950379.480000000447035
FS( 88 ),2501002.000000000000000,2110722.780000000260770,2488438.640000000130385,2858856.500000000000000,9959019.919999999925494
FS( 89 ),2517535.000000000000000,2095906.000000000232831,2487078.479999999981374,2866200.540000000037253,9966720.019999999552965
FS( 90 ),2556613.000000000000000,2141703.320000000298023,2519722.319999999832362,2872876.939999999944121,10090915.580000000074506
FS( 91 ),2574649.000000000000000,2120151.640000000130385,2490478.879999999888241,2857521.219999999739230,10042800.740000000223517
FS( 92 ),2533567.000000000000000,2078395.260000000009313,2472796.799999999813735,2849175.719999999739230,9933934.779999999329448
FS( 93 ),2532064.000000000000000,2101293.919999999925494,2455794.799999999813735,2837158.199999999720603,9926310.919999999925494
FS( 94 ),2562625.000000000000000,2097252.979999999981374,2457154.959999999962747,2836156.739999999757856,9953189.679999999701977
FS( 95 ),2560621.000000000000000,2078395.260000000009313,2445593.600000000093132,2864531.439999999944121,9949141.299999998882413
FS( 96 ),2611723.000000000000000,2099946.939999999944121,2442193.199999999720603,2853515.380000000353903,10007378.519999999552965
FS( 97 ),2675350.000000000000000,2079742.239999999990687,2427231.439999999944121,2850844.820000000298023,10033168.500000000000000
FS( 98 ),2697394.000000000000000,2109375.800000000279397,2455794.799999999813735,2877884.239999999757856,10140448.839999999850988
FS( 99 ),2769037.000000000000000,2130927.479999999981374,2476197.199999999720603,2879887.159999999683350,10256048.839999999850988
FS( 100 ),2772043.000000000000000,2202317.420000000391155,2497279.679999999701977,2888900.300000000279397,10360540.400000000372529
FS( 101 ),2815129.000000000000000,2217134.200000000186265,2483678.080000000074506,2956331.939999999944121,10472273.220000000670552
FS( 102 ),2852203.000000000000000,2192888.560000000055879,2492519.119999999646097,2941643.860000000335276,10479254.539999999105930
FS( 103 ),2887273.000000000000000,2194235.540000000037253,2474837.040000000037253,2938305.659999999683350,10494651.240000000223517
FS( 104 ),2809618.000000000000000,2113416.740000000223517,2423150.959999999962747,2907260.399999999906868,10253446.099999999627471
FS( 105 ),2804107.000000000000000,2156520.100000000093132,2390507.119999999646097,2896911.979999999981374,10248046.199999999254942
FS( 106 ),2794588.000000000000000,2151132.180000000167638,2375545.359999999869615,2886897.380000000353903,10208162.919999999925494
FS( 107 ),2839678.000000000000000,2132274.459999999962747,2329299.919999999925494,2883893.000000000000000,10185145.379999998956919
FS( 108 ),2783566.000000000000000,2082436.200000000186265,2232048.479999999981374,2839494.939999999944121,9937545.619999999180436
FS( 109 ),2809618.000000000000000,2086477.140000000130385,2240889.520000000018626,2855518.300000000279397,9992502.960000000894070
FS( 110 ),2700901.000000000000000,1996229.480000000214204,2155879.520000000018626,2813456.979999999981374,9666466.980000000447035
FS( 111 ),2673847.000000000000000,2012393.239999999990687,2090591.839999999850988,2840162.580000000074506,9616994.660000000149012
FS( 112 ),2528056.000000000000000,1877695.239999999990687,1967497.359999999869615,2741018.040000000037253,9114266.640000000596046
FS( 113 ),2676853.000000000000000,1893859.000000000232831,2050467.119999999878928,2869538.739999999757856,9490717.859999999403954
FS( 114 ),2603206.000000000000000,1849408.660000000149012,1938934.000000000000000,2806780.580000000074506,9198329.240000000223517
FS( 115 ),2674849.000000000000000,2144397.280000000260770,2043666.320000000065193,2880220.979999999981374,9743133.580000000074506
FS( 116 ),2698396.000000000000000,2153826.140000000130385,2079710.559999999823049,2887565.020000000018626,9819497.720000000670552
FS( 117 ),2743987.000000000000000,2159214.060000000055879,2139557.600000000093132,2898247.259999999776483,9941005.919999999925494
FS( 118 ),2722945.000000000000000,2155173.120000000111759,2252450.879999999888241,2893239.959999999962747,10023808.960000000894070
FS( 119 ),2722945.000000000000000,2134968.419999999925494,2272173.199999999720603,2920947.020000000018626,10051033.639999998733401
FS( 120 ),2619739.000000000000000,2021822.100000000093132,2187163.199999999720603,2857855.040000000037253,9686579.339999999850988
FS( 121 ),2548096.000000000000000,2031250.960000000195578,2168120.959999999962747,2911933.880000000353903,9659401.800000000745058
FS( 122 ),2551102.000000000000000,2021822.100000000093132,2195324.160000000149012,2929626.340000000316650,9697874.599999999627471
FS( 123 ),2673847.000000000000000,2079742.239999999990687,2251770.799999999813735,2988712.479999999981374,9994072.519999999552965
FS( 124 ),2692384.000000000000000,2082436.200000000186265,2337460.879999999888241,3008741.679999999701977,10121022.759999999776483
FS( 125 ),2674849.000000000000000,2031250.960000000195578,2301416.640000000130385,2961339.239999999757856,9968855.839999999850988
FS( 126 ),2745490.000000000000000,2063578.480000000214204,2312297.919999999925494,3002065.280000000260770,10123431.679999999701977
FS( 127 ),2791081.000000000000000,2120151.640000000130385,2311617.839999999850988,3030773.800000000279397,10253624.280000001192093
FS( 128 ),2791081.000000000000000,2105334.860000000335276,2283054.479999999981374,3030439.979999999981374,10209910.320000000298023
FS( 129 ),2754508.000000000000000,2110722.780000000260770,2270132.959999999962747,3018088.640000000130385,10153452.380000000819564
FS( 130 ),2726953.000000000000000,2130927.479999999981374,2239529.359999999869615,3006738.759999999776483,10104148.599999999627471
FS( 131 ),2677354.000000000000000,2075701.300000000046566,2188523.359999999869615,2974024.399999999906868,9915603.060000000521541
FS( 132 ),2717935.000000000000000,2058190.560000000055879,2179682.319999999832362,2965011.259999999776483,9920819.140000000596046
FS( 133 ),2747995.000000000000000,2139009.360000000335276,2235448.879999999888241,2980700.800000000279397,10103154.040000000968575
FS( 134 ),2749498.000000000000000,2194235.540000000037253,2207565.600000000093132,2958001.040000000037253,10109300.179999999701977
FS( 135 ),2701903.000000000000000,2130927.479999999981374,2167440.879999999888241,2838493.479999999981374,9838764.839999999850988
FS( 136 ),2719438.000000000000000,2167295.939999999944121,2200084.720000000204891,2877216.600000000093132,9964035.259999999776483
FS( 137 ),2753005.000000000000000,2202317.420000000391155,2221167.199999999720603,2874879.860000000335276,10051369.480000000447035
FS( 138 ),2786071.000000000000000,2199623.459999999962747,2281014.239999999757856,2895910.520000000018626,10162619.219999998807907
FS( 139 ),2812624.000000000000000,2245420.780000000260770,2331340.160000000149012,2939974.759999999776483,10329359.699999999254942
FS( 140 ),2866231.000000000000000,2238685.880000000353903,2353782.799999999813735,2947318.800000000279397,10406018.480000000447035
FS( 141 ),2945890.000000000000000,2223869.100000000093132,2336100.720000000204891,2964677.439999999944121,10470537.259999999776483
FS( 142 ),2958916.000000000000000,2226563.060000000055879,2367384.399999999906868,2981368.439999999944121,10534231.900000000372529
FS( 143 ),2949898.000000000000000,2133621.439999999944121,2301416.640000000130385,2921614.659999999683350,10306550.740000000223517
FS( 144 ),2875750.000000000000000,2064925.460000000195578,2247690.319999999832362,2870540.199999999720603,10058905.979999998584390
FS( 145 ),2893786.000000000000000,2102640.899999999906868,2293255.679999999701977,2916607.360000000335276,10206289.940000001341105
FS( 146 ),2885770.000000000000000,2153826.140000000130385,2312297.919999999925494,2982369.899999999906868,10334263.960000000894070
FS( 147 ),2857714.000000000000000,2164601.979999999981374,2304136.959999999962747,2995722.699999999720603,10322175.640000000596046
FS( 148 ),2841682.000000000000000,2133621.439999999944121,2285094.720000000204891,2938639.479999999981374,10199037.640000000596046
FS( 149 ),2795590.000000000000000,2134968.419999999925494,2298016.239999999757856,2963675.979999999981374,10192250.640000000596046
FS( 150 ),2728957.000000000000000,2087824.120000000111759,2235448.879999999888241,2931629.259999999776483,9983859.259999999776483
FS( 151 ),2680861.000000000000000,2046067.739999999990687,2148398.640000000130385,2871541.659999999683350,9746869.040000000968575
FS( 152 ),2665831.000000000000000,2098599.959999999962747,2208245.679999999701977,2886897.380000000353903,9859574.019999999552965
FS( 153 ),2707414.000000000000000,2176724.800000000279397,2232728.559999999590218,2865199.080000000074506,9982066.440000001341105
FS( 154 ),2700901.000000000000000,2256196.620000000111759,2270132.959999999962747,2907928.040000000037253,10135158.620000001043081
FS( 155 ),2646793.000000000000000,2244073.800000000279397,2306857.280000000260770,2910932.419999999925494,10108656.500000000000000
FS( 156 ),2782564.000000000000000,2301993.939999999944121,2357183.199999999720603,2954662.840000000316650,10396403.979999998584390
FS( 157 ),2864728.000000000000000,2288524.140000000130385,2360583.600000000093132,2982369.899999999906868,10496205.640000000596046
FS( 158 ),2878756.000000000000000,2323545.620000000111759,2361263.679999999701977,2949655.540000000037253,10513220.839999999850988
FS( 159 ),2923345.000000000000000,2346444.280000000260770,2340181.199999999720603,2981368.439999999944121,10591338.919999999925494
FS( 160 ),3020539.000000000000000,2363955.020000000018626,2383706.319999999832362,3002399.100000000093132,10770599.439999999478459
FS( 161 ),3006010.000000000000000,2312769.780000000260770,2356503.119999999646097,2959670.140000000130385,10634953.040000000968575
FS( 162 ),3022042.000000000000000,2358567.100000000093132,2444913.520000000018626,2992384.500000000000000,10817907.119999999180436
FS( 163 ),2853205.000000000000000,2311422.800000000279397,2407509.119999999646097,2991716.860000000335276,10563853.780000001192093
FS( 164 ),2829157.000000000000000,2315463.740000000223517,2429951.759999999776483,2971353.840000000316650,10545926.339999999850988
FS( 165 ),2811622.000000000000000,2341056.359999999869615,2506800.799999999813735,3081848.259999999776483,10741327.419999998062849
FS( 166 ),2904307.000000000000000,2362608.040000000037253,2495919.520000000018626,3071499.840000000316650,10834334.400000000372529
FS( 167 ),2846692.000000000000000,2373383.880000000353903,2451034.239999999757856,3063488.159999999683350,10734598.280000001192093
FS( 168 ),2867233.000000000000000,2372036.899999999906868,2485718.319999999832362,3063821.979999999981374,10788810.200000001117587
FS( 169 ),2896291.000000000000000,2483836.240000000223517,2541484.879999999888241,3121572.840000000316650,11043184.960000000894070
FS( 170 ),2898295.000000000000000,2500000.000000000000000,2456474.879999999888241,3114228.800000000279397,10968998.679999999701977
FS( 171 ),2897293.000000000000000,2495959.060000000055879,2434712.319999999832362,3099540.719999999739230,10927505.100000001490116
FS( 172 ),2837674.000000000000000,2369342.939999999944121,2417030.239999999757856,3068161.640000000130385,10692208.820000000298023
FS( 173 ),2844187.000000000000000,2404364.420000000391155,2447633.839999999850988,3088858.479999999981374,10785043.740000000223517
FS( 174 ),2884768.000000000000000,2448814.760000000242144,2478917.520000000018626,3104548.020000000018626,10917048.299999998882413
FS( 175 ),2864728.000000000000000,2428610.060000000055879,2474837.040000000037253,3131587.439999999944121,10899762.540000000968575
FS( 176 ),2860720.000000000000000,2425916.100000000093132,2539444.640000000130385,3158626.860000000335276,10984707.600000001490116
FS( 177 ),2907313.000000000000000,2466325.500000000000000,2580249.439999999944121,3157959.219999999739230,11111847.160000000149012
FS( 178 ),2829157.000000000000000,2372036.899999999906868,2527203.199999999720603,3092864.320000000298023,10821261.419999999925494
FS( 179 ),2757013.000000000000000,2506734.899999999906868,2529923.520000000018626,3113227.340000000316650,10906898.759999999776483
FS( 180 ),2753005.000000000000000,2561961.080000000074506,2588410.399999999906868,3163300.340000000316650,11066676.820000000298023
FS( 181 ),2714428.000000000000000,2551185.240000000223517,2601331.919999999925494,3139932.939999999944121,11006878.099999999627471
FS( 182 ),2783065.000000000000000,2575430.880000000353903,2589090.479999999981374,3153619.560000000055879,11101205.920000001788139
FS( 183 ),2754007.000000000000000,2532327.520000000018626,2573448.640000000130385,3109555.320000000298023,10969338.480000000447035
FS( 184 ),2701402.000000000000000,2489224.160000000149012,2558486.879999999888241,3080846.800000000279397,10829959.839999999850988
FS( 185 ),2683366.000000000000000,2481142.280000000260770,2576168.959999999962747,3095868.699999999720603,10836545.939999999478459
FS( 186 ),2641282.000000000000000,2424569.120000000111759,2520402.399999999906868,3080512.979999999981374,10666766.500000000000000
FS( 187 ),2694889.000000000000000,2413793.280000000260770,2523122.720000000204891,3092864.320000000298023,10724669.320000000298023
FS( 188 ),2626753.000000000000000,2345097.300000000279397,2483678.080000000074506,3066826.360000000335276,10522354.740000002086163
FS( 189 ),2602204.000000000000000,2357220.120000000111759,2480277.679999999701977,3074504.219999999739230,10514206.019999999552965
FS( 190 ),2691883.000000000000000,2425916.100000000093132,2536724.319999999832362,3129918.340000000316650,10784441.759999999776483
FS( 191 ),2670841.000000000000000,2381465.760000000242144,2649617.600000000093132,3119903.739999999757856,10821828.099999999627471
FS( 192 ),2735470.000000000000000,2510775.840000000316650,2667299.679999999701977,3188670.659999999683350,11102216.179999999701977
FS( 193 ),2776552.000000000000000,2502693.959999999962747,2675460.640000000130385,3188003.020000000018626,11142709.619999999180436
FS( 194 ),2789077.000000000000000,2498653.020000000018626,2716265.439999999944121,3194679.419999999925494,11198674.879999998956919
FS( 195 ),2812624.000000000000000,2530980.540000000037253,2735987.759999999776483,3182995.719999999739230,11262588.019999999552965
FS( 196 ),2798095.000000000000000,2522898.660000000149012,2742108.479999999981374,3205027.840000000316650,11268129.980000000447035
FS( 197 ),2784568.000000000000000,2557920.140000000130385,2769991.759999999776483,3219715.919999999925494,11332195.820000000298023
FS( 198 ),2796091.000000000000000,2501346.979999999981374,2714225.199999999720603,3235405.459999999962747,11247068.640000000596046
FS( 199 ),2817133.000000000000000,2543103.359999999869615,2735987.759999999776483,3272459.479999999981374,11368683.599999999627471
FS( 200 ),2804608.000000000000000,2495959.060000000055879,2723746.319999999832362,3287481.380000000353903,11311794.760000001639128
FS( 201 ),2782564.000000000000000,2487877.180000000167638,2687022.000000000000000,3271458.020000000018626,11228921.199999999254942
FS( 202 ),2720941.000000000000000,2421875.160000000149012,2661859.040000000037253,3258439.040000000037253,11063114.240000000223517
FS( 203 ),2711923.000000000000000,2429957.040000000037253,2680901.280000000260770,3276131.500000000000000,11098912.820000000298023
FS( 204 ),2726953.000000000000000,2416487.240000000223517,2748909.280000000260770,3254433.199999999720603,11146782.720000000670552
FS( 205 ),2735470.000000000000000,2382812.740000000223517,2733947.520000000018626,3246087.699999999720603,11098317.959999999031425
FS( 206 ),2833666.000000000000000,2479795.300000000279397,2852961.520000000018626,3298831.259999999776483,11465254.080000000074506
FS( 207 ),2837674.000000000000000,2413793.280000000260770,2856361.919999999925494,3311516.419999999925494,11419345.620000001043081
FS( 208 ),2852704.000000000000000,2442079.859999999869615,2850921.280000000260770,3291487.219999999739230,11437192.359999999403954
FS( 209 ),2886772.000000000000000,2487877.180000000167638,2862482.640000000130385,3343229.320000000298023,11580361.140000000596046
FS( 210 ),2909818.000000000000000,2502693.959999999962747,2871323.679999999701977,3356582.120000000111759,11640417.759999999776483
FS( 211 ),2881762.000000000000000,2446120.800000000279397,2824398.160000000149012,3324201.580000000074506,11476482.540000000968575
FS( 212 ),2899297.000000000000000,2458243.620000000111759,2857042.000000000000000,3365261.439999999944121,11579844.060000000521541
FS( 213 ),2898796.000000000000000,2435344.959999999962747,2859082.239999999757856,3349238.080000000074506,11542461.279999999329448
FS( 214 ),2943385.000000000000000,2509428.859999999869615,2865883.040000000037253,3299498.899999999906868,11618195.799999998882413
FS( 215 ),2958916.000000000000000,2557920.140000000130385,2906687.839999999850988,3317859.000000000000000,11741382.980000000447035
FS( 216 ),2991982.000000000000000,2548491.280000000260770,2930490.640000000130385,3332547.080000000074506,11803511.000000000000000
FS( 217 ),3023044.000000000000000,2539062.420000000391155,2937971.520000000018626,3358251.219999999739230,11858329.160000000149012
FS( 218 ),3018535.000000000000000,2555226.180000000167638,2940011.759999999776483,3326204.500000000000000,11839977.439999999478459
FS( 219 ),3029056.000000000000000,2536368.459999999962747,2960414.160000000149012,3328207.419999999925494,11854046.040000000968575
FS( 220 ),3024046.000000000000000,2568695.979999999981374,2955653.600000000093132,3335885.280000000260770,11884280.859999999403954
FS( 221 ),3016030.000000000000000,2579471.819999999832362,2950893.040000000037253,3357249.759999999776483,11903644.619999999180436
FS( 222 ),3004507.000000000000000,2567349.000000000000000,2959054.000000000000000,3349905.719999999739230,11880815.719999998807907
FS( 223 ),3039577.000000000000000,2601023.500000000000000,2974695.839999999850988,3356582.120000000111759,11971878.460000000894070
FS( 224 ),3071140.000000000000000,2632004.040000000037253,3052224.959999999962747,3390297.939999999944121,12145666.939999999478459
FS( 225 ),3061621.000000000000000,2665678.540000000037253,3088269.199999999720603,3380283.340000000316650,12195852.080000000074506
