代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12588491.949999999254942
真實報酬,2588491.949999999254942

夏普值報酬,0.250149195000000
夏普值風險,0.075663934057716
夏普值,3.306055891954903

二次趨勢線,39.133594488898062 x^2 + 857.546298553026418 x + 10000000.000000000000000
二次加權預期報酬,14084.701235800570430
風險,192062.853139250189997
二次加權趨勢值,0.073333812372291
一次趨勢線,8297.792005788431197 x + 10000000.000000000000000
一次預期報酬,8297.792005788431197
一次風險,340727.675285921781324
一次趨勢值,0.024353149472890
找到最佳解世代,2507
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,2
JPM[13](2),PG[21](19),
FS( 41 ),5072204.950000000186265,5096153.719999999739230,10168358.669999999925494
FS( 42 ),5030580.919999999925494,5073348.029999999329448,10103928.949999999254942
FS( 43 ),5085796.469999999739230,5148545.169999999925494,10234341.640000000596046
FS( 44 ),5028881.980000000447035,5128821.329999999143183,10157703.309999998658895
FS( 45 ),4957526.500000000000000,5125739.479999999515712,10083265.980000000447035
FS( 46 ),4995752.650000000372529,5165803.529999999329448,10161556.179999999701977
FS( 47 ),4869181.620000000111759,5130670.439999999478459,9999852.059999998658895
FS( 48 ),4904859.360000000335276,5128204.959999999962747,10033064.320000000298023
FS( 49 ),4943934.980000000447035,5099235.570000000298023,10043170.550000000745058
FS( 50 ),5035677.740000000223517,5105399.269999999552965,10141077.009999999776483
FS( 51 ),5248894.709999999962747,5082593.579999999143183,10331488.289999999105930
FS( 52 ),5316852.310000000521541,5054856.929999999701977,10371709.240000000223517
FS( 53 ),5255690.469999999739230,5072731.659999999217689,10328422.129999998956919
FS( 54 ),5289669.270000000484288,5105399.269999999552965,10395068.539999999105930
FS( 55 ),5378863.620000000111759,5133135.919999999925494,10511999.539999999105930
FS( 56 ),5457014.859999999403954,5026503.909999999217689,10483518.769999999552965
FS( 57 ),5402648.780000000260770,4980276.159999999217689,10382924.939999999478459
FS( 58 ),5434079.169999999925494,4989521.709999999962747,10423600.879999998956919
FS( 59 ),5402648.780000000260770,5017874.729999999515712,10420523.509999999776483
FS( 60 ),5430681.290000000037253,4903229.909999999217689,10333911.199999999254942
FS( 61 ),5445971.750000000000000,4924186.489999999292195,10370158.239999998360872
FS( 62 ),5402648.780000000260770,4916173.679999999701977,10318822.460000000894070
FS( 63 ),5368669.980000000447035,4938363.000000000000000,10307032.980000000447035
FS( 64 ),5418788.709999999962747,4990754.449999999254942,10409543.160000000149012
FS( 65 ),5314303.900000000372529,4998767.259999998845160,10313071.160000000149012
FS( 66 ),5314303.900000000372529,5029585.759999998845160,10343889.660000000149012
FS( 67 ),5202173.860000000335276,5011094.659999999217689,10213268.519999999552965
FS( 68 ),5232754.780000000260770,5062253.369999999180436,10295008.149999998509884
FS( 69 ),5199625.450000000186265,5061637.000000000000000,10261262.449999999254942
FS( 70 ),5270131.459999999962747,5083826.320000000298023,10353957.780000001192093
FS( 71 ),5250593.650000000372529,5063486.110000000335276,10314079.760000001639128
FS( 72 ),5247195.770000000484288,5079511.729999999515712,10326707.500000000000000
FS( 73 ),5198775.980000000447035,5006780.070000000298023,10205556.050000000745058
FS( 74 ),5237851.599999999627471,5031434.869999999180436,10269286.469999998807907
FS( 75 ),5237851.599999999627471,4969181.500000000000000,10207033.099999999627471
FS( 76 ),5440025.460000000894070,4921721.009999998845160,10361746.469999998807907
FS( 77 ),5384809.910000000149012,4942677.589999999850988,10327487.500000000000000
FS( 78 ),5395003.549999999813735,4932199.299999998882413,10327202.849999997764826
FS( 79 ),5390756.200000000186265,4943293.959999999962747,10334050.160000000149012
FS( 80 ),5482498.960000000894070,4990754.449999999254942,10473253.410000000149012
FS( 81 ),5565747.019999999552965,5022189.320000000298023,10587936.339999999850988
FS( 82 ),5524122.990000000223517,5006163.699999999254942,10530286.689999999478459
FS( 83 ),5558101.790000000968575,5019107.469999999739230,10577209.260000001639128
FS( 84 ),5544510.269999999552965,4995069.040000000037253,10539579.309999998658895
FS( 85 ),5580188.009999999776483,5041296.790000000037253,10621484.800000000745058
FS( 86 ),5590381.650000000372529,5051158.709999999962747,10641540.359999999403954
FS( 87 ),5490993.660000000149012,5083209.949999999254942,10574203.609999999403954
FS( 88 ),5545359.740000000223517,5101701.049999998882413,10647060.789999999105930
FS( 89 ),5526671.400000000372529,5073964.399999999441206,10600635.800000000745058
FS( 90 ),5542811.330000000074506,5094304.610000000335276,10637115.940000001341105
FS( 91 ),5500337.830000000074506,5126355.849999999627471,10626693.679999999701977
FS( 92 ),5423036.060000000521541,5128204.959999999962747,10551241.019999999552965
FS( 93 ),5374616.270000000484288,5089373.649999999441206,10463989.919999999925494
FS( 94 ),5273529.339999999850988,5137450.509999998845160,10410979.849999997764826
FS( 95 ),5264185.169999999925494,5112795.709999999962747,10376980.879999998956919
FS( 96 ),5285421.919999999925494,5141148.729999999515712,10426570.649999998509884
FS( 97 ),5290518.740000000223517,5123890.369999999180436,10414409.109999999403954
FS( 98 ),5298163.969999999739230,5118343.040000000037253,10416507.009999999776483
FS( 99 ),5347433.230000000447035,5141148.729999999515712,10488581.960000000894070
FS( 100 ),5327045.950000000186265,5151010.649999999441206,10478056.599999999627471
FS( 101 ),5440874.929999999701977,5190458.329999999143183,10631333.259999997913837
FS( 102 ),5062860.780000000260770,5070266.179999999701977,10133126.960000000894070
FS( 103 ),4893816.250000000000000,5006780.070000000298023,9900596.320000000298023
FS( 104 ),5056065.020000000484288,5082593.579999999143183,10138658.599999999627471
FS( 105 ),5198775.980000000447035,5171967.229999999515712,10370743.210000000894070
FS( 106 ),5278626.160000000149012,5218811.349999999627471,10497437.509999999776483
FS( 107 ),5203872.799999999813735,5225591.419999999925494,10429464.219999998807907
FS( 108 ),5058613.429999999701977,5266271.839999999850988,10324885.269999999552965
FS( 109 ),5112979.509999999776483,5241000.669999999925494,10353980.179999999701977
FS( 110 ),5112979.509999999776483,5228673.269999999552965,10341652.779999999329448
FS( 111 ),5252292.589999999850988,5286612.049999998882413,10538904.639999998733401
FS( 112 ),5289669.270000000484288,5285379.309999999590218,10575048.580000000074506
FS( 113 ),5368669.980000000447035,5285379.309999999590218,10654049.289999999105930
FS( 114 ),5365272.099999999627471,5294008.489999999292195,10659280.589999999850988
FS( 115 ),5446821.220000000670552,5292775.750000000000000,10739596.970000000670552
FS( 116 ),5451918.040000000968575,5301404.929999999701977,10753322.970000000670552
FS( 117 ),5433229.700000000186265,5296473.969999999739230,10729703.669999999925494
FS( 118 ),5424735.000000000000000,5311266.849999999627471,10736001.849999999627471
FS( 119 ),5430681.290000000037253,5258875.399999999441206,10689556.689999999478459
FS( 120 ),5410294.009999999776483,5255177.179999999701977,10665471.189999999478459
FS( 121 ),5440025.460000000894070,5283530.199999999254942,10723555.660000000149012
FS( 122 ),5425584.469999999739230,5288461.159999999217689,10714045.629999998956919
FS( 123 ),5447670.689999999478459,5255793.549999998882413,10703464.239999998360872
FS( 124 ),5464660.089999999850988,5205867.579999999143183,10670527.669999998062849
FS( 125 ),5445122.279999999329448,5227440.529999999329448,10672562.809999998658895
FS( 126 ),5434079.169999999925494,5275517.389999999664724,10709596.559999998658895
FS( 127 ),5419638.179999999701977,5326059.729999999515712,10745697.910000000149012
FS( 128 ),5406896.129999999888241,5347632.679999999701977,10754528.809999998658895
FS( 129 ),5492692.599999999627471,5298939.449999999254942,10791632.049999998882413
FS( 130 ),5484197.900000000372529,5303870.409999999217689,10788068.309999998658895
FS( 131 ),5632005.679999999701977,5287228.419999999925494,10919234.099999999627471
FS( 132 ),5615016.279999999329448,5285995.679999999701977,10901011.959999999031425
FS( 133 ),5595478.470000000670552,5300172.189999999478459,10895650.660000000149012
FS( 134 ),5545359.740000000223517,5319896.029999999329448,10865255.769999999552965
FS( 135 ),5560650.199999999254942,5345783.570000000298023,10906433.769999999552965
FS( 136 ),5548757.619999999180436,5364891.040000000037253,10913648.660000000149012
FS( 137 ),5582736.419999999925494,5363658.299999998882413,10946394.719999998807907
FS( 138 ),5581886.949999999254942,5336538.019999999552965,10918424.969999998807907
FS( 139 ),5597177.410000000149012,5359960.079999999143183,10957137.489999998360872
FS( 140 ),5602274.230000000447035,5389545.839999999850988,10991820.070000000298023
FS( 141 ),5594629.000000000000000,5381533.029999999329448,10976162.029999999329448
FS( 142 ),5589532.179999999701977,5353180.009999998845160,10942712.189999997615814
FS( 143 ),5586983.769999999552965,5387080.360000000335276,10974064.129999998956919
FS( 144 ),5602274.230000000447035,5381533.029999999329448,10983807.259999999776483
FS( 145 ),5612467.869999999180436,5417898.860000000335276,11030366.730000000447035
FS( 146 ),5625209.919999999925494,5398175.019999999552965,11023384.939999999478459
FS( 147 ),5687221.230000000447035,5442553.659999999217689,11129774.890000000596046
FS( 148 ),5733942.080000000074506,5395709.540000000037253,11129651.620000001043081
FS( 149 ),5733942.080000000074506,5381533.029999999329448,11115475.109999999403954
FS( 150 ),5709307.449999999254942,5443170.029999999329448,11152477.479999998584390
FS( 151 ),5733092.609999999403954,5436389.959999999962747,11169482.570000000298023
FS( 152 ),5728845.259999999776483,5463510.239999999292195,11192355.500000000000000
FS( 153 ),5705060.099999999627471,5420980.709999999962747,11126040.809999998658895
FS( 154 ),5712705.330000000074506,5410502.419999999925494,11123207.750000000000000
FS( 155 ),5661737.130000000819564,5315581.439999999478459,10977318.570000000298023
FS( 156 ),5696565.400000000372529,5439471.809999999590218,11136037.210000000894070
FS( 157 ),5651543.490000000223517,5365507.409999999217689,11017050.899999998509884
FS( 158 ),5640500.380000000819564,5363041.929999999701977,11003542.310000000521541
FS( 159 ),5660887.660000000149012,5427760.779999999329448,11088648.439999999478459
FS( 160 ),5591231.119999999180436,5427144.409999999217689,11018375.529999997466803
FS( 161 ),5622661.509999999776483,5446868.250000000000000,11069529.759999999776483
FS( 162 ),5645597.199999999254942,5459812.019999999552965,11105409.219999998807907
FS( 163 ),5677877.060000000521541,5411735.159999999217689,11089612.219999998807907
FS( 164 ),5724597.910000000149012,5485083.189999999478459,11209681.099999999627471
FS( 165 ),5712705.330000000074506,5409269.679999999701977,11121975.009999999776483
FS( 166 ),5587833.240000000223517,5414817.009999998845160,11002650.250000000000000
FS( 167 ),5637102.500000000000000,5446251.879999999888241,11083354.379999998956919
FS( 168 ),5666833.949999999254942,5514052.579999999143183,11180886.529999997466803
FS( 169 ),5576790.130000000819564,5438239.070000000298023,11015029.200000001117587
FS( 170 ),5656640.310000000521541,5531927.309999999590218,11188567.620000001043081
FS( 171 ),5649844.550000000745058,5464742.979999999515712,11114587.530000001192093
FS( 172 ),5657489.779999999329448,5445635.509999998845160,11103125.289999999105930
FS( 173 ),5750082.009999999776483,5476454.009999998845160,11226536.019999999552965
FS( 174 ),5765372.470000000670552,5499259.699999999254942,11264632.169999999925494
FS( 175 ),5785759.750000000000000,5547336.559999999590218,11333096.309999998658895
FS( 176 ),5830781.660000000149012,5489397.779999999329448,11320179.439999999478459
FS( 177 ),5802749.150000000372529,5457346.540000000037253,11260095.690000001341105
FS( 178 ),5787458.689999999478459,5459195.649999999441206,11246654.339999999850988
FS( 179 ),5754329.359999999403954,5438855.439999999478459,11193184.799999998882413
FS( 180 ),5735641.019999999552965,5450566.469999999739230,11186207.489999998360872
FS( 181 ),5705909.570000000298023,5413584.269999999552965,11119493.839999999850988
FS( 182 ),5750931.480000000447035,5390162.209999999962747,11141093.690000001341105
FS( 183 ),5806147.029999999329448,5272435.540000000037253,11078582.570000000298023
FS( 184 ),5798501.800000000745058,5234836.969999999739230,11033338.769999999552965
FS( 185 ),5818039.609999999403954,5197854.769999999552965,11015894.379999998956919
FS( 186 ),5850319.470000000670552,5183678.259999998845160,11033997.730000000447035
FS( 187 ),5844373.179999999701977,5360576.449999999254942,11204949.629999998956919
FS( 188 ),5872405.689999999478459,5387080.360000000335276,11259486.050000000745058
FS( 189 ),5880900.390000000596046,5336538.019999999552965,11217438.410000000149012
FS( 190 ),5870706.750000000000000,5352563.639999999664724,11223270.390000000596046
FS( 191 ),5883448.800000000745058,5350098.159999999217689,11233546.960000000894070
FS( 192 ),5858814.169999999925494,5353180.009999998845160,11211994.179999999701977
FS( 193 ),5834179.540000000968575,5346399.939999999478459,11180579.480000000447035
FS( 194 ),5808695.439999999478459,5337770.759999998845160,11146466.199999999254942
FS( 195 ),5756028.300000000745058,5244082.519999999552965,11000110.820000000298023
FS( 196 ),5936115.939999999478459,5335305.279999999329448,11271421.219999998807907
FS( 197 ),5948857.990000000223517,5390778.579999999143183,11339636.570000000298023
FS( 198 ),6222387.330000000074506,5296473.969999999739230,11518861.300000000745058
FS( 199 ),6511207.130000000819564,5113412.079999999143183,11624619.210000000894070
FS( 200 ),6514605.009999999776483,5151627.019999999552965,11666232.029999999329448
FS( 201 ),6754155.550000000745058,5115877.559999999590218,11870033.109999999403954
FS( 202 ),6741413.500000000000000,5154092.500000000000000,11895506.000000000000000
FS( 203 ),6574917.380000000819564,5127588.589999999850988,11702505.970000000670552
FS( 204 ),6627584.519999999552965,5120192.149999999441206,11747776.669999998062849
FS( 205 ),6601250.949999999254942,5054240.559999999590218,11655491.509999997913837
FS( 206 ),6630132.929999999701977,5093688.239999999292195,11723821.169999998062849
FS( 207 ),6670907.490000000223517,5101084.679999999701977,11771992.169999999925494
FS( 208 ),6698940.000000000000000,5096153.719999999739230,11795093.719999998807907
FS( 209 ),6696391.589999999850988,5144230.579999999143183,11840622.169999998062849
FS( 210 ),6653068.619999999180436,5120192.149999999441206,11773260.769999999552965
FS( 211 ),6704036.820000000298023,5109097.489999999292195,11813134.309999998658895
FS( 212 ),6810220.570000000298023,5082593.579999999143183,11892814.149999998509884
FS( 213 ),6947834.710000000894070,5045611.379999999888241,11993446.089999999850988
FS( 214 ),6931694.779999999329448,5078895.360000000335276,12010590.140000000596046
FS( 215 ),7072706.800000000745058,5115261.189999999478459,12187967.990000000223517
FS( 216 ),7109234.009999999776483,5110330.229999999515712,12219564.239999998360872
FS( 217 ),7141513.869999999180436,5188609.219999999739230,12330123.089999999850988
FS( 218 ),7230708.220000000670552,5146696.059999999590218,12377404.280000001192093
FS( 219 ),7262138.609999999403954,5200320.250000000000000,12462458.859999999403954
FS( 220 ),7197578.890000000596046,5247164.369999999180436,12444743.259999999776483
FS( 221 ),7200127.300000000745058,5250246.219999999739230,12450373.519999999552965
FS( 222 ),7197578.890000000596046,5200320.250000000000000,12397899.140000000596046
FS( 223 ),7305461.580000000074506,5219427.719999999739230,12524889.300000000745058
FS( 224 ),7215417.759999999776483,5219427.719999999739230,12434845.480000000447035
FS( 225 ),7257041.790000000968575,5221276.829999999143183,12478318.620000001043081
FS( 226 ),7350483.490000000223517,5212647.649999999441206,12563131.140000000596046
FS( 227 ),7369171.830000000074506,5194772.919999999925494,12563944.750000000000000
FS( 228 ),7381064.410000000149012,5206483.949999999254942,12587548.359999999403954
FS( 229 ),7394655.929999999701977,5236686.079999999143183,12631342.009999997913837
FS( 230 ),7401451.689999999478459,5214496.759999998845160,12615948.449999999254942
FS( 231 ),7347935.080000000074506,5181829.149999999441206,12529764.230000000447035
FS( 232 ),7296117.410000000149012,5199087.509999998845160,12495204.919999998062849
FS( 233 ),7330096.210000000894070,5182445.519999999552965,12512541.730000000447035
FS( 234 ),7409946.390000000596046,5189841.959999999962747,12599788.350000001490116
FS( 235 ),7382763.349999999627471,5208333.059999999590218,12591096.410000000149012
FS( 236 ),7314805.750000000000000,5242849.779999999329448,12557655.529999999329448
FS( 237 ),7315655.220000000670552,5241000.669999999925494,12556655.890000000596046
FS( 238 ),7320752.040000000968575,5202169.360000000335276,12522921.400000002235174
FS( 239 ),7341988.790000000968575,5146079.689999999478459,12488068.480000000447035
FS( 240 ),7397204.339999999850988,5162105.309999999590218,12559309.649999998509884
FS( 241 ),7325848.859999999403954,5167652.639999999664724,12493501.500000000000000
FS( 242 ),7364924.480000000447035,5178130.929999999701977,12543055.410000000149012
FS( 243 ),7097341.429999999701977,5252095.329999999143183,12349436.759999997913837
FS( 244 ),7130470.759999999776483,5234836.969999999739230,12365307.730000000447035
FS( 245 ),7076104.679999999701977,5220660.459999999962747,12296765.140000000596046
FS( 246 ),7107535.070000000298023,5390162.209999999962747,12497697.280000001192093
FS( 247 ),7110932.949999999254942,5359960.079999999143183,12470893.029999997466803
FS( 248 ),7196729.419999999925494,5415433.379999999888241,12612162.800000000745058
FS( 249 ),7308009.990000000223517,5372287.479999999515712,12680297.469999998807907
FS( 250 ),7369171.830000000074506,5337770.759999998845160,12706942.589999999850988
FS( 251 ),7384462.290000000968575,5345167.199999999254942,12729629.490000000223517
FS( 252 ),7308009.990000000223517,5347016.309999999590218,12655026.300000000745058
FS( 253 ),7189084.189999999478459,5399407.759999998845160,12588491.949999999254942
