代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14297375.620000001043081
真實報酬,4297375.620000001043081

夏普值報酬,0.421037562000000
夏普值風險,0.126142247249337
夏普值,3.337799755285492

二次趨勢線,99.771712765611895 x^2 + -7225.809599156888908 x + 10000000.000000000000000
二次加權預期報酬,26497.029315619936824
風險,285007.995573590684216
二次加權趨勢值,0.092969424462263
一次趨勢線,11743.213494759522291 x + 10000000.000000000000000
一次預期報酬,11743.213494759522291
一次風險,772061.402538527385332
一次趨勢值,0.015210206670283
找到最佳解世代,3296
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),IBM[10](1),UNH[23](4),
FS( 101 ),3918176.000000000000000,3304814.399999999906868,3035644.040000000037253,10258635.440000001341105
FS( 102 ),3993658.200000000186265,3328407.060000000055879,3027810.120000000111759,10349876.379999998956919
FS( 103 ),4032839.799999999813735,3329184.839999999850988,3081668.319999999832362,10443693.959999999031425
FS( 104 ),3986167.600000000558794,3334888.560000000055879,3014100.760000000242144,10335157.919999999925494
FS( 105 ),4017282.399999999906868,3329703.360000000335276,2970034.959999999962747,10317021.719999998807907
FS( 106 ),3998844.000000000465661,3319073.700000000651926,2980806.600000000093132,10298725.300000000745058
FS( 107 ),4019011.000000000000000,3328925.580000000540167,2981785.839999999850988,10329723.419999999925494
FS( 108 ),4093917.000000000000000,3390110.939999999944121,3078730.600000000093132,10562759.539999999105930
FS( 109 ),4054735.400000000372529,3379999.800000000279397,3174696.120000000111759,10609432.320000000298023
FS( 110 ),4097950.400000000372529,3403333.200000000651926,3222678.879999999888241,10723963.480000000447035
FS( 111 ),4146351.199999999720603,3417851.760000000707805,3272620.120000000111759,10836824.080000001937151
FS( 112 ),4123303.200000000186265,3374036.819999999832362,3275557.840000000316650,10772898.859999999403954
FS( 113 ),4152689.399999999441206,3422259.180000000167638,3279474.800000000279397,10854424.380000000819564
FS( 114 ),4115236.399999999906868,3418111.020000000484288,3263806.959999999962747,10797155.379999998956919
FS( 115 ),3959086.199999999720603,3365999.760000000707805,3132588.799999999813735,10457675.760000001639128
FS( 116 ),3889366.000000000000000,3326332.980000000447035,3146298.160000000149012,10361998.140000000596046
FS( 117 ),3918752.200000000186265,3315184.800000000279397,3136505.760000000242144,10370443.759999999776483
FS( 118 ),3946409.799999999813735,3312592.200000000186265,3123775.640000000130385,10382778.640000000596046
FS( 119 ),4018434.799999999813735,3330221.879999999888241,3167841.439999999944121,10516499.119999999180436
FS( 120 ),4019011.000000000000000,3354592.319999999832362,3186447.000000000000000,10560051.320000000298023
FS( 121 ),3992505.800000000279397,3341888.580000000540167,3113004.000000000000000,10447399.380000000819564
FS( 122 ),3967729.200000000186265,3305592.180000000167638,3095377.680000000167638,10368700.060000000521541
FS( 123 ),3851336.800000000279397,3278888.399999999906868,3084606.040000000037253,10214832.240000000223517
FS( 124 ),3747620.800000000279397,3238184.580000000540167,3039561.000000000000000,10025367.380000000819564
FS( 125 ),3728030.000000000000000,3247777.200000000186265,3129651.080000000074506,10105459.280000001192093
FS( 126 ),3684815.000000000000000,3183221.460000000428408,3118879.439999999944121,9986916.900000000372529
FS( 127 ),3797174.000000000465661,3233777.160000000149012,3169799.919999999925494,10200752.080000000074506
FS( 128 ),3714777.399999999906868,3199295.580000000540167,3124754.879999999888241,10038828.859999999403954
FS( 129 ),3754535.199999999720603,3192295.560000000055879,3106149.319999999832362,10052981.080000000074506
FS( 130 ),3927395.199999999720603,3260740.200000000186265,3191343.200000000186265,10379479.600000001490116
FS( 131 ),3949290.800000000279397,3241814.220000000204891,3217782.680000000167638,10408888.700000001117587
FS( 132 ),4038025.600000000093132,3307666.260000000242144,3320602.879999999888241,10666295.740000000223517
FS( 133 ),4016130.000000000000000,3265406.880000000353903,3307872.760000000242144,10589410.640000000596046
FS( 134 ),4076054.799999999813735,3268777.260000000242144,3314727.439999999944121,10659560.500000000000000
FS( 135 ),4070292.799999999813735,3276036.540000000037253,3331374.520000000484288,10677704.859999999403954
FS( 136 ),4106017.200000000186265,3318295.919999999925494,3377398.800000000279397,10801712.919999999925494
FS( 137 ),4162484.799999999813735,3360296.040000000502914,3399921.319999999832362,10922703.160000000149012
FS( 138 ),4138860.600000000093132,3340592.279999999795109,3389149.680000000167638,10868603.560000000521541
FS( 139 ),4156146.599999999627471,3355629.360000000335276,3355855.520000000484288,10867632.480000000447035
FS( 140 ),4148656.000000000000000,3361851.599999999627471,3352917.800000000279397,10863426.400000000372529
FS( 141 ),4216647.600000000558794,3375333.120000000111759,3342146.160000000149012,10934127.880000000819564
FS( 142 ),4307111.000000000000000,3416814.719999999739230,3420485.359999999869615,11144412.080000000074506
FS( 143 ),4401607.799999999813735,3421740.659999999683350,3452800.279999999795109,11276149.739999998360872
FS( 144 ),4389507.600000000558794,3437037.000000000000000,3493928.359999999869615,11320473.960000000894070
FS( 145 ),4394117.200000000186265,3413703.599999999627471,3470426.599999999627471,11278248.399999998509884
FS( 146 ),4594058.600000000558794,3476963.040000000502914,3498824.559999999590218,11569847.199999999254942
FS( 147 ),4583110.800000000745058,3490963.080000000540167,3461613.439999999944121,11535688.320000000298023
FS( 148 ),4590601.400000000372529,3497185.319999999832362,3431257.000000000000000,11519044.720000000670552
FS( 149 ),4609039.799999999813735,3512481.659999999683350,3446924.840000000316650,11568447.299999998882413
FS( 150 ),4533557.600000000558794,3477740.819999999832362,3438111.680000000167638,11449411.099999999627471
FS( 151 ),4507052.400000000372529,3516629.819999999832362,3469447.359999999869615,11493130.580000000074506
FS( 152 ),4452313.399999999441206,3506518.680000000167638,3382295.000000000000000,11341128.080000000074506
FS( 153 ),4575044.000000000000000,3569000.339999999850988,3434194.720000000204891,11578240.060000000521541
FS( 154 ),4543929.200000000186265,3565370.700000000651926,3334312.239999999757856,11443613.140000000596046
FS( 155 ),4537014.799999999813735,3596481.899999999906868,3362710.200000000186265,11496207.899999998509884
FS( 156 ),4630935.400000000372529,3599852.279999999795109,3363689.439999999944121,11594478.119999999180436
FS( 157 ),4608463.600000000558794,3620852.339999999850988,3393066.640000000130385,11622383.580000000074506
FS( 158 ),4571586.799999999813735,3625778.279999999795109,3429298.520000000484288,11626664.600000001490116
FS( 159 ),4626325.800000000745058,3639259.800000000279397,3458675.720000000204891,11724262.320000002160668
FS( 160 ),4604430.200000000186265,3668556.180000000167638,3503720.760000000242144,11776708.140000000596046
FS( 161 ),4595211.000000000000000,3657148.740000000223517,3523305.559999999590218,11775666.300000000745058
FS( 162 ),4623444.799999999813735,3703037.760000000707805,3549745.040000000037253,11876228.600000001490116
FS( 163 ),4526067.000000000000000,3578592.960000000428408,3456717.239999999757856,11561378.200000001117587
FS( 164 ),4628054.399999999441206,3605556.000000000000000,3596748.559999999590218,11830359.959999999031425
FS( 165 ),4545657.799999999813735,3625259.760000000707805,3573246.800000000279397,11744165.360000001266599
FS( 166 ),4513390.599999999627471,3621111.599999999627471,3648648.279999999795109,11783151.479999998584390
FS( 167 ),4554877.000000000000000,3625519.020000000484288,3678025.480000000447035,11858422.500000000000000
FS( 168 ),4531829.000000000000000,3647037.599999999627471,3679004.720000000204891,11857872.320000000298023
FS( 169 ),4507052.400000000372529,3666741.360000000335276,3518409.359999999869615,11692204.120000001043081
FS( 170 ),4479394.799999999813735,3653000.580000000540167,3549745.040000000037253,11682141.420000001788139
FS( 171 ),4528948.000000000000000,3723000.779999999795109,3530160.239999999757856,11782110.019999999552965
FS( 172 ),4567553.399999999441206,3715741.500000000000000,3536035.680000000167638,11819331.580000000074506
FS( 173 ),4595211.000000000000000,3729223.020000000484288,3623188.040000000037253,11947623.060000000521541
FS( 174 ),4602701.599999999627471,3737778.599999999627471,3589893.879999999888241,11930375.079999998211861
FS( 175 ),4792847.600000000558794,3805704.719999999739230,3603603.239999999757856,12202156.560000000521541
FS( 176 ),4813590.800000000745058,3809075.099999999627471,3609478.680000000167638,12232145.580000000074506
FS( 177 ),4789390.400000000372529,3797149.140000000596046,3634938.919999999925494,12221479.460000000894070
FS( 178 ),4719670.200000000186265,3788852.819999999832362,3621229.559999999590218,12129753.579999998211861
FS( 179 ),4751361.199999999254942,3799482.480000000447035,3638855.879999999888241,12189700.559999998658895
FS( 180 ),4750208.799999999813735,3770445.360000000335276,3669212.319999999832362,12189867.480000000447035
FS( 181 ),4669540.800000000745058,3726630.420000000391155,3590873.120000000111759,11987045.339999999850988
FS( 182 ),4714484.399999999441206,3724037.819999999832362,3473364.319999999832362,11911887.539999999105930
FS( 183 ),4630935.400000000372529,3687741.420000000391155,3428319.279999999795109,11746997.099999999627471
FS( 184 ),4677031.400000000372529,3680222.879999999888241,3459654.959999999962747,11816910.240000000223517
FS( 185 ),4788814.200000000186265,3742704.540000000502914,3489032.160000000149012,12020551.900000000372529
FS( 186 ),4838367.400000000372529,3760593.480000000447035,3525264.040000000037253,12124225.920000001788139
FS( 187 ),4840096.000000000000000,3769408.319999999832362,3570309.080000000074506,12179814.400000000372529
FS( 188 ),4761156.599999999627471,3712111.860000000335276,3530160.239999999757856,12003429.700000001117587
FS( 189 ),4879853.799999999813735,3780297.240000000223517,3542890.359999999869615,12203042.399999998509884
FS( 190 ),4847586.599999999627471,3730778.580000000540167,3513513.160000000149012,12091879.339999999850988
FS( 191 ),4821081.400000000372529,3704593.319999999832362,3583039.200000000186265,12108714.920000001788139
FS( 192 ),4874668.000000000000000,3667519.140000000596046,3576184.520000000484288,12118372.660000000149012
FS( 193 ),5038885.000000000000000,3744000.839999999850988,3688797.120000000111759,12471683.960000000894070
FS( 194 ),5106300.400000000372529,3763963.860000000335276,3726008.239999999757856,12596273.500000001862645
FS( 195 ),5150091.599999999627471,3769149.060000000055879,3703485.720000000204891,12622727.380000000819564
FS( 196 ),5139720.000000000000000,3759037.920000000391155,3651586.000000000000000,12550344.919999999925494
FS( 197 ),5205983.000000000000000,3733889.700000000651926,3600665.520000000484288,12540539.220000002533197
FS( 198 ),5163920.400000000372529,3758778.659999999683350,3607520.200000000186265,12530220.260000001639128
FS( 199 ),5166801.400000000372529,3741148.980000000447035,3588914.640000000130385,12496866.020000001415610
FS( 200 ),5182358.799999999813735,3754630.500000000000000,3590873.120000000111759,12527863.420000001788139
FS( 201 ),5279736.599999999627471,3740630.460000000428408,3613395.640000000130385,12633763.700000001117587
FS( 202 ),5306241.799999999813735,3780556.500000000000000,3574226.040000000037253,12661025.339999999850988
FS( 203 ),5365590.400000000372529,3752037.899999999906868,3471405.840000000316650,12589035.140000000596046
FS( 204 ),5370200.000000000000000,3747630.480000000447035,3487073.680000000167638,12604905.160000000149012
FS( 205 ),5335051.799999999813735,3759297.180000000167638,3432236.239999999757856,12526586.220000000670552
FS( 206 ),5375962.000000000000000,3746593.439999999944121,3444966.359999999869615,12567522.799999998882413
FS( 207 ),5452596.599999999627471,3778482.420000000391155,3459654.959999999962747,12690734.980000000447035
FS( 208 ),5449139.399999999441206,3783926.879999999888241,3509596.200000000186265,12742663.480000000447035
FS( 209 ),5442225.000000000000000,3782371.319999999832362,3502741.520000000484288,12727338.839999999850988
FS( 210 ),5420329.399999999441206,3768112.020000000484288,3480219.000000000000000,12668661.419999999925494
FS( 211 ),5398433.799999999813735,3777704.640000000596046,3497845.319999999832362,12673984.760000001639128
FS( 212 ),5403619.599999999627471,3798704.700000000651926,3516450.879999999888241,12718776.179999999701977
FS( 213 ),5408805.400000000372529,3802593.599999999627471,3519388.599999999627471,12730788.599999999627471
FS( 214 ),5396705.200000000186265,3804926.939999999944121,3536035.680000000167638,12737668.820000000298023
FS( 215 ),5424939.000000000000000,3823593.659999999683350,3635918.160000000149012,12884451.820000000298023
FS( 216 ),5399586.199999999254942,3827741.819999999832362,3669212.319999999832362,12896541.339999999850988
FS( 217 ),5446258.399999999441206,3812445.480000000447035,3680963.200000000186265,12939668.079999998211861
FS( 218 ),5389790.800000000745058,3854186.339999999850988,3757343.919999999925494,13001322.060000000521541
FS( 219 ),5400738.600000000558794,3835260.360000000335276,3765177.840000000316650,13001177.800000000745058
FS( 220 ),5381147.799999999813735,3827741.819999999832362,3765177.840000000316650,12974068.459999999031425
FS( 221 ),5413415.000000000000000,3818408.460000000428408,3826869.959999999962747,13058694.420000001788139
FS( 222 ),5386909.799999999813735,3865593.779999999795109,3805326.680000000167638,13057831.259999999776483
FS( 223 ),5424362.799999999813735,3858334.500000000000000,3877790.439999999944121,13160488.740000000223517
FS( 224 ),5416872.200000000186265,3888927.180000000167638,3992361.520000000484288,13298161.900000002235174
FS( 225 ),5544788.600000000558794,3905779.080000000540167,4003133.160000000149012,13453701.840000001713634
FS( 226 ),5505030.800000000745058,4036446.120000000111759,3971797.480000000447035,13513275.400000002235174
FS( 227 ),5393824.200000000186265,4039297.980000000447035,3947316.480000000447035,13380439.660000000149012
FS( 228 ),5344271.000000000000000,4031520.180000000167638,3957108.879999999888241,13332901.059999998658895
FS( 229 ),5449139.399999999441206,4138594.560000000055879,3898354.480000000447035,13486089.439999999478459
FS( 230 ),5438767.799999999813735,4185520.620000000111759,3977672.919999999925494,13601962.339999999850988
FS( 231 ),5517131.000000000000000,4175150.219999999739230,3941441.040000000037253,13633723.259999997913837
FS( 232 ),5567836.599999999627471,4175928.000000000000000,4141206.000000000000000,13884971.599999999627471
FS( 233 ),5513097.600000000558794,4127705.640000000596046,4008029.359999999869615,13648833.600000001490116
FS( 234 ),5589732.200000000186265,4200039.179999999701977,4019780.239999999757856,13809552.619999999180436
FS( 235 ),5647352.200000000186265,4240483.740000000223517,4119662.720000000204891,14007499.660000002011657
FS( 236 ),5709581.799999999813735,4233742.980000000447035,4107911.840000000316650,14051237.620000001043081
FS( 237 ),5700362.600000000558794,4239705.960000000894070,4214649.000000000000000,14154718.560000002384186
FS( 238 ),5738391.799999999813735,4251891.179999999701977,4160790.800000000279397,14151074.780000001192093
FS( 239 ),5789097.400000000372529,4273150.500000000000000,4094202.480000000447035,14156451.380000000819564
FS( 240 ),5797164.200000000186265,4305039.480000000447035,4109870.319999999832362,14212075.000000000000000
FS( 241 ),5749915.800000000745058,4268743.080000000074506,4119662.720000000204891,14138322.600000001490116
FS( 242 ),5796588.000000000000000,4254224.519999999552965,4154915.359999999869615,14205728.879999998956919
FS( 243 ),5965990.800000000745058,4248002.279999999329448,4150019.160000000149012,14364013.240000000223517
FS( 244 ),5949857.200000000186265,4231668.900000000372529,4157853.080000000074506,14339380.180000001564622
FS( 245 ),5934876.000000000000000,4221817.019999999552965,4115745.760000000242144,14272439.779999999329448
FS( 246 ),5966567.000000000000000,4236335.580000000074506,4161770.040000000037253,14364673.620000001043081
FS( 247 ),5955619.200000000186265,4258113.419999999925494,4170583.200000000186265,14384316.820000000298023
FS( 248 ),6099669.200000000186265,4273669.019999999552965,4195064.200000000186265,14568403.419999998062849
FS( 249 ),5877832.200000000186265,4198742.879999998956919,4206815.080000000074506,14283391.159999998286366
FS( 250 ),5763168.399999999441206,4152853.860000000335276,4201918.879999999888241,14117942.140000000596046
FS( 251 ),5794859.399999999441206,4168150.200000000651926,4186251.040000000037253,14149261.640000000596046
FS( 252 ),5877256.000000000000000,4207298.460000000894070,4163728.520000000484288,14248283.980000000447035
FS( 253 ),5930842.600000000558794,4196928.060000000521541,4169603.959999999962747,14297375.620000001043081
