代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12431939.650000000372529
真實報酬,2431939.650000000372529

夏普值報酬,0.234493965000000
夏普值風險,0.072581986669992
夏普值,3.230746026092818

二次趨勢線,45.905202290400567 x^2 + -1933.271349952432047 x + 10000000.000000000000000
二次加權預期報酬,13582.687024202963585
風險,270447.519938710029237
二次加權趨勢值,0.050223004549205
一次趨勢線,6794.421281957977953 x + 10000000.000000000000000
一次預期報酬,6794.421281957977953
一次風險,426769.798084048263263
一次趨勢值,0.015920576649194
找到最佳解世代,1801
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),MCD[15](1),V[25](2),
FS( 86 ),3945526.679999999701977,3254153.000000000000000,3219520.620000001043081,10419201.300000000745058
FS( 87 ),3894894.120000000111759,3265281.000000000465661,3197103.030000000260770,10357279.150000002235174
FS( 88 ),3898729.919999999925494,3233181.000000000465661,3197103.030000000260770,10329014.949999999254942
FS( 89 ),3862673.399999999906868,3243453.000000000000000,3178134.300000000279397,10284261.700000001117587
FS( 90 ),3798999.120000000111759,3281973.000000000465661,3078117.360000000800937,10159090.480000002309680
FS( 91 ),3857303.279999999795109,3284113.000000000000000,3126401.400000000372529,10267818.679999999701977
FS( 92 ),3874947.959999999497086,3238745.000000000000000,3098810.520000000484288,10212504.480000000447035
FS( 93 ),3785957.399999999906868,3215205.000000000000000,3069495.210000000428408,10070658.610000001266599
FS( 94 ),3616415.040000000037253,3140733.000000000000000,3059148.630000000353903,9816297.669999999925494
FS( 95 ),3667814.759999999776483,3141589.000000000465661,3079841.790000000502914,9889246.550000000745058
FS( 96 ),3624086.640000000130385,3124041.000000000000000,3079841.790000000502914,9827970.430000001564622
FS( 97 ),3718447.319999999832362,3156997.000000000000000,3102259.380000000353903,9977704.700000001117587
FS( 98 ),3739160.640000000130385,3161705.000000000000000,3086739.510000000242144,9987606.150000000372529
FS( 99 ),3717680.159999999683350,3189953.000000000000000,3103983.810000000521541,10011617.970000000670552
FS( 100 ),3780587.279999999795109,3207073.000000000465661,3133299.120000001043081,10120960.400000002235174
FS( 101 ),3852700.319999999832362,3220769.000000000000000,3107432.670000000391155,10180902.990000000223517
FS( 102 ),3840425.759999999776483,3210069.000000000000000,3136747.980000000912696,10187243.740000000223517
FS( 103 ),3846563.040000000037253,3225905.000000000000000,3112605.960000000428408,10185075.000000000000000
FS( 104 ),3820479.599999999627471,3244737.000000000000000,3200551.890000000130385,10265769.490000000223517
FS( 105 ),3819712.439999999944121,3256721.000000000000000,3174685.440000000409782,10251119.879999998956919
FS( 106 ),3775984.319999999832362,3252441.000000000000000,3200551.890000000130385,10228978.210000000894070
FS( 107 ),3739160.640000000130385,3269561.000000000000000,3243662.640000000130385,10252385.280000001192093
FS( 108 ),3713844.359999999403954,3278548.999999999534339,3260906.940000000409782,10253301.300000000745058
FS( 109 ),3704638.439999999944121,3283685.000000000000000,3276426.810000000521541,10264751.250000000000000
FS( 110 ),3705405.599999999627471,3253297.000000000000000,3293671.110000000800937,10252374.710000000894070
FS( 111 ),3672417.719999999739230,3254581.000000000465661,3307466.550000000279397,10234466.270000001415610
FS( 112 ),3625620.959999999497086,3263569.000000000000000,3350577.300000000279397,10239768.259999999776483
FS( 113 ),3643265.640000000130385,3281117.000000000000000,3321261.990000000689179,10245645.630000000819564
FS( 114 ),3683925.120000000111759,3290961.000000000000000,3341955.150000000372529,10316842.269999999552965
FS( 115 ),3643265.640000000130385,3298664.999999999534339,3290222.250000000000000,10232153.890000000596046
FS( 116 ),3588797.279999999795109,3311933.000000000000000,3297119.970000000670552,10197851.250000000000000
FS( 117 ),3637128.359999999403954,3295669.000000000000000,3262631.370000001043081,10195429.730000000447035
FS( 118 ),3703104.120000000111759,3278548.999999999534339,3272977.950000000651926,10254632.070000000298023
FS( 119 ),3752969.520000000018626,3355589.000000000465661,3335057.430000000633299,10443616.950000001117587
FS( 120 ),3843494.399999999906868,3291817.000000000000000,3352301.730000000912696,10487614.130000000819564
FS( 121 ),3868810.679999999701977,3301233.000000000000000,3352301.730000000912696,10522346.410000000149012
FS( 122 ),3840425.759999999776483,3293101.000000000000000,3395412.480000000912696,10528940.240000000223517
FS( 123 ),3837357.120000000111759,3332905.000000000000000,3400585.770000000484288,10570848.890000000596046
FS( 124 ),3800533.439999999944121,3339753.000000000000000,3348852.870000001043081,10489140.310000000521541
FS( 125 ),3837357.120000000111759,3351737.000000000000000,3367821.600000000558794,10556916.720000000670552
FS( 126 ),3795163.319999999832362,3365861.000000000000000,3412656.780000000260770,10573682.100000001490116
FS( 127 ),3815876.640000000130385,3378701.000000000000000,3448869.810000000521541,10643448.450000001117587
FS( 128 ),3831219.839999999850988,3384264.999999999534339,3438523.230000000912696,10654009.070000000298023
FS( 129 ),3800533.439999999944121,3364148.999999999534339,3393688.050000000279397,10558371.490000000223517
FS( 130 ),3798999.120000000111759,3368429.000000000000000,3423003.360000000800937,10590432.480000000447035
FS( 131 ),3809739.359999999403954,3394537.000000000000000,3443696.520000000484288,10647973.879999998956919
FS( 132 ),3829685.520000000018626,3411656.999999999534339,3464389.680000000633299,10705733.199999999254942
FS( 133 ),3805136.399999999906868,3403097.000000000000000,3421278.930000000633299,10629513.330000001937151
FS( 134 ),3798231.959999999497086,3452317.000000000000000,3445420.950000000651926,10695970.910000000149012
FS( 135 ),3731489.040000000037253,3455741.000000000000000,3445420.950000000651926,10632651.990000000223517
FS( 136 ),3652471.559999999590218,3472861.000000000000000,3447145.380000000353903,10572478.939999999478459
FS( 137 ),3683925.120000000111759,3463873.000000000465661,3474736.260000000242144,10622535.380000000819564
FS( 138 ),3724584.599999999627471,3488269.000000000000000,3448869.810000000521541,10661724.410000000149012
FS( 139 ),3732256.199999999720603,3531497.000000000000000,3433349.940000000409782,10697104.140000000596046
FS( 140 ),3673952.040000000037253,3523793.000000000000000,3372994.890000000130385,10570740.929999999701977
FS( 141 ),3664746.120000000111759,3531069.000000000000000,3316088.700000000651926,10511904.820000000298023
FS( 142 ),3640964.159999999683350,3537061.000000000000000,3345404.010000000242144,10523430.169999999925494
FS( 143 ),3690829.559999999590218,3540485.000000000000000,3395412.480000000912696,10626728.040000000968575
FS( 144 ),3671650.559999999590218,3528073.000000000465661,3417830.070000000763685,10617554.630000000819564
FS( 145 ),3697734.000000000000000,3493405.000000000000000,3440247.660000000614673,10631387.660000000149012
FS( 146 ),3812040.839999999850988,3489981.000000000465661,3495429.420000000391155,10797452.259999999776483
FS( 147 ),3786724.559999999590218,3466013.000000000000000,3414381.210000000428408,10667119.769999999552965
FS( 148 ),3792861.839999999850988,3456169.000000000000000,3479909.550000000279397,10728941.390000000596046
FS( 149 ),3763709.759999999776483,3447181.000000000465661,3410932.350000000558794,10621824.109999999403954
FS( 150 ),3704638.439999999944121,3454029.000000000000000,3371270.460000000428408,10529938.900000000372529
FS( 151 ),3638662.679999999701977,3472861.000000000000000,3440247.660000000614673,10551772.339999999850988
FS( 152 ),3640964.159999999683350,3473289.000000000465661,3307466.550000000279397,10421720.710000000894070
FS( 153 ),3633292.559999999590218,3477997.000000000000000,3295395.540000000502914,10406686.099999999627471
FS( 154 ),3571919.759999999776483,3439477.000000000000000,3219520.620000001043081,10230918.380000000819564
FS( 155 ),3579591.359999999403954,3455313.000000000000000,3228142.770000000484288,10263048.129999998956919
FS( 156 ),3643265.640000000130385,3486985.000000000000000,3272977.950000000651926,10403229.590000001713634
FS( 157 ),3581125.679999999701977,3477141.000000000000000,3226418.340000000782311,10284686.019999999552965
FS( 158 ),3563481.000000000000000,3501537.000000000000000,3228142.770000000484288,10293161.769999999552965
FS( 159 ),3509779.799999999813735,3531925.000000000000000,3209174.040000000502914,10250879.839999999850988
FS( 160 ),3456078.599999999627471,3539201.000000000000000,3191929.740000000689179,10187210.339999999850988
FS( 161 ),3565015.319999999832362,3543909.000000000000000,3233316.060000000521541,10342241.380000000819564
FS( 162 ),3535863.240000000223517,3537489.000000000465661,3219520.620000001043081,10292873.860000001266599
FS( 163 ),3630223.919999999925494,3522081.000000000465661,3247111.500000000000000,10399417.419999999925494
FS( 164 ),3576522.719999999739230,3502821.000000000000000,3162614.430000000633299,10241959.150000000372529
FS( 165 ),3638662.679999999701977,3523364.999999999534339,3185032.020000000484288,10347060.699999999254942
FS( 166 ),3673952.040000000037253,3610248.999999999534339,3245387.070000000763685,10529589.109999999403954
FS( 167 ),3660910.319999999832362,3619664.999999999534339,3731676.330000000540167,11012252.650000000372529
FS( 168 ),3678555.000000000000000,3608964.999999999534339,3633383.820000000763685,10920904.820000000298023
FS( 169 ),3762175.439999999944121,3665889.000000000465661,3792031.380000000353903,11220096.820000000298023
FS( 170 ),3829685.520000000018626,3665461.000000000000000,3807551.250000000000000,11302698.769999999552965
FS( 171 ),3855001.799999999813735,3674877.000000000000000,3802377.960000000428408,11332257.759999999776483
FS( 172 ),3914840.279999999795109,3683437.000000000000000,3886875.030000000260770,11485153.309999998658895
FS( 173 ),3942458.040000000037253,3663748.999999999534339,3867906.300000000279397,11474114.339999999850988
FS( 174 ),3879550.919999999925494,3653048.999999999534339,3790306.950000000651926,11322907.870000001043081
FS( 175 ),3877249.439999999944121,3637641.000000000000000,3781684.800000000279397,11296576.240000000223517
FS( 176 ),3924046.199999999720603,3636356.999999999534339,3826519.980000000912696,11386924.179999999701977
FS( 177 ),3920977.559999999590218,3672737.000000000000000,3792031.380000000353903,11385746.939999999478459
FS( 178 ),3999227.879999999888241,3658613.000000000000000,3826519.980000000912696,11484361.860000001266599
FS( 179 ),4096657.199999999720603,3655189.000000000465661,3797204.670000000391155,11549051.870000001043081
FS( 180 ),4130412.240000000223517,3689856.999999999534339,3845488.710000000428408,11665758.950000001117587
FS( 181 ),4240116.120000000111759,3692425.000000000000000,3821346.690000000409782,11753888.810000000521541
FS( 182 ),4244719.080000000074506,3703981.000000000465661,3795480.240000000689179,11744181.320000000298023
FS( 183 ),4310694.839999999850988,3790437.000000000000000,3859284.150000000372529,11960416.990000000223517
FS( 184 ),4367464.679999999701977,3771605.000000000000000,3840315.420000000391155,11979386.099999999627471
FS( 185 ),4421165.879999999888241,3767325.000000000000000,3845488.710000000428408,12033980.589999999850988
FS( 186 ),4302256.080000000074506,3727521.000000000000000,3783409.230000000912696,11813187.310000000521541
FS( 187 ),4293817.319999999366701,3714253.000000000000000,3747196.200000000651926,11755267.519999999552965
FS( 188 ),4279241.280000000260770,3701413.000000000000000,3688565.580000000540167,11669220.860000001266599
FS( 189 ),4348285.679999999701977,3697561.000000000000000,3693738.870000001043081,11739586.550000000745058
FS( 190 ),4262363.759999999776483,3640637.000000000000000,3602344.080000000540167,11505345.839999999850988
FS( 191 ),4302256.080000000074506,3661181.000000000465661,3771338.220000000670552,11734776.300000000745058
FS( 192 ),4135782.359999999403954,3607253.000000000000000,3664423.560000000521541,11407459.919999999925494
FS( 193 ),4094355.719999999739230,3641493.000000000000000,3595446.360000000800937,11331296.080000000074506
FS( 194 ),3871112.159999999683350,3514377.000000000000000,3416105.640000000130385,10801595.800000000745058
FS( 195 ),4098958.679999999701977,3679156.999999999534339,3567855.480000000912696,11345972.160000000149012
FS( 196 ),3986186.159999999683350,3598693.000000000000000,3417830.070000000763685,11002710.230000000447035
FS( 197 ),4095890.040000000037253,3692853.000000000000000,3643730.400000000372529,11432474.440000001341105
FS( 198 ),4131946.559999999590218,3702269.000000000000000,3614415.090000000782311,11448631.650000000372529
FS( 199 ),4201758.120000000111759,3715964.999999999534339,3702361.020000000484288,11620085.140000000596046
FS( 200 ),4169537.399999999906868,3709545.000000000000000,3700636.590000000782311,11579719.990000002086163
FS( 201 ),4169537.399999999906868,3745069.000000000000000,3621312.810000000521541,11535920.210000000894070
FS( 202 ),4011502.439999999944121,3664177.000000000000000,3460940.820000000763685,11136621.259999999776483
FS( 203 ),3901798.559999999590218,3733513.000000000000000,3431625.510000000242144,11066938.070000000298023
FS( 204 ),3906401.520000000018626,3756197.000000000000000,3440247.660000000614673,11102847.179999999701977
FS( 205 ),4094355.719999999739230,3831953.000000000000000,3610966.230000000912696,11537275.950000001117587
FS( 206 ),4122740.640000000130385,3857633.000000000000000,3724778.610000000800937,11705153.250000001862645
FS( 207 ),4095890.040000000037253,3796856.999999999534339,3626486.100000000558794,11519234.140000000596046
FS( 208 ),4204059.599999999627471,3849073.000000000465661,3700636.590000000782311,11753770.190000001341105
FS( 209 ),4273871.160000000149012,3885881.000000000465661,3733400.760000000242144,11893153.919999999925494
FS( 210 ),4273871.160000000149012,3885453.000000000000000,3790306.950000000651926,11949632.110000001266599
FS( 211 ),4217868.479999999515712,3869617.000000000000000,3788582.520000000484288,11876069.000000000000000
FS( 212 ),4175674.679999999701977,3855064.999999999534339,3781684.800000000279397,11812425.480000000447035
FS( 213 ),4099725.839999999850988,3813121.000000000000000,3688565.580000000540167,11601413.419999999925494
FS( 214 ),4161865.799999999813735,3801564.999999999534339,3702361.020000000484288,11665792.820000000298023
FS( 215 ),4207895.400000000372529,3821681.000000000465661,3814448.970000000670552,11844026.370000001043081
FS( 216 ),4210196.879999999888241,3792577.000000000000000,3771338.220000000670552,11774113.100000001490116
FS( 217 ),4137316.679999999701977,3639353.000000000000000,3723054.180000000633299,11499724.859999999403954
FS( 218 ),4164167.279999999795109,3689001.000000000000000,3769613.790000000502914,11622783.070000000298023
FS( 219 ),4215567.000000000000000,3686005.000000000000000,3783409.230000000912696,11684982.230000000447035
FS( 220 ),4266199.559999999590218,3712969.000000000000000,3862733.010000000242144,11841902.570000000298023
FS( 221 ),4306859.040000000037253,3769464.999999999534339,3902394.900000000372529,11978719.939999999478459
FS( 222 ),4388945.160000000149012,3778881.000000000465661,3916190.340000000782311,12084017.500000000000000
FS( 223 ),4510923.599999999627471,3801137.000000000000000,3881701.740000000689179,12193763.339999999850988
FS( 224 ),4530869.759999999776483,3822537.000000000000000,4002411.840000000782311,12355819.600000001490116
FS( 225 ),4517060.879999999888241,3745925.000000000000000,3942056.790000000502914,12205043.669999999925494
FS( 226 ),4403521.199999999254942,3680441.000000000000000,3807551.250000000000000,11891514.449999999254942
FS( 227 ),4431138.959999999962747,3739505.000000000000000,3883426.170000000391155,12054071.130000000819564
FS( 228 ),4418864.400000000372529,3823821.000000000000000,3892048.320000000763685,12134734.720000000670552
FS( 229 ),4375903.439999999478459,3840941.000000000000000,3857559.720000000670552,12074405.160000000149012
FS( 230 ),4351354.319999999366701,3767753.000000000000000,3778235.940000000409782,11897344.259999999776483
FS( 231 ),4280775.599999999627471,3799853.000000000000000,3779960.370000001043081,11860589.970000000670552
FS( 232 ),4178743.319999999832362,3758764.999999999534339,3695463.300000000279397,11632972.619999999180436
FS( 233 ),4105095.959999999497086,3681725.000000000000000,3633383.820000000763685,11420205.779999999329448
FS( 234 ),4082081.159999999683350,3701413.000000000000000,3655801.410000000614673,11439296.570000000298023
FS( 235 ),4145755.439999999944121,3673593.000000000000000,3664423.560000000521541,11483773.000000000000000
FS( 236 ),4135782.359999999403954,3728377.000000000000000,3755818.350000000558794,11619978.710000000894070
FS( 237 ),4052929.079999999608845,3732229.000000000000000,3717880.890000000130385,11503039.970000000670552
FS( 238 ),4260829.439999999478459,3788297.000000000000000,3847213.140000000130385,11896340.580000000074506
FS( 239 ),4386643.679999999701977,3823821.000000000000000,3902394.900000000372529,12112860.580000000074506
FS( 240 ),4408124.160000000149012,3781877.000000000000000,3929985.780000000260770,12119987.940000001341105
FS( 241 ),4476401.400000000372529,3822537.000000000000000,3992065.260000000242144,12291004.660000000149012
FS( 242 ),4625230.439999999478459,3849501.000000000000000,4048971.450000000651926,12523703.890000000596046
FS( 243 ),4602982.799999999813735,3794717.000000000000000,3931710.210000000428408,12329411.010000001639128
FS( 244 ),4627531.919999999925494,3836661.000000000000000,4048971.450000000651926,12513165.370000001043081
FS( 245 ),4368999.000000000000000,3835805.000000000000000,3883426.170000000391155,12088231.169999999925494
FS( 246 ),4332175.319999999366701,3809697.000000000000000,3938607.930000000633299,12080481.250000000000000
FS( 247 ),4305324.719999999739230,3951364.999999999534339,4028278.290000000502914,12284969.009999999776483
FS( 248 ),4447249.319999999366701,3938097.000000000000000,4061042.460000000428408,12446389.779999999329448
FS( 249 ),4359025.919999999925494,3927825.000000000000000,3909292.620000001043081,12196144.540000000968575
FS( 250 ),4390479.479999999515712,3928253.000000000000000,3967923.240000000689179,12286656.720000000670552
FS( 251 ),4434974.759999999776483,4002297.000000000000000,4069664.610000000800937,12506937.370000001043081
FS( 252 ),4438043.400000000372529,3992881.000000000465661,4100704.350000000558794,12531629.750000000000000
FS( 253 ),4436509.080000000074506,3974048.999999999534339,4021380.570000000763685,12431939.650000000372529
